2ozbF_M241.pdb     -413.711893 kBT
2ozbF_M168.pdb     -412.561043 kBT
2ozbF_M48.pdb     -515.306791 kBT
2ozbF_M44.pdb     -514.068005 kBT
2ozbF_M121.pdb     -457.018816 kBT
2ozbF_M74.pdb     -431.188019 kBT
2ozbF_M319.pdb     -468.004039 kBT
2ozbF_M405.pdb     -499.835254 kBT
2ozbF_M108.pdb     -452.401932 kBT
2ozbF_M389.pdb     -406.923587 kBT
2ozbF_M200.pdb     -512.870130 kBT
2ozbF_M310.pdb     -490.506919 kBT
2ozbF_M216.pdb     -459.579483 kBT
2ozbF_M373.pdb     -501.402901 kBT
2ozbF_M12.pdb     -575.024736 kBT
2ozbF_M113.pdb     -485.134215 kBT
2ozbF_M85.pdb     -508.239151 kBT
2ozbF_M395.pdb     -408.644683 kBT
2ozbF_M353.pdb     -577.392184 kBT
2ozbF_M254.pdb     -402.372395 kBT
2ozbF_M239.pdb     -437.811776 kBT
2ozbF_M142.pdb     -458.738768 kBT
2ozbF_M494.pdb     -334.697711 kBT
2ozbF_M14.pdb     -536.193023 kBT
2ozbF_M138.pdb     -436.252552 kBT
2ozbF_M485.pdb     -420.834750 kBT
2ozbF_M306.pdb     -396.881291 kBT
2ozbF_M36.pdb     -559.648261 kBT
2ozbF_M198.pdb     -431.218345 kBT
2ozbF_M412.pdb     -440.862128 kBT
2ozbF_M21.pdb     -554.040750 kBT
2ozbF_M364.pdb     -491.432871 kBT
2ozbF_M181.pdb     -447.814699 kBT
2ozbF_M182.pdb     -436.239853 kBT
2ozbF_M126.pdb     -460.618265 kBT
2ozbF_M380.pdb     -444.653506 kBT
2ozbF_M483.pdb     -281.252946 kBT
2ozbF_M210.pdb     -416.522202 kBT
2ozbF_M207.pdb     -415.118972 kBT
2ozbF_M231.pdb     -461.125290 kBT
2ozbF_M498.pdb     -411.357247 kBT
2ozbF_M472.pdb     -502.690677 kBT
2ozbF_M442.pdb     -488.788568 kBT
2ozbF_M170.pdb     -491.334528 kBT
2ozbF_M148.pdb     -465.765814 kBT
2ozbF_M101.pdb     -496.865531 kBT
2ozbF_M322.pdb     -465.746586 kBT
2ozbF_M131.pdb     -384.236403 kBT
2ozbF_M415.pdb     -466.683760 kBT
2ozbF_M268.pdb     -442.580266 kBT
2ozbF_M413.pdb     -439.795806 kBT
2ozbF_M433.pdb     -463.246095 kBT
2ozbF_M411.pdb     -317.842644 kBT
2ozbF_M450.pdb     -322.642707 kBT
2ozbF_M214.pdb     -447.855490 kBT
2ozbF_M117.pdb     -460.180246 kBT
2ozbF_M271.pdb     -448.300036 kBT
2ozbF_M471.pdb     -367.246134 kBT
2ozbF_M480.pdb     -388.086411 kBT
2ozbF_M284.pdb     -386.136102 kBT
2ozbF_M444.pdb     -413.807668 kBT
2ozbF_M169.pdb     -425.524073 kBT
2ozbF_M19.pdb     -559.271893 kBT
2ozbF_M321.pdb     -401.518825 kBT
2ozbF_M230.pdb     -423.936639 kBT
2ozbF_M229.pdb     -403.761876 kBT
2ozbF_M244.pdb     -428.610539 kBT
2ozbF_M307.pdb     -468.298299 kBT
2ozbF_M27.pdb     -535.736363 kBT
2ozbF_M356.pdb     -414.357041 kBT
2ozbF_M103.pdb     -455.933024 kBT
2ozbF_M396.pdb     -470.270796 kBT
2ozbF_M209.pdb     -403.434905 kBT
2ozbF_M20.pdb     -537.331241 kBT
2ozbF_M324.pdb     -348.551044 kBT
2ozbF_M390.pdb     -379.952017 kBT
2ozbF_M146.pdb     -451.502936 kBT
2ozbF_M434.pdb     -436.578464 kBT
2ozbF_M140.pdb     -410.295072 kBT
2ozbF_M473.pdb     -354.808163 kBT
2ozbF_M176.pdb     -435.526778 kBT
2ozbF_M34.pdb     -478.472452 kBT
2ozbF_M458.pdb     -509.717480 kBT
2ozbF_M75.pdb     -464.145622 kBT
2ozbF_M297.pdb     -410.154723 kBT
2ozbF_M344.pdb     -385.974128 kBT
2ozbF_M328.pdb     -435.611463 kBT
2ozbF_M259.pdb     -440.191861 kBT
2ozbF_M97.pdb     -424.648946 kBT
2ozbF_M92.pdb     -443.122748 kBT
2ozbF_M337.pdb     -403.491019 kBT
2ozbF_M202.pdb     -462.071262 kBT
2ozbF_M167.pdb     -408.431673 kBT
2ozbF_M264.pdb     -442.724376 kBT
2ozbF_M130.pdb     -442.839868 kBT
2ozbF_M189.pdb     -407.802733 kBT
2ozbF_M64.pdb     -486.272221 kBT
2ozbF_M90.pdb     -490.120817 kBT
2ozbF_M493.pdb     -402.050939 kBT
2ozbF_M159.pdb     -401.967994 kBT
2ozbF_M358.pdb     -463.113303 kBT
2ozbF_M53.pdb     -486.341630 kBT
2ozbF_M63.pdb     -479.683090 kBT
2ozbF_M331.pdb     -364.221651 kBT
2ozbF_M348.pdb     -478.893140 kBT
2ozbF_M452.pdb     -411.052566 kBT
2ozbF_M425.pdb     -440.143317 kBT
2ozbF_M486.pdb     -358.761806 kBT
2ozbF_M178.pdb     -454.139020 kBT
2ozbF_M420.pdb     -430.621273 kBT
2ozbF_M333.pdb     -421.545915 kBT
2ozbF_M185.pdb     -461.946051 kBT
2ozbF_M303.pdb     -491.410649 kBT
2ozbF_M32.pdb     -484.059341 kBT
2ozbF_M215.pdb     -389.340087 kBT
2ozbF_M206.pdb     -469.010430 kBT
2ozbF_M49.pdb     -550.683617 kBT
2ozbF_M352.pdb     -559.723894 kBT
2ozbF_M187.pdb     -431.891213 kBT
2ozbF_M116.pdb     -460.919615 kBT
2ozbF_M15.pdb     -534.377904 kBT
2ozbF_M428.pdb     -459.035157 kBT
2ozbF_M391.pdb     -483.432985 kBT
2ozbF_M393.pdb     -385.183390 kBT
2ozbF_M279.pdb     -380.003695 kBT
2ozbF_M9.pdb     -541.820375 kBT
2ozbF_M398.pdb     -430.082026 kBT
2ozbF_M56.pdb     -545.469248 kBT
2ozbF_M312.pdb     -374.409415 kBT
2ozbF_M46.pdb     -510.470151 kBT
2ozbF_M397.pdb     -422.405040 kBT
2ozbF_M456.pdb     -394.734262 kBT
2ozbF_M499.pdb     -416.919669 kBT
2ozbF_M3.pdb     -564.782742 kBT
2ozbF_M205.pdb     -415.517016 kBT
2ozbF_M220.pdb     -467.128599 kBT
2ozbF_M423.pdb     -326.962584 kBT
2ozbF_M261.pdb     -424.501517 kBT
2ozbF_M500.pdb     -407.156548 kBT
2ozbF_M487.pdb     -400.803624 kBT
2ozbF_M357.pdb     -483.528237 kBT
2ozbF_M123.pdb     -402.664564 kBT
2ozbF_M213.pdb     -434.191994 kBT
2ozbF_M346.pdb     -436.344822 kBT
2ozbF_M262.pdb     -396.896974 kBT
2ozbF_M141.pdb     -413.066119 kBT
2ozbF_M237.pdb     -456.136119 kBT
2ozbF_M177.pdb     -412.546427 kBT
2ozbF_M55.pdb     -553.439745 kBT
2ozbF_M327.pdb     -417.033277 kBT
2ozbF_M257.pdb     -415.024979 kBT
2ozbF_M464.pdb     -473.811281 kBT
2ozbF_M253.pdb     -469.530987 kBT
2ozbF_M266.pdb     -409.229537 kBT
2ozbF_M470.pdb     -285.439023 kBT
2ozbF_M276.pdb     -452.127350 kBT
2ozbF_M93.pdb     -430.556449 kBT
2ozbF_M383.pdb     -478.304768 kBT
2ozbF_M288.pdb     -348.567885 kBT
2ozbF_M115.pdb     -409.387209 kBT
2ozbF_M26.pdb     -534.620913 kBT
2ozbF_M469.pdb     -406.786762 kBT
2ozbF_M318.pdb     -515.499702 kBT
2ozbF_M477.pdb     -480.789635 kBT
2ozbF_M69.pdb     -496.638746 kBT
2ozbF_M330.pdb     -407.147428 kBT
2ozbF_M79.pdb     -448.745366 kBT
2ozbF_M242.pdb     -443.776646 kBT
2ozbF_M445.pdb     -443.808841 kBT
2ozbF_M325.pdb     -369.345949 kBT
2ozbF_M87.pdb     -496.105377 kBT
2ozbF_M296.pdb     -341.936673 kBT
2ozbF_M195.pdb     -436.203317 kBT
2ozbF_M481.pdb     -463.183839 kBT
2ozbF_M247.pdb     -452.188640 kBT
2ozbF_M72.pdb     -492.941472 kBT
2ozbF_M122.pdb     -463.027161 kBT
2ozbF_M371.pdb     -415.257434 kBT
2ozbF_M132.pdb     -479.199780 kBT
2ozbF_M7.pdb     -558.978471 kBT
2ozbF_M100.pdb     -414.321181 kBT
2ozbF_M479.pdb     -365.175766 kBT
2ozbF_M68.pdb     -493.311632 kBT
2ozbF_M368.pdb     -420.326756 kBT
2ozbF_M66.pdb     -528.522794 kBT
2ozbF_M109.pdb     -485.975619 kBT
2ozbF_M342.pdb     -351.181867 kBT
2ozbF_M191.pdb     -449.770622 kBT
2ozbF_M151.pdb     -447.186151 kBT
2ozbF_M129.pdb     -424.194920 kBT
2ozbF_M143.pdb     -455.860852 kBT
2ozbF_M381.pdb     -465.115532 kBT
2ozbF_M81.pdb     -447.811328 kBT
2ozbF_M219.pdb     -433.652018 kBT
2ozbF_M293.pdb     -433.716805 kBT
2ozbF_M359.pdb     -396.256153 kBT
2ozbF_M429.pdb     -361.275696 kBT
2ozbF_M128.pdb     -428.019282 kBT
2ozbF_M67.pdb     -566.095124 kBT
2ozbF_M449.pdb     -413.023706 kBT
2ozbF_M448.pdb     -405.779422 kBT
2ozbF_M476.pdb     -416.158779 kBT
2ozbF_M98.pdb     -526.056495 kBT
2ozbF_M95.pdb     -438.058096 kBT
2ozbF_M343.pdb     -500.315482 kBT
2ozbF_M351.pdb     -496.650209 kBT
2ozbF_M311.pdb     -454.893537 kBT
2ozbF_M309.pdb     -337.290453 kBT
2ozbF_M354.pdb     -360.099757 kBT
2ozbF_M407.pdb     -461.897076 kBT
2ozbF_M31.pdb     -556.818456 kBT
2ozbF_M409.pdb     -488.820860 kBT
2ozbF_M399.pdb     -466.510989 kBT
2ozbF_M388.pdb     -433.116878 kBT
2ozbF_M255.pdb     -429.728164 kBT
2ozbF_M102.pdb     -479.397521 kBT
2ozbF_M462.pdb     -445.212001 kBT
2ozbF_M73.pdb     -447.012300 kBT
2ozbF_M437.pdb     -469.281515 kBT
2ozbF_M369.pdb     -465.635996 kBT
2ozbF_M43.pdb     -488.048049 kBT
2ozbF_M291.pdb     -415.247738 kBT
2ozbF_M42.pdb     -516.308283 kBT
2ozbF_M426.pdb     -482.423504 kBT
2ozbF_M193.pdb     -473.758390 kBT
2ozbF_M265.pdb     -506.366785 kBT
2ozbF_M302.pdb     -448.847383 kBT
2ozbF_M149.pdb     -391.400191 kBT
2ozbF_M317.pdb     -439.375550 kBT
2ozbF_M246.pdb     -477.581363 kBT
2ozbF_M263.pdb     -363.194948 kBT
2ozbF_M1.pdb     -569.575812 kBT
2ozbF_M277.pdb     -378.566089 kBT
2ozbF_M466.pdb     -363.729419 kBT
2ozbF_M323.pdb     -384.784383 kBT
2ozbF_M11.pdb     -560.311394 kBT
2ozbF_M227.pdb     -471.733777 kBT
2ozbF_M400.pdb     -378.687246 kBT
2ozbF_M190.pdb     -383.530920 kBT
2ozbF_M38.pdb     -511.092506 kBT
2ozbF_M363.pdb     -397.214152 kBT
2ozbF_M394.pdb     -373.100256 kBT
2ozbF_M283.pdb     -376.368797 kBT
2ozbF_M104.pdb     -419.967262 kBT
2ozbF_M355.pdb     -431.064091 kBT
2ozbF_M153.pdb     -435.040423 kBT
2ozbF_M290.pdb     -413.339735 kBT
2ozbF_M336.pdb     -493.694419 kBT
2ozbF_M162.pdb     -447.353391 kBT
2ozbF_M223.pdb     -377.224131 kBT
2ozbF_M280.pdb     -439.356250 kBT
2ozbF_M272.pdb     -437.137748 kBT
2ozbF_M125.pdb     -438.602435 kBT
2ozbF_M47.pdb     -523.652748 kBT
2ozbF_M454.pdb     -362.768786 kBT
2ozbF_M377.pdb     -421.892535 kBT
2ozbF_M495.pdb     -437.106918 kBT
2ozbF_M218.pdb     -412.754157 kBT
2ozbF_M287.pdb     -391.998105 kBT
2ozbF_M133.pdb     -473.271395 kBT
2ozbF_M292.pdb     -472.440959 kBT
2ozbF_M240.pdb     -387.336820 kBT
2ozbF_M184.pdb     -447.392864 kBT
2ozbF_M234.pdb     -432.787229 kBT
2ozbF_M378.pdb     -457.127101 kBT
2ozbF_M347.pdb     -427.838235 kBT
2ozbF_M13.pdb     -558.001005 kBT
2ozbF_M111.pdb     -482.595244 kBT
2ozbF_M482.pdb     -416.929267 kBT
2ozbF_M52.pdb     -515.042063 kBT
2ozbF_M228.pdb     -545.367936 kBT
2ozbF_M78.pdb     -446.939981 kBT
2ozbF_M421.pdb     -404.881627 kBT
2ozbF_M245.pdb     -414.585814 kBT
2ozbF_M217.pdb     -380.523859 kBT
2ozbF_M23.pdb     -533.382297 kBT
2ozbF_M349.pdb     -427.760148 kBT
2ozbF_M488.pdb     -456.337767 kBT
2ozbF_M2.pdb     -534.674835 kBT
2ozbF_M80.pdb     -455.284209 kBT
2ozbF_M382.pdb     -352.616473 kBT
2ozbF_M22.pdb     -528.384119 kBT
2ozbF_M438.pdb     -419.175920 kBT
2ozbF_M158.pdb     -433.814115 kBT
2ozbF_M298.pdb     -461.523312 kBT
2ozbF_M360.pdb     -435.441868 kBT
2ozbF_M112.pdb     -445.290765 kBT
2ozbF_M402.pdb     -448.815033 kBT
2ozbF_M204.pdb     -445.176471 kBT
2ozbF_M455.pdb     -437.089611 kBT
2ozbF_M54.pdb     -497.720162 kBT
2ozbF_M35.pdb     -494.830699 kBT
2ozbF_M362.pdb     -444.231861 kBT
2ozbF_M367.pdb     -418.727591 kBT
2ozbF_M300.pdb     -489.647624 kBT
2ozbF_M295.pdb     -489.180081 kBT
2ozbF_M39.pdb     -487.467084 kBT
2ozbF_M366.pdb     -331.386956 kBT
2ozbF_M172.pdb     -470.024325 kBT
2ozbF_M340.pdb     -499.522198 kBT
2ozbF_M5.pdb     -567.050557 kBT
2ozbF_M461.pdb     -404.910882 kBT
2ozbF_M83.pdb     -471.910779 kBT
2ozbF_M361.pdb     -384.463395 kBT
2ozbF_M59.pdb     -540.126886 kBT
2ozbF_M410.pdb     -460.006006 kBT
2ozbF_M431.pdb     -478.863251 kBT
2ozbF_M427.pdb     -380.174275 kBT
2ozbF_M91.pdb     -445.665955 kBT
2ozbF_M270.pdb     -436.532790 kBT
2ozbF_M33.pdb     -488.320679 kBT
2ozbF_M440.pdb     -385.447564 kBT
2ozbF_M446.pdb     -455.437470 kBT
2ozbF_M106.pdb     -472.187442 kBT
2ozbF_M65.pdb     -521.067541 kBT
2ozbF_M403.pdb     -450.616652 kBT
2ozbF_M490.pdb     -422.966210 kBT
2ozbF_M16.pdb     -554.332273 kBT
2ozbF_M320.pdb     -442.578471 kBT
2ozbF_M201.pdb     -475.913031 kBT
2ozbF_M82.pdb     -497.642117 kBT
2ozbF_M463.pdb     -440.559438 kBT
2ozbF_M86.pdb     -505.227231 kBT
2ozbF_M252.pdb     -489.129571 kBT
2ozbF_M329.pdb     -371.949930 kBT
2ozbF_M249.pdb     -441.323938 kBT
2ozbF_M144.pdb     -408.160334 kBT
2ozbF_M441.pdb     -423.926635 kBT
2ozbF_M301.pdb     -415.121305 kBT
2ozbF_M94.pdb     -459.930453 kBT
2ozbF_M335.pdb     -454.365052 kBT
2ozbF_M157.pdb     -464.963086 kBT
2ozbF_M152.pdb     -451.074670 kBT
2ozbF_M492.pdb     -486.989838 kBT
2ozbF_M145.pdb     -426.194454 kBT
2ozbF_M60.pdb     -475.207581 kBT
2ozbF_M136.pdb     -409.752494 kBT
2ozbF_M196.pdb     -474.022479 kBT
2ozbF_M175.pdb     -398.673139 kBT
2ozbF_M436.pdb     -484.659885 kBT
2ozbF_M71.pdb     -487.831321 kBT
2ozbF_M299.pdb     -508.837213 kBT
2ozbF_M315.pdb     -392.008002 kBT
2ozbF_M404.pdb     -374.396784 kBT
2ozbF_M308.pdb     -368.461608 kBT
2ozbF_M478.pdb     -333.272165 kBT
2ozbF_M468.pdb     -411.664343 kBT
2ozbF_M110.pdb     -440.769977 kBT
2ozbF_M62.pdb     -485.893561 kBT
2ozbF_M269.pdb     -394.739745 kBT
2ozbF_M285.pdb     -404.786317 kBT
2ozbF_M8.pdb     -558.167839 kBT
2ozbF_M50.pdb     -513.320065 kBT
2ozbF_M418.pdb     -383.922516 kBT
2ozbF_M40.pdb     -517.440737 kBT
2ozbF_M243.pdb     -443.340903 kBT
2ozbF_M18.pdb     -572.640579 kBT
2ozbF_M180.pdb     -469.692115 kBT
2ozbF_M286.pdb     -440.690409 kBT
2ozbF_M51.pdb     -508.267606 kBT
2ozbF_M155.pdb     -465.428776 kBT
2ozbF_M77.pdb     -441.263763 kBT
2ozbF_M161.pdb     -523.193300 kBT
2ozbF_M105.pdb     -432.285366 kBT
2ozbF_M294.pdb     -376.042433 kBT
2ozbF_M460.pdb     -376.473227 kBT
2ozbF_M475.pdb     -403.227045 kBT
2ozbF_M339.pdb     -482.176120 kBT
2ozbF_M211.pdb     -441.200333 kBT
2ozbF_M163.pdb     -469.052354 kBT
2ozbF_M376.pdb     -521.705096 kBT
2ozbF_M232.pdb     -433.711836 kBT
2ozbF_M150.pdb     -507.342284 kBT
2ozbF_M179.pdb     -478.930845 kBT
2ozbF_M447.pdb     -445.367435 kBT
2ozbF_M484.pdb     -396.752741 kBT
2ozbF_M401.pdb     -487.665702 kBT
2ozbF_M491.pdb     -489.604333 kBT
2ozbF_M435.pdb     -420.533323 kBT
2ozbF_M338.pdb     -478.701866 kBT
2ozbF_M186.pdb     -464.034695 kBT
2ozbF_M89.pdb     -449.038377 kBT
2ozbF_M282.pdb     -412.505218 kBT
2ozbF_M183.pdb     -452.621011 kBT
2ozbF_M139.pdb     -487.142467 kBT
2ozbF_M236.pdb     -348.867272 kBT
2ozbF_M154.pdb     -428.588241 kBT
2ozbF_M384.pdb     -399.412452 kBT
2ozbF_M45.pdb     -516.968757 kBT
2ozbF_M392.pdb     -515.214284 kBT
2ozbF_M385.pdb     -431.098134 kBT
2ozbF_M4.pdb     -559.423819 kBT
2ozbF_M375.pdb     -459.336726 kBT
2ozbF_M341.pdb     -472.983539 kBT
2ozbF_M281.pdb     -404.808333 kBT
2ozbF_M496.pdb     -524.115670 kBT
2ozbF_M118.pdb     -396.689819 kBT
2ozbF_M224.pdb     -417.821287 kBT
2ozbF_M127.pdb     -418.063106 kBT
2ozbF_M374.pdb     -433.879163 kBT
2ozbF_M419.pdb     -444.197090 kBT
2ozbF_M278.pdb     -440.870640 kBT
2ozbF_M379.pdb     -424.664432 kBT
2ozbF_M414.pdb     -408.918706 kBT
2ozbF_M212.pdb     -446.970458 kBT
2ozbF_M76.pdb     -439.527190 kBT
2ozbF_M250.pdb     -409.291445 kBT
2ozbF_M17.pdb     -469.893233 kBT
2ozbF_M365.pdb     -327.757948 kBT
2ozbF_M260.pdb     -387.651605 kBT
2ozbF_M124.pdb     -415.728657 kBT
2ozbF_M465.pdb     -432.551115 kBT
2ozbF_M88.pdb     -511.619141 kBT
2ozbF_M156.pdb     -447.304495 kBT
2ozbF_M489.pdb     -439.923533 kBT
2ozbF_M70.pdb     -512.452640 kBT
2ozbF_M474.pdb     -464.337081 kBT
2ozbF_M25.pdb     -554.374507 kBT
2ozbF_M221.pdb     -392.432382 kBT
2ozbF_M120.pdb     -494.595262 kBT
2ozbF_M274.pdb     -501.045450 kBT
2ozbF_M225.pdb     -403.711709 kBT
2ozbF_M316.pdb     -407.246861 kBT
2ozbF_M430.pdb     -461.305497 kBT
2ozbF_M258.pdb     -430.688078 kBT
2ozbF_M432.pdb     -401.957066 kBT
2ozbF_M119.pdb     -494.784897 kBT
