1u9sA_M46.pdb     -1894.684411 kBT
1u9sA_M422.pdb     -1415.601504 kBT
1u9sA_M424.pdb     -1386.178328 kBT
1u9sA_M333.pdb     -1532.896802 kBT
1u9sA_M187.pdb     -1611.805652 kBT
1u9sA_M304.pdb     -1641.706697 kBT
1u9sA_M486.pdb     -1488.513803 kBT
1u9sA_M435.pdb     -1487.817309 kBT
1u9sA_M352.pdb     -1587.432220 kBT
1u9sA_M456.pdb     -1467.539185 kBT
1u9sA_M437.pdb     -1486.230280 kBT
1u9sA_M123.pdb     -1720.590856 kBT
1u9sA_M225.pdb     -1465.028460 kBT
1u9sA_M353.pdb     -1528.716208 kBT
1u9sA_M205.pdb     -1552.142007 kBT
1u9sA_M8.pdb     -2196.062785 kBT
1u9sA_M196.pdb     -1564.805501 kBT
1u9sA_M293.pdb     -1451.621214 kBT
1u9sA_M185.pdb     -1608.243235 kBT
1u9sA_M269.pdb     -1571.555830 kBT
1u9sA_M289.pdb     -1524.986058 kBT
1u9sA_M21.pdb     -2180.092736 kBT
1u9sA_M498.pdb     -1468.402795 kBT
1u9sA_M72.pdb     -1936.059371 kBT
1u9sA_M134.pdb     -1597.872983 kBT
1u9sA_M114.pdb     -1710.424906 kBT
1u9sA_M194.pdb     -1631.735709 kBT
1u9sA_M63.pdb     -1877.479996 kBT
1u9sA_M218.pdb     -1567.817491 kBT
1u9sA_M266.pdb     -1521.038655 kBT
1u9sA_M29.pdb     -2046.457541 kBT
1u9sA_M423.pdb     -1519.162435 kBT
1u9sA_M226.pdb     -1494.388583 kBT
1u9sA_M405.pdb     -1550.380637 kBT
1u9sA_M135.pdb     -1707.832046 kBT
1u9sA_M192.pdb     -1626.812517 kBT
1u9sA_M376.pdb     -1537.579047 kBT
1u9sA_M54.pdb     -1938.029497 kBT
1u9sA_M249.pdb     -1594.110225 kBT
1u9sA_M419.pdb     -1518.746539 kBT
1u9sA_M427.pdb     -1467.750279 kBT
1u9sA_M159.pdb     -1719.854355 kBT
1u9sA_M206.pdb     -1576.026712 kBT
1u9sA_M24.pdb     -2038.335658 kBT
1u9sA_M474.pdb     -1475.236300 kBT
1u9sA_M273.pdb     -1416.701395 kBT
1u9sA_M342.pdb     -1600.126051 kBT
1u9sA_M107.pdb     -1811.704479 kBT
1u9sA_M359.pdb     -1511.093547 kBT
1u9sA_M328.pdb     -1513.948524 kBT
1u9sA_M462.pdb     -1369.436629 kBT
1u9sA_M428.pdb     -1466.348673 kBT
1u9sA_M55.pdb     -1978.182796 kBT
1u9sA_M327.pdb     -1543.029224 kBT
1u9sA_M396.pdb     -1581.883549 kBT
1u9sA_M37.pdb     -1935.045364 kBT
1u9sA_M411.pdb     -1612.769739 kBT
1u9sA_M240.pdb     -1534.771231 kBT
1u9sA_M372.pdb     -1524.935358 kBT
1u9sA_M256.pdb     -1572.354798 kBT
1u9sA_M120.pdb     -1723.818576 kBT
1u9sA_M61.pdb     -1791.088872 kBT
1u9sA_M414.pdb     -1677.924128 kBT
1u9sA_M326.pdb     -1509.633722 kBT
1u9sA_M171.pdb     -1531.649492 kBT
1u9sA_M494.pdb     -1509.666401 kBT
1u9sA_M492.pdb     -1450.929943 kBT
1u9sA_M102.pdb     -1870.233888 kBT
1u9sA_M317.pdb     -1521.471764 kBT
1u9sA_M325.pdb     -1411.860721 kBT
1u9sA_M285.pdb     -1600.512175 kBT
1u9sA_M421.pdb     -1499.303747 kBT
1u9sA_M234.pdb     -1776.941411 kBT
1u9sA_M198.pdb     -1626.873891 kBT
1u9sA_M36.pdb     -2081.972373 kBT
1u9sA_M19.pdb     -2175.023988 kBT
1u9sA_M265.pdb     -1480.335516 kBT
1u9sA_M125.pdb     -1760.301907 kBT
1u9sA_M454.pdb     -1472.012353 kBT
1u9sA_M10.pdb     -2173.778196 kBT
1u9sA_M294.pdb     -1539.762507 kBT
1u9sA_M481.pdb     -1371.475676 kBT
1u9sA_M110.pdb     -1689.329166 kBT
1u9sA_M482.pdb     -1418.351100 kBT
1u9sA_M113.pdb     -1586.829973 kBT
1u9sA_M315.pdb     -1576.463116 kBT
1u9sA_M42.pdb     -1961.206624 kBT
1u9sA_M479.pdb     -1472.422556 kBT
1u9sA_M232.pdb     -1739.240804 kBT
1u9sA_M337.pdb     -1500.584345 kBT
1u9sA_M436.pdb     -1447.139541 kBT
1u9sA_M420.pdb     -1469.446891 kBT
1u9sA_M432.pdb     -1379.331950 kBT
1u9sA_M282.pdb     -1494.814658 kBT
1u9sA_M115.pdb     -1719.332865 kBT
1u9sA_M358.pdb     -1605.794116 kBT
1u9sA_M150.pdb     -1688.946237 kBT
1u9sA_M25.pdb     -2117.034403 kBT
1u9sA_M179.pdb     -1743.379069 kBT
1u9sA_M235.pdb     -1645.106435 kBT
1u9sA_M204.pdb     -1473.978937 kBT
1u9sA_M117.pdb     -1655.396446 kBT
1u9sA_M73.pdb     -1863.787216 kBT
1u9sA_M197.pdb     -1485.017952 kBT
1u9sA_M95.pdb     -1769.743287 kBT
1u9sA_M49.pdb     -1942.163372 kBT
1u9sA_M295.pdb     -1568.144609 kBT
1u9sA_M316.pdb     -1504.433636 kBT
1u9sA_M459.pdb     -1538.349947 kBT
1u9sA_M472.pdb     -1563.986345 kBT
1u9sA_M438.pdb     -1513.525514 kBT
1u9sA_M382.pdb     -1341.345223 kBT
1u9sA_M338.pdb     -1480.441357 kBT
1u9sA_M417.pdb     -1492.847646 kBT
1u9sA_M260.pdb     -1552.461348 kBT
1u9sA_M404.pdb     -1521.640858 kBT
1u9sA_M312.pdb     -1564.209438 kBT
1u9sA_M497.pdb     -1466.229034 kBT
1u9sA_M297.pdb     -1536.019455 kBT
1u9sA_M28.pdb     -2034.865055 kBT
1u9sA_M278.pdb     -1585.151142 kBT
1u9sA_M71.pdb     -1781.866135 kBT
1u9sA_M207.pdb     -1598.246945 kBT
1u9sA_M35.pdb     -1957.878824 kBT
1u9sA_M203.pdb     -1653.241078 kBT
1u9sA_M56.pdb     -1913.109489 kBT
1u9sA_M389.pdb     -1446.264223 kBT
1u9sA_M320.pdb     -1550.791976 kBT
1u9sA_M447.pdb     -1566.938980 kBT
1u9sA_M239.pdb     -1550.754139 kBT
1u9sA_M346.pdb     -1478.518822 kBT
1u9sA_M77.pdb     -1859.340263 kBT
1u9sA_M22.pdb     -2060.366224 kBT
1u9sA_M126.pdb     -1744.003020 kBT
1u9sA_M184.pdb     -1690.311785 kBT
1u9sA_M243.pdb     -1632.147240 kBT
1u9sA_M495.pdb     -1471.069097 kBT
1u9sA_M449.pdb     -1489.241403 kBT
1u9sA_M362.pdb     -1486.366386 kBT
1u9sA_M191.pdb     -1596.566652 kBT
1u9sA_M39.pdb     -1955.433447 kBT
1u9sA_M112.pdb     -1762.333287 kBT
1u9sA_M161.pdb     -1666.582821 kBT
1u9sA_M183.pdb     -1553.463571 kBT
1u9sA_M453.pdb     -1514.004489 kBT
1u9sA_M271.pdb     -1548.409612 kBT
1u9sA_M141.pdb     -1710.988318 kBT
1u9sA_M87.pdb     -1804.460610 kBT
1u9sA_M195.pdb     -1590.600016 kBT
1u9sA_M228.pdb     -1627.134466 kBT
1u9sA_M99.pdb     -1612.193183 kBT
1u9sA_M253.pdb     -1671.409708 kBT
1u9sA_M154.pdb     -1654.731497 kBT
1u9sA_M199.pdb     -1599.765867 kBT
1u9sA_M43.pdb     -2024.916759 kBT
1u9sA_M485.pdb     -1581.201146 kBT
1u9sA_M488.pdb     -1356.206650 kBT
1u9sA_M32.pdb     -2055.981766 kBT
1u9sA_M381.pdb     -1444.029427 kBT
1u9sA_M145.pdb     -1767.189924 kBT
1u9sA_M252.pdb     -1628.536075 kBT
1u9sA_M387.pdb     -1403.208255 kBT
1u9sA_M318.pdb     -1531.187853 kBT
1u9sA_M450.pdb     -1495.799781 kBT
1u9sA_M18.pdb     -2052.444856 kBT
1u9sA_M415.pdb     -1408.996833 kBT
1u9sA_M395.pdb     -1345.957069 kBT
1u9sA_M101.pdb     -1646.110285 kBT
1u9sA_M247.pdb     -1508.686076 kBT
1u9sA_M410.pdb     -1513.691825 kBT
1u9sA_M88.pdb     -1756.055565 kBT
1u9sA_M2.pdb     -2164.441696 kBT
1u9sA_M26.pdb     -2084.258222 kBT
1u9sA_M268.pdb     -1495.011648 kBT
1u9sA_M400.pdb     -1481.163211 kBT
1u9sA_M48.pdb     -1969.121880 kBT
1u9sA_M91.pdb     -1724.056287 kBT
1u9sA_M388.pdb     -1475.147829 kBT
1u9sA_M137.pdb     -1727.398726 kBT
1u9sA_M223.pdb     -1524.187224 kBT
1u9sA_M222.pdb     -1611.244894 kBT
1u9sA_M402.pdb     -1387.068969 kBT
1u9sA_M319.pdb     -1589.274946 kBT
1u9sA_M94.pdb     -1758.559636 kBT
1u9sA_M324.pdb     -1621.798972 kBT
1u9sA_M463.pdb     -1448.234651 kBT
1u9sA_M242.pdb     -1489.255400 kBT
1u9sA_M299.pdb     -1568.426229 kBT
1u9sA_M307.pdb     -1749.582359 kBT
1u9sA_M50.pdb     -1895.773657 kBT
1u9sA_M142.pdb     -1673.755919 kBT
1u9sA_M489.pdb     -1393.406247 kBT
1u9sA_M483.pdb     -1515.600463 kBT
1u9sA_M45.pdb     -1967.762928 kBT
1u9sA_M460.pdb     -1493.769999 kBT
1u9sA_M257.pdb     -1606.993980 kBT
1u9sA_M169.pdb     -1673.369922 kBT
1u9sA_M81.pdb     -1807.270863 kBT
1u9sA_M174.pdb     -1563.746322 kBT
1u9sA_M44.pdb     -1981.585739 kBT
1u9sA_M186.pdb     -1724.983302 kBT
1u9sA_M290.pdb     -1531.575893 kBT
1u9sA_M480.pdb     -1479.680117 kBT
1u9sA_M68.pdb     -1856.741431 kBT
1u9sA_M399.pdb     -1456.378799 kBT
1u9sA_M116.pdb     -1732.841407 kBT
1u9sA_M412.pdb     -1493.456319 kBT
1u9sA_M93.pdb     -1704.332640 kBT
1u9sA_M165.pdb     -1587.983098 kBT
1u9sA_M367.pdb     -1506.870184 kBT
1u9sA_M104.pdb     -1760.695855 kBT
1u9sA_M394.pdb     -1489.849008 kBT
1u9sA_M80.pdb     -1802.930160 kBT
1u9sA_M274.pdb     -1455.765383 kBT
1u9sA_M52.pdb     -1895.410782 kBT
1u9sA_M370.pdb     -1511.936363 kBT
1u9sA_M430.pdb     -1466.653281 kBT
1u9sA_M390.pdb     -1537.984452 kBT
1u9sA_M283.pdb     -1579.847562 kBT
1u9sA_M445.pdb     -1465.331179 kBT
1u9sA_M291.pdb     -1568.576910 kBT
1u9sA_M355.pdb     -1471.251081 kBT
1u9sA_M250.pdb     -1624.121000 kBT
1u9sA_M172.pdb     -1678.537085 kBT
1u9sA_M65.pdb     -1918.149392 kBT
1u9sA_M391.pdb     -1477.809293 kBT
1u9sA_M5.pdb     -2181.115665 kBT
1u9sA_M364.pdb     -1555.224882 kBT
1u9sA_M217.pdb     -1678.794894 kBT
1u9sA_M75.pdb     -1843.518886 kBT
1u9sA_M128.pdb     -1806.458621 kBT
1u9sA_M425.pdb     -1560.621399 kBT
1u9sA_M433.pdb     -1381.420310 kBT
1u9sA_M190.pdb     -1601.581685 kBT
1u9sA_M398.pdb     -1510.467519 kBT
1u9sA_M51.pdb     -1969.307053 kBT
1u9sA_M298.pdb     -1521.501175 kBT
1u9sA_M182.pdb     -1624.822709 kBT
1u9sA_M384.pdb     -1588.450103 kBT
1u9sA_M369.pdb     -1568.133265 kBT
1u9sA_M11.pdb     -2168.188106 kBT
1u9sA_M457.pdb     -1419.652681 kBT
1u9sA_M60.pdb     -1840.496237 kBT
1u9sA_M284.pdb     -1495.638630 kBT
1u9sA_M66.pdb     -1867.729283 kBT
1u9sA_M378.pdb     -1464.718614 kBT
1u9sA_M496.pdb     -1471.578653 kBT
1u9sA_M173.pdb     -1658.630746 kBT
1u9sA_M281.pdb     -1547.270244 kBT
1u9sA_M393.pdb     -1432.451520 kBT
1u9sA_M490.pdb     -1389.557105 kBT
1u9sA_M270.pdb     -1603.397420 kBT
1u9sA_M105.pdb     -1749.068229 kBT
1u9sA_M409.pdb     -1523.613467 kBT
1u9sA_M347.pdb     -1593.008569 kBT
1u9sA_M493.pdb     -1490.290835 kBT
1u9sA_M34.pdb     -1969.905958 kBT
1u9sA_M70.pdb     -1855.198690 kBT
1u9sA_M23.pdb     -2043.103141 kBT
1u9sA_M47.pdb     -1960.579098 kBT
1u9sA_M136.pdb     -1667.542867 kBT
1u9sA_M208.pdb     -1642.784142 kBT
1u9sA_M237.pdb     -1696.134261 kBT
1u9sA_M408.pdb     -1505.538283 kBT
1u9sA_M245.pdb     -1587.836603 kBT
1u9sA_M407.pdb     -1590.991392 kBT
1u9sA_M106.pdb     -1685.962642 kBT
1u9sA_M477.pdb     -1497.040028 kBT
1u9sA_M160.pdb     -1748.200222 kBT
1u9sA_M157.pdb     -1631.699051 kBT
1u9sA_M162.pdb     -1688.139356 kBT
1u9sA_M397.pdb     -1571.808455 kBT
1u9sA_M59.pdb     -1894.281023 kBT
1u9sA_M248.pdb     -1614.327877 kBT
1u9sA_M348.pdb     -1471.387850 kBT
1u9sA_M440.pdb     -1496.918344 kBT
1u9sA_M176.pdb     -1701.315767 kBT
1u9sA_M132.pdb     -1646.741370 kBT
1u9sA_M491.pdb     -1396.718399 kBT
1u9sA_M331.pdb     -1582.258240 kBT
1u9sA_M354.pdb     -1475.169050 kBT
1u9sA_M434.pdb     -1610.964509 kBT
1u9sA_M379.pdb     -1539.069256 kBT
1u9sA_M300.pdb     -1575.733902 kBT
1u9sA_M309.pdb     -1574.005447 kBT
1u9sA_M288.pdb     -1644.177142 kBT
1u9sA_M121.pdb     -1713.834120 kBT
1u9sA_M167.pdb     -1659.330780 kBT
1u9sA_M151.pdb     -1734.202301 kBT
1u9sA_M357.pdb     -1534.652593 kBT
1u9sA_M4.pdb     -2181.097262 kBT
1u9sA_M221.pdb     -1650.669323 kBT
1u9sA_M200.pdb     -1654.518621 kBT
1u9sA_M230.pdb     -1564.757043 kBT
1u9sA_M343.pdb     -1526.904995 kBT
1u9sA_M310.pdb     -1480.295936 kBT
1u9sA_M341.pdb     -1544.672299 kBT
1u9sA_M322.pdb     -1580.476149 kBT
1u9sA_M368.pdb     -1544.219301 kBT
1u9sA_M152.pdb     -1718.104838 kBT
1u9sA_M92.pdb     -1773.465166 kBT
1u9sA_M122.pdb     -1795.304499 kBT
1u9sA_M386.pdb     -1572.644937 kBT
1u9sA_M464.pdb     -1482.937285 kBT
1u9sA_M76.pdb     -1912.438073 kBT
1u9sA_M202.pdb     -1690.446564 kBT
1u9sA_M85.pdb     -1833.461218 kBT
1u9sA_M443.pdb     -1493.195606 kBT
1u9sA_M466.pdb     -1497.705988 kBT
1u9sA_M262.pdb     -1547.841616 kBT
1u9sA_M78.pdb     -1858.792570 kBT
1u9sA_M499.pdb     -1430.471731 kBT
1u9sA_M500.pdb     -1439.322078 kBT
1u9sA_M296.pdb     -1507.680490 kBT
1u9sA_M251.pdb     -1575.158319 kBT
1u9sA_M168.pdb     -1718.257996 kBT
1u9sA_M175.pdb     -1612.450757 kBT
1u9sA_M429.pdb     -1394.046344 kBT
1u9sA_M468.pdb     -1527.622100 kBT
1u9sA_M236.pdb     -1564.412330 kBT
1u9sA_M470.pdb     -1474.965340 kBT
1u9sA_M478.pdb     -1496.001406 kBT
1u9sA_M108.pdb     -1795.579509 kBT
1u9sA_M97.pdb     -1752.492949 kBT
1u9sA_M335.pdb     -1504.042071 kBT
1u9sA_M212.pdb     -1687.159130 kBT
1u9sA_M90.pdb     -1732.634652 kBT
1u9sA_M189.pdb     -1573.905177 kBT
1u9sA_M238.pdb     -1542.086431 kBT
1u9sA_M180.pdb     -1688.594507 kBT
1u9sA_M89.pdb     -1850.257984 kBT
1u9sA_M475.pdb     -1472.151214 kBT
1u9sA_M329.pdb     -1542.928098 kBT
1u9sA_M487.pdb     -1450.073878 kBT
1u9sA_M244.pdb     -1608.855863 kBT
1u9sA_M62.pdb     -1993.683796 kBT
1u9sA_M40.pdb     -2050.460114 kBT
1u9sA_M82.pdb     -1816.660474 kBT
1u9sA_M330.pdb     -1614.448283 kBT
1u9sA.pdb     -2345.715801 kBT
1u9sA_M340.pdb     -1553.594900 kBT
1u9sA_M181.pdb     -1610.406256 kBT
1u9sA_M213.pdb     -1625.965392 kBT
1u9sA_M155.pdb     -1657.133748 kBT
1u9sA_M345.pdb     -1579.342298 kBT
1u9sA_M166.pdb     -1649.438982 kBT
1u9sA_M38.pdb     -1902.627907 kBT
1u9sA_M255.pdb     -1502.178491 kBT
1u9sA_M33.pdb     -2027.927952 kBT
1u9sA_M441.pdb     -1482.460582 kBT
1u9sA_M215.pdb     -1612.724039 kBT
1u9sA_M406.pdb     -1473.164175 kBT
1u9sA_M131.pdb     -1616.279557 kBT
1u9sA_M246.pdb     -1524.004997 kBT
1u9sA_M377.pdb     -1461.136737 kBT
1u9sA_M177.pdb     -1725.784715 kBT
1u9sA_M452.pdb     -1449.850211 kBT
1u9sA_M129.pdb     -1750.980117 kBT
1u9sA_M58.pdb     -1922.946344 kBT
1u9sA_M214.pdb     -1607.986118 kBT
1u9sA_M467.pdb     -1519.571413 kBT
1u9sA_M147.pdb     -1733.393535 kBT
1u9sA_M334.pdb     -1461.720824 kBT
1u9sA_M13.pdb     -2147.520447 kBT
1u9sA_M233.pdb     -1562.218184 kBT
1u9sA_M188.pdb     -1678.010460 kBT
1u9sA_M473.pdb     -1374.710739 kBT
1u9sA_M41.pdb     -1997.718189 kBT
1u9sA_M374.pdb     -1489.384255 kBT
1u9sA_M371.pdb     -1479.489665 kBT
1u9sA_M350.pdb     -1590.400821 kBT
1u9sA_M130.pdb     -1733.224474 kBT
1u9sA_M380.pdb     -1498.660723 kBT
1u9sA_M178.pdb     -1657.339726 kBT
1u9sA_M229.pdb     -1563.927462 kBT
1u9sA_M361.pdb     -1488.715233 kBT
1u9sA_M275.pdb     -1645.622036 kBT
1u9sA_M332.pdb     -1612.478576 kBT
1u9sA_M280.pdb     -1587.519874 kBT
1u9sA_M64.pdb     -1857.954122 kBT
1u9sA_M124.pdb     -1717.300807 kBT
1u9sA_M86.pdb     -1799.765207 kBT
1u9sA_M53.pdb     -1884.632896 kBT
1u9sA_M9.pdb     -2161.108121 kBT
1u9sA_M349.pdb     -1498.545503 kBT
1u9sA_M216.pdb     -1595.370849 kBT
1u9sA_M308.pdb     -1555.673940 kBT
1u9sA_M267.pdb     -1588.701740 kBT
1u9sA_M96.pdb     -1778.244580 kBT
1u9sA_M133.pdb     -1719.119271 kBT
1u9sA_M366.pdb     -1614.827710 kBT
1u9sA_M401.pdb     -1653.612764 kBT
1u9sA_M164.pdb     -1717.090563 kBT
1u9sA_M20.pdb     -2124.059167 kBT
1u9sA_M17.pdb     -2120.881063 kBT
1u9sA_M12.pdb     -2154.677931 kBT
1u9sA_M7.pdb     -2163.259845 kBT
1u9sA_M148.pdb     -1661.000806 kBT
1u9sA_M14.pdb     -2109.948346 kBT
1u9sA_M403.pdb     -1563.979830 kBT
1u9sA_M418.pdb     -1441.509351 kBT
1u9sA_M311.pdb     -1570.194439 kBT
1u9sA_M67.pdb     -1919.263170 kBT
1u9sA_M363.pdb     -1523.905001 kBT
1u9sA_M336.pdb     -1545.349653 kBT
1u9sA_M392.pdb     -1462.286399 kBT
1u9sA_M31.pdb     -1982.421822 kBT
1u9sA_M469.pdb     -1590.192208 kBT
1u9sA_M83.pdb     -1833.439329 kBT
1u9sA_M163.pdb     -1682.232955 kBT
1u9sA_M254.pdb     -1526.313448 kBT
1u9sA_M272.pdb     -1557.034815 kBT
1u9sA_M3.pdb     -2187.254607 kBT
1u9sA_M258.pdb     -1628.518122 kBT
1u9sA_M416.pdb     -1438.173060 kBT
1u9sA_M313.pdb     -1497.114934 kBT
