6tnaA_M335.pdb     -666.756254 kBT
6tnaA_M246.pdb     -694.676395 kBT
6tnaA_M414.pdb     -675.264329 kBT
6tnaA_M108.pdb     -796.110228 kBT
6tnaA_M265.pdb     -687.921533 kBT
6tnaA_M235.pdb     -777.172262 kBT
6tnaA_M75.pdb     -841.951570 kBT
6tnaA_M171.pdb     -810.298637 kBT
6tnaA_M72.pdb     -833.244148 kBT
6tnaA_M375.pdb     -640.368173 kBT
6tnaA_M141.pdb     -757.271069 kBT
6tnaA_M59.pdb     -885.099557 kBT
6tnaA_M328.pdb     -680.356022 kBT
6tnaA_M433.pdb     -655.932756 kBT
6tnaA_M126.pdb     -812.476932 kBT
6tnaA_M261.pdb     -697.946942 kBT
6tnaA_M258.pdb     -735.072429 kBT
6tnaA_M210.pdb     -686.891339 kBT
6tnaA_M333.pdb     -779.805198 kBT
6tnaA_M324.pdb     -645.537962 kBT
6tnaA_M188.pdb     -805.400015 kBT
6tnaA_M91.pdb     -780.079226 kBT
6tnaA_M345.pdb     -691.600308 kBT
6tnaA_M223.pdb     -728.498755 kBT
6tnaA_M311.pdb     -785.848064 kBT
6tnaA_M445.pdb     -634.984152 kBT
6tnaA_M86.pdb     -825.272773 kBT
6tnaA_M110.pdb     -805.856045 kBT
6tnaA_M372.pdb     -699.544558 kBT
6tnaA_M343.pdb     -703.883942 kBT
6tnaA_M313.pdb     -725.179446 kBT
6tnaA_M257.pdb     -744.836587 kBT
6tnaA_M164.pdb     -781.213807 kBT
6tnaA_M153.pdb     -722.500610 kBT
6tnaA_M286.pdb     -743.865893 kBT
6tnaA_M309.pdb     -746.751080 kBT
6tnaA_M200.pdb     -745.366307 kBT
6tnaA_M5.pdb     -965.771392 kBT
6tnaA_M129.pdb     -737.049531 kBT
6tnaA_M383.pdb     -741.882536 kBT
6tnaA_M142.pdb     -775.831940 kBT
6tnaA_M109.pdb     -716.643472 kBT
6tnaA_M80.pdb     -846.970459 kBT
6tnaA_M232.pdb     -723.152211 kBT
6tnaA_M137.pdb     -712.368280 kBT
6tnaA_M52.pdb     -954.855967 kBT
6tnaA_M307.pdb     -674.737007 kBT
6tnaA_M167.pdb     -746.289803 kBT
6tnaA_M420.pdb     -683.369348 kBT
6tnaA_M297.pdb     -732.730491 kBT
6tnaA_M78.pdb     -826.092670 kBT
6tnaA_M351.pdb     -656.842014 kBT
6tnaA_M394.pdb     -701.085915 kBT
6tnaA_M471.pdb     -672.323647 kBT
6tnaA_M361.pdb     -691.617448 kBT
6tnaA_M409.pdb     -709.929669 kBT
6tnaA_M131.pdb     -743.269149 kBT
6tnaA_M256.pdb     -711.644467 kBT
6tnaA_M327.pdb     -753.252206 kBT
6tnaA_M192.pdb     -720.702384 kBT
6tnaA_M41.pdb     -889.885431 kBT
6tnaA_M367.pdb     -726.836837 kBT
6tnaA_M295.pdb     -756.541411 kBT
6tnaA_M28.pdb     -908.000848 kBT
6tnaA_M456.pdb     -663.381304 kBT
6tnaA_M165.pdb     -808.501030 kBT
6tnaA_M488.pdb     -670.052245 kBT
6tnaA_M389.pdb     -713.815657 kBT
6tnaA_M178.pdb     -779.872114 kBT
6tnaA_M219.pdb     -790.109105 kBT
6tnaA_M42.pdb     -872.902054 kBT
6tnaA_M306.pdb     -658.649059 kBT
6tnaA_M123.pdb     -808.967577 kBT
6tnaA_M4.pdb     -935.134677 kBT
6tnaA_M231.pdb     -731.348025 kBT
6tnaA_M102.pdb     -812.761329 kBT
6tnaA_M373.pdb     -674.555811 kBT
6tnaA_M177.pdb     -746.742359 kBT
6tnaA_M17.pdb     -956.583777 kBT
6tnaA_M332.pdb     -672.294281 kBT
6tnaA_M93.pdb     -768.209573 kBT
6tnaA_M426.pdb     -691.271136 kBT
6tnaA_M320.pdb     -721.463973 kBT
6tnaA_M40.pdb     -844.567678 kBT
6tnaA_M174.pdb     -757.407694 kBT
6tnaA_M475.pdb     -696.924602 kBT
6tnaA_M99.pdb     -844.357286 kBT
6tnaA_M401.pdb     -669.023522 kBT
6tnaA_M462.pdb     -639.516531 kBT
6tnaA_M489.pdb     -718.095515 kBT
6tnaA_M101.pdb     -869.651028 kBT
6tnaA_M33.pdb     -891.695780 kBT
6tnaA_M125.pdb     -776.844663 kBT
6tnaA_M63.pdb     -858.546918 kBT
6tnaA_M337.pdb     -733.986195 kBT
6tnaA_M476.pdb     -619.044448 kBT
6tnaA_M8.pdb     -940.364820 kBT
6tnaA_M406.pdb     -663.657769 kBT
6tnaA_M25.pdb     -978.518662 kBT
6tnaA_M439.pdb     -735.700857 kBT
6tnaA_M51.pdb     -786.632786 kBT
6tnaA_M299.pdb     -773.851505 kBT
6tnaA_M304.pdb     -754.266243 kBT
6tnaA_M325.pdb     -796.405233 kBT
6tnaA_M106.pdb     -846.153206 kBT
6tnaA_M485.pdb     -662.423598 kBT
6tnaA_M302.pdb     -709.076417 kBT
6tnaA_M390.pdb     -799.630770 kBT
6tnaA_M242.pdb     -784.735828 kBT
6tnaA_M166.pdb     -824.600905 kBT
6tnaA_M364.pdb     -651.609223 kBT
6tnaA_M264.pdb     -770.095838 kBT
6tnaA_M37.pdb     -900.707561 kBT
6tnaA_M360.pdb     -636.876484 kBT
6tnaA_M85.pdb     -798.086871 kBT
6tnaA_M500.pdb     -716.294475 kBT
6tnaA_M22.pdb     -938.339905 kBT
6tnaA_M117.pdb     -834.338577 kBT
6tnaA_M115.pdb     -901.936245 kBT
6tnaA_M103.pdb     -783.532080 kBT
6tnaA_M111.pdb     -734.911190 kBT
6tnaA_M464.pdb     -590.505556 kBT
6tnaA_M430.pdb     -654.917835 kBT
6tnaA_M134.pdb     -855.884941 kBT
6tnaA_M436.pdb     -716.071602 kBT
6tnaA_M319.pdb     -680.247921 kBT
6tnaA_M385.pdb     -803.206070 kBT
6tnaA_M355.pdb     -703.243355 kBT
6tnaA_M455.pdb     -696.493416 kBT
6tnaA_M356.pdb     -696.119403 kBT
6tnaA_M255.pdb     -730.614993 kBT
6tnaA_M469.pdb     -663.100911 kBT
6tnaA_M267.pdb     -748.601794 kBT
6tnaA_M482.pdb     -672.478214 kBT
6tnaA_M159.pdb     -752.701829 kBT
6tnaA_M446.pdb     -726.535156 kBT
6tnaA_M208.pdb     -798.878813 kBT
6tnaA_M241.pdb     -791.897346 kBT
6tnaA_M293.pdb     -758.038213 kBT
6tnaA_M259.pdb     -728.543829 kBT
6tnaA_M237.pdb     -725.974366 kBT
6tnaA_M53.pdb     -788.811125 kBT
6tnaA_M217.pdb     -739.571576 kBT
6tnaA_M144.pdb     -773.370437 kBT
6tnaA_M317.pdb     -649.527116 kBT
6tnaA_M251.pdb     -790.626134 kBT
6tnaA_M24.pdb     -926.134189 kBT
6tnaA_M452.pdb     -606.009506 kBT
6tnaA_M342.pdb     -741.903296 kBT
6tnaA_M13.pdb     -947.373280 kBT
6tnaA_M379.pdb     -676.085902 kBT
6tnaA_M492.pdb     -654.600796 kBT
6tnaA_M457.pdb     -570.946341 kBT
6tnaA_M386.pdb     -705.503245 kBT
6tnaA_M35.pdb     -887.502539 kBT
6tnaA_M440.pdb     -749.674186 kBT
6tnaA_M314.pdb     -636.391493 kBT
6tnaA_M140.pdb     -721.103578 kBT
6tnaA_M416.pdb     -711.058697 kBT
6tnaA_M139.pdb     -737.611213 kBT
6tnaA_M250.pdb     -719.135515 kBT
6tnaA_M230.pdb     -766.079045 kBT
6tnaA_M26.pdb     -882.877037 kBT
6tnaA_M239.pdb     -690.615662 kBT
6tnaA_M341.pdb     -638.445943 kBT
6tnaA_M116.pdb     -792.490576 kBT
6tnaA_M32.pdb     -841.055464 kBT
6tnaA_M281.pdb     -710.313849 kBT
6tnaA_M203.pdb     -810.934627 kBT
6tnaA_M23.pdb     -912.554121 kBT
6tnaA_M417.pdb     -648.250119 kBT
6tnaA_M62.pdb     -765.543214 kBT
6tnaA_M2.pdb     -966.223440 kBT
6tnaA_M45.pdb     -863.068384 kBT
6tnaA_M276.pdb     -732.895014 kBT
6tnaA_M428.pdb     -758.277151 kBT
6tnaA_M170.pdb     -759.261323 kBT
6tnaA_M36.pdb     -875.851996 kBT
6tnaA_M437.pdb     -710.398148 kBT
6tnaA_M186.pdb     -739.191626 kBT
6tnaA_M64.pdb     -844.938042 kBT
6tnaA_M363.pdb     -709.902070 kBT
6tnaA_M57.pdb     -831.320343 kBT
6tnaA_M120.pdb     -800.679301 kBT
6tnaA_M196.pdb     -810.959001 kBT
6tnaA_M121.pdb     -777.969001 kBT
6tnaA_M404.pdb     -706.830202 kBT
6tnaA_M19.pdb     -953.305587 kBT
6tnaA_M287.pdb     -697.736249 kBT
6tnaA_M195.pdb     -832.981227 kBT
6tnaA_M403.pdb     -695.569068 kBT
6tnaA_M308.pdb     -705.668966 kBT
6tnaA_M238.pdb     -828.013870 kBT
6tnaA_M441.pdb     -671.155093 kBT
6tnaA_M227.pdb     -808.937177 kBT
6tnaA_M263.pdb     -785.323013 kBT
6tnaA_M58.pdb     -839.073653 kBT
6tnaA_M3.pdb     -954.105713 kBT
6tnaA_M119.pdb     -805.816230 kBT
6tnaA_M16.pdb     -953.808512 kBT
6tnaA_M490.pdb     -654.315629 kBT
6tnaA_M272.pdb     -666.627706 kBT
6tnaA_M393.pdb     -760.732522 kBT
6tnaA_M279.pdb     -774.188232 kBT
6tnaA_M48.pdb     -872.810220 kBT
6tnaA_M163.pdb     -803.120624 kBT
6tnaA_M451.pdb     -740.128061 kBT
6tnaA_M362.pdb     -744.266678 kBT
6tnaA_M146.pdb     -872.941963 kBT
6tnaA_M21.pdb     -890.344459 kBT
6tnaA_M262.pdb     -709.206298 kBT
6tnaA_M234.pdb     -737.561776 kBT
6tnaA_M472.pdb     -693.500295 kBT
6tnaA_M169.pdb     -765.465733 kBT
6tnaA_M150.pdb     -775.519770 kBT
6tnaA_M315.pdb     -835.715205 kBT
6tnaA_M130.pdb     -743.240232 kBT
6tnaA_M222.pdb     -768.115280 kBT
6tnaA_M149.pdb     -731.548874 kBT
6tnaA_M348.pdb     -681.509178 kBT
6tnaA_M392.pdb     -671.566045 kBT
6tnaA_M105.pdb     -801.895239 kBT
6tnaA_M112.pdb     -755.100526 kBT
6tnaA_M254.pdb     -738.967741 kBT
6tnaA_M483.pdb     -696.677654 kBT
6tnaA_M460.pdb     -697.023834 kBT
6tnaA_M357.pdb     -764.718931 kBT
6tnaA_M282.pdb     -680.987825 kBT
6tnaA_M411.pdb     -686.221584 kBT
6tnaA_M480.pdb     -645.021666 kBT
6tnaA_M435.pdb     -678.395385 kBT
6tnaA_M191.pdb     -764.641258 kBT
6tnaA_M122.pdb     -802.505549 kBT
6tnaA_M244.pdb     -747.478243 kBT
6tnaA_M467.pdb     -686.366221 kBT
6tnaA_M221.pdb     -717.044696 kBT
6tnaA_M9.pdb     -963.290835 kBT
6tnaA_M381.pdb     -681.548170 kBT
6tnaA_M421.pdb     -699.456627 kBT
6tnaA_M448.pdb     -645.867112 kBT
6tnaA_M418.pdb     -711.488264 kBT
6tnaA_M432.pdb     -679.124294 kBT
6tnaA_M49.pdb     -831.624923 kBT
6tnaA_M218.pdb     -745.474864 kBT
6tnaA_M376.pdb     -674.641145 kBT
6tnaA_M128.pdb     -730.414535 kBT
6tnaA_M79.pdb     -797.350834 kBT
6tnaA_M199.pdb     -757.750484 kBT
6tnaA_M395.pdb     -663.612770 kBT
6tnaA_M447.pdb     -670.597873 kBT
6tnaA_M260.pdb     -706.379552 kBT
6tnaA_M346.pdb     -729.678321 kBT
6tnaA_M380.pdb     -737.662314 kBT
6tnaA_M424.pdb     -600.604467 kBT
6tnaA_M442.pdb     -597.661220 kBT
6tnaA_M491.pdb     -734.213660 kBT
6tnaA_M463.pdb     -665.632754 kBT
6tnaA_M133.pdb     -744.860647 kBT
6tnaA_M350.pdb     -713.803952 kBT
6tnaA_M180.pdb     -763.289332 kBT
6tnaA_M347.pdb     -656.373957 kBT
6tnaA_M152.pdb     -733.129417 kBT
6tnaA_M209.pdb     -729.222629 kBT
6tnaA_M470.pdb     -691.209058 kBT
6tnaA_M132.pdb     -850.672139 kBT
6tnaA_M498.pdb     -686.738237 kBT
6tnaA_M176.pdb     -759.749257 kBT
6tnaA_M438.pdb     -704.790257 kBT
6tnaA_M18.pdb     -976.759459 kBT
6tnaA_M104.pdb     -770.902318 kBT
6tnaA_M213.pdb     -694.882251 kBT
6tnaA_M70.pdb     -870.126459 kBT
6tnaA_M82.pdb     -833.637393 kBT
6tnaA_M66.pdb     -842.849059 kBT
6tnaA_M68.pdb     -856.255873 kBT
6tnaA_M398.pdb     -709.307882 kBT
6tnaA_M84.pdb     -877.552960 kBT
6tnaA_M396.pdb     -697.890667 kBT
6tnaA_M292.pdb     -724.118003 kBT
6tnaA_M95.pdb     -793.537682 kBT
6tnaA_M305.pdb     -758.367708 kBT
6tnaA_M290.pdb     -742.465354 kBT
6tnaA_M412.pdb     -705.848512 kBT
6tnaA_M157.pdb     -759.382119 kBT
6tnaA_M135.pdb     -786.115168 kBT
6tnaA_M344.pdb     -732.208697 kBT
6tnaA_M481.pdb     -724.864403 kBT
6tnaA_M303.pdb     -837.009521 kBT
6tnaA_M252.pdb     -722.285091 kBT
6tnaA_M204.pdb     -729.266922 kBT
6tnaA_M228.pdb     -784.807289 kBT
6tnaA_M285.pdb     -731.662426 kBT
6tnaA_M301.pdb     -766.862407 kBT
6tnaA_M83.pdb     -742.470399 kBT
6tnaA_M423.pdb     -620.658326 kBT
6tnaA_M179.pdb     -783.855731 kBT
6tnaA_M61.pdb     -810.342423 kBT
6tnaA_M155.pdb     -764.915172 kBT
6tnaA_M275.pdb     -708.492842 kBT
6tnaA_M269.pdb     -768.409256 kBT
6tnaA_M7.pdb     -939.780152 kBT
6tnaA_M175.pdb     -766.227087 kBT
6tnaA_M181.pdb     -744.447120 kBT
6tnaA_M408.pdb     -561.324766 kBT
6tnaA_M14.pdb     -916.671819 kBT
6tnaA_M331.pdb     -702.995981 kBT
6tnaA_M12.pdb     -935.752295 kBT
6tnaA_M29.pdb     -890.069899 kBT
6tnaA_M161.pdb     -743.755337 kBT
6tnaA_M124.pdb     -763.180204 kBT
6tnaA_M427.pdb     -705.656965 kBT
6tnaA_M145.pdb     -729.018390 kBT
6tnaA_M425.pdb     -665.319939 kBT
6tnaA_M229.pdb     -691.693022 kBT
6tnaA_M487.pdb     -782.296858 kBT
6tnaA_M413.pdb     -707.524860 kBT
6tnaA_M466.pdb     -594.361671 kBT
6tnaA_M50.pdb     -816.804114 kBT
6tnaA_M268.pdb     -688.623833 kBT
6tnaA_M202.pdb     -782.135073 kBT
6tnaA_M405.pdb     -610.339366 kBT
6tnaA_M194.pdb     -745.098583 kBT
6tnaA_M190.pdb     -673.959987 kBT
6tnaA_M182.pdb     -777.792274 kBT
6tnaA_M65.pdb     -916.454927 kBT
6tnaA_M459.pdb     -739.632786 kBT
6tnaA_M415.pdb     -658.412221 kBT
6tnaA_M96.pdb     -799.984001 kBT
6tnaA_M443.pdb     -709.051418 kBT
6tnaA_M154.pdb     -776.841308 kBT
6tnaA_M31.pdb     -892.910739 kBT
6tnaA_M273.pdb     -716.855286 kBT
6tnaA_M54.pdb     -781.139331 kBT
6tnaA_M300.pdb     -641.366217 kBT
6tnaA_M206.pdb     -734.764295 kBT
6tnaA_M349.pdb     -753.489755 kBT
6tnaA_M478.pdb     -680.020352 kBT
6tnaA_M465.pdb     -648.847695 kBT
6tnaA_M243.pdb     -832.627552 kBT
6tnaA_M46.pdb     -890.476229 kBT
6tnaA_M284.pdb     -664.557757 kBT
6tnaA_M215.pdb     -768.253107 kBT
6tnaA_M329.pdb     -704.232077 kBT
6tnaA_M107.pdb     -796.672820 kBT
6tnaA_M316.pdb     -697.708542 kBT
6tnaA_M330.pdb     -744.579288 kBT
6tnaA_M369.pdb     -712.607018 kBT
6tnaA_M377.pdb     -741.959426 kBT
6tnaA_M388.pdb     -691.821956 kBT
6tnaA_M148.pdb     -743.854258 kBT
6tnaA_M387.pdb     -711.984262 kBT
6tnaA_M378.pdb     -655.846775 kBT
6tnaA_M162.pdb     -782.999532 kBT
6tnaA_M44.pdb     -896.368031 kBT
6tnaA_M296.pdb     -655.812853 kBT
6tnaA_M399.pdb     -627.694480 kBT
6tnaA_M172.pdb     -826.425710 kBT
6tnaA_M226.pdb     -814.523633 kBT
6tnaA_M497.pdb     -649.028351 kBT
6tnaA_M493.pdb     -619.676712 kBT
6tnaA_M67.pdb     -834.511457 kBT
6tnaA_M298.pdb     -784.950618 kBT
6tnaA_M280.pdb     -612.918579 kBT
6tnaA_M397.pdb     -657.440625 kBT
6tnaA_M138.pdb     -850.355996 kBT
6tnaA_M118.pdb     -803.666501 kBT
6tnaA_M266.pdb     -730.279179 kBT
6tnaA_M233.pdb     -728.630622 kBT
6tnaA_M160.pdb     -783.437436 kBT
6tnaA_M214.pdb     -764.564810 kBT
6tnaA_M113.pdb     -800.379957 kBT
6tnaA_M370.pdb     -734.153532 kBT
6tnaA_M359.pdb     -660.288318 kBT
6tnaA_M81.pdb     -812.575516 kBT
6tnaA_M353.pdb     -692.019516 kBT
6tnaA_M358.pdb     -804.058486 kBT
6tnaA_M55.pdb     -804.467441 kBT
6tnaA_M326.pdb     -644.472637 kBT
6tnaA_M77.pdb     -775.997139 kBT
6tnaA_M247.pdb     -807.271880 kBT
6tnaA_M277.pdb     -685.447448 kBT
6tnaA_M43.pdb     -883.021298 kBT
6tnaA_M323.pdb     -687.880800 kBT
6tnaA_M94.pdb     -842.266518 kBT
6tnaA_M407.pdb     -728.247850 kBT
6tnaA_M368.pdb     -660.133674 kBT
6tnaA_M173.pdb     -691.489814 kBT
6tnaA_M47.pdb     -854.131106 kBT
6tnaA_M60.pdb     -855.585890 kBT
6tnaA_M69.pdb     -817.763666 kBT
6tnaA_M429.pdb     -646.387796 kBT
6tnaA_M90.pdb     -810.388165 kBT
6tnaA_M127.pdb     -827.702632 kBT
6tnaA_M468.pdb     -642.471840 kBT
6tnaA_M450.pdb     -745.106769 kBT
6tnaA_M431.pdb     -705.909507 kBT
6tnaA_M340.pdb     -729.528926 kBT
6tnaA_M253.pdb     -716.045420 kBT
6tnaA_M220.pdb     -665.690205 kBT
6tnaA_M474.pdb     -713.551784 kBT
6tnaA_M496.pdb     -567.922628 kBT
6tnaA_M410.pdb     -736.708771 kBT
6tnaA_M294.pdb     -719.610593 kBT
6tnaA_M318.pdb     -687.644826 kBT
6tnaA_M310.pdb     -748.400438 kBT
6tnaA_M1.pdb     -949.074874 kBT
6tnaA_M422.pdb     -705.042628 kBT
6tnaA_M486.pdb     -635.987858 kBT
6tnaA_M449.pdb     -704.505849 kBT
6tnaA_M338.pdb     -665.357575 kBT
6tnaA_M158.pdb     -737.417663 kBT
6tnaA_M240.pdb     -710.858988 kBT
6tnaA_M11.pdb     -966.598970 kBT
6tnaA_M312.pdb     -784.165954 kBT
6tnaA_M6.pdb     -968.589785 kBT
6tnaA_M339.pdb     -711.385363 kBT
6tnaA_M291.pdb     -702.290548 kBT
6tnaA_M402.pdb     -703.635472 kBT
6tnaA_M184.pdb     -772.164153 kBT
6tnaA_M249.pdb     -764.108577 kBT
6tnaA_M289.pdb     -703.084266 kBT
6tnaA_M71.pdb     -870.426850 kBT
6tnaA_M39.pdb     -826.423257 kBT
6tnaA_M100.pdb     -794.782885 kBT
6tnaA_M201.pdb     -762.011170 kBT
6tnaA_M193.pdb     -840.362053 kBT
6tnaA.pdb     -1239.295863 kBT
6tnaA_M211.pdb     -749.422757 kBT
6tnaA_M374.pdb     -642.531748 kBT
6tnaA_M212.pdb     -723.361832 kBT
6tnaA_M185.pdb     -778.367980 kBT
6tnaA_M434.pdb     -727.423278 kBT
6tnaA_M30.pdb     -933.928538 kBT
6tnaA_M288.pdb     -668.054670 kBT
6tnaA_M151.pdb     -789.318763 kBT
6tnaA_M366.pdb     -703.384174 kBT
6tnaA_M283.pdb     -727.070745 kBT
6tnaA_M198.pdb     -748.883268 kBT
6tnaA_M236.pdb     -785.814583 kBT
6tnaA_M76.pdb     -849.889840 kBT
6tnaA_M88.pdb     -776.533845 kBT
6tnaA_M10.pdb     -953.968069 kBT
6tnaA_M371.pdb     -715.065741 kBT
6tnaA_M136.pdb     -758.028260 kBT
6tnaA_M205.pdb     -799.495683 kBT
