1kuqB_M289.pdb     -607.610957 kBT
1kuqB_M54.pdb     -675.402860 kBT
1kuqB_M186.pdb     -650.253898 kBT
1kuqB_M248.pdb     -592.965272 kBT
1kuqB_M425.pdb     -460.771449 kBT
1kuqB_M332.pdb     -569.373470 kBT
1kuqB_M436.pdb     -545.961827 kBT
1kuqB_M380.pdb     -594.730537 kBT
1kuqB_M172.pdb     -635.984062 kBT
1kuqB_M210.pdb     -595.214334 kBT
1kuqB_M399.pdb     -596.741320 kBT
1kuqB_M102.pdb     -651.835011 kBT
1kuqB_M158.pdb     -629.557918 kBT
1kuqB_M306.pdb     -567.251070 kBT
1kuqB_M280.pdb     -540.982907 kBT
1kuqB_M417.pdb     -601.406705 kBT
1kuqB_M66.pdb     -605.359898 kBT
1kuqB_M212.pdb     -702.991604 kBT
1kuqB_M235.pdb     -600.495655 kBT
1kuqB_M254.pdb     -636.865914 kBT
1kuqB_M412.pdb     -495.358456 kBT
1kuqB_M437.pdb     -619.743928 kBT
1kuqB.pdb     -728.973509 kBT
1kuqB_M209.pdb     -579.558764 kBT
1kuqB_M403.pdb     -532.515661 kBT
1kuqB_M302.pdb     -529.746899 kBT
1kuqB_M449.pdb     -554.735040 kBT
1kuqB_M23.pdb     -755.374770 kBT
1kuqB_M43.pdb     -720.380259 kBT
1kuqB_M285.pdb     -568.217496 kBT
1kuqB_M34.pdb     -740.499821 kBT
1kuqB_M298.pdb     -583.059299 kBT
1kuqB_M141.pdb     -628.216622 kBT
1kuqB_M140.pdb     -590.346520 kBT
1kuqB_M391.pdb     -589.895820 kBT
1kuqB_M162.pdb     -604.160026 kBT
1kuqB_M344.pdb     -491.228793 kBT
1kuqB_M193.pdb     -560.234384 kBT
1kuqB_M434.pdb     -584.171376 kBT
1kuqB_M28.pdb     -736.054644 kBT
1kuqB_M48.pdb     -695.636613 kBT
1kuqB_M494.pdb     -482.573356 kBT
1kuqB_M213.pdb     -618.423153 kBT
1kuqB_M381.pdb     -606.446694 kBT
1kuqB_M474.pdb     -460.583031 kBT
1kuqB_M152.pdb     -627.071501 kBT
1kuqB_M444.pdb     -637.888092 kBT
1kuqB_M131.pdb     -575.898016 kBT
1kuqB_M242.pdb     -597.530329 kBT
1kuqB_M496.pdb     -550.135920 kBT
1kuqB_M463.pdb     -540.190171 kBT
1kuqB_M56.pdb     -692.065050 kBT
1kuqB_M431.pdb     -466.278198 kBT
1kuqB_M225.pdb     -573.267134 kBT
1kuqB_M370.pdb     -547.799249 kBT
1kuqB_M70.pdb     -606.634970 kBT
1kuqB_M498.pdb     -559.927279 kBT
1kuqB_M316.pdb     -567.069080 kBT
1kuqB_M329.pdb     -589.719001 kBT
1kuqB_M216.pdb     -563.921642 kBT
1kuqB_M132.pdb     -635.855070 kBT
1kuqB_M278.pdb     -552.474875 kBT
1kuqB_M424.pdb     -530.686349 kBT
1kuqB_M396.pdb     -548.358065 kBT
1kuqB_M243.pdb     -549.479651 kBT
1kuqB_M103.pdb     -618.123446 kBT
1kuqB_M429.pdb     -547.607727 kBT
1kuqB_M438.pdb     -521.364759 kBT
1kuqB_M455.pdb     -561.842882 kBT
1kuqB_M325.pdb     -582.030828 kBT
1kuqB_M430.pdb     -522.067768 kBT
1kuqB_M76.pdb     -718.488179 kBT
1kuqB_M134.pdb     -602.059849 kBT
1kuqB_M157.pdb     -644.243006 kBT
1kuqB_M340.pdb     -586.096384 kBT
1kuqB_M169.pdb     -561.801762 kBT
1kuqB_M458.pdb     -519.809032 kBT
1kuqB_M116.pdb     -641.716730 kBT
1kuqB_M68.pdb     -656.560274 kBT
1kuqB_M394.pdb     -515.601149 kBT
1kuqB_M127.pdb     -683.668651 kBT
1kuqB_M93.pdb     -650.814098 kBT
1kuqB_M366.pdb     -513.654037 kBT
1kuqB_M405.pdb     -512.140918 kBT
1kuqB_M153.pdb     -530.468138 kBT
1kuqB_M454.pdb     -537.610032 kBT
1kuqB_M420.pdb     -576.677318 kBT
1kuqB_M393.pdb     -574.067084 kBT
1kuqB_M314.pdb     -499.219547 kBT
1kuqB_M80.pdb     -690.113846 kBT
1kuqB_M467.pdb     -483.583410 kBT
1kuqB_M185.pdb     -679.354106 kBT
1kuqB_M371.pdb     -563.435130 kBT
1kuqB_M229.pdb     -623.488720 kBT
1kuqB_M348.pdb     -492.976903 kBT
1kuqB_M311.pdb     -525.474531 kBT
1kuqB_M123.pdb     -626.479689 kBT
1kuqB_M416.pdb     -519.689623 kBT
1kuqB_M337.pdb     -543.700274 kBT
1kuqB_M465.pdb     -575.757773 kBT
1kuqB_M301.pdb     -507.269866 kBT
1kuqB_M361.pdb     -528.709193 kBT
1kuqB_M421.pdb     -485.209961 kBT
1kuqB_M428.pdb     -556.217167 kBT
1kuqB_M1.pdb     -726.669759 kBT
1kuqB_M164.pdb     -626.757819 kBT
1kuqB_M144.pdb     -670.132662 kBT
1kuqB_M251.pdb     -558.685520 kBT
1kuqB_M36.pdb     -695.060006 kBT
1kuqB_M404.pdb     -563.495697 kBT
1kuqB_M322.pdb     -562.630795 kBT
1kuqB_M31.pdb     -765.476842 kBT
1kuqB_M228.pdb     -638.389598 kBT
1kuqB_M150.pdb     -591.542544 kBT
1kuqB_M270.pdb     -562.601364 kBT
1kuqB_M255.pdb     -585.765125 kBT
1kuqB_M67.pdb     -644.114878 kBT
1kuqB_M472.pdb     -581.464068 kBT
1kuqB_M312.pdb     -540.460511 kBT
1kuqB_M257.pdb     -613.891779 kBT
1kuqB_M90.pdb     -630.926389 kBT
1kuqB_M450.pdb     -617.450268 kBT
1kuqB_M359.pdb     -548.016801 kBT
1kuqB_M106.pdb     -690.849172 kBT
1kuqB_M237.pdb     -522.805223 kBT
1kuqB_M151.pdb     -568.673452 kBT
1kuqB_M277.pdb     -534.357145 kBT
1kuqB_M77.pdb     -675.072663 kBT
1kuqB_M410.pdb     -561.502962 kBT
1kuqB_M119.pdb     -659.316039 kBT
1kuqB_M100.pdb     -672.351921 kBT
1kuqB_M439.pdb     -663.064624 kBT
1kuqB_M87.pdb     -679.916250 kBT
1kuqB_M159.pdb     -619.651937 kBT
1kuqB_M475.pdb     -538.863817 kBT
1kuqB_M211.pdb     -609.565844 kBT
1kuqB_M187.pdb     -627.539895 kBT
1kuqB_M148.pdb     -654.734184 kBT
1kuqB_M476.pdb     -583.521778 kBT
1kuqB_M299.pdb     -607.967412 kBT
1kuqB_M239.pdb     -546.674233 kBT
1kuqB_M33.pdb     -742.981837 kBT
1kuqB_M107.pdb     -625.071413 kBT
1kuqB_M266.pdb     -504.546869 kBT
1kuqB_M15.pdb     -761.158446 kBT
1kuqB_M143.pdb     -642.207372 kBT
1kuqB_M94.pdb     -698.938238 kBT
1kuqB_M224.pdb     -612.951244 kBT
1kuqB_M241.pdb     -611.599163 kBT
1kuqB_M261.pdb     -566.546267 kBT
1kuqB_M389.pdb     -579.659419 kBT
1kuqB_M247.pdb     -681.019592 kBT
1kuqB_M41.pdb     -709.802271 kBT
1kuqB_M473.pdb     -549.535981 kBT
1kuqB_M86.pdb     -701.561240 kBT
1kuqB_M445.pdb     -582.391037 kBT
1kuqB_M181.pdb     -642.232764 kBT
1kuqB_M24.pdb     -776.968215 kBT
1kuqB_M414.pdb     -598.251181 kBT
1kuqB_M331.pdb     -574.208375 kBT
1kuqB_M168.pdb     -675.341401 kBT
1kuqB_M343.pdb     -548.193826 kBT
1kuqB_M427.pdb     -545.473714 kBT
1kuqB_M115.pdb     -610.501340 kBT
1kuqB_M21.pdb     -727.047539 kBT
1kuqB_M95.pdb     -682.610878 kBT
1kuqB_M176.pdb     -612.796458 kBT
1kuqB_M355.pdb     -536.831182 kBT
1kuqB_M190.pdb     -606.095444 kBT
1kuqB_M300.pdb     -568.713410 kBT
1kuqB_M32.pdb     -739.440131 kBT
1kuqB_M7.pdb     -729.741867 kBT
1kuqB_M208.pdb     -520.248002 kBT
1kuqB_M124.pdb     -605.035706 kBT
1kuqB_M379.pdb     -569.749027 kBT
1kuqB_M284.pdb     -611.569644 kBT
1kuqB_M400.pdb     -529.935501 kBT
1kuqB_M57.pdb     -693.622380 kBT
1kuqB_M457.pdb     -536.082245 kBT
1kuqB_M397.pdb     -576.268466 kBT
1kuqB_M497.pdb     -512.645338 kBT
1kuqB_M117.pdb     -652.639803 kBT
1kuqB_M310.pdb     -503.469484 kBT
1kuqB_M138.pdb     -554.365584 kBT
1kuqB_M214.pdb     -602.213108 kBT
1kuqB_M376.pdb     -590.348316 kBT
1kuqB_M71.pdb     -628.398022 kBT
1kuqB_M411.pdb     -503.278289 kBT
1kuqB_M75.pdb     -649.303440 kBT
1kuqB_M58.pdb     -670.264678 kBT
1kuqB_M460.pdb     -444.083712 kBT
1kuqB_M297.pdb     -602.617505 kBT
1kuqB_M133.pdb     -653.738912 kBT
1kuqB_M479.pdb     -440.222685 kBT
1kuqB_M358.pdb     -624.169850 kBT
1kuqB_M443.pdb     -608.397903 kBT
1kuqB_M125.pdb     -606.687213 kBT
1kuqB_M452.pdb     -495.108365 kBT
1kuqB_M408.pdb     -578.829040 kBT
1kuqB_M217.pdb     -613.393162 kBT
1kuqB_M118.pdb     -655.486291 kBT
1kuqB_M499.pdb     -559.445493 kBT
1kuqB_M69.pdb     -684.261965 kBT
1kuqB_M274.pdb     -537.704806 kBT
1kuqB_M145.pdb     -678.879542 kBT
1kuqB_M192.pdb     -617.600958 kBT
1kuqB_M354.pdb     -637.888445 kBT
1kuqB_M62.pdb     -749.634402 kBT
1kuqB_M200.pdb     -609.819446 kBT
1kuqB_M42.pdb     -741.701085 kBT
1kuqB_M378.pdb     -546.988227 kBT
1kuqB_M413.pdb     -577.349129 kBT
1kuqB_M53.pdb     -721.749046 kBT
1kuqB_M336.pdb     -538.756332 kBT
1kuqB_M486.pdb     -545.827695 kBT
1kuqB_M182.pdb     -502.516167 kBT
1kuqB_M38.pdb     -746.173159 kBT
1kuqB_M293.pdb     -569.920234 kBT
1kuqB_M149.pdb     -581.998933 kBT
1kuqB_M345.pdb     -504.797084 kBT
1kuqB_M353.pdb     -551.195665 kBT
1kuqB_M333.pdb     -604.370240 kBT
1kuqB_M236.pdb     -574.872290 kBT
1kuqB_M22.pdb     -776.933524 kBT
1kuqB_M110.pdb     -609.040209 kBT
1kuqB_M315.pdb     -618.243922 kBT
1kuqB_M5.pdb     -729.138090 kBT
1kuqB_M105.pdb     -668.913771 kBT
1kuqB_M207.pdb     -572.458574 kBT
1kuqB_M382.pdb     -635.084187 kBT
1kuqB_M6.pdb     -733.745600 kBT
1kuqB_M29.pdb     -715.926843 kBT
1kuqB_M47.pdb     -710.501233 kBT
1kuqB_M81.pdb     -648.953227 kBT
1kuqB_M104.pdb     -623.430093 kBT
1kuqB_M85.pdb     -582.994610 kBT
1kuqB_M26.pdb     -742.780837 kBT
1kuqB_M204.pdb     -614.323113 kBT
1kuqB_M63.pdb     -673.186147 kBT
1kuqB_M175.pdb     -595.896977 kBT
1kuqB_M98.pdb     -663.621356 kBT
1kuqB_M283.pdb     -591.852761 kBT
1kuqB_M485.pdb     -549.830483 kBT
1kuqB_M188.pdb     -680.643122 kBT
1kuqB_M442.pdb     -510.565021 kBT
1kuqB_M234.pdb     -604.685057 kBT
1kuqB_M409.pdb     -517.171569 kBT
1kuqB_M422.pdb     -605.005789 kBT
1kuqB_M166.pdb     -583.009122 kBT
1kuqB_M199.pdb     -583.236782 kBT
1kuqB_M114.pdb     -672.427904 kBT
1kuqB_M173.pdb     -540.806798 kBT
1kuqB_M3.pdb     -725.459429 kBT
1kuqB_M385.pdb     -534.659078 kBT
1kuqB_M121.pdb     -686.595060 kBT
1kuqB_M275.pdb     -583.214750 kBT
1kuqB_M52.pdb     -726.852831 kBT
1kuqB_M73.pdb     -669.341616 kBT
1kuqB_M215.pdb     -667.974481 kBT
1kuqB_M456.pdb     -567.465132 kBT
1kuqB_M40.pdb     -754.693607 kBT
1kuqB_M395.pdb     -596.244794 kBT
1kuqB_M365.pdb     -562.173227 kBT
1kuqB_M37.pdb     -671.660378 kBT
1kuqB_M18.pdb     -742.869270 kBT
1kuqB_M313.pdb     -551.740892 kBT
1kuqB_M64.pdb     -731.016367 kBT
1kuqB_M142.pdb     -588.238135 kBT
1kuqB_M372.pdb     -511.152663 kBT
1kuqB_M218.pdb     -548.747670 kBT
1kuqB_M128.pdb     -633.188539 kBT
1kuqB_M264.pdb     -631.031263 kBT
1kuqB_M262.pdb     -650.325685 kBT
1kuqB_M357.pdb     -565.565167 kBT
1kuqB_M78.pdb     -679.412759 kBT
1kuqB_M19.pdb     -752.012266 kBT
1kuqB_M320.pdb     -572.430080 kBT
1kuqB_M226.pdb     -565.772031 kBT
1kuqB_M161.pdb     -574.896939 kBT
1kuqB_M318.pdb     -530.728992 kBT
1kuqB_M61.pdb     -694.596216 kBT
1kuqB_M72.pdb     -714.699567 kBT
1kuqB_M481.pdb     -504.473026 kBT
1kuqB_M462.pdb     -571.163655 kBT
1kuqB_M303.pdb     -587.280320 kBT
1kuqB_M440.pdb     -542.429944 kBT
1kuqB_M195.pdb     -638.165217 kBT
1kuqB_M111.pdb     -628.441224 kBT
1kuqB_M263.pdb     -541.225331 kBT
1kuqB_M184.pdb     -544.846444 kBT
1kuqB_M335.pdb     -609.378556 kBT
1kuqB_M419.pdb     -498.002746 kBT
1kuqB_M9.pdb     -742.810275 kBT
1kuqB_M406.pdb     -533.302222 kBT
1kuqB_M351.pdb     -590.810820 kBT
1kuqB_M130.pdb     -646.887078 kBT
1kuqB_M373.pdb     -487.303633 kBT
1kuqB_M328.pdb     -516.444169 kBT
1kuqB_M272.pdb     -527.863088 kBT
1kuqB_M92.pdb     -660.581908 kBT
1kuqB_M321.pdb     -533.540573 kBT
1kuqB_M258.pdb     -485.680838 kBT
1kuqB_M493.pdb     -565.407131 kBT
1kuqB_M11.pdb     -729.912372 kBT
1kuqB_M349.pdb     -633.329648 kBT
1kuqB_M146.pdb     -616.023496 kBT
1kuqB_M398.pdb     -561.465117 kBT
1kuqB_M290.pdb     -554.903492 kBT
1kuqB_M112.pdb     -624.786559 kBT
1kuqB_M101.pdb     -566.729022 kBT
1kuqB_M260.pdb     -557.855342 kBT
1kuqB_M51.pdb     -726.963108 kBT
1kuqB_M308.pdb     -612.558044 kBT
1kuqB_M160.pdb     -616.996778 kBT
1kuqB_M35.pdb     -707.148106 kBT
1kuqB_M96.pdb     -687.127017 kBT
1kuqB_M268.pdb     -605.368700 kBT
1kuqB_M222.pdb     -615.467227 kBT
1kuqB_M307.pdb     -482.698888 kBT
1kuqB_M139.pdb     -574.580536 kBT
1kuqB_M20.pdb     -737.479220 kBT
1kuqB_M25.pdb     -733.102297 kBT
1kuqB_M147.pdb     -610.007043 kBT
1kuqB_M256.pdb     -573.827897 kBT
1kuqB_M129.pdb     -708.318129 kBT
1kuqB_M206.pdb     -541.963355 kBT
1kuqB_M471.pdb     -511.037471 kBT
1kuqB_M356.pdb     -566.650240 kBT
1kuqB_M177.pdb     -594.765791 kBT
1kuqB_M341.pdb     -531.578834 kBT
1kuqB_M488.pdb     -493.267578 kBT
1kuqB_M386.pdb     -601.209637 kBT
1kuqB_M364.pdb     -573.794397 kBT
1kuqB_M477.pdb     -525.197922 kBT
1kuqB_M326.pdb     -514.775908 kBT
1kuqB_M267.pdb     -539.753830 kBT
1kuqB_M183.pdb     -663.956290 kBT
1kuqB_M305.pdb     -552.117726 kBT
1kuqB_M367.pdb     -528.797526 kBT
1kuqB_M89.pdb     -702.274868 kBT
1kuqB_M402.pdb     -562.936598 kBT
1kuqB_M97.pdb     -683.808599 kBT
1kuqB_M276.pdb     -530.026328 kBT
1kuqB_M368.pdb     -536.852424 kBT
1kuqB_M334.pdb     -545.404200 kBT
1kuqB_M155.pdb     -633.962658 kBT
1kuqB_M492.pdb     -529.823860 kBT
1kuqB_M309.pdb     -558.743890 kBT
1kuqB_M432.pdb     -511.068406 kBT
1kuqB_M363.pdb     -640.280699 kBT
1kuqB_M13.pdb     -744.740408 kBT
1kuqB_M484.pdb     -585.997936 kBT
1kuqB_M288.pdb     -522.942095 kBT
1kuqB_M287.pdb     -594.332271 kBT
1kuqB_M375.pdb     -482.221697 kBT
1kuqB_M464.pdb     -488.699088 kBT
1kuqB_M4.pdb     -741.725675 kBT
1kuqB_M470.pdb     -552.834206 kBT
1kuqB_M194.pdb     -633.741481 kBT
1kuqB_M201.pdb     -678.410629 kBT
1kuqB_M202.pdb     -617.559898 kBT
1kuqB_M16.pdb     -721.027845 kBT
1kuqB_M500.pdb     -541.828255 kBT
1kuqB_M231.pdb     -653.641892 kBT
1kuqB_M14.pdb     -740.500029 kBT
1kuqB_M360.pdb     -599.142545 kBT
1kuqB_M491.pdb     -540.971337 kBT
1kuqB_M330.pdb     -583.586312 kBT
1kuqB_M453.pdb     -522.751038 kBT
1kuqB_M286.pdb     -593.257209 kBT
1kuqB_M49.pdb     -779.763432 kBT
1kuqB_M483.pdb     -635.431580 kBT
1kuqB_M126.pdb     -609.604812 kBT
1kuqB_M165.pdb     -661.641059 kBT
1kuqB_M154.pdb     -601.474884 kBT
1kuqB_M50.pdb     -706.814023 kBT
1kuqB_M180.pdb     -636.287858 kBT
1kuqB_M433.pdb     -525.416510 kBT
1kuqB_M233.pdb     -628.789785 kBT
1kuqB_M74.pdb     -720.766515 kBT
1kuqB_M292.pdb     -513.437288 kBT
1kuqB_M253.pdb     -622.181372 kBT
1kuqB_M219.pdb     -602.336655 kBT
1kuqB_M108.pdb     -649.162618 kBT
1kuqB_M495.pdb     -545.837313 kBT
1kuqB_M346.pdb     -584.217977 kBT
1kuqB_M44.pdb     -682.868945 kBT
1kuqB_M170.pdb     -654.319290 kBT
1kuqB_M244.pdb     -668.999461 kBT
1kuqB_M223.pdb     -586.138589 kBT
1kuqB_M252.pdb     -609.028580 kBT
1kuqB_M269.pdb     -546.301035 kBT
1kuqB_M490.pdb     -595.003825 kBT
1kuqB_M390.pdb     -557.819234 kBT
1kuqB_M350.pdb     -496.170123 kBT
1kuqB_M423.pdb     -478.584003 kBT
1kuqB_M60.pdb     -715.606106 kBT
1kuqB_M59.pdb     -705.218841 kBT
1kuqB_M171.pdb     -608.890161 kBT
1kuqB_M352.pdb     -610.537378 kBT
1kuqB_M249.pdb     -595.365080 kBT
1kuqB_M122.pdb     -628.485134 kBT
1kuqB_M84.pdb     -668.892620 kBT
1kuqB_M407.pdb     -498.592538 kBT
1kuqB_M174.pdb     -627.207861 kBT
1kuqB_M179.pdb     -590.923728 kBT
1kuqB_M191.pdb     -659.964235 kBT
1kuqB_M294.pdb     -558.539733 kBT
1kuqB_M295.pdb     -504.865799 kBT
1kuqB_M17.pdb     -691.978000 kBT
1kuqB_M415.pdb     -539.237975 kBT
1kuqB_M238.pdb     -533.116525 kBT
1kuqB_M448.pdb     -577.275377 kBT
1kuqB_M246.pdb     -571.334042 kBT
1kuqB_M156.pdb     -591.178941 kBT
1kuqB_M265.pdb     -586.629426 kBT
1kuqB_M384.pdb     -501.740857 kBT
1kuqB_M109.pdb     -680.333042 kBT
1kuqB_M245.pdb     -620.749908 kBT
1kuqB_M10.pdb     -741.187663 kBT
1kuqB_M30.pdb     -691.310159 kBT
1kuqB_M55.pdb     -664.377152 kBT
1kuqB_M387.pdb     -580.434537 kBT
1kuqB_M196.pdb     -655.043442 kBT
1kuqB_M461.pdb     -658.561218 kBT
1kuqB_M178.pdb     -553.970657 kBT
1kuqB_M487.pdb     -549.971091 kBT
1kuqB_M374.pdb     -606.055787 kBT
1kuqB_M230.pdb     -591.872308 kBT
1kuqB_M347.pdb     -564.599170 kBT
1kuqB_M392.pdb     -557.710015 kBT
1kuqB_M296.pdb     -633.643428 kBT
1kuqB_M205.pdb     -641.479010 kBT
1kuqB_M447.pdb     -539.405334 kBT
1kuqB_M137.pdb     -658.230459 kBT
1kuqB_M327.pdb     -584.234761 kBT
1kuqB_M338.pdb     -556.412258 kBT
1kuqB_M441.pdb     -566.367269 kBT
1kuqB_M459.pdb     -581.950264 kBT
