3traA_M408.pdb     -801.471495 kBT
3traA_M229.pdb     -814.571959 kBT
3traA_M216.pdb     -878.310635 kBT
3traA_M461.pdb     -761.285083 kBT
3traA_M104.pdb     -877.077208 kBT
3traA_M470.pdb     -776.928540 kBT
3traA_M248.pdb     -798.781674 kBT
3traA_M266.pdb     -781.246798 kBT
3traA_M350.pdb     -844.798412 kBT
3traA_M45.pdb     -883.656349 kBT
3traA_M274.pdb     -843.546616 kBT
3traA_M492.pdb     -838.946890 kBT
3traA_M219.pdb     -862.111316 kBT
3traA_M8.pdb     -1025.488557 kBT
3traA_M51.pdb     -931.430620 kBT
3traA_M418.pdb     -766.162654 kBT
3traA_M295.pdb     -867.393810 kBT
3traA_M135.pdb     -877.049843 kBT
3traA_M21.pdb     -997.326410 kBT
3traA_M109.pdb     -894.781936 kBT
3traA_M384.pdb     -731.124828 kBT
3traA_M4.pdb     -1043.416066 kBT
3traA_M434.pdb     -774.293231 kBT
3traA_M280.pdb     -781.997963 kBT
3traA_M273.pdb     -749.881856 kBT
3traA_M314.pdb     -830.535530 kBT
3traA_M232.pdb     -845.113562 kBT
3traA_M304.pdb     -795.786735 kBT
3traA_M207.pdb     -852.068919 kBT
3traA_M107.pdb     -951.605047 kBT
3traA_M122.pdb     -928.830096 kBT
3traA_M336.pdb     -885.397783 kBT
3traA_M114.pdb     -885.744418 kBT
3traA_M299.pdb     -797.264135 kBT
3traA_M125.pdb     -914.310035 kBT
3traA_M432.pdb     -751.856169 kBT
3traA_M420.pdb     -758.087657 kBT
3traA_M390.pdb     -892.860395 kBT
3traA_M315.pdb     -835.493753 kBT
3traA_M7.pdb     -1013.600285 kBT
3traA_M134.pdb     -859.321553 kBT
3traA_M206.pdb     -790.314810 kBT
3traA_M345.pdb     -836.554238 kBT
3traA_M316.pdb     -877.444220 kBT
3traA_M328.pdb     -781.991979 kBT
3traA_M201.pdb     -764.281443 kBT
3traA_M310.pdb     -806.621901 kBT
3traA_M75.pdb     -854.309229 kBT
3traA_M88.pdb     -926.658538 kBT
3traA_M466.pdb     -756.263937 kBT
3traA_M305.pdb     -789.991914 kBT
3traA_M83.pdb     -924.892481 kBT
3traA_M365.pdb     -751.308140 kBT
3traA_M307.pdb     -853.192099 kBT
3traA_M236.pdb     -808.224592 kBT
3traA_M464.pdb     -836.905101 kBT
3traA_M115.pdb     -825.636930 kBT
3traA_M112.pdb     -902.043242 kBT
3traA_M141.pdb     -912.637606 kBT
3traA_M182.pdb     -828.865502 kBT
3traA_M476.pdb     -695.401198 kBT
3traA_M33.pdb     -971.521386 kBT
3traA_M376.pdb     -828.952720 kBT
3traA_M293.pdb     -721.721274 kBT
3traA_M348.pdb     -768.865004 kBT
3traA_M372.pdb     -821.024748 kBT
3traA_M97.pdb     -839.337321 kBT
3traA_M344.pdb     -859.439175 kBT
3traA_M467.pdb     -705.621805 kBT
3traA_M448.pdb     -778.600365 kBT
3traA_M226.pdb     -775.495937 kBT
3traA_M48.pdb     -829.018558 kBT
3traA_M416.pdb     -784.013946 kBT
3traA_M100.pdb     -899.141384 kBT
3traA_M311.pdb     -792.411461 kBT
3traA_M251.pdb     -781.036166 kBT
3traA_M142.pdb     -922.390248 kBT
3traA_M49.pdb     -907.440872 kBT
3traA_M289.pdb     -795.155590 kBT
3traA_M99.pdb     -923.075238 kBT
3traA_M355.pdb     -866.189561 kBT
3traA_M42.pdb     -946.623751 kBT
3traA_M162.pdb     -831.330264 kBT
3traA_M392.pdb     -771.943428 kBT
3traA_M430.pdb     -761.875993 kBT
3traA_M202.pdb     -798.356116 kBT
3traA_M388.pdb     -816.471736 kBT
3traA_M245.pdb     -767.635744 kBT
3traA_M399.pdb     -816.289311 kBT
3traA_M369.pdb     -873.681660 kBT
3traA.pdb     -1117.719596 kBT
3traA_M246.pdb     -903.996727 kBT
3traA_M151.pdb     -975.255635 kBT
3traA_M326.pdb     -902.796489 kBT
3traA_M111.pdb     -933.451193 kBT
3traA_M469.pdb     -808.188927 kBT
3traA_M234.pdb     -828.179947 kBT
3traA_M435.pdb     -756.102488 kBT
3traA_M197.pdb     -846.051386 kBT
3traA_M475.pdb     -757.924741 kBT
3traA_M94.pdb     -940.696294 kBT
3traA_M225.pdb     -764.244454 kBT
3traA_M471.pdb     -815.875888 kBT
3traA_M213.pdb     -849.513373 kBT
3traA_M119.pdb     -841.869596 kBT
3traA_M153.pdb     -873.358572 kBT
3traA_M265.pdb     -893.330118 kBT
3traA_M161.pdb     -927.990453 kBT
3traA_M233.pdb     -887.610506 kBT
3traA_M424.pdb     -790.799951 kBT
3traA_M382.pdb     -741.588899 kBT
3traA_M352.pdb     -808.370931 kBT
3traA_M262.pdb     -799.149447 kBT
3traA_M148.pdb     -824.461870 kBT
3traA_M480.pdb     -809.250467 kBT
3traA_M15.pdb     -1015.426440 kBT
3traA_M493.pdb     -723.851500 kBT
3traA_M165.pdb     -834.814256 kBT
3traA_M29.pdb     -1003.608986 kBT
3traA_M79.pdb     -894.322970 kBT
3traA_M108.pdb     -835.552386 kBT
3traA_M139.pdb     -860.013866 kBT
3traA_M18.pdb     -960.185751 kBT
3traA_M423.pdb     -753.768219 kBT
3traA_M170.pdb     -877.999325 kBT
3traA_M403.pdb     -774.111285 kBT
3traA_M455.pdb     -848.116236 kBT
3traA_M228.pdb     -828.250481 kBT
3traA_M309.pdb     -813.931248 kBT
3traA_M239.pdb     -808.222104 kBT
3traA_M90.pdb     -860.666690 kBT
3traA_M487.pdb     -839.465477 kBT
3traA_M118.pdb     -791.091563 kBT
3traA_M160.pdb     -802.707377 kBT
3traA_M407.pdb     -785.123724 kBT
3traA_M463.pdb     -828.317152 kBT
3traA_M243.pdb     -762.784786 kBT
3traA_M318.pdb     -806.427073 kBT
3traA_M297.pdb     -772.917979 kBT
3traA_M263.pdb     -816.157501 kBT
3traA_M334.pdb     -802.477585 kBT
3traA_M421.pdb     -767.458405 kBT
3traA_M195.pdb     -797.426413 kBT
3traA_M44.pdb     -919.730535 kBT
3traA_M456.pdb     -783.032603 kBT
3traA_M484.pdb     -710.524398 kBT
3traA_M150.pdb     -869.486571 kBT
3traA_M452.pdb     -782.065953 kBT
3traA_M431.pdb     -777.960773 kBT
3traA_M479.pdb     -771.540755 kBT
3traA_M260.pdb     -826.576524 kBT
3traA_M181.pdb     -880.603285 kBT
3traA_M284.pdb     -765.000495 kBT
3traA_M366.pdb     -764.410578 kBT
3traA_M406.pdb     -752.210444 kBT
3traA_M417.pdb     -763.818034 kBT
3traA_M267.pdb     -804.692157 kBT
3traA_M325.pdb     -749.835521 kBT
3traA_M186.pdb     -839.292585 kBT
3traA_M308.pdb     -751.788696 kBT
3traA_M287.pdb     -850.590740 kBT
3traA_M459.pdb     -829.765484 kBT
3traA_M258.pdb     -876.153158 kBT
3traA_M458.pdb     -792.558605 kBT
3traA_M498.pdb     -759.690174 kBT
3traA_M172.pdb     -881.362317 kBT
3traA_M17.pdb     -977.267599 kBT
3traA_M85.pdb     -854.529986 kBT
3traA_M74.pdb     -861.559672 kBT
3traA_M437.pdb     -781.173583 kBT
3traA_M276.pdb     -834.611869 kBT
3traA_M250.pdb     -864.886968 kBT
3traA_M249.pdb     -845.536633 kBT
3traA_M145.pdb     -824.566062 kBT
3traA_M354.pdb     -810.687461 kBT
3traA_M373.pdb     -764.680288 kBT
3traA_M256.pdb     -873.710332 kBT
3traA_M255.pdb     -820.183001 kBT
3traA_M447.pdb     -784.242460 kBT
3traA_M72.pdb     -935.058374 kBT
3traA_M296.pdb     -835.980006 kBT
3traA_M282.pdb     -831.376049 kBT
3traA_M370.pdb     -744.816216 kBT
3traA_M409.pdb     -822.992915 kBT
3traA_M419.pdb     -835.025987 kBT
3traA_M235.pdb     -810.385495 kBT
3traA_M66.pdb     -845.906467 kBT
3traA_M98.pdb     -861.975448 kBT
3traA_M16.pdb     -1007.449637 kBT
3traA_M481.pdb     -796.852226 kBT
3traA_M54.pdb     -958.772570 kBT
3traA_M27.pdb     -961.810208 kBT
3traA_M281.pdb     -783.749622 kBT
3traA_M147.pdb     -904.980193 kBT
3traA_M497.pdb     -726.689822 kBT
3traA_M306.pdb     -819.435259 kBT
3traA_M212.pdb     -863.440315 kBT
3traA_M264.pdb     -793.905823 kBT
3traA_M81.pdb     -895.209829 kBT
3traA_M387.pdb     -702.751276 kBT
3traA_M60.pdb     -942.509728 kBT
3traA_M211.pdb     -862.044658 kBT
3traA_M474.pdb     -771.575458 kBT
3traA_M441.pdb     -826.154418 kBT
3traA_M113.pdb     -920.473723 kBT
3traA_M205.pdb     -853.999227 kBT
3traA_M397.pdb     -828.875062 kBT
3traA_M342.pdb     -824.263279 kBT
3traA_M341.pdb     -786.233475 kBT
3traA_M177.pdb     -917.140084 kBT
3traA_M180.pdb     -799.002890 kBT
3traA_M199.pdb     -778.377048 kBT
3traA_M257.pdb     -815.166424 kBT
3traA_M404.pdb     -738.390101 kBT
3traA_M101.pdb     -877.769551 kBT
3traA_M196.pdb     -848.843903 kBT
3traA_M155.pdb     -815.625170 kBT
3traA_M231.pdb     -810.412299 kBT
3traA_M277.pdb     -834.416126 kBT
3traA_M10.pdb     -974.894490 kBT
3traA_M395.pdb     -775.268647 kBT
3traA_M321.pdb     -828.958011 kBT
3traA_M218.pdb     -815.436844 kBT
3traA_M374.pdb     -837.896284 kBT
3traA_M227.pdb     -815.029199 kBT
3traA_M31.pdb     -957.045588 kBT
3traA_M204.pdb     -852.160913 kBT
3traA_M63.pdb     -875.366159 kBT
3traA_M179.pdb     -905.260492 kBT
3traA_M298.pdb     -885.483467 kBT
3traA_M30.pdb     -976.629772 kBT
3traA_M439.pdb     -805.050003 kBT
3traA_M138.pdb     -945.023323 kBT
3traA_M478.pdb     -778.645715 kBT
3traA_M383.pdb     -741.220509 kBT
3traA_M203.pdb     -878.029807 kBT
3traA_M438.pdb     -862.261325 kBT
3traA_M495.pdb     -858.525361 kBT
3traA_M183.pdb     -848.867193 kBT
3traA_M77.pdb     -836.560087 kBT
3traA_M3.pdb     -1022.491821 kBT
3traA_M468.pdb     -834.506486 kBT
3traA_M91.pdb     -925.432824 kBT
3traA_M169.pdb     -869.339251 kBT
3traA_M422.pdb     -743.421220 kBT
3traA_M159.pdb     -801.390882 kBT
3traA_M96.pdb     -884.251011 kBT
3traA_M381.pdb     -797.830408 kBT
3traA_M41.pdb     -965.208173 kBT
3traA_M184.pdb     -786.075734 kBT
3traA_M124.pdb     -772.429876 kBT
3traA_M347.pdb     -775.107611 kBT
3traA_M175.pdb     -851.505575 kBT
3traA_M335.pdb     -902.040040 kBT
3traA_M67.pdb     -873.291753 kBT
3traA_M391.pdb     -824.044977 kBT
3traA_M275.pdb     -786.828308 kBT
3traA_M477.pdb     -816.144803 kBT
3traA_M317.pdb     -736.959728 kBT
3traA_M489.pdb     -783.512259 kBT
3traA_M457.pdb     -789.241942 kBT
3traA_M80.pdb     -920.388807 kBT
3traA_M491.pdb     -825.012476 kBT
3traA_M132.pdb     -806.724359 kBT
3traA_M449.pdb     -749.081600 kBT
3traA_M346.pdb     -820.005046 kBT
3traA_M137.pdb     -809.868340 kBT
3traA_M389.pdb     -755.016652 kBT
3traA_M144.pdb     -879.724618 kBT
3traA_M337.pdb     -816.977086 kBT
3traA_M301.pdb     -834.175091 kBT
3traA_M356.pdb     -842.540783 kBT
3traA_M9.pdb     -1001.864439 kBT
3traA_M292.pdb     -834.388305 kBT
3traA_M319.pdb     -773.548088 kBT
3traA_M362.pdb     -798.251401 kBT
3traA_M168.pdb     -830.939999 kBT
3traA_M290.pdb     -832.270199 kBT
3traA_M1.pdb     -1040.881783 kBT
3traA_M189.pdb     -766.172295 kBT
3traA_M210.pdb     -794.283996 kBT
3traA_M261.pdb     -858.696542 kBT
3traA_M194.pdb     -879.815491 kBT
3traA_M46.pdb     -944.740082 kBT
3traA_M445.pdb     -766.642609 kBT
3traA_M302.pdb     -816.852908 kBT
3traA_M398.pdb     -784.411708 kBT
3traA_M22.pdb     -983.590685 kBT
3traA_M57.pdb     -905.814818 kBT
3traA_M401.pdb     -767.681184 kBT
3traA_M193.pdb     -909.160831 kBT
3traA_M187.pdb     -874.740941 kBT
3traA_M237.pdb     -871.695313 kBT
3traA_M164.pdb     -764.762986 kBT
3traA_M82.pdb     -972.744961 kBT
3traA_M313.pdb     -822.685492 kBT
3traA_M353.pdb     -824.235512 kBT
3traA_M361.pdb     -749.218380 kBT
3traA_M32.pdb     -992.182959 kBT
3traA_M443.pdb     -727.253021 kBT
3traA_M222.pdb     -781.900425 kBT
3traA_M327.pdb     -895.955992 kBT
3traA_M6.pdb     -1017.862253 kBT
3traA_M178.pdb     -797.691160 kBT
3traA_M190.pdb     -826.863159 kBT
3traA_M208.pdb     -895.311958 kBT
3traA_M53.pdb     -907.483926 kBT
3traA_M223.pdb     -861.910467 kBT
3traA_M240.pdb     -781.888987 kBT
3traA_M405.pdb     -785.317356 kBT
3traA_M143.pdb     -930.955655 kBT
3traA_M451.pdb     -772.910103 kBT
3traA_M84.pdb     -897.854407 kBT
3traA_M270.pdb     -790.853248 kBT
3traA_M25.pdb     -973.312042 kBT
3traA_M13.pdb     -1000.166832 kBT
3traA_M20.pdb     -956.229208 kBT
3traA_M200.pdb     -732.671411 kBT
3traA_M496.pdb     -856.288798 kBT
3traA_M19.pdb     -1007.614051 kBT
3traA_M123.pdb     -846.979264 kBT
3traA_M333.pdb     -861.916632 kBT
3traA_M156.pdb     -854.933093 kBT
3traA_M71.pdb     -959.659569 kBT
3traA_M339.pdb     -802.364030 kBT
3traA_M40.pdb     -880.657644 kBT
3traA_M163.pdb     -879.209811 kBT
3traA_M28.pdb     -956.922223 kBT
3traA_M116.pdb     -882.237889 kBT
3traA_M402.pdb     -746.818404 kBT
3traA_M375.pdb     -842.635115 kBT
3traA_M433.pdb     -775.308359 kBT
3traA_M440.pdb     -802.778108 kBT
3traA_M126.pdb     -898.902934 kBT
3traA_M89.pdb     -929.354679 kBT
3traA_M152.pdb     -958.045380 kBT
3traA_M414.pdb     -759.642348 kBT
3traA_M133.pdb     -932.592563 kBT
3traA_M128.pdb     -874.390217 kBT
3traA_M87.pdb     -893.748250 kBT
3traA_M158.pdb     -804.266980 kBT
3traA_M379.pdb     -874.944096 kBT
3traA_M412.pdb     -774.590546 kBT
3traA_M61.pdb     -955.025010 kBT
3traA_M36.pdb     -962.100695 kBT
3traA_M323.pdb     -778.627622 kBT
3traA_M140.pdb     -793.861301 kBT
3traA_M56.pdb     -920.470101 kBT
3traA_M450.pdb     -780.533213 kBT
3traA_M146.pdb     -910.710035 kBT
3traA_M460.pdb     -768.327783 kBT
3traA_M427.pdb     -817.959793 kBT
3traA_M92.pdb     -907.714057 kBT
3traA_M357.pdb     -840.124661 kBT
3traA_M278.pdb     -845.433487 kBT
3traA_M191.pdb     -847.192294 kBT
3traA_M349.pdb     -692.770763 kBT
3traA_M176.pdb     -872.410125 kBT
3traA_M268.pdb     -847.567326 kBT
3traA_M188.pdb     -817.688028 kBT
3traA_M285.pdb     -742.353793 kBT
3traA_M377.pdb     -810.278778 kBT
3traA_M332.pdb     -732.319199 kBT
3traA_M58.pdb     -952.130963 kBT
3traA_M378.pdb     -763.693540 kBT
3traA_M488.pdb     -697.417298 kBT
3traA_M11.pdb     -991.390506 kBT
3traA_M454.pdb     -725.740842 kBT
3traA_M12.pdb     -1062.933653 kBT
3traA_M330.pdb     -808.264570 kBT
3traA_M363.pdb     -760.729619 kBT
3traA_M483.pdb     -856.748718 kBT
3traA_M220.pdb     -824.988888 kBT
3traA_M385.pdb     -725.780987 kBT
3traA_M473.pdb     -758.490818 kBT
3traA_M271.pdb     -843.324063 kBT
3traA_M254.pdb     -809.868923 kBT
3traA_M279.pdb     -911.050495 kBT
3traA_M76.pdb     -856.160796 kBT
3traA_M68.pdb     -882.872711 kBT
3traA_M253.pdb     -892.315076 kBT
3traA_M105.pdb     -845.644258 kBT
3traA_M241.pdb     -782.698493 kBT
3traA_M238.pdb     -726.882602 kBT
3traA_M283.pdb     -818.658941 kBT
3traA_M364.pdb     -782.288382 kBT
3traA_M300.pdb     -791.845355 kBT
3traA_M425.pdb     -706.460958 kBT
3traA_M320.pdb     -796.713470 kBT
3traA_M499.pdb     -718.146835 kBT
3traA_M173.pdb     -839.397447 kBT
3traA_M359.pdb     -828.733894 kBT
3traA_M59.pdb     -973.571798 kBT
3traA_M47.pdb     -930.874309 kBT
3traA_M429.pdb     -724.473824 kBT
3traA_M444.pdb     -742.784231 kBT
3traA_M269.pdb     -770.840018 kBT
3traA_M130.pdb     -890.336595 kBT
3traA_M462.pdb     -776.521272 kBT
3traA_M428.pdb     -842.395621 kBT
3traA_M106.pdb     -834.523500 kBT
3traA_M217.pdb     -803.220296 kBT
3traA_M286.pdb     -821.915358 kBT
3traA_M65.pdb     -911.736555 kBT
3traA_M411.pdb     -764.380768 kBT
3traA_M367.pdb     -859.165773 kBT
3traA_M426.pdb     -738.589869 kBT
3traA_M436.pdb     -810.114722 kBT
3traA_M102.pdb     -828.125857 kBT
3traA_M171.pdb     -824.632735 kBT
3traA_M340.pdb     -809.788834 kBT
3traA_M35.pdb     -1012.106823 kBT
3traA_M95.pdb     -890.129963 kBT
3traA_M400.pdb     -748.723083 kBT
3traA_M174.pdb     -817.220866 kBT
3traA_M288.pdb     -830.127860 kBT
3traA_M486.pdb     -716.766291 kBT
3traA_M93.pdb     -959.231082 kBT
3traA_M380.pdb     -770.805393 kBT
3traA_M192.pdb     -938.677434 kBT
3traA_M117.pdb     -848.355989 kBT
3traA_M252.pdb     -796.082986 kBT
3traA_M24.pdb     -983.765162 kBT
3traA_M26.pdb     -1014.615489 kBT
3traA_M70.pdb     -892.307664 kBT
3traA_M351.pdb     -742.450995 kBT
3traA_M247.pdb     -924.523361 kBT
3traA_M413.pdb     -729.693827 kBT
3traA_M73.pdb     -887.877884 kBT
3traA_M485.pdb     -762.529110 kBT
3traA_M303.pdb     -811.808166 kBT
3traA_M78.pdb     -856.503892 kBT
3traA_M453.pdb     -832.113074 kBT
3traA_M38.pdb     -976.947784 kBT
3traA_M39.pdb     -934.879481 kBT
3traA_M103.pdb     -878.877504 kBT
3traA_M393.pdb     -752.465273 kBT
3traA_M446.pdb     -780.338024 kBT
3traA_M368.pdb     -755.716185 kBT
3traA_M23.pdb     -947.751889 kBT
3traA_M149.pdb     -891.992102 kBT
3traA_M50.pdb     -1004.506179 kBT
3traA_M322.pdb     -796.035448 kBT
3traA_M494.pdb     -770.358971 kBT
3traA_M396.pdb     -823.970253 kBT
3traA_M34.pdb     -934.404749 kBT
