3eogA_M64.pdb     -5065.941955 kBT
3eogA_M192.pdb     -4759.757143 kBT
3eogA_M161.pdb     -4683.504079 kBT
3eogA_M278.pdb     -4454.693043 kBT
3eogA_M96.pdb     -4956.298354 kBT
3eogA_M229.pdb     -4722.394069 kBT
3eogA_M243.pdb     -4551.073778 kBT
3eogA_M248.pdb     -4619.046518 kBT
3eogA_M300.pdb     -4407.402570 kBT
3eogA_M119.pdb     -4939.803391 kBT
3eogA_M65.pdb     -5191.618074 kBT
3eogA_M187.pdb     -4699.224274 kBT
3eogA_M442.pdb     -4261.123474 kBT
3eogA_M462.pdb     -4357.097995 kBT
3eogA_M412.pdb     -4329.048353 kBT
3eogA_M154.pdb     -4778.760404 kBT
3eogA_M313.pdb     -4537.725213 kBT
3eogA_M45.pdb     -5238.912850 kBT
3eogA_M212.pdb     -4619.429608 kBT
3eogA_M392.pdb     -4403.524081 kBT
3eogA_M189.pdb     -4820.160104 kBT
3eogA_M258.pdb     -4626.217710 kBT
3eogA_M405.pdb     -4399.760773 kBT
3eogA_M367.pdb     -4564.105200 kBT
3eogA_M91.pdb     -5011.692469 kBT
3eogA_M121.pdb     -4978.307955 kBT
3eogA_M411.pdb     -4467.522330 kBT
3eogA_M122.pdb     -4804.266384 kBT
3eogA_M164.pdb     -4755.114121 kBT
3eogA_M432.pdb     -4328.279282 kBT
3eogA_M151.pdb     -4869.571837 kBT
3eogA_M365.pdb     -4456.539613 kBT
3eogA_M225.pdb     -4597.339533 kBT
3eogA_M206.pdb     -4574.597202 kBT
3eogA_M102.pdb     -4947.419641 kBT
3eogA_M101.pdb     -5012.855777 kBT
3eogA_M339.pdb     -4548.625380 kBT
3eogA_M145.pdb     -4881.017914 kBT
3eogA_M293.pdb     -4640.696555 kBT
3eogA_M71.pdb     -5002.823996 kBT
3eogA_M246.pdb     -4333.774292 kBT
3eogA_M393.pdb     -4356.117960 kBT
3eogA_M378.pdb     -4572.502992 kBT
3eogA_M447.pdb     -4437.725295 kBT
3eogA_M489.pdb     -4162.447778 kBT
3eogA_M294.pdb     -4470.919850 kBT
3eogA_M349.pdb     -4541.763859 kBT
3eogA_M196.pdb     -4591.985427 kBT
3eogA_M265.pdb     -4525.875332 kBT
3eogA_M69.pdb     -5040.381649 kBT
3eogA_M364.pdb     -4355.300324 kBT
3eogA_M347.pdb     -4436.886214 kBT
3eogA_M481.pdb     -4167.139547 kBT
3eogA_M439.pdb     -4174.403575 kBT
3eogA_M301.pdb     -4463.196123 kBT
3eogA_M358.pdb     -4506.315344 kBT
3eogA_M3.pdb     -5483.109152 kBT
3eogA_M254.pdb     -4527.919316 kBT
3eogA_M306.pdb     -4472.029811 kBT
3eogA_M250.pdb     -4619.517125 kBT
3eogA_M461.pdb     -4472.140771 kBT
3eogA_M76.pdb     -5179.483411 kBT
3eogA.pdb     -5542.076768 kBT
3eogA_M215.pdb     -4678.235733 kBT
3eogA_M40.pdb     -5216.685059 kBT
3eogA_M496.pdb     -4221.638620 kBT
3eogA_M56.pdb     -5268.139303 kBT
3eogA_M280.pdb     -4569.536634 kBT
3eogA_M82.pdb     -4936.722812 kBT
3eogA_M410.pdb     -4260.161340 kBT
3eogA_M159.pdb     -4663.499405 kBT
3eogA_M473.pdb     -4263.026636 kBT
3eogA_M11.pdb     -5569.091511 kBT
3eogA_M388.pdb     -4480.950525 kBT
3eogA_M103.pdb     -4902.061963 kBT
3eogA_M362.pdb     -4419.493204 kBT
3eogA_M453.pdb     -4336.622070 kBT
3eogA_M17.pdb     -5477.868895 kBT
3eogA_M330.pdb     -4357.103123 kBT
3eogA_M325.pdb     -4414.624459 kBT
3eogA_M326.pdb     -4497.461427 kBT
3eogA_M421.pdb     -4495.822859 kBT
3eogA_M37.pdb     -5278.856042 kBT
3eogA_M464.pdb     -4412.039632 kBT
3eogA_M446.pdb     -4513.853787 kBT
3eogA_M497.pdb     -4368.911131 kBT
3eogA_M284.pdb     -4634.517508 kBT
3eogA_M7.pdb     -5559.805965 kBT
3eogA_M107.pdb     -4920.983762 kBT
3eogA_M437.pdb     -4327.770490 kBT
3eogA_M262.pdb     -4615.625206 kBT
3eogA_M423.pdb     -4535.718398 kBT
3eogA_M167.pdb     -4797.575709 kBT
3eogA_M287.pdb     -4695.440036 kBT
3eogA_M279.pdb     -4599.700149 kBT
3eogA_M235.pdb     -4624.116260 kBT
3eogA_M226.pdb     -4664.603976 kBT
3eogA_M272.pdb     -4625.588818 kBT
3eogA_M260.pdb     -4549.637337 kBT
3eogA_M21.pdb     -5525.622838 kBT
3eogA_M6.pdb     -5558.990585 kBT
3eogA_M120.pdb     -4882.184082 kBT
3eogA_M124.pdb     -4911.597356 kBT
3eogA_M20.pdb     -5523.780711 kBT
3eogA_M61.pdb     -5109.775211 kBT
3eogA_M312.pdb     -4505.756923 kBT
3eogA_M463.pdb     -4211.629505 kBT
3eogA_M396.pdb     -4413.936743 kBT
3eogA_M200.pdb     -4663.814209 kBT
3eogA_M460.pdb     -4255.922421 kBT
3eogA_M249.pdb     -4621.405567 kBT
3eogA_M451.pdb     -4297.383744 kBT
3eogA_M36.pdb     -5436.537086 kBT
3eogA_M305.pdb     -4540.121535 kBT
3eogA_M357.pdb     -4578.325411 kBT
3eogA_M241.pdb     -4702.074395 kBT
3eogA_M318.pdb     -4433.749933 kBT
3eogA_M181.pdb     -4617.273230 kBT
3eogA_M115.pdb     -4894.790631 kBT
3eogA_M397.pdb     -4486.425771 kBT
3eogA_M286.pdb     -4561.528148 kBT
3eogA_M148.pdb     -4787.432063 kBT
3eogA_M276.pdb     -4613.671041 kBT
3eogA_M72.pdb     -5070.936638 kBT
3eogA_M109.pdb     -4986.376597 kBT
3eogA_M75.pdb     -5004.216501 kBT
3eogA_M267.pdb     -4576.119333 kBT
3eogA_M415.pdb     -4360.969510 kBT
3eogA_M99.pdb     -5005.506811 kBT
3eogA_M162.pdb     -4794.695217 kBT
3eogA_M113.pdb     -4929.752010 kBT
3eogA_M484.pdb     -4532.934334 kBT
3eogA_M84.pdb     -5010.865131 kBT
3eogA_M70.pdb     -5020.934452 kBT
3eogA_M158.pdb     -4685.294466 kBT
3eogA_M195.pdb     -4768.991716 kBT
3eogA_M68.pdb     -5035.472357 kBT
3eogA_M407.pdb     -4485.928749 kBT
3eogA_M303.pdb     -4472.317469 kBT
3eogA_M58.pdb     -5021.036211 kBT
3eogA_M459.pdb     -4373.503209 kBT
3eogA_M111.pdb     -4788.021258 kBT
3eogA_M304.pdb     -4370.581830 kBT
3eogA_M261.pdb     -4630.022606 kBT
3eogA_M499.pdb     -4213.386777 kBT
3eogA_M470.pdb     -4300.237918 kBT
3eogA_M390.pdb     -4332.381800 kBT
3eogA_M399.pdb     -4483.627687 kBT
3eogA_M19.pdb     -5555.480578 kBT
3eogA_M480.pdb     -4318.527854 kBT
3eogA_M350.pdb     -4415.215390 kBT
3eogA_M34.pdb     -5363.656787 kBT
3eogA_M174.pdb     -4593.870098 kBT
3eogA_M201.pdb     -4593.376637 kBT
3eogA_M26.pdb     -5490.798087 kBT
3eogA_M223.pdb     -4749.214569 kBT
3eogA_M22.pdb     -5563.200286 kBT
3eogA_M431.pdb     -4448.158577 kBT
3eogA_M233.pdb     -4425.580713 kBT
3eogA_M359.pdb     -4591.041218 kBT
3eogA_M8.pdb     -5619.366865 kBT
3eogA_M394.pdb     -4408.782129 kBT
3eogA_M38.pdb     -5281.463408 kBT
3eogA_M110.pdb     -4893.926927 kBT
3eogA_M62.pdb     -5043.641886 kBT
3eogA_M13.pdb     -5611.500999 kBT
3eogA_M199.pdb     -4533.229330 kBT
3eogA_M228.pdb     -4544.914163 kBT
3eogA_M384.pdb     -4539.174810 kBT
3eogA_M176.pdb     -4707.535389 kBT
3eogA_M106.pdb     -5134.737632 kBT
3eogA_M427.pdb     -4468.241082 kBT
3eogA_M83.pdb     -5059.265414 kBT
3eogA_M438.pdb     -4592.486598 kBT
3eogA_M142.pdb     -4800.142442 kBT
3eogA_M51.pdb     -5203.310753 kBT
3eogA_M308.pdb     -4511.928322 kBT
3eogA_M379.pdb     -4479.647401 kBT
3eogA_M27.pdb     -5420.282451 kBT
3eogA_M491.pdb     -4368.113711 kBT
3eogA_M232.pdb     -4620.183675 kBT
3eogA_M455.pdb     -4362.792003 kBT
3eogA_M118.pdb     -4934.994614 kBT
3eogA_M373.pdb     -4482.677345 kBT
3eogA_M153.pdb     -4845.526593 kBT
3eogA_M263.pdb     -4505.408050 kBT
3eogA_M465.pdb     -4265.366943 kBT
3eogA_M35.pdb     -5461.946971 kBT
3eogA_M292.pdb     -4624.990066 kBT
3eogA_M182.pdb     -4644.376161 kBT
3eogA_M490.pdb     -4430.605914 kBT
3eogA_M420.pdb     -4508.747661 kBT
3eogA_M386.pdb     -4480.657479 kBT
3eogA_M296.pdb     -4578.343664 kBT
3eogA_M426.pdb     -4479.627233 kBT
3eogA_M112.pdb     -4767.321143 kBT
3eogA_M416.pdb     -4305.850369 kBT
3eogA_M144.pdb     -4873.702338 kBT
3eogA_M9.pdb     -5576.070243 kBT
3eogA_M429.pdb     -4569.678063 kBT
3eogA_M389.pdb     -4439.786662 kBT
3eogA_M149.pdb     -4729.629035 kBT
3eogA_M483.pdb     -4399.713723 kBT
3eogA_M230.pdb     -4523.710143 kBT
3eogA_M487.pdb     -4345.898249 kBT
3eogA_M468.pdb     -4472.875013 kBT
3eogA_M87.pdb     -5047.808206 kBT
3eogA_M377.pdb     -4393.636172 kBT
3eogA_M371.pdb     -4327.446637 kBT
3eogA_M277.pdb     -4396.254033 kBT
3eogA_M24.pdb     -5475.412693 kBT
3eogA_M391.pdb     -4573.369594 kBT
3eogA_M95.pdb     -4926.329988 kBT
3eogA_M404.pdb     -4530.337188 kBT
3eogA_M59.pdb     -5183.143687 kBT
3eogA_M417.pdb     -4565.744692 kBT
3eogA_M335.pdb     -4327.062837 kBT
3eogA_M376.pdb     -4469.137486 kBT
3eogA_M381.pdb     -4305.930333 kBT
3eogA_M139.pdb     -4849.198782 kBT
3eogA_M398.pdb     -4501.171807 kBT
3eogA_M382.pdb     -4551.939295 kBT
3eogA_M456.pdb     -4380.613854 kBT
3eogA_M191.pdb     -4779.725758 kBT
3eogA_M194.pdb     -4567.568429 kBT
3eogA_M141.pdb     -4762.457797 kBT
3eogA_M400.pdb     -4390.627989 kBT
3eogA_M310.pdb     -4543.098645 kBT
3eogA_M222.pdb     -4696.708118 kBT
3eogA_M165.pdb     -4582.457859 kBT
3eogA_M469.pdb     -4389.316923 kBT
3eogA_M329.pdb     -4401.463333 kBT
3eogA_M385.pdb     -4589.758371 kBT
3eogA_M5.pdb     -5605.465089 kBT
3eogA_M288.pdb     -4637.540656 kBT
3eogA_M89.pdb     -4904.213108 kBT
3eogA_M173.pdb     -4708.876631 kBT
3eogA_M53.pdb     -5371.051207 kBT
3eogA_M471.pdb     -4428.539003 kBT
3eogA_M342.pdb     -4537.783982 kBT
3eogA_M479.pdb     -4408.861465 kBT
3eogA_M450.pdb     -4291.627082 kBT
3eogA_M413.pdb     -4412.491158 kBT
3eogA_M477.pdb     -4233.120846 kBT
3eogA_M273.pdb     -4676.881613 kBT
3eogA_M372.pdb     -4508.668726 kBT
3eogA_M52.pdb     -5173.732493 kBT
3eogA_M474.pdb     -4376.030005 kBT
3eogA_M98.pdb     -4950.556865 kBT
3eogA_M135.pdb     -4786.958796 kBT
3eogA_M422.pdb     -4364.467054 kBT
3eogA_M291.pdb     -4497.259383 kBT
3eogA_M46.pdb     -5300.220859 kBT
3eogA_M79.pdb     -4958.194760 kBT
3eogA_M430.pdb     -4484.427085 kBT
3eogA_M66.pdb     -5142.091698 kBT
3eogA_M217.pdb     -4611.013464 kBT
3eogA_M321.pdb     -4376.433703 kBT
3eogA_M77.pdb     -5060.527856 kBT
3eogA_M247.pdb     -4577.213559 kBT
3eogA_M150.pdb     -4552.064960 kBT
3eogA_M202.pdb     -4683.829383 kBT
3eogA_M336.pdb     -4437.829447 kBT
3eogA_M341.pdb     -4545.872747 kBT
3eogA_M472.pdb     -4206.139702 kBT
3eogA_M345.pdb     -4613.586131 kBT
3eogA_M214.pdb     -4613.441378 kBT
3eogA_M227.pdb     -4557.581947 kBT
3eogA_M236.pdb     -4574.875157 kBT
3eogA_M198.pdb     -4697.362125 kBT
3eogA_M104.pdb     -4967.728743 kBT
3eogA_M475.pdb     -4421.620872 kBT
3eogA_M42.pdb     -5264.875568 kBT
3eogA_M356.pdb     -4351.353309 kBT
3eogA_M2.pdb     -5493.039602 kBT
3eogA_M328.pdb     -4434.363280 kBT
3eogA_M285.pdb     -4538.937190 kBT
3eogA_M494.pdb     -4348.838293 kBT
3eogA_M39.pdb     -5397.864726 kBT
3eogA_M500.pdb     -4287.679381 kBT
3eogA_M259.pdb     -4582.826330 kBT
3eogA_M179.pdb     -4925.564776 kBT
3eogA_M186.pdb     -4687.326169 kBT
3eogA_M458.pdb     -4383.598767 kBT
3eogA_M170.pdb     -4646.883101 kBT
3eogA_M355.pdb     -4524.357848 kBT
3eogA_M125.pdb     -4958.676028 kBT
3eogA_M116.pdb     -4956.729699 kBT
3eogA_M486.pdb     -4377.967412 kBT
3eogA_M114.pdb     -4923.636157 kBT
3eogA_M375.pdb     -4514.372111 kBT
3eogA_M30.pdb     -5314.217793 kBT
3eogA_M41.pdb     -5448.494500 kBT
3eogA_M231.pdb     -4570.661964 kBT
3eogA_M242.pdb     -4601.433968 kBT
3eogA_M240.pdb     -4549.357355 kBT
3eogA_M218.pdb     -4639.459958 kBT
3eogA_M183.pdb     -4657.857091 kBT
3eogA_M209.pdb     -4597.641027 kBT
3eogA_M344.pdb     -4766.387789 kBT
3eogA_M352.pdb     -4403.249911 kBT
3eogA_M340.pdb     -4320.896240 kBT
3eogA_M282.pdb     -4481.051175 kBT
3eogA_M448.pdb     -4312.588274 kBT
3eogA_M274.pdb     -4464.054245 kBT
3eogA_M220.pdb     -4713.319453 kBT
3eogA_M137.pdb     -4738.376585 kBT
3eogA_M157.pdb     -4778.791531 kBT
3eogA_M271.pdb     -4431.181746 kBT
3eogA_M32.pdb     -5411.236015 kBT
3eogA_M323.pdb     -4392.647642 kBT
3eogA_M81.pdb     -5108.044825 kBT
3eogA_M443.pdb     -4245.239777 kBT
3eogA_M493.pdb     -4244.411740 kBT
3eogA_M47.pdb     -5365.893361 kBT
3eogA_M269.pdb     -4639.061686 kBT
3eogA_M185.pdb     -4453.592804 kBT
