1y39D_M52.pdb     -1047.009926 kBT
1y39D_M158.pdb     -1055.391511 kBT
1y39D_M379.pdb     -943.710284 kBT
1y39D_M310.pdb     -949.030066 kBT
1y39D_M33.pdb     -1100.598277 kBT
1y39D_M84.pdb     -920.012445 kBT
1y39D_M484.pdb     -927.508023 kBT
1y39D_M486.pdb     -888.029097 kBT
1y39D_M281.pdb     -945.461881 kBT
1y39D_M312.pdb     -978.281028 kBT
1y39D_M402.pdb     -904.397714 kBT
1y39D_M363.pdb     -939.159632 kBT
1y39D_M2.pdb     -1090.302858 kBT
1y39D_M477.pdb     -1039.570951 kBT
1y39D_M418.pdb     -1006.242490 kBT
1y39D_M338.pdb     -899.290925 kBT
1y39D_M17.pdb     -1063.609694 kBT
1y39D_M66.pdb     -1004.989283 kBT
1y39D_M99.pdb     -1007.249265 kBT
1y39D_M304.pdb     -957.675593 kBT
1y39D_M110.pdb     -1058.413402 kBT
1y39D_M53.pdb     -1092.919956 kBT
1y39D_M181.pdb     -941.313498 kBT
1y39D_M57.pdb     -996.613368 kBT
1y39D_M201.pdb     -998.387801 kBT
1y39D_M407.pdb     -914.374678 kBT
1y39D_M25.pdb     -1060.548495 kBT
1y39D_M442.pdb     -879.449119 kBT
1y39D_M429.pdb     -830.715554 kBT
1y39D_M485.pdb     -892.106549 kBT
1y39D_M398.pdb     -954.510151 kBT
1y39D_M431.pdb     -902.530826 kBT
1y39D_M406.pdb     -943.515796 kBT
1y39D_M424.pdb     -861.041331 kBT
1y39D_M455.pdb     -1016.959593 kBT
1y39D_M60.pdb     -1009.444355 kBT
1y39D_M349.pdb     -1010.905622 kBT
1y39D_M237.pdb     -915.728128 kBT
1y39D_M26.pdb     -1114.087791 kBT
1y39D_M438.pdb     -972.691721 kBT
1y39D_M118.pdb     -1013.426205 kBT
1y39D_M61.pdb     -959.106150 kBT
1y39D_M105.pdb     -965.737695 kBT
1y39D_M7.pdb     -1091.471845 kBT
1y39D_M175.pdb     -991.384729 kBT
1y39D_M68.pdb     -1012.952570 kBT
1y39D_M176.pdb     -938.207305 kBT
1y39D_M134.pdb     -957.937610 kBT
1y39D_M481.pdb     -846.853205 kBT
1y39D_M198.pdb     -957.697596 kBT
1y39D_M279.pdb     -916.920534 kBT
1y39D_M46.pdb     -1046.442927 kBT
1y39D.pdb     -1058.820090 kBT
1y39D_M493.pdb     -962.318977 kBT
1y39D_M371.pdb     -906.381283 kBT
1y39D_M248.pdb     -934.856263 kBT
1y39D_M139.pdb     -1009.640618 kBT
1y39D_M19.pdb     -1102.915884 kBT
1y39D_M225.pdb     -966.088311 kBT
1y39D_M185.pdb     -943.810888 kBT
1y39D_M249.pdb     -925.811241 kBT
1y39D_M233.pdb     -997.775363 kBT
1y39D_M169.pdb     -927.068012 kBT
1y39D_M250.pdb     -955.635824 kBT
1y39D_M153.pdb     -911.682155 kBT
1y39D_M291.pdb     -925.850169 kBT
1y39D_M235.pdb     -965.405958 kBT
1y39D_M288.pdb     -955.074995 kBT
1y39D_M387.pdb     -825.160764 kBT
1y39D_M441.pdb     -963.869004 kBT
1y39D_M202.pdb     -932.804179 kBT
1y39D_M48.pdb     -1057.514697 kBT
1y39D_M96.pdb     -989.985897 kBT
1y39D_M247.pdb     -896.390744 kBT
1y39D_M58.pdb     -1011.223840 kBT
1y39D_M383.pdb     -931.037779 kBT
1y39D_M433.pdb     -953.000222 kBT
1y39D_M462.pdb     -906.701547 kBT
1y39D_M23.pdb     -1069.219532 kBT
1y39D_M182.pdb     -911.300351 kBT
1y39D_M480.pdb     -865.194151 kBT
1y39D_M388.pdb     -952.083123 kBT
1y39D_M451.pdb     -928.803255 kBT
1y39D_M375.pdb     -906.683814 kBT
1y39D_M333.pdb     -917.328138 kBT
1y39D_M341.pdb     -954.196702 kBT
1y39D_M167.pdb     -1026.338579 kBT
1y39D_M352.pdb     -907.793897 kBT
1y39D_M150.pdb     -1046.360440 kBT
1y39D_M229.pdb     -929.257997 kBT
1y39D_M146.pdb     -1004.419590 kBT
1y39D_M22.pdb     -1017.380485 kBT
1y39D_M342.pdb     -959.316434 kBT
1y39D_M49.pdb     -1080.571918 kBT
1y39D_M107.pdb     -1049.566212 kBT
1y39D_M405.pdb     -950.808942 kBT
1y39D_M100.pdb     -1007.627842 kBT
1y39D_M336.pdb     -902.694942 kBT
1y39D_M354.pdb     -912.071560 kBT
1y39D_M500.pdb     -902.669717 kBT
1y39D_M77.pdb     -997.199751 kBT
1y39D_M381.pdb     -948.577763 kBT
1y39D_M358.pdb     -977.709953 kBT
1y39D_M447.pdb     -903.799351 kBT
1y39D_M413.pdb     -1021.594676 kBT
1y39D_M131.pdb     -947.905254 kBT
1y39D_M67.pdb     -1014.757805 kBT
1y39D_M348.pdb     -932.190415 kBT
1y39D_M253.pdb     -851.497337 kBT
1y39D_M91.pdb     -1017.039872 kBT
1y39D_M319.pdb     -955.252725 kBT
1y39D_M392.pdb     -987.220573 kBT
1y39D_M125.pdb     -1025.536294 kBT
1y39D_M410.pdb     -941.289975 kBT
1y39D_M295.pdb     -950.639860 kBT
1y39D_M82.pdb     -1034.842568 kBT
1y39D_M238.pdb     -928.892068 kBT
1y39D_M35.pdb     -1049.613147 kBT
1y39D_M47.pdb     -1058.052406 kBT
1y39D_M339.pdb     -946.286697 kBT
1y39D_M5.pdb     -1080.672117 kBT
1y39D_M137.pdb     -961.653996 kBT
1y39D_M275.pdb     -944.276933 kBT
1y39D_M69.pdb     -970.397207 kBT
1y39D_M177.pdb     -961.788533 kBT
1y39D_M384.pdb     -950.000802 kBT
1y39D_M400.pdb     -926.565730 kBT
1y39D_M478.pdb     -921.268558 kBT
1y39D_M159.pdb     -916.102961 kBT
1y39D_M180.pdb     -931.694535 kBT
1y39D_M297.pdb     -935.283191 kBT
1y39D_M376.pdb     -894.815028 kBT
1y39D_M246.pdb     -992.512035 kBT
1y39D_M65.pdb     -1059.231096 kBT
1y39D_M487.pdb     -905.465353 kBT
1y39D_M172.pdb     -914.479787 kBT
1y39D_M445.pdb     -922.756553 kBT
1y39D_M328.pdb     -931.810628 kBT
1y39D_M170.pdb     -996.253669 kBT
1y39D_M102.pdb     -935.335058 kBT
1y39D_M270.pdb     -901.866224 kBT
1y39D_M362.pdb     -997.201807 kBT
1y39D_M34.pdb     -1040.754544 kBT
1y39D_M446.pdb     -937.420999 kBT
1y39D_M422.pdb     -1007.224999 kBT
1y39D_M9.pdb     -1087.368872 kBT
1y39D_M314.pdb     -938.596624 kBT
1y39D_M217.pdb     -956.616628 kBT
1y39D_M174.pdb     -989.045039 kBT
1y39D_M256.pdb     -951.012548 kBT
1y39D_M40.pdb     -1070.695388 kBT
1y39D_M257.pdb     -988.346093 kBT
1y39D_M72.pdb     -1053.411189 kBT
1y39D_M417.pdb     -886.862705 kBT
1y39D_M287.pdb     -894.631901 kBT
1y39D_M221.pdb     -985.656034 kBT
1y39D_M123.pdb     -914.773459 kBT
1y39D_M389.pdb     -857.103367 kBT
1y39D_M277.pdb     -964.432530 kBT
1y39D_M353.pdb     -887.554969 kBT
1y39D_M206.pdb     -993.827291 kBT
1y39D_M240.pdb     -986.945771 kBT
1y39D_M228.pdb     -905.171405 kBT
1y39D_M245.pdb     -955.831879 kBT
1y39D_M183.pdb     -951.337606 kBT
1y39D_M80.pdb     -966.283541 kBT
1y39D_M211.pdb     -992.938037 kBT
1y39D_M226.pdb     -924.926430 kBT
1y39D_M114.pdb     -993.751920 kBT
1y39D_M115.pdb     -998.912514 kBT
1y39D_M306.pdb     -964.412031 kBT
1y39D_M309.pdb     -900.032790 kBT
1y39D_M103.pdb     -980.005383 kBT
1y39D_M427.pdb     -920.402145 kBT
1y39D_M266.pdb     -907.784876 kBT
1y39D_M347.pdb     -932.691171 kBT
1y39D_M394.pdb     -886.499768 kBT
1y39D_M59.pdb     -1057.921322 kBT
1y39D_M138.pdb     -987.686177 kBT
1y39D_M465.pdb     -994.916208 kBT
1y39D_M222.pdb     -985.577768 kBT
1y39D_M360.pdb     -977.250817 kBT
1y39D_M261.pdb     -929.795588 kBT
1y39D_M334.pdb     -891.376933 kBT
1y39D_M130.pdb     -965.823907 kBT
1y39D_M258.pdb     -892.618231 kBT
1y39D_M456.pdb     -963.343588 kBT
1y39D_M184.pdb     -905.657416 kBT
1y39D_M434.pdb     -890.534446 kBT
1y39D_M145.pdb     -939.701001 kBT
1y39D_M396.pdb     -900.517027 kBT
1y39D_M16.pdb     -1067.361930 kBT
1y39D_M403.pdb     -981.227418 kBT
1y39D_M274.pdb     -870.182960 kBT
1y39D_M373.pdb     -948.433271 kBT
1y39D_M113.pdb     -1004.437105 kBT
1y39D_M364.pdb     -938.954285 kBT
1y39D_M329.pdb     -952.739459 kBT
1y39D_M190.pdb     -947.963128 kBT
1y39D_M467.pdb     -964.330892 kBT
1y39D_M268.pdb     -985.586603 kBT
1y39D_M87.pdb     -1027.760022 kBT
1y39D_M112.pdb     -969.030328 kBT
1y39D_M332.pdb     -928.800490 kBT
1y39D_M120.pdb     -981.967848 kBT
1y39D_M323.pdb     -1027.522192 kBT
1y39D_M482.pdb     -939.429589 kBT
1y39D_M489.pdb     -948.186524 kBT
1y39D_M36.pdb     -1045.839238 kBT
1y39D_M453.pdb     -924.168710 kBT
1y39D_M3.pdb     -1096.694646 kBT
1y39D_M208.pdb     -984.701302 kBT
1y39D_M98.pdb     -992.742048 kBT
1y39D_M411.pdb     -984.336015 kBT
1y39D_M140.pdb     -1031.451549 kBT
1y39D_M307.pdb     -929.550644 kBT
1y39D_M241.pdb     -1026.594956 kBT
1y39D_M252.pdb     -998.191029 kBT
1y39D_M444.pdb     -887.128789 kBT
1y39D_M186.pdb     -994.073661 kBT
1y39D_M474.pdb     -965.862000 kBT
1y39D_M129.pdb     -968.137631 kBT
1y39D_M197.pdb     -976.725556 kBT
1y39D_M437.pdb     -932.429468 kBT
1y39D_M326.pdb     -952.140821 kBT
1y39D_M71.pdb     -993.743173 kBT
1y39D_M141.pdb     -989.295060 kBT
1y39D_M265.pdb     -936.926117 kBT
1y39D_M179.pdb     -893.024847 kBT
1y39D_M408.pdb     -893.685992 kBT
1y39D_M426.pdb     -986.625921 kBT
1y39D_M205.pdb     -892.100581 kBT
1y39D_M93.pdb     -984.828459 kBT
1y39D_M128.pdb     -932.713067 kBT
1y39D_M355.pdb     -954.630283 kBT
1y39D_M83.pdb     -965.982326 kBT
1y39D_M305.pdb     -904.135061 kBT
1y39D_M368.pdb     -937.475948 kBT
1y39D_M382.pdb     -874.262141 kBT
1y39D_M95.pdb     -927.577959 kBT
1y39D_M223.pdb     -825.814905 kBT
1y39D_M92.pdb     -984.212378 kBT
1y39D_M439.pdb     -964.443147 kBT
1y39D_M75.pdb     -1026.547407 kBT
1y39D_M285.pdb     -925.753540 kBT
1y39D_M322.pdb     -914.128395 kBT
1y39D_M116.pdb     -1037.928843 kBT
1y39D_M192.pdb     -975.042490 kBT
1y39D_M195.pdb     -993.593794 kBT
1y39D_M51.pdb     -998.499123 kBT
1y39D_M469.pdb     -880.747387 kBT
1y39D_M278.pdb     -942.154914 kBT
1y39D_M73.pdb     -1055.044820 kBT
1y39D_M28.pdb     -1089.390713 kBT
1y39D_M218.pdb     -966.656506 kBT
1y39D_M370.pdb     -963.869082 kBT
1y39D_M64.pdb     -1074.692350 kBT
1y39D_M359.pdb     -971.227522 kBT
1y39D_M308.pdb     -934.858522 kBT
1y39D_M488.pdb     -997.146099 kBT
1y39D_M4.pdb     -1087.747386 kBT
1y39D_M127.pdb     -967.360441 kBT
1y39D_M191.pdb     -940.178903 kBT
1y39D_M350.pdb     -911.798749 kBT
1y39D_M13.pdb     -1092.200892 kBT
1y39D_M395.pdb     -867.073603 kBT
1y39D_M199.pdb     -997.043095 kBT
1y39D_M239.pdb     -976.170033 kBT
1y39D_M136.pdb     -1060.728367 kBT
1y39D_M346.pdb     -938.872530 kBT
1y39D_M215.pdb     -1007.066776 kBT
1y39D_M15.pdb     -1089.735095 kBT
1y39D_M324.pdb     -915.691706 kBT
1y39D_M79.pdb     -1034.498552 kBT
1y39D_M280.pdb     -914.959037 kBT
1y39D_M86.pdb     -977.959431 kBT
1y39D_M357.pdb     -900.508354 kBT
1y39D_M459.pdb     -940.784642 kBT
1y39D_M430.pdb     -934.311882 kBT
1y39D_M327.pdb     -945.662896 kBT
1y39D_M299.pdb     -953.622105 kBT
1y39D_M151.pdb     -900.746528 kBT
1y39D_M101.pdb     -1066.956521 kBT
1y39D_M18.pdb     -1074.413839 kBT
1y39D_M432.pdb     -950.256253 kBT
1y39D_M193.pdb     -978.207063 kBT
1y39D_M97.pdb     -991.751153 kBT
1y39D_M393.pdb     -984.448269 kBT
1y39D_M45.pdb     -1055.995857 kBT
1y39D_M466.pdb     -944.495849 kBT
1y39D_M144.pdb     -957.454661 kBT
1y39D_M331.pdb     -958.614612 kBT
1y39D_M188.pdb     -954.924369 kBT
1y39D_M160.pdb     -989.352395 kBT
1y39D_M397.pdb     -862.746831 kBT
1y39D_M428.pdb     -981.738174 kBT
1y39D_M386.pdb     -937.430202 kBT
1y39D_M149.pdb     -975.558100 kBT
1y39D_M419.pdb     -864.314740 kBT
1y39D_M460.pdb     -899.913313 kBT
1y39D_M1.pdb     -1056.356808 kBT
1y39D_M391.pdb     -923.246982 kBT
1y39D_M171.pdb     -998.537017 kBT
1y39D_M423.pdb     -938.185587 kBT
1y39D_M50.pdb     -1037.002697 kBT
1y39D_M207.pdb     -946.396171 kBT
1y39D_M380.pdb     -944.664199 kBT
1y39D_M316.pdb     -877.329337 kBT
1y39D_M20.pdb     -1081.204524 kBT
1y39D_M255.pdb     -1042.520328 kBT
1y39D_M55.pdb     -979.955846 kBT
1y39D_M135.pdb     -1003.607282 kBT
1y39D_M62.pdb     -1019.229134 kBT
1y39D_M216.pdb     -890.464904 kBT
1y39D_M497.pdb     -944.256715 kBT
1y39D_M200.pdb     -1005.137982 kBT
1y39D_M133.pdb     -939.427736 kBT
1y39D_M343.pdb     -920.430679 kBT
1y39D_M472.pdb     -879.305171 kBT
1y39D_M271.pdb     -847.552515 kBT
1y39D_M232.pdb     -941.040318 kBT
1y39D_M230.pdb     -1012.258914 kBT
1y39D_M38.pdb     -1063.498323 kBT
1y39D_M173.pdb     -926.993467 kBT
1y39D_M351.pdb     -872.597131 kBT
1y39D_M490.pdb     -939.408083 kBT
1y39D_M85.pdb     -1034.013665 kBT
1y39D_M409.pdb     -908.303322 kBT
1y39D_M289.pdb     -997.094340 kBT
1y39D_M491.pdb     -799.767186 kBT
1y39D_M178.pdb     -923.734558 kBT
1y39D_M366.pdb     -884.311372 kBT
1y39D_M290.pdb     -981.788730 kBT
1y39D_M109.pdb     -1000.534142 kBT
1y39D_M76.pdb     -983.163610 kBT
1y39D_M461.pdb     -931.222057 kBT
1y39D_M117.pdb     -1021.291023 kBT
1y39D_M37.pdb     -1048.431267 kBT
1y39D_M356.pdb     -904.356132 kBT
1y39D_M269.pdb     -929.050133 kBT
1y39D_M415.pdb     -929.534737 kBT
1y39D_M475.pdb     -950.982417 kBT
1y39D_M108.pdb     -1037.873586 kBT
1y39D_M436.pdb     -895.745149 kBT
1y39D_M476.pdb     -972.531618 kBT
1y39D_M340.pdb     -956.508570 kBT
1y39D_M132.pdb     -935.642542 kBT
1y39D_M147.pdb     -963.534946 kBT
1y39D_M302.pdb     -939.638265 kBT
1y39D_M209.pdb     -969.744579 kBT
1y39D_M259.pdb     -931.483255 kBT
1y39D_M468.pdb     -941.608482 kBT
1y39D_M164.pdb     -998.528667 kBT
1y39D_M498.pdb     -871.775887 kBT
1y39D_M212.pdb     -1015.775920 kBT
1y39D_M267.pdb     -921.130359 kBT
1y39D_M162.pdb     -988.889308 kBT
1y39D_M220.pdb     -889.931692 kBT
1y39D_M473.pdb     -945.647208 kBT
1y39D_M483.pdb     -953.594433 kBT
1y39D_M414.pdb     -936.748276 kBT
1y39D_M203.pdb     -945.003659 kBT
1y39D_M161.pdb     -1001.693287 kBT
1y39D_M464.pdb     -870.190293 kBT
1y39D_M224.pdb     -968.077109 kBT
1y39D_M435.pdb     -927.691958 kBT
1y39D_M264.pdb     -917.961670 kBT
1y39D_M74.pdb     -969.935153 kBT
1y39D_M412.pdb     -882.902385 kBT
1y39D_M471.pdb     -903.186676 kBT
1y39D_M390.pdb     -962.691280 kBT
1y39D_M8.pdb     -1080.218710 kBT
1y39D_M318.pdb     -981.364121 kBT
1y39D_M194.pdb     -901.559822 kBT
1y39D_M89.pdb     -984.884520 kBT
1y39D_M369.pdb     -906.322270 kBT
1y39D_M189.pdb     -963.402774 kBT
1y39D_M401.pdb     -989.521908 kBT
1y39D_M32.pdb     -1041.691879 kBT
1y39D_M416.pdb     -966.394909 kBT
1y39D_M454.pdb     -981.634821 kBT
1y39D_M63.pdb     -1071.262082 kBT
1y39D_M479.pdb     -923.009539 kBT
1y39D_M458.pdb     -954.377306 kBT
1y39D_M24.pdb     -1099.825039 kBT
1y39D_M70.pdb     -1032.433007 kBT
1y39D_M27.pdb     -1059.300104 kBT
1y39D_M148.pdb     -957.868940 kBT
1y39D_M325.pdb     -879.975116 kBT
1y39D_M294.pdb     -1017.445483 kBT
1y39D_M337.pdb     -946.670546 kBT
1y39D_M30.pdb     -1089.345274 kBT
1y39D_M494.pdb     -914.387601 kBT
1y39D_M284.pdb     -947.981469 kBT
1y39D_M31.pdb     -1047.480717 kBT
1y39D_M6.pdb     -1072.768755 kBT
1y39D_M156.pdb     -965.050401 kBT
1y39D_M243.pdb     -989.574856 kBT
1y39D_M292.pdb     -946.115038 kBT
1y39D_M81.pdb     -992.397026 kBT
1y39D_M421.pdb     -922.324043 kBT
1y39D_M122.pdb     -998.666875 kBT
1y39D_M345.pdb     -901.979576 kBT
1y39D_M377.pdb     -911.064757 kBT
1y39D_M276.pdb     -944.421128 kBT
1y39D_M152.pdb     -984.424500 kBT
1y39D_M106.pdb     -1056.979330 kBT
1y39D_M227.pdb     -985.101836 kBT
1y39D_M251.pdb     -1003.096691 kBT
1y39D_M320.pdb     -950.509575 kBT
1y39D_M448.pdb     -977.567519 kBT
1y39D_M54.pdb     -1065.219808 kBT
1y39D_M496.pdb     -902.994320 kBT
1y39D_M204.pdb     -966.601266 kBT
1y39D_M404.pdb     -945.735682 kBT
1y39D_M365.pdb     -928.152404 kBT
1y39D_M219.pdb     -1003.825193 kBT
1y39D_M335.pdb     -975.555425 kBT
1y39D_M231.pdb     -900.035205 kBT
1y39D_M166.pdb     -1026.843277 kBT
1y39D_M311.pdb     -944.394466 kBT
1y39D_M196.pdb     -969.057750 kBT
1y39D_M41.pdb     -1011.531334 kBT
1y39D_M315.pdb     -958.484039 kBT
1y39D_M187.pdb     -1021.919932 kBT
1y39D_M263.pdb     -1005.225709 kBT
1y39D_M372.pdb     -931.440363 kBT
1y39D_M450.pdb     -911.481649 kBT
1y39D_M155.pdb     -961.482216 kBT
1y39D_M463.pdb     -902.667782 kBT
1y39D_M126.pdb     -1024.659682 kBT
1y39D_M443.pdb     -952.005523 kBT
1y39D_M12.pdb     -1108.560968 kBT
1y39D_M78.pdb     -1017.239820 kBT
1y39D_M303.pdb     -930.399372 kBT
1y39D_M420.pdb     -923.185289 kBT
1y39D_M90.pdb     -965.206984 kBT
1y39D_M440.pdb     -909.180046 kBT
1y39D_M234.pdb     -964.144556 kBT
1y39D_M104.pdb     -1026.034510 kBT
1y39D_M492.pdb     -931.157069 kBT
1y39D_M154.pdb     -955.908651 kBT
1y39D_M214.pdb     -1026.988259 kBT
1y39D_M10.pdb     -1070.393488 kBT
1y39D_M313.pdb     -992.940993 kBT
1y39D_M317.pdb     -941.517348 kBT
1y39D_M283.pdb     -917.931808 kBT
1y39D_M301.pdb     -884.270039 kBT
1y39D_M142.pdb     -1026.338478 kBT
1y39D_M242.pdb     -990.999546 kBT
1y39D_M124.pdb     -1003.441506 kBT
1y39D_M452.pdb     -925.018355 kBT
1y39D_M321.pdb     -884.640458 kBT
1y39D_M88.pdb     -988.234127 kBT
1y39D_M374.pdb     -951.825480 kBT
1y39D_M244.pdb     -885.934956 kBT
1y39D_M168.pdb     -887.524310 kBT
