2quxR_M199.pdb     -335.204721 kBT
2quxR_M149.pdb     -318.013304 kBT
2quxR_M475.pdb     -231.334359 kBT
2quxR_M484.pdb     -177.526508 kBT
2quxR_M230.pdb     -306.991583 kBT
2quxR_M131.pdb     -326.518802 kBT
2quxR_M295.pdb     -277.258851 kBT
2quxR_M36.pdb     -425.277769 kBT
2quxR_M251.pdb     -274.396235 kBT
2quxR_M18.pdb     -448.069765 kBT
2quxR_M363.pdb     -202.683727 kBT
2quxR_M328.pdb     -196.204224 kBT
2quxR_M59.pdb     -384.401432 kBT
2quxR_M244.pdb     -299.779832 kBT
2quxR_M430.pdb     -241.382755 kBT
2quxR_M43.pdb     -421.831190 kBT
2quxR_M406.pdb     -185.833783 kBT
2quxR_M473.pdb     -269.758623 kBT
2quxR_M197.pdb     -340.313285 kBT
2quxR_M157.pdb     -249.911703 kBT
2quxR_M73.pdb     -400.090585 kBT
2quxR_M161.pdb     -207.400049 kBT
2quxR_M89.pdb     -388.809307 kBT
2quxR_M391.pdb     -217.205370 kBT
2quxR_M296.pdb     -272.396340 kBT
2quxR_M104.pdb     -359.873938 kBT
2quxR_M177.pdb     -316.946922 kBT
2quxR_M145.pdb     -323.411989 kBT
2quxR_M457.pdb     -313.728626 kBT
2quxR_M435.pdb     -277.438653 kBT
2quxR_M437.pdb     -181.373683 kBT
2quxR_M323.pdb     -169.393906 kBT
2quxR_M17.pdb     -463.355108 kBT
2quxR_M160.pdb     -279.568969 kBT
2quxR_M213.pdb     -316.270322 kBT
2quxR_M246.pdb     -304.180093 kBT
2quxR_M95.pdb     -388.723094 kBT
2quxR_M487.pdb     -125.168395 kBT
2quxR_M258.pdb     -340.901709 kBT
2quxR_M64.pdb     -365.212475 kBT
2quxR_M165.pdb     -387.983736 kBT
2quxR_M279.pdb     -293.998978 kBT
2quxR_M179.pdb     -281.771443 kBT
2quxR_M427.pdb     -301.428327 kBT
2quxR_M460.pdb     -359.146164 kBT
2quxR_M87.pdb     -344.599394 kBT
2quxR_M486.pdb     -238.128318 kBT
2quxR_M278.pdb     -273.681941 kBT
2quxR_M498.pdb     -182.274502 kBT
2quxR_M355.pdb     -305.664146 kBT
2quxR_M343.pdb     -303.190349 kBT
2quxR_M407.pdb     -280.925721 kBT
2quxR_M169.pdb     -286.070087 kBT
2quxR_M378.pdb     -210.713493 kBT
2quxR_M215.pdb     -335.034209 kBT
2quxR_M285.pdb     -241.189599 kBT
2quxR_M68.pdb     -414.716180 kBT
2quxR_M314.pdb     -303.735065 kBT
2quxR_M416.pdb     -190.844105 kBT
2quxR_M44.pdb     -477.220756 kBT
2quxR_M119.pdb     -353.408739 kBT
2quxR_M225.pdb     -313.567774 kBT
2quxR_M50.pdb     -418.877113 kBT
2quxR_M404.pdb     -260.908158 kBT
2quxR_M247.pdb     -261.001850 kBT
2quxR_M269.pdb     -309.820843 kBT
2quxR_M93.pdb     -365.699121 kBT
2quxR_M309.pdb     -340.746162 kBT
2quxR_M370.pdb     -188.853762 kBT
2quxR_M316.pdb     -237.463186 kBT
2quxR_M393.pdb     -201.379574 kBT
2quxR_M322.pdb     -226.433101 kBT
2quxR_M253.pdb     -283.074472 kBT
2quxR_M351.pdb     -271.838839 kBT
2quxR_M312.pdb     -304.095718 kBT
2quxR_M402.pdb     -206.294169 kBT
2quxR_M105.pdb     -386.465165 kBT
2quxR_M96.pdb     -318.361937 kBT
2quxR_M356.pdb     -376.861011 kBT
2quxR_M445.pdb     -207.007044 kBT
2quxR_M135.pdb     -372.548311 kBT
2quxR_M444.pdb     -202.968956 kBT
2quxR_M90.pdb     -383.671009 kBT
2quxR_M375.pdb     -318.220790 kBT
2quxR_M221.pdb     -253.759530 kBT
2quxR_M205.pdb     -317.810310 kBT
2quxR_M249.pdb     -279.647104 kBT
2quxR_M431.pdb     -200.662167 kBT
2quxR_M390.pdb     -310.057899 kBT
2quxR_M341.pdb     -219.167514 kBT
2quxR_M377.pdb     -262.286805 kBT
2quxR_M56.pdb     -420.146965 kBT
2quxR_M299.pdb     -321.696490 kBT
2quxR_M439.pdb     -251.815595 kBT
2quxR.pdb     -459.072386 kBT
2quxR_M499.pdb     -265.905635 kBT
2quxR_M469.pdb     -233.129088 kBT
2quxR_M440.pdb     -213.994363 kBT
2quxR_M325.pdb     -248.362258 kBT
2quxR_M491.pdb     -240.680212 kBT
2quxR_M337.pdb     -348.477973 kBT
2quxR_M153.pdb     -335.611916 kBT
2quxR_M239.pdb     -338.783429 kBT
2quxR_M411.pdb     -321.752370 kBT
2quxR_M28.pdb     -401.945895 kBT
2quxR_M31.pdb     -423.996192 kBT
2quxR_M13.pdb     -443.749865 kBT
2quxR_M154.pdb     -306.267327 kBT
2quxR_M48.pdb     -395.465493 kBT
2quxR_M67.pdb     -369.236462 kBT
2quxR_M413.pdb     -284.814983 kBT
2quxR_M293.pdb     -277.095416 kBT
2quxR_M454.pdb     -262.687915 kBT
2quxR_M297.pdb     -321.804146 kBT
2quxR_M193.pdb     -329.694854 kBT
2quxR_M488.pdb     -193.279487 kBT
2quxR_M266.pdb     -246.369205 kBT
2quxR_M212.pdb     -298.036970 kBT
2quxR_M474.pdb     -318.650085 kBT
2quxR_M320.pdb     -218.929207 kBT
2quxR_M290.pdb     -257.705581 kBT
2quxR_M146.pdb     -386.071370 kBT
2quxR_M54.pdb     -424.677888 kBT
2quxR_M415.pdb     -250.167174 kBT
2quxR_M172.pdb     -301.912861 kBT
2quxR_M281.pdb     -285.159296 kBT
2quxR_M181.pdb     -372.540812 kBT
2quxR_M260.pdb     -394.368298 kBT
2quxR_M425.pdb     -359.137363 kBT
2quxR_M263.pdb     -273.763242 kBT
2quxR_M357.pdb     -277.627895 kBT
2quxR_M259.pdb     -280.458853 kBT
2quxR_M434.pdb     -306.858131 kBT
2quxR_M495.pdb     -240.224086 kBT
2quxR_M39.pdb     -417.902860 kBT
2quxR_M52.pdb     -440.553376 kBT
2quxR_M433.pdb     -257.949911 kBT
2quxR_M267.pdb     -346.827948 kBT
2quxR_M397.pdb     -163.353120 kBT
2quxR_M420.pdb     -302.495874 kBT
2quxR_M305.pdb     -356.889245 kBT
2quxR_M332.pdb     -341.242213 kBT
2quxR_M345.pdb     -222.128736 kBT
2quxR_M374.pdb     -318.202470 kBT
2quxR_M447.pdb     -236.906473 kBT
2quxR_M133.pdb     -324.417445 kBT
2quxR_M353.pdb     -244.555563 kBT
2quxR_M204.pdb     -241.707182 kBT
2quxR_M231.pdb     -329.418954 kBT
2quxR_M167.pdb     -351.229349 kBT
2quxR_M170.pdb     -347.539986 kBT
2quxR_M358.pdb     -265.647278 kBT
2quxR_M71.pdb     -395.490701 kBT
2quxR_M22.pdb     -453.725577 kBT
2quxR_M216.pdb     -352.046587 kBT
2quxR_M1.pdb     -466.020506 kBT
2quxR_M361.pdb     -274.060166 kBT
2quxR_M30.pdb     -424.074036 kBT
2quxR_M354.pdb     -245.023110 kBT
2quxR_M134.pdb     -363.838882 kBT
2quxR_M35.pdb     -454.977247 kBT
2quxR_M424.pdb     -327.167193 kBT
2quxR_M229.pdb     -309.823922 kBT
2quxR_M326.pdb     -235.149674 kBT
2quxR_M446.pdb     -296.895368 kBT
2quxR_M500.pdb     -222.063031 kBT
2quxR_M421.pdb     -319.875247 kBT
2quxR_M37.pdb     -399.755521 kBT
2quxR_M125.pdb     -335.539693 kBT
2quxR_M207.pdb     -265.720496 kBT
2quxR_M61.pdb     -399.447489 kBT
2quxR_M49.pdb     -411.322082 kBT
2quxR_M400.pdb     -233.715533 kBT
2quxR_M330.pdb     -302.170332 kBT
2quxR_M209.pdb     -291.897490 kBT
2quxR_M298.pdb     -266.505353 kBT
2quxR_M336.pdb     -252.618134 kBT
2quxR_M329.pdb     -251.685173 kBT
2quxR_M398.pdb     -327.141926 kBT
2quxR_M442.pdb     -308.011123 kBT
2quxR_M156.pdb     -380.112921 kBT
2quxR_M367.pdb     -266.579551 kBT
2quxR_M289.pdb     -219.255006 kBT
2quxR_M307.pdb     -282.971432 kBT
2quxR_M254.pdb     -340.307956 kBT
2quxR_M107.pdb     -323.451403 kBT
2quxR_M127.pdb     -320.512647 kBT
2quxR_M340.pdb     -252.174921 kBT
2quxR_M180.pdb     -333.294623 kBT
2quxR_M485.pdb     -371.733642 kBT
2quxR_M379.pdb     -188.677805 kBT
2quxR_M252.pdb     -341.436696 kBT
2quxR_M217.pdb     -161.434751 kBT
2quxR_M240.pdb     -340.228045 kBT
2quxR_M112.pdb     -305.710435 kBT
2quxR_M366.pdb     -247.835402 kBT
2quxR_M385.pdb     -244.525003 kBT
2quxR_M365.pdb     -201.338094 kBT
2quxR_M223.pdb     -350.523278 kBT
2quxR_M331.pdb     -262.590827 kBT
2quxR_M273.pdb     -271.740335 kBT
2quxR_M83.pdb     -344.009501 kBT
2quxR_M184.pdb     -273.791510 kBT
2quxR_M118.pdb     -205.882533 kBT
2quxR_M386.pdb     -302.826504 kBT
2quxR_M481.pdb     -232.322915 kBT
2quxR_M75.pdb     -430.739466 kBT
2quxR_M178.pdb     -269.154314 kBT
2quxR_M140.pdb     -300.907585 kBT
2quxR_M55.pdb     -414.718473 kBT
2quxR_M327.pdb     -234.526615 kBT
2quxR_M237.pdb     -283.707723 kBT
2quxR_M477.pdb     -309.410823 kBT
2quxR_M103.pdb     -440.143479 kBT
2quxR_M319.pdb     -276.296812 kBT
2quxR_M294.pdb     -353.893528 kBT
2quxR_M422.pdb     -330.750782 kBT
2quxR_M383.pdb     -324.575429 kBT
2quxR_M142.pdb     -363.591767 kBT
2quxR_M465.pdb     -354.681380 kBT
2quxR_M116.pdb     -300.869903 kBT
2quxR_M2.pdb     -467.545837 kBT
2quxR_M344.pdb     -295.655483 kBT
2quxR_M387.pdb     -380.330448 kBT
2quxR_M426.pdb     -322.562606 kBT
2quxR_M381.pdb     -181.503528 kBT
2quxR_M190.pdb     -330.561345 kBT
2quxR_M74.pdb     -355.324589 kBT
2quxR_M282.pdb     -300.755722 kBT
2quxR_M16.pdb     -461.026604 kBT
2quxR_M418.pdb     -210.568158 kBT
2quxR_M10.pdb     -470.658932 kBT
2quxR_M382.pdb     -330.106712 kBT
2quxR_M364.pdb     -223.087690 kBT
2quxR_M311.pdb     -264.112495 kBT
2quxR_M32.pdb     -469.382362 kBT
2quxR_M476.pdb     -403.786498 kBT
2quxR_M58.pdb     -371.125760 kBT
2quxR_M348.pdb     -290.163827 kBT
2quxR_M85.pdb     -354.015693 kBT
2quxR_M232.pdb     -228.151171 kBT
2quxR_M194.pdb     -224.017947 kBT
2quxR_M124.pdb     -349.777466 kBT
2quxR_M144.pdb     -370.200823 kBT
2quxR_M187.pdb     -238.200803 kBT
2quxR_M497.pdb     -159.371701 kBT
2quxR_M41.pdb     -480.603656 kBT
2quxR_M438.pdb     -273.391525 kBT
2quxR_M412.pdb     -289.676866 kBT
2quxR_M432.pdb     -334.374804 kBT
2quxR_M63.pdb     -433.777940 kBT
2quxR_M302.pdb     -248.466769 kBT
2quxR_M347.pdb     -408.061060 kBT
2quxR_M214.pdb     -342.522136 kBT
2quxR_M4.pdb     -477.101193 kBT
2quxR_M264.pdb     -180.709470 kBT
2quxR_M97.pdb     -393.632151 kBT
2quxR_M77.pdb     -404.163690 kBT
2quxR_M173.pdb     -416.205880 kBT
2quxR_M183.pdb     -286.300806 kBT
2quxR_M493.pdb     -218.187221 kBT
2quxR_M186.pdb     -377.846826 kBT
2quxR_M313.pdb     -266.628811 kBT
2quxR_M69.pdb     -403.808200 kBT
2quxR_M482.pdb     -278.599603 kBT
2quxR_M126.pdb     -301.493667 kBT
2quxR_M462.pdb     -210.831096 kBT
2quxR_M478.pdb     -299.157689 kBT
2quxR_M271.pdb     -270.134370 kBT
2quxR_M394.pdb     -335.503860 kBT
2quxR_M98.pdb     -339.968777 kBT
2quxR_M233.pdb     -240.942371 kBT
2quxR_M130.pdb     -353.996369 kBT
2quxR_M120.pdb     -322.343101 kBT
2quxR_M88.pdb     -370.233004 kBT
2quxR_M26.pdb     -476.116867 kBT
2quxR_M53.pdb     -359.050064 kBT
2quxR_M5.pdb     -466.061748 kBT
2quxR_M414.pdb     -205.577524 kBT
2quxR_M219.pdb     -284.904605 kBT
2quxR_M198.pdb     -221.129775 kBT
2quxR_M12.pdb     -441.712091 kBT
2quxR_M389.pdb     -312.956242 kBT
2quxR_M106.pdb     -359.022588 kBT
2quxR_M137.pdb     -323.409816 kBT
2quxR_M23.pdb     -440.353571 kBT
2quxR_M15.pdb     -427.558068 kBT
2quxR_M29.pdb     -440.603564 kBT
2quxR_M376.pdb     -304.496494 kBT
2quxR_M45.pdb     -444.054136 kBT
2quxR_M405.pdb     -354.999427 kBT
2quxR_M494.pdb     -263.350917 kBT
2quxR_M203.pdb     -279.329606 kBT
2quxR_M201.pdb     -339.602314 kBT
2quxR_M284.pdb     -196.110480 kBT
2quxR_M324.pdb     -265.528739 kBT
2quxR_M262.pdb     -205.642898 kBT
2quxR_M384.pdb     -251.859831 kBT
2quxR_M471.pdb     -247.381457 kBT
2quxR_M388.pdb     -271.563043 kBT
2quxR_M268.pdb     -299.357384 kBT
2quxR_M9.pdb     -492.596433 kBT
2quxR_M38.pdb     -469.318552 kBT
2quxR_M429.pdb     -258.584077 kBT
2quxR_M163.pdb     -309.298920 kBT
2quxR_M243.pdb     -208.804560 kBT
2quxR_M272.pdb     -352.598163 kBT
2quxR_M196.pdb     -260.283763 kBT
2quxR_M451.pdb     -261.834591 kBT
2quxR_M33.pdb     -435.775357 kBT
2quxR_M115.pdb     -406.952088 kBT
2quxR_M113.pdb     -307.329851 kBT
2quxR_M132.pdb     -321.908627 kBT
2quxR_M359.pdb     -326.572424 kBT
2quxR_M166.pdb     -320.461092 kBT
2quxR_M270.pdb     -306.202491 kBT
2quxR_M463.pdb     -304.334498 kBT
2quxR_M123.pdb     -316.285546 kBT
2quxR_M235.pdb     -288.038066 kBT
2quxR_M122.pdb     -402.658151 kBT
2quxR_M175.pdb     -398.011845 kBT
2quxR_M114.pdb     -416.907762 kBT
2quxR_M86.pdb     -376.553714 kBT
2quxR_M399.pdb     -257.349460 kBT
2quxR_M174.pdb     -340.338992 kBT
2quxR_M453.pdb     -347.631124 kBT
2quxR_M34.pdb     -425.019001 kBT
2quxR_M274.pdb     -224.415826 kBT
2quxR_M191.pdb     -316.135381 kBT
2quxR_M141.pdb     -328.522345 kBT
2quxR_M148.pdb     -371.389363 kBT
2quxR_M234.pdb     -295.380258 kBT
2quxR_M151.pdb     -330.385928 kBT
2quxR_M257.pdb     -413.100877 kBT
2quxR_M27.pdb     -434.982100 kBT
2quxR_M82.pdb     -360.550256 kBT
2quxR_M456.pdb     -221.018147 kBT
2quxR_M346.pdb     -220.946107 kBT
2quxR_M228.pdb     -348.584185 kBT
2quxR_M138.pdb     -323.860246 kBT
2quxR_M11.pdb     -466.383821 kBT
2quxR_M333.pdb     -183.648758 kBT
2quxR_M303.pdb     -278.755941 kBT
2quxR_M129.pdb     -324.923025 kBT
2quxR_M275.pdb     -322.476929 kBT
2quxR_M466.pdb     -343.267066 kBT
2quxR_M449.pdb     -308.442447 kBT
2quxR_M470.pdb     -292.412389 kBT
2quxR_M436.pdb     -305.829366 kBT
2quxR_M60.pdb     -422.278814 kBT
2quxR_M47.pdb     -401.307513 kBT
2quxR_M80.pdb     -410.888680 kBT
2quxR_M280.pdb     -293.977584 kBT
2quxR_M147.pdb     -360.798075 kBT
2quxR_M218.pdb     -324.135850 kBT
2quxR_M448.pdb     -320.913171 kBT
2quxR_M360.pdb     -167.806473 kBT
2quxR_M62.pdb     -380.773883 kBT
2quxR_M315.pdb     -354.386603 kBT
2quxR_M276.pdb     -209.321942 kBT
2quxR_M91.pdb     -366.777340 kBT
2quxR_M441.pdb     -185.255270 kBT
2quxR_M227.pdb     -317.628762 kBT
2quxR_M452.pdb     -269.484592 kBT
2quxR_M461.pdb     -224.653813 kBT
2quxR_M128.pdb     -383.676780 kBT
2quxR_M84.pdb     -354.726594 kBT
2quxR_M265.pdb     -326.255402 kBT
2quxR_M349.pdb     -197.638495 kBT
2quxR_M171.pdb     -263.049670 kBT
2quxR_M164.pdb     -376.449927 kBT
2quxR_M419.pdb     -340.399908 kBT
2quxR_M409.pdb     -259.563562 kBT
2quxR_M321.pdb     -342.399003 kBT
2quxR_M42.pdb     -427.754877 kBT
2quxR_M195.pdb     -280.864379 kBT
2quxR_M496.pdb     -235.500502 kBT
2quxR_M139.pdb     -440.197722 kBT
2quxR_M423.pdb     -347.504585 kBT
2quxR_M72.pdb     -333.870098 kBT
2quxR_M352.pdb     -329.327678 kBT
2quxR_M242.pdb     -353.685275 kBT
2quxR_M238.pdb     -193.158154 kBT
2quxR_M150.pdb     -331.895904 kBT
2quxR_M292.pdb     -401.759934 kBT
2quxR_M300.pdb     -240.142505 kBT
2quxR_M373.pdb     -256.153237 kBT
2quxR_M334.pdb     -307.039461 kBT
2quxR_M450.pdb     -272.307027 kBT
2quxR_M403.pdb     -275.126476 kBT
2quxR_M428.pdb     -329.718324 kBT
2quxR_M111.pdb     -375.358649 kBT
2quxR_M338.pdb     -258.979438 kBT
2quxR_M287.pdb     -320.622371 kBT
2quxR_M208.pdb     -274.494992 kBT
2quxR_M25.pdb     -431.600728 kBT
2quxR_M211.pdb     -234.671060 kBT
2quxR_M40.pdb     -409.321292 kBT
2quxR_M192.pdb     -312.042512 kBT
2quxR_M310.pdb     -360.856582 kBT
2quxR_M256.pdb     -302.301721 kBT
2quxR_M335.pdb     -338.840359 kBT
2quxR_M490.pdb     -243.053672 kBT
2quxR_M304.pdb     -367.019492 kBT
2quxR_M380.pdb     -320.258937 kBT
2quxR_M176.pdb     -269.895905 kBT
2quxR_M401.pdb     -247.861638 kBT
2quxR_M188.pdb     -366.361701 kBT
2quxR_M372.pdb     -323.367038 kBT
2quxR_M286.pdb     -347.071463 kBT
2quxR_M255.pdb     -337.651848 kBT
2quxR_M222.pdb     -180.385650 kBT
2quxR_M417.pdb     -257.390620 kBT
2quxR_M78.pdb     -370.839084 kBT
2quxR_M20.pdb     -422.750056 kBT
2quxR_M277.pdb     -381.697104 kBT
2quxR_M306.pdb     -261.785407 kBT
2quxR_M483.pdb     -235.636765 kBT
2quxR_M182.pdb     -342.923908 kBT
2quxR_M368.pdb     -302.335421 kBT
2quxR_M19.pdb     -397.766329 kBT
2quxR_M458.pdb     -280.479609 kBT
2quxR_M464.pdb     -316.594535 kBT
2quxR_M189.pdb     -351.983578 kBT
2quxR_M51.pdb     -424.128509 kBT
2quxR_M317.pdb     -226.738987 kBT
2quxR_M210.pdb     -342.193199 kBT
2quxR_M392.pdb     -243.371570 kBT
2quxR_M443.pdb     -325.987270 kBT
2quxR_M283.pdb     -262.189665 kBT
2quxR_M159.pdb     -310.229973 kBT
2quxR_M455.pdb     -312.376991 kBT
2quxR_M136.pdb     -427.174318 kBT
2quxR_M308.pdb     -286.473430 kBT
2quxR_M362.pdb     -260.137588 kBT
2quxR_M21.pdb     -467.636376 kBT
2quxR_M102.pdb     -353.432788 kBT
2quxR_M152.pdb     -287.006938 kBT
2quxR_M94.pdb     -367.672478 kBT
2quxR_M46.pdb     -451.482167 kBT
2quxR_M468.pdb     -223.461070 kBT
2quxR_M101.pdb     -382.383785 kBT
2quxR_M14.pdb     -478.355848 kBT
2quxR_M8.pdb     -465.090256 kBT
2quxR_M342.pdb     -288.714684 kBT
2quxR_M220.pdb     -346.750798 kBT
2quxR_M79.pdb     -368.229876 kBT
2quxR_M288.pdb     -175.912437 kBT
2quxR_M7.pdb     -489.498111 kBT
2quxR_M492.pdb     -291.560492 kBT
2quxR_M395.pdb     -237.027586 kBT
