2hvyE_M269.pdb     -672.655910 kBT
2hvyE_M293.pdb     -688.829899 kBT
2hvyE_M342.pdb     -692.533406 kBT
2hvyE_M165.pdb     -681.617230 kBT
2hvyE_M477.pdb     -622.559584 kBT
2hvyE_M270.pdb     -622.277697 kBT
2hvyE_M474.pdb     -601.672112 kBT
2hvyE_M306.pdb     -608.907036 kBT
2hvyE_M320.pdb     -635.167288 kBT
2hvyE_M30.pdb     -860.409356 kBT
2hvyE_M404.pdb     -574.935470 kBT
2hvyE_M223.pdb     -698.389798 kBT
2hvyE_M62.pdb     -841.753042 kBT
2hvyE_M100.pdb     -736.581254 kBT
2hvyE_M200.pdb     -718.733288 kBT
2hvyE_M245.pdb     -695.029220 kBT
2hvyE_M279.pdb     -606.926145 kBT
2hvyE_M80.pdb     -784.490667 kBT
2hvyE_M139.pdb     -694.002222 kBT
2hvyE_M349.pdb     -598.575819 kBT
2hvyE_M380.pdb     -588.604512 kBT
2hvyE_M230.pdb     -648.915569 kBT
2hvyE_M159.pdb     -711.346852 kBT
2hvyE_M43.pdb     -795.737486 kBT
2hvyE_M135.pdb     -774.285440 kBT
2hvyE_M24.pdb     -846.400840 kBT
2hvyE_M9.pdb     -871.959944 kBT
2hvyE_M415.pdb     -633.026218 kBT
2hvyE_M392.pdb     -707.187518 kBT
2hvyE_M67.pdb     -803.688312 kBT
2hvyE_M46.pdb     -805.685981 kBT
2hvyE_M402.pdb     -680.822390 kBT
2hvyE_M92.pdb     -751.211998 kBT
2hvyE_M486.pdb     -514.823365 kBT
2hvyE_M403.pdb     -679.890275 kBT
2hvyE_M187.pdb     -638.489855 kBT
2hvyE_M51.pdb     -834.878519 kBT
2hvyE_M444.pdb     -631.323764 kBT
2hvyE_M25.pdb     -890.653707 kBT
2hvyE_M180.pdb     -689.652555 kBT
2hvyE_M10.pdb     -878.658126 kBT
2hvyE_M310.pdb     -620.282752 kBT
2hvyE_M271.pdb     -650.039791 kBT
2hvyE_M312.pdb     -660.728415 kBT
2hvyE_M313.pdb     -717.425549 kBT
2hvyE_M174.pdb     -670.713518 kBT
2hvyE_M238.pdb     -709.990259 kBT
2hvyE_M134.pdb     -726.128658 kBT
2hvyE_M418.pdb     -600.431357 kBT
2hvyE_M36.pdb     -822.140551 kBT
2hvyE_M149.pdb     -611.927108 kBT
2hvyE_M2.pdb     -843.729151 kBT
2hvyE_M467.pdb     -604.752238 kBT
2hvyE_M35.pdb     -870.419110 kBT
2hvyE_M219.pdb     -636.185506 kBT
2hvyE_M44.pdb     -832.311681 kBT
2hvyE_M26.pdb     -855.994836 kBT
2hvyE_M423.pdb     -574.411125 kBT
2hvyE_M353.pdb     -680.869736 kBT
2hvyE_M488.pdb     -671.070906 kBT
2hvyE_M493.pdb     -609.570331 kBT
2hvyE_M166.pdb     -708.628737 kBT
2hvyE_M344.pdb     -626.498760 kBT
2hvyE_M407.pdb     -671.092206 kBT
2hvyE_M368.pdb     -615.090170 kBT
2hvyE_M38.pdb     -810.907176 kBT
2hvyE_M321.pdb     -632.277827 kBT
2hvyE_M414.pdb     -549.497596 kBT
2hvyE_M325.pdb     -636.512851 kBT
2hvyE_M169.pdb     -672.916683 kBT
2hvyE_M207.pdb     -664.387406 kBT
2hvyE_M176.pdb     -675.590521 kBT
2hvyE_M181.pdb     -781.331914 kBT
2hvyE_M143.pdb     -729.987511 kBT
2hvyE_M225.pdb     -706.990536 kBT
2hvyE_M142.pdb     -691.441650 kBT
2hvyE_M132.pdb     -699.814682 kBT
2hvyE_M470.pdb     -622.997386 kBT
2hvyE_M454.pdb     -568.626832 kBT
2hvyE_M282.pdb     -626.898923 kBT
2hvyE_M189.pdb     -656.978954 kBT
2hvyE_M447.pdb     -592.098617 kBT
2hvyE_M376.pdb     -658.426228 kBT
2hvyE_M141.pdb     -736.228923 kBT
2hvyE_M427.pdb     -580.121901 kBT
2hvyE_M412.pdb     -547.425583 kBT
2hvyE_M156.pdb     -719.361698 kBT
2hvyE_M369.pdb     -600.672386 kBT
2hvyE_M236.pdb     -667.000006 kBT
2hvyE_M13.pdb     -848.655904 kBT
2hvyE_M498.pdb     -616.292817 kBT
2hvyE_M61.pdb     -779.714586 kBT
2hvyE_M71.pdb     -803.873319 kBT
2hvyE_M359.pdb     -635.351507 kBT
2hvyE_M425.pdb     -620.958870 kBT
2hvyE_M208.pdb     -681.314259 kBT
2hvyE_M79.pdb     -768.476138 kBT
2hvyE_M330.pdb     -635.837250 kBT
2hvyE_M297.pdb     -612.780434 kBT
2hvyE_M231.pdb     -685.333642 kBT
2hvyE_M8.pdb     -832.874422 kBT
2hvyE_M148.pdb     -704.243437 kBT
2hvyE_M345.pdb     -632.141960 kBT
2hvyE_M468.pdb     -573.697118 kBT
2hvyE_M370.pdb     -604.518639 kBT
2hvyE_M130.pdb     -762.104688 kBT
2hvyE_M203.pdb     -690.936550 kBT
2hvyE_M185.pdb     -638.382556 kBT
2hvyE_M268.pdb     -635.009040 kBT
2hvyE_M151.pdb     -663.739293 kBT
2hvyE_M160.pdb     -743.935016 kBT
2hvyE_M53.pdb     -769.072272 kBT
2hvyE_M14.pdb     -847.486711 kBT
2hvyE_M332.pdb     -653.268495 kBT
2hvyE_M476.pdb     -581.950942 kBT
2hvyE_M429.pdb     -560.829877 kBT
2hvyE_M147.pdb     -748.418983 kBT
2hvyE_M41.pdb     -752.270467 kBT
2hvyE_M405.pdb     -587.897392 kBT
2hvyE_M233.pdb     -684.476410 kBT
2hvyE_M361.pdb     -702.704473 kBT
2hvyE_M171.pdb     -645.089105 kBT
2hvyE_M334.pdb     -671.332856 kBT
2hvyE_M328.pdb     -600.703909 kBT
2hvyE_M302.pdb     -679.539940 kBT
2hvyE_M331.pdb     -674.131892 kBT
2hvyE_M395.pdb     -666.437608 kBT
2hvyE_M449.pdb     -612.464601 kBT
2hvyE_M324.pdb     -615.645240 kBT
2hvyE_M186.pdb     -688.806888 kBT
2hvyE_M326.pdb     -614.963676 kBT
2hvyE_M201.pdb     -598.096397 kBT
2hvyE_M495.pdb     -576.095145 kBT
2hvyE_M204.pdb     -653.652223 kBT
2hvyE_M101.pdb     -725.224821 kBT
2hvyE_M69.pdb     -714.610504 kBT
2hvyE_M426.pdb     -714.681602 kBT
2hvyE_M280.pdb     -624.838694 kBT
2hvyE_M422.pdb     -616.035474 kBT
2hvyE_M391.pdb     -638.377072 kBT
2hvyE_M387.pdb     -562.139036 kBT
2hvyE_M250.pdb     -647.207149 kBT
2hvyE_M106.pdb     -772.654434 kBT
2hvyE_M484.pdb     -564.724816 kBT
2hvyE_M393.pdb     -635.437772 kBT
2hvyE_M274.pdb     -661.605291 kBT
2hvyE_M341.pdb     -575.354354 kBT
2hvyE_M287.pdb     -674.413897 kBT
2hvyE_M77.pdb     -731.692429 kBT
2hvyE_M234.pdb     -657.933153 kBT
2hvyE_M56.pdb     -816.820121 kBT
2hvyE_M314.pdb     -657.288656 kBT
2hvyE_M1.pdb     -831.857499 kBT
2hvyE_M193.pdb     -697.687258 kBT
2hvyE_M74.pdb     -765.991321 kBT
2hvyE_M264.pdb     -600.356888 kBT
2hvyE_M289.pdb     -620.118988 kBT
2hvyE_M59.pdb     -819.732908 kBT
2hvyE_M89.pdb     -737.434531 kBT
2hvyE_M382.pdb     -610.904202 kBT
2hvyE_M126.pdb     -676.846519 kBT
2hvyE_M356.pdb     -610.588217 kBT
2hvyE_M152.pdb     -654.119250 kBT
2hvyE_M198.pdb     -801.979813 kBT
2hvyE_M318.pdb     -646.922670 kBT
2hvyE_M494.pdb     -649.619816 kBT
2hvyE_M438.pdb     -582.756683 kBT
2hvyE_M235.pdb     -639.928528 kBT
2hvyE_M202.pdb     -755.695415 kBT
2hvyE_M249.pdb     -628.976722 kBT
2hvyE_M437.pdb     -631.906848 kBT
2hvyE_M154.pdb     -724.173230 kBT
2hvyE_M68.pdb     -759.859425 kBT
2hvyE_M227.pdb     -651.300032 kBT
2hvyE_M453.pdb     -565.278761 kBT
2hvyE_M178.pdb     -680.724999 kBT
2hvyE_M396.pdb     -674.843163 kBT
2hvyE_M37.pdb     -773.292185 kBT
2hvyE_M367.pdb     -589.248493 kBT
2hvyE_M11.pdb     -887.178104 kBT
2hvyE_M432.pdb     -553.904061 kBT
2hvyE_M45.pdb     -835.833010 kBT
2hvyE_M4.pdb     -869.872643 kBT
2hvyE_M107.pdb     -734.109444 kBT
2hvyE_M473.pdb     -569.011875 kBT
2hvyE_M78.pdb     -841.444763 kBT
2hvyE_M119.pdb     -688.866315 kBT
2hvyE_M479.pdb     -552.745000 kBT
2hvyE_M33.pdb     -779.652729 kBT
2hvyE_M428.pdb     -601.324893 kBT
2hvyE_M480.pdb     -578.594373 kBT
2hvyE_M60.pdb     -764.528849 kBT
2hvyE_M19.pdb     -833.332125 kBT
2hvyE_M196.pdb     -672.882733 kBT
2hvyE_M12.pdb     -872.473817 kBT
2hvyE_M340.pdb     -541.269952 kBT
2hvyE_M278.pdb     -553.502195 kBT
2hvyE_M471.pdb     -550.760983 kBT
2hvyE_M91.pdb     -806.708079 kBT
2hvyE_M117.pdb     -778.391760 kBT
2hvyE_M309.pdb     -578.242109 kBT
2hvyE_M93.pdb     -769.233131 kBT
2hvyE_M450.pdb     -534.585937 kBT
2hvyE_M262.pdb     -522.384165 kBT
2hvyE_M436.pdb     -582.688110 kBT
2hvyE_M339.pdb     -589.343941 kBT
2hvyE_M496.pdb     -554.708289 kBT
2hvyE_M88.pdb     -741.986332 kBT
2hvyE_M335.pdb     -569.927563 kBT
2hvyE_M63.pdb     -784.358866 kBT
2hvyE_M413.pdb     -641.707848 kBT
2hvyE_M497.pdb     -563.307339 kBT
2hvyE_M379.pdb     -633.982009 kBT
2hvyE_M214.pdb     -633.634587 kBT
2hvyE_M417.pdb     -552.412756 kBT
2hvyE_M70.pdb     -770.064003 kBT
2hvyE_M150.pdb     -695.821689 kBT
2hvyE_M212.pdb     -713.158979 kBT
2hvyE_M32.pdb     -877.181010 kBT
2hvyE_M343.pdb     -664.551046 kBT
2hvyE_M386.pdb     -619.250793 kBT
2hvyE_M317.pdb     -689.808632 kBT
2hvyE_M170.pdb     -668.080126 kBT
2hvyE_M350.pdb     -660.754279 kBT
2hvyE_M253.pdb     -670.528595 kBT
2hvyE_M475.pdb     -628.104518 kBT
2hvyE_M222.pdb     -688.137766 kBT
2hvyE_M322.pdb     -618.409408 kBT
2hvyE_M266.pdb     -603.798562 kBT
2hvyE_M184.pdb     -679.447858 kBT
2hvyE_M191.pdb     -660.505765 kBT
2hvyE_M65.pdb     -830.009867 kBT
2hvyE_M460.pdb     -610.938238 kBT
2hvyE_M435.pdb     -586.438772 kBT
2hvyE_M232.pdb     -654.635079 kBT
2hvyE_M161.pdb     -690.316346 kBT
2hvyE_M303.pdb     -643.108774 kBT
2hvyE_M39.pdb     -812.520360 kBT
2hvyE_M283.pdb     -701.581995 kBT
2hvyE_M72.pdb     -766.686357 kBT
2hvyE_M301.pdb     -772.555492 kBT
2hvyE_M108.pdb     -668.940729 kBT
2hvyE_M120.pdb     -682.059989 kBT
2hvyE_M226.pdb     -698.311997 kBT
2hvyE_M190.pdb     -679.259776 kBT
2hvyE_M113.pdb     -687.042770 kBT
2hvyE_M489.pdb     -522.853607 kBT
2hvyE_M84.pdb     -761.912459 kBT
2hvyE_M229.pdb     -683.455172 kBT
2hvyE_M52.pdb     -694.685166 kBT
2hvyE_M28.pdb     -792.655198 kBT
2hvyE_M371.pdb     -570.345810 kBT
2hvyE_M308.pdb     -640.817988 kBT
2hvyE_M192.pdb     -642.579682 kBT
2hvyE_M434.pdb     -610.187100 kBT
2hvyE_M237.pdb     -680.101912 kBT
2hvyE_M54.pdb     -758.389136 kBT
2hvyE_M452.pdb     -628.524091 kBT
2hvyE_M99.pdb     -725.433993 kBT
2hvyE_M276.pdb     -669.046883 kBT
2hvyE_M110.pdb     -680.188442 kBT
2hvyE_M285.pdb     -624.870670 kBT
2hvyE_M90.pdb     -779.291945 kBT
2hvyE_M127.pdb     -769.002036 kBT
2hvyE_M461.pdb     -543.300480 kBT
2hvyE_M445.pdb     -614.916872 kBT
2hvyE_M112.pdb     -755.938868 kBT
2hvyE_M58.pdb     -802.192411 kBT
2hvyE_M378.pdb     -554.901147 kBT
2hvyE_M451.pdb     -623.881418 kBT
2hvyE_M103.pdb     -705.304830 kBT
2hvyE_M323.pdb     -675.160649 kBT
2hvyE.pdb     -844.238859 kBT
2hvyE_M336.pdb     -729.903603 kBT
2hvyE_M205.pdb     -649.944413 kBT
2hvyE_M298.pdb     -608.307474 kBT
2hvyE_M311.pdb     -546.574128 kBT
2hvyE_M388.pdb     -641.482577 kBT
2hvyE_M221.pdb     -672.490304 kBT
2hvyE_M172.pdb     -755.446642 kBT
2hvyE_M5.pdb     -868.120403 kBT
2hvyE_M351.pdb     -576.958715 kBT
2hvyE_M224.pdb     -692.471090 kBT
2hvyE_M34.pdb     -879.392919 kBT
2hvyE_M85.pdb     -698.416429 kBT
2hvyE_M94.pdb     -812.441328 kBT
2hvyE_M374.pdb     -563.220117 kBT
2hvyE_M464.pdb     -523.731626 kBT
2hvyE_M448.pdb     -534.951997 kBT
2hvyE_M95.pdb     -695.942392 kBT
2hvyE_M98.pdb     -787.784916 kBT
2hvyE_M188.pdb     -755.529938 kBT
2hvyE_M286.pdb     -697.189311 kBT
2hvyE_M347.pdb     -669.413796 kBT
2hvyE_M167.pdb     -688.241815 kBT
2hvyE_M129.pdb     -782.788700 kBT
2hvyE_M175.pdb     -766.880795 kBT
2hvyE_M105.pdb     -776.262093 kBT
2hvyE_M442.pdb     -636.930869 kBT
2hvyE_M357.pdb     -647.629237 kBT
2hvyE_M251.pdb     -603.889468 kBT
2hvyE_M491.pdb     -555.978010 kBT
2hvyE_M377.pdb     -645.002257 kBT
2hvyE_M40.pdb     -847.377917 kBT
2hvyE_M116.pdb     -732.283032 kBT
2hvyE_M195.pdb     -744.059742 kBT
2hvyE_M146.pdb     -687.973706 kBT
2hvyE_M406.pdb     -551.273046 kBT
2hvyE_M327.pdb     -545.255888 kBT
2hvyE_M277.pdb     -623.842158 kBT
2hvyE_M183.pdb     -776.651339 kBT
2hvyE_M18.pdb     -858.893860 kBT
2hvyE_M133.pdb     -682.219703 kBT
2hvyE_M137.pdb     -769.788432 kBT
2hvyE_M472.pdb     -548.007958 kBT
2hvyE_M300.pdb     -630.538805 kBT
2hvyE_M118.pdb     -778.166964 kBT
2hvyE_M466.pdb     -655.547609 kBT
2hvyE_M210.pdb     -665.877091 kBT
2hvyE_M401.pdb     -607.623766 kBT
2hvyE_M75.pdb     -728.718799 kBT
2hvyE_M365.pdb     -567.487080 kBT
2hvyE_M240.pdb     -557.011600 kBT
2hvyE_M42.pdb     -869.836999 kBT
2hvyE_M424.pdb     -619.730743 kBT
2hvyE_M288.pdb     -670.101982 kBT
2hvyE_M329.pdb     -678.813836 kBT
2hvyE_M182.pdb     -656.157989 kBT
2hvyE_M420.pdb     -573.124476 kBT
2hvyE_M109.pdb     -725.128515 kBT
2hvyE_M373.pdb     -617.145857 kBT
2hvyE_M485.pdb     -565.896655 kBT
2hvyE_M82.pdb     -722.249471 kBT
2hvyE_M194.pdb     -617.195971 kBT
2hvyE_M390.pdb     -565.475920 kBT
2hvyE_M348.pdb     -716.392627 kBT
2hvyE_M433.pdb     -659.009236 kBT
2hvyE_M394.pdb     -573.702677 kBT
2hvyE_M252.pdb     -629.156579 kBT
2hvyE_M29.pdb     -828.130728 kBT
2hvyE_M256.pdb     -646.422732 kBT
2hvyE_M360.pdb     -654.033270 kBT
2hvyE_M244.pdb     -645.636996 kBT
2hvyE_M499.pdb     -523.285991 kBT
2hvyE_M296.pdb     -587.597479 kBT
2hvyE_M307.pdb     -599.898714 kBT
2hvyE_M138.pdb     -628.709994 kBT
2hvyE_M48.pdb     -833.132187 kBT
2hvyE_M3.pdb     -880.178499 kBT
2hvyE_M459.pdb     -547.978905 kBT
2hvyE_M487.pdb     -579.810612 kBT
2hvyE_M267.pdb     -563.597068 kBT
2hvyE_M239.pdb     -658.559792 kBT
2hvyE_M273.pdb     -607.121888 kBT
2hvyE_M363.pdb     -626.204673 kBT
2hvyE_M492.pdb     -556.091116 kBT
2hvyE_M372.pdb     -683.431627 kBT
2hvyE_M299.pdb     -706.720852 kBT
2hvyE_M490.pdb     -650.281208 kBT
2hvyE_M242.pdb     -731.480192 kBT
2hvyE_M123.pdb     -808.022656 kBT
2hvyE_M144.pdb     -654.596447 kBT
2hvyE_M217.pdb     -608.150806 kBT
2hvyE_M115.pdb     -736.892697 kBT
2hvyE_M294.pdb     -600.825138 kBT
2hvyE_M478.pdb     -631.448631 kBT
2hvyE_M248.pdb     -680.913502 kBT
2hvyE_M292.pdb     -561.118670 kBT
2hvyE_M199.pdb     -678.544119 kBT
2hvyE_M257.pdb     -699.294258 kBT
2hvyE_M168.pdb     -680.503894 kBT
2hvyE_M295.pdb     -644.740055 kBT
2hvyE_M164.pdb     -822.985578 kBT
2hvyE_M16.pdb     -811.517968 kBT
2hvyE_M408.pdb     -593.331362 kBT
2hvyE_M446.pdb     -565.333935 kBT
2hvyE_M462.pdb     -557.179256 kBT
2hvyE_M163.pdb     -716.701873 kBT
2hvyE_M481.pdb     -673.007047 kBT
2hvyE_M458.pdb     -513.737577 kBT
2hvyE_M421.pdb     -697.477933 kBT
2hvyE_M441.pdb     -568.239715 kBT
2hvyE_M111.pdb     -756.098511 kBT
2hvyE_M27.pdb     -904.012070 kBT
2hvyE_M81.pdb     -693.468276 kBT
2hvyE_M430.pdb     -603.984193 kBT
2hvyE_M47.pdb     -817.776964 kBT
2hvyE_M87.pdb     -830.180799 kBT
2hvyE_M254.pdb     -673.459362 kBT
2hvyE_M140.pdb     -695.820847 kBT
2hvyE_M431.pdb     -617.199710 kBT
2hvyE_M469.pdb     -602.019894 kBT
2hvyE_M315.pdb     -566.205297 kBT
2hvyE_M177.pdb     -704.622411 kBT
2hvyE_M304.pdb     -675.729358 kBT
2hvyE_M211.pdb     -766.882575 kBT
2hvyE_M55.pdb     -764.402436 kBT
2hvyE_M381.pdb     -601.465663 kBT
2hvyE_M375.pdb     -615.098154 kBT
2hvyE_M263.pdb     -644.745711 kBT
2hvyE_M416.pdb     -579.717853 kBT
2hvyE_M258.pdb     -663.615139 kBT
2hvyE_M389.pdb     -650.132230 kBT
2hvyE_M162.pdb     -766.338934 kBT
2hvyE_M158.pdb     -796.082586 kBT
2hvyE_M500.pdb     -590.209446 kBT
2hvyE_M228.pdb     -684.403903 kBT
2hvyE_M64.pdb     -758.149440 kBT
2hvyE_M463.pdb     -633.120889 kBT
2hvyE_M209.pdb     -644.623869 kBT
2hvyE_M482.pdb     -619.156905 kBT
2hvyE_M305.pdb     -638.263186 kBT
2hvyE_M247.pdb     -638.743702 kBT
2hvyE_M284.pdb     -635.586798 kBT
2hvyE_M50.pdb     -799.935248 kBT
2hvyE_M400.pdb     -606.645422 kBT
2hvyE_M6.pdb     -856.064404 kBT
2hvyE_M291.pdb     -645.831960 kBT
2hvyE_M443.pdb     -610.444350 kBT
2hvyE_M333.pdb     -555.584164 kBT
2hvyE_M366.pdb     -660.720995 kBT
2hvyE_M17.pdb     -894.552203 kBT
2hvyE_M455.pdb     -596.743855 kBT
2hvyE_M22.pdb     -889.628664 kBT
2hvyE_M355.pdb     -628.723564 kBT
2hvyE_M114.pdb     -768.259167 kBT
2hvyE_M157.pdb     -703.902262 kBT
2hvyE_M246.pdb     -651.031644 kBT
2hvyE_M173.pdb     -743.174579 kBT
2hvyE_M457.pdb     -551.278115 kBT
2hvyE_M419.pdb     -606.150642 kBT
2hvyE_M125.pdb     -692.761031 kBT
2hvyE_M243.pdb     -604.146857 kBT
2hvyE_M31.pdb     -812.742655 kBT
2hvyE_M57.pdb     -822.649782 kBT
2hvyE_M272.pdb     -634.219372 kBT
2hvyE_M155.pdb     -640.655918 kBT
2hvyE_M338.pdb     -688.052489 kBT
2hvyE_M383.pdb     -573.806395 kBT
2hvyE_M197.pdb     -671.386894 kBT
2hvyE_M179.pdb     -697.702398 kBT
2hvyE_M260.pdb     -657.894436 kBT
2hvyE_M354.pdb     -624.378316 kBT
2hvyE_M15.pdb     -882.151753 kBT
2hvyE_M122.pdb     -802.897079 kBT
2hvyE_M385.pdb     -612.860799 kBT
2hvyE_M384.pdb     -485.088789 kBT
2hvyE_M465.pdb     -571.320156 kBT
2hvyE_M281.pdb     -707.801233 kBT
2hvyE_M397.pdb     -583.806900 kBT
2hvyE_M97.pdb     -793.977065 kBT
2hvyE_M241.pdb     -654.996234 kBT
2hvyE_M131.pdb     -706.611128 kBT
2hvyE_M364.pdb     -575.961491 kBT
2hvyE_M215.pdb     -606.652995 kBT
2hvyE_M213.pdb     -679.218542 kBT
