1ze2D_M196.pdb     -283.561153 kBT
1ze2D_M330.pdb     -345.776700 kBT
1ze2D_M184.pdb     -383.749438 kBT
1ze2D_M309.pdb     -349.249782 kBT
1ze2D_M224.pdb     -315.277357 kBT
1ze2D_M498.pdb     -323.233513 kBT
1ze2D_M435.pdb     -365.457294 kBT
1ze2D_M26.pdb     -448.341954 kBT
1ze2D_M269.pdb     -312.178586 kBT
1ze2D_M460.pdb     -375.008848 kBT
1ze2D_M343.pdb     -319.143013 kBT
1ze2D_M222.pdb     -386.776216 kBT
1ze2D_M414.pdb     -361.575098 kBT
1ze2D_M315.pdb     -438.927806 kBT
1ze2D_M28.pdb     -435.702844 kBT
1ze2D_M106.pdb     -419.366326 kBT
1ze2D_M53.pdb     -461.439182 kBT
1ze2D_M50.pdb     -449.112903 kBT
1ze2D_M471.pdb     -298.912315 kBT
1ze2D_M424.pdb     -370.596631 kBT
1ze2D_M421.pdb     -332.670000 kBT
1ze2D_M168.pdb     -403.220548 kBT
1ze2D_M163.pdb     -389.924042 kBT
1ze2D_M103.pdb     -425.007554 kBT
1ze2D_M469.pdb     -367.781210 kBT
1ze2D_M284.pdb     -370.094134 kBT
1ze2D_M191.pdb     -370.069372 kBT
1ze2D_M27.pdb     -433.085534 kBT
1ze2D_M418.pdb     -336.626423 kBT
1ze2D_M253.pdb     -368.531934 kBT
1ze2D_M173.pdb     -323.721509 kBT
1ze2D_M308.pdb     -345.367327 kBT
1ze2D_M68.pdb     -435.614112 kBT
1ze2D_M213.pdb     -440.033661 kBT
1ze2D_M392.pdb     -386.171342 kBT
1ze2D_M223.pdb     -403.549039 kBT
1ze2D_M322.pdb     -371.496190 kBT
1ze2D_M378.pdb     -353.968402 kBT
1ze2D_M119.pdb     -429.686215 kBT
1ze2D_M209.pdb     -321.259968 kBT
1ze2D_M345.pdb     -291.171154 kBT
1ze2D_M73.pdb     -435.009462 kBT
1ze2D_M267.pdb     -430.372249 kBT
1ze2D_M34.pdb     -526.640080 kBT
1ze2D_M137.pdb     -348.914984 kBT
1ze2D_M264.pdb     -277.576041 kBT
1ze2D_M280.pdb     -360.260054 kBT
1ze2D_M211.pdb     -382.315820 kBT
1ze2D_M102.pdb     -394.041508 kBT
1ze2D_M147.pdb     -414.923200 kBT
1ze2D_M30.pdb     -449.094866 kBT
1ze2D_M272.pdb     -386.808579 kBT
1ze2D_M304.pdb     -343.632228 kBT
1ze2D_M167.pdb     -315.459231 kBT
1ze2D_M259.pdb     -360.543744 kBT
1ze2D_M216.pdb     -394.860802 kBT
1ze2D_M185.pdb     -389.979345 kBT
1ze2D_M214.pdb     -403.316429 kBT
1ze2D_M500.pdb     -401.717217 kBT
1ze2D_M499.pdb     -386.355349 kBT
1ze2D_M136.pdb     -403.436722 kBT
1ze2D_M351.pdb     -286.000714 kBT
1ze2D_M4.pdb     -510.431727 kBT
1ze2D_M181.pdb     -375.039516 kBT
1ze2D_M46.pdb     -437.119455 kBT
1ze2D_M178.pdb     -385.510574 kBT
1ze2D_M396.pdb     -327.870486 kBT
1ze2D_M481.pdb     -373.056748 kBT
1ze2D_M109.pdb     -420.117639 kBT
1ze2D_M282.pdb     -293.582274 kBT
1ze2D_M423.pdb     -399.820241 kBT
1ze2D_M139.pdb     -377.448418 kBT
1ze2D_M145.pdb     -376.203848 kBT
1ze2D_M249.pdb     -350.131578 kBT
1ze2D_M229.pdb     -416.818213 kBT
1ze2D_M294.pdb     -377.868139 kBT
1ze2D_M246.pdb     -356.625729 kBT
1ze2D_M373.pdb     -367.889736 kBT
1ze2D_M161.pdb     -406.581290 kBT
1ze2D_M48.pdb     -396.890979 kBT
1ze2D_M274.pdb     -336.390006 kBT
1ze2D_M38.pdb     -427.801310 kBT
1ze2D_M295.pdb     -402.958238 kBT
1ze2D_M438.pdb     -284.202412 kBT
1ze2D_M101.pdb     -415.297674 kBT
1ze2D_M395.pdb     -366.329991 kBT
1ze2D_M352.pdb     -349.534742 kBT
1ze2D_M236.pdb     -374.334472 kBT
1ze2D_M420.pdb     -348.534104 kBT
1ze2D_M464.pdb     -306.380183 kBT
1ze2D_M419.pdb     -345.073715 kBT
1ze2D_M97.pdb     -407.817546 kBT
1ze2D_M277.pdb     -331.039459 kBT
1ze2D_M192.pdb     -378.090853 kBT
1ze2D_M14.pdb     -498.910596 kBT
1ze2D_M449.pdb     -397.439669 kBT
1ze2D_M437.pdb     -347.287712 kBT
1ze2D_M369.pdb     -316.508466 kBT
1ze2D_M339.pdb     -343.795036 kBT
1ze2D_M98.pdb     -435.637956 kBT
1ze2D_M310.pdb     -324.312231 kBT
1ze2D_M497.pdb     -325.821567 kBT
1ze2D_M461.pdb     -347.825885 kBT
1ze2D_M170.pdb     -428.263004 kBT
1ze2D_M47.pdb     -430.559697 kBT
1ze2D_M287.pdb     -397.723230 kBT
1ze2D_M64.pdb     -445.751589 kBT
1ze2D_M84.pdb     -418.081879 kBT
1ze2D_M112.pdb     -455.870013 kBT
1ze2D_M426.pdb     -354.610368 kBT
1ze2D_M122.pdb     -451.853230 kBT
1ze2D_M487.pdb     -332.498896 kBT
1ze2D_M329.pdb     -295.648211 kBT
1ze2D_M394.pdb     -372.541961 kBT
1ze2D_M154.pdb     -447.072113 kBT
1ze2D_M362.pdb     -464.899152 kBT
1ze2D_M113.pdb     -379.120888 kBT
1ze2D_M123.pdb     -415.473474 kBT
1ze2D_M298.pdb     -398.472678 kBT
1ze2D_M153.pdb     -413.411934 kBT
1ze2D_M307.pdb     -425.372001 kBT
1ze2D_M85.pdb     -390.684731 kBT
1ze2D_M260.pdb     -374.011681 kBT
1ze2D_M35.pdb     -465.685337 kBT
1ze2D_M187.pdb     -378.192584 kBT
1ze2D_M389.pdb     -376.334950 kBT
1ze2D_M416.pdb     -360.520974 kBT
1ze2D_M279.pdb     -358.670817 kBT
1ze2D_M118.pdb     -375.468581 kBT
1ze2D_M455.pdb     -374.178156 kBT
1ze2D_M445.pdb     -325.356294 kBT
1ze2D_M183.pdb     -378.223487 kBT
1ze2D_M459.pdb     -398.273778 kBT
1ze2D_M79.pdb     -421.888834 kBT
1ze2D_M69.pdb     -467.693098 kBT
1ze2D_M169.pdb     -361.116592 kBT
1ze2D_M165.pdb     -426.207852 kBT
1ze2D_M286.pdb     -363.796799 kBT
1ze2D_M66.pdb     -455.840114 kBT
1ze2D_M364.pdb     -317.608292 kBT
1ze2D_M263.pdb     -350.626469 kBT
1ze2D_M347.pdb     -323.843510 kBT
1ze2D_M333.pdb     -270.563183 kBT
1ze2D_M360.pdb     -354.948421 kBT
1ze2D_M228.pdb     -359.345806 kBT
1ze2D_M49.pdb     -443.926825 kBT
1ze2D_M242.pdb     -359.143104 kBT
1ze2D_M323.pdb     -347.000197 kBT
1ze2D_M227.pdb     -362.822172 kBT
1ze2D_M138.pdb     -461.304118 kBT
1ze2D_M397.pdb     -309.839695 kBT
1ze2D_M8.pdb     -530.429696 kBT
1ze2D_M39.pdb     -444.891269 kBT
1ze2D_M413.pdb     -320.429696 kBT
1ze2D_M382.pdb     -398.863422 kBT
1ze2D_M22.pdb     -474.108373 kBT
1ze2D_M358.pdb     -370.071491 kBT
1ze2D_M406.pdb     -264.729707 kBT
1ze2D_M446.pdb     -360.152613 kBT
1ze2D_M150.pdb     -435.723380 kBT
1ze2D_M491.pdb     -353.879304 kBT
1ze2D_M62.pdb     -451.458841 kBT
1ze2D_M2.pdb     -493.316848 kBT
1ze2D_M19.pdb     -484.454865 kBT
1ze2D_M160.pdb     -448.878965 kBT
1ze2D_M176.pdb     -273.530599 kBT
1ze2D_M473.pdb     -320.431232 kBT
1ze2D_M250.pdb     -326.170480 kBT
1ze2D_M436.pdb     -334.630688 kBT
1ze2D_M182.pdb     -378.314499 kBT
1ze2D_M370.pdb     -334.576624 kBT
1ze2D_M134.pdb     -411.941587 kBT
1ze2D_M45.pdb     -459.769063 kBT
1ze2D_M355.pdb     -332.584352 kBT
1ze2D_M412.pdb     -329.228771 kBT
1ze2D_M149.pdb     -417.467566 kBT
1ze2D_M400.pdb     -322.571728 kBT
1ze2D_M44.pdb     -449.219004 kBT
1ze2D_M301.pdb     -329.976745 kBT
1ze2D_M431.pdb     -301.675205 kBT
1ze2D_M458.pdb     -271.266742 kBT
1ze2D_M405.pdb     -343.779516 kBT
1ze2D_M398.pdb     -444.124790 kBT
1ze2D_M434.pdb     -344.215226 kBT
1ze2D_M368.pdb     -363.743196 kBT
1ze2D_M372.pdb     -316.868765 kBT
1ze2D_M174.pdb     -424.400740 kBT
1ze2D_M252.pdb     -397.760083 kBT
1ze2D_M193.pdb     -338.391379 kBT
1ze2D_M332.pdb     -299.540248 kBT
1ze2D_M37.pdb     -437.680039 kBT
1ze2D_M81.pdb     -435.459894 kBT
1ze2D_M90.pdb     -413.300371 kBT
1ze2D_M235.pdb     -301.920379 kBT
1ze2D_M124.pdb     -404.029853 kBT
1ze2D_M474.pdb     -244.828113 kBT
1ze2D_M306.pdb     -358.813737 kBT
1ze2D_M1.pdb     -511.143542 kBT
1ze2D_M87.pdb     -446.426963 kBT
1ze2D_M313.pdb     -278.810474 kBT
1ze2D_M51.pdb     -487.290266 kBT
1ze2D_M483.pdb     -364.434334 kBT
1ze2D_M238.pdb     -332.788826 kBT
1ze2D_M75.pdb     -403.495999 kBT
1ze2D_M344.pdb     -374.136469 kBT
1ze2D_M141.pdb     -458.256794 kBT
1ze2D_M131.pdb     -386.141863 kBT
1ze2D_M376.pdb     -396.975094 kBT
1ze2D_M417.pdb     -364.537048 kBT
1ze2D_M302.pdb     -380.067080 kBT
1ze2D_M342.pdb     -271.163432 kBT
1ze2D_M67.pdb     -440.201711 kBT
1ze2D_M317.pdb     -363.779056 kBT
1ze2D_M341.pdb     -351.205935 kBT
1ze2D_M477.pdb     -331.618777 kBT
1ze2D_M175.pdb     -394.658162 kBT
1ze2D_M200.pdb     -420.658352 kBT
1ze2D_M486.pdb     -354.959832 kBT
1ze2D_M217.pdb     -454.359912 kBT
1ze2D_M197.pdb     -321.775050 kBT
1ze2D_M326.pdb     -340.253682 kBT
1ze2D_M338.pdb     -355.540990 kBT
1ze2D_M495.pdb     -378.441946 kBT
1ze2D_M88.pdb     -461.951303 kBT
1ze2D_M409.pdb     -299.773707 kBT
1ze2D_M162.pdb     -358.820073 kBT
1ze2D_M348.pdb     -357.870403 kBT
1ze2D_M305.pdb     -299.568985 kBT
1ze2D_M350.pdb     -326.863538 kBT
1ze2D_M334.pdb     -392.527174 kBT
1ze2D_M210.pdb     -368.670421 kBT
1ze2D_M203.pdb     -296.189009 kBT
1ze2D_M463.pdb     -288.172358 kBT
1ze2D_M240.pdb     -358.675555 kBT
1ze2D_M54.pdb     -494.275442 kBT
1ze2D_M479.pdb     -333.911053 kBT
1ze2D_M408.pdb     -294.341445 kBT
1ze2D_M320.pdb     -404.904160 kBT
1ze2D_M403.pdb     -346.035155 kBT
1ze2D_M17.pdb     -493.427895 kBT
1ze2D_M337.pdb     -291.846760 kBT
1ze2D_M237.pdb     -350.511547 kBT
1ze2D_M96.pdb     -406.938757 kBT
1ze2D_M428.pdb     -343.690649 kBT
1ze2D_M475.pdb     -362.887001 kBT
1ze2D_M32.pdb     -403.858655 kBT
1ze2D_M23.pdb     -491.069624 kBT
1ze2D_M18.pdb     -472.992677 kBT
1ze2D_M465.pdb     -311.581431 kBT
1ze2D_M442.pdb     -341.322182 kBT
1ze2D_M120.pdb     -388.005884 kBT
1ze2D_M105.pdb     -420.689391 kBT
1ze2D_M248.pdb     -419.868124 kBT
1ze2D_M33.pdb     -444.356451 kBT
1ze2D_M452.pdb     -336.092230 kBT
1ze2D_M366.pdb     -320.136984 kBT
1ze2D_M255.pdb     -396.921861 kBT
1ze2D_M268.pdb     -356.071639 kBT
1ze2D_M254.pdb     -348.787829 kBT
1ze2D_M127.pdb     -432.957578 kBT
1ze2D_M16.pdb     -520.528252 kBT
1ze2D_M478.pdb     -258.162558 kBT
1ze2D_M180.pdb     -426.115763 kBT
1ze2D_M125.pdb     -442.340138 kBT
1ze2D.pdb     -519.203678 kBT
1ze2D_M92.pdb     -408.153231 kBT
1ze2D_M230.pdb     -405.161822 kBT
1ze2D_M299.pdb     -471.550981 kBT
1ze2D_M456.pdb     -348.351780 kBT
1ze2D_M410.pdb     -338.527876 kBT
1ze2D_M218.pdb     -315.188311 kBT
1ze2D_M24.pdb     -521.820479 kBT
1ze2D_M186.pdb     -371.977196 kBT
1ze2D_M159.pdb     -398.506597 kBT
1ze2D_M42.pdb     -453.260778 kBT
1ze2D_M110.pdb     -444.050425 kBT
1ze2D_M208.pdb     -387.548051 kBT
1ze2D_M422.pdb     -346.961236 kBT
1ze2D_M177.pdb     -403.380724 kBT
1ze2D_M115.pdb     -378.254376 kBT
1ze2D_M157.pdb     -391.922035 kBT
1ze2D_M72.pdb     -420.356887 kBT
1ze2D_M285.pdb     -408.204166 kBT
1ze2D_M95.pdb     -391.432182 kBT
1ze2D_M117.pdb     -441.728960 kBT
1ze2D_M391.pdb     -332.175420 kBT
1ze2D_M363.pdb     -307.251280 kBT
1ze2D_M190.pdb     -406.001261 kBT
1ze2D_M126.pdb     -417.726475 kBT
1ze2D_M489.pdb     -279.582048 kBT
1ze2D_M256.pdb     -363.085567 kBT
1ze2D_M231.pdb     -406.414346 kBT
1ze2D_M314.pdb     -383.684136 kBT
1ze2D_M472.pdb     -339.590925 kBT
1ze2D_M316.pdb     -319.921339 kBT
1ze2D_M247.pdb     -430.616739 kBT
1ze2D_M354.pdb     -302.143116 kBT
1ze2D_M234.pdb     -314.521073 kBT
1ze2D_M261.pdb     -423.910190 kBT
1ze2D_M290.pdb     -375.575841 kBT
1ze2D_M270.pdb     -340.727756 kBT
1ze2D_M60.pdb     -480.351285 kBT
1ze2D_M198.pdb     -340.606139 kBT
1ze2D_M258.pdb     -359.075502 kBT
1ze2D_M219.pdb     -458.523274 kBT
1ze2D_M80.pdb     -372.783329 kBT
1ze2D_M152.pdb     -404.004106 kBT
1ze2D_M10.pdb     -504.256435 kBT
1ze2D_M288.pdb     -364.795386 kBT
1ze2D_M140.pdb     -383.053134 kBT
1ze2D_M367.pdb     -258.089797 kBT
1ze2D_M388.pdb     -355.053079 kBT
1ze2D_M56.pdb     -461.724297 kBT
1ze2D_M111.pdb     -414.161806 kBT
1ze2D_M57.pdb     -472.667856 kBT
1ze2D_M296.pdb     -339.243259 kBT
1ze2D_M402.pdb     -340.490143 kBT
1ze2D_M439.pdb     -272.091176 kBT
1ze2D_M441.pdb     -382.845947 kBT
1ze2D_M387.pdb     -323.630310 kBT
1ze2D_M71.pdb     -451.757386 kBT
1ze2D_M384.pdb     -331.334446 kBT
1ze2D_M158.pdb     -346.189763 kBT
1ze2D_M331.pdb     -309.535499 kBT
1ze2D_M371.pdb     -308.546968 kBT
1ze2D_M202.pdb     -335.937881 kBT
1ze2D_M65.pdb     -388.609811 kBT
1ze2D_M13.pdb     -515.721351 kBT
1ze2D_M129.pdb     -416.301585 kBT
1ze2D_M300.pdb     -367.736649 kBT
1ze2D_M381.pdb     -389.667550 kBT
1ze2D_M148.pdb     -392.991423 kBT
1ze2D_M43.pdb     -495.723569 kBT
1ze2D_M164.pdb     -416.987269 kBT
1ze2D_M36.pdb     -447.946807 kBT
1ze2D_M271.pdb     -430.389133 kBT
1ze2D_M226.pdb     -371.236296 kBT
1ze2D_M179.pdb     -348.939357 kBT
1ze2D_M266.pdb     -406.570332 kBT
1ze2D_M61.pdb     -472.755795 kBT
1ze2D_M470.pdb     -375.593599 kBT
1ze2D_M482.pdb     -427.723666 kBT
1ze2D_M335.pdb     -336.320526 kBT
1ze2D_M204.pdb     -337.248957 kBT
1ze2D_M144.pdb     -407.878977 kBT
1ze2D_M40.pdb     -413.786055 kBT
1ze2D_M78.pdb     -483.487533 kBT
1ze2D_M130.pdb     -356.572237 kBT
1ze2D_M346.pdb     -386.188823 kBT
1ze2D_M11.pdb     -518.088583 kBT
1ze2D_M20.pdb     -495.964509 kBT
1ze2D_M303.pdb     -376.233203 kBT
1ze2D_M215.pdb     -379.269632 kBT
1ze2D_M321.pdb     -444.437515 kBT
1ze2D_M377.pdb     -324.715658 kBT
1ze2D_M273.pdb     -419.351010 kBT
1ze2D_M12.pdb     -449.995665 kBT
1ze2D_M448.pdb     -396.943809 kBT
1ze2D_M52.pdb     -393.501133 kBT
1ze2D_M386.pdb     -434.175949 kBT
1ze2D_M15.pdb     -485.083735 kBT
1ze2D_M172.pdb     -378.377120 kBT
1ze2D_M276.pdb     -411.125125 kBT
1ze2D_M257.pdb     -379.436732 kBT
1ze2D_M291.pdb     -367.655176 kBT
1ze2D_M466.pdb     -394.847107 kBT
1ze2D_M239.pdb     -360.204601 kBT
1ze2D_M476.pdb     -358.966403 kBT
1ze2D_M454.pdb     -314.925913 kBT
1ze2D_M221.pdb     -387.547476 kBT
1ze2D_M189.pdb     -378.703012 kBT
1ze2D_M245.pdb     -349.366958 kBT
1ze2D_M55.pdb     -431.867435 kBT
1ze2D_M265.pdb     -385.278163 kBT
1ze2D_M485.pdb     -239.356177 kBT
1ze2D_M468.pdb     -341.733412 kBT
1ze2D_M83.pdb     -421.438449 kBT
1ze2D_M399.pdb     -290.642598 kBT
1ze2D_M225.pdb     -370.635933 kBT
1ze2D_M201.pdb     -385.636500 kBT
1ze2D_M404.pdb     -241.009261 kBT
1ze2D_M430.pdb     -305.956068 kBT
1ze2D_M433.pdb     -346.045530 kBT
1ze2D_M7.pdb     -502.964479 kBT
1ze2D_M374.pdb     -293.988520 kBT
1ze2D_M220.pdb     -353.777260 kBT
1ze2D_M156.pdb     -407.235384 kBT
1ze2D_M292.pdb     -332.081279 kBT
1ze2D_M415.pdb     -440.241752 kBT
1ze2D_M375.pdb     -278.072587 kBT
1ze2D_M108.pdb     -371.967683 kBT
1ze2D_M6.pdb     -492.986172 kBT
1ze2D_M104.pdb     -413.856310 kBT
1ze2D_M457.pdb     -411.906161 kBT
1ze2D_M443.pdb     -345.689161 kBT
1ze2D_M70.pdb     -401.193566 kBT
1ze2D_M76.pdb     -430.484130 kBT
1ze2D_M251.pdb     -351.807729 kBT
1ze2D_M494.pdb     -313.472220 kBT
1ze2D_M82.pdb     -449.339962 kBT
1ze2D_M328.pdb     -339.932838 kBT
1ze2D_M188.pdb     -428.753607 kBT
1ze2D_M132.pdb     -429.384785 kBT
1ze2D_M116.pdb     -436.379902 kBT
1ze2D_M9.pdb     -509.409657 kBT
1ze2D_M281.pdb     -285.193096 kBT
1ze2D_M25.pdb     -465.022599 kBT
1ze2D_M63.pdb     -416.211329 kBT
1ze2D_M450.pdb     -349.799311 kBT
1ze2D_M155.pdb     -406.124904 kBT
1ze2D_M467.pdb     -272.062248 kBT
1ze2D_M5.pdb     -490.518134 kBT
