1kogP_M377.pdb     -566.621211 kBT
1kogP_M234.pdb     -548.887599 kBT
1kogP_M42.pdb     -627.640298 kBT
1kogP_M93.pdb     -633.533866 kBT
1kogP_M435.pdb     -503.097450 kBT
1kogP_M191.pdb     -588.495653 kBT
1kogP_M301.pdb     -523.225934 kBT
1kogP_M329.pdb     -638.928570 kBT
1kogP_M314.pdb     -551.186611 kBT
1kogP_M274.pdb     -579.027524 kBT
1kogP_M267.pdb     -565.100158 kBT
1kogP_M221.pdb     -616.358411 kBT
1kogP_M167.pdb     -575.906408 kBT
1kogP_M43.pdb     -654.177115 kBT
1kogP_M363.pdb     -511.952080 kBT
1kogP_M175.pdb     -649.501682 kBT
1kogP_M77.pdb     -605.134017 kBT
1kogP_M315.pdb     -589.368378 kBT
1kogP_M169.pdb     -586.712946 kBT
1kogP_M211.pdb     -597.993139 kBT
1kogP_M282.pdb     -516.881491 kBT
1kogP_M475.pdb     -409.123477 kBT
1kogP_M345.pdb     -552.037471 kBT
1kogP_M420.pdb     -517.437731 kBT
1kogP_M117.pdb     -596.203645 kBT
1kogP_M25.pdb     -635.340705 kBT
1kogP_M190.pdb     -612.534632 kBT
1kogP_M105.pdb     -594.344658 kBT
1kogP_M223.pdb     -570.563344 kBT
1kogP_M228.pdb     -547.437185 kBT
1kogP_M1.pdb     -710.397025 kBT
1kogP_M251.pdb     -590.447014 kBT
1kogP_M392.pdb     -543.486616 kBT
1kogP_M179.pdb     -522.292914 kBT
1kogP_M125.pdb     -587.040458 kBT
1kogP_M357.pdb     -504.383844 kBT
1kogP_M24.pdb     -670.422904 kBT
1kogP_M378.pdb     -510.046494 kBT
1kogP_M364.pdb     -585.686765 kBT
1kogP_M34.pdb     -612.864277 kBT
1kogP_M219.pdb     -565.124888 kBT
1kogP_M14.pdb     -728.163594 kBT
1kogP_M37.pdb     -650.035302 kBT
1kogP_M51.pdb     -665.211921 kBT
1kogP_M279.pdb     -555.045387 kBT
1kogP_M185.pdb     -582.917627 kBT
1kogP_M75.pdb     -655.260957 kBT
1kogP_M215.pdb     -570.727576 kBT
1kogP_M123.pdb     -592.184692 kBT
1kogP_M263.pdb     -571.777634 kBT
1kogP_M384.pdb     -507.424737 kBT
1kogP_M254.pdb     -504.546573 kBT
1kogP_M11.pdb     -711.515025 kBT
1kogP_M12.pdb     -736.341454 kBT
1kogP_M177.pdb     -552.444926 kBT
1kogP_M289.pdb     -519.960387 kBT
1kogP_M371.pdb     -487.289846 kBT
1kogP_M13.pdb     -731.950690 kBT
1kogP_M310.pdb     -510.632411 kBT
1kogP_M457.pdb     -483.582493 kBT
1kogP_M401.pdb     -570.596013 kBT
1kogP_M288.pdb     -545.337809 kBT
1kogP_M81.pdb     -632.903928 kBT
1kogP_M277.pdb     -528.049160 kBT
1kogP_M238.pdb     -515.910658 kBT
1kogP_M449.pdb     -446.480193 kBT
1kogP_M276.pdb     -542.523125 kBT
1kogP_M52.pdb     -602.221527 kBT
1kogP_M383.pdb     -527.623302 kBT
1kogP_M421.pdb     -563.891366 kBT
1kogP_M500.pdb     -484.949488 kBT
1kogP_M95.pdb     -631.933939 kBT
1kogP_M456.pdb     -521.130699 kBT
1kogP_M9.pdb     -696.229504 kBT
1kogP_M133.pdb     -642.268610 kBT
1kogP_M56.pdb     -636.199308 kBT
1kogP_M424.pdb     -564.908659 kBT
1kogP_M268.pdb     -611.324773 kBT
1kogP_M142.pdb     -513.861280 kBT
1kogP_M226.pdb     -525.717339 kBT
1kogP_M249.pdb     -597.482222 kBT
1kogP_M158.pdb     -561.354556 kBT
1kogP_M290.pdb     -449.961487 kBT
1kogP_M143.pdb     -605.311069 kBT
1kogP_M83.pdb     -603.002800 kBT
1kogP_M261.pdb     -558.449534 kBT
1kogP_M137.pdb     -555.532257 kBT
1kogP_M26.pdb     -615.981915 kBT
1kogP_M361.pdb     -547.180760 kBT
1kogP_M346.pdb     -557.281050 kBT
1kogP_M417.pdb     -490.004565 kBT
1kogP_M284.pdb     -549.918195 kBT
1kogP_M295.pdb     -578.969223 kBT
1kogP_M138.pdb     -562.126614 kBT
1kogP_M159.pdb     -624.095276 kBT
1kogP_M240.pdb     -585.560504 kBT
1kogP_M352.pdb     -549.079150 kBT
1kogP_M36.pdb     -640.980303 kBT
1kogP_M476.pdb     -534.947256 kBT
1kogP_M461.pdb     -550.928104 kBT
1kogP_M271.pdb     -561.539481 kBT
1kogP_M287.pdb     -540.723830 kBT
1kogP_M102.pdb     -606.745599 kBT
1kogP_M299.pdb     -467.935582 kBT
1kogP_M109.pdb     -587.315163 kBT
1kogP_M304.pdb     -561.890673 kBT
1kogP_M291.pdb     -512.578948 kBT
1kogP_M351.pdb     -491.987398 kBT
1kogP_M145.pdb     -570.579935 kBT
1kogP_M387.pdb     -453.701466 kBT
1kogP_M170.pdb     -532.770611 kBT
1kogP_M2.pdb     -707.649137 kBT
1kogP_M39.pdb     -718.872161 kBT
1kogP_M331.pdb     -558.438065 kBT
1kogP_M474.pdb     -432.966204 kBT
1kogP_M84.pdb     -595.774473 kBT
1kogP_M214.pdb     -594.790910 kBT
1kogP_M296.pdb     -479.920664 kBT
1kogP_M379.pdb     -515.011883 kBT
1kogP_M218.pdb     -522.337810 kBT
1kogP_M259.pdb     -541.363556 kBT
1kogP_M433.pdb     -523.665452 kBT
1kogP_M121.pdb     -653.923672 kBT
1kogP_M112.pdb     -555.764672 kBT
1kogP_M484.pdb     -515.830227 kBT
1kogP_M227.pdb     -563.377431 kBT
1kogP_M338.pdb     -569.082333 kBT
1kogP_M340.pdb     -572.984157 kBT
1kogP_M428.pdb     -512.000508 kBT
1kogP_M297.pdb     -586.153519 kBT
1kogP_M281.pdb     -476.074165 kBT
1kogP_M149.pdb     -630.199121 kBT
1kogP_M119.pdb     -620.453089 kBT
1kogP_M63.pdb     -640.840229 kBT
1kogP_M462.pdb     -540.948768 kBT
1kogP_M370.pdb     -489.577360 kBT
1kogP_M402.pdb     -559.913362 kBT
1kogP_M483.pdb     -601.261922 kBT
1kogP_M153.pdb     -611.159071 kBT
1kogP_M30.pdb     -665.096895 kBT
1kogP_M322.pdb     -544.726319 kBT
1kogP_M308.pdb     -611.513104 kBT
1kogP_M471.pdb     -521.706671 kBT
1kogP_M497.pdb     -492.115783 kBT
1kogP_M7.pdb     -716.467411 kBT
1kogP_M62.pdb     -646.218599 kBT
1kogP_M442.pdb     -559.906044 kBT
1kogP_M250.pdb     -533.932869 kBT
1kogP_M5.pdb     -721.166607 kBT
1kogP_M16.pdb     -681.289938 kBT
1kogP_M124.pdb     -595.090879 kBT
1kogP_M108.pdb     -567.508286 kBT
1kogP_M207.pdb     -543.915590 kBT
1kogP_M232.pdb     -519.489413 kBT
1kogP_M163.pdb     -655.473168 kBT
1kogP_M481.pdb     -470.771520 kBT
1kogP_M140.pdb     -554.197039 kBT
1kogP_M423.pdb     -451.721428 kBT
1kogP_M265.pdb     -550.145344 kBT
1kogP_M28.pdb     -691.529186 kBT
1kogP_M150.pdb     -593.123937 kBT
1kogP_M189.pdb     -540.519207 kBT
1kogP_M181.pdb     -586.075988 kBT
1kogP_M114.pdb     -577.008217 kBT
1kogP_M440.pdb     -533.144003 kBT
1kogP_M29.pdb     -651.754831 kBT
1kogP_M272.pdb     -587.086703 kBT
1kogP_M312.pdb     -521.602954 kBT
1kogP_M356.pdb     -555.631277 kBT
1kogP_M470.pdb     -592.977622 kBT
1kogP_M495.pdb     -555.429652 kBT
1kogP_M53.pdb     -622.306599 kBT
1kogP_M183.pdb     -646.171080 kBT
1kogP_M148.pdb     -579.549030 kBT
1kogP_M186.pdb     -550.164747 kBT
1kogP_M273.pdb     -486.703926 kBT
1kogP_M242.pdb     -510.870555 kBT
1kogP_M469.pdb     -539.482933 kBT
1kogP_M465.pdb     -491.595442 kBT
1kogP_M157.pdb     -523.405710 kBT
1kogP_M283.pdb     -568.991409 kBT
1kogP_M236.pdb     -608.391938 kBT
1kogP_M419.pdb     -482.139357 kBT
1kogP_M99.pdb     -575.809768 kBT
1kogP_M438.pdb     -535.202146 kBT
1kogP_M298.pdb     -600.130216 kBT
1kogP_M225.pdb     -560.197858 kBT
1kogP_M372.pdb     -462.372217 kBT
1kogP_M151.pdb     -574.994727 kBT
1kogP_M426.pdb     -534.148909 kBT
1kogP_M200.pdb     -638.779035 kBT
1kogP_M155.pdb     -611.567396 kBT
1kogP_M411.pdb     -528.045018 kBT
1kogP_M458.pdb     -570.732936 kBT
1kogP_M130.pdb     -615.582145 kBT
1kogP_M178.pdb     -531.312638 kBT
1kogP_M212.pdb     -576.780724 kBT
1kogP_M448.pdb     -475.162222 kBT
1kogP_M168.pdb     -529.103331 kBT
1kogP_M332.pdb     -591.130889 kBT
1kogP_M256.pdb     -527.348796 kBT
1kogP_M300.pdb     -569.655201 kBT
1kogP_M355.pdb     -549.110651 kBT
1kogP_M391.pdb     -573.211335 kBT
1kogP_M410.pdb     -522.921623 kBT
1kogP_M498.pdb     -432.585638 kBT
1kogP_M416.pdb     -485.126169 kBT
1kogP_M353.pdb     -584.598758 kBT
1kogP_M430.pdb     -546.845752 kBT
1kogP_M113.pdb     -563.502788 kBT
1kogP_M434.pdb     -545.272679 kBT
1kogP_M21.pdb     -657.173042 kBT
1kogP_M425.pdb     -494.300819 kBT
1kogP_M441.pdb     -511.851297 kBT
1kogP_M92.pdb     -630.548415 kBT
1kogP_M445.pdb     -527.452899 kBT
1kogP_M373.pdb     -502.018710 kBT
1kogP_M18.pdb     -700.325350 kBT
1kogP_M173.pdb     -554.916588 kBT
1kogP_M335.pdb     -605.289564 kBT
1kogP_M306.pdb     -515.318865 kBT
1kogP_M122.pdb     -627.438891 kBT
1kogP_M188.pdb     -590.028934 kBT
1kogP_M4.pdb     -728.634951 kBT
1kogP_M374.pdb     -450.327576 kBT
1kogP_M386.pdb     -490.040403 kBT
1kogP_M86.pdb     -626.810883 kBT
1kogP_M369.pdb     -501.007364 kBT
1kogP_M206.pdb     -570.291124 kBT
1kogP_M398.pdb     -479.274771 kBT
1kogP_M222.pdb     -528.368599 kBT
1kogP_M82.pdb     -621.456765 kBT
1kogP_M205.pdb     -552.091045 kBT
1kogP_M107.pdb     -572.918329 kBT
1kogP_M489.pdb     -474.315051 kBT
1kogP_M365.pdb     -540.531839 kBT
1kogP_M400.pdb     -506.291415 kBT
1kogP_M70.pdb     -598.217119 kBT
1kogP_M359.pdb     -494.218787 kBT
1kogP_M50.pdb     -631.002431 kBT
1kogP_M196.pdb     -574.542139 kBT
1kogP_M118.pdb     -576.910764 kBT
1kogP_M293.pdb     -564.972974 kBT
1kogP_M174.pdb     -590.950747 kBT
1kogP_M463.pdb     -544.788053 kBT
1kogP_M382.pdb     -480.307237 kBT
1kogP_M275.pdb     -556.820285 kBT
1kogP_M40.pdb     -687.632010 kBT
1kogP_M90.pdb     -557.216954 kBT
1kogP_M78.pdb     -609.173443 kBT
1kogP_M480.pdb     -549.268879 kBT
1kogP_M452.pdb     -555.988807 kBT
1kogP_M394.pdb     -466.846524 kBT
1kogP_M437.pdb     -522.806761 kBT
1kogP_M235.pdb     -481.323086 kBT
1kogP_M98.pdb     -577.728967 kBT
1kogP_M57.pdb     -618.834249 kBT
1kogP_M197.pdb     -564.495761 kBT
1kogP_M247.pdb     -540.731107 kBT
1kogP_M136.pdb     -596.349793 kBT
1kogP_M266.pdb     -565.475294 kBT
1kogP_M131.pdb     -580.762285 kBT
1kogP_M339.pdb     -541.173231 kBT
1kogP_M71.pdb     -615.492211 kBT
1kogP_M230.pdb     -525.593601 kBT
1kogP_M375.pdb     -568.219059 kBT
1kogP_M20.pdb     -692.398941 kBT
1kogP_M388.pdb     -451.732714 kBT
1kogP_M229.pdb     -569.159244 kBT
1kogP_M220.pdb     -538.062656 kBT
1kogP_M106.pdb     -586.693890 kBT
1kogP_M111.pdb     -612.712936 kBT
1kogP_M239.pdb     -581.876049 kBT
1kogP_M60.pdb     -569.964140 kBT
1kogP_M367.pdb     -549.081633 kBT
1kogP_M253.pdb     -592.646357 kBT
1kogP_M156.pdb     -610.630017 kBT
1kogP_M47.pdb     -631.081874 kBT
1kogP_M368.pdb     -576.339986 kBT
1kogP_M395.pdb     -552.131222 kBT
1kogP_M408.pdb     -576.178763 kBT
1kogP_M176.pdb     -621.258875 kBT
1kogP_M451.pdb     -545.633439 kBT
1kogP_M328.pdb     -448.258079 kBT
1kogP_M413.pdb     -497.173736 kBT
1kogP_M327.pdb     -519.000221 kBT
1kogP_M337.pdb     -516.580632 kBT
1kogP_M316.pdb     -452.702735 kBT
1kogP_M446.pdb     -552.826245 kBT
1kogP_M192.pdb     -561.573542 kBT
1kogP_M244.pdb     -490.082584 kBT
1kogP_M302.pdb     -590.519993 kBT
1kogP_M354.pdb     -590.657530 kBT
1kogP_M243.pdb     -462.639227 kBT
1kogP_M110.pdb     -541.034574 kBT
1kogP_M100.pdb     -559.607219 kBT
1kogP_M152.pdb     -569.320507 kBT
1kogP_M116.pdb     -611.225838 kBT
1kogP_M88.pdb     -628.026522 kBT
1kogP_M285.pdb     -580.565928 kBT
1kogP_M258.pdb     -542.261478 kBT
1kogP_M146.pdb     -615.613280 kBT
1kogP_M231.pdb     -554.113045 kBT
1kogP_M278.pdb     -531.870116 kBT
1kogP_M132.pdb     -551.103791 kBT
1kogP_M477.pdb     -547.606784 kBT
1kogP_M94.pdb     -616.147706 kBT
1kogP_M406.pdb     -531.982812 kBT
1kogP_M479.pdb     -474.449098 kBT
1kogP_M68.pdb     -625.795935 kBT
1kogP_M403.pdb     -517.526391 kBT
1kogP_M482.pdb     -576.879657 kBT
1kogP_M317.pdb     -537.801136 kBT
1kogP_M412.pdb     -426.108130 kBT
1kogP_M455.pdb     -518.286759 kBT
1kogP_M54.pdb     -646.995261 kBT
1kogP_M319.pdb     -514.423572 kBT
1kogP_M341.pdb     -595.671036 kBT
1kogP_M15.pdb     -733.829604 kBT
1kogP_M10.pdb     -713.044794 kBT
1kogP_M193.pdb     -567.912686 kBT
1kogP_M443.pdb     -470.756053 kBT
1kogP_M350.pdb     -549.647148 kBT
1kogP_M55.pdb     -605.611448 kBT
1kogP_M201.pdb     -563.313872 kBT
1kogP_M164.pdb     -622.143359 kBT
1kogP_M269.pdb     -535.301460 kBT
1kogP_M485.pdb     -546.625025 kBT
1kogP_M246.pdb     -570.365937 kBT
1kogP_M252.pdb     -502.165660 kBT
1kogP_M64.pdb     -638.642995 kBT
1kogP_M147.pdb     -559.991296 kBT
1kogP_M8.pdb     -691.525704 kBT
1kogP_M187.pdb     -539.093541 kBT
1kogP_M499.pdb     -562.885096 kBT
1kogP_M344.pdb     -526.010726 kBT
1kogP_M87.pdb     -569.682218 kBT
1kogP_M390.pdb     -567.701685 kBT
1kogP_M3.pdb     -713.502620 kBT
1kogP_M65.pdb     -603.714911 kBT
1kogP_M172.pdb     -607.414980 kBT
1kogP_M248.pdb     -584.720851 kBT
1kogP_M96.pdb     -611.636383 kBT
1kogP_M154.pdb     -553.446649 kBT
1kogP_M286.pdb     -544.554898 kBT
1kogP_M415.pdb     -506.534687 kBT
1kogP_M467.pdb     -520.336853 kBT
1kogP_M134.pdb     -604.880135 kBT
1kogP_M127.pdb     -627.939610 kBT
1kogP_M255.pdb     -547.956428 kBT
1kogP_M103.pdb     -581.667021 kBT
1kogP_M216.pdb     -532.813498 kBT
1kogP_M491.pdb     -595.617621 kBT
1kogP_M69.pdb     -640.589544 kBT
1kogP_M35.pdb     -709.374774 kBT
1kogP_M171.pdb     -562.381922 kBT
1kogP_M129.pdb     -615.292620 kBT
1kogP_M198.pdb     -619.680124 kBT
1kogP_M385.pdb     -481.298725 kBT
1kogP_M199.pdb     -580.512615 kBT
1kogP_M487.pdb     -540.499338 kBT
1kogP_M241.pdb     -560.152208 kBT
1kogP_M126.pdb     -602.302551 kBT
