2anrB_M23.pdb     -410.547068 kBT
2anrB_M430.pdb     -261.199368 kBT
2anrB_M115.pdb     -355.735030 kBT
2anrB_M327.pdb     -293.292751 kBT
2anrB_M17.pdb     -467.139685 kBT
2anrB_M116.pdb     -387.367991 kBT
2anrB_M316.pdb     -322.713544 kBT
2anrB_M366.pdb     -324.321073 kBT
2anrB_M411.pdb     -333.638581 kBT
2anrB_M420.pdb     -290.384694 kBT
2anrB_M3.pdb     -457.645572 kBT
2anrB_M198.pdb     -308.216459 kBT
2anrB_M368.pdb     -375.375444 kBT
2anrB_M62.pdb     -412.569239 kBT
2anrB_M282.pdb     -356.180931 kBT
2anrB_M460.pdb     -342.086113 kBT
2anrB_M208.pdb     -332.019040 kBT
2anrB_M412.pdb     -330.523926 kBT
2anrB_M473.pdb     -320.624757 kBT
2anrB_M369.pdb     -394.421917 kBT
2anrB_M370.pdb     -327.974344 kBT
2anrB_M423.pdb     -188.365988 kBT
2anrB_M268.pdb     -371.757321 kBT
2anrB_M271.pdb     -339.702737 kBT
2anrB_M349.pdb     -355.921088 kBT
2anrB_M305.pdb     -327.586136 kBT
2anrB_M121.pdb     -405.669140 kBT
2anrB_M94.pdb     -368.435394 kBT
2anrB_M26.pdb     -443.442165 kBT
2anrB_M226.pdb     -306.364626 kBT
2anrB_M295.pdb     -319.635811 kBT
2anrB_M234.pdb     -313.256526 kBT
2anrB_M294.pdb     -314.354751 kBT
2anrB_M326.pdb     -299.795400 kBT
2anrB_M392.pdb     -351.560077 kBT
2anrB_M139.pdb     -416.289394 kBT
2anrB_M167.pdb     -345.045377 kBT
2anrB_M117.pdb     -366.963286 kBT
2anrB_M2.pdb     -471.561049 kBT
2anrB_M172.pdb     -414.658477 kBT
2anrB_M414.pdb     -311.383477 kBT
2anrB_M362.pdb     -337.357754 kBT
2anrB_M397.pdb     -249.048388 kBT
2anrB_M338.pdb     -248.431108 kBT
2anrB_M79.pdb     -330.957313 kBT
2anrB_M207.pdb     -375.388980 kBT
2anrB_M498.pdb     -256.314072 kBT
2anrB_M71.pdb     -292.510564 kBT
2anrB_M395.pdb     -364.768859 kBT
2anrB_M129.pdb     -334.116139 kBT
2anrB_M373.pdb     -315.635419 kBT
2anrB_M372.pdb     -347.293489 kBT
2anrB_M249.pdb     -346.128814 kBT
2anrB_M29.pdb     -410.751310 kBT
2anrB_M464.pdb     -312.876009 kBT
2anrB_M123.pdb     -362.845340 kBT
2anrB_M171.pdb     -372.855790 kBT
2anrB_M350.pdb     -339.199634 kBT
2anrB_M403.pdb     -275.510207 kBT
2anrB_M306.pdb     -396.298701 kBT
2anrB_M197.pdb     -341.970161 kBT
2anrB_M19.pdb     -426.434686 kBT
2anrB_M311.pdb     -249.436678 kBT
2anrB_M308.pdb     -298.334595 kBT
2anrB_M257.pdb     -318.741632 kBT
2anrB_M354.pdb     -264.335657 kBT
2anrB_M91.pdb     -343.595216 kBT
2anrB_M379.pdb     -283.442545 kBT
2anrB_M96.pdb     -323.969910 kBT
2anrB_M387.pdb     -378.324455 kBT
2anrB_M438.pdb     -280.331331 kBT
2anrB_M492.pdb     -344.082083 kBT
2anrB_M441.pdb     -294.512450 kBT
2anrB_M425.pdb     -259.345738 kBT
2anrB_M164.pdb     -368.322854 kBT
2anrB_M353.pdb     -319.217230 kBT
2anrB_M14.pdb     -474.408468 kBT
2anrB_M314.pdb     -314.931443 kBT
2anrB_M321.pdb     -327.930426 kBT
2anrB_M178.pdb     -381.338442 kBT
2anrB_M228.pdb     -406.714928 kBT
2anrB_M293.pdb     -310.969154 kBT
2anrB_M85.pdb     -357.942955 kBT
2anrB_M300.pdb     -271.966550 kBT
2anrB_M161.pdb     -379.555473 kBT
2anrB_M329.pdb     -300.557075 kBT
2anrB_M84.pdb     -342.417992 kBT
2anrB_M162.pdb     -362.583810 kBT
2anrB_M216.pdb     -311.794633 kBT
2anrB_M70.pdb     -369.360981 kBT
2anrB_M67.pdb     -380.435819 kBT
2anrB_M18.pdb     -466.343586 kBT
2anrB_M99.pdb     -345.527408 kBT
2anrB_M359.pdb     -260.190534 kBT
2anrB_M209.pdb     -350.017383 kBT
2anrB_M357.pdb     -333.378908 kBT
2anrB_M298.pdb     -337.020785 kBT
2anrB_M358.pdb     -280.930418 kBT
2anrB_M433.pdb     -287.666593 kBT
2anrB_M283.pdb     -379.664693 kBT
2anrB_M232.pdb     -378.685983 kBT
2anrB_M449.pdb     -233.501086 kBT
2anrB_M278.pdb     -311.908308 kBT
2anrB_M386.pdb     -332.932325 kBT
2anrB_M76.pdb     -325.083124 kBT
2anrB_M81.pdb     -352.924139 kBT
2anrB_M287.pdb     -367.513437 kBT
2anrB_M337.pdb     -288.603740 kBT
2anrB_M444.pdb     -277.916896 kBT
2anrB_M478.pdb     -304.755955 kBT
2anrB_M262.pdb     -308.350884 kBT
2anrB_M9.pdb     -440.385691 kBT
2anrB_M132.pdb     -332.356101 kBT
2anrB_M304.pdb     -330.842361 kBT
2anrB_M212.pdb     -383.585964 kBT
2anrB_M486.pdb     -285.640853 kBT
2anrB_M396.pdb     -304.196505 kBT
2anrB_M248.pdb     -347.040842 kBT
2anrB_M145.pdb     -380.980354 kBT
2anrB_M410.pdb     -278.101626 kBT
2anrB_M180.pdb     -395.315251 kBT
2anrB_M431.pdb     -294.011387 kBT
2anrB_M165.pdb     -339.193746 kBT
2anrB_M451.pdb     -270.057391 kBT
2anrB_M440.pdb     -284.603127 kBT
2anrB_M324.pdb     -388.305653 kBT
2anrB_M274.pdb     -331.207518 kBT
2anrB_M263.pdb     -325.574666 kBT
2anrB_M279.pdb     -311.669102 kBT
2anrB_M241.pdb     -330.973122 kBT
2anrB_M493.pdb     -353.627201 kBT
2anrB_M496.pdb     -278.532839 kBT
2anrB_M155.pdb     -320.639591 kBT
2anrB_M173.pdb     -397.738639 kBT
2anrB_M4.pdb     -465.129397 kBT
2anrB_M185.pdb     -407.080814 kBT
2anrB_M301.pdb     -270.963093 kBT
2anrB_M258.pdb     -373.384335 kBT
2anrB_M92.pdb     -366.956029 kBT
2anrB_M426.pdb     -304.758627 kBT
2anrB_M74.pdb     -423.063011 kBT
2anrB_M177.pdb     -373.199593 kBT
2anrB_M220.pdb     -336.463973 kBT
2anrB_M179.pdb     -359.099479 kBT
2anrB_M393.pdb     -279.312806 kBT
2anrB_M16.pdb     -467.928532 kBT
2anrB_M21.pdb     -469.208629 kBT
2anrB_M445.pdb     -228.949202 kBT
2anrB_M45.pdb     -391.835325 kBT
2anrB_M382.pdb     -321.045640 kBT
2anrB_M183.pdb     -323.536937 kBT
2anrB_M42.pdb     -412.203656 kBT
2anrB_M267.pdb     -346.638666 kBT
2anrB_M56.pdb     -428.373913 kBT
2anrB_M253.pdb     -400.701560 kBT
2anrB_M97.pdb     -385.854607 kBT
2anrB_M405.pdb     -342.365837 kBT
2anrB_M330.pdb     -241.288586 kBT
2anrB_M340.pdb     -274.184178 kBT
2anrB_M59.pdb     -368.747217 kBT
2anrB_M75.pdb     -368.143398 kBT
2anrB_M120.pdb     -427.697544 kBT
2anrB_M12.pdb     -446.031879 kBT
2anrB_M125.pdb     -384.965743 kBT
2anrB_M363.pdb     -312.348384 kBT
2anrB_M347.pdb     -308.919494 kBT
2anrB_M73.pdb     -395.370304 kBT
2anrB_M184.pdb     -360.964180 kBT
2anrB_M260.pdb     -411.716348 kBT
2anrB_M238.pdb     -268.462405 kBT
2anrB_M64.pdb     -400.416007 kBT
2anrB_M429.pdb     -270.879580 kBT
2anrB_M28.pdb     -420.507365 kBT
2anrB_M170.pdb     -250.211498 kBT
2anrB_M341.pdb     -305.164830 kBT
2anrB_M36.pdb     -369.754251 kBT
2anrB_M418.pdb     -251.405571 kBT
2anrB_M200.pdb     -350.083669 kBT
2anrB_M235.pdb     -305.478248 kBT
2anrB_M24.pdb     -408.908454 kBT
2anrB_M203.pdb     -374.890172 kBT
2anrB_M376.pdb     -377.029992 kBT
2anrB_M239.pdb     -334.343378 kBT
2anrB_M500.pdb     -283.768974 kBT
2anrB_M133.pdb     -357.397930 kBT
2anrB_M44.pdb     -386.993734 kBT
2anrB_M450.pdb     -349.929153 kBT
2anrB_M272.pdb     -344.961242 kBT
2anrB_M250.pdb     -403.521550 kBT
2anrB_M436.pdb     -320.752351 kBT
2anrB_M77.pdb     -344.012662 kBT
2anrB_M136.pdb     -275.058478 kBT
2anrB_M127.pdb     -398.589382 kBT
2anrB_M146.pdb     -372.716995 kBT
2anrB_M187.pdb     -394.551488 kBT
2anrB_M1.pdb     -447.393022 kBT
2anrB_M276.pdb     -262.153317 kBT
2anrB_M343.pdb     -262.113786 kBT
2anrB_M113.pdb     -314.121596 kBT
2anrB_M32.pdb     -418.593482 kBT
2anrB_M101.pdb     -336.642625 kBT
2anrB_M374.pdb     -263.873013 kBT
2anrB_M174.pdb     -337.626052 kBT
2anrB_M223.pdb     -297.520815 kBT
2anrB_M219.pdb     -290.623831 kBT
2anrB_M60.pdb     -361.650856 kBT
2anrB_M27.pdb     -445.771843 kBT
2anrB_M313.pdb     -324.699402 kBT
2anrB_M296.pdb     -388.788584 kBT
2anrB_M58.pdb     -416.963030 kBT
2anrB_M152.pdb     -350.452276 kBT
2anrB_M480.pdb     -433.605974 kBT
2anrB_M309.pdb     -365.877634 kBT
2anrB_M312.pdb     -291.826984 kBT
2anrB_M307.pdb     -307.289526 kBT
2anrB_M82.pdb     -363.818571 kBT
2anrB_M229.pdb     -238.623745 kBT
2anrB_M78.pdb     -392.101982 kBT
2anrB_M150.pdb     -336.017188 kBT
2anrB_M495.pdb     -337.865158 kBT
2anrB_M455.pdb     -274.687409 kBT
2anrB_M409.pdb     -290.272238 kBT
2anrB_M100.pdb     -334.126903 kBT
2anrB_M355.pdb     -387.440099 kBT
2anrB_M39.pdb     -408.256779 kBT
2anrB_M142.pdb     -389.696134 kBT
2anrB_M289.pdb     -295.429173 kBT
2anrB_M459.pdb     -262.431554 kBT
2anrB_M322.pdb     -254.636697 kBT
2anrB_M22.pdb     -455.691023 kBT
2anrB_M432.pdb     -296.849945 kBT
2anrB_M246.pdb     -366.531626 kBT
2anrB_M470.pdb     -302.842193 kBT
2anrB_M55.pdb     -442.424804 kBT
2anrB_M190.pdb     -391.840027 kBT
2anrB_M98.pdb     -446.358066 kBT
2anrB_M151.pdb     -373.584579 kBT
2anrB_M199.pdb     -312.366053 kBT
2anrB_M124.pdb     -330.522213 kBT
2anrB_M360.pdb     -299.097309 kBT
2anrB_M345.pdb     -343.223436 kBT
2anrB_M265.pdb     -395.807545 kBT
2anrB_M102.pdb     -351.511317 kBT
2anrB_M266.pdb     -337.915282 kBT
2anrB_M406.pdb     -303.008240 kBT
2anrB_M225.pdb     -318.990106 kBT
2anrB_M108.pdb     -363.852160 kBT
2anrB_M483.pdb     -277.117315 kBT
2anrB_M469.pdb     -297.821187 kBT
2anrB_M5.pdb     -463.027719 kBT
2anrB_M446.pdb     -227.996168 kBT
2anrB_M90.pdb     -364.917794 kBT
2anrB_M434.pdb     -255.148970 kBT
2anrB_M348.pdb     -295.782578 kBT
2anrB_M140.pdb     -386.631224 kBT
2anrB_M93.pdb     -310.774503 kBT
2anrB_M497.pdb     -290.503470 kBT
2anrB_M15.pdb     -434.621267 kBT
2anrB_M54.pdb     -393.331224 kBT
2anrB_M346.pdb     -321.335678 kBT
2anrB_M192.pdb     -367.397955 kBT
2anrB_M224.pdb     -340.101063 kBT
2anrB_M157.pdb     -334.306908 kBT
2anrB_M111.pdb     -384.244793 kBT
2anrB_M328.pdb     -306.532874 kBT
2anrB_M231.pdb     -403.680392 kBT
2anrB_M204.pdb     -365.143090 kBT
2anrB_M482.pdb     -298.103115 kBT
2anrB_M484.pdb     -352.134208 kBT
2anrB_M144.pdb     -366.181853 kBT
2anrB_M275.pdb     -307.839105 kBT
2anrB_M462.pdb     -263.153394 kBT
2anrB_M20.pdb     -452.298910 kBT
2anrB_M158.pdb     -307.095329 kBT
2anrB_M453.pdb     -295.415082 kBT
2anrB_M245.pdb     -323.804347 kBT
2anrB_M442.pdb     -257.339146 kBT
2anrB_M126.pdb     -318.818949 kBT
2anrB_M169.pdb     -400.362312 kBT
2anrB_M119.pdb     -401.044419 kBT
2anrB_M456.pdb     -311.353264 kBT
2anrB_M181.pdb     -334.373233 kBT
2anrB_M88.pdb     -379.864109 kBT
2anrB_M404.pdb     -301.721115 kBT
2anrB_M7.pdb     -462.377414 kBT
2anrB_M467.pdb     -303.866785 kBT
2anrB_M273.pdb     -333.873501 kBT
2anrB_M195.pdb     -350.247879 kBT
2anrB_M391.pdb     -328.072997 kBT
2anrB_M46.pdb     -385.626307 kBT
2anrB_M30.pdb     -446.799691 kBT
2anrB_M427.pdb     -362.749943 kBT
2anrB_M215.pdb     -346.834775 kBT
2anrB_M320.pdb     -410.654941 kBT
2anrB_M213.pdb     -379.175956 kBT
2anrB_M236.pdb     -353.536753 kBT
2anrB_M168.pdb     -377.112131 kBT
2anrB_M34.pdb     -449.007202 kBT
2anrB_M143.pdb     -420.077905 kBT
2anrB_M407.pdb     -353.013239 kBT
2anrB_M80.pdb     -411.424010 kBT
2anrB_M351.pdb     -319.138733 kBT
2anrB_M48.pdb     -405.489324 kBT
2anrB_M95.pdb     -365.951954 kBT
2anrB_M191.pdb     -358.761891 kBT
2anrB_M280.pdb     -376.919800 kBT
2anrB_M421.pdb     -260.217980 kBT
2anrB_M290.pdb     -316.173114 kBT
2anrB_M153.pdb     -382.076683 kBT
2anrB_M291.pdb     -370.793077 kBT
2anrB_M247.pdb     -323.873838 kBT
2anrB_M303.pdb     -272.524403 kBT
2anrB_M193.pdb     -349.730247 kBT
2anrB_M447.pdb     -364.151196 kBT
2anrB_M109.pdb     -301.077513 kBT
2anrB_M364.pdb     -313.436994 kBT
2anrB_M205.pdb     -276.893130 kBT
2anrB_M134.pdb     -358.062953 kBT
2anrB_M400.pdb     -309.834020 kBT
2anrB_M264.pdb     -377.008708 kBT
2anrB_M118.pdb     -401.452577 kBT
2anrB_M103.pdb     -394.766759 kBT
2anrB_M465.pdb     -279.205339 kBT
2anrB_M237.pdb     -358.586646 kBT
2anrB_M377.pdb     -378.100437 kBT
2anrB_M332.pdb     -320.257546 kBT
2anrB_M240.pdb     -349.297502 kBT
2anrB_M398.pdb     -304.155857 kBT
2anrB_M378.pdb     -317.534692 kBT
2anrB_M69.pdb     -373.367105 kBT
2anrB_M154.pdb     -338.490482 kBT
2anrB_M437.pdb     -308.384130 kBT
2anrB_M176.pdb     -346.052576 kBT
2anrB_M399.pdb     -248.616230 kBT
2anrB_M443.pdb     -308.225477 kBT
2anrB_M352.pdb     -296.524728 kBT
2anrB_M130.pdb     -323.275141 kBT
2anrB_M210.pdb     -314.179814 kBT
2anrB_M375.pdb     -258.226684 kBT
2anrB_M490.pdb     -361.498771 kBT
2anrB_M315.pdb     -353.411306 kBT
2anrB_M40.pdb     -424.327185 kBT
2anrB_M50.pdb     -341.425467 kBT
2anrB_M457.pdb     -304.370783 kBT
2anrB_M86.pdb     -372.426474 kBT
2anrB_M472.pdb     -221.594256 kBT
2anrB_M89.pdb     -402.437088 kBT
2anrB_M243.pdb     -234.601400 kBT
2anrB_M147.pdb     -361.613984 kBT
2anrB_M87.pdb     -351.889860 kBT
2anrB_M135.pdb     -337.794715 kBT
2anrB_M242.pdb     -321.208767 kBT
2anrB_M389.pdb     -311.146916 kBT
2anrB_M38.pdb     -425.058872 kBT
2anrB_M385.pdb     -260.838366 kBT
2anrB_M336.pdb     -338.415629 kBT
2anrB_M381.pdb     -359.068886 kBT
2anrB_M428.pdb     -334.245161 kBT
2anrB_M43.pdb     -384.567674 kBT
2anrB_M416.pdb     -283.683616 kBT
2anrB_M325.pdb     -375.452339 kBT
2anrB_M331.pdb     -337.438436 kBT
2anrB_M284.pdb     -324.988117 kBT
2anrB_M285.pdb     -439.341581 kBT
2anrB_M57.pdb     -394.987173 kBT
2anrB_M390.pdb     -315.176465 kBT
2anrB_M292.pdb     -352.687557 kBT
2anrB_M31.pdb     -452.614574 kBT
2anrB_M319.pdb     -349.756757 kBT
2anrB_M259.pdb     -378.515840 kBT
2anrB_M413.pdb     -235.433308 kBT
2anrB_M156.pdb     -356.406214 kBT
2anrB_M149.pdb     -386.830911 kBT
2anrB_M107.pdb     -364.547119 kBT
2anrB_M468.pdb     -316.769787 kBT
2anrB_M63.pdb     -397.197921 kBT
2anrB_M270.pdb     -366.451870 kBT
2anrB_M461.pdb     -323.365654 kBT
2anrB_M160.pdb     -370.024820 kBT
2anrB_M454.pdb     -315.295298 kBT
2anrB_M33.pdb     -406.102671 kBT
2anrB_M252.pdb     -389.998362 kBT
2anrB_M365.pdb     -275.466109 kBT
2anrB_M463.pdb     -254.354431 kBT
2anrB_M227.pdb     -272.808117 kBT
2anrB_M148.pdb     -385.199367 kBT
2anrB_M417.pdb     -411.264506 kBT
2anrB_M61.pdb     -356.070329 kBT
2anrB_M166.pdb     -379.341463 kBT
2anrB_M424.pdb     -345.644043 kBT
2anrB_M339.pdb     -344.386724 kBT
2anrB_M448.pdb     -299.839233 kBT
2anrB_M499.pdb     -269.268561 kBT
2anrB_M10.pdb     -435.121557 kBT
2anrB_M159.pdb     -313.284699 kBT
2anrB_M11.pdb     -446.216066 kBT
2anrB_M41.pdb     -377.552917 kBT
2anrB_M186.pdb     -383.013146 kBT
2anrB_M471.pdb     -349.076090 kBT
2anrB_M487.pdb     -278.695877 kBT
2anrB_M53.pdb     -363.368128 kBT
2anrB_M222.pdb     -349.372291 kBT
2anrB_M175.pdb     -357.781658 kBT
2anrB_M256.pdb     -324.467577 kBT
2anrB_M481.pdb     -367.858626 kBT
2anrB_M371.pdb     -261.753267 kBT
2anrB_M488.pdb     -261.767916 kBT
2anrB_M104.pdb     -331.812028 kBT
2anrB_M105.pdb     -345.437388 kBT
2anrB_M194.pdb     -363.937748 kBT
2anrB_M52.pdb     -417.591319 kBT
2anrB_M138.pdb     -381.683874 kBT
2anrB_M254.pdb     -383.799536 kBT
2anrB_M474.pdb     -242.073370 kBT
2anrB_M384.pdb     -319.359682 kBT
2anrB_M476.pdb     -333.521147 kBT
2anrB_M367.pdb     -275.541850 kBT
2anrB_M281.pdb     -340.311470 kBT
2anrB_M489.pdb     -271.684764 kBT
2anrB_M333.pdb     -307.800549 kBT
2anrB_M8.pdb     -453.695392 kBT
2anrB_M196.pdb     -354.118181 kBT
2anrB_M356.pdb     -340.050829 kBT
2anrB_M439.pdb     -276.376117 kBT
2anrB_M114.pdb     -350.260040 kBT
2anrB_M221.pdb     -310.773776 kBT
2anrB_M201.pdb     -384.182224 kBT
2anrB_M380.pdb     -261.287186 kBT
2anrB_M110.pdb     -364.446842 kBT
2anrB_M37.pdb     -423.545841 kBT
