2pjpB_M115.pdb     -469.122887 kBT
2pjpB_M318.pdb     -343.500177 kBT
2pjpB_M465.pdb     -296.012059 kBT
2pjpB_M132.pdb     -444.743297 kBT
2pjpB_M269.pdb     -325.610362 kBT
2pjpB_M287.pdb     -324.676782 kBT
2pjpB_M459.pdb     -330.680665 kBT
2pjpB_M81.pdb     -482.122334 kBT
2pjpB_M153.pdb     -367.213236 kBT
2pjpB_M58.pdb     -496.526400 kBT
2pjpB_M342.pdb     -331.782163 kBT
2pjpB_M237.pdb     -388.304350 kBT
2pjpB_M19.pdb     -575.228963 kBT
2pjpB_M2.pdb     -538.878661 kBT
2pjpB_M394.pdb     -321.778936 kBT
2pjpB_M229.pdb     -427.221106 kBT
2pjpB_M90.pdb     -477.251740 kBT
2pjpB_M41.pdb     -542.765089 kBT
2pjpB_M47.pdb     -541.072822 kBT
2pjpB_M120.pdb     -369.724160 kBT
2pjpB_M424.pdb     -362.873200 kBT
2pjpB_M194.pdb     -354.090575 kBT
2pjpB_M226.pdb     -400.820580 kBT
2pjpB_M416.pdb     -427.281059 kBT
2pjpB_M128.pdb     -469.166095 kBT
2pjpB_M37.pdb     -500.073689 kBT
2pjpB_M324.pdb     -383.342782 kBT
2pjpB_M124.pdb     -444.069214 kBT
2pjpB_M266.pdb     -398.107735 kBT
2pjpB_M400.pdb     -242.615380 kBT
2pjpB_M306.pdb     -293.433759 kBT
2pjpB_M204.pdb     -401.040847 kBT
2pjpB_M322.pdb     -343.564176 kBT
2pjpB_M326.pdb     -306.670579 kBT
2pjpB_M275.pdb     -438.764373 kBT
2pjpB_M419.pdb     -379.508909 kBT
2pjpB_M166.pdb     -460.620601 kBT
2pjpB_M264.pdb     -348.778383 kBT
2pjpB_M169.pdb     -356.755020 kBT
2pjpB_M390.pdb     -310.198869 kBT
2pjpB_M30.pdb     -515.848337 kBT
2pjpB_M26.pdb     -544.435236 kBT
2pjpB_M483.pdb     -267.916962 kBT
2pjpB_M344.pdb     -408.848229 kBT
2pjpB_M35.pdb     -513.687445 kBT
2pjpB_M49.pdb     -452.220003 kBT
2pjpB_M192.pdb     -398.392803 kBT
2pjpB_M421.pdb     -333.672393 kBT
2pjpB_M263.pdb     -366.803887 kBT
2pjpB_M415.pdb     -279.228169 kBT
2pjpB_M393.pdb     -345.504562 kBT
2pjpB_M76.pdb     -514.176428 kBT
2pjpB_M168.pdb     -400.264161 kBT
2pjpB_M131.pdb     -422.584166 kBT
2pjpB_M406.pdb     -390.960790 kBT
2pjpB_M145.pdb     -501.795810 kBT
2pjpB_M399.pdb     -397.164744 kBT
2pjpB_M104.pdb     -444.173646 kBT
2pjpB_M296.pdb     -340.769843 kBT
2pjpB_M209.pdb     -407.301113 kBT
2pjpB_M201.pdb     -379.427108 kBT
2pjpB_M193.pdb     -323.522892 kBT
2pjpB_M57.pdb     -545.869217 kBT
2pjpB_M491.pdb     -313.986655 kBT
2pjpB_M44.pdb     -466.476546 kBT
2pjpB_M29.pdb     -501.471179 kBT
2pjpB_M480.pdb     -335.929720 kBT
2pjpB_M378.pdb     -404.298185 kBT
2pjpB_M411.pdb     -339.193603 kBT
2pjpB_M53.pdb     -483.109871 kBT
2pjpB_M425.pdb     -352.777716 kBT
2pjpB_M450.pdb     -320.745003 kBT
2pjpB_M164.pdb     -295.818195 kBT
2pjpB_M248.pdb     -412.332090 kBT
2pjpB_M458.pdb     -310.886983 kBT
2pjpB_M407.pdb     -361.462982 kBT
2pjpB_M447.pdb     -316.310493 kBT
2pjpB_M79.pdb     -494.280375 kBT
2pjpB_M62.pdb     -503.891887 kBT
2pjpB_M50.pdb     -554.436079 kBT
2pjpB_M171.pdb     -416.231299 kBT
2pjpB_M150.pdb     -384.665906 kBT
2pjpB_M498.pdb     -391.875472 kBT
2pjpB_M156.pdb     -380.929558 kBT
2pjpB_M93.pdb     -475.672094 kBT
2pjpB_M92.pdb     -421.389347 kBT
2pjpB_M211.pdb     -435.297253 kBT
2pjpB_M78.pdb     -447.496749 kBT
2pjpB_M386.pdb     -313.722201 kBT
2pjpB_M195.pdb     -410.640269 kBT
2pjpB_M257.pdb     -357.124237 kBT
2pjpB_M435.pdb     -364.251485 kBT
2pjpB_M114.pdb     -424.163876 kBT
2pjpB_M300.pdb     -402.514774 kBT
2pjpB_M494.pdb     -265.564599 kBT
2pjpB_M72.pdb     -512.398611 kBT
2pjpB_M91.pdb     -472.107670 kBT
2pjpB_M333.pdb     -272.069595 kBT
2pjpB_M119.pdb     -366.239326 kBT
2pjpB_M391.pdb     -393.472802 kBT
2pjpB_M101.pdb     -450.596784 kBT
2pjpB_M291.pdb     -388.089125 kBT
2pjpB_M299.pdb     -339.093621 kBT
2pjpB_M330.pdb     -370.265492 kBT
2pjpB_M327.pdb     -404.969265 kBT
2pjpB_M33.pdb     -532.368673 kBT
2pjpB_M54.pdb     -451.265482 kBT
2pjpB_M373.pdb     -324.755906 kBT
2pjpB_M297.pdb     -363.909909 kBT
2pjpB_M129.pdb     -501.186216 kBT
2pjpB_M292.pdb     -347.559607 kBT
2pjpB_M281.pdb     -317.923478 kBT
2pjpB_M249.pdb     -444.942451 kBT
2pjpB_M27.pdb     -554.166544 kBT
2pjpB_M116.pdb     -445.129651 kBT
2pjpB_M247.pdb     -351.290876 kBT
2pjpB_M301.pdb     -378.755290 kBT
2pjpB_M413.pdb     -323.465936 kBT
2pjpB_M261.pdb     -350.246677 kBT
2pjpB_M437.pdb     -389.296449 kBT
2pjpB_M24.pdb     -555.848477 kBT
2pjpB_M233.pdb     -427.727482 kBT
2pjpB_M365.pdb     -333.892149 kBT
2pjpB_M64.pdb     -565.863307 kBT
2pjpB_M59.pdb     -502.628083 kBT
2pjpB_M15.pdb     -575.126633 kBT
2pjpB_M20.pdb     -543.137178 kBT
2pjpB_M270.pdb     -364.468519 kBT
2pjpB_M456.pdb     -364.116238 kBT
2pjpB_M359.pdb     -379.601083 kBT
2pjpB_M159.pdb     -451.550190 kBT
2pjpB_M223.pdb     -355.776683 kBT
2pjpB_M177.pdb     -377.909618 kBT
2pjpB_M454.pdb     -341.659038 kBT
2pjpB_M51.pdb     -483.282164 kBT
2pjpB_M88.pdb     -464.111683 kBT
2pjpB_M87.pdb     -504.497050 kBT
2pjpB_M420.pdb     -384.474482 kBT
2pjpB_M142.pdb     -432.483844 kBT
2pjpB_M63.pdb     -451.138788 kBT
2pjpB_M500.pdb     -409.708944 kBT
2pjpB_M440.pdb     -290.360972 kBT
2pjpB_M369.pdb     -398.204582 kBT
2pjpB_M3.pdb     -542.954019 kBT
2pjpB_M4.pdb     -563.858809 kBT
2pjpB_M38.pdb     -532.170436 kBT
2pjpB_M284.pdb     -385.798996 kBT
2pjpB_M253.pdb     -395.770265 kBT
2pjpB_M457.pdb     -364.977239 kBT
2pjpB_M149.pdb     -419.853054 kBT
2pjpB_M453.pdb     -391.276324 kBT
2pjpB_M110.pdb     -435.399769 kBT
2pjpB_M126.pdb     -432.093378 kBT
2pjpB_M339.pdb     -305.881883 kBT
2pjpB_M414.pdb     -410.500730 kBT
2pjpB_M185.pdb     -444.079633 kBT
2pjpB_M231.pdb     -330.598023 kBT
2pjpB_M186.pdb     -462.582019 kBT
2pjpB_M181.pdb     -396.276068 kBT
2pjpB_M311.pdb     -375.077142 kBT
2pjpB_M355.pdb     -336.286244 kBT
2pjpB_M308.pdb     -343.692702 kBT
2pjpB_M302.pdb     -417.931296 kBT
2pjpB_M282.pdb     -327.502302 kBT
2pjpB_M234.pdb     -404.181852 kBT
2pjpB_M278.pdb     -372.174043 kBT
2pjpB_M77.pdb     -499.067675 kBT
2pjpB_M409.pdb     -347.131592 kBT
2pjpB_M319.pdb     -363.265174 kBT
2pjpB_M486.pdb     -351.634789 kBT
2pjpB_M109.pdb     -463.447455 kBT
2pjpB_M25.pdb     -530.848313 kBT
2pjpB_M477.pdb     -279.697740 kBT
2pjpB_M402.pdb     -306.518859 kBT
2pjpB_M484.pdb     -364.656268 kBT
2pjpB_M343.pdb     -355.499787 kBT
2pjpB_M85.pdb     -463.832554 kBT
2pjpB_M367.pdb     -341.583441 kBT
2pjpB_M262.pdb     -354.910181 kBT
2pjpB_M220.pdb     -360.929841 kBT
2pjpB_M165.pdb     -380.503328 kBT
2pjpB_M468.pdb     -402.760996 kBT
2pjpB_M222.pdb     -382.356727 kBT
2pjpB_M353.pdb     -386.486732 kBT
2pjpB_M56.pdb     -494.968824 kBT
2pjpB_M202.pdb     -438.375880 kBT
2pjpB_M497.pdb     -375.510397 kBT
2pjpB_M112.pdb     -395.492825 kBT
2pjpB_M252.pdb     -317.326096 kBT
2pjpB_M80.pdb     -472.257128 kBT
2pjpB_M434.pdb     -313.487562 kBT
2pjpB_M340.pdb     -325.602374 kBT
2pjpB_M493.pdb     -389.139837 kBT
2pjpB_M384.pdb     -296.351771 kBT
2pjpB_M176.pdb     -356.156352 kBT
2pjpB_M410.pdb     -300.438881 kBT
2pjpB_M374.pdb     -334.854813 kBT
2pjpB_M431.pdb     -372.021594 kBT
2pjpB_M94.pdb     -479.507007 kBT
2pjpB_M443.pdb     -323.167322 kBT
2pjpB_M383.pdb     -382.580320 kBT
2pjpB_M310.pdb     -379.014097 kBT
2pjpB_M427.pdb     -375.541659 kBT
2pjpB_M172.pdb     -454.893772 kBT
2pjpB_M260.pdb     -425.483303 kBT
2pjpB_M352.pdb     -368.807183 kBT
2pjpB_M368.pdb     -356.224501 kBT
2pjpB_M60.pdb     -456.067957 kBT
2pjpB_M69.pdb     -432.033106 kBT
2pjpB_M381.pdb     -309.378976 kBT
2pjpB_M408.pdb     -340.274371 kBT
2pjpB_M478.pdb     -371.925234 kBT
2pjpB_M366.pdb     -369.828197 kBT
2pjpB_M298.pdb     -346.291923 kBT
2pjpB_M163.pdb     -374.951517 kBT
2pjpB_M103.pdb     -447.883136 kBT
2pjpB_M143.pdb     -448.185709 kBT
2pjpB_M187.pdb     -328.437202 kBT
2pjpB_M190.pdb     -425.609804 kBT
2pjpB_M490.pdb     -329.768154 kBT
2pjpB_M216.pdb     -393.496834 kBT
2pjpB_M10.pdb     -566.978289 kBT
2pjpB_M117.pdb     -398.986807 kBT
2pjpB_M136.pdb     -434.760056 kBT
2pjpB_M238.pdb     -419.388501 kBT
2pjpB_M436.pdb     -330.243987 kBT
2pjpB_M83.pdb     -398.495940 kBT
2pjpB_M405.pdb     -308.890035 kBT
2pjpB_M144.pdb     -435.314463 kBT
2pjpB_M320.pdb     -408.524514 kBT
2pjpB_M158.pdb     -387.213835 kBT
2pjpB_M379.pdb     -362.921045 kBT
2pjpB_M331.pdb     -317.820844 kBT
2pjpB_M245.pdb     -387.316535 kBT
2pjpB_M183.pdb     -440.898751 kBT
2pjpB_M160.pdb     -323.114548 kBT
2pjpB_M372.pdb     -370.602125 kBT
2pjpB_M242.pdb     -426.200065 kBT
2pjpB_M485.pdb     -311.842573 kBT
2pjpB_M151.pdb     -377.611651 kBT
2pjpB_M244.pdb     -339.776721 kBT
2pjpB_M470.pdb     -344.916564 kBT
2pjpB_M346.pdb     -300.192960 kBT
2pjpB_M404.pdb     -271.373111 kBT
2pjpB_M455.pdb     -293.212678 kBT
2pjpB_M107.pdb     -389.861819 kBT
2pjpB_M34.pdb     -458.218568 kBT
2pjpB_M488.pdb     -316.687502 kBT
2pjpB_M356.pdb     -346.846606 kBT
2pjpB_M295.pdb     -371.464046 kBT
2pjpB_M429.pdb     -353.801437 kBT
2pjpB_M349.pdb     -284.966027 kBT
2pjpB_M84.pdb     -436.084921 kBT
2pjpB_M46.pdb     -469.681780 kBT
2pjpB_M5.pdb     -547.732384 kBT
2pjpB_M496.pdb     -255.542892 kBT
2pjpB_M304.pdb     -372.228646 kBT
2pjpB_M11.pdb     -536.496772 kBT
2pjpB_M66.pdb     -434.834046 kBT
2pjpB_M389.pdb     -316.405288 kBT
2pjpB_M89.pdb     -485.475003 kBT
2pjpB_M175.pdb     -384.414020 kBT
2pjpB_M288.pdb     -316.308899 kBT
2pjpB_M121.pdb     -396.218308 kBT
2pjpB_M67.pdb     -504.229363 kBT
2pjpB_M466.pdb     -377.195876 kBT
2pjpB_M221.pdb     -403.166531 kBT
2pjpB_M403.pdb     -363.224510 kBT
2pjpB_M360.pdb     -390.317082 kBT
2pjpB_M350.pdb     -312.600837 kBT
2pjpB.pdb     -549.251273 kBT
2pjpB_M31.pdb     -575.825542 kBT
2pjpB_M218.pdb     -396.554113 kBT
2pjpB_M138.pdb     -405.297992 kBT
2pjpB_M279.pdb     -331.485982 kBT
2pjpB_M6.pdb     -555.531495 kBT
2pjpB_M123.pdb     -400.500244 kBT
2pjpB_M74.pdb     -388.649804 kBT
2pjpB_M147.pdb     -376.181712 kBT
2pjpB_M227.pdb     -460.358427 kBT
2pjpB_M277.pdb     -360.732492 kBT
2pjpB_M134.pdb     -438.466481 kBT
2pjpB_M232.pdb     -410.110402 kBT
2pjpB_M274.pdb     -391.507146 kBT
2pjpB_M338.pdb     -349.891578 kBT
2pjpB_M401.pdb     -257.922268 kBT
2pjpB_M307.pdb     -353.415898 kBT
2pjpB_M321.pdb     -389.548268 kBT
2pjpB_M273.pdb     -297.729475 kBT
2pjpB_M267.pdb     -291.390781 kBT
2pjpB_M334.pdb     -331.088005 kBT
2pjpB_M283.pdb     -350.670304 kBT
2pjpB_M173.pdb     -395.765866 kBT
2pjpB_M106.pdb     -487.333436 kBT
2pjpB_M21.pdb     -511.232193 kBT
2pjpB_M417.pdb     -328.217344 kBT
2pjpB_M215.pdb     -315.607386 kBT
2pjpB_M45.pdb     -479.283346 kBT
2pjpB_M39.pdb     -502.811596 kBT
2pjpB_M285.pdb     -380.965035 kBT
2pjpB_M439.pdb     -310.631856 kBT
2pjpB_M423.pdb     -334.175029 kBT
2pjpB_M492.pdb     -296.821690 kBT
2pjpB_M370.pdb     -352.427798 kBT
2pjpB_M396.pdb     -376.934930 kBT
2pjpB_M36.pdb     -483.296043 kBT
2pjpB_M395.pdb     -404.868030 kBT
2pjpB_M208.pdb     -392.967761 kBT
2pjpB_M174.pdb     -392.597473 kBT
2pjpB_M363.pdb     -397.371164 kBT
2pjpB_M197.pdb     -337.161733 kBT
2pjpB_M102.pdb     -372.351645 kBT
2pjpB_M268.pdb     -345.975271 kBT
2pjpB_M309.pdb     -321.476589 kBT
2pjpB_M276.pdb     -297.559013 kBT
2pjpB_M469.pdb     -327.240009 kBT
2pjpB_M474.pdb     -302.264875 kBT
2pjpB_M387.pdb     -324.106609 kBT
2pjpB_M303.pdb     -370.797772 kBT
2pjpB_M332.pdb     -343.146602 kBT
2pjpB_M305.pdb     -335.575811 kBT
2pjpB_M380.pdb     -270.713472 kBT
2pjpB_M146.pdb     -357.415881 kBT
2pjpB_M314.pdb     -338.297811 kBT
2pjpB_M362.pdb     -341.256215 kBT
2pjpB_M228.pdb     -400.597002 kBT
2pjpB_M239.pdb     -349.857789 kBT
2pjpB_M65.pdb     -473.585257 kBT
2pjpB_M265.pdb     -346.622706 kBT
2pjpB_M13.pdb     -576.589446 kBT
2pjpB_M125.pdb     -461.159816 kBT
2pjpB_M438.pdb     -382.883962 kBT
2pjpB_M219.pdb     -409.338841 kBT
2pjpB_M250.pdb     -365.972868 kBT
2pjpB_M14.pdb     -591.361526 kBT
2pjpB_M461.pdb     -311.091152 kBT
2pjpB_M48.pdb     -553.156213 kBT
2pjpB_M463.pdb     -312.818168 kBT
2pjpB_M329.pdb     -342.087907 kBT
2pjpB_M472.pdb     -304.978126 kBT
2pjpB_M210.pdb     -429.336125 kBT
2pjpB_M428.pdb     -350.698750 kBT
2pjpB_M328.pdb     -375.135759 kBT
2pjpB_M341.pdb     -327.613544 kBT
2pjpB_M445.pdb     -330.444390 kBT
2pjpB_M22.pdb     -523.682392 kBT
2pjpB_M452.pdb     -341.573048 kBT
2pjpB_M196.pdb     -439.460840 kBT
2pjpB_M495.pdb     -373.591920 kBT
2pjpB_M364.pdb     -368.317064 kBT
2pjpB_M225.pdb     -469.786652 kBT
2pjpB_M75.pdb     -515.351612 kBT
2pjpB_M312.pdb     -283.861319 kBT
2pjpB_M358.pdb     -329.222971 kBT
2pjpB_M361.pdb     -353.880454 kBT
2pjpB_M442.pdb     -324.383886 kBT
2pjpB_M385.pdb     -311.466945 kBT
2pjpB_M141.pdb     -414.766108 kBT
2pjpB_M471.pdb     -361.953165 kBT
2pjpB_M430.pdb     -348.737355 kBT
2pjpB_M426.pdb     -348.060222 kBT
2pjpB_M96.pdb     -491.287249 kBT
2pjpB_M336.pdb     -332.224288 kBT
2pjpB_M105.pdb     -369.797907 kBT
2pjpB_M254.pdb     -386.875776 kBT
2pjpB_M348.pdb     -257.792276 kBT
2pjpB_M7.pdb     -559.468453 kBT
2pjpB_M8.pdb     -563.867020 kBT
2pjpB_M213.pdb     -344.263770 kBT
2pjpB_M191.pdb     -395.339554 kBT
2pjpB_M203.pdb     -375.958751 kBT
2pjpB_M499.pdb     -241.584646 kBT
2pjpB_M475.pdb     -358.085987 kBT
2pjpB_M337.pdb     -407.724291 kBT
2pjpB_M271.pdb     -397.083396 kBT
2pjpB_M111.pdb     -444.273930 kBT
2pjpB_M392.pdb     -338.847488 kBT
2pjpB_M135.pdb     -406.216864 kBT
2pjpB_M214.pdb     -403.574967 kBT
2pjpB_M95.pdb     -434.525032 kBT
2pjpB_M377.pdb     -331.859333 kBT
2pjpB_M236.pdb     -326.072413 kBT
2pjpB_M133.pdb     -401.146165 kBT
2pjpB_M240.pdb     -377.321142 kBT
2pjpB_M55.pdb     -484.012379 kBT
2pjpB_M433.pdb     -375.371856 kBT
2pjpB_M162.pdb     -357.863396 kBT
2pjpB_M325.pdb     -267.513431 kBT
2pjpB_M184.pdb     -369.906714 kBT
2pjpB_M206.pdb     -320.545344 kBT
2pjpB_M354.pdb     -338.424207 kBT
2pjpB_M256.pdb     -386.364996 kBT
2pjpB_M179.pdb     -396.647002 kBT
2pjpB_M382.pdb     -349.998390 kBT
2pjpB_M61.pdb     -464.598713 kBT
2pjpB_M198.pdb     -417.555629 kBT
2pjpB_M12.pdb     -580.021619 kBT
2pjpB_M460.pdb     -391.345121 kBT
2pjpB_M70.pdb     -517.019184 kBT
2pjpB_M199.pdb     -328.287803 kBT
2pjpB_M97.pdb     -478.543157 kBT
2pjpB_M476.pdb     -360.692867 kBT
2pjpB_M99.pdb     -422.281844 kBT
2pjpB_M323.pdb     -362.828065 kBT
2pjpB_M118.pdb     -384.831058 kBT
2pjpB_M155.pdb     -400.936737 kBT
2pjpB_M23.pdb     -488.240918 kBT
2pjpB_M258.pdb     -309.731440 kBT
2pjpB_M345.pdb     -369.129272 kBT
2pjpB_M98.pdb     -452.325357 kBT
2pjpB_M73.pdb     -541.272255 kBT
2pjpB_M418.pdb     -348.104623 kBT
2pjpB_M122.pdb     -460.535995 kBT
2pjpB_M108.pdb     -452.288457 kBT
2pjpB_M451.pdb     -338.435407 kBT
2pjpB_M224.pdb     -340.853084 kBT
2pjpB_M178.pdb     -413.744763 kBT
2pjpB_M152.pdb     -355.311956 kBT
2pjpB_M32.pdb     -549.778860 kBT
2pjpB_M100.pdb     -474.079183 kBT
2pjpB_M139.pdb     -443.840030 kBT
2pjpB_M479.pdb     -300.917273 kBT
2pjpB_M205.pdb     -402.712135 kBT
2pjpB_M189.pdb     -411.406426 kBT
2pjpB_M157.pdb     -359.037749 kBT
2pjpB_M28.pdb     -507.446162 kBT
2pjpB_M467.pdb     -308.218815 kBT
2pjpB_M188.pdb     -472.503883 kBT
2pjpB_M161.pdb     -427.240031 kBT
2pjpB_M82.pdb     -477.551275 kBT
2pjpB_M43.pdb     -489.475898 kBT
2pjpB_M18.pdb     -527.567412 kBT
2pjpB_M182.pdb     -386.258319 kBT
2pjpB_M246.pdb     -370.560003 kBT
2pjpB_M376.pdb     -385.667916 kBT
2pjpB_M148.pdb     -393.831907 kBT
2pjpB_M481.pdb     -364.006404 kBT
2pjpB_M17.pdb     -512.981794 kBT
2pjpB_M167.pdb     -389.600868 kBT
2pjpB_M398.pdb     -409.098615 kBT
2pjpB_M335.pdb     -315.250004 kBT
2pjpB_M313.pdb     -407.108909 kBT
2pjpB_M316.pdb     -310.956875 kBT
2pjpB_M487.pdb     -296.104939 kBT
2pjpB_M86.pdb     -410.195737 kBT
2pjpB_M9.pdb     -560.713092 kBT
2pjpB_M357.pdb     -330.558951 kBT
2pjpB_M464.pdb     -289.876664 kBT
2pjpB_M289.pdb     -329.949133 kBT
2pjpB_M16.pdb     -539.821349 kBT
2pjpB_M448.pdb     -406.939243 kBT
2pjpB_M207.pdb     -358.630383 kBT
2pjpB_M113.pdb     -430.977377 kBT
2pjpB_M180.pdb     -381.165785 kBT
2pjpB_M42.pdb     -456.016622 kBT
2pjpB_M243.pdb     -389.231066 kBT
2pjpB_M473.pdb     -400.807518 kBT
2pjpB_M441.pdb     -354.132140 kBT
