3cpw9_M200.pdb     -1174.272231 kBT
3cpw9_M452.pdb     -1121.748487 kBT
3cpw9_M483.pdb     -1215.700430 kBT
3cpw9_M80.pdb     -1404.698717 kBT
3cpw9_M7.pdb     -1610.370282 kBT
3cpw9_M5.pdb     -1592.731034 kBT
3cpw9_M131.pdb     -1319.728563 kBT
3cpw9_M493.pdb     -1044.854295 kBT
3cpw9_M276.pdb     -1150.144823 kBT
3cpw9_M329.pdb     -1121.759894 kBT
3cpw9_M460.pdb     -1042.140907 kBT
3cpw9_M29.pdb     -1485.884364 kBT
3cpw9_M358.pdb     -1122.161497 kBT
3cpw9_M395.pdb     -1063.038704 kBT
3cpw9_M155.pdb     -1329.780408 kBT
3cpw9_M357.pdb     -1210.230805 kBT
3cpw9_M477.pdb     -1088.036080 kBT
3cpw9_M260.pdb     -1222.489776 kBT
3cpw9_M11.pdb     -1539.717497 kBT
3cpw9_M111.pdb     -1411.018377 kBT
3cpw9_M218.pdb     -1245.391780 kBT
3cpw9_M246.pdb     -1234.578986 kBT
3cpw9_M225.pdb     -1174.349077 kBT
3cpw9_M196.pdb     -1233.348884 kBT
3cpw9_M345.pdb     -1153.981517 kBT
3cpw9_M375.pdb     -1135.111148 kBT
3cpw9_M122.pdb     -1273.324586 kBT
3cpw9_M297.pdb     -1185.724856 kBT
3cpw9_M73.pdb     -1493.308019 kBT
3cpw9_M459.pdb     -1142.097050 kBT
3cpw9_M97.pdb     -1358.688231 kBT
3cpw9_M382.pdb     -1077.196224 kBT
3cpw9_M418.pdb     -1180.854404 kBT
3cpw9_M490.pdb     -1098.873716 kBT
3cpw9_M439.pdb     -1071.114778 kBT
3cpw9_M489.pdb     -1091.145951 kBT
3cpw9_M209.pdb     -1165.178644 kBT
3cpw9_M449.pdb     -1089.896663 kBT
3cpw9_M344.pdb     -1256.935498 kBT
3cpw9_M10.pdb     -1634.465431 kBT
3cpw9_M328.pdb     -1188.421586 kBT
3cpw9_M205.pdb     -1218.838900 kBT
3cpw9_M254.pdb     -1129.095094 kBT
3cpw9_M230.pdb     -1200.563150 kBT
3cpw9_M87.pdb     -1291.176958 kBT
3cpw9_M98.pdb     -1354.019091 kBT
3cpw9_M359.pdb     -1169.285547 kBT
3cpw9_M83.pdb     -1401.756429 kBT
3cpw9_M96.pdb     -1243.596455 kBT
3cpw9_M432.pdb     -1091.181333 kBT
3cpw9_M57.pdb     -1473.907807 kBT
3cpw9_M416.pdb     -1069.448241 kBT
3cpw9_M14.pdb     -1600.015087 kBT
3cpw9_M39.pdb     -1555.421948 kBT
3cpw9_M267.pdb     -1210.805227 kBT
3cpw9_M399.pdb     -1130.200249 kBT
3cpw9_M194.pdb     -1175.209422 kBT
3cpw9_M414.pdb     -1206.918313 kBT
3cpw9_M202.pdb     -1307.675581 kBT
3cpw9_M113.pdb     -1381.974633 kBT
3cpw9.pdb     -1587.960456 kBT
3cpw9_M124.pdb     -1206.793573 kBT
3cpw9_M195.pdb     -1247.197719 kBT
3cpw9_M369.pdb     -1091.060734 kBT
3cpw9_M216.pdb     -1115.614950 kBT
3cpw9_M332.pdb     -1163.223399 kBT
3cpw9_M273.pdb     -1100.923096 kBT
3cpw9_M307.pdb     -1098.225116 kBT
3cpw9_M326.pdb     -1188.040825 kBT
3cpw9_M436.pdb     -1212.619006 kBT
3cpw9_M236.pdb     -1159.388305 kBT
3cpw9_M361.pdb     -982.092458 kBT
3cpw9_M496.pdb     -1089.959250 kBT
3cpw9_M302.pdb     -1152.200209 kBT
3cpw9_M21.pdb     -1528.490501 kBT
3cpw9_M119.pdb     -1291.700750 kBT
3cpw9_M159.pdb     -1238.765648 kBT
3cpw9_M391.pdb     -1057.857160 kBT
3cpw9_M347.pdb     -1157.155180 kBT
3cpw9_M424.pdb     -1187.620604 kBT
3cpw9_M367.pdb     -1053.532331 kBT
3cpw9_M121.pdb     -1262.259488 kBT
3cpw9_M35.pdb     -1471.727738 kBT
3cpw9_M151.pdb     -1266.824314 kBT
3cpw9_M319.pdb     -1244.882162 kBT
3cpw9_M463.pdb     -1096.064989 kBT
3cpw9_M275.pdb     -1214.684741 kBT
3cpw9_M310.pdb     -1141.568926 kBT
3cpw9_M226.pdb     -1286.861629 kBT
3cpw9_M27.pdb     -1596.566651 kBT
3cpw9_M348.pdb     -1096.148014 kBT
3cpw9_M422.pdb     -1111.984608 kBT
3cpw9_M94.pdb     -1394.260468 kBT
3cpw9_M462.pdb     -1096.471305 kBT
3cpw9_M23.pdb     -1508.562345 kBT
3cpw9_M85.pdb     -1407.971851 kBT
3cpw9_M408.pdb     -1030.713580 kBT
3cpw9_M229.pdb     -1215.023731 kBT
3cpw9_M12.pdb     -1620.749476 kBT
3cpw9_M208.pdb     -1194.618498 kBT
3cpw9_M350.pdb     -1169.164313 kBT
3cpw9_M253.pdb     -1069.885240 kBT
3cpw9_M285.pdb     -1155.443098 kBT
3cpw9_M325.pdb     -1185.382490 kBT
3cpw9_M180.pdb     -1177.444246 kBT
3cpw9_M308.pdb     -1157.994420 kBT
3cpw9_M265.pdb     -1223.462395 kBT
3cpw9_M355.pdb     -1004.802920 kBT
3cpw9_M443.pdb     -1160.936207 kBT
3cpw9_M402.pdb     -1184.449334 kBT
3cpw9_M327.pdb     -1126.885359 kBT
3cpw9_M456.pdb     -1037.358838 kBT
3cpw9_M356.pdb     -1148.970813 kBT
3cpw9_M313.pdb     -1156.145313 kBT
3cpw9_M41.pdb     -1505.062918 kBT
3cpw9_M445.pdb     -1142.610254 kBT
3cpw9_M351.pdb     -1150.339451 kBT
3cpw9_M153.pdb     -1207.112298 kBT
3cpw9_M461.pdb     -938.437394 kBT
3cpw9_M340.pdb     -1056.541269 kBT
3cpw9_M33.pdb     -1504.483074 kBT
3cpw9_M378.pdb     -1068.868367 kBT
3cpw9_M177.pdb     -1290.271945 kBT
3cpw9_M476.pdb     -1157.966231 kBT
3cpw9_M13.pdb     -1577.667704 kBT
3cpw9_M146.pdb     -1209.856557 kBT
3cpw9_M239.pdb     -1209.770696 kBT
3cpw9_M392.pdb     -1144.601458 kBT
3cpw9_M314.pdb     -1141.575358 kBT
3cpw9_M331.pdb     -1058.326915 kBT
3cpw9_M431.pdb     -1109.151091 kBT
3cpw9_M475.pdb     -1065.076559 kBT
3cpw9_M184.pdb     -1344.339171 kBT
3cpw9_M244.pdb     -1160.146125 kBT
3cpw9_M417.pdb     -1149.628471 kBT
3cpw9_M150.pdb     -1149.548559 kBT
3cpw9_M116.pdb     -1245.802399 kBT
3cpw9_M333.pdb     -1077.597542 kBT
3cpw9_M286.pdb     -1184.208998 kBT
3cpw9_M465.pdb     -1096.542040 kBT
3cpw9_M468.pdb     -1063.520402 kBT
3cpw9_M46.pdb     -1368.583679 kBT
3cpw9_M231.pdb     -1163.484304 kBT
3cpw9_M45.pdb     -1436.298687 kBT
3cpw9_M301.pdb     -1146.142048 kBT
3cpw9_M217.pdb     -1174.829421 kBT
3cpw9_M426.pdb     -1099.605909 kBT
3cpw9_M473.pdb     -1074.464412 kBT
3cpw9_M42.pdb     -1508.716477 kBT
3cpw9_M38.pdb     -1491.466869 kBT
3cpw9_M40.pdb     -1398.038421 kBT
3cpw9_M293.pdb     -1158.495894 kBT
3cpw9_M60.pdb     -1351.672207 kBT
3cpw9_M268.pdb     -1234.484826 kBT
3cpw9_M8.pdb     -1586.052166 kBT
3cpw9_M129.pdb     -1237.511508 kBT
3cpw9_M492.pdb     -1060.866902 kBT
3cpw9_M337.pdb     -1067.384115 kBT
3cpw9_M172.pdb     -1208.041533 kBT
3cpw9_M338.pdb     -1192.559253 kBT
3cpw9_M197.pdb     -1175.397724 kBT
3cpw9_M413.pdb     -1095.109376 kBT
3cpw9_M252.pdb     -1143.633653 kBT
3cpw9_M52.pdb     -1418.796047 kBT
3cpw9_M221.pdb     -1097.575102 kBT
3cpw9_M120.pdb     -1263.205344 kBT
3cpw9_M335.pdb     -1150.600128 kBT
3cpw9_M69.pdb     -1413.723846 kBT
3cpw9_M491.pdb     -931.258475 kBT
3cpw9_M90.pdb     -1375.676678 kBT
3cpw9_M30.pdb     -1521.459916 kBT
3cpw9_M404.pdb     -1071.370936 kBT
3cpw9_M79.pdb     -1343.847135 kBT
3cpw9_M67.pdb     -1447.935115 kBT
3cpw9_M82.pdb     -1291.625676 kBT
3cpw9_M437.pdb     -1173.190183 kBT
3cpw9_M433.pdb     -1115.095290 kBT
3cpw9_M135.pdb     -1239.654661 kBT
3cpw9_M279.pdb     -1159.345360 kBT
3cpw9_M272.pdb     -1059.162290 kBT
3cpw9_M31.pdb     -1543.986148 kBT
3cpw9_M292.pdb     -1174.612049 kBT
3cpw9_M89.pdb     -1281.279157 kBT
3cpw9_M93.pdb     -1316.768916 kBT
3cpw9_M343.pdb     -1074.732774 kBT
3cpw9_M219.pdb     -1162.039670 kBT
3cpw9_M287.pdb     -1130.506626 kBT
3cpw9_M322.pdb     -1133.433710 kBT
3cpw9_M435.pdb     -1003.982402 kBT
3cpw9_M88.pdb     -1366.975390 kBT
3cpw9_M74.pdb     -1384.756174 kBT
3cpw9_M187.pdb     -1292.554170 kBT
3cpw9_M170.pdb     -1231.359242 kBT
3cpw9_M182.pdb     -1190.118043 kBT
3cpw9_M115.pdb     -1260.109549 kBT
3cpw9_M470.pdb     -1081.592293 kBT
3cpw9_M152.pdb     -1264.463438 kBT
3cpw9_M112.pdb     -1308.601271 kBT
3cpw9_M162.pdb     -1264.633698 kBT
3cpw9_M201.pdb     -1214.193397 kBT
3cpw9_M441.pdb     -1081.666458 kBT
3cpw9_M336.pdb     -1145.696409 kBT
3cpw9_M132.pdb     -1337.468163 kBT
3cpw9_M36.pdb     -1467.260928 kBT
3cpw9_M193.pdb     -1120.495554 kBT
3cpw9_M51.pdb     -1431.192451 kBT
3cpw9_M281.pdb     -1210.977361 kBT
3cpw9_M455.pdb     -1101.334254 kBT
3cpw9_M214.pdb     -1263.546121 kBT
3cpw9_M25.pdb     -1549.576896 kBT
3cpw9_M250.pdb     -1294.343367 kBT
3cpw9_M220.pdb     -1145.876755 kBT
3cpw9_M387.pdb     -1101.256524 kBT
3cpw9_M243.pdb     -1246.196977 kBT
3cpw9_M366.pdb     -1161.630997 kBT
3cpw9_M141.pdb     -1230.277200 kBT
3cpw9_M316.pdb     -1133.707510 kBT
3cpw9_M291.pdb     -1147.372621 kBT
3cpw9_M305.pdb     -1083.782780 kBT
3cpw9_M166.pdb     -1193.069055 kBT
3cpw9_M53.pdb     -1427.947272 kBT
3cpw9_M192.pdb     -1184.961517 kBT
3cpw9_M106.pdb     -1269.457407 kBT
3cpw9_M261.pdb     -1181.125450 kBT
3cpw9_M105.pdb     -1240.225192 kBT
3cpw9_M178.pdb     -1239.365458 kBT
3cpw9_M407.pdb     -1125.645428 kBT
3cpw9_M383.pdb     -1118.748516 kBT
3cpw9_M43.pdb     -1422.063889 kBT
3cpw9_M126.pdb     -1282.256034 kBT
3cpw9_M158.pdb     -1211.136427 kBT
3cpw9_M185.pdb     -1266.576535 kBT
3cpw9_M247.pdb     -1182.592257 kBT
3cpw9_M298.pdb     -1189.704543 kBT
3cpw9_M346.pdb     -1123.078308 kBT
3cpw9_M189.pdb     -1141.317267 kBT
3cpw9_M237.pdb     -1197.571182 kBT
3cpw9_M495.pdb     -1104.742884 kBT
3cpw9_M428.pdb     -1168.905833 kBT
3cpw9_M442.pdb     -1026.270347 kBT
3cpw9_M370.pdb     -1172.546987 kBT
3cpw9_M240.pdb     -1170.481367 kBT
3cpw9_M95.pdb     -1273.201327 kBT
3cpw9_M299.pdb     -1176.006377 kBT
3cpw9_M24.pdb     -1583.288236 kBT
3cpw9_M451.pdb     -1049.307300 kBT
3cpw9_M406.pdb     -1096.013442 kBT
3cpw9_M405.pdb     -1040.757128 kBT
3cpw9_M434.pdb     -1065.544436 kBT
3cpw9_M81.pdb     -1347.044021 kBT
3cpw9_M419.pdb     -1041.481346 kBT
3cpw9_M415.pdb     -1100.233710 kBT
3cpw9_M65.pdb     -1430.267490 kBT
3cpw9_M16.pdb     -1611.484923 kBT
3cpw9_M318.pdb     -1238.913453 kBT
3cpw9_M47.pdb     -1440.898431 kBT
3cpw9_M500.pdb     -1121.323112 kBT
3cpw9_M199.pdb     -1171.672578 kBT
3cpw9_M374.pdb     -1221.557713 kBT
3cpw9_M139.pdb     -1414.790225 kBT
3cpw9_M72.pdb     -1349.893205 kBT
3cpw9_M354.pdb     -1176.452479 kBT
3cpw9_M386.pdb     -1123.627877 kBT
3cpw9_M4.pdb     -1566.824972 kBT
3cpw9_M164.pdb     -1120.158707 kBT
3cpw9_M15.pdb     -1618.729627 kBT
3cpw9_M394.pdb     -1104.417216 kBT
3cpw9_M467.pdb     -982.983163 kBT
3cpw9_M86.pdb     -1373.460569 kBT
3cpw9_M163.pdb     -1178.027555 kBT
3cpw9_M306.pdb     -1100.339097 kBT
3cpw9_M75.pdb     -1387.072157 kBT
3cpw9_M385.pdb     -1034.512701 kBT
3cpw9_M263.pdb     -1129.218260 kBT
3cpw9_M49.pdb     -1462.136744 kBT
3cpw9_M145.pdb     -1236.735585 kBT
3cpw9_M128.pdb     -1308.716499 kBT
3cpw9_M280.pdb     -1154.915265 kBT
3cpw9_M118.pdb     -1342.973698 kBT
3cpw9_M352.pdb     -1224.816383 kBT
3cpw9_M284.pdb     -1201.160828 kBT
3cpw9_M266.pdb     -1185.610525 kBT
3cpw9_M76.pdb     -1420.714953 kBT
3cpw9_M349.pdb     -1131.776694 kBT
3cpw9_M160.pdb     -1225.382718 kBT
3cpw9_M251.pdb     -1176.457600 kBT
3cpw9_M108.pdb     -1300.933116 kBT
3cpw9_M377.pdb     -1119.742149 kBT
3cpw9_M154.pdb     -1182.591122 kBT
3cpw9_M66.pdb     -1321.683570 kBT
3cpw9_M277.pdb     -1118.676168 kBT
3cpw9_M368.pdb     -1048.793581 kBT
3cpw9_M48.pdb     -1445.216316 kBT
3cpw9_M458.pdb     -1029.559043 kBT
3cpw9_M282.pdb     -1257.436444 kBT
3cpw9_M259.pdb     -1213.029133 kBT
3cpw9_M362.pdb     -1111.139979 kBT
3cpw9_M99.pdb     -1382.642557 kBT
3cpw9_M179.pdb     -1259.721477 kBT
3cpw9_M114.pdb     -1318.213351 kBT
3cpw9_M17.pdb     -1595.379586 kBT
3cpw9_M481.pdb     -998.515464 kBT
3cpw9_M227.pdb     -1212.964061 kBT
3cpw9_M223.pdb     -1267.384922 kBT
3cpw9_M472.pdb     -1029.034214 kBT
3cpw9_M420.pdb     -1028.253041 kBT
3cpw9_M137.pdb     -1302.594484 kBT
3cpw9_M288.pdb     -1139.921605 kBT
3cpw9_M168.pdb     -1200.123193 kBT
3cpw9_M289.pdb     -1118.813751 kBT
3cpw9_M191.pdb     -1221.116340 kBT
3cpw9_M412.pdb     -1144.161189 kBT
3cpw9_M396.pdb     -1196.551060 kBT
3cpw9_M440.pdb     -1158.304013 kBT
3cpw9_M103.pdb     -1347.418772 kBT
3cpw9_M101.pdb     -1281.675588 kBT
3cpw9_M77.pdb     -1352.370834 kBT
3cpw9_M183.pdb     -1208.972115 kBT
3cpw9_M464.pdb     -1050.995911 kBT
3cpw9_M303.pdb     -1144.706477 kBT
3cpw9_M423.pdb     -1053.543574 kBT
3cpw9_M58.pdb     -1493.015437 kBT
3cpw9_M317.pdb     -1043.631030 kBT
3cpw9_M149.pdb     -1213.818058 kBT
3cpw9_M380.pdb     -1103.661532 kBT
3cpw9_M471.pdb     -1044.536150 kBT
3cpw9_M258.pdb     -1135.669025 kBT
3cpw9_M311.pdb     -1036.685870 kBT
3cpw9_M19.pdb     -1528.395303 kBT
3cpw9_M148.pdb     -1290.824816 kBT
3cpw9_M271.pdb     -1150.561839 kBT
3cpw9_M186.pdb     -1231.719735 kBT
3cpw9_M457.pdb     -975.885150 kBT
3cpw9_M206.pdb     -1248.036594 kBT
3cpw9_M213.pdb     -1206.993299 kBT
3cpw9_M363.pdb     -1145.638255 kBT
3cpw9_M474.pdb     -1145.633805 kBT
3cpw9_M429.pdb     -1200.791484 kBT
3cpw9_M364.pdb     -1081.553173 kBT
3cpw9_M59.pdb     -1478.547046 kBT
3cpw9_M235.pdb     -1194.213784 kBT
3cpw9_M238.pdb     -1169.365252 kBT
3cpw9_M78.pdb     -1435.783435 kBT
3cpw9_M110.pdb     -1201.837626 kBT
3cpw9_M127.pdb     -1344.153090 kBT
3cpw9_M142.pdb     -1266.200132 kBT
3cpw9_M176.pdb     -1295.796587 kBT
3cpw9_M264.pdb     -1234.496949 kBT
3cpw9_M136.pdb     -1162.106743 kBT
3cpw9_M234.pdb     -1111.286147 kBT
3cpw9_M270.pdb     -1059.057067 kBT
3cpw9_M215.pdb     -1162.804270 kBT
3cpw9_M411.pdb     -1109.780126 kBT
3cpw9_M400.pdb     -1104.904859 kBT
3cpw9_M469.pdb     -1022.459641 kBT
3cpw9_M3.pdb     -1593.125864 kBT
3cpw9_M309.pdb     -1058.633168 kBT
3cpw9_M446.pdb     -1085.738469 kBT
3cpw9_M499.pdb     -1171.868870 kBT
3cpw9_M147.pdb     -1245.012527 kBT
3cpw9_M210.pdb     -1250.953236 kBT
3cpw9_M173.pdb     -1245.840513 kBT
3cpw9_M290.pdb     -1106.279208 kBT
3cpw9_M232.pdb     -1136.582092 kBT
3cpw9_M138.pdb     -1266.600210 kBT
3cpw9_M448.pdb     -1171.273613 kBT
3cpw9_M341.pdb     -1120.050101 kBT
3cpw9_M466.pdb     -992.237924 kBT
3cpw9_M372.pdb     -1167.417000 kBT
3cpw9_M320.pdb     -1203.124614 kBT
3cpw9_M398.pdb     -1092.963559 kBT
3cpw9_M294.pdb     -1191.367687 kBT
3cpw9_M233.pdb     -1191.240215 kBT
3cpw9_M6.pdb     -1609.902149 kBT
3cpw9_M401.pdb     -1087.254700 kBT
3cpw9_M140.pdb     -1332.310904 kBT
3cpw9_M248.pdb     -1105.734330 kBT
3cpw9_M425.pdb     -1167.647775 kBT
3cpw9_M478.pdb     -1024.585531 kBT
3cpw9_M256.pdb     -1187.331446 kBT
3cpw9_M488.pdb     -1076.499863 kBT
3cpw9_M384.pdb     -1174.542478 kBT
3cpw9_M91.pdb     -1342.775727 kBT
3cpw9_M487.pdb     -1171.861409 kBT
3cpw9_M353.pdb     -1144.983868 kBT
3cpw9_M371.pdb     -1137.479444 kBT
3cpw9_M365.pdb     -1166.109353 kBT
3cpw9_M104.pdb     -1273.104565 kBT
3cpw9_M125.pdb     -1251.279241 kBT
3cpw9_M430.pdb     -1099.414596 kBT
3cpw9_M92.pdb     -1260.435148 kBT
3cpw9_M34.pdb     -1472.149671 kBT
3cpw9_M388.pdb     -1075.123050 kBT
3cpw9_M295.pdb     -1163.176521 kBT
3cpw9_M409.pdb     -1118.313997 kBT
3cpw9_M274.pdb     -1143.840791 kBT
3cpw9_M64.pdb     -1421.426077 kBT
3cpw9_M453.pdb     -1123.292264 kBT
3cpw9_M32.pdb     -1570.147116 kBT
3cpw9_M454.pdb     -1123.892469 kBT
3cpw9_M133.pdb     -1268.350509 kBT
3cpw9_M321.pdb     -1175.079801 kBT
3cpw9_M102.pdb     -1355.050583 kBT
3cpw9_M485.pdb     -1016.555315 kBT
3cpw9_M324.pdb     -1150.080618 kBT
3cpw9_M198.pdb     -1196.748953 kBT
3cpw9_M117.pdb     -1331.132170 kBT
3cpw9_M130.pdb     -1270.142502 kBT
3cpw9_M22.pdb     -1511.282914 kBT
3cpw9_M50.pdb     -1443.946423 kBT
3cpw9_M157.pdb     -1260.672284 kBT
3cpw9_M334.pdb     -1167.060368 kBT
3cpw9_M123.pdb     -1340.235755 kBT
3cpw9_M484.pdb     -1024.617953 kBT
3cpw9_M315.pdb     -1086.795977 kBT
3cpw9_M498.pdb     -1110.524085 kBT
3cpw9_M211.pdb     -1195.203294 kBT
3cpw9_M342.pdb     -1200.643873 kBT
3cpw9_M421.pdb     -1176.544983 kBT
3cpw9_M55.pdb     -1356.543032 kBT
3cpw9_M61.pdb     -1349.185183 kBT
3cpw9_M161.pdb     -1240.590326 kBT
3cpw9_M37.pdb     -1514.545623 kBT
3cpw9_M480.pdb     -1149.157045 kBT
3cpw9_M68.pdb     -1428.779393 kBT
3cpw9_M181.pdb     -1249.247205 kBT
3cpw9_M207.pdb     -1319.538065 kBT
3cpw9_M330.pdb     -1083.537030 kBT
3cpw9_M296.pdb     -1195.777522 kBT
3cpw9_M312.pdb     -1147.117164 kBT
3cpw9_M203.pdb     -1189.287677 kBT
3cpw9_M482.pdb     -1023.976965 kBT
3cpw9_M497.pdb     -1025.598245 kBT
3cpw9_M283.pdb     -1217.987902 kBT
3cpw9_M54.pdb     -1395.898206 kBT
3cpw9_M241.pdb     -1107.567431 kBT
3cpw9_M262.pdb     -1137.771055 kBT
3cpw9_M212.pdb     -1179.382689 kBT
3cpw9_M1.pdb     -1559.564097 kBT
3cpw9_M373.pdb     -1089.051054 kBT
