2dr2B_M381.pdb     -826.739235 kBT
2dr2B_M225.pdb     -906.551737 kBT
2dr2B_M404.pdb     -739.874482 kBT
2dr2B_M238.pdb     -920.733895 kBT
2dr2B_M63.pdb     -1006.048611 kBT
2dr2B_M18.pdb     -1094.539493 kBT
2dr2B_M159.pdb     -985.994246 kBT
2dr2B_M160.pdb     -911.355288 kBT
2dr2B_M172.pdb     -937.808678 kBT
2dr2B_M473.pdb     -850.124121 kBT
2dr2B_M260.pdb     -822.330150 kBT
2dr2B_M270.pdb     -948.131868 kBT
2dr2B_M245.pdb     -873.405298 kBT
2dr2B_M365.pdb     -786.607991 kBT
2dr2B_M303.pdb     -939.692433 kBT
2dr2B_M152.pdb     -957.012658 kBT
2dr2B_M308.pdb     -879.010270 kBT
2dr2B_M59.pdb     -951.144440 kBT
2dr2B_M371.pdb     -845.619488 kBT
2dr2B_M150.pdb     -865.868309 kBT
2dr2B_M436.pdb     -761.027543 kBT
2dr2B_M296.pdb     -936.926649 kBT
2dr2B_M288.pdb     -872.551124 kBT
2dr2B_M11.pdb     -1098.476102 kBT
2dr2B_M490.pdb     -869.573118 kBT
2dr2B_M407.pdb     -798.818786 kBT
2dr2B_M251.pdb     -842.451919 kBT
2dr2B_M2.pdb     -1073.150957 kBT
2dr2B_M98.pdb     -915.114633 kBT
2dr2B_M236.pdb     -809.812287 kBT
2dr2B_M205.pdb     -787.690419 kBT
2dr2B_M157.pdb     -960.216785 kBT
2dr2B_M306.pdb     -866.158907 kBT
2dr2B_M358.pdb     -814.112119 kBT
2dr2B_M99.pdb     -1009.613165 kBT
2dr2B_M357.pdb     -826.357959 kBT
2dr2B_M451.pdb     -760.836656 kBT
2dr2B_M74.pdb     -1029.564584 kBT
2dr2B_M219.pdb     -910.443607 kBT
2dr2B_M129.pdb     -966.222798 kBT
2dr2B_M299.pdb     -700.417625 kBT
2dr2B_M141.pdb     -989.844170 kBT
2dr2B_M392.pdb     -777.366805 kBT
2dr2B_M164.pdb     -923.134492 kBT
2dr2B_M107.pdb     -959.094935 kBT
2dr2B_M301.pdb     -734.568791 kBT
2dr2B_M148.pdb     -863.316001 kBT
2dr2B_M351.pdb     -863.688451 kBT
2dr2B_M472.pdb     -803.183735 kBT
2dr2B_M259.pdb     -912.222956 kBT
2dr2B_M488.pdb     -794.351508 kBT
2dr2B_M455.pdb     -877.918328 kBT
2dr2B_M342.pdb     -771.137217 kBT
2dr2B_M116.pdb     -942.175049 kBT
2dr2B_M438.pdb     -804.952952 kBT
2dr2B_M422.pdb     -873.581714 kBT
2dr2B_M73.pdb     -901.963660 kBT
2dr2B_M307.pdb     -837.670753 kBT
2dr2B_M101.pdb     -950.278167 kBT
2dr2B_M242.pdb     -793.053554 kBT
2dr2B_M482.pdb     -814.463572 kBT
2dr2B_M374.pdb     -754.809257 kBT
2dr2B_M57.pdb     -1010.173887 kBT
2dr2B_M469.pdb     -839.719077 kBT
2dr2B_M249.pdb     -897.455438 kBT
2dr2B_M203.pdb     -911.189681 kBT
2dr2B_M108.pdb     -882.194931 kBT
2dr2B_M199.pdb     -833.664015 kBT
2dr2B_M55.pdb     -1069.238280 kBT
2dr2B_M429.pdb     -796.441223 kBT
2dr2B_M158.pdb     -831.405957 kBT
2dr2B_M84.pdb     -983.281003 kBT
2dr2B_M106.pdb     -928.089572 kBT
2dr2B_M54.pdb     -999.091015 kBT
2dr2B_M21.pdb     -1062.009493 kBT
2dr2B_M304.pdb     -871.460038 kBT
2dr2B_M481.pdb     -815.449923 kBT
2dr2B_M448.pdb     -759.550365 kBT
2dr2B_M289.pdb     -841.435806 kBT
2dr2B_M26.pdb     -999.458455 kBT
2dr2B_M420.pdb     -800.583659 kBT
2dr2B_M41.pdb     -1056.574100 kBT
2dr2B_M29.pdb     -1050.600444 kBT
2dr2B_M362.pdb     -825.608791 kBT
2dr2B_M86.pdb     -900.098045 kBT
2dr2B_M286.pdb     -789.840974 kBT
2dr2B_M403.pdb     -854.719959 kBT
2dr2B_M264.pdb     -847.942721 kBT
2dr2B_M216.pdb     -808.039540 kBT
2dr2B_M188.pdb     -944.631554 kBT
2dr2B_M244.pdb     -856.718215 kBT
2dr2B_M178.pdb     -901.762344 kBT
2dr2B_M290.pdb     -851.440458 kBT
2dr2B_M397.pdb     -797.408265 kBT
2dr2B_M267.pdb     -745.407505 kBT
2dr2B_M394.pdb     -809.120899 kBT
2dr2B_M61.pdb     -977.846750 kBT
2dr2B_M130.pdb     -928.118991 kBT
2dr2B_M173.pdb     -921.058309 kBT
2dr2B_M437.pdb     -883.517606 kBT
2dr2B_M38.pdb     -1071.899093 kBT
2dr2B_M443.pdb     -801.631615 kBT
2dr2B_M32.pdb     -1056.552214 kBT
2dr2B_M293.pdb     -863.537683 kBT
2dr2B_M461.pdb     -783.494403 kBT
2dr2B_M201.pdb     -836.052890 kBT
2dr2B_M370.pdb     -858.407008 kBT
2dr2B_M243.pdb     -917.684089 kBT
2dr2B_M229.pdb     -913.068844 kBT
2dr2B_M359.pdb     -801.579201 kBT
2dr2B_M206.pdb     -899.366752 kBT
2dr2B_M412.pdb     -858.262821 kBT
2dr2B_M200.pdb     -837.054695 kBT
2dr2B_M79.pdb     -996.273945 kBT
2dr2B_M302.pdb     -824.155797 kBT
2dr2B_M434.pdb     -787.648346 kBT
2dr2B_M71.pdb     -1037.343635 kBT
2dr2B_M328.pdb     -851.167137 kBT
2dr2B_M492.pdb     -745.169020 kBT
2dr2B_M312.pdb     -803.358551 kBT
2dr2B_M125.pdb     -967.206314 kBT
2dr2B_M376.pdb     -830.371038 kBT
2dr2B_M315.pdb     -859.645579 kBT
2dr2B_M331.pdb     -925.188883 kBT
2dr2B_M109.pdb     -926.049016 kBT
2dr2B_M368.pdb     -860.784026 kBT
2dr2B_M316.pdb     -825.715827 kBT
2dr2B_M279.pdb     -848.809709 kBT
2dr2B_M266.pdb     -835.041347 kBT
2dr2B_M50.pdb     -970.502954 kBT
2dr2B_M489.pdb     -811.947498 kBT
2dr2B_M285.pdb     -837.908587 kBT
2dr2B_M450.pdb     -738.917825 kBT
2dr2B_M135.pdb     -940.979444 kBT
2dr2B_M237.pdb     -853.560597 kBT
2dr2B_M128.pdb     -920.357618 kBT
2dr2B_M287.pdb     -866.290192 kBT
2dr2B_M352.pdb     -905.752115 kBT
2dr2B_M122.pdb     -967.291003 kBT
2dr2B_M100.pdb     -983.286848 kBT
2dr2B_M323.pdb     -844.391954 kBT
2dr2B_M391.pdb     -919.981182 kBT
2dr2B_M215.pdb     -886.130600 kBT
2dr2B_M254.pdb     -950.588195 kBT
2dr2B_M36.pdb     -1050.522703 kBT
2dr2B_M375.pdb     -764.748382 kBT
2dr2B_M151.pdb     -924.271361 kBT
2dr2B_M479.pdb     -822.164939 kBT
2dr2B_M35.pdb     -1008.121433 kBT
2dr2B_M104.pdb     -922.538234 kBT
2dr2B_M28.pdb     -1074.966161 kBT
2dr2B_M416.pdb     -787.485242 kBT
2dr2B_M169.pdb     -884.543253 kBT
2dr2B_M463.pdb     -799.637737 kBT
2dr2B_M278.pdb     -773.224156 kBT
2dr2B_M349.pdb     -830.508976 kBT
2dr2B_M222.pdb     -886.165606 kBT
2dr2B_M25.pdb     -1090.744222 kBT
2dr2B_M428.pdb     -800.459641 kBT
2dr2B_M309.pdb     -897.999814 kBT
2dr2B_M427.pdb     -847.341533 kBT
2dr2B_M183.pdb     -972.266135 kBT
2dr2B_M161.pdb     -889.850621 kBT
2dr2B_M90.pdb     -965.113159 kBT
2dr2B_M156.pdb     -916.574622 kBT
2dr2B_M341.pdb     -774.965046 kBT
2dr2B_M228.pdb     -868.525897 kBT
2dr2B_M114.pdb     -941.976379 kBT
2dr2B_M92.pdb     -951.317245 kBT
2dr2B_M485.pdb     -756.829804 kBT
2dr2B_M348.pdb     -770.854214 kBT
2dr2B_M332.pdb     -865.328552 kBT
2dr2B_M364.pdb     -852.579517 kBT
2dr2B_M227.pdb     -931.048096 kBT
2dr2B_M176.pdb     -814.731295 kBT
2dr2B_M277.pdb     -918.838558 kBT
2dr2B_M145.pdb     -937.260310 kBT
2dr2B_M386.pdb     -822.647567 kBT
2dr2B_M256.pdb     -799.233516 kBT
2dr2B_M377.pdb     -834.675201 kBT
2dr2B_M115.pdb     -868.136585 kBT
2dr2B_M83.pdb     -913.705413 kBT
2dr2B_M166.pdb     -920.574523 kBT
2dr2B_M182.pdb     -832.016505 kBT
2dr2B_M247.pdb     -861.704106 kBT
2dr2B_M418.pdb     -824.167381 kBT
2dr2B_M155.pdb     -808.462802 kBT
2dr2B_M87.pdb     -920.796028 kBT
2dr2B_M457.pdb     -792.640438 kBT
2dr2B_M320.pdb     -924.035755 kBT
2dr2B_M202.pdb     -927.758424 kBT
2dr2B_M440.pdb     -749.197087 kBT
2dr2B_M262.pdb     -791.417134 kBT
2dr2B_M12.pdb     -1096.868080 kBT
2dr2B_M470.pdb     -840.775734 kBT
2dr2B_M66.pdb     -934.733960 kBT
2dr2B_M46.pdb     -994.755301 kBT
2dr2B_M194.pdb     -855.449047 kBT
2dr2B_M212.pdb     -835.817341 kBT
2dr2B_M493.pdb     -841.753384 kBT
2dr2B_M13.pdb     -1048.423546 kBT
2dr2B_M432.pdb     -878.985555 kBT
2dr2B_M248.pdb     -840.374221 kBT
2dr2B_M297.pdb     -788.764950 kBT
2dr2B_M388.pdb     -850.659252 kBT
2dr2B_M466.pdb     -834.275246 kBT
2dr2B_M72.pdb     -956.105668 kBT
2dr2B_M314.pdb     -809.254183 kBT
2dr2B_M8.pdb     -1085.200688 kBT
2dr2B_M190.pdb     -967.662187 kBT
2dr2B_M345.pdb     -861.734401 kBT
2dr2B_M210.pdb     -944.242811 kBT
2dr2B_M131.pdb     -919.168500 kBT
2dr2B_M269.pdb     -820.822447 kBT
2dr2B_M496.pdb     -745.102197 kBT
2dr2B_M311.pdb     -795.019600 kBT
2dr2B_M322.pdb     -823.836434 kBT
2dr2B_M387.pdb     -811.916717 kBT
2dr2B_M207.pdb     -915.352219 kBT
2dr2B_M133.pdb     -905.310030 kBT
2dr2B_M232.pdb     -890.958173 kBT
2dr2B_M350.pdb     -770.241020 kBT
2dr2B_M395.pdb     -767.019891 kBT
2dr2B_M221.pdb     -912.796470 kBT
2dr2B_M318.pdb     -834.452347 kBT
2dr2B_M419.pdb     -844.333841 kBT
2dr2B_M120.pdb     -945.687400 kBT
2dr2B_M64.pdb     -903.460067 kBT
2dr2B_M313.pdb     -858.089309 kBT
2dr2B_M43.pdb     -1059.038026 kBT
2dr2B_M476.pdb     -927.068307 kBT
2dr2B_M274.pdb     -893.613930 kBT
2dr2B_M3.pdb     -1092.988326 kBT
2dr2B_M6.pdb     -1076.524767 kBT
2dr2B_M197.pdb     -827.594157 kBT
2dr2B_M117.pdb     -928.026186 kBT
2dr2B_M421.pdb     -815.365040 kBT
2dr2B_M435.pdb     -810.726489 kBT
2dr2B_M78.pdb     -971.999488 kBT
2dr2B_M411.pdb     -824.530438 kBT
2dr2B_M127.pdb     -896.331599 kBT
2dr2B_M271.pdb     -869.677973 kBT
2dr2B_M138.pdb     -854.097238 kBT
2dr2B_M147.pdb     -882.534658 kBT
2dr2B_M321.pdb     -806.135116 kBT
2dr2B_M275.pdb     -885.316618 kBT
2dr2B_M360.pdb     -815.286269 kBT
2dr2B_M336.pdb     -855.819670 kBT
2dr2B_M390.pdb     -794.362690 kBT
2dr2B_M424.pdb     -827.088437 kBT
2dr2B_M121.pdb     -908.661936 kBT
2dr2B_M91.pdb     -908.803702 kBT
2dr2B_M441.pdb     -863.790890 kBT
2dr2B_M453.pdb     -858.422508 kBT
2dr2B_M253.pdb     -892.110068 kBT
2dr2B_M123.pdb     -882.438392 kBT
2dr2B_M60.pdb     -1035.511254 kBT
2dr2B_M89.pdb     -913.139443 kBT
2dr2B_M1.pdb     -1085.661589 kBT
2dr2B_M280.pdb     -854.665632 kBT
2dr2B_M326.pdb     -871.080020 kBT
2dr2B_M140.pdb     -928.307975 kBT
2dr2B_M355.pdb     -851.045720 kBT
2dr2B_M396.pdb     -842.746381 kBT
2dr2B_M499.pdb     -871.565214 kBT
2dr2B_M430.pdb     -826.276704 kBT
2dr2B_M234.pdb     -930.756936 kBT
2dr2B_M346.pdb     -764.532769 kBT
2dr2B_M378.pdb     -773.872102 kBT
2dr2B_M240.pdb     -831.790110 kBT
2dr2B_M494.pdb     -754.422309 kBT
2dr2B_M291.pdb     -821.530311 kBT
2dr2B_M464.pdb     -818.657181 kBT
2dr2B_M372.pdb     -794.600396 kBT
2dr2B_M369.pdb     -840.482752 kBT
2dr2B_M439.pdb     -823.443124 kBT
2dr2B_M113.pdb     -949.171164 kBT
2dr2B_M132.pdb     -975.910810 kBT
2dr2B_M31.pdb     -1023.985125 kBT
2dr2B_M310.pdb     -869.097324 kBT
2dr2B_M399.pdb     -838.448475 kBT
2dr2B_M134.pdb     -935.051426 kBT
2dr2B_M15.pdb     -1107.457269 kBT
2dr2B_M380.pdb     -812.858388 kBT
2dr2B_M340.pdb     -837.432350 kBT
2dr2B_M431.pdb     -893.060536 kBT
2dr2B_M475.pdb     -802.856791 kBT
2dr2B_M298.pdb     -841.099205 kBT
2dr2B_M124.pdb     -880.829894 kBT
2dr2B_M480.pdb     -832.598287 kBT
2dr2B_M284.pdb     -862.150505 kBT
2dr2B_M282.pdb     -972.525417 kBT
2dr2B_M95.pdb     -891.009284 kBT
2dr2B_M165.pdb     -929.800130 kBT
2dr2B_M208.pdb     -824.669141 kBT
2dr2B_M76.pdb     -1013.593993 kBT
2dr2B_M56.pdb     -968.839531 kBT
2dr2B_M255.pdb     -900.545875 kBT
2dr2B_M44.pdb     -1036.183289 kBT
2dr2B_M52.pdb     -1029.252095 kBT
2dr2B_M414.pdb     -831.326133 kBT
2dr2B_M198.pdb     -955.950579 kBT
2dr2B_M339.pdb     -898.410970 kBT
2dr2B_M80.pdb     -975.111262 kBT
2dr2B_M187.pdb     -883.506343 kBT
2dr2B_M383.pdb     -825.360498 kBT
2dr2B_M214.pdb     -885.537386 kBT
2dr2B_M300.pdb     -790.973400 kBT
2dr2B_M22.pdb     -1060.612040 kBT
2dr2B_M445.pdb     -776.848802 kBT
2dr2B_M239.pdb     -919.627569 kBT
2dr2B_M423.pdb     -803.143902 kBT
2dr2B_M47.pdb     -978.144788 kBT
2dr2B_M27.pdb     -1058.363415 kBT
2dr2B_M487.pdb     -848.597470 kBT
2dr2B_M491.pdb     -832.017925 kBT
2dr2B_M213.pdb     -866.189044 kBT
2dr2B_M24.pdb     -1021.808271 kBT
2dr2B_M5.pdb     -1084.487554 kBT
2dr2B_M118.pdb     -938.470709 kBT
2dr2B_M468.pdb     -826.274623 kBT
2dr2B_M69.pdb     -974.098281 kBT
2dr2B_M177.pdb     -863.936885 kBT
2dr2B_M230.pdb     -859.686974 kBT
2dr2B_M294.pdb     -868.011642 kBT
2dr2B_M191.pdb     -914.862303 kBT
2dr2B_M153.pdb     -849.485389 kBT
2dr2B_M137.pdb     -846.956224 kBT
2dr2B_M105.pdb     -973.298513 kBT
2dr2B_M426.pdb     -845.654290 kBT
2dr2B_M405.pdb     -797.720837 kBT
2dr2B_M477.pdb     -817.990047 kBT
2dr2B_M497.pdb     -810.619524 kBT
2dr2B_M174.pdb     -841.099382 kBT
2dr2B_M498.pdb     -787.825007 kBT
2dr2B_M39.pdb     -1009.099654 kBT
2dr2B_M179.pdb     -834.473258 kBT
2dr2B_M389.pdb     -773.496623 kBT
2dr2B_M398.pdb     -837.147613 kBT
2dr2B_M413.pdb     -883.485426 kBT
2dr2B_M471.pdb     -728.327830 kBT
2dr2B_M442.pdb     -742.024949 kBT
2dr2B_M408.pdb     -891.044228 kBT
2dr2B_M180.pdb     -938.980062 kBT
2dr2B_M483.pdb     -797.894797 kBT
2dr2B_M94.pdb     -949.741760 kBT
2dr2B_M211.pdb     -945.905852 kBT
2dr2B_M186.pdb     -838.954028 kBT
2dr2B_M58.pdb     -972.432411 kBT
2dr2B_M425.pdb     -880.786183 kBT
2dr2B_M45.pdb     -948.803010 kBT
2dr2B_M33.pdb     -1009.470562 kBT
2dr2B_M189.pdb     -892.670060 kBT
2dr2B_M462.pdb     -789.425728 kBT
2dr2B_M454.pdb     -869.254875 kBT
2dr2B_M185.pdb     -889.168894 kBT
2dr2B_M235.pdb     -931.192583 kBT
2dr2B_M139.pdb     -954.731459 kBT
2dr2B_M226.pdb     -828.907914 kBT
2dr2B_M19.pdb     -1088.747302 kBT
2dr2B_M62.pdb     -983.454541 kBT
2dr2B_M81.pdb     -973.329526 kBT
2dr2B_M126.pdb     -882.259993 kBT
2dr2B_M34.pdb     -1027.608240 kBT
2dr2B_M70.pdb     -923.105097 kBT
2dr2B_M88.pdb     -929.791723 kBT
2dr2B_M335.pdb     -906.370154 kBT
2dr2B_M42.pdb     -964.595028 kBT
2dr2B_M7.pdb     -1073.949466 kBT
2dr2B_M142.pdb     -921.246905 kBT
2dr2B_M273.pdb     -843.689126 kBT
2dr2B_M241.pdb     -876.638102 kBT
2dr2B_M17.pdb     -1107.990251 kBT
2dr2B_M406.pdb     -811.019476 kBT
2dr2B_M37.pdb     -1055.867881 kBT
2dr2B_M75.pdb     -931.409537 kBT
2dr2B_M486.pdb     -781.794715 kBT
2dr2B_M265.pdb     -836.514514 kBT
2dr2B_M181.pdb     -881.366358 kBT
2dr2B_M209.pdb     -862.572130 kBT
2dr2B_M193.pdb     -862.144274 kBT
2dr2B_M175.pdb     -881.038198 kBT
2dr2B_M30.pdb     -1021.944156 kBT
2dr2B_M136.pdb     -911.586650 kBT
2dr2B_M467.pdb     -793.352070 kBT
2dr2B_M409.pdb     -754.457305 kBT
2dr2B_M171.pdb     -947.828531 kBT
2dr2B_M295.pdb     -769.021357 kBT
2dr2B_M444.pdb     -725.755820 kBT
2dr2B_M337.pdb     -822.856425 kBT
2dr2B_M96.pdb     -922.392690 kBT
2dr2B_M14.pdb     -1056.565703 kBT
2dr2B_M154.pdb     -915.775467 kBT
2dr2B_M162.pdb     -927.671963 kBT
2dr2B_M93.pdb     -966.142329 kBT
2dr2B_M257.pdb     -874.360554 kBT
2dr2B_M20.pdb     -1076.388718 kBT
2dr2B_M119.pdb     -945.470085 kBT
2dr2B_M367.pdb     -916.055977 kBT
2dr2B_M196.pdb     -854.365404 kBT
2dr2B_M384.pdb     -878.323899 kBT
2dr2B_M354.pdb     -790.423303 kBT
2dr2B_M495.pdb     -819.108022 kBT
2dr2B_M366.pdb     -889.487988 kBT
2dr2B_M146.pdb     -897.733536 kBT
2dr2B_M143.pdb     -854.813580 kBT
2dr2B_M415.pdb     -866.664173 kBT
2dr2B_M353.pdb     -824.759541 kBT
2dr2B_M382.pdb     -757.785428 kBT
2dr2B_M417.pdb     -758.125906 kBT
2dr2B_M329.pdb     -867.554186 kBT
2dr2B_M393.pdb     -820.152968 kBT
2dr2B_M204.pdb     -865.421813 kBT
2dr2B_M361.pdb     -857.835101 kBT
2dr2B_M195.pdb     -814.637383 kBT
2dr2B_M82.pdb     -957.033295 kBT
2dr2B_M184.pdb     -924.345040 kBT
2dr2B_M53.pdb     -984.464704 kBT
2dr2B_M446.pdb     -836.245951 kBT
2dr2B_M217.pdb     -877.893284 kBT
2dr2B_M49.pdb     -1004.193637 kBT
2dr2B_M460.pdb     -896.463871 kBT
2dr2B_M110.pdb     -890.693986 kBT
2dr2B_M401.pdb     -750.829607 kBT
2dr2B_M261.pdb     -888.699284 kBT
2dr2B_M258.pdb     -816.631518 kBT
2dr2B_M456.pdb     -782.720663 kBT
2dr2B_M250.pdb     -832.210698 kBT
2dr2B_M65.pdb     -1005.919362 kBT
2dr2B_M111.pdb     -917.476950 kBT
2dr2B_M324.pdb     -823.497538 kBT
2dr2B_M10.pdb     -1073.206698 kBT
2dr2B_M220.pdb     -892.461042 kBT
2dr2B_M292.pdb     -860.957016 kBT
