3gcaA_M473.pdb     -508.889906 kBT
3gcaA_M359.pdb     -547.806688 kBT
3gcaA_M413.pdb     -524.563286 kBT
3gcaA_M106.pdb     -632.421882 kBT
3gcaA_M210.pdb     -521.787752 kBT
3gcaA_M165.pdb     -557.277868 kBT
3gcaA_M207.pdb     -516.417612 kBT
3gcaA_M484.pdb     -517.616875 kBT
3gcaA_M50.pdb     -580.259966 kBT
3gcaA_M107.pdb     -578.677732 kBT
3gcaA_M333.pdb     -549.459030 kBT
3gcaA_M471.pdb     -519.573833 kBT
3gcaA_M260.pdb     -560.126475 kBT
3gcaA_M89.pdb     -580.432982 kBT
3gcaA_M477.pdb     -557.596856 kBT
3gcaA_M456.pdb     -489.111219 kBT
3gcaA_M347.pdb     -515.719363 kBT
3gcaA_M285.pdb     -568.509515 kBT
3gcaA_M150.pdb     -575.812667 kBT
3gcaA_M430.pdb     -482.919053 kBT
3gcaA_M397.pdb     -543.920886 kBT
3gcaA_M47.pdb     -618.335424 kBT
3gcaA_M324.pdb     -523.265094 kBT
3gcaA_M499.pdb     -471.091932 kBT
3gcaA_M214.pdb     -530.480111 kBT
3gcaA_M218.pdb     -549.184358 kBT
3gcaA_M315.pdb     -529.495779 kBT
3gcaA_M126.pdb     -596.643702 kBT
3gcaA_M55.pdb     -598.601229 kBT
3gcaA_M452.pdb     -588.470132 kBT
3gcaA_M441.pdb     -555.329252 kBT
3gcaA_M190.pdb     -596.833405 kBT
3gcaA_M163.pdb     -621.626547 kBT
3gcaA_M247.pdb     -588.639814 kBT
3gcaA_M334.pdb     -486.933003 kBT
3gcaA_M356.pdb     -515.605155 kBT
3gcaA_M88.pdb     -621.525554 kBT
3gcaA_M128.pdb     -556.940272 kBT
3gcaA_M216.pdb     -627.271914 kBT
3gcaA_M263.pdb     -568.270249 kBT
3gcaA_M381.pdb     -535.416785 kBT
3gcaA_M191.pdb     -530.636973 kBT
3gcaA_M490.pdb     -563.078701 kBT
3gcaA_M176.pdb     -618.440879 kBT
3gcaA_M160.pdb     -592.015576 kBT
3gcaA_M229.pdb     -479.204274 kBT
3gcaA_M59.pdb     -639.943897 kBT
3gcaA_M87.pdb     -588.351569 kBT
3gcaA_M485.pdb     -540.645625 kBT
3gcaA_M277.pdb     -543.104628 kBT
3gcaA_M201.pdb     -537.011395 kBT
3gcaA_M153.pdb     -546.996992 kBT
3gcaA_M29.pdb     -584.091840 kBT
3gcaA_M251.pdb     -499.828300 kBT
3gcaA_M45.pdb     -595.563244 kBT
3gcaA_M97.pdb     -521.331493 kBT
3gcaA_M278.pdb     -583.779695 kBT
3gcaA_M230.pdb     -655.748062 kBT
3gcaA_M70.pdb     -594.275678 kBT
3gcaA_M40.pdb     -612.587862 kBT
3gcaA_M346.pdb     -515.098662 kBT
3gcaA_M389.pdb     -586.607020 kBT
3gcaA_M189.pdb     -578.467546 kBT
3gcaA_M386.pdb     -474.962510 kBT
3gcaA_M114.pdb     -604.246099 kBT
3gcaA_M145.pdb     -571.119228 kBT
3gcaA_M378.pdb     -608.652103 kBT
3gcaA_M238.pdb     -528.989833 kBT
3gcaA_M314.pdb     -575.080388 kBT
3gcaA_M37.pdb     -633.275565 kBT
3gcaA_M180.pdb     -573.535849 kBT
3gcaA_M182.pdb     -611.297419 kBT
3gcaA_M449.pdb     -506.991385 kBT
3gcaA_M466.pdb     -560.929252 kBT
3gcaA_M167.pdb     -567.834218 kBT
3gcaA_M79.pdb     -594.096178 kBT
3gcaA_M130.pdb     -531.675942 kBT
3gcaA_M113.pdb     -604.889893 kBT
3gcaA_M500.pdb     -584.237202 kBT
3gcaA_M51.pdb     -561.161747 kBT
3gcaA_M311.pdb     -588.528961 kBT
3gcaA_M44.pdb     -625.672958 kBT
3gcaA_M293.pdb     -607.933832 kBT
3gcaA_M6.pdb     -621.566154 kBT
3gcaA_M295.pdb     -483.379602 kBT
3gcaA_M488.pdb     -482.562420 kBT
3gcaA_M418.pdb     -548.878912 kBT
3gcaA_M281.pdb     -544.942305 kBT
3gcaA_M446.pdb     -519.194578 kBT
3gcaA_M294.pdb     -515.797864 kBT
3gcaA_M274.pdb     -515.982274 kBT
3gcaA_M135.pdb     -573.991760 kBT
3gcaA_M458.pdb     -511.451395 kBT
3gcaA_M457.pdb     -482.412183 kBT
3gcaA_M395.pdb     -478.618068 kBT
3gcaA_M472.pdb     -486.803756 kBT
3gcaA_M120.pdb     -585.564514 kBT
3gcaA_M127.pdb     -585.565445 kBT
3gcaA_M54.pdb     -556.238785 kBT
3gcaA_M108.pdb     -573.693595 kBT
3gcaA_M117.pdb     -588.094369 kBT
3gcaA_M119.pdb     -553.890306 kBT
3gcaA_M123.pdb     -581.672649 kBT
3gcaA_M170.pdb     -505.118632 kBT
3gcaA_M338.pdb     -613.943969 kBT
3gcaA_M246.pdb     -558.734221 kBT
3gcaA_M365.pdb     -553.126477 kBT
3gcaA_M437.pdb     -531.979916 kBT
3gcaA_M330.pdb     -574.104266 kBT
3gcaA_M432.pdb     -478.856871 kBT
3gcaA_M25.pdb     -565.019419 kBT
3gcaA_M328.pdb     -562.366248 kBT
3gcaA_M332.pdb     -523.601809 kBT
3gcaA_M470.pdb     -526.105328 kBT
3gcaA_M454.pdb     -494.597515 kBT
3gcaA_M404.pdb     -539.421573 kBT
3gcaA_M151.pdb     -567.584598 kBT
3gcaA_M308.pdb     -567.609922 kBT
3gcaA_M420.pdb     -568.679739 kBT
3gcaA_M181.pdb     -576.545426 kBT
3gcaA_M425.pdb     -557.573890 kBT
3gcaA_M453.pdb     -448.898253 kBT
3gcaA_M467.pdb     -595.423597 kBT
3gcaA_M185.pdb     -599.539799 kBT
3gcaA_M221.pdb     -511.727559 kBT
3gcaA_M137.pdb     -525.347057 kBT
3gcaA_M41.pdb     -587.286755 kBT
3gcaA_M223.pdb     -581.766841 kBT
3gcaA_M177.pdb     -560.658426 kBT
3gcaA_M162.pdb     -587.428534 kBT
3gcaA_M77.pdb     -597.772849 kBT
3gcaA_M105.pdb     -562.373282 kBT
3gcaA_M48.pdb     -568.479630 kBT
3gcaA_M341.pdb     -512.623974 kBT
3gcaA_M213.pdb     -548.843799 kBT
3gcaA_M82.pdb     -622.421778 kBT
3gcaA_M369.pdb     -600.856201 kBT
3gcaA_M8.pdb     -648.489670 kBT
3gcaA_M445.pdb     -547.994540 kBT
3gcaA_M250.pdb     -518.869259 kBT
3gcaA_M377.pdb     -548.322798 kBT
3gcaA_M408.pdb     -554.153932 kBT
3gcaA_M132.pdb     -494.441122 kBT
3gcaA_M30.pdb     -635.152960 kBT
3gcaA_M292.pdb     -588.335724 kBT
3gcaA_M172.pdb     -588.061782 kBT
3gcaA_M245.pdb     -572.187536 kBT
3gcaA_M487.pdb     -475.611144 kBT
3gcaA_M231.pdb     -475.288020 kBT
3gcaA_M297.pdb     -521.886416 kBT
3gcaA_M384.pdb     -597.165503 kBT
3gcaA_M360.pdb     -581.671160 kBT
3gcaA_M476.pdb     -571.067511 kBT
3gcaA_M62.pdb     -621.402029 kBT
3gcaA_M58.pdb     -634.522951 kBT
3gcaA_M379.pdb     -552.597631 kBT
3gcaA_M298.pdb     -463.642315 kBT
3gcaA_M192.pdb     -592.304628 kBT
3gcaA_M364.pdb     -526.399591 kBT
3gcaA_M370.pdb     -495.755001 kBT
3gcaA_M289.pdb     -567.738590 kBT
3gcaA_M483.pdb     -533.545833 kBT
3gcaA_M349.pdb     -467.562981 kBT
3gcaA_M391.pdb     -502.520594 kBT
3gcaA_M80.pdb     -548.543409 kBT
3gcaA_M24.pdb     -609.817647 kBT
3gcaA_M175.pdb     -496.147544 kBT
3gcaA_M22.pdb     -626.267800 kBT
3gcaA_M252.pdb     -526.414798 kBT
3gcaA_M155.pdb     -610.032434 kBT
3gcaA_M61.pdb     -593.331492 kBT
3gcaA_M284.pdb     -472.060747 kBT
3gcaA_M56.pdb     -591.455326 kBT
3gcaA_M468.pdb     -482.227902 kBT
3gcaA_M401.pdb     -502.858397 kBT
3gcaA_M438.pdb     -542.498430 kBT
3gcaA_M355.pdb     -559.856793 kBT
3gcaA_M336.pdb     -548.236654 kBT
3gcaA_M357.pdb     -589.380674 kBT
3gcaA_M71.pdb     -571.463251 kBT
3gcaA_M159.pdb     -569.724989 kBT
3gcaA_M266.pdb     -573.940364 kBT
3gcaA_M7.pdb     -608.885811 kBT
3gcaA_M241.pdb     -582.296818 kBT
3gcaA_M68.pdb     -595.763019 kBT
3gcaA_M411.pdb     -512.568525 kBT
3gcaA_M388.pdb     -677.561596 kBT
3gcaA_M317.pdb     -642.209304 kBT
3gcaA_M290.pdb     -557.159253 kBT
3gcaA_M433.pdb     -480.665099 kBT
3gcaA_M486.pdb     -463.845480 kBT
3gcaA_M407.pdb     -506.611351 kBT
3gcaA_M262.pdb     -541.924025 kBT
3gcaA_M429.pdb     -634.274184 kBT
3gcaA_M492.pdb     -530.752720 kBT
3gcaA_M225.pdb     -582.488264 kBT
3gcaA_M350.pdb     -620.501171 kBT
3gcaA_M224.pdb     -593.673531 kBT
3gcaA_M475.pdb     -527.480938 kBT
3gcaA_M63.pdb     -557.130680 kBT
3gcaA_M96.pdb     -572.434517 kBT
3gcaA_M275.pdb     -573.121246 kBT
3gcaA_M255.pdb     -557.514603 kBT
3gcaA_M164.pdb     -583.853834 kBT
3gcaA_M115.pdb     -580.155991 kBT
3gcaA_M326.pdb     -578.809307 kBT
3gcaA_M375.pdb     -474.972975 kBT
3gcaA_M23.pdb     -628.433913 kBT
3gcaA_M416.pdb     -564.805327 kBT
3gcaA_M10.pdb     -616.582379 kBT
3gcaA_M18.pdb     -634.790592 kBT
3gcaA_M219.pdb     -533.498359 kBT
3gcaA_M272.pdb     -559.593025 kBT
3gcaA_M385.pdb     -460.674881 kBT
3gcaA_M36.pdb     -600.481210 kBT
3gcaA_M419.pdb     -562.493339 kBT
3gcaA_M304.pdb     -551.824273 kBT
3gcaA_M16.pdb     -620.180282 kBT
3gcaA_M422.pdb     -599.275859 kBT
3gcaA_M212.pdb     -548.660095 kBT
3gcaA_M168.pdb     -506.611383 kBT
3gcaA_M21.pdb     -637.342872 kBT
3gcaA_M239.pdb     -615.190071 kBT
3gcaA_M208.pdb     -599.712259 kBT
3gcaA_M306.pdb     -534.333876 kBT
3gcaA_M149.pdb     -545.305363 kBT
3gcaA_M236.pdb     -503.455578 kBT
3gcaA_M15.pdb     -635.845413 kBT
3gcaA_M65.pdb     -554.988071 kBT
3gcaA_M183.pdb     -554.062207 kBT
3gcaA_M303.pdb     -550.857081 kBT
3gcaA_M254.pdb     -567.221895 kBT
3gcaA_M52.pdb     -556.188596 kBT
3gcaA_M158.pdb     -569.390284 kBT
3gcaA_M157.pdb     -590.020193 kBT
3gcaA_M202.pdb     -549.312113 kBT
3gcaA_M309.pdb     -638.197927 kBT
3gcaA_M450.pdb     -582.303499 kBT
3gcaA_M43.pdb     -587.152417 kBT
3gcaA_M91.pdb     -585.640344 kBT
3gcaA_M405.pdb     -534.797815 kBT
3gcaA_M103.pdb     -527.229130 kBT
3gcaA_M282.pdb     -549.786997 kBT
3gcaA_M371.pdb     -547.894477 kBT
3gcaA_M139.pdb     -517.239464 kBT
3gcaA_M265.pdb     -480.581711 kBT
3gcaA_M494.pdb     -501.385453 kBT
3gcaA_M187.pdb     -576.458715 kBT
3gcaA_M198.pdb     -506.709547 kBT
3gcaA_M249.pdb     -539.850708 kBT
3gcaA_M35.pdb     -637.395609 kBT
3gcaA_M335.pdb     -548.397879 kBT
3gcaA_M269.pdb     -472.059469 kBT
3gcaA_M459.pdb     -536.905779 kBT
3gcaA_M200.pdb     -514.421907 kBT
3gcaA_M342.pdb     -561.948909 kBT
3gcaA_M270.pdb     -562.315250 kBT
3gcaA_M26.pdb     -627.178203 kBT
3gcaA_M258.pdb     -584.027523 kBT
3gcaA_M204.pdb     -594.408662 kBT
3gcaA_M393.pdb     -503.676090 kBT
3gcaA_M146.pdb     -562.942519 kBT
3gcaA_M409.pdb     -513.734042 kBT
3gcaA_M398.pdb     -568.301455 kBT
3gcaA_M1.pdb     -616.940843 kBT
3gcaA_M286.pdb     -622.589325 kBT
3gcaA_M424.pdb     -464.149767 kBT
3gcaA_M13.pdb     -634.374623 kBT
3gcaA_M122.pdb     -591.711254 kBT
3gcaA_M481.pdb     -583.881778 kBT
3gcaA_M288.pdb     -562.484614 kBT
3gcaA_M74.pdb     -615.436121 kBT
3gcaA_M461.pdb     -555.779021 kBT
3gcaA_M233.pdb     -568.190195 kBT
3gcaA_M226.pdb     -613.136898 kBT
3gcaA_M138.pdb     -512.658597 kBT
3gcaA_M436.pdb     -533.183184 kBT
3gcaA_M125.pdb     -531.839288 kBT
3gcaA_M343.pdb     -591.267048 kBT
3gcaA_M34.pdb     -625.351408 kBT
3gcaA_M240.pdb     -573.588296 kBT
3gcaA_M215.pdb     -556.982110 kBT
3gcaA_M209.pdb     -547.572986 kBT
3gcaA_M312.pdb     -575.784821 kBT
3gcaA_M383.pdb     -575.822309 kBT
3gcaA_M396.pdb     -528.458412 kBT
3gcaA_M148.pdb     -528.999521 kBT
3gcaA_M203.pdb     -576.764013 kBT
3gcaA_M447.pdb     -500.829761 kBT
3gcaA_M53.pdb     -609.471708 kBT
3gcaA_M431.pdb     -547.097229 kBT
3gcaA_M374.pdb     -509.516131 kBT
3gcaA_M390.pdb     -538.018694 kBT
3gcaA_M497.pdb     -532.941090 kBT
3gcaA_M273.pdb     -528.627302 kBT
3gcaA_M387.pdb     -526.061585 kBT
3gcaA_M131.pdb     -577.498566 kBT
3gcaA_M32.pdb     -638.370550 kBT
3gcaA_M121.pdb     -565.543990 kBT
3gcaA_M98.pdb     -571.218827 kBT
3gcaA_M261.pdb     -487.651189 kBT
3gcaA_M493.pdb     -616.898955 kBT
3gcaA_M464.pdb     -514.517720 kBT
3gcaA_M49.pdb     -658.305131 kBT
3gcaA_M482.pdb     -574.714053 kBT
3gcaA_M174.pdb     -498.822626 kBT
3gcaA_M42.pdb     -596.449743 kBT
3gcaA_M206.pdb     -552.865446 kBT
3gcaA_M205.pdb     -556.172302 kBT
3gcaA_M28.pdb     -615.099973 kBT
3gcaA_M227.pdb     -544.834491 kBT
3gcaA_M95.pdb     -586.358757 kBT
3gcaA_M474.pdb     -523.712369 kBT
3gcaA_M11.pdb     -624.314465 kBT
3gcaA_M423.pdb     -555.196729 kBT
3gcaA_M166.pdb     -526.481067 kBT
3gcaA_M20.pdb     -611.643364 kBT
3gcaA_M2.pdb     -621.924088 kBT
3gcaA_M69.pdb     -549.645126 kBT
3gcaA_M141.pdb     -532.376079 kBT
3gcaA_M259.pdb     -573.308515 kBT
3gcaA_M496.pdb     -545.099923 kBT
3gcaA_M353.pdb     -567.780821 kBT
3gcaA_M465.pdb     -531.176167 kBT
3gcaA_M67.pdb     -565.552062 kBT
3gcaA_M469.pdb     -607.209778 kBT
3gcaA_M92.pdb     -601.469067 kBT
3gcaA_M267.pdb     -530.781243 kBT
3gcaA_M443.pdb     -536.498423 kBT
3gcaA_M410.pdb     -537.953951 kBT
3gcaA_M435.pdb     -556.423916 kBT
3gcaA_M348.pdb     -505.612602 kBT
3gcaA_M76.pdb     -545.874136 kBT
3gcaA_M102.pdb     -655.321128 kBT
3gcaA_M129.pdb     -589.038758 kBT
3gcaA_M271.pdb     -561.479954 kBT
3gcaA_M372.pdb     -574.599043 kBT
3gcaA_M178.pdb     -582.336171 kBT
3gcaA_M116.pdb     -593.106784 kBT
3gcaA_M380.pdb     -591.430642 kBT
3gcaA_M276.pdb     -559.028009 kBT
3gcaA_M4.pdb     -617.432356 kBT
3gcaA_M9.pdb     -633.250802 kBT
3gcaA_M256.pdb     -572.109066 kBT
3gcaA_M296.pdb     -537.591843 kBT
3gcaA_M491.pdb     -482.637744 kBT
3gcaA_M64.pdb     -584.837405 kBT
3gcaA_M394.pdb     -558.070722 kBT
3gcaA_M248.pdb     -563.150188 kBT
3gcaA_M451.pdb     -531.206091 kBT
3gcaA_M134.pdb     -576.169842 kBT
3gcaA_M197.pdb     -541.933671 kBT
3gcaA_M39.pdb     -578.035839 kBT
3gcaA_M434.pdb     -571.708852 kBT
3gcaA_M60.pdb     -592.443608 kBT
3gcaA_M279.pdb     -595.987742 kBT
3gcaA_M72.pdb     -575.439616 kBT
3gcaA_M147.pdb     -570.627684 kBT
3gcaA_M118.pdb     -580.197903 kBT
3gcaA_M406.pdb     -539.319838 kBT
3gcaA_M234.pdb     -574.886755 kBT
3gcaA_M33.pdb     -617.179198 kBT
3gcaA_M323.pdb     -572.257292 kBT
3gcaA_M242.pdb     -568.446567 kBT
3gcaA_M442.pdb     -575.368009 kBT
3gcaA_M344.pdb     -543.058064 kBT
3gcaA_M161.pdb     -585.648848 kBT
3gcaA_M382.pdb     -596.211118 kBT
3gcaA_M220.pdb     -635.871205 kBT
3gcaA_M195.pdb     -552.689021 kBT
3gcaA_M480.pdb     -504.454755 kBT
3gcaA_M358.pdb     -556.234301 kBT
3gcaA_M257.pdb     -458.055625 kBT
3gcaA_M439.pdb     -531.205438 kBT
3gcaA_M331.pdb     -548.521693 kBT
3gcaA_M316.pdb     -591.117835 kBT
3gcaA_M414.pdb     -489.076412 kBT
3gcaA_M327.pdb     -542.154566 kBT
3gcaA_M319.pdb     -562.369235 kBT
3gcaA_M27.pdb     -594.729136 kBT
3gcaA_M368.pdb     -495.876635 kBT
3gcaA_M186.pdb     -589.146997 kBT
3gcaA_M110.pdb     -552.161746 kBT
3gcaA_M361.pdb     -516.772737 kBT
3gcaA_M237.pdb     -580.722955 kBT
3gcaA_M31.pdb     -599.833482 kBT
3gcaA_M196.pdb     -578.484851 kBT
3gcaA_M101.pdb     -587.831764 kBT
3gcaA_M228.pdb     -555.536987 kBT
3gcaA_M171.pdb     -488.448057 kBT
3gcaA_M253.pdb     -571.138830 kBT
3gcaA_M329.pdb     -576.703350 kBT
3gcaA_M305.pdb     -606.917141 kBT
3gcaA_M211.pdb     -532.661419 kBT
3gcaA_M142.pdb     -565.729551 kBT
3gcaA_M302.pdb     -536.044285 kBT
3gcaA_M85.pdb     -562.214178 kBT
3gcaA_M478.pdb     -562.853789 kBT
3gcaA_M188.pdb     -542.031944 kBT
3gcaA_M310.pdb     -508.884317 kBT
3gcaA_M112.pdb     -568.660773 kBT
3gcaA_M143.pdb     -537.918250 kBT
3gcaA_M376.pdb     -529.740337 kBT
3gcaA_M140.pdb     -548.079641 kBT
3gcaA_M299.pdb     -518.786210 kBT
