1mjiD_M86.pdb     -531.756494 kBT
1mjiD_M453.pdb     -427.863830 kBT
1mjiD_M34.pdb     -539.122009 kBT
1mjiD_M208.pdb     -423.974923 kBT
1mjiD_M436.pdb     -498.549287 kBT
1mjiD_M155.pdb     -510.456607 kBT
1mjiD_M457.pdb     -415.559650 kBT
1mjiD_M24.pdb     -579.579432 kBT
1mjiD_M352.pdb     -438.306954 kBT
1mjiD_M13.pdb     -547.632352 kBT
1mjiD_M348.pdb     -460.106406 kBT
1mjiD_M163.pdb     -539.100543 kBT
1mjiD_M483.pdb     -326.463095 kBT
1mjiD_M29.pdb     -522.442956 kBT
1mjiD_M448.pdb     -404.306627 kBT
1mjiD_M23.pdb     -549.556210 kBT
1mjiD_M82.pdb     -555.074418 kBT
1mjiD_M398.pdb     -431.003197 kBT
1mjiD_M458.pdb     -498.716491 kBT
1mjiD_M109.pdb     -491.489842 kBT
1mjiD_M338.pdb     -481.074142 kBT
1mjiD_M9.pdb     -552.656588 kBT
1mjiD_M17.pdb     -586.305911 kBT
1mjiD_M189.pdb     -496.206494 kBT
1mjiD_M337.pdb     -494.497125 kBT
1mjiD_M297.pdb     -490.584683 kBT
1mjiD_M258.pdb     -451.272745 kBT
1mjiD_M214.pdb     -459.549724 kBT
1mjiD_M365.pdb     -439.944584 kBT
1mjiD_M52.pdb     -519.736573 kBT
1mjiD_M220.pdb     -444.654330 kBT
1mjiD_M419.pdb     -388.482085 kBT
1mjiD_M414.pdb     -540.403252 kBT
1mjiD_M138.pdb     -456.091526 kBT
1mjiD_M425.pdb     -441.511849 kBT
1mjiD_M473.pdb     -360.678358 kBT
1mjiD_M114.pdb     -497.820888 kBT
1mjiD_M172.pdb     -498.619134 kBT
1mjiD_M95.pdb     -470.496750 kBT
1mjiD_M144.pdb     -491.277542 kBT
1mjiD_M407.pdb     -416.877642 kBT
1mjiD_M75.pdb     -507.808262 kBT
1mjiD_M235.pdb     -401.511747 kBT
1mjiD_M273.pdb     -511.667808 kBT
1mjiD_M20.pdb     -555.950508 kBT
1mjiD_M472.pdb     -449.015197 kBT
1mjiD_M449.pdb     -418.792134 kBT
1mjiD_M218.pdb     -405.651990 kBT
1mjiD_M313.pdb     -426.019746 kBT
1mjiD_M63.pdb     -582.949670 kBT
1mjiD_M161.pdb     -513.720125 kBT
1mjiD_M131.pdb     -502.604599 kBT
1mjiD_M108.pdb     -489.233147 kBT
1mjiD_M8.pdb     -553.601280 kBT
1mjiD_M96.pdb     -477.282012 kBT
1mjiD_M311.pdb     -473.090893 kBT
1mjiD_M369.pdb     -473.978150 kBT
1mjiD_M496.pdb     -437.198901 kBT
1mjiD_M217.pdb     -409.882736 kBT
1mjiD_M232.pdb     -534.277123 kBT
1mjiD_M50.pdb     -584.864261 kBT
1mjiD_M417.pdb     -469.151350 kBT
1mjiD_M83.pdb     -502.712805 kBT
1mjiD_M31.pdb     -541.939398 kBT
1mjiD_M495.pdb     -494.542310 kBT
1mjiD_M260.pdb     -443.229125 kBT
1mjiD_M71.pdb     -560.394219 kBT
1mjiD_M168.pdb     -484.368265 kBT
1mjiD_M54.pdb     -552.578606 kBT
1mjiD_M329.pdb     -454.193192 kBT
1mjiD_M413.pdb     -429.561344 kBT
1mjiD_M166.pdb     -499.210401 kBT
1mjiD_M156.pdb     -537.982918 kBT
1mjiD_M279.pdb     -386.936733 kBT
1mjiD_M465.pdb     -463.567642 kBT
1mjiD_M318.pdb     -420.494197 kBT
1mjiD_M222.pdb     -545.470521 kBT
1mjiD_M394.pdb     -403.175149 kBT
1mjiD_M437.pdb     -467.374809 kBT
1mjiD_M103.pdb     -530.333683 kBT
1mjiD_M10.pdb     -535.290468 kBT
1mjiD_M3.pdb     -561.668796 kBT
1mjiD_M92.pdb     -557.814106 kBT
1mjiD_M362.pdb     -488.406246 kBT
1mjiD_M120.pdb     -510.309723 kBT
1mjiD_M280.pdb     -500.452934 kBT
1mjiD_M421.pdb     -461.217905 kBT
1mjiD_M140.pdb     -488.526309 kBT
1mjiD_M151.pdb     -507.862280 kBT
1mjiD_M467.pdb     -339.988969 kBT
1mjiD_M73.pdb     -510.346413 kBT
1mjiD_M27.pdb     -548.513466 kBT
1mjiD_M128.pdb     -485.445488 kBT
1mjiD_M72.pdb     -515.944315 kBT
1mjiD_M225.pdb     -459.193281 kBT
1mjiD_M281.pdb     -517.772135 kBT
1mjiD_M143.pdb     -483.194319 kBT
1mjiD_M43.pdb     -509.824501 kBT
1mjiD_M201.pdb     -516.090790 kBT
1mjiD_M470.pdb     -435.852139 kBT
1mjiD_M336.pdb     -491.367846 kBT
1mjiD_M35.pdb     -560.592994 kBT
1mjiD_M184.pdb     -465.624407 kBT
1mjiD_M39.pdb     -586.632707 kBT
1mjiD_M107.pdb     -518.443651 kBT
1mjiD_M404.pdb     -468.811784 kBT
1mjiD_M84.pdb     -496.162192 kBT
1mjiD_M129.pdb     -512.717838 kBT
1mjiD_M192.pdb     -542.716129 kBT
1mjiD_M306.pdb     -487.284595 kBT
1mjiD_M230.pdb     -499.944180 kBT
1mjiD_M249.pdb     -460.750628 kBT
1mjiD_M373.pdb     -423.223405 kBT
1mjiD_M89.pdb     -469.154864 kBT
1mjiD_M19.pdb     -587.542915 kBT
1mjiD_M223.pdb     -489.250145 kBT
1mjiD_M367.pdb     -475.772338 kBT
1mjiD_M415.pdb     -439.140455 kBT
1mjiD_M182.pdb     -507.257484 kBT
1mjiD_M238.pdb     -463.518289 kBT
1mjiD_M210.pdb     -458.856821 kBT
1mjiD_M104.pdb     -474.724146 kBT
1mjiD_M125.pdb     -532.726115 kBT
1mjiD_M439.pdb     -446.302942 kBT
1mjiD_M408.pdb     -359.538385 kBT
1mjiD_M206.pdb     -489.097522 kBT
1mjiD_M316.pdb     -449.031900 kBT
1mjiD_M165.pdb     -491.778758 kBT
1mjiD_M422.pdb     -382.943970 kBT
1mjiD_M303.pdb     -471.691312 kBT
1mjiD_M446.pdb     -491.158038 kBT
1mjiD_M190.pdb     -441.333409 kBT
1mjiD_M18.pdb     -580.327343 kBT
1mjiD_M228.pdb     -462.041484 kBT
1mjiD_M475.pdb     -361.360126 kBT
1mjiD_M315.pdb     -435.662536 kBT
1mjiD_M372.pdb     -467.479242 kBT
1mjiD_M174.pdb     -451.298396 kBT
1mjiD_M141.pdb     -509.751688 kBT
1mjiD_M430.pdb     -454.833944 kBT
1mjiD_M444.pdb     -434.614611 kBT
1mjiD_M387.pdb     -425.691979 kBT
1mjiD_M382.pdb     -437.794505 kBT
1mjiD_M124.pdb     -488.314336 kBT
1mjiD_M46.pdb     -579.224051 kBT
1mjiD_M391.pdb     -449.333091 kBT
1mjiD_M499.pdb     -444.299192 kBT
1mjiD_M381.pdb     -469.283361 kBT
1mjiD_M207.pdb     -575.330558 kBT
1mjiD_M478.pdb     -337.537793 kBT
1mjiD_M30.pdb     -546.988097 kBT
1mjiD_M226.pdb     -409.772351 kBT
1mjiD_M440.pdb     -388.790159 kBT
1mjiD_M256.pdb     -412.735233 kBT
1mjiD_M11.pdb     -577.924668 kBT
1mjiD_M443.pdb     -458.880629 kBT
1mjiD_M442.pdb     -477.841465 kBT
1mjiD_M22.pdb     -536.424578 kBT
1mjiD_M429.pdb     -439.271605 kBT
1mjiD_M76.pdb     -512.765836 kBT
1mjiD_M359.pdb     -437.788410 kBT
1mjiD_M451.pdb     -438.601070 kBT
1mjiD_M110.pdb     -490.829450 kBT
1mjiD_M99.pdb     -479.975301 kBT
1mjiD_M269.pdb     -515.175622 kBT
1mjiD_M177.pdb     -501.140786 kBT
1mjiD_M278.pdb     -481.959904 kBT
1mjiD_M15.pdb     -555.399075 kBT
1mjiD_M41.pdb     -490.309209 kBT
1mjiD_M259.pdb     -441.313828 kBT
1mjiD_M461.pdb     -482.193587 kBT
1mjiD_M44.pdb     -544.883779 kBT
1mjiD_M388.pdb     -429.351928 kBT
1mjiD_M196.pdb     -466.290609 kBT
1mjiD_M193.pdb     -538.167289 kBT
1mjiD_M88.pdb     -513.623728 kBT
1mjiD_M40.pdb     -520.184947 kBT
1mjiD_M266.pdb     -471.389214 kBT
1mjiD_M183.pdb     -441.030704 kBT
1mjiD_M106.pdb     -546.265911 kBT
1mjiD_M366.pdb     -411.926729 kBT
1mjiD_M243.pdb     -521.117427 kBT
1mjiD_M485.pdb     -511.888744 kBT
1mjiD_M308.pdb     -445.374310 kBT
1mjiD_M403.pdb     -482.169320 kBT
1mjiD_M484.pdb     -391.502701 kBT
1mjiD_M424.pdb     -434.923444 kBT
1mjiD_M343.pdb     -436.350828 kBT
1mjiD_M493.pdb     -471.457695 kBT
1mjiD_M146.pdb     -465.105608 kBT
1mjiD_M248.pdb     -478.170494 kBT
1mjiD_M56.pdb     -481.849530 kBT
1mjiD_M374.pdb     -481.249664 kBT
1mjiD_M312.pdb     -466.641127 kBT
1mjiD_M342.pdb     -503.711654 kBT
1mjiD_M200.pdb     -508.557501 kBT
1mjiD_M145.pdb     -530.804395 kBT
1mjiD_M270.pdb     -476.475639 kBT
1mjiD_M118.pdb     -479.893917 kBT
1mjiD_M147.pdb     -512.020124 kBT
1mjiD_M149.pdb     -500.797794 kBT
1mjiD_M36.pdb     -518.898708 kBT
1mjiD_M91.pdb     -520.827497 kBT
1mjiD_M400.pdb     -479.737708 kBT
1mjiD_M401.pdb     -461.185621 kBT
1mjiD_M244.pdb     -398.699600 kBT
1mjiD_M489.pdb     -456.723025 kBT
1mjiD_M211.pdb     -484.445429 kBT
1mjiD_M487.pdb     -453.452107 kBT
1mjiD_M157.pdb     -473.518862 kBT
1mjiD_M213.pdb     -476.420295 kBT
1mjiD_M289.pdb     -507.047244 kBT
1mjiD_M94.pdb     -438.155788 kBT
1mjiD_M64.pdb     -579.011567 kBT
1mjiD_M237.pdb     -456.258928 kBT
1mjiD_M434.pdb     -498.763130 kBT
1mjiD_M344.pdb     -510.073600 kBT
1mjiD_M221.pdb     -433.729159 kBT
1mjiD_M261.pdb     -473.884533 kBT
1mjiD_M477.pdb     -449.374959 kBT
1mjiD_M204.pdb     -519.087821 kBT
1mjiD_M68.pdb     -556.852183 kBT
1mjiD_M464.pdb     -422.133073 kBT
1mjiD_M328.pdb     -508.028323 kBT
1mjiD_M240.pdb     -481.016795 kBT
1mjiD_M450.pdb     -453.770742 kBT
1mjiD_M384.pdb     -410.321184 kBT
1mjiD_M254.pdb     -446.931404 kBT
1mjiD_M162.pdb     -491.526723 kBT
1mjiD_M323.pdb     -451.064611 kBT
1mjiD_M136.pdb     -495.209500 kBT
1mjiD_M224.pdb     -517.535067 kBT
1mjiD_M38.pdb     -548.619296 kBT
1mjiD_M45.pdb     -492.485257 kBT
1mjiD_M255.pdb     -502.503343 kBT
1mjiD_M271.pdb     -506.528507 kBT
1mjiD_M123.pdb     -492.932007 kBT
1mjiD_M62.pdb     -509.327703 kBT
1mjiD_M7.pdb     -544.255505 kBT
1mjiD_M460.pdb     -427.843464 kBT
1mjiD_M32.pdb     -563.109959 kBT
1mjiD_M160.pdb     -485.265375 kBT
1mjiD_M2.pdb     -548.255975 kBT
1mjiD_M498.pdb     -427.415835 kBT
1mjiD_M65.pdb     -459.592495 kBT
1mjiD_M397.pdb     -460.620296 kBT
1mjiD_M432.pdb     -502.096727 kBT
1mjiD_M188.pdb     -485.047970 kBT
1mjiD_M360.pdb     -459.610425 kBT
1mjiD_M181.pdb     -527.039790 kBT
1mjiD_M295.pdb     -443.025978 kBT
1mjiD_M333.pdb     -495.850734 kBT
1mjiD_M274.pdb     -501.483080 kBT
1mjiD_M267.pdb     -457.004473 kBT
1mjiD_M236.pdb     -447.120622 kBT
1mjiD_M471.pdb     -395.138243 kBT
1mjiD_M80.pdb     -502.424545 kBT
1mjiD_M399.pdb     -445.579318 kBT
1mjiD_M353.pdb     -468.471501 kBT
1mjiD_M482.pdb     -398.462371 kBT
1mjiD_M409.pdb     -353.649504 kBT
1mjiD_M264.pdb     -528.790300 kBT
1mjiD_M42.pdb     -580.607815 kBT
1mjiD_M4.pdb     -561.811008 kBT
1mjiD_M392.pdb     -407.649454 kBT
1mjiD_M117.pdb     -548.325277 kBT
1mjiD_M290.pdb     -391.222066 kBT
1mjiD_M317.pdb     -376.376223 kBT
1mjiD_M152.pdb     -497.810909 kBT
1mjiD_M134.pdb     -531.581272 kBT
1mjiD_M452.pdb     -369.702589 kBT
1mjiD_M500.pdb     -441.848940 kBT
1mjiD_M469.pdb     -456.795216 kBT
1mjiD_M231.pdb     -460.623318 kBT
1mjiD_M159.pdb     -544.084807 kBT
1mjiD_M447.pdb     -429.560828 kBT
1mjiD_M310.pdb     -540.551401 kBT
1mjiD_M492.pdb     -509.471977 kBT
1mjiD_M298.pdb     -385.623411 kBT
1mjiD_M78.pdb     -510.492327 kBT
1mjiD_M113.pdb     -506.215733 kBT
1mjiD_M377.pdb     -431.815892 kBT
1mjiD_M332.pdb     -446.086307 kBT
1mjiD_M250.pdb     -458.421649 kBT
1mjiD_M305.pdb     -439.147371 kBT
1mjiD_M100.pdb     -488.044820 kBT
1mjiD_M186.pdb     -528.740704 kBT
1mjiD_M379.pdb     -510.653871 kBT
1mjiD_M219.pdb     -471.499654 kBT
1mjiD_M476.pdb     -375.076265 kBT
1mjiD_M37.pdb     -536.294055 kBT
1mjiD_M158.pdb     -446.532564 kBT
1mjiD_M491.pdb     -417.732054 kBT
1mjiD_M175.pdb     -491.679859 kBT
1mjiD_M70.pdb     -492.181694 kBT
1mjiD_M216.pdb     -494.496211 kBT
1mjiD_M341.pdb     -436.596550 kBT
1mjiD_M426.pdb     -490.497029 kBT
1mjiD_M327.pdb     -444.313069 kBT
1mjiD_M51.pdb     -488.710816 kBT
1mjiD_M233.pdb     -478.543517 kBT
1mjiD_M427.pdb     -430.598124 kBT
1mjiD_M199.pdb     -415.184350 kBT
1mjiD_M435.pdb     -499.067391 kBT
1mjiD_M98.pdb     -478.786908 kBT
1mjiD_M494.pdb     -470.082621 kBT
1mjiD_M187.pdb     -442.673602 kBT
1mjiD_M5.pdb     -555.851706 kBT
1mjiD_M293.pdb     -514.184697 kBT
1mjiD_M241.pdb     -430.107421 kBT
1mjiD_M198.pdb     -466.887110 kBT
1mjiD_M53.pdb     -537.870371 kBT
1mjiD_M47.pdb     -554.336501 kBT
1mjiD_M325.pdb     -515.059181 kBT
1mjiD_M59.pdb     -565.381633 kBT
1mjiD_M354.pdb     -475.699060 kBT
1mjiD_M340.pdb     -421.289112 kBT
1mjiD_M330.pdb     -453.898965 kBT
1mjiD_M194.pdb     -410.969349 kBT
1mjiD_M299.pdb     -458.248959 kBT
1mjiD_M386.pdb     -523.678764 kBT
1mjiD_M294.pdb     -405.577114 kBT
1mjiD_M454.pdb     -417.568784 kBT
1mjiD_M33.pdb     -494.829822 kBT
1mjiD_M170.pdb     -475.225124 kBT
1mjiD_M301.pdb     -464.046880 kBT
1mjiD_M195.pdb     -474.728074 kBT
1mjiD_M411.pdb     -536.810715 kBT
1mjiD_M314.pdb     -443.394820 kBT
1mjiD_M405.pdb     -520.301248 kBT
1mjiD_M55.pdb     -489.635967 kBT
1mjiD_M173.pdb     -466.487296 kBT
1mjiD_M375.pdb     -454.625727 kBT
1mjiD_M287.pdb     -357.653175 kBT
1mjiD_M137.pdb     -483.717421 kBT
1mjiD_M150.pdb     -500.718624 kBT
1mjiD_M292.pdb     -501.811620 kBT
1mjiD_M358.pdb     -463.289206 kBT
1mjiD_M321.pdb     -460.732935 kBT
1mjiD_M49.pdb     -557.618543 kBT
1mjiD_M324.pdb     -507.890391 kBT
1mjiD_M385.pdb     -465.962732 kBT
1mjiD_M346.pdb     -435.618690 kBT
1mjiD_M133.pdb     -527.370610 kBT
1mjiD_M139.pdb     -536.170887 kBT
1mjiD_M265.pdb     -446.840608 kBT
1mjiD_M282.pdb     -492.280621 kBT
1mjiD_M67.pdb     -502.376117 kBT
1mjiD_M87.pdb     -522.566946 kBT
1mjiD_M480.pdb     -438.679819 kBT
1mjiD_M234.pdb     -431.192416 kBT
1mjiD_M185.pdb     -429.694369 kBT
1mjiD_M167.pdb     -489.106559 kBT
1mjiD_M154.pdb     -485.335443 kBT
1mjiD_M322.pdb     -542.930286 kBT
1mjiD_M205.pdb     -476.491041 kBT
1mjiD_M351.pdb     -494.269379 kBT
1mjiD_M180.pdb     -520.528168 kBT
1mjiD_M61.pdb     -556.125337 kBT
1mjiD_M302.pdb     -454.074465 kBT
1mjiD_M105.pdb     -568.921493 kBT
1mjiD_M202.pdb     -463.593322 kBT
1mjiD_M69.pdb     -492.598752 kBT
1mjiD_M268.pdb     -543.526292 kBT
1mjiD_M433.pdb     -422.633425 kBT
1mjiD_M246.pdb     -464.948817 kBT
1mjiD_M97.pdb     -490.564189 kBT
1mjiD_M21.pdb     -546.929385 kBT
1mjiD_M253.pdb     -465.433156 kBT
1mjiD_M77.pdb     -529.786870 kBT
1mjiD_M420.pdb     -453.096242 kBT
1mjiD_M209.pdb     -512.836145 kBT
1mjiD_M257.pdb     -480.032463 kBT
1mjiD_M466.pdb     -410.747303 kBT
1mjiD_M252.pdb     -474.128692 kBT
1mjiD_M370.pdb     -449.822234 kBT
1mjiD_M14.pdb     -572.843288 kBT
1mjiD_M296.pdb     -429.124579 kBT
1mjiD_M345.pdb     -499.967563 kBT
1mjiD_M112.pdb     -510.219596 kBT
1mjiD_M445.pdb     -405.152444 kBT
1mjiD_M368.pdb     -422.736255 kBT
1mjiD_M1.pdb     -547.846964 kBT
1mjiD_M455.pdb     -429.907865 kBT
1mjiD_M101.pdb     -509.348159 kBT
1mjiD_M347.pdb     -468.922322 kBT
1mjiD_M57.pdb     -503.699289 kBT
1mjiD_M6.pdb     -562.427007 kBT
1mjiD_M319.pdb     -474.472577 kBT
1mjiD_M363.pdb     -457.453093 kBT
1mjiD_M402.pdb     -415.432796 kBT
1mjiD_M251.pdb     -448.914166 kBT
1mjiD_M272.pdb     -498.449304 kBT
1mjiD_M263.pdb     -418.802225 kBT
1mjiD_M66.pdb     -584.451927 kBT
1mjiD_M479.pdb     -475.576065 kBT
1mjiD_M438.pdb     -437.723035 kBT
1mjiD_M93.pdb     -502.278480 kBT
1mjiD_M418.pdb     -464.625741 kBT
1mjiD_M79.pdb     -586.288619 kBT
1mjiD_M320.pdb     -381.931951 kBT
1mjiD_M60.pdb     -527.838893 kBT
1mjiD.pdb     -547.157274 kBT
1mjiD_M262.pdb     -458.603523 kBT
1mjiD_M380.pdb     -422.444092 kBT
1mjiD_M142.pdb     -506.617765 kBT
1mjiD_M148.pdb     -480.628208 kBT
1mjiD_M456.pdb     -383.528133 kBT
1mjiD_M462.pdb     -475.603469 kBT
1mjiD_M428.pdb     -459.859809 kBT
1mjiD_M334.pdb     -419.519387 kBT
1mjiD_M395.pdb     -498.862269 kBT
1mjiD_M116.pdb     -485.051323 kBT
1mjiD_M191.pdb     -503.985181 kBT
1mjiD_M371.pdb     -443.811301 kBT
1mjiD_M291.pdb     -343.248246 kBT
1mjiD_M227.pdb     -464.471029 kBT
1mjiD_M102.pdb     -529.003121 kBT
1mjiD_M276.pdb     -468.066698 kBT
1mjiD_M288.pdb     -485.303955 kBT
1mjiD_M48.pdb     -555.304768 kBT
1mjiD_M357.pdb     -490.822238 kBT
1mjiD_M350.pdb     -440.703568 kBT
1mjiD_M410.pdb     -451.137162 kBT
1mjiD_M81.pdb     -528.249425 kBT
1mjiD_M488.pdb     -400.652855 kBT
1mjiD_M389.pdb     -478.571345 kBT
1mjiD_M459.pdb     -453.573593 kBT
1mjiD_M215.pdb     -516.237342 kBT
1mjiD_M115.pdb     -491.561038 kBT
1mjiD_M307.pdb     -453.491511 kBT
1mjiD_M111.pdb     -488.056078 kBT
1mjiD_M119.pdb     -512.472337 kBT
1mjiD_M383.pdb     -411.926826 kBT
1mjiD_M423.pdb     -466.114245 kBT
1mjiD_M431.pdb     -405.093718 kBT
1mjiD_M203.pdb     -459.153740 kBT
1mjiD_M326.pdb     -541.547987 kBT
1mjiD_M126.pdb     -473.606511 kBT
1mjiD_M130.pdb     -505.932480 kBT
1mjiD_M463.pdb     -490.755930 kBT
1mjiD_M339.pdb     -421.938568 kBT
1mjiD_M169.pdb     -475.491095 kBT
1mjiD_M490.pdb     -479.830639 kBT
1mjiD_M277.pdb     -497.992154 kBT
1mjiD_M247.pdb     -512.241834 kBT
1mjiD_M26.pdb     -578.138599 kBT
1mjiD_M497.pdb     -447.789468 kBT
1mjiD_M132.pdb     -519.510330 kBT
1mjiD_M304.pdb     -470.257743 kBT
1mjiD_M275.pdb     -436.418888 kBT
1mjiD_M90.pdb     -525.396955 kBT
1mjiD_M406.pdb     -477.123931 kBT
1mjiD_M178.pdb     -513.325873 kBT
1mjiD_M197.pdb     -429.944926 kBT
1mjiD_M378.pdb     -451.403250 kBT
