2qwyC_M466.pdb     -681.201439 kBT
2qwyC_M176.pdb     -670.221206 kBT
2qwyC_M17.pdb     -854.597868 kBT
2qwyC_M281.pdb     -704.473303 kBT
2qwyC_M162.pdb     -726.013992 kBT
2qwyC_M375.pdb     -702.188164 kBT
2qwyC_M420.pdb     -706.397509 kBT
2qwyC_M59.pdb     -805.916737 kBT
2qwyC_M385.pdb     -708.343989 kBT
2qwyC_M169.pdb     -761.314884 kBT
2qwyC_M89.pdb     -773.084020 kBT
2qwyC_M275.pdb     -672.805134 kBT
2qwyC_M136.pdb     -709.126445 kBT
2qwyC_M261.pdb     -672.804512 kBT
2qwyC_M390.pdb     -668.511656 kBT
2qwyC_M10.pdb     -858.655698 kBT
2qwyC_M25.pdb     -816.738428 kBT
2qwyC_M363.pdb     -738.661266 kBT
2qwyC_M271.pdb     -651.406906 kBT
2qwyC_M282.pdb     -682.350611 kBT
2qwyC_M21.pdb     -823.029712 kBT
2qwyC_M165.pdb     -723.223812 kBT
2qwyC_M40.pdb     -804.713169 kBT
2qwyC_M239.pdb     -716.968325 kBT
2qwyC_M248.pdb     -721.503100 kBT
2qwyC_M263.pdb     -642.767887 kBT
2qwyC_M101.pdb     -753.305000 kBT
2qwyC_M184.pdb     -692.245029 kBT
2qwyC_M259.pdb     -671.324761 kBT
2qwyC_M28.pdb     -865.212629 kBT
2qwyC_M364.pdb     -689.881233 kBT
2qwyC_M450.pdb     -695.228929 kBT
2qwyC_M314.pdb     -729.622855 kBT
2qwyC_M479.pdb     -580.623235 kBT
2qwyC_M153.pdb     -708.179734 kBT
2qwyC_M476.pdb     -754.400318 kBT
2qwyC_M352.pdb     -740.412660 kBT
2qwyC_M30.pdb     -822.677916 kBT
2qwyC_M234.pdb     -618.242743 kBT
2qwyC_M49.pdb     -810.956462 kBT
2qwyC_M120.pdb     -714.045921 kBT
2qwyC_M35.pdb     -843.567972 kBT
2qwyC_M317.pdb     -713.434428 kBT
2qwyC_M211.pdb     -782.803962 kBT
2qwyC_M360.pdb     -649.559484 kBT
2qwyC_M104.pdb     -715.546812 kBT
2qwyC_M27.pdb     -817.396862 kBT
2qwyC_M428.pdb     -715.685599 kBT
2qwyC_M177.pdb     -781.184752 kBT
2qwyC_M402.pdb     -650.245698 kBT
2qwyC_M6.pdb     -849.894966 kBT
2qwyC_M132.pdb     -759.287482 kBT
2qwyC_M196.pdb     -688.057196 kBT
2qwyC_M330.pdb     -669.282699 kBT
2qwyC_M301.pdb     -764.791979 kBT
2qwyC_M37.pdb     -792.977555 kBT
2qwyC_M429.pdb     -625.627683 kBT
2qwyC_M309.pdb     -670.877825 kBT
2qwyC_M205.pdb     -738.343190 kBT
2qwyC_M97.pdb     -792.020701 kBT
2qwyC_M431.pdb     -589.570947 kBT
2qwyC_M424.pdb     -665.453761 kBT
2qwyC_M98.pdb     -714.610463 kBT
2qwyC_M181.pdb     -788.748947 kBT
2qwyC_M323.pdb     -676.812973 kBT
2qwyC_M440.pdb     -671.827277 kBT
2qwyC_M92.pdb     -727.846520 kBT
2qwyC_M12.pdb     -858.500490 kBT
2qwyC_M340.pdb     -688.913901 kBT
2qwyC_M497.pdb     -690.900848 kBT
2qwyC_M2.pdb     -868.786180 kBT
2qwyC_M96.pdb     -757.519499 kBT
2qwyC_M401.pdb     -731.634390 kBT
2qwyC_M191.pdb     -712.355923 kBT
2qwyC_M339.pdb     -725.892992 kBT
2qwyC_M185.pdb     -724.333501 kBT
2qwyC_M307.pdb     -752.155315 kBT
2qwyC_M359.pdb     -744.641034 kBT
2qwyC_M358.pdb     -650.460570 kBT
2qwyC_M472.pdb     -600.023406 kBT
2qwyC_M72.pdb     -770.038333 kBT
2qwyC_M361.pdb     -572.975163 kBT
2qwyC_M470.pdb     -681.803416 kBT
2qwyC_M436.pdb     -696.186739 kBT
2qwyC_M421.pdb     -707.698181 kBT
2qwyC_M398.pdb     -685.222917 kBT
2qwyC_M326.pdb     -685.413542 kBT
2qwyC_M145.pdb     -728.583411 kBT
2qwyC_M231.pdb     -707.399470 kBT
2qwyC_M221.pdb     -662.764235 kBT
2qwyC_M164.pdb     -674.622072 kBT
2qwyC_M179.pdb     -709.656263 kBT
2qwyC_M94.pdb     -757.455514 kBT
2qwyC_M376.pdb     -671.516651 kBT
2qwyC_M473.pdb     -747.606669 kBT
2qwyC_M455.pdb     -703.756982 kBT
2qwyC_M114.pdb     -653.567237 kBT
2qwyC_M405.pdb     -665.376356 kBT
2qwyC_M447.pdb     -656.613791 kBT
2qwyC_M289.pdb     -736.962833 kBT
2qwyC_M354.pdb     -577.854168 kBT
2qwyC_M115.pdb     -707.591630 kBT
2qwyC_M137.pdb     -796.383064 kBT
2qwyC_M388.pdb     -615.081088 kBT
2qwyC_M18.pdb     -828.751715 kBT
2qwyC_M328.pdb     -719.251639 kBT
2qwyC_M80.pdb     -769.240758 kBT
2qwyC_M477.pdb     -613.723558 kBT
2qwyC_M286.pdb     -646.851250 kBT
2qwyC_M448.pdb     -705.042352 kBT
2qwyC_M228.pdb     -637.305307 kBT
2qwyC_M269.pdb     -745.659223 kBT
2qwyC.pdb     -853.829877 kBT
2qwyC_M313.pdb     -687.714798 kBT
2qwyC_M74.pdb     -735.046094 kBT
2qwyC_M143.pdb     -711.856234 kBT
2qwyC_M87.pdb     -776.734363 kBT
2qwyC_M253.pdb     -653.818037 kBT
2qwyC_M353.pdb     -738.067457 kBT
2qwyC_M499.pdb     -712.473017 kBT
2qwyC_M48.pdb     -808.930304 kBT
2qwyC_M342.pdb     -696.499966 kBT
2qwyC_M400.pdb     -685.300077 kBT
2qwyC_M142.pdb     -681.874363 kBT
2qwyC_M122.pdb     -742.928206 kBT
2qwyC_M113.pdb     -700.738100 kBT
2qwyC_M384.pdb     -702.403451 kBT
2qwyC_M266.pdb     -768.649616 kBT
2qwyC_M116.pdb     -688.245079 kBT
2qwyC_M397.pdb     -615.006145 kBT
2qwyC_M435.pdb     -597.609610 kBT
2qwyC_M308.pdb     -646.734672 kBT
2qwyC_M78.pdb     -781.405500 kBT
2qwyC_M109.pdb     -778.769105 kBT
2qwyC_M212.pdb     -713.206181 kBT
2qwyC_M329.pdb     -630.300421 kBT
2qwyC_M32.pdb     -811.271326 kBT
2qwyC_M69.pdb     -776.091142 kBT
2qwyC_M240.pdb     -730.589478 kBT
2qwyC_M481.pdb     -644.979203 kBT
2qwyC_M463.pdb     -644.166811 kBT
2qwyC_M3.pdb     -866.680072 kBT
2qwyC_M332.pdb     -705.989806 kBT
2qwyC_M51.pdb     -788.340083 kBT
2qwyC_M465.pdb     -678.656340 kBT
2qwyC_M267.pdb     -713.945235 kBT
2qwyC_M348.pdb     -647.488171 kBT
2qwyC_M204.pdb     -713.206346 kBT
2qwyC_M42.pdb     -776.317286 kBT
2qwyC_M243.pdb     -669.055130 kBT
2qwyC_M461.pdb     -703.139738 kBT
2qwyC_M139.pdb     -796.061576 kBT
2qwyC_M152.pdb     -674.995825 kBT
2qwyC_M486.pdb     -680.387317 kBT
2qwyC_M373.pdb     -701.936372 kBT
2qwyC_M262.pdb     -728.304722 kBT
2qwyC_M192.pdb     -731.511845 kBT
2qwyC_M195.pdb     -751.126062 kBT
2qwyC_M268.pdb     -720.359447 kBT
2qwyC_M50.pdb     -770.911565 kBT
2qwyC_M8.pdb     -859.800411 kBT
2qwyC_M224.pdb     -673.577301 kBT
2qwyC_M144.pdb     -748.740076 kBT
2qwyC_M255.pdb     -748.247141 kBT
2qwyC_M484.pdb     -657.530499 kBT
2qwyC_M257.pdb     -732.222567 kBT
2qwyC_M265.pdb     -643.738337 kBT
2qwyC_M492.pdb     -614.677799 kBT
2qwyC_M99.pdb     -711.591503 kBT
2qwyC_M173.pdb     -753.537276 kBT
2qwyC_M167.pdb     -696.763103 kBT
2qwyC_M311.pdb     -710.122691 kBT
2qwyC_M71.pdb     -756.009139 kBT
2qwyC_M410.pdb     -743.391055 kBT
2qwyC_M438.pdb     -605.864242 kBT
2qwyC_M290.pdb     -735.592216 kBT
2qwyC_M210.pdb     -606.814397 kBT
2qwyC_M203.pdb     -675.109233 kBT
2qwyC_M464.pdb     -631.755654 kBT
2qwyC_M38.pdb     -853.211440 kBT
2qwyC_M272.pdb     -649.297361 kBT
2qwyC_M395.pdb     -697.476673 kBT
2qwyC_M209.pdb     -690.897515 kBT
2qwyC_M229.pdb     -734.477669 kBT
2qwyC_M487.pdb     -590.572026 kBT
2qwyC_M396.pdb     -715.956726 kBT
2qwyC_M250.pdb     -605.230814 kBT
2qwyC_M199.pdb     -694.429144 kBT
2qwyC_M217.pdb     -770.703972 kBT
2qwyC_M346.pdb     -745.629380 kBT
2qwyC_M434.pdb     -679.004883 kBT
2qwyC_M406.pdb     -660.170613 kBT
2qwyC_M454.pdb     -705.742360 kBT
2qwyC_M341.pdb     -635.134722 kBT
2qwyC_M84.pdb     -758.321211 kBT
2qwyC_M242.pdb     -725.525742 kBT
2qwyC_M182.pdb     -630.333691 kBT
2qwyC_M287.pdb     -729.647557 kBT
2qwyC_M15.pdb     -860.432227 kBT
2qwyC_M105.pdb     -732.747674 kBT
2qwyC_M227.pdb     -705.945337 kBT
2qwyC_M423.pdb     -630.043576 kBT
2qwyC_M366.pdb     -672.804071 kBT
2qwyC_M334.pdb     -665.055530 kBT
2qwyC_M215.pdb     -687.437205 kBT
2qwyC_M415.pdb     -723.794994 kBT
2qwyC_M285.pdb     -694.785297 kBT
2qwyC_M208.pdb     -730.922116 kBT
2qwyC_M276.pdb     -696.209932 kBT
2qwyC_M371.pdb     -637.513574 kBT
2qwyC_M91.pdb     -766.195927 kBT
2qwyC_M490.pdb     -625.420825 kBT
2qwyC_M118.pdb     -741.996505 kBT
2qwyC_M367.pdb     -688.485607 kBT
2qwyC_M194.pdb     -707.175212 kBT
2qwyC_M322.pdb     -701.719137 kBT
2qwyC_M29.pdb     -829.411386 kBT
2qwyC_M23.pdb     -830.990274 kBT
2qwyC_M468.pdb     -665.058268 kBT
2qwyC_M130.pdb     -774.530459 kBT
2qwyC_M223.pdb     -680.242014 kBT
2qwyC_M362.pdb     -638.500972 kBT
2qwyC_M64.pdb     -723.085996 kBT
2qwyC_M491.pdb     -719.041899 kBT
2qwyC_M291.pdb     -732.446758 kBT
2qwyC_M335.pdb     -676.585395 kBT
2qwyC_M154.pdb     -678.348089 kBT
2qwyC_M478.pdb     -651.139399 kBT
2qwyC_M197.pdb     -752.007724 kBT
2qwyC_M324.pdb     -676.521103 kBT
2qwyC_M439.pdb     -655.800851 kBT
2qwyC_M277.pdb     -714.182059 kBT
2qwyC_M368.pdb     -752.266272 kBT
2qwyC_M58.pdb     -814.920515 kBT
2qwyC_M16.pdb     -824.238385 kBT
2qwyC_M36.pdb     -772.019008 kBT
2qwyC_M310.pdb     -659.427467 kBT
2qwyC_M190.pdb     -697.176269 kBT
2qwyC_M107.pdb     -718.391424 kBT
2qwyC_M55.pdb     -781.463832 kBT
2qwyC_M129.pdb     -731.015457 kBT
2qwyC_M412.pdb     -712.367180 kBT
2qwyC_M61.pdb     -775.478309 kBT
2qwyC_M168.pdb     -685.105856 kBT
2qwyC_M279.pdb     -702.077480 kBT
2qwyC_M460.pdb     -688.978982 kBT
2qwyC_M202.pdb     -672.115554 kBT
2qwyC_M399.pdb     -644.274914 kBT
2qwyC_M356.pdb     -710.068518 kBT
2qwyC_M150.pdb     -785.560790 kBT
2qwyC_M336.pdb     -716.067020 kBT
2qwyC_M357.pdb     -607.707274 kBT
2qwyC_M222.pdb     -694.719055 kBT
2qwyC_M95.pdb     -731.966033 kBT
2qwyC_M62.pdb     -788.577330 kBT
2qwyC_M60.pdb     -747.294339 kBT
2qwyC_M11.pdb     -865.395642 kBT
2qwyC_M188.pdb     -706.595323 kBT
2qwyC_M33.pdb     -831.611096 kBT
2qwyC_M186.pdb     -713.691960 kBT
2qwyC_M297.pdb     -665.279559 kBT
2qwyC_M331.pdb     -719.525381 kBT
2qwyC_M298.pdb     -724.450868 kBT
2qwyC_M462.pdb     -656.361629 kBT
2qwyC_M117.pdb     -709.898712 kBT
2qwyC_M123.pdb     -737.542025 kBT
2qwyC_M214.pdb     -752.984171 kBT
2qwyC_M278.pdb     -685.244011 kBT
2qwyC_M389.pdb     -644.569669 kBT
2qwyC_M338.pdb     -652.782618 kBT
2qwyC_M7.pdb     -853.857478 kBT
2qwyC_M294.pdb     -734.968417 kBT
2qwyC_M171.pdb     -725.274774 kBT
2qwyC_M160.pdb     -757.735005 kBT
2qwyC_M321.pdb     -723.368026 kBT
2qwyC_M355.pdb     -621.263550 kBT
2qwyC_M233.pdb     -732.015668 kBT
