1e7kD_M392.pdb     -49.916345 kBT
1e7kD_M149.pdb     -56.590834 kBT
1e7kD_M38.pdb     -57.312486 kBT
1e7kD_M162.pdb     -55.867527 kBT
1e7kD_M104.pdb     -32.923193 kBT
1e7kD_M214.pdb     -41.000944 kBT
1e7kD_M246.pdb     -45.707286 kBT
1e7kD_M43.pdb     -55.784210 kBT
1e7kD_M444.pdb     -51.398219 kBT
1e7kD_M276.pdb     -43.010912 kBT
1e7kD_M357.pdb     -36.560221 kBT
1e7kD_M110.pdb     -37.478003 kBT
1e7kD_M207.pdb     -47.699621 kBT
1e7kD_M385.pdb     -47.447707 kBT
1e7kD_M103.pdb     -51.499695 kBT
1e7kD_M252.pdb     -44.576333 kBT
1e7kD_M349.pdb     -48.482383 kBT
1e7kD_M25.pdb     -52.015298 kBT
1e7kD_M353.pdb     -43.209325 kBT
1e7kD_M125.pdb     -53.644354 kBT
1e7kD_M455.pdb     -36.683673 kBT
1e7kD_M285.pdb     -53.501105 kBT
1e7kD_M247.pdb     -47.229122 kBT
1e7kD_M239.pdb     -49.595814 kBT
1e7kD_M390.pdb     -49.538927 kBT
1e7kD_M325.pdb     -45.468193 kBT
1e7kD_M56.pdb     -58.269028 kBT
1e7kD_M46.pdb     -47.896751 kBT
1e7kD_M262.pdb     -47.869095 kBT
1e7kD_M407.pdb     -51.406654 kBT
1e7kD_M101.pdb     -54.713230 kBT
1e7kD_M435.pdb     -46.437938 kBT
1e7kD_M33.pdb     -58.276985 kBT
1e7kD_M197.pdb     -50.973435 kBT
1e7kD_M432.pdb     -45.091620 kBT
1e7kD_M118.pdb     -51.397645 kBT
1e7kD_M105.pdb     -45.592810 kBT
1e7kD_M34.pdb     -50.956364 kBT
1e7kD_M368.pdb     -22.768368 kBT
1e7kD_M5.pdb     -49.908546 kBT
1e7kD_M191.pdb     -66.130707 kBT
1e7kD_M7.pdb     -55.705439 kBT
1e7kD_M115.pdb     -40.962359 kBT
1e7kD_M416.pdb     -46.480809 kBT
1e7kD_M393.pdb     -45.841395 kBT
1e7kD_M240.pdb     -51.091237 kBT
1e7kD_M158.pdb     -47.823594 kBT
1e7kD_M410.pdb     -45.871862 kBT
1e7kD_M199.pdb     -47.874016 kBT
1e7kD_M258.pdb     -39.267839 kBT
1e7kD_M430.pdb     -47.678332 kBT
1e7kD_M403.pdb     -34.260729 kBT
1e7kD_M477.pdb     -33.785743 kBT
1e7kD_M257.pdb     -46.965472 kBT
1e7kD_M88.pdb     -59.303041 kBT
1e7kD_M229.pdb     -49.795916 kBT
1e7kD_M384.pdb     -23.189172 kBT
1e7kD_M48.pdb     -45.470231 kBT
1e7kD_M485.pdb     -34.579937 kBT
1e7kD_M324.pdb     -52.327029 kBT
1e7kD_M216.pdb     -34.067346 kBT
1e7kD_M215.pdb     -53.213632 kBT
1e7kD_M212.pdb     -35.802292 kBT
1e7kD_M139.pdb     -57.769318 kBT
1e7kD_M471.pdb     -43.278626 kBT
1e7kD_M222.pdb     -34.910448 kBT
1e7kD_M475.pdb     -36.845518 kBT
1e7kD_M208.pdb     -48.626831 kBT
1e7kD_M397.pdb     -54.825076 kBT
1e7kD_M380.pdb     -29.116680 kBT
1e7kD_M291.pdb     -43.010203 kBT
1e7kD_M182.pdb     -59.710390 kBT
1e7kD_M254.pdb     -29.891427 kBT
1e7kD_M376.pdb     -39.076708 kBT
1e7kD_M363.pdb     -35.444856 kBT
1e7kD_M53.pdb     -55.834169 kBT
1e7kD_M185.pdb     -38.176253 kBT
1e7kD_M277.pdb     -30.906464 kBT
1e7kD_M395.pdb     -51.367826 kBT
1e7kD_M225.pdb     -39.016625 kBT
1e7kD_M488.pdb     -51.464759 kBT
1e7kD_M12.pdb     -56.135048 kBT
1e7kD_M177.pdb     -49.460270 kBT
1e7kD_M230.pdb     -50.026627 kBT
1e7kD_M476.pdb     -52.082906 kBT
1e7kD_M483.pdb     -36.953173 kBT
1e7kD_M3.pdb     -52.717360 kBT
1e7kD_M39.pdb     -61.938547 kBT
1e7kD_M89.pdb     -49.703259 kBT
1e7kD_M59.pdb     -50.683431 kBT
1e7kD_M370.pdb     -23.484174 kBT
1e7kD_M350.pdb     -60.572320 kBT
1e7kD_M452.pdb     -46.486927 kBT
1e7kD_M264.pdb     -51.160963 kBT
1e7kD_M428.pdb     -57.231935 kBT
1e7kD_M374.pdb     -38.854899 kBT
1e7kD_M86.pdb     -47.131653 kBT
1e7kD_M304.pdb     -45.899328 kBT
1e7kD_M81.pdb     -59.125146 kBT
1e7kD_M489.pdb     -61.056969 kBT
1e7kD_M183.pdb     -41.550249 kBT
1e7kD_M398.pdb     -37.921311 kBT
1e7kD_M422.pdb     -40.393347 kBT
1e7kD_M498.pdb     -34.381485 kBT
1e7kD_M236.pdb     -53.368116 kBT
1e7kD_M289.pdb     -41.747567 kBT
1e7kD_M129.pdb     -52.696380 kBT
1e7kD_M461.pdb     -3.512453 kBT
1e7kD_M453.pdb     -2.694385 kBT
1e7kD_M297.pdb     -49.627373 kBT
1e7kD_M341.pdb     -52.861439 kBT
1e7kD_M299.pdb     -45.614461 kBT
1e7kD_M37.pdb     -57.796690 kBT
1e7kD_M159.pdb     -47.232429 kBT
1e7kD_M360.pdb     -33.126206 kBT
1e7kD_M491.pdb     -51.151489 kBT
1e7kD_M315.pdb     -47.566391 kBT
1e7kD_M114.pdb     -49.098245 kBT
1e7kD_M369.pdb     -27.998837 kBT
1e7kD_M76.pdb     -53.918843 kBT
1e7kD_M66.pdb     -40.961270 kBT
1e7kD_M219.pdb     -52.902512 kBT
1e7kD_M336.pdb     -30.254931 kBT
1e7kD_M284.pdb     -45.091513 kBT
1e7kD_M52.pdb     -56.896257 kBT
1e7kD_M6.pdb     -51.742237 kBT
1e7kD_M9.pdb     -59.882335 kBT
1e7kD_M40.pdb     -41.969590 kBT
1e7kD_M205.pdb     -50.739291 kBT
1e7kD_M317.pdb     -52.051396 kBT
1e7kD_M130.pdb     -32.795647 kBT
1e7kD_M265.pdb     -52.693192 kBT
1e7kD_M442.pdb     -21.914268 kBT
1e7kD_M332.pdb     -38.626269 kBT
1e7kD_M355.pdb     -49.022349 kBT
1e7kD_M305.pdb     -50.542181 kBT
1e7kD_M218.pdb     -44.268978 kBT
1e7kD_M375.pdb     -20.741028 kBT
1e7kD_M440.pdb     -24.875510 kBT
1e7kD_M379.pdb     -33.688021 kBT
1e7kD_M75.pdb     -54.911676 kBT
1e7kD_M431.pdb     -23.089773 kBT
1e7kD_M344.pdb     -24.789643 kBT
1e7kD_M472.pdb     -49.661968 kBT
1e7kD_M62.pdb     -50.741440 kBT
1e7kD_M11.pdb     -47.428658 kBT
1e7kD_M131.pdb     -53.644117 kBT
1e7kD_M339.pdb     -40.153617 kBT
1e7kD_M107.pdb     -48.479529 kBT
1e7kD_M331.pdb     -38.399663 kBT
1e7kD_M128.pdb     -37.400876 kBT
1e7kD_M58.pdb     -50.305790 kBT
1e7kD_M287.pdb     -30.438234 kBT
1e7kD_M141.pdb     -49.304304 kBT
1e7kD_M438.pdb     -31.558880 kBT
1e7kD_M343.pdb     -55.005514 kBT
1e7kD_M102.pdb     -50.038467 kBT
1e7kD_M401.pdb     -31.892225 kBT
1e7kD_M322.pdb     -29.893285 kBT
1e7kD_M439.pdb     -37.324189 kBT
1e7kD_M243.pdb     -41.015930 kBT
1e7kD_M394.pdb     -40.492230 kBT
1e7kD_M120.pdb     -51.799242 kBT
1e7kD_M479.pdb     -42.525284 kBT
1e7kD_M15.pdb     -49.886996 kBT
1e7kD_M2.pdb     -51.479427 kBT
1e7kD_M487.pdb     -37.870070 kBT
1e7kD_M268.pdb     -33.562041 kBT
1e7kD_M458.pdb     -25.583973 kBT
1e7kD_M175.pdb     -40.531588 kBT
1e7kD_M323.pdb     -33.686493 kBT
1e7kD_M144.pdb     -50.477207 kBT
1e7kD_M181.pdb     -47.176774 kBT
1e7kD_M473.pdb     -57.055909 kBT
1e7kD_M119.pdb     -57.352319 kBT
1e7kD_M173.pdb     -47.715168 kBT
1e7kD_M64.pdb     -50.026891 kBT
1e7kD_M478.pdb     -41.902370 kBT
1e7kD_M314.pdb     -40.374477 kBT
1e7kD_M456.pdb     -46.597039 kBT
1e7kD_M69.pdb     -56.111919 kBT
1e7kD_M193.pdb     -29.969008 kBT
1e7kD_M137.pdb     -38.646604 kBT
1e7kD_M400.pdb     -27.407728 kBT
1e7kD_M220.pdb     -50.268510 kBT
1e7kD_M133.pdb     -40.923213 kBT
1e7kD_M446.pdb     -44.325670 kBT
1e7kD_M126.pdb     -43.820811 kBT
1e7kD_M275.pdb     -38.084555 kBT
1e7kD_M250.pdb     -19.246320 kBT
1e7kD_M244.pdb     -47.259440 kBT
1e7kD_M233.pdb     -39.008939 kBT
1e7kD_M127.pdb     -51.132510 kBT
1e7kD_M316.pdb     -37.552861 kBT
1e7kD_M19.pdb     -44.882212 kBT
1e7kD_M313.pdb     -46.226743 kBT
1e7kD_M72.pdb     -55.317496 kBT
1e7kD_M420.pdb     -39.700656 kBT
1e7kD_M320.pdb     -46.087736 kBT
1e7kD_M65.pdb     -66.338947 kBT
1e7kD_M354.pdb     -51.736506 kBT
1e7kD_M238.pdb     -46.960402 kBT
1e7kD_M8.pdb     -50.603130 kBT
1e7kD_M433.pdb     -34.475908 kBT
1e7kD_M35.pdb     -54.431873 kBT
1e7kD_M326.pdb     -40.220689 kBT
1e7kD_M178.pdb     -42.849435 kBT
1e7kD_M342.pdb     -51.265949 kBT
1e7kD_M63.pdb     -52.602612 kBT
1e7kD_M334.pdb     -48.358092 kBT
1e7kD_M337.pdb     -32.638412 kBT
1e7kD_M90.pdb     -46.347734 kBT
1e7kD_M32.pdb     -51.534134 kBT
1e7kD_M157.pdb     -37.358512 kBT
1e7kD_M187.pdb     -42.322723 kBT
1e7kD_M364.pdb     -43.215483 kBT
1e7kD_M281.pdb     -60.040865 kBT
1e7kD_M231.pdb     -50.705338 kBT
1e7kD_M50.pdb     -44.940681 kBT
1e7kD_M303.pdb     -49.089671 kBT
1e7kD_M71.pdb     -49.745869 kBT
1e7kD_M492.pdb     -38.999519 kBT
1e7kD_M389.pdb     -57.399460 kBT
1e7kD_M467.pdb     -32.097158 kBT
1e7kD_M61.pdb     -62.348289 kBT
1e7kD_M340.pdb     -58.805195 kBT
1e7kD_M116.pdb     -64.808946 kBT
1e7kD_M26.pdb     -44.417425 kBT
1e7kD_M295.pdb     -58.249430 kBT
1e7kD_M136.pdb     -51.179505 kBT
1e7kD_M223.pdb     -23.142112 kBT
1e7kD_M464.pdb     -25.014228 kBT
1e7kD_M68.pdb     -61.945196 kBT
1e7kD_M261.pdb     -50.532927 kBT
1e7kD_M29.pdb     -51.642225 kBT
1e7kD_M310.pdb     -41.573445 kBT
1e7kD_M468.pdb     -54.086542 kBT
1e7kD_M14.pdb     -49.360946 kBT
1e7kD_M346.pdb     -31.564941 kBT
1e7kD_M359.pdb     -36.937257 kBT
1e7kD_M496.pdb     -3.826333 kBT
1e7kD_M211.pdb     -53.910002 kBT
1e7kD_M362.pdb     -30.395597 kBT
1e7kD_M434.pdb     -50.464770 kBT
1e7kD_M60.pdb     -48.358022 kBT
1e7kD_M253.pdb     -20.013012 kBT
1e7kD_M415.pdb     -47.657908 kBT
1e7kD_M445.pdb     -35.189280 kBT
1e7kD_M234.pdb     -54.244400 kBT
1e7kD_M47.pdb     -47.932538 kBT
1e7kD_M278.pdb     -34.460973 kBT
1e7kD_M13.pdb     -53.123383 kBT
1e7kD_M266.pdb     -54.501163 kBT
1e7kD_M271.pdb     -53.277620 kBT
1e7kD_M78.pdb     -49.875445 kBT
1e7kD_M311.pdb     -38.819358 kBT
1e7kD_M142.pdb     -42.389861 kBT
1e7kD_M500.pdb     -40.169340 kBT
1e7kD_M338.pdb     -33.135437 kBT
1e7kD_M405.pdb     -13.364297 kBT
1e7kD_M95.pdb     -52.665677 kBT
1e7kD_M41.pdb     -56.234090 kBT
1e7kD_M481.pdb     -31.187952 kBT
1e7kD_M279.pdb     -48.571754 kBT
1e7kD_M450.pdb     -41.703633 kBT
1e7kD_M100.pdb     -51.184774 kBT
1e7kD_M163.pdb     -55.839688 kBT
1e7kD_M111.pdb     -44.691755 kBT
1e7kD_M94.pdb     -45.270523 kBT
1e7kD_M457.pdb     -40.551306 kBT
1e7kD_M490.pdb     -54.597026 kBT
1e7kD_M168.pdb     -62.752525 kBT
1e7kD_M259.pdb     -39.691864 kBT
1e7kD_M408.pdb     -30.151928 kBT
1e7kD_M45.pdb     -44.564173 kBT
1e7kD_M166.pdb     -54.678542 kBT
1e7kD_M164.pdb     -28.927527 kBT
1e7kD_M27.pdb     -41.769694 kBT
1e7kD_M463.pdb     -30.227368 kBT
1e7kD_M421.pdb     -26.051925 kBT
1e7kD_M448.pdb     -49.709885 kBT
1e7kD_M49.pdb     -65.510265 kBT
1e7kD_M36.pdb     -40.878375 kBT
1e7kD_M73.pdb     -50.609058 kBT
1e7kD_M1.pdb     -51.745510 kBT
1e7kD_M67.pdb     -58.293590 kBT
1e7kD_M290.pdb     -39.746021 kBT
1e7kD_M280.pdb     -41.791414 kBT
1e7kD_M426.pdb     -43.726087 kBT
1e7kD_M404.pdb     -39.680952 kBT
1e7kD_M352.pdb     -64.415685 kBT
1e7kD_M210.pdb     -47.999475 kBT
1e7kD_M167.pdb     -48.778483 kBT
1e7kD_M112.pdb     -59.715477 kBT
1e7kD_M459.pdb     -36.470691 kBT
1e7kD_M328.pdb     -36.626354 kBT
1e7kD_M413.pdb     -27.414786 kBT
1e7kD_M135.pdb     -54.394602 kBT
1e7kD_M307.pdb     -47.400979 kBT
1e7kD_M424.pdb     -38.622739 kBT
1e7kD_M57.pdb     -41.093339 kBT
1e7kD_M248.pdb     -45.400608 kBT
1e7kD_M87.pdb     -40.983988 kBT
1e7kD_M79.pdb     -47.373181 kBT
1e7kD_M174.pdb     -42.212474 kBT
1e7kD_M494.pdb     -28.162858 kBT
1e7kD_M335.pdb     -53.559667 kBT
1e7kD_M82.pdb     -38.539481 kBT
1e7kD_M30.pdb     -44.225199 kBT
1e7kD_M31.pdb     -50.764428 kBT
1e7kD_M312.pdb     -40.038688 kBT
1e7kD_M418.pdb     -6.107030 kBT
1e7kD_M221.pdb     -54.707637 kBT
1e7kD_M196.pdb     -53.036060 kBT
1e7kD_M201.pdb     -50.038616 kBT
1e7kD_M292.pdb     -34.661870 kBT
1e7kD_M16.pdb     -50.874240 kBT
1e7kD_M469.pdb     -33.313827 kBT
1e7kD_M42.pdb     -54.333959 kBT
1e7kD_M143.pdb     -36.042164 kBT
1e7kD_M190.pdb     -47.846988 kBT
1e7kD_M270.pdb     -46.916049 kBT
1e7kD_M171.pdb     -44.945438 kBT
1e7kD_M255.pdb     -35.967714 kBT
1e7kD_M117.pdb     -51.689462 kBT
1e7kD_M232.pdb     -40.225393 kBT
1e7kD_M203.pdb     -59.111317 kBT
1e7kD_M319.pdb     -47.225588 kBT
1e7kD_M441.pdb     -48.797402 kBT
1e7kD_M209.pdb     -44.862495 kBT
1e7kD_M156.pdb     -44.213544 kBT
1e7kD_M296.pdb     -38.243874 kBT
1e7kD_M372.pdb     -48.862764 kBT
1e7kD_M470.pdb     -61.750410 kBT
1e7kD_M224.pdb     -48.515858 kBT
1e7kD_M132.pdb     -53.065868 kBT
1e7kD_M155.pdb     -48.399480 kBT
1e7kD_M409.pdb     -36.271857 kBT
1e7kD_M140.pdb     -40.475900 kBT
1e7kD_M367.pdb     -25.636712 kBT
1e7kD_M226.pdb     -52.325991 kBT
1e7kD_M122.pdb     -36.819238 kBT
1e7kD_M28.pdb     -51.748046 kBT
1e7kD_M20.pdb     -43.329400 kBT
1e7kD_M423.pdb     -43.426784 kBT
1e7kD_M361.pdb     -26.998535 kBT
1e7kD_M449.pdb     -54.601529 kBT
1e7kD_M411.pdb     -30.857458 kBT
1e7kD_M443.pdb     -23.254184 kBT
1e7kD_M154.pdb     -32.150694 kBT
1e7kD_M391.pdb     -46.852697 kBT
1e7kD_M188.pdb     -37.204973 kBT
1e7kD_M377.pdb     -47.110306 kBT
1e7kD_M195.pdb     -33.984220 kBT
1e7kD_M419.pdb     -25.323672 kBT
1e7kD_M204.pdb     -49.655105 kBT
1e7kD_M151.pdb     -48.283769 kBT
1e7kD_M152.pdb     -34.913631 kBT
1e7kD_M427.pdb     -46.040719 kBT
1e7kD_M371.pdb     -48.020589 kBT
1e7kD_M286.pdb     -56.767865 kBT
1e7kD_M180.pdb     -58.794930 kBT
1e7kD_M300.pdb     -36.926780 kBT
1e7kD_M160.pdb     -47.841987 kBT
1e7kD_M170.pdb     -39.446506 kBT
1e7kD_M386.pdb     -41.981510 kBT
1e7kD_M499.pdb     -53.710877 kBT
1e7kD_M417.pdb     -50.714056 kBT
1e7kD_M451.pdb     -33.063454 kBT
1e7kD_M148.pdb     -51.899799 kBT
1e7kD_M462.pdb     -33.772401 kBT
1e7kD_M396.pdb     -33.800255 kBT
1e7kD_M70.pdb     -58.993426 kBT
1e7kD_M18.pdb     -56.302060 kBT
1e7kD_M288.pdb     -51.322513 kBT
1e7kD_M436.pdb     -31.093998 kBT
1e7kD_M153.pdb     -36.002734 kBT
1e7kD_M283.pdb     -31.923253 kBT
1e7kD_M24.pdb     -44.724844 kBT
1e7kD_M54.pdb     -46.838122 kBT
1e7kD_M121.pdb     -60.724057 kBT
1e7kD_M366.pdb     3.546068 kBT
1e7kD_M269.pdb     -33.250991 kBT
1e7kD_M382.pdb     -44.184239 kBT
1e7kD_M92.pdb     -46.739269 kBT
1e7kD_M333.pdb     -40.719846 kBT
1e7kD_M150.pdb     -33.609184 kBT
1e7kD_M227.pdb     -40.967809 kBT
1e7kD_M228.pdb     -54.693802 kBT
1e7kD_M309.pdb     -45.496536 kBT
1e7kD_M484.pdb     -51.083177 kBT
1e7kD_M465.pdb     -47.458792 kBT
1e7kD_M17.pdb     -55.736103 kBT
1e7kD_M179.pdb     -38.880582 kBT
1e7kD_M466.pdb     -22.652873 kBT
1e7kD_M260.pdb     -29.063939 kBT
1e7kD_M298.pdb     -40.946087 kBT
1e7kD_M202.pdb     -56.645389 kBT
1e7kD_M249.pdb     -37.975170 kBT
1e7kD_M256.pdb     -37.886211 kBT
1e7kD_M165.pdb     -42.864156 kBT
1e7kD_M192.pdb     -46.879465 kBT
1e7kD_M347.pdb     -54.250354 kBT
1e7kD_M306.pdb     -37.144698 kBT
1e7kD_M308.pdb     -43.510917 kBT
1e7kD_M454.pdb     -32.952851 kBT
1e7kD_M4.pdb     -53.672350 kBT
1e7kD_M98.pdb     -55.951019 kBT
1e7kD_M145.pdb     -56.093958 kBT
1e7kD_M302.pdb     -57.634927 kBT
1e7kD_M237.pdb     -51.123923 kBT
1e7kD_M109.pdb     -55.545388 kBT
1e7kD_M356.pdb     -30.507328 kBT
1e7kD_M55.pdb     -56.363111 kBT
1e7kD_M387.pdb     -56.750063 kBT
1e7kD_M99.pdb     -57.200051 kBT
1e7kD_M282.pdb     -37.625163 kBT
1e7kD_M425.pdb     -43.985528 kBT
1e7kD_M406.pdb     -27.963774 kBT
1e7kD_M383.pdb     -54.256829 kBT
1e7kD_M263.pdb     -5.587674 kBT
1e7kD_M22.pdb     -58.109870 kBT
1e7kD_M85.pdb     -41.896902 kBT
1e7kD_M51.pdb     -55.091433 kBT
1e7kD_M294.pdb     -45.439601 kBT
1e7kD_M348.pdb     -49.033881 kBT
1e7kD_M21.pdb     -54.633953 kBT
1e7kD_M381.pdb     -39.467266 kBT
1e7kD_M97.pdb     -56.925883 kBT
1e7kD_M83.pdb     -53.785431 kBT
1e7kD_M414.pdb     -37.894820 kBT
1e7kD_M169.pdb     -52.187457 kBT
1e7kD_M113.pdb     -54.949942 kBT
1e7kD_M138.pdb     -54.152752 kBT
1e7kD_M241.pdb     -35.108767 kBT
