2dr2B_M381.pdb     -277.732116 kBT
2dr2B_M106.pdb     -283.676973 kBT
2dr2B_M54.pdb     -287.017482 kBT
2dr2B_M21.pdb     -303.890361 kBT
2dr2B_M304.pdb     -254.864812 kBT
2dr2B_M481.pdb     -256.052168 kBT
2dr2B_M448.pdb     -268.258530 kBT
2dr2B_M289.pdb     -276.499021 kBT
2dr2B_M26.pdb     -304.538594 kBT
2dr2B_M420.pdb     -259.950038 kBT
2dr2B_M41.pdb     -294.715709 kBT
2dr2B_M29.pdb     -292.629745 kBT
2dr2B_M362.pdb     -274.112674 kBT
2dr2B_M86.pdb     -282.730818 kBT
2dr2B_M286.pdb     -266.639660 kBT
2dr2B_M403.pdb     -268.683935 kBT
2dr2B_M264.pdb     -259.586652 kBT
2dr2B_M216.pdb     -256.607564 kBT
2dr2B_M188.pdb     -280.572673 kBT
2dr2B_M244.pdb     -255.406693 kBT
2dr2B_M178.pdb     -276.947506 kBT
2dr2B_M290.pdb     -255.529936 kBT
2dr2B_M397.pdb     -246.160776 kBT
2dr2B_M267.pdb     -273.387028 kBT
2dr2B_M394.pdb     -273.378162 kBT
2dr2B_M61.pdb     -273.954829 kBT
2dr2B_M130.pdb     -272.046309 kBT
2dr2B_M173.pdb     -270.821540 kBT
2dr2B_M437.pdb     -269.816310 kBT
2dr2B_M38.pdb     -308.105589 kBT
2dr2B_M443.pdb     -271.371594 kBT
2dr2B_M32.pdb     -291.046697 kBT
2dr2B_M293.pdb     -252.898289 kBT
2dr2B_M461.pdb     -266.167632 kBT
2dr2B_M201.pdb     -282.220457 kBT
2dr2B_M370.pdb     -238.240385 kBT
2dr2B_M243.pdb     -271.952748 kBT
2dr2B_M229.pdb     -282.154835 kBT
2dr2B_M359.pdb     -259.545729 kBT
2dr2B_M206.pdb     -263.538490 kBT
2dr2B_M412.pdb     -256.492821 kBT
2dr2B_M200.pdb     -267.728819 kBT
2dr2B_M79.pdb     -291.222099 kBT
2dr2B_M302.pdb     -252.986008 kBT
2dr2B_M434.pdb     -246.841368 kBT
2dr2B_M71.pdb     -294.487200 kBT
2dr2B_M328.pdb     -277.645052 kBT
2dr2B_M492.pdb     -247.638474 kBT
2dr2B_M312.pdb     -251.039770 kBT
2dr2B_M125.pdb     -277.960030 kBT
2dr2B_M376.pdb     -253.272573 kBT
2dr2B_M315.pdb     -260.646445 kBT
2dr2B_M331.pdb     -274.235396 kBT
2dr2B_M109.pdb     -288.210554 kBT
2dr2B_M368.pdb     -252.904148 kBT
2dr2B_M316.pdb     -279.127449 kBT
2dr2B_M279.pdb     -270.162971 kBT
2dr2B_M266.pdb     -271.426785 kBT
2dr2B_M50.pdb     -287.123395 kBT
2dr2B_M489.pdb     -279.910985 kBT
2dr2B_M285.pdb     -276.664026 kBT
2dr2B_M450.pdb     -240.259707 kBT
2dr2B_M135.pdb     -290.124439 kBT
2dr2B_M237.pdb     -250.389323 kBT
2dr2B_M128.pdb     -290.643539 kBT
2dr2B_M287.pdb     -261.128135 kBT
2dr2B_M352.pdb     -268.977689 kBT
2dr2B_M122.pdb     -280.666522 kBT
2dr2B_M100.pdb     -285.232639 kBT
2dr2B_M323.pdb     -247.440553 kBT
2dr2B_M391.pdb     -268.289702 kBT
2dr2B_M215.pdb     -272.122635 kBT
2dr2B_M254.pdb     -281.722442 kBT
2dr2B_M36.pdb     -305.414991 kBT
2dr2B_M375.pdb     -266.602469 kBT
2dr2B_M151.pdb     -277.614114 kBT
2dr2B_M479.pdb     -248.114148 kBT
2dr2B_M35.pdb     -302.063232 kBT
2dr2B_M104.pdb     -253.242413 kBT
2dr2B_M28.pdb     -299.204307 kBT
2dr2B_M416.pdb     -272.534167 kBT
2dr2B_M169.pdb     -267.673412 kBT
2dr2B_M463.pdb     -244.666368 kBT
2dr2B_M278.pdb     -255.155578 kBT
2dr2B_M349.pdb     -269.558457 kBT
2dr2B_M222.pdb     -275.732851 kBT
2dr2B_M25.pdb     -302.138253 kBT
2dr2B_M428.pdb     -283.278325 kBT
2dr2B_M309.pdb     -268.674303 kBT
2dr2B_M427.pdb     -260.998647 kBT
2dr2B_M183.pdb     -288.315130 kBT
2dr2B_M161.pdb     -284.010546 kBT
2dr2B_M90.pdb     -282.748682 kBT
2dr2B_M156.pdb     -270.872151 kBT
2dr2B_M341.pdb     -246.156884 kBT
2dr2B_M228.pdb     -255.734415 kBT
2dr2B_M114.pdb     -282.586902 kBT
2dr2B_M92.pdb     -284.952509 kBT
2dr2B_M485.pdb     -255.946595 kBT
2dr2B_M348.pdb     -254.478045 kBT
2dr2B_M332.pdb     -265.557297 kBT
2dr2B_M364.pdb     -242.777022 kBT
2dr2B_M227.pdb     -268.940961 kBT
2dr2B_M176.pdb     -275.092992 kBT
2dr2B_M277.pdb     -273.521980 kBT
2dr2B_M145.pdb     -282.637821 kBT
2dr2B_M386.pdb     -270.170829 kBT
2dr2B_M256.pdb     -236.178382 kBT
2dr2B_M377.pdb     -265.724528 kBT
2dr2B_M115.pdb     -264.824728 kBT
2dr2B_M83.pdb     -286.431924 kBT
2dr2B_M166.pdb     -270.460670 kBT
2dr2B_M182.pdb     -280.782024 kBT
2dr2B_M247.pdb     -266.209053 kBT
2dr2B_M418.pdb     -263.564896 kBT
2dr2B_M155.pdb     -263.424953 kBT
2dr2B_M87.pdb     -280.417806 kBT
2dr2B_M457.pdb     -265.193684 kBT
2dr2B_M320.pdb     -287.310685 kBT
2dr2B_M202.pdb     -287.850097 kBT
2dr2B_M440.pdb     -249.866443 kBT
2dr2B_M262.pdb     -272.740970 kBT
2dr2B_M12.pdb     -299.468991 kBT
2dr2B_M470.pdb     -259.443652 kBT
2dr2B_M66.pdb     -284.124951 kBT
2dr2B_M46.pdb     -293.668124 kBT
2dr2B_M194.pdb     -236.901494 kBT
2dr2B_M212.pdb     -266.770775 kBT
2dr2B_M493.pdb     -258.764395 kBT
2dr2B_M13.pdb     -298.462959 kBT
2dr2B_M432.pdb     -265.972231 kBT
2dr2B_M248.pdb     -252.481684 kBT
2dr2B_M297.pdb     -247.466829 kBT
2dr2B_M388.pdb     -252.562790 kBT
2dr2B_M466.pdb     -279.987506 kBT
2dr2B_M72.pdb     -275.048461 kBT
2dr2B_M314.pdb     -281.567210 kBT
2dr2B_M8.pdb     -309.868220 kBT
2dr2B_M190.pdb     -288.353840 kBT
2dr2B_M345.pdb     -272.083483 kBT
2dr2B_M210.pdb     -278.731587 kBT
2dr2B_M131.pdb     -269.964262 kBT
2dr2B_M269.pdb     -277.206453 kBT
2dr2B_M496.pdb     -259.433243 kBT
2dr2B_M311.pdb     -264.968390 kBT
2dr2B_M322.pdb     -272.943250 kBT
2dr2B_M387.pdb     -262.167303 kBT
2dr2B_M207.pdb     -288.564972 kBT
2dr2B_M133.pdb     -271.168291 kBT
2dr2B_M232.pdb     -259.948972 kBT
2dr2B_M350.pdb     -241.042438 kBT
2dr2B_M395.pdb     -271.837593 kBT
2dr2B_M221.pdb     -275.283963 kBT
2dr2B_M318.pdb     -279.328749 kBT
2dr2B_M419.pdb     -266.740483 kBT
2dr2B_M120.pdb     -272.183102 kBT
2dr2B_M64.pdb     -290.099809 kBT
2dr2B_M313.pdb     -262.791108 kBT
2dr2B_M43.pdb     -301.972465 kBT
2dr2B_M476.pdb     -259.706569 kBT
2dr2B_M274.pdb     -259.363533 kBT
2dr2B_M3.pdb     -306.617422 kBT
2dr2B_M6.pdb     -298.699165 kBT
2dr2B_M197.pdb     -271.170832 kBT
2dr2B_M117.pdb     -263.729324 kBT
2dr2B_M421.pdb     -250.236123 kBT
2dr2B_M435.pdb     -276.887452 kBT
2dr2B_M78.pdb     -284.720814 kBT
2dr2B_M411.pdb     -270.721162 kBT
2dr2B_M127.pdb     -272.044302 kBT
2dr2B_M271.pdb     -281.768296 kBT
2dr2B_M138.pdb     -273.424183 kBT
2dr2B_M147.pdb     -288.803830 kBT
2dr2B_M321.pdb     -249.692554 kBT
2dr2B_M275.pdb     -272.758931 kBT
2dr2B_M360.pdb     -263.220179 kBT
2dr2B_M336.pdb     -274.946875 kBT
2dr2B_M390.pdb     -249.674346 kBT
2dr2B_M424.pdb     -261.452787 kBT
2dr2B_M121.pdb     -278.389091 kBT
2dr2B_M91.pdb     -278.135628 kBT
2dr2B_M441.pdb     -268.478585 kBT
2dr2B_M453.pdb     -238.817933 kBT
2dr2B_M253.pdb     -278.792800 kBT
2dr2B_M123.pdb     -271.697454 kBT
2dr2B_M60.pdb     -288.095216 kBT
2dr2B_M89.pdb     -276.532999 kBT
2dr2B_M1.pdb     -298.045246 kBT
2dr2B_M280.pdb     -268.777433 kBT
2dr2B_M326.pdb     -268.780272 kBT
2dr2B_M140.pdb     -273.887003 kBT
2dr2B_M355.pdb     -260.484942 kBT
2dr2B_M396.pdb     -258.284299 kBT
2dr2B_M499.pdb     -256.288946 kBT
2dr2B_M430.pdb     -266.138731 kBT
2dr2B_M234.pdb     -269.085990 kBT
2dr2B_M346.pdb     -257.568729 kBT
2dr2B_M378.pdb     -244.367200 kBT
2dr2B_M240.pdb     -279.159332 kBT
2dr2B_M494.pdb     -249.860801 kBT
2dr2B_M291.pdb     -267.076020 kBT
2dr2B_M464.pdb     -252.540015 kBT
2dr2B_M372.pdb     -249.529906 kBT
2dr2B_M369.pdb     -274.387398 kBT
2dr2B_M439.pdb     -265.485705 kBT
2dr2B_M113.pdb     -270.412280 kBT
2dr2B_M132.pdb     -275.873630 kBT
2dr2B_M31.pdb     -295.326743 kBT
2dr2B_M310.pdb     -268.294283 kBT
2dr2B_M399.pdb     -254.036569 kBT
2dr2B_M134.pdb     -292.053110 kBT
2dr2B_M15.pdb     -288.401012 kBT
2dr2B_M380.pdb     -263.693295 kBT
2dr2B_M340.pdb     -253.115779 kBT
2dr2B_M431.pdb     -267.049133 kBT
2dr2B_M475.pdb     -280.390034 kBT
2dr2B_M298.pdb     -269.447625 kBT
2dr2B_M124.pdb     -268.498440 kBT
2dr2B_M480.pdb     -256.721557 kBT
2dr2B_M284.pdb     -242.431167 kBT
2dr2B_M282.pdb     -268.855919 kBT
2dr2B_M95.pdb     -286.650119 kBT
2dr2B_M165.pdb     -276.969055 kBT
2dr2B_M208.pdb     -276.006767 kBT
2dr2B_M76.pdb     -282.977764 kBT
2dr2B_M56.pdb     -291.666023 kBT
2dr2B_M255.pdb     -266.479752 kBT
2dr2B_M44.pdb     -280.303815 kBT
2dr2B_M52.pdb     -289.595483 kBT
2dr2B_M414.pdb     -263.954724 kBT
2dr2B_M198.pdb     -281.061072 kBT
2dr2B_M339.pdb     -256.182095 kBT
2dr2B_M80.pdb     -289.491683 kBT
2dr2B_M187.pdb     -277.163470 kBT
2dr2B_M383.pdb     -259.744651 kBT
2dr2B_M214.pdb     -264.991439 kBT
2dr2B_M300.pdb     -257.547057 kBT
2dr2B_M22.pdb     -303.011570 kBT
2dr2B_M445.pdb     -267.602738 kBT
2dr2B_M239.pdb     -265.718711 kBT
2dr2B_M423.pdb     -264.298702 kBT
2dr2B_M47.pdb     -273.090062 kBT
2dr2B_M27.pdb     -292.884183 kBT
2dr2B_M487.pdb     -268.256197 kBT
2dr2B_M491.pdb     -261.708350 kBT
2dr2B_M213.pdb     -260.559806 kBT
2dr2B_M24.pdb     -290.570668 kBT
2dr2B_M5.pdb     -306.415965 kBT
2dr2B_M118.pdb     -265.228698 kBT
2dr2B_M468.pdb     -236.952711 kBT
2dr2B_M69.pdb     -288.114848 kBT
2dr2B_M177.pdb     -274.931995 kBT
2dr2B_M230.pdb     -276.138990 kBT
2dr2B_M294.pdb     -271.913909 kBT
2dr2B_M191.pdb     -262.465344 kBT
2dr2B_M153.pdb     -289.061630 kBT
2dr2B_M137.pdb     -274.434482 kBT
2dr2B_M105.pdb     -300.396680 kBT
2dr2B_M426.pdb     -258.968966 kBT
2dr2B_M405.pdb     -261.038606 kBT
2dr2B_M477.pdb     -267.763689 kBT
2dr2B_M497.pdb     -252.937967 kBT
2dr2B_M174.pdb     -263.594610 kBT
2dr2B_M498.pdb     -251.436877 kBT
2dr2B_M39.pdb     -291.948552 kBT
2dr2B_M179.pdb     -253.312236 kBT
2dr2B_M389.pdb     -232.884738 kBT
2dr2B_M398.pdb     -262.647386 kBT
2dr2B_M413.pdb     -253.500563 kBT
2dr2B_M471.pdb     -253.870269 kBT
2dr2B_M442.pdb     -266.791773 kBT
2dr2B_M408.pdb     -251.723754 kBT
2dr2B_M180.pdb     -272.439169 kBT
2dr2B_M483.pdb     -266.497057 kBT
2dr2B_M94.pdb     -290.953607 kBT
2dr2B_M211.pdb     -268.367788 kBT
2dr2B_M186.pdb     -268.692375 kBT
2dr2B_M58.pdb     -289.024816 kBT
2dr2B_M425.pdb     -254.701545 kBT
2dr2B_M45.pdb     -271.245264 kBT
2dr2B_M33.pdb     -292.381011 kBT
2dr2B_M189.pdb     -269.528012 kBT
2dr2B_M462.pdb     -250.480012 kBT
2dr2B_M454.pdb     -266.640994 kBT
2dr2B_M185.pdb     -273.686923 kBT
2dr2B_M235.pdb     -277.857543 kBT
2dr2B_M139.pdb     -279.451470 kBT
2dr2B_M226.pdb     -255.164309 kBT
2dr2B_M19.pdb     -302.040612 kBT
2dr2B_M62.pdb     -288.917298 kBT
2dr2B_M81.pdb     -280.713892 kBT
2dr2B_M126.pdb     -282.153207 kBT
2dr2B_M34.pdb     -306.491589 kBT
2dr2B_M70.pdb     -257.133774 kBT
2dr2B_M88.pdb     -277.637494 kBT
2dr2B_M335.pdb     -270.399583 kBT
2dr2B_M42.pdb     -298.621832 kBT
2dr2B_M7.pdb     -304.688883 kBT
2dr2B_M142.pdb     -251.502594 kBT
2dr2B_M273.pdb     -279.065319 kBT
2dr2B_M241.pdb     -266.683821 kBT
2dr2B_M17.pdb     -305.471890 kBT
2dr2B_M406.pdb     -278.443190 kBT
2dr2B_M37.pdb     -296.221774 kBT
2dr2B_M75.pdb     -269.498943 kBT
2dr2B_M486.pdb     -266.666221 kBT
2dr2B_M265.pdb     -257.552000 kBT
2dr2B_M181.pdb     -257.192469 kBT
2dr2B_M209.pdb     -259.098688 kBT
2dr2B_M193.pdb     -271.241863 kBT
2dr2B_M175.pdb     -255.508138 kBT
2dr2B_M30.pdb     -288.393461 kBT
2dr2B_M136.pdb     -289.099346 kBT
2dr2B_M467.pdb     -272.821165 kBT
2dr2B_M409.pdb     -252.300371 kBT
2dr2B_M171.pdb     -282.123793 kBT
2dr2B_M295.pdb     -264.297544 kBT
2dr2B_M444.pdb     -260.671785 kBT
2dr2B_M337.pdb     -264.610791 kBT
2dr2B_M96.pdb     -283.435971 kBT
2dr2B_M14.pdb     -297.133323 kBT
2dr2B_M154.pdb     -283.296310 kBT
2dr2B_M162.pdb     -276.979803 kBT
2dr2B_M93.pdb     -272.629615 kBT
2dr2B_M257.pdb     -263.608245 kBT
2dr2B_M20.pdb     -304.771976 kBT
2dr2B_M119.pdb     -297.188805 kBT
2dr2B_M367.pdb     -259.471325 kBT
2dr2B_M196.pdb     -266.840058 kBT
2dr2B_M384.pdb     -261.965285 kBT
2dr2B_M354.pdb     -267.692297 kBT
2dr2B_M495.pdb     -248.379116 kBT
2dr2B_M366.pdb     -258.936034 kBT
2dr2B_M146.pdb     -280.558331 kBT
2dr2B_M143.pdb     -263.105407 kBT
2dr2B_M415.pdb     -268.095283 kBT
2dr2B_M353.pdb     -258.671425 kBT
2dr2B_M382.pdb     -265.149893 kBT
2dr2B_M417.pdb     -247.776345 kBT
2dr2B_M329.pdb     -268.639617 kBT
2dr2B_M393.pdb     -245.483009 kBT
2dr2B_M204.pdb     -271.888516 kBT
2dr2B_M361.pdb     -254.470590 kBT
2dr2B_M195.pdb     -270.240436 kBT
2dr2B_M82.pdb     -288.744158 kBT
2dr2B_M184.pdb     -273.247417 kBT
2dr2B_M53.pdb     -278.399719 kBT
2dr2B_M446.pdb     -263.700013 kBT
2dr2B_M217.pdb     -256.505516 kBT
2dr2B_M49.pdb     -299.518881 kBT
2dr2B_M460.pdb     -284.884519 kBT
2dr2B_M110.pdb     -276.348484 kBT
2dr2B_M401.pdb     -252.223436 kBT
2dr2B_M261.pdb     -279.263250 kBT
2dr2B_M258.pdb     -250.357772 kBT
2dr2B_M456.pdb     -266.241414 kBT
2dr2B_M250.pdb     -266.212496 kBT
2dr2B_M65.pdb     -281.684948 kBT
2dr2B_M111.pdb     -279.380227 kBT
2dr2B_M324.pdb     -279.798163 kBT
2dr2B_M10.pdb     -310.899557 kBT
2dr2B_M220.pdb     -277.605098 kBT
2dr2B_M292.pdb     -245.114886 kBT
