1ooaD_M413.pdb     -61.706361 kBT
1ooaD_M239.pdb     -80.502681 kBT
1ooaD_M98.pdb     -85.219896 kBT
1ooaD_M456.pdb     -74.715345 kBT
1ooaD_M170.pdb     -89.056882 kBT
1ooaD_M483.pdb     -80.537812 kBT
1ooaD_M404.pdb     -72.488184 kBT
1ooaD_M190.pdb     -74.642374 kBT
1ooaD_M184.pdb     -77.497546 kBT
1ooaD_M498.pdb     -101.002268 kBT
1ooaD_M422.pdb     -64.750540 kBT
1ooaD_M208.pdb     -76.855201 kBT
1ooaD_M159.pdb     -83.620225 kBT
1ooaD_M115.pdb     -84.955507 kBT
1ooaD_M265.pdb     -84.641162 kBT
1ooaD_M394.pdb     -72.009132 kBT
1ooaD_M154.pdb     -77.144858 kBT
1ooaD_M466.pdb     -82.961770 kBT
1ooaD_M297.pdb     -84.722788 kBT
1ooaD_M195.pdb     -83.265138 kBT
1ooaD_M475.pdb     -84.243340 kBT
1ooaD_M343.pdb     -85.897294 kBT
1ooaD_M388.pdb     -80.135193 kBT
1ooaD_M59.pdb     -83.378906 kBT
1ooaD_M432.pdb     -72.352544 kBT
1ooaD_M214.pdb     -85.242763 kBT
1ooaD_M183.pdb     -77.402996 kBT
1ooaD_M31.pdb     -84.305601 kBT
1ooaD_M211.pdb     -93.537828 kBT
1ooaD_M267.pdb     -63.034443 kBT
1ooaD_M278.pdb     -84.881359 kBT
1ooaD_M268.pdb     -77.145316 kBT
1ooaD_M378.pdb     -86.496770 kBT
1ooaD_M234.pdb     -81.059692 kBT
1ooaD_M189.pdb     -85.010974 kBT
1ooaD_M84.pdb     -84.393730 kBT
1ooaD_M484.pdb     -91.024304 kBT
1ooaD_M161.pdb     -83.447471 kBT
1ooaD_M201.pdb     -82.747834 kBT
1ooaD_M347.pdb     -77.913320 kBT
1ooaD_M419.pdb     -81.874564 kBT
1ooaD_M111.pdb     -78.524311 kBT
1ooaD_M174.pdb     -89.034733 kBT
1ooaD_M39.pdb     -88.593615 kBT
1ooaD_M10.pdb     -91.962720 kBT
1ooaD_M492.pdb     -91.480388 kBT
1ooaD_M158.pdb     -87.105613 kBT
1ooaD_M85.pdb     -90.115749 kBT
1ooaD_M352.pdb     -61.863676 kBT
1ooaD_M288.pdb     -81.066636 kBT
1ooaD_M299.pdb     -92.819450 kBT
1ooaD_M233.pdb     -75.524653 kBT
1ooaD_M302.pdb     -81.778263 kBT
1ooaD_M224.pdb     -74.809488 kBT
1ooaD_M258.pdb     -87.184800 kBT
1ooaD_M351.pdb     -79.157321 kBT
1ooaD_M441.pdb     -91.833772 kBT
1ooaD_M3.pdb     -98.040185 kBT
1ooaD_M235.pdb     -59.018977 kBT
1ooaD_M349.pdb     -70.383364 kBT
1ooaD_M342.pdb     -86.622480 kBT
1ooaD_M139.pdb     -82.077230 kBT
1ooaD_M116.pdb     -75.908049 kBT
1ooaD_M381.pdb     -74.255357 kBT
1ooaD_M431.pdb     -84.985522 kBT
1ooaD_M257.pdb     -76.788927 kBT
1ooaD_M290.pdb     -83.207226 kBT
1ooaD_M149.pdb     -79.507338 kBT
1ooaD_M58.pdb     -86.823254 kBT
1ooaD_M493.pdb     -78.910768 kBT
1ooaD_M113.pdb     -80.669092 kBT
1ooaD_M240.pdb     -73.583745 kBT
1ooaD_M315.pdb     -78.389798 kBT
1ooaD_M45.pdb     -93.535555 kBT
1ooaD_M304.pdb     -72.882407 kBT
1ooaD_M110.pdb     -70.571742 kBT
1ooaD_M191.pdb     -75.030035 kBT
1ooaD_M341.pdb     -84.926823 kBT
1ooaD_M222.pdb     -58.847298 kBT
1ooaD_M449.pdb     -91.530971 kBT
1ooaD_M172.pdb     -79.429962 kBT
1ooaD_M325.pdb     -69.401813 kBT
1ooaD_M241.pdb     -67.601331 kBT
1ooaD_M259.pdb     -93.037468 kBT
1ooaD_M147.pdb     -72.918248 kBT
1ooaD_M223.pdb     -74.176090 kBT
1ooaD_M292.pdb     -87.097812 kBT
1ooaD_M447.pdb     -86.012279 kBT
1ooaD_M18.pdb     -94.882897 kBT
1ooaD_M70.pdb     -87.782657 kBT
1ooaD_M385.pdb     -72.575947 kBT
1ooaD_M125.pdb     -81.498403 kBT
1ooaD_M424.pdb     -80.209658 kBT
1ooaD_M251.pdb     -77.733098 kBT
1ooaD_M1.pdb     -97.723945 kBT
1ooaD_M421.pdb     -81.850241 kBT
1ooaD_M411.pdb     -68.108275 kBT
1ooaD_M176.pdb     -92.542531 kBT
1ooaD_M109.pdb     -81.498856 kBT
1ooaD_M130.pdb     -65.897272 kBT
1ooaD_M66.pdb     -83.611992 kBT
1ooaD_M321.pdb     -79.798815 kBT
1ooaD_M499.pdb     -68.932507 kBT
1ooaD_M250.pdb     -72.677667 kBT
1ooaD_M262.pdb     -82.489810 kBT
1ooaD_M313.pdb     -66.930371 kBT
1ooaD_M179.pdb     -86.384192 kBT
1ooaD_M22.pdb     -102.162659 kBT
1ooaD_M479.pdb     -73.805130 kBT
1ooaD_M415.pdb     -83.314244 kBT
1ooaD_M132.pdb     -84.956197 kBT
1ooaD_M284.pdb     -78.156788 kBT
1ooaD_M264.pdb     -81.668956 kBT
1ooaD_M173.pdb     -87.147820 kBT
1ooaD_M248.pdb     -76.476174 kBT
1ooaD_M76.pdb     -81.033140 kBT
1ooaD_M467.pdb     -88.519190 kBT
1ooaD_M372.pdb     -89.564738 kBT
1ooaD_M426.pdb     -79.224306 kBT
1ooaD_M344.pdb     -88.734425 kBT
1ooaD_M105.pdb     -87.911278 kBT
1ooaD_M245.pdb     -79.398265 kBT
1ooaD_M407.pdb     -74.528704 kBT
1ooaD_M237.pdb     -72.812034 kBT
1ooaD_M141.pdb     -77.610374 kBT
1ooaD_M93.pdb     -81.739739 kBT
1ooaD_M391.pdb     -67.163185 kBT
1ooaD_M365.pdb     -75.616090 kBT
1ooaD_M11.pdb     -95.852192 kBT
1ooaD_M2.pdb     -97.885627 kBT
1ooaD_M32.pdb     -98.749218 kBT
1ooaD_M412.pdb     -75.811723 kBT
1ooaD_M178.pdb     -83.507543 kBT
1ooaD_M118.pdb     -89.016033 kBT
1ooaD_M261.pdb     -81.244853 kBT
1ooaD_M12.pdb     -95.040033 kBT
1ooaD_M145.pdb     -88.181361 kBT
1ooaD_M410.pdb     -70.678732 kBT
1ooaD_M403.pdb     -72.832353 kBT
1ooaD_M244.pdb     -60.775282 kBT
1ooaD_M330.pdb     -74.785115 kBT
1ooaD_M474.pdb     -80.371178 kBT
1ooaD_M293.pdb     -72.917432 kBT
1ooaD_M14.pdb     -95.150230 kBT
1ooaD_M254.pdb     -77.634003 kBT
1ooaD_M490.pdb     -84.411150 kBT
1ooaD_M386.pdb     -82.199003 kBT
1ooaD_M482.pdb     -72.423777 kBT
1ooaD_M335.pdb     -76.503932 kBT
1ooaD_M353.pdb     -76.980467 kBT
1ooaD_M42.pdb     -88.469674 kBT
1ooaD_M164.pdb     -79.752378 kBT
1ooaD_M400.pdb     -73.520756 kBT
1ooaD_M255.pdb     -78.602676 kBT
1ooaD_M20.pdb     -98.176398 kBT
1ooaD_M266.pdb     -79.782095 kBT
1ooaD_M436.pdb     -79.100410 kBT
1ooaD_M323.pdb     -69.315803 kBT
1ooaD_M317.pdb     -72.290499 kBT
1ooaD_M88.pdb     -78.886586 kBT
1ooaD_M142.pdb     -88.918203 kBT
1ooaD_M453.pdb     -74.724954 kBT
1ooaD_M438.pdb     -81.129041 kBT
1ooaD_M134.pdb     -84.234305 kBT
1ooaD_M306.pdb     -64.376794 kBT
1ooaD_M80.pdb     -80.511338 kBT
1ooaD_M47.pdb     -89.920713 kBT
1ooaD_M485.pdb     -87.454703 kBT
1ooaD_M117.pdb     -88.807113 kBT
1ooaD_M392.pdb     -60.301179 kBT
1ooaD_M338.pdb     -75.306409 kBT
1ooaD_M153.pdb     -75.103828 kBT
1ooaD_M50.pdb     -87.108433 kBT
1ooaD_M182.pdb     -87.292545 kBT
1ooaD_M120.pdb     -81.776253 kBT
1ooaD_M238.pdb     -79.616098 kBT
1ooaD_M425.pdb     -77.736651 kBT
1ooaD_M82.pdb     -75.088320 kBT
1ooaD_M69.pdb     -84.352918 kBT
1ooaD_M275.pdb     -79.099196 kBT
1ooaD_M495.pdb     -87.279883 kBT
1ooaD_M53.pdb     -89.165023 kBT
1ooaD_M363.pdb     -72.590750 kBT
1ooaD_M112.pdb     -87.308698 kBT
1ooaD_M28.pdb     -97.812763 kBT
1ooaD_M263.pdb     -67.850238 kBT
1ooaD_M496.pdb     -85.576974 kBT
1ooaD_M140.pdb     -94.077238 kBT
1ooaD_M345.pdb     -66.364434 kBT
1ooaD_M416.pdb     -87.380552 kBT
1ooaD_M429.pdb     -62.441545 kBT
1ooaD_M260.pdb     -79.098293 kBT
1ooaD_M360.pdb     -73.764634 kBT
1ooaD_M25.pdb     -100.087089 kBT
1ooaD_M131.pdb     -87.140730 kBT
1ooaD_M106.pdb     -79.860589 kBT
1ooaD_M455.pdb     -68.919222 kBT
1ooaD_M494.pdb     -72.912577 kBT
1ooaD_M152.pdb     -76.828134 kBT
1ooaD_M464.pdb     -83.689755 kBT
1ooaD_M186.pdb     -79.020349 kBT
1ooaD_M382.pdb     -73.335437 kBT
1ooaD_M217.pdb     -84.222937 kBT
1ooaD_M87.pdb     -81.749157 kBT
1ooaD_M476.pdb     -87.760337 kBT
1ooaD_M220.pdb     -94.449167 kBT
1ooaD_M295.pdb     -65.495430 kBT
1ooaD_M491.pdb     -64.997697 kBT
1ooaD_M231.pdb     -75.715160 kBT
1ooaD_M216.pdb     -80.855476 kBT
1ooaD_M489.pdb     -81.220999 kBT
1ooaD_M203.pdb     -84.044757 kBT
1ooaD_M137.pdb     -82.945545 kBT
1ooaD_M232.pdb     -90.375473 kBT
1ooaD_M291.pdb     -73.605497 kBT
1ooaD_M435.pdb     -76.949500 kBT
1ooaD_M371.pdb     -76.001550 kBT
1ooaD_M230.pdb     -69.677781 kBT
1ooaD_M364.pdb     -75.944931 kBT
1ooaD_M127.pdb     -82.008486 kBT
1ooaD_M427.pdb     -79.419510 kBT
1ooaD_M97.pdb     -85.247798 kBT
1ooaD_M72.pdb     -82.001429 kBT
1ooaD_M150.pdb     -80.088812 kBT
1ooaD_M198.pdb     -87.661412 kBT
1ooaD_M210.pdb     -67.603787 kBT
1ooaD_M480.pdb     -81.815090 kBT
1ooaD_M8.pdb     -101.265251 kBT
1ooaD_M213.pdb     -80.146373 kBT
1ooaD_M443.pdb     -82.106923 kBT
1ooaD.pdb     -95.562990 kBT
1ooaD_M469.pdb     -69.161533 kBT
1ooaD_M354.pdb     -68.887704 kBT
1ooaD_M448.pdb     -83.677102 kBT
1ooaD_M497.pdb     -78.329597 kBT
1ooaD_M33.pdb     -104.629370 kBT
1ooaD_M280.pdb     -80.100158 kBT
1ooaD_M57.pdb     -79.275803 kBT
1ooaD_M396.pdb     -75.311771 kBT
1ooaD_M108.pdb     -81.099141 kBT
1ooaD_M192.pdb     -73.452584 kBT
1ooaD_M156.pdb     -89.023755 kBT
1ooaD_M24.pdb     -99.564521 kBT
1ooaD_M229.pdb     -79.880762 kBT
1ooaD_M274.pdb     -88.124781 kBT
1ooaD_M296.pdb     -85.645336 kBT
1ooaD_M462.pdb     -83.828420 kBT
1ooaD_M27.pdb     -95.262004 kBT
1ooaD_M318.pdb     -69.690713 kBT
1ooaD_M434.pdb     -71.992185 kBT
1ooaD_M310.pdb     -83.454056 kBT
1ooaD_M227.pdb     -81.002108 kBT
1ooaD_M423.pdb     -74.540499 kBT
1ooaD_M327.pdb     -71.055258 kBT
1ooaD_M62.pdb     -80.739581 kBT
1ooaD_M5.pdb     -97.788178 kBT
1ooaD_M138.pdb     -93.591337 kBT
1ooaD_M487.pdb     -69.535652 kBT
1ooaD_M405.pdb     -71.228839 kBT
1ooaD_M4.pdb     -97.422576 kBT
1ooaD_M276.pdb     -79.701871 kBT
1ooaD_M326.pdb     -72.330602 kBT
1ooaD_M454.pdb     -84.686459 kBT
1ooaD_M355.pdb     -72.723763 kBT
1ooaD_M180.pdb     -89.762150 kBT
1ooaD_M471.pdb     -82.876645 kBT
1ooaD_M128.pdb     -83.913223 kBT
1ooaD_M103.pdb     -80.011242 kBT
1ooaD_M171.pdb     -66.363613 kBT
1ooaD_M55.pdb     -100.235530 kBT
1ooaD_M41.pdb     -89.679701 kBT
1ooaD_M463.pdb     -90.920284 kBT
1ooaD_M379.pdb     -83.072462 kBT
1ooaD_M79.pdb     -84.161249 kBT
1ooaD_M148.pdb     -79.269702 kBT
1ooaD_M23.pdb     -102.384044 kBT
1ooaD_M402.pdb     -76.102157 kBT
1ooaD_M269.pdb     -78.604347 kBT
1ooaD_M346.pdb     -67.514400 kBT
1ooaD_M390.pdb     -71.943407 kBT
1ooaD_M428.pdb     -64.579572 kBT
1ooaD_M334.pdb     -75.835266 kBT
1ooaD_M205.pdb     -66.708341 kBT
1ooaD_M301.pdb     -75.563094 kBT
1ooaD_M91.pdb     -85.604893 kBT
1ooaD_M219.pdb     -65.117780 kBT
1ooaD_M457.pdb     -83.050964 kBT
1ooaD_M67.pdb     -96.413199 kBT
1ooaD_M56.pdb     -102.714251 kBT
1ooaD_M146.pdb     -83.339399 kBT
1ooaD_M468.pdb     -79.054246 kBT
1ooaD_M316.pdb     -78.902564 kBT
1ooaD_M444.pdb     -68.595053 kBT
1ooaD_M221.pdb     -92.584709 kBT
1ooaD_M166.pdb     -87.419055 kBT
1ooaD_M207.pdb     -75.741421 kBT
1ooaD_M270.pdb     -67.873324 kBT
1ooaD_M102.pdb     -83.263242 kBT
1ooaD_M383.pdb     -67.499538 kBT
1ooaD_M314.pdb     -74.777839 kBT
1ooaD_M90.pdb     -87.306901 kBT
1ooaD_M99.pdb     -81.074657 kBT
1ooaD_M430.pdb     -90.110433 kBT
1ooaD_M357.pdb     -90.785367 kBT
1ooaD_M101.pdb     -70.930148 kBT
1ooaD_M401.pdb     -80.201403 kBT
1ooaD_M68.pdb     -88.252163 kBT
1ooaD_M389.pdb     -69.273177 kBT
1ooaD_M375.pdb     -72.807041 kBT
1ooaD_M242.pdb     -101.792650 kBT
1ooaD_M157.pdb     -79.742178 kBT
1ooaD_M333.pdb     -69.547233 kBT
1ooaD_M135.pdb     -62.818160 kBT
1ooaD_M209.pdb     -87.081989 kBT
1ooaD_M228.pdb     -74.929702 kBT
1ooaD_M133.pdb     -84.714659 kBT
1ooaD_M151.pdb     -80.066081 kBT
1ooaD_M243.pdb     -85.509205 kBT
1ooaD_M9.pdb     -96.225406 kBT
1ooaD_M253.pdb     -74.297955 kBT
1ooaD_M329.pdb     -87.884944 kBT
1ooaD_M104.pdb     -91.046913 kBT
1ooaD_M194.pdb     -85.462776 kBT
1ooaD_M48.pdb     -90.554425 kBT
1ooaD_M481.pdb     -80.187205 kBT
1ooaD_M307.pdb     -71.954213 kBT
1ooaD_M123.pdb     -91.917114 kBT
1ooaD_M65.pdb     -80.785778 kBT
1ooaD_M122.pdb     -89.139451 kBT
1ooaD_M285.pdb     -84.876991 kBT
1ooaD_M49.pdb     -90.616816 kBT
1ooaD_M303.pdb     -76.397803 kBT
1ooaD_M328.pdb     -67.523452 kBT
1ooaD_M406.pdb     -84.600330 kBT
1ooaD_M124.pdb     -75.998126 kBT
1ooaD_M439.pdb     -91.436048 kBT
1ooaD_M283.pdb     -71.620067 kBT
1ooaD_M337.pdb     -87.392843 kBT
1ooaD_M196.pdb     -87.434843 kBT
1ooaD_M86.pdb     -79.396706 kBT
1ooaD_M324.pdb     -80.308100 kBT
1ooaD_M226.pdb     -70.944061 kBT
1ooaD_M236.pdb     -83.619432 kBT
1ooaD_M126.pdb     -86.224766 kBT
1ooaD_M418.pdb     -76.804461 kBT
1ooaD_M373.pdb     -90.769542 kBT
1ooaD_M366.pdb     -71.595698 kBT
1ooaD_M26.pdb     -94.403370 kBT
1ooaD_M350.pdb     -74.793026 kBT
1ooaD_M16.pdb     -101.828239 kBT
1ooaD_M44.pdb     -99.489332 kBT
1ooaD_M445.pdb     -86.811288 kBT
1ooaD_M309.pdb     -73.128397 kBT
1ooaD_M452.pdb     -69.361459 kBT
1ooaD_M107.pdb     -76.612382 kBT
1ooaD_M376.pdb     -71.831910 kBT
1ooaD_M175.pdb     -82.097621 kBT
1ooaD_M160.pdb     -95.315277 kBT
1ooaD_M417.pdb     -81.400894 kBT
1ooaD_M162.pdb     -83.480836 kBT
1ooaD_M19.pdb     -99.964116 kBT
1ooaD_M369.pdb     -79.128016 kBT
1ooaD_M77.pdb     -84.721075 kBT
1ooaD_M188.pdb     -75.719029 kBT
1ooaD_M393.pdb     -83.633707 kBT
1ooaD_M256.pdb     -57.863895 kBT
1ooaD_M359.pdb     -77.631065 kBT
1ooaD_M181.pdb     -82.708047 kBT
1ooaD_M277.pdb     -83.895139 kBT
1ooaD_M358.pdb     -76.016273 kBT
1ooaD_M465.pdb     -89.325895 kBT
1ooaD_M204.pdb     -88.307850 kBT
1ooaD_M75.pdb     -83.098497 kBT
1ooaD_M420.pdb     -72.160157 kBT
1ooaD_M368.pdb     -72.980989 kBT
1ooaD_M446.pdb     -75.206146 kBT
1ooaD_M472.pdb     -65.621294 kBT
1ooaD_M206.pdb     -77.707425 kBT
1ooaD_M78.pdb     -82.837054 kBT
1ooaD_M199.pdb     -85.522737 kBT
1ooaD_M282.pdb     -86.906997 kBT
1ooaD_M17.pdb     -100.157743 kBT
1ooaD_M40.pdb     -94.810314 kBT
1ooaD_M7.pdb     -97.900288 kBT
1ooaD_M114.pdb     -77.695811 kBT
1ooaD_M286.pdb     -86.998091 kBT
1ooaD_M177.pdb     -83.052863 kBT
1ooaD_M458.pdb     -78.718567 kBT
1ooaD_M36.pdb     -99.635508 kBT
1ooaD_M279.pdb     -79.527641 kBT
1ooaD_M63.pdb     -78.406258 kBT
1ooaD_M96.pdb     -85.157956 kBT
1ooaD_M81.pdb     -95.090876 kBT
1ooaD_M442.pdb     -85.695235 kBT
1ooaD_M460.pdb     -78.797922 kBT
1ooaD_M37.pdb     -89.039702 kBT
1ooaD_M43.pdb     -93.211180 kBT
1ooaD_M168.pdb     -85.585560 kBT
1ooaD_M298.pdb     -89.315307 kBT
1ooaD_M384.pdb     -81.914246 kBT
1ooaD_M21.pdb     -103.742521 kBT
1ooaD_M451.pdb     -88.463949 kBT
1ooaD_M300.pdb     -88.952326 kBT
1ooaD_M387.pdb     -87.138809 kBT
1ooaD_M247.pdb     -67.483144 kBT
1ooaD_M377.pdb     -80.072639 kBT
1ooaD_M95.pdb     -95.386745 kBT
1ooaD_M129.pdb     -88.523142 kBT
1ooaD_M322.pdb     -87.718359 kBT
1ooaD_M202.pdb     -77.338013 kBT
1ooaD_M399.pdb     -90.625577 kBT
1ooaD_M89.pdb     -84.518805 kBT
1ooaD_M35.pdb     -94.397241 kBT
1ooaD_M94.pdb     -82.976322 kBT
1ooaD_M332.pdb     -84.927498 kBT
1ooaD_M470.pdb     -65.402245 kBT
1ooaD_M348.pdb     -76.491686 kBT
1ooaD_M398.pdb     -82.977850 kBT
1ooaD_M488.pdb     -70.717802 kBT
1ooaD_M13.pdb     -96.813670 kBT
1ooaD_M500.pdb     -73.104771 kBT
1ooaD_M414.pdb     -78.620352 kBT
1ooaD_M361.pdb     -67.540021 kBT
1ooaD_M336.pdb     -63.936217 kBT
1ooaD_M215.pdb     -73.819986 kBT
1ooaD_M73.pdb     -94.335690 kBT
1ooaD_M34.pdb     -99.424071 kBT
1ooaD_M289.pdb     -80.040475 kBT
1ooaD_M100.pdb     -89.048346 kBT
1ooaD_M193.pdb     -81.332524 kBT
1ooaD_M64.pdb     -76.532244 kBT
1ooaD_M339.pdb     -68.376145 kBT
1ooaD_M163.pdb     -84.526460 kBT
1ooaD_M331.pdb     -65.734876 kBT
1ooaD_M477.pdb     -88.453076 kBT
1ooaD_M273.pdb     -84.852338 kBT
1ooaD_M74.pdb     -90.583478 kBT
1ooaD_M294.pdb     -60.537652 kBT
1ooaD_M305.pdb     -87.738175 kBT
1ooaD_M15.pdb     -98.330403 kBT
