1jidB_M410.pdb     -72.968133 kBT
1jidB_M119.pdb     -112.407934 kBT
1jidB_M474.pdb     -81.309958 kBT
1jidB_M400.pdb     -100.487080 kBT
1jidB_M180.pdb     -80.391234 kBT
1jidB_M214.pdb     -104.361880 kBT
1jidB_M422.pdb     -83.633728 kBT
1jidB_M98.pdb     -106.198433 kBT
1jidB_M433.pdb     -68.890651 kBT
1jidB_M239.pdb     -96.924894 kBT
1jidB_M49.pdb     -117.890343 kBT
1jidB_M96.pdb     -100.676021 kBT
1jidB_M357.pdb     -78.306293 kBT
1jidB_M338.pdb     -75.644329 kBT
1jidB_M489.pdb     -98.058034 kBT
1jidB_M21.pdb     -121.298957 kBT
1jidB_M477.pdb     -61.660821 kBT
1jidB_M291.pdb     -83.814642 kBT
1jidB_M364.pdb     -85.500090 kBT
1jidB_M332.pdb     -65.742189 kBT
1jidB_M151.pdb     -89.572074 kBT
1jidB_M231.pdb     -80.095085 kBT
1jidB_M114.pdb     -103.099237 kBT
1jidB_M211.pdb     -79.074431 kBT
1jidB_M43.pdb     -111.256688 kBT
1jidB_M442.pdb     -74.593566 kBT
1jidB_M220.pdb     -86.909746 kBT
1jidB_M192.pdb     -96.227777 kBT
1jidB_M212.pdb     -87.205872 kBT
1jidB_M374.pdb     -99.867837 kBT
1jidB_M112.pdb     -93.472528 kBT
1jidB_M353.pdb     -73.315547 kBT
1jidB_M414.pdb     -94.181514 kBT
1jidB_M9.pdb     -121.061165 kBT
1jidB_M226.pdb     -67.149103 kBT
1jidB_M367.pdb     -87.537850 kBT
1jidB_M159.pdb     -81.620067 kBT
1jidB_M176.pdb     -67.401026 kBT
1jidB_M385.pdb     -87.857130 kBT
1jidB_M392.pdb     -91.072695 kBT
1jidB_M48.pdb     -106.124486 kBT
1jidB_M274.pdb     -72.878965 kBT
1jidB_M135.pdb     -97.810829 kBT
1jidB_M494.pdb     -86.303242 kBT
1jidB_M171.pdb     -110.913663 kBT
1jidB_M418.pdb     -72.622409 kBT
1jidB_M346.pdb     -82.976810 kBT
1jidB_M45.pdb     -106.782916 kBT
1jidB_M118.pdb     -82.912277 kBT
1jidB_M390.pdb     -81.449122 kBT
1jidB_M222.pdb     -87.503891 kBT
1jidB_M250.pdb     -73.479333 kBT
1jidB_M252.pdb     -95.290257 kBT
1jidB_M321.pdb     -97.965964 kBT
1jidB_M322.pdb     -95.145856 kBT
1jidB_M341.pdb     -73.116689 kBT
1jidB_M264.pdb     -101.264340 kBT
1jidB_M202.pdb     -79.751890 kBT
1jidB.pdb     -155.390105 kBT
1jidB_M56.pdb     -96.090006 kBT
1jidB_M124.pdb     -63.383337 kBT
1jidB_M428.pdb     -75.496838 kBT
1jidB_M55.pdb     -110.829671 kBT
1jidB_M360.pdb     -74.154549 kBT
1jidB_M412.pdb     -74.181186 kBT
1jidB_M308.pdb     -93.657729 kBT
1jidB_M436.pdb     -76.724554 kBT
1jidB_M108.pdb     -96.949224 kBT
1jidB_M362.pdb     -77.295983 kBT
1jidB_M234.pdb     -88.587132 kBT
1jidB_M106.pdb     -86.017069 kBT
1jidB_M39.pdb     -104.638282 kBT
1jidB_M408.pdb     -66.898968 kBT
1jidB_M79.pdb     -105.172709 kBT
1jidB_M102.pdb     -95.936313 kBT
1jidB_M305.pdb     -66.887014 kBT
1jidB_M275.pdb     -93.426749 kBT
1jidB_M153.pdb     -115.055738 kBT
1jidB_M215.pdb     -105.738585 kBT
1jidB_M191.pdb     -83.522765 kBT
1jidB_M199.pdb     -84.365171 kBT
1jidB_M198.pdb     -80.776839 kBT
1jidB_M347.pdb     -79.068532 kBT
1jidB_M80.pdb     -89.084516 kBT
1jidB_M237.pdb     -82.552725 kBT
1jidB_M300.pdb     -86.537474 kBT
1jidB_M460.pdb     -77.403818 kBT
1jidB_M482.pdb     -59.205909 kBT
1jidB_M361.pdb     -85.956373 kBT
1jidB_M328.pdb     -87.251305 kBT
1jidB_M478.pdb     -70.115962 kBT
1jidB_M196.pdb     -96.023086 kBT
1jidB_M149.pdb     -104.307374 kBT
1jidB_M499.pdb     -76.337108 kBT
1jidB_M340.pdb     -79.420156 kBT
1jidB_M466.pdb     -85.123451 kBT
1jidB_M50.pdb     -91.217504 kBT
1jidB_M60.pdb     -103.723215 kBT
1jidB_M70.pdb     -107.799898 kBT
1jidB_M206.pdb     -76.589107 kBT
1jidB_M193.pdb     -97.326153 kBT
1jidB_M426.pdb     -68.315534 kBT
1jidB_M342.pdb     -66.988404 kBT
1jidB_M468.pdb     -72.765681 kBT
1jidB_M190.pdb     -81.254488 kBT
1jidB_M297.pdb     -86.767594 kBT
1jidB_M391.pdb     -78.619983 kBT
1jidB_M348.pdb     -84.796729 kBT
1jidB_M179.pdb     -99.025702 kBT
1jidB_M267.pdb     -97.225891 kBT
1jidB_M3.pdb     -122.588657 kBT
1jidB_M137.pdb     -109.800204 kBT
1jidB_M83.pdb     -86.701660 kBT
1jidB_M299.pdb     -84.375126 kBT
1jidB_M58.pdb     -96.332237 kBT
1jidB_M386.pdb     -79.897228 kBT
1jidB_M69.pdb     -99.704455 kBT
1jidB_M271.pdb     -72.792727 kBT
1jidB_M376.pdb     -77.599248 kBT
1jidB_M438.pdb     -92.292112 kBT
1jidB_M217.pdb     -95.732398 kBT
1jidB_M263.pdb     -93.673556 kBT
1jidB_M110.pdb     -95.862617 kBT
1jidB_M459.pdb     -74.042309 kBT
1jidB_M420.pdb     -77.776631 kBT
1jidB_M425.pdb     -72.399567 kBT
1jidB_M457.pdb     -72.241360 kBT
1jidB_M437.pdb     -84.192673 kBT
1jidB_M467.pdb     -72.705120 kBT
1jidB_M443.pdb     -96.790470 kBT
1jidB_M450.pdb     -96.841882 kBT
1jidB_M356.pdb     -69.464276 kBT
1jidB_M349.pdb     -84.958057 kBT
1jidB_M134.pdb     -86.646949 kBT
1jidB_M366.pdb     -73.751652 kBT
1jidB_M355.pdb     -82.918313 kBT
1jidB_M123.pdb     -92.953965 kBT
1jidB_M398.pdb     -67.705758 kBT
1jidB_M67.pdb     -97.145105 kBT
1jidB_M77.pdb     -104.554601 kBT
1jidB_M183.pdb     -94.876844 kBT
1jidB_M483.pdb     -107.117946 kBT
1jidB_M445.pdb     -90.768144 kBT
1jidB_M6.pdb     -123.125016 kBT
1jidB_M262.pdb     -93.576523 kBT
1jidB_M417.pdb     -76.489421 kBT
1jidB_M265.pdb     -97.127512 kBT
1jidB_M2.pdb     -121.637398 kBT
1jidB_M72.pdb     -100.258365 kBT
1jidB_M324.pdb     -86.262127 kBT
1jidB_M475.pdb     -74.806442 kBT
1jidB_M133.pdb     -98.036489 kBT
1jidB_M51.pdb     -107.863083 kBT
1jidB_M282.pdb     -77.477614 kBT
1jidB_M486.pdb     -74.962972 kBT
1jidB_M115.pdb     -109.719295 kBT
1jidB_M62.pdb     -112.168028 kBT
1jidB_M1.pdb     -121.899968 kBT
1jidB_M377.pdb     -91.168957 kBT
1jidB_M242.pdb     -88.099790 kBT
1jidB_M465.pdb     -87.900532 kBT
1jidB_M91.pdb     -82.602044 kBT
1jidB_M122.pdb     -102.822746 kBT
1jidB_M352.pdb     -72.008001 kBT
1jidB_M144.pdb     -74.567148 kBT
1jidB_M480.pdb     -80.618716 kBT
1jidB_M344.pdb     -69.149800 kBT
1jidB_M277.pdb     -60.799587 kBT
1jidB_M423.pdb     -74.024568 kBT
1jidB_M116.pdb     -97.880300 kBT
1jidB_M399.pdb     -81.857984 kBT
1jidB_M488.pdb     -60.891022 kBT
1jidB_M431.pdb     -96.060924 kBT
1jidB_M286.pdb     -97.619496 kBT
1jidB_M44.pdb     -107.098686 kBT
1jidB_M359.pdb     -76.450426 kBT
1jidB_M235.pdb     -100.073311 kBT
1jidB_M479.pdb     -70.836584 kBT
1jidB_M52.pdb     -103.879303 kBT
1jidB_M491.pdb     -129.080786 kBT
1jidB_M238.pdb     -90.833505 kBT
1jidB_M95.pdb     -87.662151 kBT
1jidB_M185.pdb     -94.743306 kBT
1jidB_M152.pdb     -108.902586 kBT
1jidB_M454.pdb     -73.137117 kBT
1jidB_M370.pdb     -95.623651 kBT
1jidB_M40.pdb     -105.098091 kBT
1jidB_M46.pdb     -114.552549 kBT
1jidB_M241.pdb     -75.555045 kBT
1jidB_M312.pdb     -94.805816 kBT
1jidB_M256.pdb     -95.526985 kBT
1jidB_M345.pdb     -78.103422 kBT
1jidB_M38.pdb     -122.518146 kBT
1jidB_M86.pdb     -98.747241 kBT
1jidB_M213.pdb     -81.559881 kBT
1jidB_M23.pdb     -126.061677 kBT
1jidB_M31.pdb     -99.603423 kBT
1jidB_M363.pdb     -71.199180 kBT
1jidB_M288.pdb     -100.295412 kBT
1jidB_M240.pdb     -91.759058 kBT
1jidB_M451.pdb     -71.780718 kBT
1jidB_M100.pdb     -100.655939 kBT
1jidB_M189.pdb     -94.513055 kBT
1jidB_M471.pdb     -64.714634 kBT
1jidB_M440.pdb     -72.685211 kBT
1jidB_M315.pdb     -80.722763 kBT
1jidB_M145.pdb     -86.629844 kBT
1jidB_M68.pdb     -90.883484 kBT
1jidB_M314.pdb     -75.995213 kBT
1jidB_M487.pdb     -53.432743 kBT
1jidB_M158.pdb     -102.558589 kBT
1jidB_M373.pdb     -69.560996 kBT
1jidB_M64.pdb     -82.006545 kBT
1jidB_M165.pdb     -91.139379 kBT
1jidB_M105.pdb     -102.517992 kBT
1jidB_M292.pdb     -78.062323 kBT
1jidB_M455.pdb     -82.932628 kBT
1jidB_M395.pdb     -89.388010 kBT
1jidB_M65.pdb     -100.421924 kBT
1jidB_M120.pdb     -85.971994 kBT
1jidB_M249.pdb     -78.095566 kBT
1jidB_M167.pdb     -98.791104 kBT
1jidB_M452.pdb     -80.690974 kBT
1jidB_M209.pdb     -89.097688 kBT
1jidB_M424.pdb     -101.281956 kBT
1jidB_M25.pdb     -106.737733 kBT
1jidB_M84.pdb     -94.014802 kBT
1jidB_M334.pdb     -97.396828 kBT
1jidB_M109.pdb     -84.321747 kBT
1jidB_M227.pdb     -86.988176 kBT
1jidB_M218.pdb     -85.643851 kBT
1jidB_M197.pdb     -86.051896 kBT
1jidB_M472.pdb     -77.260147 kBT
1jidB_M270.pdb     -66.043920 kBT
1jidB_M248.pdb     -95.108799 kBT
1jidB_M27.pdb     -114.771542 kBT
1jidB_M464.pdb     -78.251378 kBT
1jidB_M92.pdb     -100.511809 kBT
1jidB_M187.pdb     -99.595567 kBT
1jidB_M444.pdb     -70.754836 kBT
1jidB_M126.pdb     -94.762046 kBT
1jidB_M221.pdb     -64.380044 kBT
1jidB_M301.pdb     -96.778253 kBT
1jidB_M279.pdb     -79.583551 kBT
1jidB_M306.pdb     -114.011493 kBT
1jidB_M382.pdb     -91.173905 kBT
1jidB_M259.pdb     -75.262469 kBT
1jidB_M232.pdb     -88.625794 kBT
1jidB_M168.pdb     -102.696592 kBT
1jidB_M304.pdb     -86.648222 kBT
1jidB_M35.pdb     -114.949946 kBT
1jidB_M127.pdb     -85.062097 kBT
1jidB_M261.pdb     -102.806860 kBT
1jidB_M384.pdb     -79.703286 kBT
1jidB_M132.pdb     -85.745123 kBT
1jidB_M164.pdb     -86.324972 kBT
1jidB_M335.pdb     -84.933277 kBT
1jidB_M449.pdb     -70.646105 kBT
1jidB_M411.pdb     -96.535004 kBT
1jidB_M161.pdb     -102.316064 kBT
1jidB_M435.pdb     -92.520125 kBT
1jidB_M496.pdb     -95.334285 kBT
1jidB_M63.pdb     -104.863651 kBT
1jidB_M154.pdb     -103.633057 kBT
1jidB_M416.pdb     -72.935372 kBT
1jidB_M229.pdb     -99.415197 kBT
1jidB_M310.pdb     -81.977916 kBT
1jidB_M381.pdb     -81.628748 kBT
1jidB_M320.pdb     -91.641667 kBT
1jidB_M36.pdb     -105.798018 kBT
1jidB_M236.pdb     -85.787006 kBT
1jidB_M379.pdb     -79.500372 kBT
1jidB_M4.pdb     -120.354953 kBT
1jidB_M409.pdb     -74.488805 kBT
1jidB_M358.pdb     -72.601563 kBT
1jidB_M169.pdb     -98.459717 kBT
1jidB_M394.pdb     -75.655205 kBT
1jidB_M447.pdb     -62.310134 kBT
1jidB_M280.pdb     -93.096430 kBT
1jidB_M473.pdb     -70.664491 kBT
1jidB_M130.pdb     -92.848979 kBT
1jidB_M336.pdb     -94.192024 kBT
1jidB_M203.pdb     -109.554169 kBT
1jidB_M15.pdb     -122.874082 kBT
1jidB_M140.pdb     -76.403470 kBT
1jidB_M61.pdb     -101.740387 kBT
1jidB_M107.pdb     -101.900200 kBT
1jidB_M307.pdb     -76.979971 kBT
1jidB_M284.pdb     -89.243948 kBT
1jidB_M30.pdb     -112.348261 kBT
1jidB_M88.pdb     -96.365848 kBT
1jidB_M148.pdb     -95.565083 kBT
1jidB_M421.pdb     -66.359366 kBT
1jidB_M313.pdb     -74.556516 kBT
1jidB_M205.pdb     -90.749868 kBT
1jidB_M415.pdb     -79.052594 kBT
1jidB_M166.pdb     -84.739577 kBT
1jidB_M325.pdb     -71.016686 kBT
1jidB_M53.pdb     -98.934772 kBT
1jidB_M302.pdb     -88.359332 kBT
1jidB_M143.pdb     -87.389264 kBT
1jidB_M272.pdb     -79.796601 kBT
1jidB_M104.pdb     -93.133673 kBT
1jidB_M13.pdb     -119.593780 kBT
1jidB_M103.pdb     -91.414022 kBT
1jidB_M257.pdb     -77.460523 kBT
1jidB_M458.pdb     -79.712354 kBT
1jidB_M89.pdb     -92.917181 kBT
1jidB_M481.pdb     -84.684628 kBT
1jidB_M121.pdb     -90.475858 kBT
1jidB_M146.pdb     -108.645957 kBT
1jidB_M225.pdb     -104.281665 kBT
1jidB_M407.pdb     -71.454742 kBT
1jidB_M375.pdb     -87.950904 kBT
1jidB_M281.pdb     -92.218926 kBT
1jidB_M484.pdb     -67.764105 kBT
1jidB_M498.pdb     -86.325571 kBT
1jidB_M287.pdb     -97.410102 kBT
1jidB_M273.pdb     -74.843734 kBT
1jidB_M285.pdb     -83.954756 kBT
1jidB_M19.pdb     -107.547837 kBT
1jidB_M22.pdb     -119.616357 kBT
1jidB_M247.pdb     -76.286977 kBT
1jidB_M42.pdb     -108.783084 kBT
1jidB_M260.pdb     -75.207470 kBT
1jidB_M255.pdb     -69.946688 kBT
1jidB_M219.pdb     -92.369545 kBT
1jidB_M372.pdb     -108.087199 kBT
1jidB_M41.pdb     -104.990170 kBT
1jidB_M303.pdb     -83.289810 kBT
1jidB_M163.pdb     -111.759528 kBT
1jidB_M174.pdb     -88.336166 kBT
1jidB_M18.pdb     -130.214861 kBT
1jidB_M34.pdb     -93.913832 kBT
1jidB_M388.pdb     -71.930118 kBT
1jidB_M380.pdb     -78.570836 kBT
1jidB_M26.pdb     -121.395961 kBT
1jidB_M117.pdb     -87.508070 kBT
1jidB_M194.pdb     -91.467602 kBT
1jidB_M327.pdb     -84.906991 kBT
1jidB_M369.pdb     -85.601250 kBT
1jidB_M354.pdb     -90.950548 kBT
1jidB_M439.pdb     -80.634992 kBT
1jidB_M258.pdb     -89.974462 kBT
1jidB_M434.pdb     -70.902021 kBT
1jidB_M29.pdb     -107.959013 kBT
1jidB_M73.pdb     -91.063193 kBT
1jidB_M17.pdb     -120.328218 kBT
1jidB_M216.pdb     -81.319353 kBT
1jidB_M254.pdb     -97.238421 kBT
1jidB_M59.pdb     -84.050157 kBT
1jidB_M294.pdb     -90.068449 kBT
1jidB_M462.pdb     -88.068983 kBT
1jidB_M339.pdb     -84.695001 kBT
1jidB_M139.pdb     -103.365484 kBT
1jidB_M331.pdb     -64.967840 kBT
1jidB_M430.pdb     -70.124131 kBT
1jidB_M290.pdb     -101.392702 kBT
1jidB_M448.pdb     -65.725918 kBT
1jidB_M317.pdb     -92.468351 kBT
1jidB_M453.pdb     -75.574406 kBT
1jidB_M90.pdb     -103.595344 kBT
1jidB_M500.pdb     -106.456740 kBT
1jidB_M476.pdb     -67.447837 kBT
1jidB_M497.pdb     -77.721842 kBT
1jidB_M85.pdb     -105.999496 kBT
1jidB_M404.pdb     -83.365140 kBT
1jidB_M311.pdb     -86.887571 kBT
1jidB_M71.pdb     -110.012542 kBT
1jidB_M28.pdb     -113.567591 kBT
1jidB_M397.pdb     -69.136675 kBT
1jidB_M201.pdb     -112.524179 kBT
1jidB_M461.pdb     -87.718921 kBT
1jidB_M495.pdb     -75.003962 kBT
1jidB_M97.pdb     -82.184774 kBT
1jidB_M402.pdb     -80.266002 kBT
1jidB_M316.pdb     -85.067681 kBT
1jidB_M246.pdb     -105.574596 kBT
1jidB_M323.pdb     -105.094402 kBT
1jidB_M343.pdb     -88.038458 kBT
1jidB_M371.pdb     -71.364459 kBT
1jidB_M283.pdb     -96.983713 kBT
1jidB_M333.pdb     -96.752533 kBT
1jidB_M75.pdb     -106.043442 kBT
1jidB_M11.pdb     -125.092341 kBT
1jidB_M111.pdb     -95.016261 kBT
1jidB_M405.pdb     -81.934459 kBT
1jidB_M5.pdb     -122.961813 kBT
1jidB_M156.pdb     -104.921594 kBT
1jidB_M228.pdb     -76.781135 kBT
1jidB_M32.pdb     -113.528084 kBT
1jidB_M184.pdb     -72.317816 kBT
1jidB_M136.pdb     -95.497363 kBT
1jidB_M208.pdb     -97.689840 kBT
1jidB_M175.pdb     -100.012977 kBT
1jidB_M81.pdb     -88.532708 kBT
1jidB_M87.pdb     -96.157473 kBT
1jidB_M47.pdb     -109.726411 kBT
1jidB_M76.pdb     -111.924001 kBT
1jidB_M155.pdb     -98.923454 kBT
1jidB_M172.pdb     -108.880295 kBT
1jidB_M14.pdb     -123.503174 kBT
1jidB_M295.pdb     -78.193687 kBT
1jidB_M396.pdb     -82.087146 kBT
1jidB_M298.pdb     -97.303048 kBT
