3df3A_M294.pdb     -5268.086720 kBT
3df3A_M243.pdb     -5344.884494 kBT
3df3A_M121.pdb     -5347.838544 kBT
3df3A_M265.pdb     -5240.211911 kBT
3df3A_M170.pdb     -5379.177754 kBT
3df3A_M341.pdb     -5245.055626 kBT
3df3A_M160.pdb     -5408.582102 kBT
3df3A_M400.pdb     -5273.496804 kBT
3df3A_M14.pdb     -5837.357255 kBT
3df3A_M307.pdb     -5298.917454 kBT
3df3A_M430.pdb     -5274.211807 kBT
3df3A_M410.pdb     -5274.496884 kBT
3df3A_M297.pdb     -5207.949430 kBT
3df3A_M190.pdb     -5314.667275 kBT
3df3A_M456.pdb     -5220.695564 kBT
3df3A_M377.pdb     -5240.084097 kBT
3df3A_M64.pdb     -5564.363947 kBT
3df3A_M469.pdb     -5212.531129 kBT
3df3A_M76.pdb     -5494.223956 kBT
3df3A_M173.pdb     -5285.255236 kBT
3df3A_M439.pdb     -5307.273533 kBT
3df3A_M196.pdb     -5311.995685 kBT
3df3A_M498.pdb     -5145.015624 kBT
3df3A_M453.pdb     -5310.340410 kBT
3df3A_M420.pdb     -5268.092424 kBT
3df3A_M464.pdb     -5302.991080 kBT
3df3A_M270.pdb     -5275.807586 kBT
3df3A_M357.pdb     -5235.605955 kBT
3df3A_M435.pdb     -5207.549935 kBT
3df3A_M427.pdb     -5204.956491 kBT
3df3A_M259.pdb     -5360.704744 kBT
3df3A_M327.pdb     -5189.324778 kBT
3df3A_M461.pdb     -5238.062690 kBT
3df3A_M389.pdb     -5271.984695 kBT
3df3A_M60.pdb     -5436.260466 kBT
3df3A_M71.pdb     -5480.836675 kBT
3df3A_M477.pdb     -5223.687148 kBT
3df3A_M152.pdb     -5384.449700 kBT
3df3A_M154.pdb     -5286.855635 kBT
3df3A_M302.pdb     -5262.832912 kBT
3df3A_M144.pdb     -5409.643851 kBT
3df3A_M218.pdb     -5326.774274 kBT
3df3A_M376.pdb     -5190.170638 kBT
3df3A_M209.pdb     -5316.772493 kBT
3df3A_M263.pdb     -5268.608258 kBT
3df3A_M482.pdb     -5231.697847 kBT
3df3A_M473.pdb     -5200.230940 kBT
3df3A_M399.pdb     -5238.731582 kBT
3df3A_M360.pdb     -5293.595732 kBT
3df3A_M298.pdb     -5196.647476 kBT
3df3A_M156.pdb     -5343.659305 kBT
3df3A_M109.pdb     -5426.482278 kBT
3df3A_M133.pdb     -5404.991341 kBT
3df3A_M383.pdb     -5280.721522 kBT
3df3A_M150.pdb     -5327.085560 kBT
3df3A_M344.pdb     -5252.501184 kBT
3df3A_M248.pdb     -5223.554077 kBT
3df3A_M356.pdb     -5201.247009 kBT
3df3A_M278.pdb     -5277.495334 kBT
3df3A_M229.pdb     -5278.297269 kBT
3df3A_M371.pdb     -5208.800644 kBT
3df3A_M402.pdb     -5229.822779 kBT
3df3A_M4.pdb     -5822.257064 kBT
3df3A_M217.pdb     -5339.298385 kBT
3df3A_M415.pdb     -5209.684794 kBT
3df3A_M161.pdb     -5332.832285 kBT
3df3A_M479.pdb     -5187.526035 kBT
3df3A_M496.pdb     -5254.050090 kBT
3df3A_M168.pdb     -5327.804530 kBT
3df3A_M136.pdb     -5366.074808 kBT
3df3A_M406.pdb     -5231.728887 kBT
3df3A_M319.pdb     -5268.096956 kBT
3df3A_M375.pdb     -5334.914478 kBT
3df3A_M403.pdb     -5186.239602 kBT
3df3A_M61.pdb     -5520.521380 kBT
3df3A_M413.pdb     -5277.896053 kBT
3df3A_M396.pdb     -5154.556388 kBT
3df3A_M433.pdb     -5233.078470 kBT
3df3A_M481.pdb     -5267.753051 kBT
3df3A_M236.pdb     -5318.397562 kBT
3df3A_M103.pdb     -5395.398707 kBT
3df3A_M17.pdb     -5816.594534 kBT
3df3A_M425.pdb     -5277.480082 kBT
3df3A_M166.pdb     -5370.424858 kBT
3df3A_M125.pdb     -5414.453392 kBT
3df3A_M345.pdb     -5210.350084 kBT
3df3A_M63.pdb     -5496.719487 kBT
3df3A_M289.pdb     -5268.637333 kBT
3df3A_M293.pdb     -5280.867357 kBT
3df3A_M102.pdb     -5404.266837 kBT
3df3A_M75.pdb     -5506.391443 kBT
3df3A_M145.pdb     -5336.619290 kBT
3df3A_M499.pdb     -5200.335478 kBT
3df3A_M443.pdb     -5248.216131 kBT
3df3A_M79.pdb     -5479.939755 kBT
3df3A_M201.pdb     -5311.545563 kBT
3df3A_M355.pdb     -5329.911150 kBT
3df3A_M126.pdb     -5378.904929 kBT
3df3A_M419.pdb     -5336.260701 kBT
3df3A_M283.pdb     -5251.901417 kBT
3df3A_M486.pdb     -5209.699310 kBT
3df3A_M220.pdb     -5271.498231 kBT
3df3A_M275.pdb     -5310.981396 kBT
3df3A_M204.pdb     -5343.819060 kBT
3df3A_M305.pdb     -5244.428719 kBT
3df3A_M484.pdb     -5125.989269 kBT
3df3A_M96.pdb     -5435.122000 kBT
3df3A_M205.pdb     -5393.373184 kBT
3df3A_M471.pdb     -5232.581529 kBT
3df3A_M33.pdb     -5700.772019 kBT
3df3A_M180.pdb     -5382.294466 kBT
3df3A_M347.pdb     -5302.810477 kBT
3df3A_M57.pdb     -5467.170023 kBT
3df3A_M500.pdb     -5168.053127 kBT
3df3A_M192.pdb     -5265.159068 kBT
3df3A_M157.pdb     -5406.256201 kBT
3df3A_M235.pdb     -5254.721028 kBT
3df3A_M228.pdb     -5358.980198 kBT
3df3A_M16.pdb     -5841.269397 kBT
3df3A_M40.pdb     -5642.935304 kBT
3df3A_M210.pdb     -5319.674632 kBT
3df3A_M373.pdb     -5278.633731 kBT
3df3A_M38.pdb     -5653.185567 kBT
3df3A_M350.pdb     -5260.889631 kBT
3df3A_M159.pdb     -5363.306120 kBT
3df3A_M465.pdb     -5223.198029 kBT
3df3A_M457.pdb     -5252.162218 kBT
3df3A_M153.pdb     -5419.532067 kBT
3df3A_M52.pdb     -5527.799839 kBT
3df3A_M127.pdb     -5430.134409 kBT
3df3A_M221.pdb     -5288.958683 kBT
3df3A_M299.pdb     -5235.687346 kBT
3df3A_M258.pdb     -5316.620594 kBT
3df3A_M15.pdb     -5881.586394 kBT
3df3A_M470.pdb     -5189.286288 kBT
3df3A_M370.pdb     -5315.093193 kBT
3df3A_M348.pdb     -5296.048154 kBT
3df3A_M490.pdb     -5219.457242 kBT
3df3A_M18.pdb     -5789.163436 kBT
3df3A_M273.pdb     -5263.575747 kBT
3df3A_M282.pdb     -5198.752601 kBT
3df3A_M215.pdb     -5307.563531 kBT
3df3A_M95.pdb     -5415.263732 kBT
3df3A_M361.pdb     -5196.154408 kBT
3df3A_M363.pdb     -5248.811955 kBT
3df3A_M147.pdb     -5328.789480 kBT
3df3A_M418.pdb     -5205.735355 kBT
3df3A_M234.pdb     -5305.674659 kBT
3df3A_M112.pdb     -5429.486695 kBT
3df3A_M53.pdb     -5598.067271 kBT
3df3A_M466.pdb     -5215.017804 kBT
3df3A_M142.pdb     -5318.569572 kBT
3df3A_M452.pdb     -5165.009044 kBT
3df3A_M247.pdb     -5337.595990 kBT
3df3A_M35.pdb     -5727.679327 kBT
3df3A_M390.pdb     -5214.591268 kBT
3df3A_M106.pdb     -5452.866091 kBT
3df3A_M362.pdb     -5255.755392 kBT
3df3A_M119.pdb     -5384.705680 kBT
3df3A_M393.pdb     -5172.782924 kBT
3df3A_M310.pdb     -5288.903529 kBT
3df3A_M351.pdb     -5255.159499 kBT
3df3A_M333.pdb     -5197.318844 kBT
3df3A_M185.pdb     -5332.609479 kBT
3df3A_M495.pdb     -5168.350526 kBT
3df3A_M155.pdb     -5315.886202 kBT
3df3A_M417.pdb     -5176.740336 kBT
3df3A_M254.pdb     -5209.043693 kBT
3df3A_M138.pdb     -5427.910110 kBT
3df3A_M386.pdb     -5203.588780 kBT
3df3A_M432.pdb     -5171.408764 kBT
3df3A_M182.pdb     -5330.096793 kBT
3df3A_M129.pdb     -5383.588254 kBT
3df3A_M277.pdb     -5261.349296 kBT
3df3A_M414.pdb     -5220.262698 kBT
3df3A_M200.pdb     -5268.432908 kBT
3df3A_M107.pdb     -5399.897450 kBT
3df3A_M93.pdb     -5449.404268 kBT
3df3A_M329.pdb     -5278.771263 kBT
3df3A_M309.pdb     -5256.487037 kBT
3df3A_M227.pdb     -5259.438698 kBT
3df3A_M72.pdb     -5406.155535 kBT
3df3A_M384.pdb     -5227.734250 kBT
3df3A_M349.pdb     -5290.245936 kBT
3df3A_M311.pdb     -5266.165931 kBT
3df3A_M429.pdb     -5333.175325 kBT
3df3A_M184.pdb     -5324.221328 kBT
3df3A_M374.pdb     -5239.435275 kBT
3df3A_M164.pdb     -5379.349645 kBT
3df3A_M226.pdb     -5327.341774 kBT
3df3A_M175.pdb     -5357.004425 kBT
3df3A_M397.pdb     -5179.456187 kBT
3df3A_M316.pdb     -5258.525784 kBT
3df3A_M264.pdb     -5314.064192 kBT
3df3A_M132.pdb     -5399.411994 kBT
3df3A_M423.pdb     -5188.965579 kBT
3df3A_M143.pdb     -5272.783659 kBT
3df3A_M382.pdb     -5285.888223 kBT
3df3A_M86.pdb     -5433.895607 kBT
3df3A_M163.pdb     -5326.932751 kBT
3df3A_M188.pdb     -5317.484703 kBT
3df3A_M444.pdb     -5176.631355 kBT
3df3A_M424.pdb     -5142.590942 kBT
3df3A_M322.pdb     -5297.990215 kBT
3df3A_M47.pdb     -5568.916408 kBT
3df3A_M206.pdb     -5198.091245 kBT
3df3A_M491.pdb     -5259.107879 kBT
3df3A_M91.pdb     -5428.659507 kBT
3df3A_M216.pdb     -5331.517838 kBT
3df3A_M158.pdb     -5270.684428 kBT
3df3A_M195.pdb     -5302.221682 kBT
3df3A_M113.pdb     -5379.566449 kBT
3df3A_M296.pdb     -5300.998989 kBT
3df3A_M239.pdb     -5275.364609 kBT
3df3A_M110.pdb     -5410.791977 kBT
3df3A_M117.pdb     -5405.450311 kBT
3df3A_M448.pdb     -5250.538757 kBT
3df3A_M325.pdb     -5352.133644 kBT
3df3A_M9.pdb     -5828.457796 kBT
3df3A_M467.pdb     -5217.674590 kBT
3df3A_M271.pdb     -5251.510941 kBT
3df3A_M281.pdb     -5261.869738 kBT
3df3A_M49.pdb     -5495.664274 kBT
3df3A_M24.pdb     -5800.998839 kBT
3df3A_M67.pdb     -5513.114777 kBT
3df3A_M181.pdb     -5301.920842 kBT
3df3A_M69.pdb     -5509.806241 kBT
3df3A_M447.pdb     -5256.821473 kBT
3df3A_M51.pdb     -5570.847442 kBT
3df3A_M29.pdb     -5682.643451 kBT
3df3A_M269.pdb     -5300.695701 kBT
3df3A_M12.pdb     -5858.019449 kBT
3df3A_M276.pdb     -5275.633183 kBT
3df3A_M260.pdb     -5336.593860 kBT
3df3A_M41.pdb     -5589.169183 kBT
3df3A_M315.pdb     -5270.869826 kBT
3df3A_M366.pdb     -5225.311200 kBT
3df3A_M409.pdb     -5225.092837 kBT
3df3A_M174.pdb     -5334.907899 kBT
3df3A_M2.pdb     -5815.861476 kBT
3df3A_M207.pdb     -5295.273744 kBT
3df3A_M26.pdb     -5751.488867 kBT
3df3A_M193.pdb     -5277.743569 kBT
3df3A_M463.pdb     -5259.630490 kBT
3df3A_M141.pdb     -5317.665915 kBT
3df3A_M34.pdb     -5732.426688 kBT
3df3A_M82.pdb     -5556.148103 kBT
3df3A_M288.pdb     -5255.654394 kBT
3df3A_M7.pdb     -5845.171294 kBT
3df3A_M387.pdb     -5317.324915 kBT
3df3A_M241.pdb     -5301.348425 kBT
3df3A_M131.pdb     -5406.992012 kBT
3df3A_M122.pdb     -5349.692592 kBT
3df3A_M55.pdb     -5518.983694 kBT
3df3A_M359.pdb     -5306.578193 kBT
3df3A_M214.pdb     -5362.876020 kBT
3df3A_M5.pdb     -5846.281010 kBT
3df3A_M451.pdb     -5224.691566 kBT
3df3A_M27.pdb     -5700.278682 kBT
3df3A_M485.pdb     -5192.716074 kBT
3df3A_M44.pdb     -5584.652033 kBT
3df3A_M250.pdb     -5241.834697 kBT
3df3A_M59.pdb     -5510.711270 kBT
3df3A_M379.pdb     -5239.894550 kBT
3df3A_M81.pdb     -5460.444071 kBT
3df3A_M468.pdb     -5227.834161 kBT
3df3A_M77.pdb     -5529.129739 kBT
3df3A_M295.pdb     -5269.579791 kBT
3df3A_M231.pdb     -5327.776024 kBT
3df3A_M300.pdb     -5286.964982 kBT
3df3A_M246.pdb     -5310.789818 kBT
3df3A_M21.pdb     -5835.537363 kBT
3df3A_M434.pdb     -5207.812019 kBT
3df3A_M115.pdb     -5325.432942 kBT
3df3A_M45.pdb     -5535.598925 kBT
3df3A_M111.pdb     -5425.459709 kBT
3df3A_M442.pdb     -5163.743153 kBT
3df3A_M42.pdb     -5666.501005 kBT
3df3A_M346.pdb     -5263.428513 kBT
3df3A_M408.pdb     -5276.487414 kBT
3df3A_M438.pdb     -5173.210807 kBT
3df3A_M446.pdb     -5191.639472 kBT
3df3A_M233.pdb     -5348.471673 kBT
3df3A_M50.pdb     -5559.169917 kBT
3df3A_M118.pdb     -5407.311966 kBT
3df3A_M140.pdb     -5374.918451 kBT
3df3A_M31.pdb     -5722.423952 kBT
3df3A_M99.pdb     -5436.916505 kBT
3df3A_M245.pdb     -5339.392729 kBT
3df3A_M318.pdb     -5272.153468 kBT
3df3A_M472.pdb     -5146.201584 kBT
3df3A_M13.pdb     -5829.296035 kBT
3df3A_M128.pdb     -5392.191476 kBT
3df3A_M335.pdb     -5163.340557 kBT
3df3A_M421.pdb     -5240.590484 kBT
3df3A_M284.pdb     -5275.999411 kBT
3df3A_M428.pdb     -5235.325735 kBT
3df3A_M19.pdb     -5830.687607 kBT
3df3A_M84.pdb     -5495.281517 kBT
3df3A_M123.pdb     -5302.107525 kBT
3df3A_M171.pdb     -5324.366775 kBT
3df3A_M454.pdb     -5236.853876 kBT
3df3A_M398.pdb     -5180.517761 kBT
3df3A_M328.pdb     -5271.437093 kBT
3df3A_M342.pdb     -5249.139996 kBT
3df3A_M212.pdb     -5280.470126 kBT
3df3A_M6.pdb     -5830.249752 kBT
3df3A_M70.pdb     -5383.828044 kBT
3df3A.pdb     -5780.282998 kBT
3df3A_M338.pdb     -5249.934000 kBT
3df3A_M343.pdb     -5268.624173 kBT
3df3A_M198.pdb     -5250.462666 kBT
3df3A_M169.pdb     -5409.557255 kBT
3df3A_M135.pdb     -5342.590565 kBT
3df3A_M149.pdb     -5382.216439 kBT
3df3A_M336.pdb     -5242.066282 kBT
3df3A_M401.pdb     -5220.037928 kBT
3df3A_M368.pdb     -5223.341367 kBT
3df3A_M230.pdb     -5215.083126 kBT
3df3A_M104.pdb     -5473.830062 kBT
3df3A_M450.pdb     -5212.169020 kBT
3df3A_M313.pdb     -5240.906269 kBT
3df3A_M252.pdb     -5256.650874 kBT
3df3A_M268.pdb     -5286.566968 kBT
3df3A_M62.pdb     -5541.215080 kBT
3df3A_M208.pdb     -5338.105196 kBT
3df3A_M286.pdb     -5293.876615 kBT
3df3A_M340.pdb     -5298.012501 kBT
3df3A_M165.pdb     -5362.143372 kBT
3df3A_M367.pdb     -5346.908124 kBT
3df3A_M365.pdb     -5331.813528 kBT
3df3A_M120.pdb     -5391.612756 kBT
3df3A_M364.pdb     -5305.895445 kBT
3df3A_M462.pdb     -5159.199388 kBT
3df3A_M68.pdb     -5427.027473 kBT
3df3A_M301.pdb     -5275.928317 kBT
3df3A_M222.pdb     -5275.909670 kBT
3df3A_M39.pdb     -5625.795155 kBT
3df3A_M422.pdb     -5171.616163 kBT
3df3A_M11.pdb     -5834.730077 kBT
3df3A_M78.pdb     -5454.469791 kBT
3df3A_M242.pdb     -5289.370556 kBT
3df3A_M162.pdb     -5376.347603 kBT
3df3A_M255.pdb     -5233.269125 kBT
3df3A_M43.pdb     -5683.151232 kBT
3df3A_M37.pdb     -5686.940952 kBT
3df3A_M225.pdb     -5314.343167 kBT
3df3A_M114.pdb     -5339.437564 kBT
3df3A_M440.pdb     -5304.922738 kBT
3df3A_M320.pdb     -5338.426753 kBT
3df3A_M279.pdb     -5257.792255 kBT
3df3A_M378.pdb     -5221.394341 kBT
3df3A_M261.pdb     -5239.497920 kBT
3df3A_M183.pdb     -5314.886433 kBT
3df3A_M352.pdb     -5196.762818 kBT
3df3A_M194.pdb     -5289.331036 kBT
3df3A_M303.pdb     -5233.963405 kBT
3df3A_M257.pdb     -5222.140835 kBT
3df3A_M474.pdb     -5283.635837 kBT
3df3A_M8.pdb     -5864.875815 kBT
3df3A_M90.pdb     -5485.460189 kBT
3df3A_M187.pdb     -5309.275590 kBT
3df3A_M251.pdb     -5275.273263 kBT
3df3A_M202.pdb     -5389.632695 kBT
3df3A_M100.pdb     -5435.613661 kBT
3df3A_M186.pdb     -5344.808198 kBT
3df3A_M372.pdb     -5172.422399 kBT
3df3A_M98.pdb     -5440.895960 kBT
3df3A_M89.pdb     -5405.637362 kBT
3df3A_M30.pdb     -5678.766272 kBT
3df3A_M478.pdb     -5140.250555 kBT
3df3A_M411.pdb     -5177.928580 kBT
3df3A_M312.pdb     -5249.231774 kBT
3df3A_M492.pdb     -5234.182096 kBT
3df3A_M25.pdb     -5771.958238 kBT
3df3A_M354.pdb     -5312.003782 kBT
3df3A_M494.pdb     -5279.308448 kBT
3df3A_M22.pdb     -5769.795557 kBT
3df3A_M240.pdb     -5316.908300 kBT
3df3A_M392.pdb     -5265.644541 kBT
3df3A_M74.pdb     -5435.320911 kBT
3df3A_M480.pdb     -5188.795033 kBT
3df3A_M306.pdb     -5290.066128 kBT
3df3A_M291.pdb     -5256.046901 kBT
3df3A_M197.pdb     -5367.139652 kBT
3df3A_M489.pdb     -5219.436837 kBT
3df3A_M256.pdb     -5315.365817 kBT
3df3A_M238.pdb     -5299.214088 kBT
3df3A_M97.pdb     -5483.599951 kBT
3df3A_M483.pdb     -5239.551564 kBT
3df3A_M139.pdb     -5360.143034 kBT
3df3A_M405.pdb     -5190.880138 kBT
3df3A_M321.pdb     -5173.586778 kBT
3df3A_M334.pdb     -5251.796419 kBT
3df3A_M475.pdb     -5232.396174 kBT
3df3A_M20.pdb     -5781.676553 kBT
3df3A_M304.pdb     -5280.042155 kBT
3df3A_M146.pdb     -5360.632224 kBT
3df3A_M36.pdb     -5647.483223 kBT
3df3A_M3.pdb     -5818.121043 kBT
3df3A_M211.pdb     -5294.980453 kBT
3df3A_M80.pdb     -5499.299201 kBT
3df3A_M116.pdb     -5397.408085 kBT
3df3A_M455.pdb     -5295.970171 kBT
3df3A_M249.pdb     -5237.639210 kBT
3df3A_M358.pdb     -5249.548421 kBT
3df3A_M65.pdb     -5540.358610 kBT
3df3A_M101.pdb     -5374.265066 kBT
3df3A_M476.pdb     -5221.008285 kBT
3df3A_M407.pdb     -5252.995189 kBT
3df3A_M497.pdb     -5181.194600 kBT
3df3A_M412.pdb     -5183.992207 kBT
3df3A_M314.pdb     -5222.024493 kBT
3df3A_M199.pdb     -5276.639047 kBT
3df3A_M172.pdb     -5368.325417 kBT
3df3A_M23.pdb     -5798.060512 kBT
3df3A_M337.pdb     -5215.032832 kBT
3df3A_M130.pdb     -5415.494118 kBT
3df3A_M394.pdb     -5256.106816 kBT
3df3A_M54.pdb     -5544.381434 kBT
3df3A_M353.pdb     -5226.879597 kBT
3df3A_M449.pdb     -5253.374247 kBT
3df3A_M395.pdb     -5255.543055 kBT
3df3A_M94.pdb     -5392.708959 kBT
3df3A_M266.pdb     -5240.081192 kBT
3df3A_M176.pdb     -5285.203577 kBT
3df3A_M285.pdb     -5222.730541 kBT
3df3A_M426.pdb     -5300.564312 kBT
3df3A_M137.pdb     -5401.084337 kBT
3df3A_M290.pdb     -5258.798926 kBT
3df3A_M232.pdb     -5298.725470 kBT
3df3A_M436.pdb     -5286.551858 kBT
3df3A_M391.pdb     -5354.078250 kBT
3df3A_M83.pdb     -5415.498740 kBT
3df3A_M458.pdb     -5256.701018 kBT
3df3A_M437.pdb     -5255.613818 kBT
3df3A_M167.pdb     -5374.398125 kBT
3df3A_M124.pdb     -5408.974562 kBT
3df3A_M324.pdb     -5228.298873 kBT
3df3A_M105.pdb     -5458.018019 kBT
3df3A_M219.pdb     -5243.370317 kBT
3df3A_M287.pdb     -5363.191953 kBT
3df3A_M73.pdb     -5503.689154 kBT
3df3A_M224.pdb     -5322.403901 kBT
3df3A_M151.pdb     -5435.919953 kBT
3df3A_M48.pdb     -5516.497303 kBT
3df3A_M445.pdb     -5197.599975 kBT
3df3A_M404.pdb     -5277.255723 kBT
3df3A_M493.pdb     -5207.784040 kBT
3df3A_M134.pdb     -5406.151793 kBT
3df3A_M274.pdb     -5275.324152 kBT
3df3A_M317.pdb     -5262.355673 kBT
