2quxR_M199.pdb     -112.606056 kBT
2quxR_M73.pdb     -121.861686 kBT
2quxR_M161.pdb     -86.833575 kBT
2quxR_M89.pdb     -110.831804 kBT
2quxR_M391.pdb     -90.894388 kBT
2quxR_M296.pdb     -91.804884 kBT
2quxR_M104.pdb     -110.400170 kBT
2quxR_M177.pdb     -102.122081 kBT
2quxR_M145.pdb     -112.831032 kBT
2quxR_M457.pdb     -114.085139 kBT
2quxR_M435.pdb     -105.380350 kBT
2quxR_M437.pdb     -95.997163 kBT
2quxR_M323.pdb     -82.636538 kBT
2quxR_M17.pdb     -139.532638 kBT
2quxR_M160.pdb     -107.534513 kBT
2quxR_M213.pdb     -102.399351 kBT
2quxR_M246.pdb     -105.035207 kBT
2quxR_M95.pdb     -122.223652 kBT
2quxR_M487.pdb     -68.333848 kBT
2quxR_M258.pdb     -115.597907 kBT
2quxR_M64.pdb     -131.502106 kBT
2quxR_M165.pdb     -114.819558 kBT
2quxR_M279.pdb     -111.404651 kBT
2quxR_M179.pdb     -105.316854 kBT
2quxR_M427.pdb     -107.599784 kBT
2quxR_M460.pdb     -128.220406 kBT
2quxR_M87.pdb     -100.393871 kBT
2quxR_M486.pdb     -92.062490 kBT
2quxR_M278.pdb     -112.752051 kBT
2quxR_M498.pdb     -85.057773 kBT
2quxR_M355.pdb     -105.981557 kBT
2quxR_M343.pdb     -101.004029 kBT
2quxR_M407.pdb     -104.223817 kBT
2quxR_M169.pdb     -112.599365 kBT
2quxR_M378.pdb     -81.675539 kBT
2quxR_M215.pdb     -121.818112 kBT
2quxR_M285.pdb     -91.445247 kBT
2quxR_M68.pdb     -123.280302 kBT
2quxR_M314.pdb     -95.375315 kBT
2quxR_M416.pdb     -90.444363 kBT
2quxR_M44.pdb     -137.129597 kBT
2quxR_M119.pdb     -110.376896 kBT
2quxR_M225.pdb     -107.859657 kBT
2quxR_M50.pdb     -127.991901 kBT
2quxR_M404.pdb     -102.453627 kBT
2quxR_M247.pdb     -96.693173 kBT
2quxR_M269.pdb     -104.588858 kBT
2quxR_M93.pdb     -121.338750 kBT
2quxR_M309.pdb     -113.375924 kBT
2quxR_M370.pdb     -73.382666 kBT
2quxR_M316.pdb     -77.374318 kBT
2quxR_M393.pdb     -80.167203 kBT
2quxR_M322.pdb     -99.421149 kBT
2quxR_M253.pdb     -104.319407 kBT
2quxR_M351.pdb     -103.601890 kBT
2quxR_M312.pdb     -102.752021 kBT
2quxR_M402.pdb     -90.395516 kBT
2quxR_M105.pdb     -115.294521 kBT
2quxR_M96.pdb     -114.349570 kBT
2quxR_M356.pdb     -118.382823 kBT
2quxR_M445.pdb     -79.479148 kBT
2quxR_M135.pdb     -116.020909 kBT
2quxR_M444.pdb     -52.249078 kBT
2quxR_M90.pdb     -122.229058 kBT
2quxR_M375.pdb     -106.258785 kBT
2quxR_M221.pdb     -92.376337 kBT
2quxR_M205.pdb     -109.632439 kBT
2quxR_M249.pdb     -109.249113 kBT
2quxR_M431.pdb     -71.778868 kBT
2quxR_M390.pdb     -108.684297 kBT
2quxR_M341.pdb     -78.108235 kBT
2quxR_M377.pdb     -86.421761 kBT
2quxR_M56.pdb     -125.903814 kBT
2quxR_M299.pdb     -103.526276 kBT
2quxR_M439.pdb     -92.063241 kBT
2quxR.pdb     -139.104891 kBT
2quxR_M499.pdb     -100.151807 kBT
2quxR_M469.pdb     -81.250248 kBT
2quxR_M440.pdb     -92.359993 kBT
2quxR_M325.pdb     -88.429443 kBT
2quxR_M491.pdb     -84.677947 kBT
2quxR_M337.pdb     -114.593459 kBT
2quxR_M153.pdb     -100.190578 kBT
2quxR_M239.pdb     -108.942910 kBT
2quxR_M411.pdb     -120.874055 kBT
2quxR_M28.pdb     -124.116064 kBT
2quxR_M31.pdb     -122.247523 kBT
2quxR_M13.pdb     -134.328529 kBT
2quxR_M154.pdb     -96.213801 kBT
2quxR_M48.pdb     -117.672517 kBT
2quxR_M67.pdb     -114.497944 kBT
2quxR_M413.pdb     -94.506802 kBT
2quxR_M293.pdb     -108.443363 kBT
2quxR_M454.pdb     -105.217283 kBT
2quxR_M297.pdb     -118.685578 kBT
2quxR_M193.pdb     -123.628281 kBT
2quxR_M488.pdb     -78.015087 kBT
2quxR_M266.pdb     -98.161751 kBT
2quxR_M212.pdb     -113.731369 kBT
2quxR_M474.pdb     -96.849599 kBT
2quxR_M320.pdb     -79.593807 kBT
2quxR_M290.pdb     -100.526140 kBT
2quxR_M146.pdb     -112.804894 kBT
2quxR_M54.pdb     -117.481524 kBT
2quxR_M415.pdb     -90.364988 kBT
2quxR_M172.pdb     -106.981264 kBT
2quxR_M281.pdb     -113.151533 kBT
2quxR_M181.pdb     -100.287855 kBT
2quxR_M260.pdb     -143.156739 kBT
2quxR_M425.pdb     -119.117342 kBT
2quxR_M263.pdb     -98.399651 kBT
2quxR_M357.pdb     -105.623387 kBT
2quxR_M259.pdb     -110.507879 kBT
2quxR_M434.pdb     -94.255559 kBT
2quxR_M495.pdb     -80.802769 kBT
2quxR_M39.pdb     -126.982378 kBT
2quxR_M52.pdb     -126.730967 kBT
2quxR_M433.pdb     -103.287202 kBT
2quxR_M267.pdb     -112.233803 kBT
2quxR_M397.pdb     -75.868848 kBT
2quxR_M420.pdb     -95.121559 kBT
2quxR_M305.pdb     -121.942153 kBT
2quxR_M332.pdb     -116.148631 kBT
2quxR_M345.pdb     -84.845650 kBT
2quxR_M374.pdb     -113.762290 kBT
2quxR_M447.pdb     -112.495412 kBT
2quxR_M133.pdb     -111.421429 kBT
2quxR_M353.pdb     -91.482720 kBT
2quxR_M204.pdb     -82.232384 kBT
2quxR_M231.pdb     -106.706898 kBT
2quxR_M167.pdb     -120.375238 kBT
2quxR_M170.pdb     -116.319178 kBT
2quxR_M358.pdb     -95.519140 kBT
2quxR_M71.pdb     -112.299535 kBT
2quxR_M22.pdb     -142.147821 kBT
2quxR_M216.pdb     -121.986056 kBT
2quxR_M1.pdb     -139.442983 kBT
2quxR_M361.pdb     -99.659109 kBT
2quxR_M30.pdb     -137.934432 kBT
2quxR_M354.pdb     -95.637210 kBT
2quxR_M134.pdb     -118.521991 kBT
2quxR_M35.pdb     -127.407297 kBT
2quxR_M424.pdb     -116.113809 kBT
2quxR_M229.pdb     -105.148637 kBT
2quxR_M326.pdb     -87.249177 kBT
2quxR_M446.pdb     -108.230460 kBT
2quxR_M500.pdb     -72.919735 kBT
2quxR_M421.pdb     -99.629649 kBT
2quxR_M37.pdb     -129.494221 kBT
2quxR_M125.pdb     -103.304404 kBT
2quxR_M207.pdb     -90.411913 kBT
2quxR_M61.pdb     -113.311489 kBT
2quxR_M49.pdb     -134.027883 kBT
2quxR_M400.pdb     -95.125479 kBT
2quxR_M330.pdb     -102.987325 kBT
2quxR_M209.pdb     -104.168197 kBT
2quxR_M298.pdb     -74.533132 kBT
2quxR_M336.pdb     -91.748252 kBT
2quxR_M329.pdb     -98.104012 kBT
2quxR_M398.pdb     -118.445367 kBT
2quxR_M442.pdb     -100.502135 kBT
2quxR_M156.pdb     -120.570647 kBT
2quxR_M367.pdb     -96.253826 kBT
2quxR_M289.pdb     -84.266714 kBT
2quxR_M307.pdb     -91.673291 kBT
2quxR_M254.pdb     -83.925349 kBT
2quxR_M107.pdb     -103.579501 kBT
2quxR_M127.pdb     -121.042352 kBT
2quxR_M340.pdb     -88.195615 kBT
2quxR_M180.pdb     -122.384293 kBT
2quxR_M485.pdb     -111.254959 kBT
2quxR_M379.pdb     -74.355213 kBT
2quxR_M252.pdb     -102.697153 kBT
2quxR_M217.pdb     -75.528809 kBT
2quxR_M240.pdb     -109.231738 kBT
2quxR_M112.pdb     -102.227023 kBT
2quxR_M366.pdb     -70.678924 kBT
2quxR_M385.pdb     -77.693840 kBT
2quxR_M365.pdb     -75.062515 kBT
2quxR_M223.pdb     -114.800908 kBT
2quxR_M331.pdb     -93.557356 kBT
2quxR_M273.pdb     -99.570817 kBT
2quxR_M83.pdb     -112.902269 kBT
2quxR_M184.pdb     -100.895752 kBT
2quxR_M118.pdb     -87.171045 kBT
2quxR_M386.pdb     -111.899212 kBT
2quxR_M481.pdb     -89.782066 kBT
2quxR_M75.pdb     -125.866838 kBT
2quxR_M178.pdb     -97.939403 kBT
2quxR_M140.pdb     -102.816263 kBT
2quxR_M55.pdb     -120.566943 kBT
2quxR_M327.pdb     -72.548196 kBT
2quxR_M237.pdb     -100.335102 kBT
2quxR_M477.pdb     -117.561095 kBT
2quxR_M103.pdb     -121.271768 kBT
2quxR_M319.pdb     -113.611791 kBT
2quxR_M294.pdb     -118.630233 kBT
2quxR_M422.pdb     -110.990567 kBT
2quxR_M383.pdb     -112.854734 kBT
2quxR_M142.pdb     -104.798252 kBT
2quxR_M465.pdb     -119.601619 kBT
2quxR_M116.pdb     -107.577385 kBT
2quxR_M2.pdb     -137.939015 kBT
2quxR_M344.pdb     -107.567971 kBT
2quxR_M387.pdb     -118.284366 kBT
2quxR_M426.pdb     -93.939745 kBT
2quxR_M381.pdb     -96.981574 kBT
2quxR_M190.pdb     -112.348766 kBT
2quxR_M74.pdb     -104.932469 kBT
2quxR_M282.pdb     -100.261024 kBT
2quxR_M16.pdb     -134.814184 kBT
2quxR_M418.pdb     -90.509690 kBT
2quxR_M10.pdb     -137.051416 kBT
2quxR_M382.pdb     -128.616801 kBT
2quxR_M364.pdb     -103.376287 kBT
2quxR_M311.pdb     -92.448090 kBT
2quxR_M32.pdb     -139.362974 kBT
2quxR_M476.pdb     -120.351538 kBT
2quxR_M58.pdb     -117.977008 kBT
2quxR_M348.pdb     -93.449898 kBT
2quxR_M85.pdb     -125.173631 kBT
2quxR_M232.pdb     -99.150558 kBT
2quxR_M194.pdb     -109.427215 kBT
2quxR_M124.pdb     -101.389930 kBT
2quxR_M144.pdb     -118.858409 kBT
2quxR_M187.pdb     -100.259762 kBT
2quxR_M497.pdb     -75.811731 kBT
2quxR_M41.pdb     -126.911679 kBT
2quxR_M438.pdb     -88.941070 kBT
2quxR_M412.pdb     -89.736590 kBT
2quxR_M432.pdb     -110.891450 kBT
2quxR_M63.pdb     -130.494281 kBT
2quxR_M302.pdb     -104.196851 kBT
2quxR_M347.pdb     -126.584988 kBT
2quxR_M214.pdb     -125.883998 kBT
2quxR_M4.pdb     -138.734580 kBT
2quxR_M264.pdb     -83.272551 kBT
2quxR_M97.pdb     -118.237353 kBT
2quxR_M77.pdb     -114.458330 kBT
2quxR_M173.pdb     -125.776710 kBT
2quxR_M183.pdb     -110.949039 kBT
2quxR_M493.pdb     -87.021670 kBT
2quxR_M186.pdb     -107.513917 kBT
2quxR_M313.pdb     -98.078946 kBT
2quxR_M69.pdb     -119.387571 kBT
2quxR_M482.pdb     -101.450805 kBT
2quxR_M126.pdb     -104.259964 kBT
2quxR_M462.pdb     -74.948433 kBT
2quxR_M478.pdb     -92.387904 kBT
2quxR_M271.pdb     -93.746883 kBT
2quxR_M394.pdb     -111.028371 kBT
2quxR_M98.pdb     -111.819682 kBT
2quxR_M233.pdb     -83.500326 kBT
2quxR_M130.pdb     -106.462624 kBT
2quxR_M120.pdb     -97.521110 kBT
2quxR_M88.pdb     -121.729110 kBT
2quxR_M26.pdb     -134.438734 kBT
2quxR_M53.pdb     -120.911842 kBT
2quxR_M5.pdb     -140.820012 kBT
2quxR_M414.pdb     -78.829795 kBT
2quxR_M219.pdb     -97.348522 kBT
2quxR_M198.pdb     -90.004868 kBT
2quxR_M12.pdb     -132.309321 kBT
2quxR_M389.pdb     -103.772016 kBT
2quxR_M106.pdb     -126.013800 kBT
2quxR_M137.pdb     -101.233542 kBT
2quxR_M23.pdb     -140.579832 kBT
2quxR_M15.pdb     -132.365852 kBT
2quxR_M29.pdb     -138.445234 kBT
2quxR_M376.pdb     -98.894080 kBT
2quxR_M45.pdb     -129.698910 kBT
2quxR_M405.pdb     -117.312098 kBT
2quxR_M494.pdb     -85.918978 kBT
2quxR_M203.pdb     -106.427501 kBT
2quxR_M201.pdb     -105.688908 kBT
2quxR_M284.pdb     -74.656725 kBT
2quxR_M324.pdb     -91.269395 kBT
2quxR_M262.pdb     -80.989290 kBT
2quxR_M384.pdb     -85.323614 kBT
2quxR_M471.pdb     -88.584297 kBT
2quxR_M388.pdb     -83.090117 kBT
2quxR_M268.pdb     -101.839329 kBT
2quxR_M9.pdb     -142.051821 kBT
2quxR_M38.pdb     -121.777455 kBT
2quxR_M429.pdb     -96.422399 kBT
2quxR_M163.pdb     -105.351825 kBT
2quxR_M243.pdb     -86.511823 kBT
2quxR_M272.pdb     -116.368536 kBT
2quxR_M196.pdb     -99.228874 kBT
2quxR_M451.pdb     -110.025036 kBT
2quxR_M33.pdb     -125.682125 kBT
2quxR_M115.pdb     -119.444777 kBT
2quxR_M113.pdb     -114.406870 kBT
2quxR_M132.pdb     -104.594716 kBT
2quxR_M359.pdb     -126.929849 kBT
2quxR_M166.pdb     -115.326001 kBT
2quxR_M270.pdb     -109.572303 kBT
2quxR_M463.pdb     -114.868934 kBT
2quxR_M123.pdb     -105.219330 kBT
2quxR_M235.pdb     -102.487198 kBT
2quxR_M122.pdb     -104.998887 kBT
2quxR_M175.pdb     -122.492163 kBT
2quxR_M114.pdb     -125.446900 kBT
2quxR_M86.pdb     -109.625387 kBT
2quxR_M399.pdb     -103.290684 kBT
2quxR_M174.pdb     -109.639418 kBT
2quxR_M453.pdb     -111.989288 kBT
2quxR_M34.pdb     -131.127752 kBT
2quxR_M274.pdb     -87.030224 kBT
2quxR_M191.pdb     -101.052769 kBT
2quxR_M141.pdb     -105.396587 kBT
2quxR_M148.pdb     -112.740220 kBT
2quxR_M234.pdb     -98.142587 kBT
2quxR_M151.pdb     -110.805739 kBT
2quxR_M257.pdb     -126.542410 kBT
2quxR_M27.pdb     -142.883474 kBT
2quxR_M82.pdb     -105.629254 kBT
2quxR_M456.pdb     -86.605858 kBT
2quxR_M346.pdb     -111.823217 kBT
2quxR_M228.pdb     -104.815716 kBT
2quxR_M138.pdb     -103.794284 kBT
2quxR_M11.pdb     -139.420533 kBT
2quxR_M333.pdb     -75.758764 kBT
2quxR_M303.pdb     -102.863492 kBT
2quxR_M129.pdb     -124.900455 kBT
2quxR_M275.pdb     -99.393767 kBT
2quxR_M466.pdb     -121.225545 kBT
2quxR_M449.pdb     -111.647985 kBT
2quxR_M470.pdb     -111.911449 kBT
2quxR_M436.pdb     -100.295039 kBT
2quxR_M60.pdb     -125.120754 kBT
2quxR_M47.pdb     -132.279832 kBT
2quxR_M80.pdb     -128.449856 kBT
2quxR_M280.pdb     -104.613306 kBT
2quxR_M147.pdb     -124.784503 kBT
2quxR_M218.pdb     -126.116325 kBT
2quxR_M448.pdb     -96.191302 kBT
2quxR_M360.pdb     -66.910245 kBT
2quxR_M62.pdb     -112.261661 kBT
2quxR_M315.pdb     -117.604026 kBT
2quxR_M276.pdb     -93.206403 kBT
2quxR_M91.pdb     -111.976269 kBT
2quxR_M441.pdb     -81.118789 kBT
2quxR_M227.pdb     -104.218238 kBT
2quxR_M452.pdb     -102.645245 kBT
2quxR_M461.pdb     -76.437163 kBT
2quxR_M128.pdb     -122.843665 kBT
2quxR_M84.pdb     -120.180355 kBT
2quxR_M265.pdb     -110.917462 kBT
2quxR_M349.pdb     -70.434978 kBT
2quxR_M171.pdb     -99.826048 kBT
2quxR_M164.pdb     -105.575551 kBT
2quxR_M419.pdb     -105.104618 kBT
2quxR_M409.pdb     -87.014631 kBT
2quxR_M321.pdb     -106.022442 kBT
2quxR_M42.pdb     -118.347063 kBT
2quxR_M195.pdb     -104.699628 kBT
2quxR_M496.pdb     -95.957482 kBT
2quxR_M139.pdb     -124.288972 kBT
2quxR_M423.pdb     -119.765799 kBT
2quxR_M72.pdb     -119.453052 kBT
2quxR_M352.pdb     -121.756674 kBT
2quxR_M242.pdb     -108.335020 kBT
2quxR_M238.pdb     -94.100118 kBT
2quxR_M150.pdb     -108.557849 kBT
2quxR_M292.pdb     -124.846188 kBT
2quxR_M300.pdb     -72.894257 kBT
2quxR_M373.pdb     -86.750494 kBT
2quxR_M334.pdb     -101.153001 kBT
2quxR_M450.pdb     -106.714643 kBT
2quxR_M403.pdb     -92.483781 kBT
2quxR_M428.pdb     -110.192078 kBT
2quxR_M111.pdb     -106.347660 kBT
2quxR_M338.pdb     -78.753151 kBT
2quxR_M287.pdb     -108.795211 kBT
2quxR_M208.pdb     -82.345801 kBT
2quxR_M25.pdb     -137.274945 kBT
2quxR_M211.pdb     -101.885698 kBT
2quxR_M40.pdb     -119.768117 kBT
2quxR_M192.pdb     -96.522807 kBT
2quxR_M310.pdb     -113.540019 kBT
2quxR_M256.pdb     -102.303690 kBT
2quxR_M335.pdb     -103.738604 kBT
2quxR_M490.pdb     -100.344807 kBT
2quxR_M304.pdb     -119.014139 kBT
2quxR_M380.pdb     -107.948348 kBT
2quxR_M176.pdb     -106.478672 kBT
2quxR_M401.pdb     -90.875382 kBT
2quxR_M188.pdb     -108.518848 kBT
2quxR_M372.pdb     -131.889081 kBT
2quxR_M286.pdb     -109.022201 kBT
2quxR_M255.pdb     -120.958754 kBT
2quxR_M222.pdb     -67.797231 kBT
2quxR_M417.pdb     -93.147609 kBT
2quxR_M78.pdb     -119.820007 kBT
2quxR_M20.pdb     -128.228320 kBT
2quxR_M277.pdb     -108.716387 kBT
2quxR_M306.pdb     -86.449709 kBT
2quxR_M483.pdb     -84.290656 kBT
2quxR_M182.pdb     -115.124795 kBT
2quxR_M368.pdb     -105.684446 kBT
2quxR_M19.pdb     -130.006145 kBT
2quxR_M458.pdb     -111.120297 kBT
2quxR_M464.pdb     -106.076158 kBT
2quxR_M189.pdb     -104.041798 kBT
2quxR_M51.pdb     -127.872571 kBT
2quxR_M317.pdb     -79.280252 kBT
2quxR_M210.pdb     -103.223369 kBT
2quxR_M392.pdb     -98.586941 kBT
2quxR_M443.pdb     -88.538212 kBT
2quxR_M283.pdb     -83.866816 kBT
2quxR_M159.pdb     -105.228542 kBT
2quxR_M455.pdb     -98.404592 kBT
2quxR_M136.pdb     -108.249410 kBT
2quxR_M308.pdb     -100.363708 kBT
2quxR_M362.pdb     -101.378006 kBT
2quxR_M21.pdb     -133.162638 kBT
2quxR_M102.pdb     -117.914011 kBT
2quxR_M152.pdb     -85.221492 kBT
2quxR_M94.pdb     -117.386284 kBT
2quxR_M46.pdb     -130.158223 kBT
2quxR_M468.pdb     -90.034306 kBT
2quxR_M101.pdb     -119.257755 kBT
2quxR_M14.pdb     -147.818732 kBT
2quxR_M8.pdb     -141.079623 kBT
2quxR_M342.pdb     -104.897689 kBT
2quxR_M220.pdb     -104.463846 kBT
2quxR_M79.pdb     -107.931192 kBT
2quxR_M288.pdb     -83.470310 kBT
2quxR_M7.pdb     -144.762785 kBT
2quxR_M492.pdb     -96.259599 kBT
2quxR_M395.pdb     -91.495802 kBT
