3eogA_M64.pdb     -1453.914582 kBT
3eogA_M435.pdb     -1394.559605 kBT
3eogA_M16.pdb     -1548.627054 kBT
3eogA_M31.pdb     -1512.930807 kBT
3eogA_M419.pdb     -1407.725892 kBT
3eogA_M93.pdb     -1458.623310 kBT
3eogA_M299.pdb     -1403.778833 kBT
3eogA_M127.pdb     -1443.123338 kBT
3eogA_M166.pdb     -1421.359490 kBT
3eogA_M129.pdb     -1452.001878 kBT
3eogA_M156.pdb     -1403.534277 kBT
3eogA_M67.pdb     -1431.827336 kBT
3eogA_M418.pdb     -1427.751273 kBT
3eogA_M290.pdb     -1422.261542 kBT
3eogA_M28.pdb     -1547.778672 kBT
3eogA_M331.pdb     -1372.570783 kBT
3eogA_M311.pdb     -1395.464980 kBT
3eogA_M4.pdb     -1590.392627 kBT
3eogA_M281.pdb     -1413.709776 kBT
3eogA_M94.pdb     -1477.194237 kBT
3eogA_M128.pdb     -1400.183811 kBT
3eogA_M169.pdb     -1443.543195 kBT
3eogA_M445.pdb     -1353.266055 kBT
3eogA_M203.pdb     -1424.823335 kBT
3eogA_M15.pdb     -1571.059558 kBT
3eogA_M444.pdb     -1338.658552 kBT
3eogA_M134.pdb     -1404.529920 kBT
3eogA_M275.pdb     -1405.693269 kBT
3eogA_M25.pdb     -1523.137604 kBT
3eogA_M213.pdb     -1394.069007 kBT
3eogA_M327.pdb     -1398.434100 kBT
3eogA_M492.pdb     -1367.611573 kBT
3eogA_M370.pdb     -1385.183605 kBT
3eogA_M283.pdb     -1410.080895 kBT
3eogA_M146.pdb     -1425.864831 kBT
3eogA_M360.pdb     -1437.110001 kBT
3eogA_M14.pdb     -1569.538404 kBT
3eogA_M29.pdb     -1523.992112 kBT
3eogA_M180.pdb     -1412.072111 kBT
3eogA_M80.pdb     -1425.895504 kBT
3eogA_M256.pdb     -1435.006618 kBT
3eogA_M498.pdb     -1382.211313 kBT
3eogA_M322.pdb     -1365.500005 kBT
3eogA_M368.pdb     -1382.957521 kBT
3eogA_M126.pdb     -1428.593149 kBT
3eogA_M192.pdb     -1417.544109 kBT
3eogA_M161.pdb     -1408.650654 kBT
3eogA_M278.pdb     -1432.988330 kBT
3eogA_M96.pdb     -1438.107614 kBT
3eogA_M229.pdb     -1356.654567 kBT
3eogA_M243.pdb     -1372.365244 kBT
3eogA_M248.pdb     -1426.833046 kBT
3eogA_M300.pdb     -1373.221719 kBT
3eogA_M119.pdb     -1435.695104 kBT
3eogA_M65.pdb     -1499.692690 kBT
3eogA_M187.pdb     -1386.717422 kBT
3eogA_M442.pdb     -1377.967470 kBT
3eogA_M462.pdb     -1390.019562 kBT
3eogA_M412.pdb     -1440.004634 kBT
3eogA_M154.pdb     -1418.259662 kBT
3eogA_M313.pdb     -1391.025978 kBT
3eogA_M45.pdb     -1474.248656 kBT
3eogA_M212.pdb     -1398.975740 kBT
3eogA_M392.pdb     -1374.481457 kBT
3eogA_M189.pdb     -1415.631287 kBT
3eogA_M258.pdb     -1422.782297 kBT
3eogA_M405.pdb     -1352.990885 kBT
3eogA_M367.pdb     -1387.163235 kBT
3eogA_M91.pdb     -1441.235445 kBT
3eogA_M121.pdb     -1446.562993 kBT
3eogA_M411.pdb     -1400.372345 kBT
3eogA_M122.pdb     -1426.002424 kBT
3eogA_M164.pdb     -1415.142563 kBT
3eogA_M432.pdb     -1357.568616 kBT
3eogA_M151.pdb     -1422.391473 kBT
3eogA_M365.pdb     -1385.860373 kBT
3eogA_M225.pdb     -1358.429899 kBT
3eogA_M206.pdb     -1405.263826 kBT
3eogA_M102.pdb     -1445.599407 kBT
3eogA_M101.pdb     -1449.669829 kBT
3eogA_M339.pdb     -1396.107015 kBT
3eogA_M145.pdb     -1427.341857 kBT
3eogA_M293.pdb     -1420.292877 kBT
3eogA_M71.pdb     -1441.243314 kBT
3eogA_M246.pdb     -1373.814924 kBT
3eogA_M393.pdb     -1405.798677 kBT
3eogA_M378.pdb     -1389.650247 kBT
3eogA_M447.pdb     -1406.051503 kBT
3eogA_M489.pdb     -1375.224018 kBT
3eogA_M294.pdb     -1400.206578 kBT
3eogA_M349.pdb     -1368.618965 kBT
3eogA_M196.pdb     -1422.591408 kBT
3eogA_M265.pdb     -1404.559414 kBT
3eogA_M69.pdb     -1483.232147 kBT
3eogA_M364.pdb     -1401.195267 kBT
3eogA_M347.pdb     -1381.060438 kBT
3eogA_M481.pdb     -1330.324900 kBT
3eogA_M439.pdb     -1367.605354 kBT
3eogA_M301.pdb     -1359.216214 kBT
3eogA_M358.pdb     -1340.072580 kBT
3eogA_M3.pdb     -1595.115365 kBT
3eogA_M254.pdb     -1423.472006 kBT
3eogA_M306.pdb     -1427.049326 kBT
3eogA_M250.pdb     -1415.147342 kBT
3eogA_M461.pdb     -1394.487645 kBT
3eogA_M76.pdb     -1489.241795 kBT
3eogA.pdb     -1602.387023 kBT
3eogA_M215.pdb     -1409.835704 kBT
3eogA_M40.pdb     -1484.624917 kBT
3eogA_M496.pdb     -1365.272735 kBT
3eogA_M56.pdb     -1502.429916 kBT
3eogA_M280.pdb     -1375.342045 kBT
3eogA_M82.pdb     -1452.637872 kBT
3eogA_M410.pdb     -1409.154092 kBT
3eogA_M159.pdb     -1418.337508 kBT
3eogA_M473.pdb     -1329.943879 kBT
3eogA_M11.pdb     -1588.159304 kBT
3eogA_M388.pdb     -1395.821753 kBT
3eogA_M103.pdb     -1451.428103 kBT
3eogA_M362.pdb     -1425.236501 kBT
3eogA_M453.pdb     -1357.236350 kBT
3eogA_M17.pdb     -1571.839793 kBT
3eogA_M330.pdb     -1352.314395 kBT
3eogA_M325.pdb     -1358.508864 kBT
3eogA_M326.pdb     -1352.512044 kBT
3eogA_M421.pdb     -1392.957906 kBT
3eogA_M37.pdb     -1513.509292 kBT
3eogA_M464.pdb     -1398.046195 kBT
3eogA_M446.pdb     -1402.426717 kBT
3eogA_M497.pdb     -1414.216630 kBT
3eogA_M284.pdb     -1367.624374 kBT
3eogA_M7.pdb     -1584.963768 kBT
3eogA_M107.pdb     -1428.652917 kBT
3eogA_M437.pdb     -1388.300917 kBT
3eogA_M262.pdb     -1401.002535 kBT
3eogA_M423.pdb     -1388.072795 kBT
3eogA_M167.pdb     -1427.505860 kBT
3eogA_M287.pdb     -1425.199442 kBT
3eogA_M279.pdb     -1397.606742 kBT
3eogA_M235.pdb     -1412.581349 kBT
3eogA_M226.pdb     -1385.701843 kBT
3eogA_M272.pdb     -1374.270028 kBT
3eogA_M260.pdb     -1402.315317 kBT
3eogA_M21.pdb     -1545.477055 kBT
3eogA_M6.pdb     -1584.992342 kBT
3eogA_M120.pdb     -1443.035412 kBT
3eogA_M124.pdb     -1463.757040 kBT
3eogA_M20.pdb     -1553.331908 kBT
3eogA_M61.pdb     -1456.197288 kBT
3eogA_M312.pdb     -1331.380392 kBT
3eogA_M463.pdb     -1356.340503 kBT
3eogA_M396.pdb     -1390.874269 kBT
3eogA_M200.pdb     -1400.494498 kBT
3eogA_M460.pdb     -1347.240498 kBT
3eogA_M249.pdb     -1407.025174 kBT
3eogA_M451.pdb     -1358.198110 kBT
3eogA_M36.pdb     -1498.038943 kBT
3eogA_M305.pdb     -1384.671052 kBT
3eogA_M357.pdb     -1355.167454 kBT
3eogA_M241.pdb     -1418.164771 kBT
3eogA_M318.pdb     -1405.902625 kBT
3eogA_M181.pdb     -1406.926104 kBT
3eogA_M115.pdb     -1451.445652 kBT
3eogA_M397.pdb     -1394.472357 kBT
3eogA_M286.pdb     -1399.785257 kBT
3eogA_M148.pdb     -1412.321292 kBT
3eogA_M276.pdb     -1398.392929 kBT
3eogA_M72.pdb     -1479.256483 kBT
3eogA_M109.pdb     -1438.869189 kBT
3eogA_M75.pdb     -1445.952161 kBT
3eogA_M267.pdb     -1379.923104 kBT
3eogA_M415.pdb     -1340.273541 kBT
3eogA_M99.pdb     -1456.109599 kBT
3eogA_M162.pdb     -1415.936625 kBT
3eogA_M113.pdb     -1427.277795 kBT
3eogA_M484.pdb     -1332.851968 kBT
3eogA_M84.pdb     -1480.182552 kBT
3eogA_M70.pdb     -1445.638455 kBT
3eogA_M158.pdb     -1455.003122 kBT
3eogA_M195.pdb     -1421.040584 kBT
3eogA_M68.pdb     -1425.066999 kBT
3eogA_M407.pdb     -1356.763459 kBT
3eogA_M303.pdb     -1364.383256 kBT
3eogA_M58.pdb     -1458.576774 kBT
3eogA_M459.pdb     -1357.426699 kBT
3eogA_M111.pdb     -1410.419460 kBT
3eogA_M304.pdb     -1406.911057 kBT
3eogA_M261.pdb     -1368.621492 kBT
3eogA_M499.pdb     -1341.388981 kBT
3eogA_M470.pdb     -1386.401196 kBT
3eogA_M390.pdb     -1370.421829 kBT
3eogA_M399.pdb     -1404.893007 kBT
3eogA_M19.pdb     -1535.202490 kBT
3eogA_M480.pdb     -1389.017452 kBT
3eogA_M350.pdb     -1386.217091 kBT
3eogA_M34.pdb     -1506.139699 kBT
3eogA_M174.pdb     -1422.639844 kBT
3eogA_M201.pdb     -1404.529249 kBT
3eogA_M26.pdb     -1555.303904 kBT
3eogA_M223.pdb     -1407.593281 kBT
3eogA_M22.pdb     -1530.905922 kBT
3eogA_M431.pdb     -1381.623196 kBT
3eogA_M233.pdb     -1426.665623 kBT
3eogA_M359.pdb     -1401.820885 kBT
3eogA_M8.pdb     -1590.821195 kBT
3eogA_M394.pdb     -1396.529560 kBT
3eogA_M38.pdb     -1505.055650 kBT
3eogA_M110.pdb     -1430.950171 kBT
3eogA_M62.pdb     -1455.679052 kBT
3eogA_M13.pdb     -1580.393442 kBT
3eogA_M199.pdb     -1403.257545 kBT
3eogA_M228.pdb     -1420.454274 kBT
3eogA_M384.pdb     -1401.450025 kBT
3eogA_M176.pdb     -1423.321704 kBT
3eogA_M106.pdb     -1454.599491 kBT
3eogA_M427.pdb     -1380.643858 kBT
3eogA_M83.pdb     -1420.980819 kBT
3eogA_M438.pdb     -1405.466118 kBT
3eogA_M142.pdb     -1424.431115 kBT
3eogA_M51.pdb     -1486.297076 kBT
3eogA_M308.pdb     -1380.285634 kBT
3eogA_M379.pdb     -1403.333216 kBT
3eogA_M27.pdb     -1518.735580 kBT
3eogA_M491.pdb     -1368.510934 kBT
3eogA_M232.pdb     -1408.938032 kBT
3eogA_M455.pdb     -1355.744423 kBT
3eogA_M118.pdb     -1411.995886 kBT
3eogA_M373.pdb     -1407.231707 kBT
3eogA_M153.pdb     -1473.304854 kBT
3eogA_M263.pdb     -1414.421954 kBT
3eogA_M465.pdb     -1353.948503 kBT
3eogA_M35.pdb     -1519.586134 kBT
3eogA_M292.pdb     -1382.944454 kBT
3eogA_M182.pdb     -1425.746218 kBT
3eogA_M490.pdb     -1357.418255 kBT
3eogA_M420.pdb     -1356.159366 kBT
3eogA_M386.pdb     -1446.058602 kBT
3eogA_M296.pdb     -1425.616469 kBT
3eogA_M426.pdb     -1329.517316 kBT
3eogA_M112.pdb     -1438.569195 kBT
3eogA_M416.pdb     -1413.245717 kBT
3eogA_M144.pdb     -1427.459589 kBT
3eogA_M9.pdb     -1596.294577 kBT
3eogA_M429.pdb     -1387.071488 kBT
3eogA_M389.pdb     -1386.155833 kBT
3eogA_M149.pdb     -1434.221685 kBT
3eogA_M483.pdb     -1383.641447 kBT
3eogA_M230.pdb     -1436.546598 kBT
3eogA_M487.pdb     -1389.863011 kBT
3eogA_M468.pdb     -1378.818407 kBT
3eogA_M87.pdb     -1423.593883 kBT
3eogA_M377.pdb     -1383.763623 kBT
3eogA_M371.pdb     -1370.412144 kBT
3eogA_M277.pdb     -1352.162348 kBT
3eogA_M24.pdb     -1501.806840 kBT
3eogA_M391.pdb     -1432.853321 kBT
3eogA_M95.pdb     -1489.167032 kBT
3eogA_M404.pdb     -1382.178531 kBT
3eogA_M59.pdb     -1482.859097 kBT
3eogA_M417.pdb     -1373.713561 kBT
3eogA_M335.pdb     -1380.034831 kBT
3eogA_M376.pdb     -1387.242561 kBT
3eogA_M381.pdb     -1338.587972 kBT
3eogA_M139.pdb     -1444.074719 kBT
3eogA_M398.pdb     -1361.072528 kBT
3eogA_M382.pdb     -1397.065041 kBT
3eogA_M456.pdb     -1346.589090 kBT
3eogA_M191.pdb     -1390.524544 kBT
3eogA_M194.pdb     -1404.890990 kBT
3eogA_M141.pdb     -1402.832642 kBT
3eogA_M400.pdb     -1381.910520 kBT
3eogA_M310.pdb     -1358.416260 kBT
3eogA_M222.pdb     -1401.617548 kBT
3eogA_M165.pdb     -1455.464194 kBT
3eogA_M469.pdb     -1366.150803 kBT
3eogA_M329.pdb     -1385.253693 kBT
3eogA_M385.pdb     -1380.786022 kBT
3eogA_M5.pdb     -1600.243277 kBT
3eogA_M288.pdb     -1377.243508 kBT
3eogA_M89.pdb     -1443.506739 kBT
3eogA_M173.pdb     -1403.387891 kBT
3eogA_M53.pdb     -1502.777032 kBT
3eogA_M471.pdb     -1376.489475 kBT
3eogA_M342.pdb     -1392.462796 kBT
3eogA_M479.pdb     -1362.735948 kBT
3eogA_M450.pdb     -1329.173321 kBT
3eogA_M413.pdb     -1369.297681 kBT
3eogA_M477.pdb     -1374.672014 kBT
3eogA_M273.pdb     -1430.876005 kBT
3eogA_M372.pdb     -1391.009608 kBT
3eogA_M52.pdb     -1476.678359 kBT
3eogA_M474.pdb     -1400.934410 kBT
3eogA_M98.pdb     -1445.895673 kBT
3eogA_M135.pdb     -1409.276927 kBT
3eogA_M422.pdb     -1388.412537 kBT
3eogA_M291.pdb     -1364.289986 kBT
3eogA_M46.pdb     -1502.659232 kBT
3eogA_M79.pdb     -1478.344826 kBT
3eogA_M430.pdb     -1371.939341 kBT
3eogA_M66.pdb     -1464.839858 kBT
3eogA_M217.pdb     -1429.396267 kBT
3eogA_M321.pdb     -1376.881413 kBT
3eogA_M77.pdb     -1442.696305 kBT
3eogA_M247.pdb     -1418.144460 kBT
3eogA_M150.pdb     -1442.415211 kBT
3eogA_M202.pdb     -1461.395457 kBT
3eogA_M336.pdb     -1373.764752 kBT
3eogA_M341.pdb     -1394.460163 kBT
3eogA_M472.pdb     -1340.414673 kBT
3eogA_M345.pdb     -1384.205332 kBT
3eogA_M214.pdb     -1422.754576 kBT
3eogA_M227.pdb     -1395.835798 kBT
3eogA_M236.pdb     -1417.791104 kBT
3eogA_M198.pdb     -1382.145398 kBT
3eogA_M104.pdb     -1484.600188 kBT
3eogA_M475.pdb     -1360.126711 kBT
3eogA_M42.pdb     -1487.125149 kBT
3eogA_M356.pdb     -1372.130415 kBT
3eogA_M2.pdb     -1591.016717 kBT
3eogA_M328.pdb     -1356.572025 kBT
3eogA_M285.pdb     -1451.800350 kBT
3eogA_M494.pdb     -1365.462721 kBT
3eogA_M39.pdb     -1561.083101 kBT
3eogA_M500.pdb     -1348.482863 kBT
3eogA_M259.pdb     -1392.436565 kBT
3eogA_M179.pdb     -1444.468959 kBT
3eogA_M186.pdb     -1424.269007 kBT
3eogA_M458.pdb     -1386.649432 kBT
3eogA_M170.pdb     -1416.266202 kBT
3eogA_M355.pdb     -1373.755398 kBT
3eogA_M125.pdb     -1450.322539 kBT
3eogA_M116.pdb     -1452.837502 kBT
3eogA_M486.pdb     -1301.961344 kBT
3eogA_M114.pdb     -1475.888623 kBT
3eogA_M375.pdb     -1368.332505 kBT
3eogA_M30.pdb     -1524.311087 kBT
3eogA_M41.pdb     -1504.800790 kBT
3eogA_M231.pdb     -1395.645595 kBT
3eogA_M242.pdb     -1402.880511 kBT
3eogA_M240.pdb     -1397.787213 kBT
3eogA_M218.pdb     -1381.168603 kBT
3eogA_M183.pdb     -1421.930277 kBT
3eogA_M209.pdb     -1423.492206 kBT
3eogA_M344.pdb     -1352.674824 kBT
3eogA_M352.pdb     -1419.511781 kBT
3eogA_M340.pdb     -1352.721200 kBT
3eogA_M282.pdb     -1386.070901 kBT
3eogA_M448.pdb     -1376.466662 kBT
3eogA_M274.pdb     -1406.344497 kBT
3eogA_M220.pdb     -1466.364229 kBT
3eogA_M137.pdb     -1441.644926 kBT
3eogA_M157.pdb     -1412.501835 kBT
3eogA_M271.pdb     -1401.000831 kBT
3eogA_M32.pdb     -1541.596527 kBT
3eogA_M323.pdb     -1380.536863 kBT
3eogA_M81.pdb     -1461.756397 kBT
3eogA_M443.pdb     -1354.752267 kBT
3eogA_M493.pdb     -1373.657699 kBT
3eogA_M47.pdb     -1489.761394 kBT
3eogA_M269.pdb     -1403.240141 kBT
3eogA_M185.pdb     -1410.425059 kBT
