2qusB_M208.pdb     -251.451192 kBT
2qusB_M42.pdb     -283.837010 kBT
2qusB_M374.pdb     -238.064250 kBT
2qusB_M8.pdb     -304.733752 kBT
2qusB_M491.pdb     -251.545487 kBT
2qusB_M288.pdb     -250.317020 kBT
2qusB_M88.pdb     -272.220670 kBT
2qusB_M150.pdb     -248.845489 kBT
2qusB_M424.pdb     -262.945927 kBT
2qusB_M313.pdb     -237.136908 kBT
2qusB_M358.pdb     -258.567692 kBT
2qusB_M211.pdb     -259.958934 kBT
2qusB_M473.pdb     -248.631197 kBT
2qusB_M390.pdb     -248.417152 kBT
2qusB_M15.pdb     -300.141415 kBT
2qusB_M314.pdb     -259.792825 kBT
2qusB_M180.pdb     -263.332581 kBT
2qusB_M489.pdb     -231.046532 kBT
2qusB_M452.pdb     -250.107137 kBT
2qusB_M274.pdb     -254.976961 kBT
2qusB_M149.pdb     -271.380359 kBT
2qusB_M438.pdb     -269.669884 kBT
2qusB_M448.pdb     -260.004018 kBT
2qusB_M129.pdb     -270.312144 kBT
2qusB_M76.pdb     -264.154215 kBT
2qusB_M241.pdb     -256.785165 kBT
2qusB_M148.pdb     -268.929267 kBT
2qusB_M63.pdb     -271.340926 kBT
2qusB_M410.pdb     -240.894863 kBT
2qusB_M411.pdb     -228.489880 kBT
2qusB_M91.pdb     -263.885725 kBT
2qusB_M383.pdb     -243.311825 kBT
2qusB_M270.pdb     -260.467256 kBT
2qusB_M333.pdb     -235.810249 kBT
2qusB_M335.pdb     -263.520721 kBT
2qusB.pdb     -306.556876 kBT
2qusB_M471.pdb     -227.592879 kBT
2qusB_M73.pdb     -298.859409 kBT
2qusB_M475.pdb     -252.578797 kBT
2qusB_M453.pdb     -241.277908 kBT
2qusB_M495.pdb     -248.075957 kBT
2qusB_M10.pdb     -302.055250 kBT
2qusB_M373.pdb     -249.625522 kBT
2qusB_M163.pdb     -243.959168 kBT
2qusB_M352.pdb     -249.469482 kBT
2qusB_M481.pdb     -246.607999 kBT
2qusB_M432.pdb     -233.667477 kBT
2qusB_M472.pdb     -250.378726 kBT
2qusB_M236.pdb     -276.577754 kBT
2qusB_M119.pdb     -259.683230 kBT
2qusB_M177.pdb     -272.197388 kBT
2qusB_M320.pdb     -251.509205 kBT
2qusB_M295.pdb     -251.343683 kBT
2qusB_M456.pdb     -239.887401 kBT
2qusB_M24.pdb     -277.441341 kBT
2qusB_M316.pdb     -277.925303 kBT
2qusB_M28.pdb     -285.762866 kBT
2qusB_M322.pdb     -265.616318 kBT
2qusB_M399.pdb     -236.021718 kBT
2qusB_M305.pdb     -266.209553 kBT
2qusB_M386.pdb     -243.351104 kBT
2qusB_M113.pdb     -261.014714 kBT
2qusB_M470.pdb     -269.427725 kBT
2qusB_M109.pdb     -264.795746 kBT
2qusB_M311.pdb     -254.086377 kBT
2qusB_M490.pdb     -241.736234 kBT
2qusB_M252.pdb     -252.126274 kBT
2qusB_M86.pdb     -262.865079 kBT
2qusB_M20.pdb     -305.516103 kBT
2qusB_M389.pdb     -263.447750 kBT
2qusB_M6.pdb     -305.825570 kBT
2qusB_M212.pdb     -251.911937 kBT
2qusB_M348.pdb     -247.874674 kBT
2qusB_M401.pdb     -232.863339 kBT
2qusB_M214.pdb     -253.709357 kBT
2qusB_M375.pdb     -257.572002 kBT
2qusB_M128.pdb     -269.817285 kBT
2qusB_M27.pdb     -287.267851 kBT
2qusB_M16.pdb     -298.077351 kBT
2qusB_M83.pdb     -282.655476 kBT
2qusB_M22.pdb     -277.818695 kBT
2qusB_M468.pdb     -216.954581 kBT
2qusB_M477.pdb     -254.138440 kBT
2qusB_M376.pdb     -247.258889 kBT
2qusB_M221.pdb     -242.587160 kBT
2qusB_M160.pdb     -270.430621 kBT
2qusB_M47.pdb     -278.466684 kBT
2qusB_M11.pdb     -298.289056 kBT
2qusB_M189.pdb     -242.295629 kBT
2qusB_M306.pdb     -244.546999 kBT
2qusB_M422.pdb     -224.846776 kBT
2qusB_M353.pdb     -258.379043 kBT
2qusB_M282.pdb     -261.128862 kBT
2qusB_M331.pdb     -232.043735 kBT
2qusB_M194.pdb     -243.949223 kBT
2qusB_M226.pdb     -262.854853 kBT
2qusB_M9.pdb     -303.128989 kBT
2qusB_M467.pdb     -243.900309 kBT
2qusB_M184.pdb     -256.926817 kBT
2qusB_M379.pdb     -261.782541 kBT
2qusB_M56.pdb     -282.323940 kBT
2qusB_M365.pdb     -262.096736 kBT
2qusB_M178.pdb     -266.697182 kBT
2qusB_M249.pdb     -243.936312 kBT
2qusB_M190.pdb     -254.053071 kBT
2qusB_M347.pdb     -241.495828 kBT
2qusB_M479.pdb     -246.710803 kBT
2qusB_M356.pdb     -255.679249 kBT
2qusB_M81.pdb     -285.393064 kBT
2qusB_M238.pdb     -271.409177 kBT
2qusB_M142.pdb     -268.096017 kBT
2qusB_M446.pdb     -245.231347 kBT
2qusB_M351.pdb     -257.315718 kBT
2qusB_M125.pdb     -269.553531 kBT
2qusB_M442.pdb     -236.996439 kBT
2qusB_M143.pdb     -262.035618 kBT
2qusB_M385.pdb     -236.371549 kBT
2qusB_M500.pdb     -228.426277 kBT
2qusB_M35.pdb     -277.635164 kBT
2qusB_M39.pdb     -275.327079 kBT
2qusB_M454.pdb     -250.544011 kBT
2qusB_M18.pdb     -293.419921 kBT
2qusB_M425.pdb     -241.037821 kBT
2qusB_M43.pdb     -278.166645 kBT
2qusB_M279.pdb     -258.289031 kBT
2qusB_M284.pdb     -261.658391 kBT
2qusB_M154.pdb     -266.633102 kBT
2qusB_M181.pdb     -280.114632 kBT
2qusB_M460.pdb     -247.418769 kBT
2qusB_M192.pdb     -264.445648 kBT
2qusB_M413.pdb     -256.338128 kBT
2qusB_M77.pdb     -259.820779 kBT
2qusB_M444.pdb     -242.594018 kBT
2qusB_M114.pdb     -260.136405 kBT
2qusB_M394.pdb     -237.580023 kBT
2qusB_M260.pdb     -259.845447 kBT
2qusB_M465.pdb     -233.584100 kBT
2qusB_M57.pdb     -261.913375 kBT
2qusB_M485.pdb     -263.096549 kBT
2qusB_M204.pdb     -260.518207 kBT
2qusB_M496.pdb     -246.347448 kBT
2qusB_M436.pdb     -247.978977 kBT
2qusB_M197.pdb     -264.183182 kBT
2qusB_M23.pdb     -289.689002 kBT
2qusB_M130.pdb     -280.000048 kBT
2qusB_M222.pdb     -270.346738 kBT
2qusB_M380.pdb     -263.103781 kBT
2qusB_M264.pdb     -276.320887 kBT
2qusB_M296.pdb     -238.227017 kBT
2qusB_M433.pdb     -233.856006 kBT
2qusB_M168.pdb     -276.584236 kBT
2qusB_M493.pdb     -237.014770 kBT
2qusB_M437.pdb     -234.585709 kBT
2qusB_M443.pdb     -272.488769 kBT
2qusB_M307.pdb     -269.020374 kBT
2qusB_M147.pdb     -266.747846 kBT
2qusB_M46.pdb     -280.519147 kBT
2qusB_M361.pdb     -252.365324 kBT
2qusB_M302.pdb     -269.017497 kBT
2qusB_M48.pdb     -279.292616 kBT
2qusB_M287.pdb     -268.203357 kBT
2qusB_M301.pdb     -261.996376 kBT
2qusB_M5.pdb     -309.438305 kBT
2qusB_M196.pdb     -250.216502 kBT
2qusB_M426.pdb     -261.455009 kBT
2qusB_M474.pdb     -239.568234 kBT
2qusB_M256.pdb     -260.214187 kBT
2qusB_M281.pdb     -255.198830 kBT
2qusB_M161.pdb     -285.333571 kBT
2qusB_M116.pdb     -261.938961 kBT
2qusB_M26.pdb     -281.367830 kBT
2qusB_M349.pdb     -256.410368 kBT
2qusB_M257.pdb     -254.388753 kBT
2qusB_M1.pdb     -301.957765 kBT
2qusB_M41.pdb     -285.628680 kBT
2qusB_M58.pdb     -277.119541 kBT
2qusB_M100.pdb     -271.901695 kBT
2qusB_M21.pdb     -292.140226 kBT
2qusB_M396.pdb     -245.722262 kBT
2qusB_M297.pdb     -249.593928 kBT
2qusB_M117.pdb     -275.514278 kBT
2qusB_M29.pdb     -282.089546 kBT
2qusB_M224.pdb     -264.570721 kBT
2qusB_M480.pdb     -247.149030 kBT
2qusB_M265.pdb     -261.824562 kBT
2qusB_M187.pdb     -268.681140 kBT
2qusB_M152.pdb     -262.103117 kBT
2qusB_M174.pdb     -242.703619 kBT
2qusB_M259.pdb     -253.800897 kBT
2qusB_M310.pdb     -252.128905 kBT
2qusB_M95.pdb     -261.459671 kBT
2qusB_M328.pdb     -267.858710 kBT
2qusB_M198.pdb     -247.424748 kBT
2qusB_M378.pdb     -239.936350 kBT
2qusB_M182.pdb     -276.202158 kBT
2qusB_M101.pdb     -267.124098 kBT
2qusB_M403.pdb     -251.104454 kBT
2qusB_M423.pdb     -242.781282 kBT
2qusB_M158.pdb     -273.348414 kBT
2qusB_M434.pdb     -243.465436 kBT
2qusB_M366.pdb     -249.690242 kBT
2qusB_M404.pdb     -256.279694 kBT
2qusB_M121.pdb     -278.932185 kBT
2qusB_M339.pdb     -248.679492 kBT
2qusB_M271.pdb     -257.715519 kBT
2qusB_M105.pdb     -253.442842 kBT
2qusB_M299.pdb     -258.631550 kBT
2qusB_M99.pdb     -272.161087 kBT
2qusB_M220.pdb     -265.302428 kBT
2qusB_M134.pdb     -268.701191 kBT
2qusB_M217.pdb     -258.846482 kBT
2qusB_M412.pdb     -240.697178 kBT
2qusB_M59.pdb     -268.147696 kBT
2qusB_M144.pdb     -260.681088 kBT
2qusB_M110.pdb     -267.706701 kBT
2qusB_M267.pdb     -247.354931 kBT
2qusB_M451.pdb     -242.087631 kBT
2qusB_M400.pdb     -242.754844 kBT
2qusB_M173.pdb     -247.099151 kBT
2qusB_M32.pdb     -277.532779 kBT
2qusB_M164.pdb     -260.939391 kBT
2qusB_M45.pdb     -269.219418 kBT
2qusB_M486.pdb     -213.944044 kBT
2qusB_M49.pdb     -264.600090 kBT
2qusB_M108.pdb     -254.970595 kBT
2qusB_M112.pdb     -259.422835 kBT
2qusB_M388.pdb     -237.160898 kBT
2qusB_M12.pdb     -306.033014 kBT
2qusB_M185.pdb     -265.742688 kBT
2qusB_M363.pdb     -240.391854 kBT
2qusB_M494.pdb     -243.710845 kBT
2qusB_M498.pdb     -223.672217 kBT
2qusB_M228.pdb     -235.904715 kBT
2qusB_M71.pdb     -267.285050 kBT
2qusB_M418.pdb     -253.563860 kBT
2qusB_M315.pdb     -247.336056 kBT
2qusB_M330.pdb     -260.178271 kBT
2qusB_M484.pdb     -252.878669 kBT
2qusB_M372.pdb     -243.869430 kBT
2qusB_M487.pdb     -250.920860 kBT
2qusB_M359.pdb     -255.508673 kBT
2qusB_M115.pdb     -272.649200 kBT
2qusB_M122.pdb     -266.645153 kBT
2qusB_M406.pdb     -244.059249 kBT
2qusB_M44.pdb     -277.150664 kBT
2qusB_M80.pdb     -278.556725 kBT
2qusB_M3.pdb     -308.232692 kBT
2qusB_M457.pdb     -249.292584 kBT
2qusB_M268.pdb     -248.147966 kBT
2qusB_M371.pdb     -238.362554 kBT
2qusB_M263.pdb     -262.950495 kBT
2qusB_M317.pdb     -244.383503 kBT
2qusB_M111.pdb     -256.286471 kBT
2qusB_M7.pdb     -309.724051 kBT
2qusB_M384.pdb     -242.732322 kBT
2qusB_M223.pdb     -253.174226 kBT
2qusB_M68.pdb     -257.576996 kBT
2qusB_M355.pdb     -255.055737 kBT
2qusB_M360.pdb     -255.584141 kBT
2qusB_M289.pdb     -271.252425 kBT
2qusB_M343.pdb     -258.106230 kBT
2qusB_M166.pdb     -272.287402 kBT
2qusB_M377.pdb     -252.459578 kBT
2qusB_M216.pdb     -244.119653 kBT
2qusB_M90.pdb     -276.768872 kBT
2qusB_M292.pdb     -271.020720 kBT
2qusB_M193.pdb     -274.827934 kBT
2qusB_M67.pdb     -256.798921 kBT
2qusB_M87.pdb     -266.713121 kBT
2qusB_M459.pdb     -243.118099 kBT
2qusB_M277.pdb     -261.789979 kBT
2qusB_M483.pdb     -248.769560 kBT
2qusB_M461.pdb     -252.325277 kBT
2qusB_M329.pdb     -262.529476 kBT
2qusB_M319.pdb     -251.063291 kBT
2qusB_M417.pdb     -255.697028 kBT
2qusB_M278.pdb     -246.857120 kBT
2qusB_M478.pdb     -258.217641 kBT
2qusB_M283.pdb     -247.544579 kBT
2qusB_M75.pdb     -276.472440 kBT
2qusB_M55.pdb     -281.207145 kBT
2qusB_M450.pdb     -237.661101 kBT
2qusB_M231.pdb     -268.009005 kBT
2qusB_M405.pdb     -256.693735 kBT
2qusB_M82.pdb     -280.811573 kBT
2qusB_M354.pdb     -256.264309 kBT
2qusB_M266.pdb     -255.304898 kBT
2qusB_M462.pdb     -247.295164 kBT
2qusB_M209.pdb     -263.704343 kBT
2qusB_M300.pdb     -249.384415 kBT
2qusB_M172.pdb     -263.229370 kBT
2qusB_M246.pdb     -258.609457 kBT
2qusB_M447.pdb     -244.624432 kBT
2qusB_M245.pdb     -244.288674 kBT
2qusB_M342.pdb     -247.484411 kBT
2qusB_M449.pdb     -236.797928 kBT
2qusB_M60.pdb     -249.853998 kBT
2qusB_M78.pdb     -260.895031 kBT
2qusB_M146.pdb     -243.475985 kBT
2qusB_M132.pdb     -261.359018 kBT
2qusB_M325.pdb     -269.178715 kBT
2qusB_M382.pdb     -248.708284 kBT
2qusB_M230.pdb     -252.284758 kBT
2qusB_M321.pdb     -249.919219 kBT
2qusB_M455.pdb     -261.425526 kBT
2qusB_M346.pdb     -249.318141 kBT
2qusB_M62.pdb     -278.005808 kBT
2qusB_M240.pdb     -250.629268 kBT
2qusB_M155.pdb     -259.253831 kBT
2qusB_M435.pdb     -245.172730 kBT
2qusB_M54.pdb     -290.419067 kBT
2qusB_M276.pdb     -239.800050 kBT
2qusB_M107.pdb     -255.012674 kBT
2qusB_M92.pdb     -266.130368 kBT
2qusB_M392.pdb     -264.777125 kBT
2qusB_M120.pdb     -269.181414 kBT
2qusB_M188.pdb     -247.392829 kBT
2qusB_M205.pdb     -242.229443 kBT
2qusB_M124.pdb     -270.090573 kBT
2qusB_M186.pdb     -256.787271 kBT
2qusB_M202.pdb     -266.557516 kBT
2qusB_M429.pdb     -257.929876 kBT
2qusB_M183.pdb     -262.929834 kBT
2qusB_M334.pdb     -247.638776 kBT
2qusB_M458.pdb     -241.783757 kBT
2qusB_M337.pdb     -234.420769 kBT
2qusB_M464.pdb     -246.444534 kBT
2qusB_M17.pdb     -302.246150 kBT
2qusB_M74.pdb     -264.688730 kBT
2qusB_M262.pdb     -264.893403 kBT
2qusB_M272.pdb     -251.681102 kBT
2qusB_M19.pdb     -305.136244 kBT
2qusB_M141.pdb     -253.546936 kBT
2qusB_M225.pdb     -248.713914 kBT
2qusB_M38.pdb     -286.995199 kBT
2qusB_M61.pdb     -283.559000 kBT
2qusB_M79.pdb     -268.467385 kBT
2qusB_M309.pdb     -257.584298 kBT
2qusB_M318.pdb     -248.338508 kBT
2qusB_M232.pdb     -258.289617 kBT
2qusB_M312.pdb     -248.865523 kBT
2qusB_M357.pdb     -249.254169 kBT
2qusB_M440.pdb     -232.587105 kBT
2qusB_M441.pdb     -248.145170 kBT
2qusB_M254.pdb     -243.543813 kBT
2qusB_M497.pdb     -230.813485 kBT
2qusB_M156.pdb     -279.844995 kBT
2qusB_M133.pdb     -264.255001 kBT
2qusB_M273.pdb     -257.834477 kBT
2qusB_M96.pdb     -258.755421 kBT
2qusB_M64.pdb     -280.541061 kBT
2qusB_M215.pdb     -259.428943 kBT
2qusB_M210.pdb     -250.971132 kBT
2qusB_M31.pdb     -288.763930 kBT
2qusB_M233.pdb     -248.097534 kBT
2qusB_M137.pdb     -260.607328 kBT
2qusB_M427.pdb     -257.435870 kBT
2qusB_M293.pdb     -234.886920 kBT
2qusB_M97.pdb     -273.902283 kBT
2qusB_M167.pdb     -262.153848 kBT
2qusB_M72.pdb     -272.435792 kBT
2qusB_M244.pdb     -262.432566 kBT
2qusB_M52.pdb     -276.460105 kBT
2qusB_M407.pdb     -252.128816 kBT
2qusB_M69.pdb     -280.094481 kBT
2qusB_M341.pdb     -250.622139 kBT
2qusB_M140.pdb     -260.708230 kBT
2qusB_M118.pdb     -268.445293 kBT
2qusB_M381.pdb     -239.406132 kBT
2qusB_M253.pdb     -267.868957 kBT
2qusB_M51.pdb     -283.724150 kBT
2qusB_M36.pdb     -281.126339 kBT
2qusB_M367.pdb     -257.665573 kBT
2qusB_M135.pdb     -255.345070 kBT
2qusB_M255.pdb     -245.462367 kBT
2qusB_M350.pdb     -271.953789 kBT
2qusB_M294.pdb     -249.140909 kBT
2qusB_M153.pdb     -259.240470 kBT
2qusB_M285.pdb     -253.171858 kBT
2qusB_M439.pdb     -241.719273 kBT
2qusB_M53.pdb     -274.982246 kBT
2qusB_M123.pdb     -258.941353 kBT
2qusB_M235.pdb     -266.170413 kBT
2qusB_M50.pdb     -281.845589 kBT
2qusB_M94.pdb     -255.578029 kBT
2qusB_M176.pdb     -275.985170 kBT
2qusB_M419.pdb     -222.186635 kBT
2qusB_M206.pdb     -247.713729 kBT
2qusB_M138.pdb     -257.761843 kBT
2qusB_M393.pdb     -258.510911 kBT
2qusB_M291.pdb     -262.545866 kBT
2qusB_M290.pdb     -276.210374 kBT
2qusB_M34.pdb     -282.319107 kBT
2qusB_M248.pdb     -269.593058 kBT
2qusB_M397.pdb     -261.810012 kBT
2qusB_M258.pdb     -254.942521 kBT
2qusB_M251.pdb     -258.083860 kBT
2qusB_M93.pdb     -263.147132 kBT
2qusB_M327.pdb     -267.644531 kBT
2qusB_M30.pdb     -274.138688 kBT
2qusB_M171.pdb     -259.149535 kBT
2qusB_M201.pdb     -251.877251 kBT
2qusB_M126.pdb     -275.413717 kBT
2qusB_M13.pdb     -302.043084 kBT
2qusB_M336.pdb     -243.694317 kBT
2qusB_M151.pdb     -265.616724 kBT
2qusB_M239.pdb     -258.871926 kBT
2qusB_M420.pdb     -260.292258 kBT
2qusB_M431.pdb     -258.568920 kBT
2qusB_M25.pdb     -272.616114 kBT
2qusB_M136.pdb     -268.306932 kBT
2qusB_M368.pdb     -249.052194 kBT
2qusB_M227.pdb     -251.187242 kBT
2qusB_M237.pdb     -246.590670 kBT
2qusB_M131.pdb     -271.878671 kBT
2qusB_M269.pdb     -245.233776 kBT
2qusB_M395.pdb     -244.464479 kBT
2qusB_M213.pdb     -269.475368 kBT
2qusB_M391.pdb     -237.789986 kBT
2qusB_M445.pdb     -233.687880 kBT
2qusB_M70.pdb     -282.903927 kBT
2qusB_M323.pdb     -267.559952 kBT
2qusB_M179.pdb     -233.941521 kBT
2qusB_M2.pdb     -306.654717 kBT
2qusB_M247.pdb     -269.232313 kBT
2qusB_M362.pdb     -255.049439 kBT
2qusB_M416.pdb     -254.751076 kBT
2qusB_M175.pdb     -261.202426 kBT
2qusB_M409.pdb     -256.057564 kBT
2qusB_M482.pdb     -259.339782 kBT
