1mzpB_M396.pdb     -217.403205 kBT
1mzpB_M460.pdb     -230.592671 kBT
1mzpB_M237.pdb     -227.956007 kBT
1mzpB_M372.pdb     -210.218329 kBT
1mzpB_M224.pdb     -221.858854 kBT
1mzpB_M57.pdb     -226.632678 kBT
1mzpB_M395.pdb     -194.141098 kBT
1mzpB_M11.pdb     -247.764400 kBT
1mzpB_M266.pdb     -220.146424 kBT
1mzpB_M299.pdb     -212.806161 kBT
1mzpB_M429.pdb     -216.809828 kBT
1mzpB_M373.pdb     -221.967726 kBT
1mzpB_M250.pdb     -225.569610 kBT
1mzpB_M324.pdb     -219.683229 kBT
1mzpB_M371.pdb     -216.292707 kBT
1mzpB_M454.pdb     -197.345534 kBT
1mzpB_M283.pdb     -219.484787 kBT
1mzpB_M409.pdb     -223.429828 kBT
1mzpB_M86.pdb     -214.541582 kBT
1mzpB_M408.pdb     -210.466792 kBT
1mzpB_M354.pdb     -216.959026 kBT
1mzpB_M309.pdb     -222.678831 kBT
1mzpB_M93.pdb     -227.722265 kBT
1mzpB_M486.pdb     -200.769750 kBT
1mzpB_M369.pdb     -216.373957 kBT
1mzpB_M286.pdb     -226.972958 kBT
1mzpB_M414.pdb     -199.827383 kBT
1mzpB_M463.pdb     -206.274538 kBT
1mzpB_M350.pdb     -212.072274 kBT
1mzpB_M376.pdb     -214.007866 kBT
1mzpB_M112.pdb     -213.778879 kBT
1mzpB_M267.pdb     -218.059328 kBT
1mzpB_M275.pdb     -211.851183 kBT
1mzpB_M142.pdb     -222.931968 kBT
1mzpB_M56.pdb     -235.397657 kBT
1mzpB_M274.pdb     -212.967960 kBT
1mzpB_M493.pdb     -206.719301 kBT
1mzpB_M474.pdb     -218.037890 kBT
1mzpB_M393.pdb     -210.231890 kBT
1mzpB_M404.pdb     -216.512742 kBT
1mzpB_M60.pdb     -228.219545 kBT
1mzpB_M374.pdb     -210.326008 kBT
1mzpB_M101.pdb     -238.932254 kBT
1mzpB_M58.pdb     -234.173501 kBT
1mzpB_M65.pdb     -229.548480 kBT
1mzpB_M253.pdb     -208.638759 kBT
1mzpB_M118.pdb     -234.604890 kBT
1mzpB_M144.pdb     -243.014149 kBT
1mzpB_M119.pdb     -218.367375 kBT
1mzpB_M461.pdb     -189.467669 kBT
1mzpB_M182.pdb     -221.884344 kBT
1mzpB_M191.pdb     -225.478467 kBT
1mzpB_M129.pdb     -227.817446 kBT
1mzpB_M84.pdb     -224.831322 kBT
1mzpB_M249.pdb     -208.482445 kBT
1mzpB_M353.pdb     -214.667140 kBT
1mzpB_M244.pdb     -225.939531 kBT
1mzpB_M151.pdb     -247.728364 kBT
1mzpB_M282.pdb     -217.558622 kBT
1mzpB_M370.pdb     -217.319101 kBT
1mzpB_M148.pdb     -204.645489 kBT
1mzpB_M427.pdb     -219.886690 kBT
1mzpB_M325.pdb     -237.873309 kBT
1mzpB_M322.pdb     -229.608893 kBT
1mzpB_M220.pdb     -215.260292 kBT
1mzpB_M494.pdb     -231.359043 kBT
1mzpB_M479.pdb     -225.357966 kBT
1mzpB_M201.pdb     -210.860391 kBT
1mzpB_M491.pdb     -217.236846 kBT
1mzpB_M446.pdb     -209.849370 kBT
1mzpB_M377.pdb     -208.389710 kBT
1mzpB_M176.pdb     -218.366456 kBT
1mzpB_M271.pdb     -215.856381 kBT
1mzpB_M213.pdb     -203.267511 kBT
1mzpB_M403.pdb     -223.609472 kBT
1mzpB_M18.pdb     -241.994440 kBT
1mzpB_M169.pdb     -229.348744 kBT
1mzpB_M88.pdb     -227.083331 kBT
1mzpB_M389.pdb     -191.996008 kBT
1mzpB_M358.pdb     -209.496194 kBT
1mzpB_M285.pdb     -205.659141 kBT
1mzpB_M435.pdb     -221.963896 kBT
1mzpB_M173.pdb     -217.890739 kBT
1mzpB_M329.pdb     -224.131773 kBT
1mzpB_M195.pdb     -227.898872 kBT
1mzpB_M423.pdb     -228.145442 kBT
1mzpB_M180.pdb     -216.831896 kBT
1mzpB_M465.pdb     -229.335328 kBT
1mzpB_M252.pdb     -228.215809 kBT
1mzpB_M206.pdb     -233.571626 kBT
1mzpB_M319.pdb     -214.540738 kBT
1mzpB_M96.pdb     -207.184134 kBT
1mzpB_M43.pdb     -239.358771 kBT
1mzpB_M21.pdb     -250.751960 kBT
1mzpB_M351.pdb     -211.691504 kBT
1mzpB_M164.pdb     -212.587941 kBT
1mzpB_M349.pdb     -203.231867 kBT
1mzpB_M482.pdb     -233.034842 kBT
1mzpB_M242.pdb     -210.185252 kBT
1mzpB_M485.pdb     -217.059215 kBT
1mzpB_M215.pdb     -206.920212 kBT
1mzpB_M317.pdb     -210.192735 kBT
1mzpB_M362.pdb     -203.480527 kBT
1mzpB_M149.pdb     -224.247090 kBT
1mzpB_M190.pdb     -224.160354 kBT
1mzpB_M484.pdb     -211.573407 kBT
1mzpB_M313.pdb     -222.988863 kBT
1mzpB_M114.pdb     -225.191726 kBT
1mzpB_M480.pdb     -199.659932 kBT
1mzpB_M311.pdb     -222.323574 kBT
1mzpB_M92.pdb     -215.281884 kBT
1mzpB_M328.pdb     -221.467643 kBT
1mzpB_M298.pdb     -203.758954 kBT
1mzpB_M94.pdb     -214.639514 kBT
1mzpB_M44.pdb     -240.630691 kBT
1mzpB_M471.pdb     -206.298826 kBT
1mzpB_M487.pdb     -229.034955 kBT
1mzpB_M126.pdb     -205.313719 kBT
1mzpB_M150.pdb     -218.685739 kBT
1mzpB_M499.pdb     -220.258327 kBT
1mzpB_M4.pdb     -249.767388 kBT
1mzpB_M390.pdb     -229.527885 kBT
1mzpB_M127.pdb     -213.078571 kBT
1mzpB_M251.pdb     -226.274566 kBT
1mzpB_M196.pdb     -236.939106 kBT
1mzpB_M52.pdb     -233.048432 kBT
1mzpB_M187.pdb     -212.670756 kBT
1mzpB_M36.pdb     -239.920658 kBT
1mzpB_M381.pdb     -218.778937 kBT
1mzpB_M418.pdb     -229.033200 kBT
1mzpB_M53.pdb     -227.601246 kBT
1mzpB_M29.pdb     -231.362765 kBT
1mzpB_M14.pdb     -243.780207 kBT
1mzpB_M134.pdb     -233.592149 kBT
1mzpB_M158.pdb     -223.473054 kBT
1mzpB_M412.pdb     -216.053877 kBT
1mzpB_M420.pdb     -222.411164 kBT
1mzpB_M147.pdb     -230.051273 kBT
1mzpB_M470.pdb     -213.481547 kBT
1mzpB_M121.pdb     -208.840942 kBT
1mzpB_M78.pdb     -236.017751 kBT
1mzpB_M291.pdb     -207.707052 kBT
1mzpB_M438.pdb     -224.944985 kBT
1mzpB_M6.pdb     -249.503501 kBT
1mzpB_M55.pdb     -227.652973 kBT
1mzpB_M331.pdb     -217.205687 kBT
1mzpB_M124.pdb     -217.164833 kBT
1mzpB_M48.pdb     -232.100613 kBT
1mzpB_M276.pdb     -226.604676 kBT
1mzpB_M42.pdb     -229.207542 kBT
1mzpB_M248.pdb     -207.613779 kBT
1mzpB_M212.pdb     -230.287148 kBT
1mzpB_M436.pdb     -228.056298 kBT
1mzpB_M272.pdb     -234.703990 kBT
1mzpB_M363.pdb     -222.456354 kBT
1mzpB_M442.pdb     -200.748993 kBT
1mzpB_M448.pdb     -217.887215 kBT
1mzpB_M122.pdb     -230.112195 kBT
1mzpB_M347.pdb     -216.189591 kBT
1mzpB_M104.pdb     -220.466136 kBT
1mzpB_M450.pdb     -210.768599 kBT
1mzpB_M459.pdb     -210.908885 kBT
1mzpB_M185.pdb     -224.758245 kBT
1mzpB_M280.pdb     -221.641133 kBT
1mzpB_M209.pdb     -225.514380 kBT
1mzpB_M234.pdb     -217.317740 kBT
1mzpB_M355.pdb     -206.687350 kBT
1mzpB_M40.pdb     -246.892834 kBT
1mzpB_M481.pdb     -215.913820 kBT
1mzpB_M193.pdb     -230.422513 kBT
1mzpB_M156.pdb     -230.396244 kBT
1mzpB_M51.pdb     -247.695246 kBT
1mzpB_M292.pdb     -224.942073 kBT
1mzpB_M8.pdb     -245.766604 kBT
1mzpB_M343.pdb     -219.719113 kBT
1mzpB_M307.pdb     -242.024238 kBT
1mzpB_M472.pdb     -206.257260 kBT
1mzpB_M170.pdb     -224.965935 kBT
1mzpB_M346.pdb     -194.928481 kBT
1mzpB_M337.pdb     -198.485570 kBT
1mzpB_M7.pdb     -249.730525 kBT
1mzpB_M405.pdb     -212.241189 kBT
1mzpB_M394.pdb     -234.948733 kBT
1mzpB_M261.pdb     -209.054700 kBT
1mzpB_M326.pdb     -215.945275 kBT
1mzpB_M132.pdb     -215.521123 kBT
1mzpB_M37.pdb     -249.080142 kBT
1mzpB_M157.pdb     -230.379387 kBT
1mzpB_M123.pdb     -212.682470 kBT
1mzpB_M205.pdb     -212.306429 kBT
1mzpB_M80.pdb     -207.517273 kBT
1mzpB_M430.pdb     -217.155137 kBT
1mzpB_M189.pdb     -226.666508 kBT
1mzpB_M106.pdb     -227.025077 kBT
1mzpB_M222.pdb     -238.308265 kBT
1mzpB_M468.pdb     -207.118188 kBT
1mzpB_M179.pdb     -231.305655 kBT
1mzpB_M297.pdb     -217.915158 kBT
1mzpB_M236.pdb     -219.551181 kBT
1mzpB_M455.pdb     -229.738567 kBT
1mzpB_M312.pdb     -222.318239 kBT
1mzpB_M304.pdb     -211.377195 kBT
1mzpB_M419.pdb     -212.345914 kBT
1mzpB_M68.pdb     -230.742183 kBT
1mzpB_M235.pdb     -220.471996 kBT
1mzpB_M25.pdb     -248.636888 kBT
1mzpB_M143.pdb     -214.348706 kBT
1mzpB_M207.pdb     -222.879348 kBT
1mzpB_M497.pdb     -187.773799 kBT
1mzpB_M305.pdb     -219.256841 kBT
1mzpB_M453.pdb     -204.851149 kBT
1mzpB_M63.pdb     -223.738314 kBT
1mzpB_M38.pdb     -232.449123 kBT
1mzpB_M81.pdb     -243.071521 kBT
1mzpB_M456.pdb     -214.510472 kBT
1mzpB_M367.pdb     -205.914368 kBT
1mzpB_M199.pdb     -222.437354 kBT
1mzpB_M46.pdb     -231.925972 kBT
1mzpB_M302.pdb     -206.885482 kBT
1mzpB_M183.pdb     -237.820027 kBT
1mzpB_M424.pdb     -238.208315 kBT
1mzpB_M75.pdb     -246.402745 kBT
1mzpB_M181.pdb     -235.122296 kBT
1mzpB_M270.pdb     -238.683715 kBT
1mzpB_M120.pdb     -219.283767 kBT
1mzpB_M229.pdb     -203.889470 kBT
1mzpB_M243.pdb     -208.210356 kBT
1mzpB_M345.pdb     -206.550542 kBT
1mzpB_M204.pdb     -207.725952 kBT
1mzpB_M136.pdb     -224.854467 kBT
1mzpB_M107.pdb     -224.537101 kBT
1mzpB_M228.pdb     -220.805577 kBT
1mzpB_M415.pdb     -226.323506 kBT
1mzpB_M49.pdb     -224.863817 kBT
1mzpB_M434.pdb     -201.949851 kBT
1mzpB_M91.pdb     -212.754066 kBT
1mzpB_M111.pdb     -215.568888 kBT
1mzpB_M41.pdb     -222.442774 kBT
1mzpB_M388.pdb     -220.727684 kBT
1mzpB_M135.pdb     -220.644954 kBT
1mzpB_M380.pdb     -221.013151 kBT
1mzpB_M154.pdb     -238.468526 kBT
1mzpB_M131.pdb     -225.846856 kBT
1mzpB_M73.pdb     -237.400607 kBT
1mzpB_M31.pdb     -246.229260 kBT
1mzpB_M320.pdb     -213.997058 kBT
1mzpB_M303.pdb     -216.417622 kBT
1mzpB_M97.pdb     -229.971131 kBT
1mzpB_M295.pdb     -213.000480 kBT
1mzpB_M35.pdb     -231.855922 kBT
1mzpB_M314.pdb     -220.914155 kBT
1mzpB_M437.pdb     -221.867068 kBT
1mzpB_M219.pdb     -224.820517 kBT
1mzpB_M198.pdb     -206.994108 kBT
1mzpB_M498.pdb     -209.643450 kBT
1mzpB_M208.pdb     -221.416518 kBT
1mzpB_M441.pdb     -194.559033 kBT
1mzpB_M218.pdb     -233.995190 kBT
1mzpB_M406.pdb     -222.548286 kBT
1mzpB_M257.pdb     -239.295467 kBT
1mzpB_M15.pdb     -247.886294 kBT
1mzpB_M500.pdb     -203.969741 kBT
1mzpB_M410.pdb     -228.137514 kBT
1mzpB_M360.pdb     -194.724205 kBT
1mzpB_M384.pdb     -206.713688 kBT
1mzpB_M22.pdb     -249.593750 kBT
1mzpB_M398.pdb     -235.254191 kBT
1mzpB_M105.pdb     -232.089642 kBT
1mzpB_M116.pdb     -218.865756 kBT
1mzpB_M160.pdb     -230.125980 kBT
1mzpB_M476.pdb     -218.569445 kBT
1mzpB_M284.pdb     -206.211412 kBT
1mzpB_M32.pdb     -246.725755 kBT
1mzpB_M95.pdb     -225.935798 kBT
1mzpB_M239.pdb     -233.277353 kBT
1mzpB_M265.pdb     -199.954098 kBT
1mzpB_M66.pdb     -214.858032 kBT
1mzpB_M225.pdb     -238.092581 kBT
1mzpB_M27.pdb     -235.259768 kBT
1mzpB_M383.pdb     -214.282349 kBT
1mzpB_M33.pdb     -236.508586 kBT
1mzpB_M260.pdb     -235.931572 kBT
1mzpB_M336.pdb     -196.880271 kBT
1mzpB_M26.pdb     -240.867313 kBT
1mzpB_M488.pdb     -210.104838 kBT
1mzpB_M85.pdb     -214.557909 kBT
1mzpB_M385.pdb     -203.823735 kBT
1mzpB_M245.pdb     -210.917712 kBT
1mzpB_M230.pdb     -213.951574 kBT
1mzpB_M489.pdb     -221.091443 kBT
1mzpB_M227.pdb     -208.982127 kBT
1mzpB_M47.pdb     -222.443853 kBT
1mzpB_M258.pdb     -216.419310 kBT
1mzpB_M159.pdb     -219.539132 kBT
1mzpB_M452.pdb     -212.903949 kBT
1mzpB_M99.pdb     -221.083190 kBT
1mzpB_M238.pdb     -224.333146 kBT
1mzpB_M128.pdb     -236.640060 kBT
1mzpB_M464.pdb     -198.718262 kBT
1mzpB_M321.pdb     -212.985441 kBT
1mzpB_M102.pdb     -227.757011 kBT
1mzpB_M490.pdb     -216.499443 kBT
1mzpB_M177.pdb     -230.509385 kBT
1mzpB_M83.pdb     -224.413355 kBT
1mzpB_M163.pdb     -193.225689 kBT
1mzpB_M308.pdb     -219.753162 kBT
1mzpB_M23.pdb     -230.465206 kBT
1mzpB_M9.pdb     -252.623143 kBT
1mzpB_M89.pdb     -233.224305 kBT
1mzpB_M2.pdb     -252.039601 kBT
1mzpB_M439.pdb     -220.593906 kBT
1mzpB_M323.pdb     -209.516519 kBT
1mzpB_M262.pdb     -212.282860 kBT
1mzpB_M28.pdb     -254.477623 kBT
1mzpB_M339.pdb     -210.220909 kBT
1mzpB_M17.pdb     -249.075264 kBT
1mzpB_M348.pdb     -234.990140 kBT
1mzpB_M174.pdb     -223.192405 kBT
1mzpB_M130.pdb     -221.455723 kBT
1mzpB_M3.pdb     -246.914607 kBT
1mzpB_M153.pdb     -220.399362 kBT
1mzpB_M411.pdb     -221.355748 kBT
1mzpB_M223.pdb     -195.083652 kBT
1mzpB_M117.pdb     -233.536007 kBT
1mzpB_M356.pdb     -227.965046 kBT
1mzpB_M192.pdb     -223.017251 kBT
1mzpB_M67.pdb     -227.558695 kBT
1mzpB_M359.pdb     -219.345017 kBT
1mzpB_M211.pdb     -204.148678 kBT
1mzpB_M76.pdb     -222.345724 kBT
1mzpB_M20.pdb     -240.718914 kBT
1mzpB_M155.pdb     -219.300095 kBT
1mzpB_M281.pdb     -238.811950 kBT
1mzpB_M45.pdb     -223.254932 kBT
1mzpB_M186.pdb     -226.856609 kBT
1mzpB_M210.pdb     -213.580553 kBT
1mzpB_M492.pdb     -220.333757 kBT
1mzpB_M449.pdb     -211.437492 kBT
1mzpB_M365.pdb     -225.444966 kBT
1mzpB_M165.pdb     -225.159549 kBT
1mzpB_M368.pdb     -222.299845 kBT
1mzpB_M432.pdb     -225.410246 kBT
1mzpB_M440.pdb     -231.173128 kBT
1mzpB_M387.pdb     -214.617261 kBT
1mzpB_M59.pdb     -241.423874 kBT
1mzpB_M197.pdb     -217.918749 kBT
1mzpB_M467.pdb     -209.169959 kBT
1mzpB_M364.pdb     -210.400143 kBT
1mzpB_M327.pdb     -227.824400 kBT
1mzpB_M399.pdb     -215.601570 kBT
1mzpB_M161.pdb     -219.725221 kBT
1mzpB_M287.pdb     -205.410444 kBT
1mzpB_M379.pdb     -207.828189 kBT
1mzpB_M344.pdb     -207.314133 kBT
1mzpB_M255.pdb     -209.226540 kBT
1mzpB_M221.pdb     -211.947969 kBT
1mzpB_M451.pdb     -196.940771 kBT
1mzpB_M341.pdb     -221.541140 kBT
1mzpB_M357.pdb     -209.356569 kBT
1mzpB_M466.pdb     -225.304412 kBT
1mzpB_M188.pdb     -225.811579 kBT
1mzpB_M194.pdb     -216.383874 kBT
1mzpB_M496.pdb     -223.093260 kBT
1mzpB_M397.pdb     -218.917416 kBT
1mzpB_M172.pdb     -217.827866 kBT
1mzpB_M259.pdb     -211.046257 kBT
1mzpB_M469.pdb     -210.374134 kBT
1mzpB_M477.pdb     -230.208955 kBT
1mzpB_M318.pdb     -235.876610 kBT
1mzpB_M113.pdb     -212.967275 kBT
1mzpB_M79.pdb     -239.494001 kBT
1mzpB_M289.pdb     -213.302586 kBT
1mzpB_M361.pdb     -217.207918 kBT
1mzpB_M294.pdb     -221.002187 kBT
1mzpB_M54.pdb     -245.435598 kBT
1mzpB_M247.pdb     -230.353590 kBT
1mzpB_M277.pdb     -210.998270 kBT
1mzpB_M382.pdb     -206.939509 kBT
1mzpB_M428.pdb     -222.570279 kBT
1mzpB_M71.pdb     -216.571197 kBT
1mzpB_M203.pdb     -224.551490 kBT
1mzpB_M254.pdb     -217.108554 kBT
1mzpB_M417.pdb     -212.491996 kBT
1mzpB_M13.pdb     -238.630988 kBT
1mzpB_M178.pdb     -235.391179 kBT
1mzpB_M386.pdb     -209.428802 kBT
1mzpB_M39.pdb     -228.790355 kBT
1mzpB_M167.pdb     -219.425144 kBT
1mzpB_M69.pdb     -230.263820 kBT
1mzpB_M431.pdb     -238.371692 kBT
1mzpB_M146.pdb     -208.070293 kBT
1mzpB_M87.pdb     -239.324183 kBT
1mzpB_M34.pdb     -223.963967 kBT
1mzpB_M391.pdb     -201.885425 kBT
1mzpB_M422.pdb     -235.793596 kBT
1mzpB_M278.pdb     -210.945189 kBT
1mzpB_M152.pdb     -216.706456 kBT
1mzpB_M273.pdb     -232.276097 kBT
1mzpB_M400.pdb     -213.199748 kBT
1mzpB_M202.pdb     -219.209785 kBT
1mzpB_M256.pdb     -214.467234 kBT
1mzpB_M77.pdb     -229.239024 kBT
1mzpB_M413.pdb     -217.038478 kBT
1mzpB_M392.pdb     -207.701766 kBT
1mzpB_M401.pdb     -219.181412 kBT
1mzpB_M352.pdb     -205.659537 kBT
1mzpB_M98.pdb     -233.526417 kBT
1mzpB_M296.pdb     -222.034075 kBT
1mzpB_M264.pdb     -206.834334 kBT
1mzpB_M162.pdb     -232.376278 kBT
1mzpB_M293.pdb     -195.193094 kBT
1mzpB_M366.pdb     -195.387125 kBT
1mzpB_M315.pdb     -211.344902 kBT
1mzpB_M50.pdb     -230.991681 kBT
1mzpB_M378.pdb     -199.380777 kBT
1mzpB_M268.pdb     -203.656581 kBT
1mzpB_M290.pdb     -219.381093 kBT
1mzpB_M462.pdb     -209.746269 kBT
1mzpB_M233.pdb     -216.805841 kBT
1mzpB_M108.pdb     -235.081446 kBT
1mzpB_M495.pdb     -199.505796 kBT
1mzpB_M402.pdb     -219.074914 kBT
1mzpB_M200.pdb     -238.515190 kBT
1mzpB_M217.pdb     -217.510883 kBT
1mzpB_M1.pdb     -251.950354 kBT
1mzpB_M342.pdb     -222.743795 kBT
1mzpB_M138.pdb     -232.291643 kBT
1mzpB_M316.pdb     -207.622234 kBT
1mzpB_M74.pdb     -216.706283 kBT
1mzpB_M425.pdb     -201.245681 kBT
1mzpB_M279.pdb     -239.595034 kBT
1mzpB_M24.pdb     -242.467131 kBT
1mzpB_M216.pdb     -217.485314 kBT
1mzpB_M100.pdb     -223.074803 kBT
1mzpB_M421.pdb     -220.682688 kBT
1mzpB_M306.pdb     -220.783157 kBT
1mzpB_M232.pdb     -218.916425 kBT
1mzpB_M269.pdb     -222.392358 kBT
1mzpB_M70.pdb     -236.389332 kBT
1mzpB_M335.pdb     -224.969534 kBT
1mzpB_M246.pdb     -212.792194 kBT
1mzpB_M10.pdb     -248.540338 kBT
1mzpB_M141.pdb     -237.688851 kBT
1mzpB_M64.pdb     -231.903727 kBT
1mzpB_M475.pdb     -214.662411 kBT
1mzpB_M445.pdb     -208.458247 kBT
1mzpB_M457.pdb     -209.134790 kBT
