1kxkA_M221.pdb     -283.850783 kBT
1kxkA_M355.pdb     -251.655874 kBT
1kxkA_M157.pdb     -271.773921 kBT
1kxkA_M108.pdb     -271.312339 kBT
1kxkA_M342.pdb     -249.158173 kBT
1kxkA_M8.pdb     -298.934665 kBT
1kxkA_M305.pdb     -240.037380 kBT
1kxkA_M470.pdb     -265.734624 kBT
1kxkA_M178.pdb     -266.939624 kBT
1kxkA_M152.pdb     -253.073750 kBT
1kxkA_M77.pdb     -287.635401 kBT
1kxkA_M448.pdb     -251.638077 kBT
1kxkA_M90.pdb     -260.448476 kBT
1kxkA_M273.pdb     -254.581374 kBT
1kxkA_M26.pdb     -283.830853 kBT
1kxkA_M296.pdb     -255.445140 kBT
1kxkA_M84.pdb     -257.273589 kBT
1kxkA_M133.pdb     -293.447237 kBT
1kxkA_M333.pdb     -232.769419 kBT
1kxkA_M11.pdb     -307.198448 kBT
1kxkA_M227.pdb     -253.915604 kBT
1kxkA_M299.pdb     -260.605979 kBT
1kxkA_M233.pdb     -286.059318 kBT
1kxkA_M351.pdb     -232.268131 kBT
1kxkA_M454.pdb     -227.756245 kBT
1kxkA_M456.pdb     -252.821244 kBT
1kxkA_M170.pdb     -262.669585 kBT
1kxkA_M478.pdb     -237.248972 kBT
1kxkA_M210.pdb     -264.823467 kBT
1kxkA_M321.pdb     -268.469716 kBT
1kxkA_M64.pdb     -286.635586 kBT
1kxkA_M206.pdb     -252.119463 kBT
1kxkA_M302.pdb     -252.705145 kBT
1kxkA_M386.pdb     -238.368454 kBT
1kxkA_M128.pdb     -265.628536 kBT
1kxkA_M311.pdb     -267.993577 kBT
1kxkA_M314.pdb     -260.090277 kBT
1kxkA_M21.pdb     -304.810130 kBT
1kxkA_M379.pdb     -233.297717 kBT
1kxkA_M444.pdb     -254.493954 kBT
1kxkA_M216.pdb     -259.981015 kBT
1kxkA_M346.pdb     -260.012214 kBT
1kxkA_M410.pdb     -242.831856 kBT
1kxkA_M394.pdb     -253.236995 kBT
1kxkA_M287.pdb     -251.837657 kBT
1kxkA_M217.pdb     -271.490777 kBT
1kxkA_M53.pdb     -259.099020 kBT
1kxkA_M330.pdb     -243.738226 kBT
1kxkA_M68.pdb     -264.898943 kBT
1kxkA_M415.pdb     -249.123510 kBT
1kxkA_M405.pdb     -259.544056 kBT
1kxkA_M66.pdb     -270.667466 kBT
1kxkA_M111.pdb     -266.841403 kBT
1kxkA_M181.pdb     -269.745275 kBT
1kxkA_M371.pdb     -265.956013 kBT
1kxkA_M354.pdb     -230.680374 kBT
1kxkA_M380.pdb     -252.791149 kBT
1kxkA_M248.pdb     -237.421835 kBT
1kxkA_M320.pdb     -264.686704 kBT
1kxkA_M347.pdb     -248.593482 kBT
1kxkA_M473.pdb     -260.469957 kBT
1kxkA_M284.pdb     -251.849602 kBT
1kxkA_M188.pdb     -248.022241 kBT
1kxkA_M268.pdb     -270.993613 kBT
1kxkA_M130.pdb     -270.300546 kBT
1kxkA_M219.pdb     -255.845123 kBT
1kxkA_M258.pdb     -242.538138 kBT
1kxkA_M49.pdb     -281.614973 kBT
1kxkA_M422.pdb     -251.851853 kBT
1kxkA_M388.pdb     -237.586855 kBT
1kxkA_M396.pdb     -211.941165 kBT
1kxkA_M319.pdb     -242.766610 kBT
1kxkA_M2.pdb     -301.793535 kBT
1kxkA_M32.pdb     -282.322309 kBT
1kxkA_M440.pdb     -231.310025 kBT
1kxkA_M498.pdb     -245.749516 kBT
1kxkA_M120.pdb     -269.861433 kBT
1kxkA_M445.pdb     -268.256584 kBT
1kxkA_M189.pdb     -256.492793 kBT
1kxkA_M44.pdb     -278.286051 kBT
1kxkA_M208.pdb     -266.811482 kBT
1kxkA_M6.pdb     -311.074795 kBT
1kxkA_M374.pdb     -266.939845 kBT
1kxkA_M196.pdb     -271.967499 kBT
1kxkA_M447.pdb     -248.226011 kBT
1kxkA_M407.pdb     -223.288627 kBT
1kxkA_M48.pdb     -261.889618 kBT
1kxkA_M132.pdb     -254.891844 kBT
1kxkA_M165.pdb     -260.649411 kBT
1kxkA_M370.pdb     -277.808885 kBT
1kxkA_M9.pdb     -310.148036 kBT
1kxkA_M432.pdb     -273.920222 kBT
1kxkA_M315.pdb     -252.914017 kBT
1kxkA_M35.pdb     -282.959241 kBT
1kxkA_M453.pdb     -230.530836 kBT
1kxkA_M390.pdb     -250.351738 kBT
1kxkA_M205.pdb     -249.037457 kBT
1kxkA_M75.pdb     -266.959643 kBT
1kxkA_M469.pdb     -240.882193 kBT
1kxkA_M150.pdb     -279.802850 kBT
1kxkA_M494.pdb     -245.951854 kBT
1kxkA_M449.pdb     -247.354175 kBT
1kxkA_M372.pdb     -248.529572 kBT
1kxkA_M429.pdb     -266.703037 kBT
1kxkA_M126.pdb     -263.166813 kBT
1kxkA_M442.pdb     -264.490217 kBT
1kxkA_M234.pdb     -245.580834 kBT
1kxkA_M86.pdb     -238.485104 kBT
1kxkA_M334.pdb     -227.181772 kBT
1kxkA_M237.pdb     -264.008514 kBT
1kxkA_M446.pdb     -227.546647 kBT
1kxkA_M54.pdb     -272.691236 kBT
1kxkA_M127.pdb     -272.264567 kBT
1kxkA_M213.pdb     -266.980819 kBT
1kxkA_M424.pdb     -256.440913 kBT
1kxkA_M414.pdb     -254.676633 kBT
1kxkA_M18.pdb     -295.993781 kBT
1kxkA_M373.pdb     -260.098777 kBT
1kxkA_M479.pdb     -253.792038 kBT
1kxkA_M337.pdb     -264.013873 kBT
1kxkA_M306.pdb     -219.906596 kBT
1kxkA_M486.pdb     -221.618924 kBT
1kxkA_M156.pdb     -258.007695 kBT
1kxkA_M137.pdb     -255.228886 kBT
1kxkA_M245.pdb     -235.703807 kBT
1kxkA_M251.pdb     -234.795825 kBT
1kxkA_M240.pdb     -255.198680 kBT
1kxkA_M185.pdb     -252.112288 kBT
1kxkA_M67.pdb     -262.619675 kBT
1kxkA_M83.pdb     -261.173845 kBT
1kxkA_M317.pdb     -263.240074 kBT
1kxkA_M180.pdb     -260.978485 kBT
1kxkA_M391.pdb     -255.618922 kBT
1kxkA_M493.pdb     -226.811485 kBT
1kxkA_M123.pdb     -253.795806 kBT
1kxkA_M282.pdb     -237.270223 kBT
1kxkA_M361.pdb     -259.171273 kBT
1kxkA_M359.pdb     -256.699915 kBT
1kxkA_M377.pdb     -256.542477 kBT
1kxkA_M89.pdb     -266.610155 kBT
1kxkA_M303.pdb     -244.242712 kBT
1kxkA_M151.pdb     -281.860307 kBT
1kxkA_M121.pdb     -284.693850 kBT
1kxkA_M345.pdb     -251.103655 kBT
1kxkA_M70.pdb     -250.622406 kBT
1kxkA_M27.pdb     -286.254230 kBT
1kxkA_M41.pdb     -275.188085 kBT
1kxkA_M487.pdb     -252.775055 kBT
1kxkA_M97.pdb     -279.968833 kBT
1kxkA_M201.pdb     -276.282052 kBT
1kxkA_M71.pdb     -268.296950 kBT
1kxkA_M81.pdb     -265.330038 kBT
1kxkA_M87.pdb     -262.931689 kBT
1kxkA_M482.pdb     -227.591547 kBT
1kxkA_M316.pdb     -241.207729 kBT
1kxkA_M369.pdb     -257.892999 kBT
1kxkA_M118.pdb     -276.591336 kBT
1kxkA_M96.pdb     -276.085287 kBT
1kxkA_M154.pdb     -247.627224 kBT
1kxkA_M360.pdb     -245.649121 kBT
1kxkA_M101.pdb     -292.611735 kBT
1kxkA_M242.pdb     -258.286325 kBT
1kxkA_M33.pdb     -300.217364 kBT
1kxkA_M324.pdb     -239.328629 kBT
1kxkA_M368.pdb     -250.360427 kBT
1kxkA_M312.pdb     -251.572923 kBT
1kxkA_M72.pdb     -281.819432 kBT
1kxkA_M336.pdb     -253.067251 kBT
1kxkA_M100.pdb     -283.999966 kBT
1kxkA_M376.pdb     -249.274619 kBT
1kxkA_M288.pdb     -260.722503 kBT
1kxkA_M428.pdb     -231.843336 kBT
1kxkA_M168.pdb     -254.373195 kBT
1kxkA_M112.pdb     -285.232739 kBT
1kxkA_M62.pdb     -270.567816 kBT
1kxkA_M460.pdb     -254.913255 kBT
1kxkA_M480.pdb     -217.262700 kBT
1kxkA_M38.pdb     -277.915315 kBT
1kxkA_M338.pdb     -252.042133 kBT
1kxkA_M292.pdb     -274.946214 kBT
1kxkA_M4.pdb     -311.871397 kBT
1kxkA_M265.pdb     -259.223215 kBT
1kxkA_M500.pdb     -241.684824 kBT
1kxkA_M408.pdb     -244.976279 kBT
1kxkA_M433.pdb     -211.384458 kBT
1kxkA_M298.pdb     -279.772567 kBT
1kxkA_M226.pdb     -259.750635 kBT
1kxkA_M341.pdb     -246.316242 kBT
1kxkA_M109.pdb     -274.299089 kBT
1kxkA_M63.pdb     -286.542223 kBT
1kxkA_M61.pdb     -266.465467 kBT
1kxkA_M124.pdb     -244.002455 kBT
1kxkA_M304.pdb     -246.063928 kBT
1kxkA_M382.pdb     -257.355795 kBT
1kxkA_M243.pdb     -242.989019 kBT
1kxkA_M461.pdb     -236.372077 kBT
1kxkA_M412.pdb     -229.339902 kBT
1kxkA_M92.pdb     -267.388841 kBT
1kxkA_M79.pdb     -279.800607 kBT
1kxkA_M335.pdb     -255.375547 kBT
1kxkA_M339.pdb     -259.178487 kBT
1kxkA_M204.pdb     -241.614965 kBT
1kxkA_M294.pdb     -243.351535 kBT
1kxkA_M232.pdb     -260.482834 kBT
1kxkA_M418.pdb     -249.153855 kBT
1kxkA_M318.pdb     -242.183850 kBT
1kxkA_M420.pdb     -242.651980 kBT
1kxkA_M20.pdb     -296.122598 kBT
1kxkA_M280.pdb     -268.361716 kBT
1kxkA_M10.pdb     -297.667686 kBT
1kxkA_M110.pdb     -274.592861 kBT
1kxkA_M439.pdb     -230.952093 kBT
1kxkA_M104.pdb     -278.841218 kBT
1kxkA_M350.pdb     -247.771547 kBT
1kxkA_M36.pdb     -269.163541 kBT
1kxkA_M384.pdb     -247.984134 kBT
1kxkA_M277.pdb     -272.944257 kBT
1kxkA_M301.pdb     -256.211209 kBT
1kxkA_M438.pdb     -229.790426 kBT
1kxkA_M397.pdb     -240.696958 kBT
1kxkA_M491.pdb     -253.058451 kBT
1kxkA_M462.pdb     -268.455388 kBT
1kxkA_M419.pdb     -245.316040 kBT
1kxkA_M254.pdb     -246.906844 kBT
1kxkA_M283.pdb     -256.651766 kBT
1kxkA_M331.pdb     -266.266000 kBT
1kxkA_M17.pdb     -301.353203 kBT
1kxkA_M238.pdb     -268.960109 kBT
1kxkA_M22.pdb     -285.193233 kBT
1kxkA_M250.pdb     -273.805698 kBT
1kxkA_M285.pdb     -243.758825 kBT
1kxkA_M149.pdb     -253.160946 kBT
1kxkA_M174.pdb     -245.220915 kBT
1kxkA_M383.pdb     -252.847110 kBT
1kxkA_M40.pdb     -289.520023 kBT
1kxkA_M182.pdb     -283.805055 kBT
1kxkA_M450.pdb     -264.653263 kBT
1kxkA_M357.pdb     -234.564125 kBT
1kxkA_M289.pdb     -238.906761 kBT
1kxkA_M131.pdb     -268.950103 kBT
1kxkA_M411.pdb     -241.688601 kBT
1kxkA_M398.pdb     -264.244285 kBT
1kxkA_M43.pdb     -273.886094 kBT
1kxkA_M332.pdb     -257.634095 kBT
1kxkA_M145.pdb     -269.857324 kBT
1kxkA_M270.pdb     -253.762478 kBT
1kxkA_M241.pdb     -257.926371 kBT
1kxkA_M95.pdb     -251.103032 kBT
1kxkA_M158.pdb     -280.464544 kBT
1kxkA_M140.pdb     -252.861577 kBT
1kxkA_M173.pdb     -264.746797 kBT
1kxkA_M60.pdb     -283.611580 kBT
1kxkA_M472.pdb     -214.789881 kBT
1kxkA_M136.pdb     -257.378144 kBT
1kxkA_M290.pdb     -250.956381 kBT
1kxkA_M207.pdb     -256.864731 kBT
1kxkA_M297.pdb     -238.787003 kBT
1kxkA_M82.pdb     -262.999165 kBT
1kxkA_M392.pdb     -236.341178 kBT
1kxkA_M326.pdb     -223.056530 kBT
1kxkA_M267.pdb     -258.060709 kBT
1kxkA_M455.pdb     -240.173283 kBT
1kxkA_M264.pdb     -261.852376 kBT
1kxkA_M484.pdb     -249.442993 kBT
1kxkA_M403.pdb     -250.362426 kBT
1kxkA_M88.pdb     -266.095109 kBT
1kxkA_M167.pdb     -281.668411 kBT
1kxkA_M436.pdb     -238.232368 kBT
1kxkA_M195.pdb     -253.921803 kBT
1kxkA_M279.pdb     -264.402564 kBT
1kxkA_M291.pdb     -272.411008 kBT
1kxkA_M328.pdb     -252.786962 kBT
1kxkA_M349.pdb     -259.586304 kBT
1kxkA_M475.pdb     -269.009916 kBT
1kxkA_M252.pdb     -237.675112 kBT
1kxkA_M161.pdb     -269.389272 kBT
1kxkA_M46.pdb     -256.775920 kBT
1kxkA_M266.pdb     -238.953958 kBT
1kxkA_M129.pdb     -276.512048 kBT
1kxkA_M451.pdb     -257.422545 kBT
1kxkA_M144.pdb     -245.411240 kBT
1kxkA_M28.pdb     -293.323176 kBT
1kxkA_M364.pdb     -251.011374 kBT
1kxkA_M190.pdb     -247.472494 kBT
1kxkA_M427.pdb     -246.394284 kBT
1kxkA_M76.pdb     -273.326025 kBT
1kxkA_M169.pdb     -260.023634 kBT
1kxkA_M99.pdb     -271.941366 kBT
1kxkA_M146.pdb     -261.612539 kBT
1kxkA_M42.pdb     -274.177232 kBT
1kxkA_M363.pdb     -251.062005 kBT
1kxkA_M496.pdb     -245.095442 kBT
1kxkA_M477.pdb     -250.223276 kBT
1kxkA_M488.pdb     -274.062112 kBT
1kxkA_M437.pdb     -260.429795 kBT
1kxkA.pdb     -306.874142 kBT
1kxkA_M490.pdb     -271.264805 kBT
1kxkA_M215.pdb     -264.112300 kBT
1kxkA_M29.pdb     -283.153268 kBT
1kxkA_M78.pdb     -282.578909 kBT
1kxkA_M3.pdb     -302.824873 kBT
1kxkA_M5.pdb     -306.045373 kBT
1kxkA_M476.pdb     -250.202466 kBT
1kxkA_M116.pdb     -270.500153 kBT
1kxkA_M309.pdb     -236.783295 kBT
1kxkA_M426.pdb     -257.646792 kBT
1kxkA_M135.pdb     -263.458865 kBT
1kxkA_M39.pdb     -276.018297 kBT
1kxkA_M365.pdb     -244.759298 kBT
1kxkA_M272.pdb     -253.303241 kBT
1kxkA_M117.pdb     -285.454203 kBT
1kxkA_M69.pdb     -275.435895 kBT
1kxkA_M214.pdb     -255.874128 kBT
1kxkA_M191.pdb     -258.548476 kBT
1kxkA_M375.pdb     -247.475193 kBT
1kxkA_M300.pdb     -265.862863 kBT
1kxkA_M481.pdb     -249.582210 kBT
1kxkA_M378.pdb     -250.995965 kBT
1kxkA_M179.pdb     -295.383567 kBT
1kxkA_M107.pdb     -277.759929 kBT
1kxkA_M466.pdb     -249.108848 kBT
1kxkA_M278.pdb     -237.840767 kBT
1kxkA_M416.pdb     -241.690545 kBT
1kxkA_M153.pdb     -284.963535 kBT
1kxkA_M257.pdb     -248.775331 kBT
1kxkA_M113.pdb     -257.248006 kBT
1kxkA_M171.pdb     -268.135411 kBT
1kxkA_M141.pdb     -269.190872 kBT
1kxkA_M166.pdb     -271.510579 kBT
1kxkA_M367.pdb     -246.599288 kBT
1kxkA_M73.pdb     -266.577627 kBT
1kxkA_M443.pdb     -252.878751 kBT
1kxkA_M55.pdb     -273.622930 kBT
1kxkA_M399.pdb     -249.564593 kBT
1kxkA_M474.pdb     -233.956206 kBT
1kxkA_M57.pdb     -268.870506 kBT
1kxkA_M263.pdb     -262.764091 kBT
1kxkA_M30.pdb     -295.507603 kBT
1kxkA_M395.pdb     -252.140895 kBT
1kxkA_M465.pdb     -243.447342 kBT
1kxkA_M14.pdb     -299.891661 kBT
1kxkA_M106.pdb     -264.349770 kBT
1kxkA_M276.pdb     -275.381771 kBT
1kxkA_M413.pdb     -240.445302 kBT
1kxkA_M223.pdb     -263.715568 kBT
1kxkA_M15.pdb     -309.266340 kBT
1kxkA_M348.pdb     -236.660310 kBT
1kxkA_M468.pdb     -246.851015 kBT
1kxkA_M393.pdb     -249.108629 kBT
1kxkA_M255.pdb     -260.532570 kBT
1kxkA_M177.pdb     -240.793607 kBT
1kxkA_M139.pdb     -252.319073 kBT
1kxkA_M142.pdb     -260.895314 kBT
1kxkA_M323.pdb     -220.938337 kBT
1kxkA_M52.pdb     -268.516410 kBT
1kxkA_M489.pdb     -243.793112 kBT
1kxkA_M163.pdb     -250.866875 kBT
1kxkA_M25.pdb     -302.681609 kBT
1kxkA_M31.pdb     -292.988833 kBT
1kxkA_M356.pdb     -260.634366 kBT
1kxkA_M176.pdb     -268.602710 kBT
1kxkA_M197.pdb     -278.020676 kBT
1kxkA_M457.pdb     -236.877835 kBT
1kxkA_M344.pdb     -265.851239 kBT
1kxkA_M430.pdb     -257.117191 kBT
1kxkA_M13.pdb     -298.506265 kBT
1kxkA_M381.pdb     -252.994703 kBT
1kxkA_M423.pdb     -247.894882 kBT
1kxkA_M162.pdb     -254.239127 kBT
1kxkA_M402.pdb     -239.705945 kBT
1kxkA_M325.pdb     -262.397637 kBT
1kxkA_M406.pdb     -248.463462 kBT
1kxkA_M249.pdb     -248.062727 kBT
1kxkA_M225.pdb     -251.627782 kBT
1kxkA_M483.pdb     -263.549105 kBT
1kxkA_M155.pdb     -290.786986 kBT
1kxkA_M74.pdb     -273.776238 kBT
1kxkA_M260.pdb     -255.946886 kBT
1kxkA_M401.pdb     -264.953764 kBT
1kxkA_M492.pdb     -243.708958 kBT
1kxkA_M212.pdb     -251.337537 kBT
1kxkA_M114.pdb     -273.602299 kBT
1kxkA_M203.pdb     -249.406300 kBT
1kxkA_M458.pdb     -228.341358 kBT
1kxkA_M224.pdb     -259.526173 kBT
1kxkA_M286.pdb     -257.566870 kBT
1kxkA_M435.pdb     -254.496001 kBT
1kxkA_M262.pdb     -272.452994 kBT
1kxkA_M80.pdb     -285.239420 kBT
1kxkA_M404.pdb     -210.327768 kBT
1kxkA_M471.pdb     -253.905402 kBT
1kxkA_M310.pdb     -257.743105 kBT
1kxkA_M172.pdb     -276.155685 kBT
1kxkA_M160.pdb     -279.237223 kBT
1kxkA_M495.pdb     -237.685071 kBT
1kxkA_M198.pdb     -241.282004 kBT
1kxkA_M102.pdb     -270.948021 kBT
1kxkA_M274.pdb     -245.526802 kBT
1kxkA_M293.pdb     -237.459839 kBT
1kxkA_M230.pdb     -263.105279 kBT
1kxkA_M464.pdb     -233.754750 kBT
1kxkA_M313.pdb     -258.370378 kBT
1kxkA_M125.pdb     -278.653142 kBT
1kxkA_M24.pdb     -298.421385 kBT
1kxkA_M459.pdb     -247.051714 kBT
1kxkA_M387.pdb     -243.044609 kBT
1kxkA_M23.pdb     -299.505827 kBT
1kxkA_M385.pdb     -251.245225 kBT
1kxkA_M1.pdb     -302.567827 kBT
1kxkA_M434.pdb     -253.443372 kBT
1kxkA_M256.pdb     -246.395361 kBT
1kxkA_M65.pdb     -280.226806 kBT
1kxkA_M148.pdb     -283.041900 kBT
1kxkA_M91.pdb     -261.054030 kBT
1kxkA_M421.pdb     -243.449883 kBT
1kxkA_M122.pdb     -249.916848 kBT
1kxkA_M143.pdb     -258.907024 kBT
1kxkA_M362.pdb     -246.273496 kBT
1kxkA_M175.pdb     -263.774851 kBT
1kxkA_M463.pdb     -247.635601 kBT
1kxkA_M322.pdb     -258.851598 kBT
1kxkA_M147.pdb     -252.531230 kBT
1kxkA_M431.pdb     -255.641544 kBT
1kxkA_M271.pdb     -233.011960 kBT
1kxkA_M159.pdb     -269.329389 kBT
1kxkA_M295.pdb     -259.310552 kBT
1kxkA_M497.pdb     -253.653525 kBT
1kxkA_M202.pdb     -277.926479 kBT
1kxkA_M409.pdb     -248.865495 kBT
1kxkA_M45.pdb     -281.385864 kBT
1kxkA_M218.pdb     -240.614788 kBT
1kxkA_M138.pdb     -254.358159 kBT
1kxkA_M193.pdb     -250.042002 kBT
1kxkA_M275.pdb     -256.178165 kBT
1kxkA_M119.pdb     -263.673922 kBT
1kxkA_M352.pdb     -257.215326 kBT
1kxkA_M16.pdb     -300.812679 kBT
1kxkA_M307.pdb     -254.368478 kBT
1kxkA_M235.pdb     -259.762967 kBT
1kxkA_M261.pdb     -251.989482 kBT
1kxkA_M164.pdb     -264.270541 kBT
1kxkA_M425.pdb     -258.264238 kBT
1kxkA_M184.pdb     -262.877903 kBT
1kxkA_M98.pdb     -253.275115 kBT
1kxkA_M246.pdb     -255.516432 kBT
1kxkA_M93.pdb     -273.489815 kBT
1kxkA_M199.pdb     -259.054545 kBT
1kxkA_M236.pdb     -260.623237 kBT
1kxkA_M186.pdb     -271.049809 kBT
1kxkA_M269.pdb     -253.566219 kBT
1kxkA_M353.pdb     -269.681759 kBT
1kxkA_M358.pdb     -221.188984 kBT
1kxkA_M228.pdb     -241.042700 kBT
1kxkA_M247.pdb     -265.514609 kBT
1kxkA_M194.pdb     -244.161027 kBT
