1mjiD_M86.pdb     -155.151199 kBT
1mjiD_M208.pdb     -127.841680 kBT
1mjiD_M436.pdb     -148.624794 kBT
1mjiD_M155.pdb     -153.745859 kBT
1mjiD_M457.pdb     -136.755009 kBT
1mjiD_M24.pdb     -152.182063 kBT
1mjiD_M352.pdb     -137.504302 kBT
1mjiD_M13.pdb     -161.179578 kBT
1mjiD_M348.pdb     -124.285300 kBT
1mjiD_M163.pdb     -144.801600 kBT
1mjiD_M483.pdb     -132.635230 kBT
1mjiD_M29.pdb     -149.676026 kBT
1mjiD_M448.pdb     -128.963882 kBT
1mjiD_M23.pdb     -154.076377 kBT
1mjiD_M82.pdb     -150.228222 kBT
1mjiD_M398.pdb     -145.536847 kBT
1mjiD_M458.pdb     -138.911900 kBT
1mjiD_M109.pdb     -148.835538 kBT
1mjiD_M338.pdb     -123.772795 kBT
1mjiD_M9.pdb     -166.681859 kBT
1mjiD_M17.pdb     -160.397145 kBT
1mjiD_M189.pdb     -130.035473 kBT
1mjiD_M337.pdb     -143.895935 kBT
1mjiD_M297.pdb     -141.952166 kBT
1mjiD_M258.pdb     -135.758167 kBT
1mjiD_M214.pdb     -153.333820 kBT
1mjiD_M365.pdb     -131.326603 kBT
1mjiD_M52.pdb     -153.991739 kBT
1mjiD_M220.pdb     -135.872303 kBT
1mjiD_M419.pdb     -135.916307 kBT
1mjiD_M414.pdb     -135.599093 kBT
1mjiD_M138.pdb     -147.045463 kBT
1mjiD_M425.pdb     -135.837895 kBT
1mjiD_M473.pdb     -133.819022 kBT
1mjiD_M114.pdb     -140.436626 kBT
1mjiD_M172.pdb     -135.619000 kBT
1mjiD_M95.pdb     -156.208477 kBT
1mjiD_M144.pdb     -153.197729 kBT
1mjiD_M407.pdb     -144.448535 kBT
1mjiD_M75.pdb     -146.355457 kBT
1mjiD_M235.pdb     -143.472639 kBT
1mjiD_M273.pdb     -145.685627 kBT
1mjiD_M20.pdb     -158.343418 kBT
1mjiD_M472.pdb     -144.357247 kBT
1mjiD_M449.pdb     -129.582102 kBT
1mjiD_M218.pdb     -144.125189 kBT
1mjiD_M313.pdb     -137.344707 kBT
1mjiD_M63.pdb     -151.862293 kBT
1mjiD_M161.pdb     -141.842550 kBT
1mjiD_M131.pdb     -148.671991 kBT
1mjiD_M108.pdb     -147.301541 kBT
1mjiD_M8.pdb     -161.036081 kBT
1mjiD_M96.pdb     -143.590329 kBT
1mjiD_M311.pdb     -150.103690 kBT
1mjiD_M369.pdb     -137.964624 kBT
1mjiD_M496.pdb     -142.316529 kBT
1mjiD_M217.pdb     -145.258978 kBT
1mjiD_M232.pdb     -145.793001 kBT
1mjiD_M50.pdb     -156.818363 kBT
1mjiD_M417.pdb     -140.581719 kBT
1mjiD_M83.pdb     -139.343174 kBT
1mjiD_M31.pdb     -159.691097 kBT
1mjiD_M495.pdb     -145.681894 kBT
1mjiD_M260.pdb     -153.160418 kBT
1mjiD_M71.pdb     -158.455187 kBT
1mjiD_M168.pdb     -136.069050 kBT
1mjiD_M54.pdb     -156.652189 kBT
1mjiD_M329.pdb     -143.016211 kBT
1mjiD_M413.pdb     -138.236760 kBT
1mjiD_M166.pdb     -154.723610 kBT
1mjiD_M156.pdb     -163.593903 kBT
1mjiD_M279.pdb     -139.996040 kBT
1mjiD_M465.pdb     -142.864908 kBT
1mjiD_M318.pdb     -126.045063 kBT
1mjiD_M222.pdb     -155.940037 kBT
1mjiD_M394.pdb     -135.185496 kBT
1mjiD_M437.pdb     -138.885236 kBT
1mjiD_M103.pdb     -153.023165 kBT
1mjiD_M10.pdb     -163.435170 kBT
1mjiD_M3.pdb     -163.173405 kBT
1mjiD_M92.pdb     -150.860187 kBT
1mjiD_M362.pdb     -138.987320 kBT
1mjiD_M120.pdb     -141.042211 kBT
1mjiD_M280.pdb     -148.185153 kBT
1mjiD_M421.pdb     -141.316319 kBT
1mjiD_M140.pdb     -141.020564 kBT
1mjiD_M151.pdb     -153.308746 kBT
1mjiD_M467.pdb     -130.746598 kBT
1mjiD_M73.pdb     -135.517569 kBT
1mjiD_M27.pdb     -158.798494 kBT
1mjiD_M128.pdb     -145.426226 kBT
1mjiD_M72.pdb     -151.104895 kBT
1mjiD_M225.pdb     -140.815050 kBT
1mjiD_M281.pdb     -135.296757 kBT
1mjiD_M143.pdb     -147.799069 kBT
1mjiD_M43.pdb     -156.897507 kBT
1mjiD_M201.pdb     -143.734030 kBT
1mjiD_M470.pdb     -142.201797 kBT
1mjiD_M336.pdb     -131.536635 kBT
1mjiD_M35.pdb     -158.852122 kBT
1mjiD_M184.pdb     -124.299913 kBT
1mjiD_M39.pdb     -150.321477 kBT
1mjiD_M107.pdb     -150.237082 kBT
1mjiD_M404.pdb     -133.312617 kBT
1mjiD_M84.pdb     -144.522324 kBT
1mjiD_M129.pdb     -137.629415 kBT
1mjiD_M192.pdb     -145.916094 kBT
1mjiD_M306.pdb     -124.612392 kBT
1mjiD_M230.pdb     -137.221263 kBT
1mjiD_M249.pdb     -143.414586 kBT
1mjiD_M373.pdb     -137.404982 kBT
1mjiD_M89.pdb     -143.328908 kBT
1mjiD_M19.pdb     -157.630969 kBT
1mjiD_M223.pdb     -133.951818 kBT
1mjiD_M367.pdb     -149.778112 kBT
1mjiD_M415.pdb     -154.123567 kBT
1mjiD_M182.pdb     -153.958139 kBT
1mjiD_M238.pdb     -138.492030 kBT
1mjiD_M210.pdb     -147.802164 kBT
1mjiD_M104.pdb     -148.778620 kBT
1mjiD_M125.pdb     -147.642249 kBT
1mjiD_M439.pdb     -138.778365 kBT
1mjiD_M408.pdb     -130.764613 kBT
1mjiD_M206.pdb     -133.190701 kBT
1mjiD_M316.pdb     -149.064010 kBT
1mjiD_M165.pdb     -153.251004 kBT
1mjiD_M422.pdb     -136.095607 kBT
1mjiD_M303.pdb     -133.054992 kBT
1mjiD_M446.pdb     -129.672522 kBT
1mjiD_M190.pdb     -156.969310 kBT
1mjiD_M18.pdb     -163.966577 kBT
1mjiD_M228.pdb     -147.554451 kBT
1mjiD_M475.pdb     -150.981316 kBT
1mjiD_M315.pdb     -141.482597 kBT
1mjiD_M372.pdb     -152.488661 kBT
1mjiD_M174.pdb     -142.709261 kBT
1mjiD_M141.pdb     -139.716567 kBT
1mjiD_M430.pdb     -147.037618 kBT
1mjiD_M444.pdb     -133.346717 kBT
1mjiD_M387.pdb     -131.849729 kBT
1mjiD_M382.pdb     -134.350423 kBT
1mjiD_M124.pdb     -131.245844 kBT
1mjiD_M46.pdb     -155.422486 kBT
1mjiD_M391.pdb     -141.866081 kBT
1mjiD_M499.pdb     -139.028177 kBT
1mjiD_M381.pdb     -135.230475 kBT
1mjiD_M207.pdb     -152.032724 kBT
1mjiD_M478.pdb     -136.989280 kBT
1mjiD_M30.pdb     -153.202398 kBT
1mjiD_M226.pdb     -136.828225 kBT
1mjiD_M440.pdb     -130.075577 kBT
1mjiD_M256.pdb     -142.548568 kBT
1mjiD_M11.pdb     -160.466119 kBT
1mjiD_M443.pdb     -134.547814 kBT
1mjiD_M442.pdb     -136.756424 kBT
1mjiD_M22.pdb     -162.494224 kBT
1mjiD_M429.pdb     -139.509514 kBT
1mjiD_M76.pdb     -147.549648 kBT
1mjiD_M359.pdb     -140.635238 kBT
1mjiD_M451.pdb     -148.293500 kBT
1mjiD_M110.pdb     -149.503026 kBT
1mjiD_M99.pdb     -151.179999 kBT
1mjiD_M269.pdb     -141.600061 kBT
1mjiD_M177.pdb     -160.456189 kBT
1mjiD_M278.pdb     -147.961243 kBT
1mjiD_M15.pdb     -163.310894 kBT
1mjiD_M41.pdb     -146.588554 kBT
1mjiD_M259.pdb     -141.137042 kBT
1mjiD_M461.pdb     -135.802864 kBT
1mjiD_M44.pdb     -155.105807 kBT
1mjiD_M388.pdb     -139.101132 kBT
1mjiD_M196.pdb     -148.664975 kBT
1mjiD_M193.pdb     -145.411373 kBT
1mjiD_M88.pdb     -140.063628 kBT
1mjiD_M40.pdb     -158.511046 kBT
1mjiD_M266.pdb     -136.800130 kBT
1mjiD_M183.pdb     -148.229867 kBT
1mjiD_M106.pdb     -155.827864 kBT
1mjiD_M366.pdb     -133.126636 kBT
1mjiD_M243.pdb     -133.902378 kBT
1mjiD_M485.pdb     -132.279692 kBT
1mjiD_M308.pdb     -144.822461 kBT
1mjiD_M403.pdb     -139.381878 kBT
1mjiD_M484.pdb     -122.569968 kBT
1mjiD_M424.pdb     -135.527343 kBT
1mjiD_M343.pdb     -132.229577 kBT
1mjiD_M493.pdb     -138.928618 kBT
1mjiD_M146.pdb     -139.775720 kBT
1mjiD_M248.pdb     -137.569562 kBT
1mjiD_M56.pdb     -140.488593 kBT
1mjiD_M374.pdb     -154.729307 kBT
1mjiD_M312.pdb     -145.109908 kBT
1mjiD_M342.pdb     -143.672401 kBT
1mjiD_M200.pdb     -146.234758 kBT
1mjiD_M145.pdb     -138.973362 kBT
1mjiD_M270.pdb     -154.240206 kBT
1mjiD_M118.pdb     -144.841861 kBT
1mjiD_M147.pdb     -141.358352 kBT
1mjiD_M149.pdb     -139.835211 kBT
1mjiD_M36.pdb     -153.848744 kBT
1mjiD_M91.pdb     -142.949542 kBT
1mjiD_M400.pdb     -149.871347 kBT
1mjiD_M401.pdb     -147.930126 kBT
1mjiD_M244.pdb     -134.024975 kBT
1mjiD_M489.pdb     -157.457213 kBT
1mjiD_M211.pdb     -155.556985 kBT
1mjiD_M487.pdb     -150.527204 kBT
1mjiD_M157.pdb     -132.858654 kBT
1mjiD_M213.pdb     -141.665048 kBT
1mjiD_M289.pdb     -157.198042 kBT
1mjiD_M94.pdb     -135.321051 kBT
1mjiD_M64.pdb     -146.984605 kBT
1mjiD_M237.pdb     -132.582914 kBT
1mjiD_M434.pdb     -151.655233 kBT
1mjiD_M344.pdb     -130.898385 kBT
1mjiD_M221.pdb     -146.707647 kBT
1mjiD_M261.pdb     -134.267691 kBT
1mjiD_M477.pdb     -153.206245 kBT
1mjiD_M204.pdb     -152.081555 kBT
1mjiD_M68.pdb     -156.431043 kBT
1mjiD_M464.pdb     -128.928352 kBT
1mjiD_M328.pdb     -144.684715 kBT
1mjiD_M240.pdb     -143.117892 kBT
1mjiD_M450.pdb     -150.842010 kBT
1mjiD_M384.pdb     -142.214041 kBT
1mjiD_M254.pdb     -134.216869 kBT
1mjiD_M162.pdb     -129.946556 kBT
1mjiD_M323.pdb     -157.285013 kBT
1mjiD_M136.pdb     -150.367440 kBT
1mjiD_M224.pdb     -147.454298 kBT
1mjiD_M38.pdb     -153.519158 kBT
1mjiD_M45.pdb     -140.768626 kBT
1mjiD_M255.pdb     -138.387670 kBT
1mjiD_M271.pdb     -132.668053 kBT
1mjiD_M123.pdb     -146.316932 kBT
1mjiD_M62.pdb     -165.361536 kBT
1mjiD_M7.pdb     -162.040735 kBT
1mjiD_M460.pdb     -145.669262 kBT
1mjiD_M32.pdb     -147.806654 kBT
1mjiD_M160.pdb     -145.867090 kBT
1mjiD_M2.pdb     -162.783066 kBT
1mjiD_M498.pdb     -148.140655 kBT
1mjiD_M65.pdb     -149.610504 kBT
1mjiD_M397.pdb     -137.267409 kBT
1mjiD_M432.pdb     -141.288761 kBT
1mjiD_M188.pdb     -125.216304 kBT
1mjiD_M360.pdb     -143.286714 kBT
1mjiD_M181.pdb     -136.128730 kBT
1mjiD_M295.pdb     -137.443317 kBT
1mjiD_M333.pdb     -147.396445 kBT
1mjiD_M274.pdb     -141.552571 kBT
1mjiD_M267.pdb     -139.836522 kBT
1mjiD_M236.pdb     -139.951391 kBT
1mjiD_M471.pdb     -130.384630 kBT
1mjiD_M80.pdb     -150.317430 kBT
1mjiD_M399.pdb     -130.841355 kBT
1mjiD_M353.pdb     -136.757749 kBT
1mjiD_M482.pdb     -130.940615 kBT
1mjiD_M409.pdb     -131.718835 kBT
1mjiD_M264.pdb     -159.326683 kBT
1mjiD_M42.pdb     -169.590818 kBT
1mjiD_M4.pdb     -162.693315 kBT
1mjiD_M392.pdb     -128.851979 kBT
1mjiD_M117.pdb     -132.721427 kBT
1mjiD_M290.pdb     -148.961467 kBT
1mjiD_M317.pdb     -130.970005 kBT
1mjiD_M152.pdb     -132.456546 kBT
1mjiD_M134.pdb     -151.813218 kBT
1mjiD_M452.pdb     -132.592145 kBT
1mjiD_M500.pdb     -141.743926 kBT
1mjiD_M469.pdb     -142.083999 kBT
1mjiD_M231.pdb     -151.278181 kBT
1mjiD_M159.pdb     -156.794945 kBT
1mjiD_M447.pdb     -133.222708 kBT
1mjiD_M310.pdb     -150.131153 kBT
1mjiD_M492.pdb     -155.031456 kBT
1mjiD_M298.pdb     -135.907996 kBT
1mjiD_M78.pdb     -146.042954 kBT
1mjiD_M113.pdb     -145.020040 kBT
1mjiD_M377.pdb     -136.761230 kBT
1mjiD_M332.pdb     -137.771465 kBT
1mjiD_M250.pdb     -135.830233 kBT
1mjiD_M305.pdb     -139.801311 kBT
1mjiD_M100.pdb     -152.493886 kBT
1mjiD_M186.pdb     -134.433940 kBT
1mjiD_M379.pdb     -150.864205 kBT
1mjiD_M219.pdb     -149.544417 kBT
1mjiD_M476.pdb     -130.788679 kBT
1mjiD_M37.pdb     -160.074031 kBT
1mjiD_M158.pdb     -152.933759 kBT
1mjiD_M491.pdb     -144.651562 kBT
1mjiD_M175.pdb     -139.319861 kBT
1mjiD_M70.pdb     -155.930864 kBT
1mjiD_M216.pdb     -154.208810 kBT
1mjiD_M341.pdb     -136.317075 kBT
1mjiD_M426.pdb     -148.571740 kBT
1mjiD_M327.pdb     -154.223383 kBT
1mjiD_M51.pdb     -152.666848 kBT
1mjiD_M233.pdb     -151.105778 kBT
1mjiD_M427.pdb     -159.533489 kBT
1mjiD_M199.pdb     -143.592824 kBT
1mjiD_M435.pdb     -143.455751 kBT
1mjiD_M98.pdb     -150.373008 kBT
1mjiD_M494.pdb     -143.843651 kBT
1mjiD_M187.pdb     -145.247499 kBT
1mjiD_M5.pdb     -163.130455 kBT
1mjiD_M293.pdb     -144.865411 kBT
1mjiD_M241.pdb     -140.014894 kBT
1mjiD_M198.pdb     -143.590147 kBT
1mjiD_M53.pdb     -148.749192 kBT
1mjiD_M47.pdb     -160.734122 kBT
1mjiD_M325.pdb     -151.581061 kBT
1mjiD_M59.pdb     -148.315133 kBT
1mjiD_M354.pdb     -137.159734 kBT
1mjiD_M340.pdb     -160.616774 kBT
1mjiD_M330.pdb     -134.100398 kBT
1mjiD_M194.pdb     -149.977247 kBT
1mjiD_M299.pdb     -150.983197 kBT
1mjiD_M386.pdb     -139.715573 kBT
1mjiD_M294.pdb     -144.311390 kBT
1mjiD_M454.pdb     -134.995802 kBT
1mjiD_M33.pdb     -145.244421 kBT
1mjiD_M170.pdb     -130.112901 kBT
1mjiD_M301.pdb     -151.788362 kBT
1mjiD_M195.pdb     -131.980480 kBT
1mjiD_M411.pdb     -144.591861 kBT
1mjiD_M314.pdb     -128.891636 kBT
1mjiD_M405.pdb     -138.338404 kBT
1mjiD_M55.pdb     -146.407277 kBT
1mjiD_M173.pdb     -139.673863 kBT
1mjiD_M375.pdb     -142.174566 kBT
1mjiD_M287.pdb     -135.366686 kBT
1mjiD_M137.pdb     -147.527470 kBT
1mjiD_M150.pdb     -148.045492 kBT
1mjiD_M292.pdb     -143.958694 kBT
1mjiD_M358.pdb     -144.112949 kBT
1mjiD_M321.pdb     -144.756794 kBT
1mjiD_M49.pdb     -158.579566 kBT
1mjiD_M324.pdb     -154.896505 kBT
1mjiD_M385.pdb     -159.439424 kBT
1mjiD_M346.pdb     -143.984561 kBT
1mjiD_M133.pdb     -142.594459 kBT
1mjiD_M139.pdb     -149.268102 kBT
1mjiD_M265.pdb     -136.097647 kBT
1mjiD_M282.pdb     -142.318348 kBT
1mjiD_M67.pdb     -150.882436 kBT
1mjiD_M87.pdb     -154.979502 kBT
1mjiD_M480.pdb     -136.427575 kBT
1mjiD_M234.pdb     -139.791920 kBT
1mjiD_M185.pdb     -127.929939 kBT
1mjiD_M167.pdb     -140.422679 kBT
1mjiD_M154.pdb     -134.165378 kBT
1mjiD_M322.pdb     -148.772392 kBT
1mjiD_M205.pdb     -148.127942 kBT
1mjiD_M351.pdb     -144.094722 kBT
1mjiD_M180.pdb     -149.079111 kBT
1mjiD_M61.pdb     -149.795334 kBT
1mjiD_M302.pdb     -139.943098 kBT
1mjiD_M105.pdb     -145.213437 kBT
1mjiD_M202.pdb     -137.087108 kBT
1mjiD_M69.pdb     -159.259773 kBT
1mjiD_M268.pdb     -155.647692 kBT
1mjiD_M433.pdb     -146.468665 kBT
1mjiD_M246.pdb     -137.053048 kBT
1mjiD_M97.pdb     -147.095184 kBT
1mjiD_M21.pdb     -161.976050 kBT
1mjiD_M253.pdb     -144.168565 kBT
1mjiD_M77.pdb     -149.682870 kBT
1mjiD_M420.pdb     -133.526378 kBT
1mjiD_M209.pdb     -159.560104 kBT
1mjiD_M257.pdb     -143.947338 kBT
1mjiD_M466.pdb     -154.497308 kBT
1mjiD_M252.pdb     -132.486265 kBT
1mjiD_M370.pdb     -133.007535 kBT
1mjiD_M14.pdb     -161.066521 kBT
1mjiD_M296.pdb     -138.430792 kBT
1mjiD_M345.pdb     -141.543868 kBT
1mjiD_M112.pdb     -148.609825 kBT
1mjiD_M445.pdb     -147.200865 kBT
1mjiD_M368.pdb     -148.338192 kBT
1mjiD_M1.pdb     -162.875786 kBT
1mjiD_M455.pdb     -138.762710 kBT
1mjiD_M101.pdb     -153.098101 kBT
1mjiD_M347.pdb     -143.963152 kBT
1mjiD_M57.pdb     -159.177131 kBT
1mjiD_M6.pdb     -166.031348 kBT
1mjiD_M319.pdb     -138.412920 kBT
1mjiD_M363.pdb     -151.458732 kBT
1mjiD_M402.pdb     -144.371437 kBT
1mjiD_M251.pdb     -138.097530 kBT
1mjiD_M272.pdb     -142.413227 kBT
1mjiD_M263.pdb     -136.280212 kBT
1mjiD_M66.pdb     -147.717253 kBT
1mjiD_M479.pdb     -140.313052 kBT
1mjiD_M438.pdb     -136.972394 kBT
1mjiD_M93.pdb     -146.738972 kBT
1mjiD_M418.pdb     -128.896629 kBT
1mjiD_M79.pdb     -147.606295 kBT
1mjiD_M320.pdb     -144.157520 kBT
1mjiD_M60.pdb     -148.351866 kBT
1mjiD.pdb     -165.155290 kBT
1mjiD_M262.pdb     -150.751330 kBT
1mjiD_M380.pdb     -134.608594 kBT
1mjiD_M142.pdb     -140.837473 kBT
1mjiD_M148.pdb     -141.692343 kBT
1mjiD_M456.pdb     -120.552440 kBT
1mjiD_M462.pdb     -147.661290 kBT
1mjiD_M428.pdb     -137.898762 kBT
1mjiD_M334.pdb     -139.158553 kBT
1mjiD_M395.pdb     -141.120390 kBT
1mjiD_M116.pdb     -147.172656 kBT
1mjiD_M191.pdb     -141.466051 kBT
1mjiD_M371.pdb     -136.617587 kBT
1mjiD_M291.pdb     -140.542218 kBT
1mjiD_M227.pdb     -150.909378 kBT
1mjiD_M102.pdb     -148.845226 kBT
1mjiD_M276.pdb     -137.244879 kBT
1mjiD_M288.pdb     -154.638254 kBT
1mjiD_M48.pdb     -161.735424 kBT
1mjiD_M357.pdb     -143.877201 kBT
1mjiD_M350.pdb     -137.437250 kBT
1mjiD_M410.pdb     -151.159286 kBT
1mjiD_M81.pdb     -150.346121 kBT
1mjiD_M488.pdb     -133.888217 kBT
1mjiD_M389.pdb     -140.674240 kBT
1mjiD_M459.pdb     -156.538866 kBT
1mjiD_M215.pdb     -146.066843 kBT
1mjiD_M115.pdb     -151.455727 kBT
1mjiD_M307.pdb     -141.710939 kBT
1mjiD_M111.pdb     -148.142047 kBT
1mjiD_M119.pdb     -142.257748 kBT
1mjiD_M383.pdb     -148.212558 kBT
1mjiD_M423.pdb     -153.598124 kBT
1mjiD_M431.pdb     -138.136745 kBT
1mjiD_M203.pdb     -139.620652 kBT
1mjiD_M326.pdb     -145.186791 kBT
1mjiD_M126.pdb     -145.115045 kBT
1mjiD_M130.pdb     -150.266288 kBT
1mjiD_M463.pdb     -159.326064 kBT
1mjiD_M339.pdb     -140.119356 kBT
1mjiD_M169.pdb     -138.202954 kBT
1mjiD_M490.pdb     -152.632419 kBT
1mjiD_M277.pdb     -141.693395 kBT
1mjiD_M247.pdb     -144.405823 kBT
1mjiD_M26.pdb     -161.862825 kBT
1mjiD_M497.pdb     -145.045533 kBT
1mjiD_M132.pdb     -149.286907 kBT
1mjiD_M304.pdb     -139.091023 kBT
1mjiD_M275.pdb     -138.008140 kBT
1mjiD_M90.pdb     -149.377744 kBT
1mjiD_M406.pdb     -133.149620 kBT
1mjiD_M178.pdb     -139.589575 kBT
1mjiD_M197.pdb     -148.079740 kBT
1mjiD_M378.pdb     -133.452540 kBT
