2w2hS_M431.pdb     -81.810535 kBT
2w2hS_M478.pdb     -71.689578 kBT
2w2hS_M69.pdb     -103.333165 kBT
2w2hS_M183.pdb     -83.795968 kBT
2w2hS_M394.pdb     -91.770706 kBT
2w2hS_M20.pdb     -106.026101 kBT
2w2hS_M482.pdb     -98.827672 kBT
2w2hS_M121.pdb     -89.574939 kBT
2w2hS_M302.pdb     -95.085214 kBT
2w2hS_M181.pdb     -100.265945 kBT
2w2hS_M266.pdb     -98.542195 kBT
2w2hS_M395.pdb     -93.650920 kBT
2w2hS_M72.pdb     -99.420704 kBT
2w2hS_M136.pdb     -105.319546 kBT
2w2hS_M364.pdb     -84.030725 kBT
2w2hS_M494.pdb     -84.452487 kBT
2w2hS_M97.pdb     -90.590055 kBT
2w2hS_M287.pdb     -85.709711 kBT
2w2hS_M142.pdb     -104.076932 kBT
2w2hS_M237.pdb     -80.127875 kBT
2w2hS_M191.pdb     -83.407460 kBT
2w2hS_M199.pdb     -88.137708 kBT
2w2hS_M150.pdb     -86.031388 kBT
2w2hS_M360.pdb     -96.811093 kBT
2w2hS_M71.pdb     -102.564319 kBT
2w2hS_M44.pdb     -95.992002 kBT
2w2hS_M265.pdb     -81.344454 kBT
2w2hS_M383.pdb     -86.730186 kBT
2w2hS_M216.pdb     -92.738024 kBT
2w2hS_M1.pdb     -104.524005 kBT
2w2hS_M92.pdb     -98.850381 kBT
2w2hS_M79.pdb     -103.572621 kBT
2w2hS_M458.pdb     -93.456270 kBT
2w2hS_M222.pdb     -83.155129 kBT
2w2hS_M453.pdb     -83.925288 kBT
2w2hS_M22.pdb     -102.088844 kBT
2w2hS_M387.pdb     -83.639653 kBT
2w2hS_M382.pdb     -70.916591 kBT
2w2hS_M238.pdb     -90.794134 kBT
2w2hS_M372.pdb     -97.544889 kBT
2w2hS_M118.pdb     -83.928293 kBT
2w2hS_M177.pdb     -96.291294 kBT
2w2hS_M189.pdb     -86.812418 kBT
2w2hS_M32.pdb     -103.600870 kBT
2w2hS_M371.pdb     -94.754829 kBT
2w2hS_M316.pdb     -87.626613 kBT
2w2hS_M145.pdb     -91.811230 kBT
2w2hS_M37.pdb     -101.554372 kBT
2w2hS_M355.pdb     -83.077494 kBT
2w2hS_M253.pdb     -87.036782 kBT
2w2hS_M277.pdb     -84.649205 kBT
2w2hS_M393.pdb     -79.951758 kBT
2w2hS_M186.pdb     -84.933705 kBT
2w2hS_M130.pdb     -98.109651 kBT
2w2hS_M264.pdb     -98.677253 kBT
2w2hS_M473.pdb     -84.572944 kBT
2w2hS_M462.pdb     -93.971345 kBT
2w2hS_M2.pdb     -110.970464 kBT
2w2hS_M337.pdb     -87.497897 kBT
2w2hS_M374.pdb     -71.655373 kBT
2w2hS_M468.pdb     -66.407514 kBT
2w2hS_M385.pdb     -89.249649 kBT
2w2hS_M275.pdb     -91.185990 kBT
2w2hS_M124.pdb     -90.578093 kBT
2w2hS_M363.pdb     -98.352299 kBT
2w2hS_M203.pdb     -92.218790 kBT
2w2hS_M47.pdb     -86.239112 kBT
2w2hS_M87.pdb     -90.672274 kBT
2w2hS_M268.pdb     -87.773116 kBT
2w2hS_M485.pdb     -84.279942 kBT
2w2hS_M314.pdb     -97.817720 kBT
2w2hS_M187.pdb     -91.472414 kBT
2w2hS_M116.pdb     -100.608643 kBT
2w2hS_M359.pdb     -75.749067 kBT
2w2hS_M491.pdb     -82.021073 kBT
2w2hS_M454.pdb     -79.453521 kBT
2w2hS_M193.pdb     -111.901421 kBT
2w2hS_M73.pdb     -100.069369 kBT
2w2hS_M262.pdb     -96.958876 kBT
2w2hS_M213.pdb     -87.748050 kBT
2w2hS_M444.pdb     -70.906131 kBT
2w2hS_M386.pdb     -83.141634 kBT
2w2hS_M375.pdb     -92.329513 kBT
2w2hS_M419.pdb     -85.682388 kBT
2w2hS_M245.pdb     -91.112943 kBT
2w2hS_M428.pdb     -91.846252 kBT
2w2hS_M190.pdb     -97.062167 kBT
2w2hS_M123.pdb     -105.522643 kBT
2w2hS_M257.pdb     -89.405516 kBT
2w2hS_M369.pdb     -89.295933 kBT
2w2hS_M169.pdb     -105.433059 kBT
2w2hS_M452.pdb     -71.661694 kBT
2w2hS_M12.pdb     -102.502543 kBT
2w2hS_M74.pdb     -96.667513 kBT
2w2hS_M81.pdb     -88.372655 kBT
2w2hS_M83.pdb     -92.055391 kBT
2w2hS_M280.pdb     -90.184398 kBT
2w2hS_M24.pdb     -104.784953 kBT
2w2hS_M330.pdb     -90.643913 kBT
2w2hS_M174.pdb     -82.868955 kBT
2w2hS_M80.pdb     -93.410117 kBT
2w2hS_M180.pdb     -86.197118 kBT
2w2hS_M282.pdb     -97.059850 kBT
2w2hS_M463.pdb     -91.262426 kBT
2w2hS_M434.pdb     -71.648346 kBT
2w2hS_M192.pdb     -105.267816 kBT
2w2hS_M438.pdb     -77.807823 kBT
2w2hS_M148.pdb     -85.451646 kBT
2w2hS_M255.pdb     -81.460752 kBT
2w2hS_M475.pdb     -88.961602 kBT
2w2hS_M102.pdb     -96.763275 kBT
2w2hS_M319.pdb     -79.744501 kBT
2w2hS_M227.pdb     -96.116968 kBT
2w2hS_M137.pdb     -108.527780 kBT
2w2hS_M461.pdb     -96.750711 kBT
2w2hS_M212.pdb     -86.739612 kBT
2w2hS_M19.pdb     -103.657564 kBT
2w2hS_M48.pdb     -102.607843 kBT
2w2hS_M172.pdb     -92.918942 kBT
2w2hS_M354.pdb     -94.098050 kBT
2w2hS_M224.pdb     -83.377075 kBT
2w2hS_M241.pdb     -105.733303 kBT
2w2hS_M107.pdb     -76.400136 kBT
2w2hS_M281.pdb     -86.713505 kBT
2w2hS_M243.pdb     -85.230278 kBT
2w2hS_M244.pdb     -82.161982 kBT
2w2hS_M239.pdb     -85.971069 kBT
2w2hS_M115.pdb     -89.330573 kBT
2w2hS_M284.pdb     -80.829679 kBT
2w2hS_M153.pdb     -99.225756 kBT
2w2hS_M113.pdb     -83.709136 kBT
2w2hS_M460.pdb     -86.621494 kBT
2w2hS_M63.pdb     -100.130629 kBT
2w2hS_M331.pdb     -95.310024 kBT
2w2hS_M62.pdb     -105.670456 kBT
2w2hS_M219.pdb     -93.476519 kBT
2w2hS_M377.pdb     -90.512729 kBT
2w2hS_M57.pdb     -104.880768 kBT
2w2hS_M289.pdb     -100.848733 kBT
2w2hS_M185.pdb     -88.854434 kBT
2w2hS_M182.pdb     -88.835119 kBT
2w2hS_M188.pdb     -84.730252 kBT
2w2hS_M194.pdb     -87.384916 kBT
2w2hS_M210.pdb     -98.163786 kBT
2w2hS_M78.pdb     -83.207650 kBT
2w2hS_M39.pdb     -114.006701 kBT
2w2hS_M423.pdb     -88.072215 kBT
2w2hS_M336.pdb     -88.312861 kBT
2w2hS_M433.pdb     -92.916677 kBT
2w2hS_M441.pdb     -98.445733 kBT
2w2hS_M42.pdb     -95.674791 kBT
2w2hS_M343.pdb     -81.400738 kBT
2w2hS_M21.pdb     -99.850888 kBT
2w2hS_M220.pdb     -98.578268 kBT
2w2hS_M384.pdb     -92.756243 kBT
2w2hS_M474.pdb     -58.753911 kBT
2w2hS_M23.pdb     -97.666963 kBT
2w2hS_M170.pdb     -89.401769 kBT
2w2hS_M17.pdb     -106.075284 kBT
2w2hS_M418.pdb     -96.078034 kBT
2w2hS_M247.pdb     -90.849962 kBT
2w2hS_M75.pdb     -100.116971 kBT
2w2hS_M274.pdb     -88.360635 kBT
2w2hS_M426.pdb     -95.112563 kBT
2w2hS_M286.pdb     -83.214012 kBT
2w2hS_M163.pdb     -100.775676 kBT
2w2hS_M283.pdb     -99.322848 kBT
2w2hS_M469.pdb     -88.160122 kBT
2w2hS_M36.pdb     -98.758286 kBT
2w2hS_M422.pdb     -81.771102 kBT
2w2hS_M430.pdb     -90.946500 kBT
2w2hS_M158.pdb     -96.685247 kBT
2w2hS_M168.pdb     -104.779685 kBT
2w2hS_M144.pdb     -86.112251 kBT
2w2hS_M439.pdb     -70.781876 kBT
2w2hS_M396.pdb     -84.000593 kBT
2w2hS_M249.pdb     -87.940266 kBT
2w2hS_M250.pdb     -97.886478 kBT
2w2hS_M89.pdb     -116.955606 kBT
2w2hS_M195.pdb     -99.419656 kBT
2w2hS_M197.pdb     -100.479067 kBT
2w2hS_M311.pdb     -89.015567 kBT
2w2hS_M211.pdb     -92.782589 kBT
2w2hS_M456.pdb     -101.015909 kBT
2w2hS_M340.pdb     -91.513943 kBT
2w2hS_M368.pdb     -98.134798 kBT
2w2hS_M60.pdb     -93.411875 kBT
2w2hS_M254.pdb     -101.119951 kBT
2w2hS_M350.pdb     -87.376322 kBT
2w2hS_M411.pdb     -81.631754 kBT
2w2hS_M106.pdb     -107.778216 kBT
2w2hS_M175.pdb     -95.275417 kBT
2w2hS_M342.pdb     -84.218890 kBT
2w2hS_M467.pdb     -85.668314 kBT
2w2hS_M465.pdb     -90.665219 kBT
2w2hS_M156.pdb     -101.849521 kBT
2w2hS_M64.pdb     -93.626638 kBT
2w2hS_M332.pdb     -86.676961 kBT
2w2hS_M270.pdb     -116.572310 kBT
2w2hS_M226.pdb     -92.362589 kBT
2w2hS_M310.pdb     -81.388387 kBT
2w2hS_M321.pdb     -96.166074 kBT
2w2hS_M388.pdb     -61.173911 kBT
2w2hS_M214.pdb     -90.598060 kBT
2w2hS_M256.pdb     -96.288083 kBT
2w2hS_M14.pdb     -106.659116 kBT
2w2hS_M398.pdb     -109.264327 kBT
2w2hS_M356.pdb     -108.037574 kBT
2w2hS_M209.pdb     -98.937387 kBT
2w2hS_M55.pdb     -85.116966 kBT
2w2hS_M400.pdb     -82.167710 kBT
2w2hS_M167.pdb     -98.742150 kBT
2w2hS_M176.pdb     -83.341378 kBT
2w2hS_M344.pdb     -87.286424 kBT
2w2hS_M228.pdb     -85.948604 kBT
2w2hS_M409.pdb     -64.940431 kBT
2w2hS_M54.pdb     -92.384770 kBT
2w2hS_M378.pdb     -80.253911 kBT
2w2hS_M322.pdb     -77.378673 kBT
2w2hS_M122.pdb     -87.521558 kBT
2w2hS_M269.pdb     -92.448483 kBT
2w2hS_M362.pdb     -91.494910 kBT
2w2hS_M451.pdb     -88.277967 kBT
2w2hS_M455.pdb     -96.364874 kBT
2w2hS_M251.pdb     -88.132435 kBT
2w2hS_M93.pdb     -93.037587 kBT
2w2hS_M104.pdb     -83.468291 kBT
2w2hS_M119.pdb     -94.553617 kBT
2w2hS_M477.pdb     -90.737122 kBT
2w2hS_M367.pdb     -76.941771 kBT
2w2hS_M457.pdb     -89.852370 kBT
2w2hS_M304.pdb     -88.152087 kBT
2w2hS_M35.pdb     -100.815229 kBT
2w2hS_M345.pdb     -85.942416 kBT
2w2hS_M351.pdb     -92.736982 kBT
2w2hS_M66.pdb     -92.402015 kBT
2w2hS_M318.pdb     -68.315665 kBT
2w2hS_M68.pdb     -104.164973 kBT
2w2hS_M138.pdb     -82.051077 kBT
2w2hS_M41.pdb     -102.955266 kBT
2w2hS_M133.pdb     -88.281109 kBT
2w2hS_M353.pdb     -98.011600 kBT
2w2hS_M488.pdb     -71.422130 kBT
2w2hS_M315.pdb     -87.046248 kBT
2w2hS_M258.pdb     -87.739191 kBT
2w2hS_M120.pdb     -103.070032 kBT
2w2hS_M401.pdb     -89.481003 kBT
2w2hS_M85.pdb     -89.780225 kBT
2w2hS_M40.pdb     -90.775204 kBT
2w2hS_M410.pdb     -70.314984 kBT
2w2hS_M221.pdb     -89.575312 kBT
2w2hS_M135.pdb     -97.099992 kBT
2w2hS_M470.pdb     -83.030337 kBT
2w2hS_M179.pdb     -69.724484 kBT
2w2hS_M464.pdb     -74.857700 kBT
2w2hS_M218.pdb     -97.551256 kBT
2w2hS_M126.pdb     -104.287641 kBT
2w2hS_M252.pdb     -85.503631 kBT
2w2hS_M76.pdb     -85.669439 kBT
2w2hS_M376.pdb     -102.907819 kBT
2w2hS_M234.pdb     -80.526185 kBT
2w2hS_M204.pdb     -102.230098 kBT
2w2hS_M416.pdb     -96.709595 kBT
2w2hS_M240.pdb     -81.671855 kBT
2w2hS_M164.pdb     -97.462345 kBT
2w2hS_M205.pdb     -109.252782 kBT
2w2hS_M146.pdb     -101.134968 kBT
2w2hS_M301.pdb     -90.222990 kBT
2w2hS_M380.pdb     -91.463414 kBT
2w2hS_M440.pdb     -63.995745 kBT
2w2hS_M296.pdb     -83.663826 kBT
2w2hS_M292.pdb     -96.259669 kBT
2w2hS_M500.pdb     -89.892480 kBT
2w2hS_M300.pdb     -85.120130 kBT
2w2hS_M449.pdb     -82.121804 kBT
2w2hS_M198.pdb     -71.442282 kBT
2w2hS_M139.pdb     -107.714345 kBT
2w2hS_M361.pdb     -96.211606 kBT
2w2hS_M320.pdb     -81.208411 kBT
2w2hS_M381.pdb     -87.438618 kBT
2w2hS_M406.pdb     -85.735003 kBT
2w2hS_M131.pdb     -96.890009 kBT
2w2hS_M424.pdb     -92.562511 kBT
2w2hS_M82.pdb     -90.581500 kBT
2w2hS_M206.pdb     -94.383031 kBT
2w2hS_M317.pdb     -98.658662 kBT
2w2hS_M327.pdb     -82.961627 kBT
