3gcaA_M473.pdb     -162.245340 kBT
3gcaA_M83.pdb     -175.689905 kBT
3gcaA_M111.pdb     -158.655523 kBT
3gcaA_M392.pdb     -166.978527 kBT
3gcaA_M243.pdb     -164.198678 kBT
3gcaA_M136.pdb     -171.238708 kBT
3gcaA_M38.pdb     -173.543678 kBT
3gcaA_M283.pdb     -160.800413 kBT
3gcaA_M412.pdb     -158.217740 kBT
3gcaA_M144.pdb     -158.080393 kBT
3gcaA_M90.pdb     -172.843505 kBT
3gcaA_M287.pdb     -156.355879 kBT
3gcaA_M93.pdb     -173.411370 kBT
3gcaA_M448.pdb     -146.015979 kBT
3gcaA_M313.pdb     -156.556467 kBT
3gcaA_M498.pdb     -163.563474 kBT
3gcaA_M340.pdb     -156.661707 kBT
3gcaA_M109.pdb     -167.293466 kBT
3gcaA_M268.pdb     -163.031862 kBT
3gcaA_M339.pdb     -162.291871 kBT
3gcaA_M14.pdb     -176.234418 kBT
3gcaA_M152.pdb     -174.172284 kBT
3gcaA_M403.pdb     -156.950094 kBT
3gcaA_M301.pdb     -162.217666 kBT
3gcaA_M232.pdb     -177.557375 kBT
3gcaA_M94.pdb     -165.648011 kBT
3gcaA_M337.pdb     -145.203576 kBT
3gcaA_M57.pdb     -157.196123 kBT
3gcaA_M75.pdb     -162.722641 kBT
3gcaA_M133.pdb     -152.233195 kBT
3gcaA_M427.pdb     -154.376166 kBT
3gcaA_M291.pdb     -151.795076 kBT
3gcaA_M462.pdb     -144.460636 kBT
3gcaA_M351.pdb     -164.596323 kBT
3gcaA_M194.pdb     -155.494302 kBT
3gcaA_M124.pdb     -157.284365 kBT
3gcaA_M264.pdb     -166.196897 kBT
3gcaA_M345.pdb     -167.957661 kBT
3gcaA_M244.pdb     -166.029088 kBT
3gcaA_M235.pdb     -157.108095 kBT
3gcaA_M322.pdb     -162.036689 kBT
3gcaA_M399.pdb     -164.720923 kBT
3gcaA_M400.pdb     -152.641213 kBT
3gcaA_M352.pdb     -166.722785 kBT
3gcaA_M5.pdb     -171.845267 kBT
3gcaA_M318.pdb     -146.713541 kBT
3gcaA_M154.pdb     -165.272060 kBT
3gcaA_M156.pdb     -150.998819 kBT
3gcaA_M86.pdb     -156.125074 kBT
3gcaA_M402.pdb     -155.542437 kBT
3gcaA_M489.pdb     -154.490711 kBT
3gcaA_M280.pdb     -156.159221 kBT
3gcaA_M495.pdb     -166.435788 kBT
3gcaA_M359.pdb     -143.939866 kBT
3gcaA_M413.pdb     -150.482014 kBT
3gcaA_M106.pdb     -165.719527 kBT
3gcaA_M210.pdb     -152.835879 kBT
3gcaA_M165.pdb     -169.516279 kBT
3gcaA_M207.pdb     -159.089902 kBT
3gcaA_M484.pdb     -151.860459 kBT
3gcaA_M50.pdb     -154.302926 kBT
3gcaA_M107.pdb     -158.057861 kBT
3gcaA_M333.pdb     -159.337264 kBT
3gcaA_M471.pdb     -162.724314 kBT
3gcaA_M260.pdb     -160.199277 kBT
3gcaA_M89.pdb     -168.460354 kBT
3gcaA_M477.pdb     -141.655213 kBT
3gcaA_M456.pdb     -148.622097 kBT
3gcaA_M347.pdb     -159.324136 kBT
3gcaA_M285.pdb     -154.884262 kBT
3gcaA_M150.pdb     -172.255199 kBT
3gcaA_M430.pdb     -167.483558 kBT
3gcaA_M397.pdb     -163.641177 kBT
3gcaA_M47.pdb     -169.519495 kBT
3gcaA_M324.pdb     -142.904814 kBT
3gcaA_M499.pdb     -140.905855 kBT
3gcaA_M214.pdb     -162.592142 kBT
3gcaA_M218.pdb     -165.351906 kBT
3gcaA_M315.pdb     -143.254577 kBT
3gcaA_M126.pdb     -176.808457 kBT
3gcaA_M55.pdb     -165.114154 kBT
3gcaA_M452.pdb     -167.508660 kBT
3gcaA_M441.pdb     -153.525605 kBT
3gcaA_M190.pdb     -167.772747 kBT
3gcaA_M163.pdb     -174.721257 kBT
3gcaA_M247.pdb     -167.317911 kBT
3gcaA_M334.pdb     -146.738090 kBT
3gcaA_M356.pdb     -163.413332 kBT
3gcaA_M88.pdb     -181.188745 kBT
3gcaA_M128.pdb     -164.181332 kBT
3gcaA_M216.pdb     -156.782697 kBT
3gcaA_M263.pdb     -163.221865 kBT
3gcaA_M381.pdb     -147.740213 kBT
3gcaA_M191.pdb     -140.332146 kBT
3gcaA_M490.pdb     -161.318267 kBT
3gcaA_M176.pdb     -171.036800 kBT
3gcaA_M160.pdb     -165.166709 kBT
3gcaA_M229.pdb     -158.402546 kBT
3gcaA_M59.pdb     -165.634559 kBT
3gcaA_M87.pdb     -178.994871 kBT
3gcaA_M485.pdb     -145.654592 kBT
3gcaA_M277.pdb     -151.680692 kBT
3gcaA_M201.pdb     -167.227031 kBT
3gcaA_M153.pdb     -163.065553 kBT
3gcaA_M29.pdb     -168.095921 kBT
3gcaA_M251.pdb     -155.131499 kBT
3gcaA_M45.pdb     -174.031332 kBT
3gcaA_M97.pdb     -166.994180 kBT
3gcaA_M278.pdb     -169.736133 kBT
3gcaA_M230.pdb     -167.796226 kBT
3gcaA_M70.pdb     -172.354210 kBT
3gcaA_M40.pdb     -164.881509 kBT
3gcaA_M346.pdb     -148.554618 kBT
3gcaA_M389.pdb     -154.834170 kBT
3gcaA_M189.pdb     -158.301175 kBT
3gcaA_M386.pdb     -142.908332 kBT
3gcaA_M114.pdb     -160.807821 kBT
3gcaA_M145.pdb     -170.344094 kBT
3gcaA_M378.pdb     -168.162586 kBT
3gcaA_M238.pdb     -138.098257 kBT
3gcaA_M314.pdb     -163.520786 kBT
3gcaA_M37.pdb     -165.796911 kBT
3gcaA_M180.pdb     -172.885430 kBT
3gcaA_M182.pdb     -156.102602 kBT
3gcaA_M449.pdb     -153.450945 kBT
3gcaA_M466.pdb     -143.681046 kBT
3gcaA_M167.pdb     -159.993038 kBT
3gcaA_M79.pdb     -168.371707 kBT
3gcaA_M130.pdb     -179.088552 kBT
3gcaA_M113.pdb     -165.235832 kBT
3gcaA_M500.pdb     -147.795658 kBT
3gcaA_M51.pdb     -161.450818 kBT
3gcaA_M311.pdb     -159.935482 kBT
3gcaA_M44.pdb     -165.350697 kBT
3gcaA_M293.pdb     -147.814932 kBT
3gcaA_M6.pdb     -173.707830 kBT
3gcaA_M295.pdb     -158.096818 kBT
3gcaA_M488.pdb     -139.468531 kBT
3gcaA_M418.pdb     -162.436310 kBT
3gcaA_M281.pdb     -151.889921 kBT
3gcaA_M446.pdb     -154.769200 kBT
3gcaA_M294.pdb     -154.250870 kBT
3gcaA_M274.pdb     -165.983377 kBT
3gcaA_M135.pdb     -159.370489 kBT
3gcaA_M458.pdb     -144.879574 kBT
3gcaA_M457.pdb     -128.577654 kBT
3gcaA_M395.pdb     -151.187490 kBT
3gcaA_M472.pdb     -153.266193 kBT
3gcaA_M120.pdb     -164.803896 kBT
3gcaA_M127.pdb     -171.476653 kBT
3gcaA_M54.pdb     -171.212067 kBT
3gcaA_M108.pdb     -160.006492 kBT
3gcaA_M117.pdb     -157.174646 kBT
3gcaA_M119.pdb     -163.716785 kBT
3gcaA_M123.pdb     -176.890310 kBT
3gcaA_M170.pdb     -166.249763 kBT
3gcaA_M338.pdb     -156.023847 kBT
3gcaA_M246.pdb     -152.095487 kBT
3gcaA_M365.pdb     -161.717060 kBT
3gcaA_M437.pdb     -161.860431 kBT
3gcaA_M330.pdb     -162.828307 kBT
3gcaA_M432.pdb     -135.923818 kBT
3gcaA_M25.pdb     -169.861139 kBT
3gcaA_M328.pdb     -154.859867 kBT
3gcaA_M332.pdb     -149.354929 kBT
3gcaA_M470.pdb     -154.515033 kBT
3gcaA_M454.pdb     -160.916304 kBT
3gcaA_M404.pdb     -155.351125 kBT
3gcaA_M151.pdb     -163.294467 kBT
3gcaA_M308.pdb     -164.802790 kBT
3gcaA_M420.pdb     -155.873333 kBT
3gcaA_M181.pdb     -166.486598 kBT
3gcaA_M425.pdb     -153.907057 kBT
3gcaA_M453.pdb     -142.956701 kBT
3gcaA_M467.pdb     -166.640270 kBT
3gcaA_M185.pdb     -174.557452 kBT
3gcaA_M221.pdb     -161.356245 kBT
3gcaA_M137.pdb     -160.206778 kBT
3gcaA_M41.pdb     -171.553598 kBT
3gcaA_M223.pdb     -162.891625 kBT
3gcaA_M177.pdb     -151.314795 kBT
3gcaA_M162.pdb     -170.514871 kBT
3gcaA_M77.pdb     -168.282543 kBT
3gcaA_M105.pdb     -161.191376 kBT
3gcaA_M48.pdb     -168.882911 kBT
3gcaA_M341.pdb     -155.074761 kBT
3gcaA_M213.pdb     -154.163621 kBT
3gcaA_M82.pdb     -172.694377 kBT
3gcaA_M369.pdb     -157.508399 kBT
3gcaA_M8.pdb     -171.335773 kBT
3gcaA_M445.pdb     -158.090178 kBT
3gcaA_M250.pdb     -158.085893 kBT
3gcaA_M377.pdb     -172.962063 kBT
3gcaA_M408.pdb     -150.173172 kBT
3gcaA_M132.pdb     -165.263779 kBT
3gcaA_M30.pdb     -169.073697 kBT
3gcaA_M292.pdb     -167.412446 kBT
3gcaA_M172.pdb     -165.774469 kBT
3gcaA_M245.pdb     -165.245941 kBT
3gcaA_M487.pdb     -146.006745 kBT
3gcaA_M231.pdb     -155.178737 kBT
3gcaA_M297.pdb     -150.481723 kBT
3gcaA_M384.pdb     -157.976324 kBT
3gcaA_M360.pdb     -149.906566 kBT
3gcaA_M476.pdb     -161.678352 kBT
3gcaA_M62.pdb     -169.995797 kBT
3gcaA_M58.pdb     -163.749864 kBT
3gcaA_M379.pdb     -150.488466 kBT
3gcaA_M298.pdb     -147.663784 kBT
3gcaA_M192.pdb     -165.790560 kBT
3gcaA_M364.pdb     -149.374534 kBT
3gcaA_M370.pdb     -156.501864 kBT
3gcaA_M289.pdb     -153.975785 kBT
3gcaA_M483.pdb     -155.907932 kBT
3gcaA_M349.pdb     -156.675070 kBT
3gcaA_M391.pdb     -163.362000 kBT
3gcaA_M80.pdb     -170.677787 kBT
3gcaA_M24.pdb     -171.993081 kBT
3gcaA_M175.pdb     -160.971014 kBT
3gcaA_M22.pdb     -178.543402 kBT
3gcaA_M252.pdb     -160.152001 kBT
3gcaA_M155.pdb     -174.658699 kBT
3gcaA_M61.pdb     -174.070010 kBT
3gcaA_M284.pdb     -149.033466 kBT
3gcaA_M56.pdb     -173.586200 kBT
3gcaA_M468.pdb     -169.984116 kBT
3gcaA_M401.pdb     -161.032899 kBT
3gcaA_M438.pdb     -159.014365 kBT
3gcaA_M355.pdb     -152.661025 kBT
3gcaA_M336.pdb     -161.978200 kBT
3gcaA_M357.pdb     -162.274142 kBT
3gcaA_M71.pdb     -160.024589 kBT
3gcaA_M159.pdb     -155.087713 kBT
3gcaA_M266.pdb     -154.291110 kBT
3gcaA_M7.pdb     -175.970532 kBT
3gcaA_M241.pdb     -162.778875 kBT
3gcaA_M68.pdb     -168.024371 kBT
3gcaA_M411.pdb     -165.823397 kBT
3gcaA_M388.pdb     -161.519658 kBT
3gcaA_M317.pdb     -148.700827 kBT
3gcaA_M290.pdb     -159.594603 kBT
3gcaA_M433.pdb     -144.550835 kBT
3gcaA_M486.pdb     -147.985061 kBT
3gcaA_M407.pdb     -141.728137 kBT
3gcaA_M262.pdb     -163.795217 kBT
3gcaA_M429.pdb     -167.530231 kBT
3gcaA_M492.pdb     -154.627259 kBT
3gcaA_M225.pdb     -154.094277 kBT
3gcaA_M350.pdb     -169.374054 kBT
3gcaA_M224.pdb     -160.364956 kBT
3gcaA_M475.pdb     -148.945956 kBT
3gcaA_M63.pdb     -162.581232 kBT
3gcaA_M96.pdb     -169.799000 kBT
3gcaA_M275.pdb     -166.572825 kBT
3gcaA_M255.pdb     -140.070788 kBT
3gcaA_M164.pdb     -166.655228 kBT
3gcaA_M115.pdb     -156.250461 kBT
3gcaA_M326.pdb     -161.894432 kBT
3gcaA_M375.pdb     -143.807219 kBT
3gcaA_M23.pdb     -173.591821 kBT
3gcaA_M416.pdb     -150.596837 kBT
3gcaA_M10.pdb     -177.790104 kBT
3gcaA_M18.pdb     -170.962320 kBT
3gcaA_M219.pdb     -165.844500 kBT
3gcaA_M272.pdb     -156.023271 kBT
3gcaA_M385.pdb     -146.457559 kBT
3gcaA_M36.pdb     -168.044222 kBT
3gcaA_M419.pdb     -146.726207 kBT
3gcaA_M304.pdb     -147.581801 kBT
3gcaA_M16.pdb     -164.677888 kBT
3gcaA_M422.pdb     -150.732477 kBT
3gcaA_M212.pdb     -153.509336 kBT
3gcaA_M168.pdb     -166.425307 kBT
3gcaA_M21.pdb     -178.210465 kBT
3gcaA_M239.pdb     -165.665144 kBT
3gcaA_M208.pdb     -170.871209 kBT
3gcaA_M306.pdb     -149.744570 kBT
3gcaA_M149.pdb     -166.275515 kBT
3gcaA_M236.pdb     -158.978994 kBT
3gcaA_M15.pdb     -171.799413 kBT
3gcaA_M65.pdb     -159.732278 kBT
3gcaA_M183.pdb     -161.042208 kBT
3gcaA_M303.pdb     -166.430212 kBT
3gcaA_M254.pdb     -158.926272 kBT
3gcaA_M52.pdb     -164.679941 kBT
3gcaA_M158.pdb     -156.844060 kBT
3gcaA_M157.pdb     -171.676180 kBT
3gcaA_M202.pdb     -152.973558 kBT
3gcaA_M309.pdb     -169.214910 kBT
3gcaA_M450.pdb     -161.684054 kBT
3gcaA_M43.pdb     -165.465303 kBT
3gcaA_M91.pdb     -171.234866 kBT
3gcaA_M405.pdb     -149.509479 kBT
3gcaA_M103.pdb     -173.309710 kBT
3gcaA_M282.pdb     -154.724755 kBT
3gcaA_M371.pdb     -143.671982 kBT
3gcaA_M139.pdb     -151.081129 kBT
3gcaA_M265.pdb     -153.078147 kBT
3gcaA_M494.pdb     -144.433087 kBT
3gcaA_M187.pdb     -157.508896 kBT
3gcaA_M198.pdb     -141.350662 kBT
3gcaA_M249.pdb     -154.627654 kBT
3gcaA_M35.pdb     -159.035880 kBT
3gcaA_M335.pdb     -145.294067 kBT
3gcaA_M269.pdb     -140.297864 kBT
3gcaA_M459.pdb     -159.593127 kBT
3gcaA_M200.pdb     -158.994071 kBT
3gcaA_M342.pdb     -145.690206 kBT
3gcaA_M270.pdb     -166.773986 kBT
3gcaA_M26.pdb     -175.821801 kBT
3gcaA_M258.pdb     -157.465025 kBT
3gcaA_M204.pdb     -147.189172 kBT
3gcaA_M393.pdb     -159.130615 kBT
3gcaA_M146.pdb     -167.632123 kBT
3gcaA_M409.pdb     -149.911590 kBT
3gcaA_M398.pdb     -156.933867 kBT
3gcaA_M1.pdb     -173.796426 kBT
3gcaA_M286.pdb     -162.414689 kBT
3gcaA_M424.pdb     -144.444652 kBT
3gcaA_M13.pdb     -173.969955 kBT
3gcaA_M122.pdb     -173.008723 kBT
3gcaA_M481.pdb     -166.784354 kBT
3gcaA_M288.pdb     -161.045608 kBT
3gcaA_M74.pdb     -180.564915 kBT
3gcaA_M461.pdb     -152.808552 kBT
3gcaA_M233.pdb     -151.430097 kBT
3gcaA_M226.pdb     -169.446133 kBT
3gcaA_M138.pdb     -163.775260 kBT
3gcaA_M436.pdb     -155.131113 kBT
3gcaA_M125.pdb     -163.589975 kBT
3gcaA_M343.pdb     -155.532709 kBT
3gcaA_M34.pdb     -160.843645 kBT
3gcaA_M240.pdb     -153.255045 kBT
3gcaA_M215.pdb     -166.543128 kBT
3gcaA_M209.pdb     -163.738646 kBT
3gcaA_M312.pdb     -159.039118 kBT
3gcaA_M383.pdb     -158.558924 kBT
3gcaA_M396.pdb     -153.841316 kBT
3gcaA_M148.pdb     -151.984136 kBT
3gcaA_M203.pdb     -174.519067 kBT
3gcaA_M447.pdb     -150.923162 kBT
3gcaA_M53.pdb     -162.378331 kBT
3gcaA_M431.pdb     -158.209205 kBT
3gcaA_M374.pdb     -164.177646 kBT
3gcaA_M390.pdb     -151.178611 kBT
3gcaA_M497.pdb     -163.525244 kBT
3gcaA_M273.pdb     -159.964817 kBT
3gcaA_M387.pdb     -142.023109 kBT
3gcaA_M131.pdb     -158.029023 kBT
3gcaA_M32.pdb     -167.651882 kBT
3gcaA_M121.pdb     -166.324764 kBT
3gcaA_M98.pdb     -164.851899 kBT
3gcaA_M261.pdb     -148.597410 kBT
3gcaA_M493.pdb     -162.717263 kBT
3gcaA_M464.pdb     -155.515625 kBT
3gcaA_M49.pdb     -170.224719 kBT
3gcaA_M482.pdb     -160.605809 kBT
3gcaA_M174.pdb     -150.197738 kBT
3gcaA_M42.pdb     -172.194738 kBT
3gcaA_M206.pdb     -158.354892 kBT
3gcaA_M205.pdb     -156.496996 kBT
3gcaA_M28.pdb     -162.890499 kBT
3gcaA_M227.pdb     -163.409885 kBT
3gcaA_M95.pdb     -161.249077 kBT
3gcaA_M474.pdb     -167.058034 kBT
3gcaA_M11.pdb     -172.438126 kBT
3gcaA_M423.pdb     -169.243514 kBT
3gcaA_M166.pdb     -175.788312 kBT
3gcaA_M20.pdb     -175.093965 kBT
3gcaA_M2.pdb     -173.211801 kBT
3gcaA_M69.pdb     -171.801127 kBT
3gcaA_M141.pdb     -155.821675 kBT
3gcaA_M259.pdb     -160.483892 kBT
3gcaA_M496.pdb     -170.967627 kBT
3gcaA_M353.pdb     -147.738938 kBT
3gcaA_M465.pdb     -161.194865 kBT
3gcaA_M67.pdb     -174.103506 kBT
3gcaA_M469.pdb     -145.984506 kBT
3gcaA_M92.pdb     -164.336752 kBT
3gcaA_M267.pdb     -161.732607 kBT
3gcaA_M443.pdb     -143.015787 kBT
3gcaA_M410.pdb     -147.605741 kBT
3gcaA_M435.pdb     -157.707323 kBT
3gcaA_M348.pdb     -150.844238 kBT
3gcaA_M76.pdb     -172.327130 kBT
3gcaA_M102.pdb     -175.681549 kBT
3gcaA_M129.pdb     -169.173963 kBT
3gcaA_M271.pdb     -159.652851 kBT
3gcaA_M372.pdb     -154.225699 kBT
3gcaA_M178.pdb     -163.295376 kBT
3gcaA_M116.pdb     -161.028294 kBT
3gcaA_M380.pdb     -150.027888 kBT
3gcaA_M276.pdb     -157.277281 kBT
3gcaA_M4.pdb     -171.950689 kBT
3gcaA_M9.pdb     -175.167178 kBT
3gcaA_M256.pdb     -163.410777 kBT
3gcaA_M296.pdb     -156.778823 kBT
3gcaA_M491.pdb     -154.069578 kBT
3gcaA_M64.pdb     -176.315430 kBT
3gcaA_M394.pdb     -162.107281 kBT
3gcaA_M248.pdb     -155.813886 kBT
3gcaA_M451.pdb     -144.319436 kBT
3gcaA_M134.pdb     -155.614838 kBT
3gcaA_M197.pdb     -152.852845 kBT
3gcaA_M39.pdb     -167.909571 kBT
3gcaA_M434.pdb     -161.171805 kBT
3gcaA_M60.pdb     -174.464589 kBT
3gcaA_M279.pdb     -156.251123 kBT
3gcaA_M72.pdb     -173.668679 kBT
3gcaA_M147.pdb     -160.912456 kBT
3gcaA_M118.pdb     -158.276690 kBT
3gcaA_M406.pdb     -146.073444 kBT
3gcaA_M234.pdb     -161.221169 kBT
3gcaA_M33.pdb     -172.649485 kBT
3gcaA_M323.pdb     -162.225934 kBT
3gcaA_M242.pdb     -153.557800 kBT
3gcaA_M442.pdb     -164.304831 kBT
3gcaA_M344.pdb     -164.333864 kBT
3gcaA_M161.pdb     -167.116823 kBT
3gcaA_M382.pdb     -161.605239 kBT
3gcaA_M220.pdb     -157.875811 kBT
3gcaA_M195.pdb     -165.045038 kBT
3gcaA_M480.pdb     -155.968844 kBT
3gcaA_M358.pdb     -166.379529 kBT
3gcaA_M257.pdb     -143.204540 kBT
3gcaA_M439.pdb     -154.341793 kBT
3gcaA_M331.pdb     -156.325447 kBT
3gcaA_M316.pdb     -156.657080 kBT
3gcaA_M414.pdb     -161.048147 kBT
3gcaA_M327.pdb     -154.400152 kBT
3gcaA_M319.pdb     -170.510954 kBT
3gcaA_M27.pdb     -166.473230 kBT
3gcaA_M368.pdb     -150.352522 kBT
3gcaA_M186.pdb     -163.239917 kBT
3gcaA_M110.pdb     -163.780140 kBT
3gcaA_M361.pdb     -147.648474 kBT
3gcaA_M237.pdb     -172.215104 kBT
3gcaA_M31.pdb     -166.585671 kBT
3gcaA_M196.pdb     -146.874071 kBT
3gcaA_M101.pdb     -178.998418 kBT
3gcaA_M228.pdb     -157.868333 kBT
3gcaA_M171.pdb     -165.973964 kBT
3gcaA_M253.pdb     -146.916271 kBT
3gcaA_M329.pdb     -164.175930 kBT
3gcaA_M305.pdb     -179.487488 kBT
3gcaA_M211.pdb     -163.831791 kBT
3gcaA_M142.pdb     -163.965626 kBT
3gcaA_M302.pdb     -157.289969 kBT
3gcaA_M85.pdb     -181.261889 kBT
3gcaA_M478.pdb     -144.374984 kBT
3gcaA_M188.pdb     -162.586948 kBT
3gcaA_M310.pdb     -141.082561 kBT
3gcaA_M112.pdb     -163.727523 kBT
3gcaA_M143.pdb     -158.347096 kBT
3gcaA_M376.pdb     -150.920114 kBT
3gcaA_M140.pdb     -163.903970 kBT
3gcaA_M299.pdb     -146.338711 kBT
