2anrB_M23.pdb     -113.713929 kBT
2anrB_M334.pdb     -97.662037 kBT
2anrB_M188.pdb     -105.968492 kBT
2anrB.pdb     -141.093531 kBT
2anrB_M255.pdb     -102.182522 kBT
2anrB_M435.pdb     -111.357455 kBT
2anrB_M344.pdb     -94.788923 kBT
2anrB_M122.pdb     -113.834717 kBT
2anrB_M211.pdb     -116.740824 kBT
2anrB_M408.pdb     -108.816601 kBT
2anrB_M233.pdb     -92.879656 kBT
2anrB_M452.pdb     -87.685553 kBT
2anrB_M430.pdb     -86.859574 kBT
2anrB_M115.pdb     -100.825462 kBT
2anrB_M327.pdb     -108.023581 kBT
2anrB_M17.pdb     -129.829991 kBT
2anrB_M116.pdb     -105.403320 kBT
2anrB_M316.pdb     -108.875649 kBT
2anrB_M366.pdb     -92.874711 kBT
2anrB_M411.pdb     -107.444788 kBT
2anrB_M420.pdb     -99.457855 kBT
2anrB_M3.pdb     -125.034736 kBT
2anrB_M198.pdb     -96.196810 kBT
2anrB_M368.pdb     -103.836285 kBT
2anrB_M62.pdb     -111.968190 kBT
2anrB_M282.pdb     -98.374700 kBT
2anrB_M460.pdb     -108.157083 kBT
2anrB_M208.pdb     -116.277023 kBT
2anrB_M412.pdb     -102.245344 kBT
2anrB_M473.pdb     -100.841698 kBT
2anrB_M369.pdb     -107.431557 kBT
2anrB_M370.pdb     -111.496309 kBT
2anrB_M423.pdb     -69.093039 kBT
2anrB_M268.pdb     -104.480697 kBT
2anrB_M271.pdb     -108.989629 kBT
2anrB_M349.pdb     -103.902683 kBT
2anrB_M305.pdb     -87.564589 kBT
2anrB_M121.pdb     -103.767736 kBT
2anrB_M94.pdb     -91.843903 kBT
2anrB_M26.pdb     -110.568667 kBT
2anrB_M226.pdb     -98.258228 kBT
2anrB_M295.pdb     -108.661991 kBT
2anrB_M234.pdb     -100.590340 kBT
2anrB_M294.pdb     -102.750351 kBT
2anrB_M326.pdb     -100.293176 kBT
2anrB_M392.pdb     -107.454590 kBT
2anrB_M139.pdb     -116.819324 kBT
2anrB_M167.pdb     -101.748227 kBT
2anrB_M117.pdb     -100.927261 kBT
2anrB_M2.pdb     -123.317513 kBT
2anrB_M172.pdb     -126.783196 kBT
2anrB_M414.pdb     -107.093441 kBT
2anrB_M362.pdb     -107.025144 kBT
2anrB_M397.pdb     -94.132426 kBT
2anrB_M338.pdb     -107.606415 kBT
2anrB_M79.pdb     -106.071492 kBT
2anrB_M207.pdb     -110.276983 kBT
2anrB_M498.pdb     -100.782774 kBT
2anrB_M71.pdb     -111.773466 kBT
2anrB_M395.pdb     -111.022452 kBT
2anrB_M129.pdb     -102.555327 kBT
2anrB_M373.pdb     -100.934030 kBT
2anrB_M372.pdb     -118.758967 kBT
2anrB_M249.pdb     -101.029860 kBT
2anrB_M29.pdb     -110.692375 kBT
2anrB_M464.pdb     -105.618735 kBT
2anrB_M123.pdb     -109.695888 kBT
2anrB_M171.pdb     -110.917884 kBT
2anrB_M350.pdb     -114.128245 kBT
2anrB_M403.pdb     -112.800820 kBT
2anrB_M306.pdb     -97.076607 kBT
2anrB_M197.pdb     -100.388766 kBT
2anrB_M19.pdb     -122.228405 kBT
2anrB_M311.pdb     -87.299256 kBT
2anrB_M308.pdb     -92.008266 kBT
2anrB_M257.pdb     -112.539284 kBT
2anrB_M354.pdb     -100.607488 kBT
2anrB_M91.pdb     -103.013074 kBT
2anrB_M379.pdb     -105.803385 kBT
2anrB_M96.pdb     -98.260952 kBT
2anrB_M387.pdb     -103.930876 kBT
2anrB_M438.pdb     -101.488847 kBT
2anrB_M492.pdb     -104.552248 kBT
2anrB_M441.pdb     -100.429613 kBT
2anrB_M425.pdb     -99.419580 kBT
2anrB_M164.pdb     -107.729537 kBT
2anrB_M353.pdb     -102.277529 kBT
2anrB_M14.pdb     -125.549475 kBT
2anrB_M314.pdb     -100.140162 kBT
2anrB_M321.pdb     -89.437279 kBT
2anrB_M178.pdb     -102.137503 kBT
2anrB_M228.pdb     -111.796961 kBT
2anrB_M293.pdb     -104.330846 kBT
2anrB_M85.pdb     -120.800239 kBT
2anrB_M300.pdb     -93.044583 kBT
2anrB_M161.pdb     -103.293190 kBT
2anrB_M329.pdb     -110.146332 kBT
2anrB_M84.pdb     -114.545781 kBT
2anrB_M162.pdb     -99.025728 kBT
2anrB_M216.pdb     -101.653369 kBT
2anrB_M70.pdb     -105.229635 kBT
2anrB_M67.pdb     -101.469474 kBT
2anrB_M18.pdb     -124.363090 kBT
2anrB_M99.pdb     -101.158166 kBT
2anrB_M359.pdb     -99.289533 kBT
2anrB_M209.pdb     -111.214710 kBT
2anrB_M357.pdb     -115.997700 kBT
2anrB_M298.pdb     -112.310190 kBT
2anrB_M358.pdb     -94.629170 kBT
2anrB_M433.pdb     -102.104825 kBT
2anrB_M283.pdb     -103.176521 kBT
2anrB_M232.pdb     -112.782918 kBT
2anrB_M449.pdb     -95.244745 kBT
2anrB_M278.pdb     -112.232075 kBT
2anrB_M386.pdb     -105.505268 kBT
2anrB_M76.pdb     -109.528873 kBT
2anrB_M81.pdb     -114.284141 kBT
2anrB_M287.pdb     -103.863136 kBT
2anrB_M337.pdb     -86.531190 kBT
2anrB_M444.pdb     -98.440883 kBT
2anrB_M478.pdb     -105.410633 kBT
2anrB_M262.pdb     -101.666163 kBT
2anrB_M9.pdb     -126.533892 kBT
2anrB_M132.pdb     -108.335545 kBT
2anrB_M304.pdb     -91.837481 kBT
2anrB_M212.pdb     -116.112573 kBT
2anrB_M486.pdb     -92.106979 kBT
2anrB_M396.pdb     -101.967565 kBT
2anrB_M248.pdb     -90.836804 kBT
2anrB_M145.pdb     -106.887845 kBT
2anrB_M410.pdb     -103.983238 kBT
2anrB_M180.pdb     -106.006126 kBT
2anrB_M431.pdb     -106.872966 kBT
2anrB_M165.pdb     -110.834742 kBT
2anrB_M451.pdb     -81.360878 kBT
2anrB_M440.pdb     -91.470918 kBT
2anrB_M324.pdb     -109.396411 kBT
2anrB_M274.pdb     -103.266203 kBT
2anrB_M263.pdb     -104.414025 kBT
2anrB_M279.pdb     -98.552899 kBT
2anrB_M241.pdb     -94.962086 kBT
2anrB_M493.pdb     -94.940209 kBT
2anrB_M496.pdb     -102.390407 kBT
2anrB_M155.pdb     -102.242119 kBT
2anrB_M173.pdb     -105.644727 kBT
2anrB_M4.pdb     -123.014686 kBT
2anrB_M185.pdb     -105.185854 kBT
2anrB_M301.pdb     -98.561903 kBT
2anrB_M258.pdb     -114.591802 kBT
2anrB_M92.pdb     -103.694215 kBT
2anrB_M426.pdb     -101.140101 kBT
2anrB_M74.pdb     -110.439886 kBT
2anrB_M177.pdb     -88.270055 kBT
2anrB_M220.pdb     -109.790414 kBT
2anrB_M179.pdb     -104.948942 kBT
2anrB_M393.pdb     -97.841432 kBT
2anrB_M16.pdb     -116.600647 kBT
2anrB_M21.pdb     -122.479248 kBT
2anrB_M445.pdb     -79.258519 kBT
2anrB_M45.pdb     -107.289597 kBT
2anrB_M382.pdb     -98.385850 kBT
2anrB_M183.pdb     -120.237024 kBT
2anrB_M42.pdb     -115.222718 kBT
2anrB_M267.pdb     -99.945413 kBT
2anrB_M56.pdb     -113.078351 kBT
2anrB_M253.pdb     -109.707796 kBT
2anrB_M97.pdb     -113.799195 kBT
2anrB_M405.pdb     -105.587845 kBT
2anrB_M330.pdb     -95.492870 kBT
2anrB_M340.pdb     -89.839180 kBT
2anrB_M59.pdb     -107.388536 kBT
2anrB_M75.pdb     -104.778278 kBT
2anrB_M120.pdb     -115.379379 kBT
2anrB_M12.pdb     -123.143559 kBT
2anrB_M125.pdb     -103.840412 kBT
2anrB_M363.pdb     -88.156489 kBT
2anrB_M347.pdb     -98.440590 kBT
2anrB_M73.pdb     -117.537074 kBT
2anrB_M184.pdb     -102.951534 kBT
2anrB_M260.pdb     -102.262900 kBT
2anrB_M238.pdb     -102.371065 kBT
2anrB_M64.pdb     -109.672021 kBT
2anrB_M429.pdb     -85.420867 kBT
2anrB_M28.pdb     -114.351693 kBT
2anrB_M170.pdb     -103.809119 kBT
2anrB_M341.pdb     -107.172739 kBT
2anrB_M36.pdb     -114.346322 kBT
2anrB_M418.pdb     -86.505966 kBT
2anrB_M200.pdb     -105.091464 kBT
2anrB_M235.pdb     -99.260669 kBT
2anrB_M24.pdb     -121.735779 kBT
2anrB_M203.pdb     -106.359902 kBT
2anrB_M376.pdb     -101.006747 kBT
2anrB_M239.pdb     -97.574361 kBT
2anrB_M500.pdb     -88.758587 kBT
2anrB_M133.pdb     -103.308376 kBT
2anrB_M44.pdb     -109.206164 kBT
2anrB_M450.pdb     -108.529902 kBT
2anrB_M272.pdb     -102.021166 kBT
2anrB_M250.pdb     -102.381640 kBT
2anrB_M436.pdb     -86.916413 kBT
2anrB_M77.pdb     -97.632129 kBT
2anrB_M136.pdb     -98.844756 kBT
2anrB_M127.pdb     -103.560808 kBT
2anrB_M146.pdb     -104.406684 kBT
2anrB_M187.pdb     -109.748182 kBT
2anrB_M1.pdb     -123.383366 kBT
2anrB_M276.pdb     -96.280198 kBT
2anrB_M343.pdb     -90.737402 kBT
2anrB_M113.pdb     -108.160421 kBT
2anrB_M32.pdb     -117.953943 kBT
2anrB_M101.pdb     -113.771359 kBT
2anrB_M374.pdb     -91.131558 kBT
2anrB_M174.pdb     -101.009934 kBT
2anrB_M223.pdb     -116.789054 kBT
2anrB_M219.pdb     -104.928783 kBT
2anrB_M60.pdb     -112.517045 kBT
2anrB_M27.pdb     -112.735588 kBT
2anrB_M313.pdb     -93.143297 kBT
2anrB_M296.pdb     -114.739611 kBT
2anrB_M58.pdb     -100.218456 kBT
2anrB_M152.pdb     -105.216023 kBT
2anrB_M480.pdb     -118.458787 kBT
2anrB_M309.pdb     -104.310053 kBT
2anrB_M312.pdb     -101.033922 kBT
2anrB_M307.pdb     -101.375303 kBT
2anrB_M82.pdb     -114.184097 kBT
2anrB_M229.pdb     -104.412302 kBT
2anrB_M78.pdb     -108.555145 kBT
2anrB_M150.pdb     -111.219444 kBT
2anrB_M495.pdb     -108.039375 kBT
2anrB_M455.pdb     -103.281056 kBT
2anrB_M409.pdb     -89.153827 kBT
2anrB_M100.pdb     -109.035501 kBT
2anrB_M355.pdb     -109.141985 kBT
2anrB_M39.pdb     -115.394569 kBT
2anrB_M142.pdb     -104.093071 kBT
2anrB_M289.pdb     -101.566854 kBT
2anrB_M459.pdb     -104.044623 kBT
2anrB_M322.pdb     -82.543411 kBT
2anrB_M22.pdb     -115.286813 kBT
2anrB_M432.pdb     -98.370473 kBT
2anrB_M246.pdb     -110.872530 kBT
2anrB_M470.pdb     -97.628512 kBT
2anrB_M55.pdb     -115.232732 kBT
2anrB_M190.pdb     -96.326407 kBT
2anrB_M98.pdb     -113.251725 kBT
2anrB_M151.pdb     -99.531521 kBT
2anrB_M199.pdb     -107.918480 kBT
2anrB_M124.pdb     -114.913789 kBT
2anrB_M360.pdb     -98.918248 kBT
2anrB_M345.pdb     -104.614722 kBT
2anrB_M265.pdb     -114.993255 kBT
2anrB_M102.pdb     -105.198344 kBT
2anrB_M266.pdb     -100.178777 kBT
2anrB_M406.pdb     -104.933529 kBT
2anrB_M225.pdb     -108.332306 kBT
2anrB_M108.pdb     -101.775404 kBT
2anrB_M483.pdb     -93.121482 kBT
2anrB_M469.pdb     -79.096039 kBT
2anrB_M5.pdb     -127.158878 kBT
2anrB_M446.pdb     -88.925275 kBT
2anrB_M90.pdb     -111.251816 kBT
2anrB_M434.pdb     -98.647610 kBT
2anrB_M348.pdb     -92.242456 kBT
2anrB_M140.pdb     -107.435882 kBT
2anrB_M93.pdb     -97.897755 kBT
2anrB_M497.pdb     -114.181890 kBT
2anrB_M15.pdb     -126.107865 kBT
2anrB_M54.pdb     -104.750471 kBT
2anrB_M346.pdb     -104.159099 kBT
2anrB_M192.pdb     -107.718409 kBT
2anrB_M224.pdb     -121.325344 kBT
2anrB_M157.pdb     -103.282344 kBT
2anrB_M111.pdb     -101.318580 kBT
2anrB_M328.pdb     -104.590634 kBT
2anrB_M231.pdb     -120.059583 kBT
2anrB_M204.pdb     -111.691936 kBT
2anrB_M482.pdb     -94.102175 kBT
2anrB_M484.pdb     -97.068149 kBT
2anrB_M144.pdb     -106.884338 kBT
2anrB_M275.pdb     -100.359390 kBT
2anrB_M462.pdb     -94.104448 kBT
2anrB_M20.pdb     -120.461517 kBT
2anrB_M158.pdb     -101.980600 kBT
2anrB_M453.pdb     -102.244355 kBT
2anrB_M245.pdb     -102.158703 kBT
2anrB_M442.pdb     -86.722882 kBT
2anrB_M126.pdb     -106.018944 kBT
2anrB_M169.pdb     -111.756534 kBT
2anrB_M119.pdb     -106.588135 kBT
2anrB_M456.pdb     -101.650192 kBT
2anrB_M181.pdb     -100.210897 kBT
2anrB_M88.pdb     -113.723179 kBT
2anrB_M404.pdb     -121.828934 kBT
2anrB_M7.pdb     -125.818526 kBT
2anrB_M467.pdb     -82.083728 kBT
2anrB_M273.pdb     -107.273369 kBT
2anrB_M195.pdb     -95.316895 kBT
2anrB_M391.pdb     -103.035105 kBT
2anrB_M46.pdb     -113.380920 kBT
2anrB_M30.pdb     -112.525424 kBT
2anrB_M427.pdb     -111.479345 kBT
2anrB_M215.pdb     -90.000858 kBT
2anrB_M320.pdb     -113.610372 kBT
2anrB_M213.pdb     -98.633358 kBT
2anrB_M236.pdb     -118.204416 kBT
2anrB_M168.pdb     -106.266192 kBT
2anrB_M34.pdb     -108.722724 kBT
2anrB_M143.pdb     -117.450558 kBT
2anrB_M407.pdb     -108.824261 kBT
2anrB_M80.pdb     -97.132747 kBT
2anrB_M351.pdb     -98.992192 kBT
2anrB_M48.pdb     -102.917391 kBT
2anrB_M95.pdb     -121.744909 kBT
2anrB_M191.pdb     -104.815872 kBT
2anrB_M280.pdb     -115.821150 kBT
2anrB_M421.pdb     -89.282384 kBT
2anrB_M290.pdb     -117.563897 kBT
2anrB_M153.pdb     -106.773738 kBT
2anrB_M291.pdb     -105.724301 kBT
2anrB_M247.pdb     -101.048628 kBT
2anrB_M303.pdb     -98.560321 kBT
2anrB_M193.pdb     -94.294783 kBT
2anrB_M447.pdb     -108.769397 kBT
2anrB_M109.pdb     -102.048555 kBT
2anrB_M364.pdb     -100.375492 kBT
2anrB_M205.pdb     -104.144649 kBT
2anrB_M134.pdb     -104.782698 kBT
2anrB_M400.pdb     -95.153453 kBT
2anrB_M264.pdb     -109.304306 kBT
2anrB_M118.pdb     -106.134200 kBT
2anrB_M103.pdb     -110.470210 kBT
2anrB_M465.pdb     -98.732299 kBT
2anrB_M237.pdb     -106.849503 kBT
2anrB_M377.pdb     -98.823719 kBT
2anrB_M332.pdb     -103.869178 kBT
2anrB_M240.pdb     -96.390534 kBT
2anrB_M398.pdb     -108.191701 kBT
2anrB_M378.pdb     -95.423609 kBT
2anrB_M69.pdb     -115.501170 kBT
2anrB_M154.pdb     -107.755960 kBT
2anrB_M437.pdb     -98.411857 kBT
2anrB_M176.pdb     -113.241597 kBT
2anrB_M399.pdb     -86.402131 kBT
2anrB_M443.pdb     -106.688073 kBT
2anrB_M352.pdb     -96.167634 kBT
2anrB_M130.pdb     -101.801491 kBT
2anrB_M210.pdb     -105.546677 kBT
2anrB_M375.pdb     -93.441911 kBT
2anrB_M490.pdb     -114.985502 kBT
2anrB_M315.pdb     -93.911646 kBT
2anrB_M40.pdb     -115.845582 kBT
2anrB_M50.pdb     -103.823934 kBT
2anrB_M457.pdb     -98.551144 kBT
2anrB_M86.pdb     -101.642321 kBT
2anrB_M472.pdb     -72.996372 kBT
2anrB_M89.pdb     -102.790686 kBT
2anrB_M243.pdb     -86.734675 kBT
2anrB_M147.pdb     -102.349374 kBT
2anrB_M87.pdb     -108.586120 kBT
2anrB_M135.pdb     -104.551454 kBT
2anrB_M242.pdb     -105.925691 kBT
2anrB_M389.pdb     -101.116534 kBT
2anrB_M38.pdb     -113.244096 kBT
2anrB_M385.pdb     -96.346289 kBT
2anrB_M336.pdb     -102.493517 kBT
2anrB_M381.pdb     -108.370875 kBT
2anrB_M428.pdb     -99.750918 kBT
2anrB_M43.pdb     -112.626527 kBT
2anrB_M416.pdb     -94.977573 kBT
2anrB_M325.pdb     -110.320513 kBT
2anrB_M331.pdb     -103.722927 kBT
2anrB_M284.pdb     -100.498788 kBT
2anrB_M285.pdb     -127.010821 kBT
2anrB_M57.pdb     -101.548191 kBT
2anrB_M390.pdb     -89.875397 kBT
2anrB_M292.pdb     -106.862006 kBT
2anrB_M31.pdb     -124.123284 kBT
2anrB_M319.pdb     -112.933555 kBT
2anrB_M259.pdb     -103.065009 kBT
2anrB_M413.pdb     -83.822414 kBT
2anrB_M156.pdb     -103.843065 kBT
2anrB_M149.pdb     -110.234238 kBT
2anrB_M107.pdb     -111.153995 kBT
2anrB_M468.pdb     -99.519452 kBT
2anrB_M63.pdb     -111.780120 kBT
2anrB_M270.pdb     -94.124743 kBT
2anrB_M461.pdb     -102.583478 kBT
2anrB_M160.pdb     -108.585397 kBT
2anrB_M454.pdb     -104.183887 kBT
2anrB_M33.pdb     -113.147927 kBT
2anrB_M252.pdb     -102.020948 kBT
2anrB_M365.pdb     -98.597858 kBT
2anrB_M463.pdb     -97.651517 kBT
2anrB_M227.pdb     -96.377096 kBT
2anrB_M148.pdb     -114.270179 kBT
2anrB_M417.pdb     -99.171484 kBT
2anrB_M61.pdb     -113.378842 kBT
2anrB_M166.pdb     -103.159273 kBT
2anrB_M424.pdb     -109.762587 kBT
2anrB_M339.pdb     -98.352658 kBT
2anrB_M448.pdb     -102.060346 kBT
2anrB_M499.pdb     -81.767904 kBT
2anrB_M10.pdb     -131.259000 kBT
2anrB_M159.pdb     -109.160280 kBT
2anrB_M11.pdb     -128.524438 kBT
2anrB_M41.pdb     -113.467645 kBT
2anrB_M186.pdb     -102.727281 kBT
2anrB_M471.pdb     -104.429475 kBT
2anrB_M487.pdb     -84.631992 kBT
2anrB_M53.pdb     -106.786264 kBT
2anrB_M222.pdb     -95.258548 kBT
2anrB_M175.pdb     -102.419738 kBT
2anrB_M256.pdb     -98.770325 kBT
2anrB_M481.pdb     -111.847530 kBT
2anrB_M371.pdb     -91.377537 kBT
2anrB_M488.pdb     -88.690769 kBT
2anrB_M104.pdb     -107.641388 kBT
2anrB_M105.pdb     -93.771686 kBT
2anrB_M194.pdb     -115.377087 kBT
2anrB_M52.pdb     -114.069108 kBT
2anrB_M138.pdb     -114.773936 kBT
2anrB_M254.pdb     -100.168656 kBT
2anrB_M474.pdb     -81.917689 kBT
2anrB_M384.pdb     -108.447371 kBT
2anrB_M476.pdb     -94.525433 kBT
2anrB_M367.pdb     -101.228546 kBT
2anrB_M281.pdb     -109.796586 kBT
2anrB_M489.pdb     -91.001830 kBT
2anrB_M333.pdb     -97.676820 kBT
2anrB_M8.pdb     -124.916660 kBT
2anrB_M196.pdb     -101.730750 kBT
2anrB_M356.pdb     -103.066587 kBT
2anrB_M439.pdb     -93.289724 kBT
2anrB_M114.pdb     -100.269530 kBT
2anrB_M221.pdb     -106.691380 kBT
2anrB_M201.pdb     -106.738239 kBT
2anrB_M380.pdb     -88.796892 kBT
2anrB_M110.pdb     -110.342114 kBT
2anrB_M37.pdb     -119.135004 kBT
