1a9nR_M422.pdb     -104.087213 kBT
1a9nR_M182.pdb     -98.246564 kBT
1a9nR_M477.pdb     -109.656393 kBT
1a9nR_M66.pdb     -94.859372 kBT
1a9nR_M67.pdb     -92.723584 kBT
1a9nR_M228.pdb     -98.586595 kBT
1a9nR_M84.pdb     -81.232425 kBT
1a9nR_M391.pdb     -100.289296 kBT
1a9nR_M222.pdb     -106.735393 kBT
1a9nR_M10.pdb     -100.893646 kBT
1a9nR_M73.pdb     -93.018821 kBT
1a9nR_M149.pdb     -98.107900 kBT
1a9nR_M76.pdb     -109.952683 kBT
1a9nR_M214.pdb     -96.144326 kBT
1a9nR_M122.pdb     -88.312622 kBT
1a9nR_M313.pdb     -105.514711 kBT
1a9nR_M467.pdb     -77.579320 kBT
1a9nR_M29.pdb     -96.401447 kBT
1a9nR_M284.pdb     -105.287798 kBT
1a9nR_M299.pdb     -79.191090 kBT
1a9nR_M44.pdb     -87.315077 kBT
1a9nR_M35.pdb     -91.213789 kBT
1a9nR_M147.pdb     -94.554748 kBT
1a9nR_M447.pdb     -100.710519 kBT
1a9nR_M133.pdb     -104.787069 kBT
1a9nR_M476.pdb     -83.193694 kBT
1a9nR_M269.pdb     -108.153086 kBT
1a9nR_M275.pdb     -85.995349 kBT
1a9nR_M376.pdb     -106.686198 kBT
1a9nR_M471.pdb     -99.190912 kBT
1a9nR_M367.pdb     -95.595182 kBT
1a9nR_M409.pdb     -99.630069 kBT
1a9nR_M353.pdb     -92.154192 kBT
1a9nR_M126.pdb     -95.864010 kBT
1a9nR_M142.pdb     -67.794682 kBT
1a9nR_M37.pdb     -89.792716 kBT
1a9nR_M365.pdb     -70.708227 kBT
1a9nR_M143.pdb     -76.066528 kBT
1a9nR_M59.pdb     -81.789326 kBT
1a9nR_M499.pdb     -90.954542 kBT
1a9nR_M256.pdb     -59.794756 kBT
1a9nR_M188.pdb     -93.473092 kBT
1a9nR_M301.pdb     -105.802406 kBT
1a9nR_M157.pdb     -95.228861 kBT
1a9nR_M306.pdb     -97.287506 kBT
1a9nR_M198.pdb     -99.902143 kBT
1a9nR_M417.pdb     -75.860166 kBT
1a9nR_M79.pdb     -84.527593 kBT
1a9nR_M21.pdb     -98.234285 kBT
1a9nR_M305.pdb     -65.264080 kBT
1a9nR_M127.pdb     -92.395123 kBT
1a9nR_M361.pdb     -83.949264 kBT
1a9nR_M351.pdb     -73.257422 kBT
1a9nR_M478.pdb     -120.970592 kBT
1a9nR_M252.pdb     -111.149970 kBT
1a9nR_M239.pdb     -105.178964 kBT
1a9nR_M466.pdb     -95.797686 kBT
1a9nR_M336.pdb     -89.385079 kBT
1a9nR_M64.pdb     -92.937925 kBT
1a9nR_M323.pdb     -75.923135 kBT
1a9nR_M226.pdb     -98.642954 kBT
1a9nR_M54.pdb     -91.395469 kBT
1a9nR_M223.pdb     -98.311136 kBT
1a9nR_M458.pdb     -100.496288 kBT
1a9nR_M288.pdb     -98.463247 kBT
1a9nR_M385.pdb     -107.467626 kBT
1a9nR_M359.pdb     -88.632084 kBT
1a9nR_M13.pdb     -103.970687 kBT
1a9nR_M434.pdb     -87.058473 kBT
1a9nR_M172.pdb     -96.734776 kBT
1a9nR_M276.pdb     -107.828479 kBT
1a9nR_M411.pdb     -85.802130 kBT
1a9nR_M311.pdb     -96.974061 kBT
1a9nR_M459.pdb     -97.331262 kBT
1a9nR_M449.pdb     -95.963207 kBT
1a9nR_M174.pdb     -100.996385 kBT
1a9nR_M104.pdb     -89.993860 kBT
1a9nR_M457.pdb     -98.425757 kBT
1a9nR_M390.pdb     -97.644182 kBT
1a9nR_M148.pdb     -87.893077 kBT
1a9nR_M70.pdb     -74.617370 kBT
1a9nR_M237.pdb     -86.589945 kBT
1a9nR_M227.pdb     -95.090713 kBT
1a9nR_M442.pdb     -106.364077 kBT
1a9nR_M14.pdb     -87.445980 kBT
1a9nR_M355.pdb     -103.267859 kBT
1a9nR_M215.pdb     -98.687270 kBT
1a9nR_M303.pdb     -96.870674 kBT
1a9nR_M12.pdb     -96.707091 kBT
1a9nR_M407.pdb     -86.550991 kBT
1a9nR_M220.pdb     -94.191088 kBT
1a9nR_M441.pdb     -100.464142 kBT
1a9nR_M383.pdb     -88.445197 kBT
1a9nR_M5.pdb     -98.059585 kBT
1a9nR_M320.pdb     -111.976590 kBT
1a9nR_M325.pdb     -108.047629 kBT
1a9nR_M55.pdb     -83.454299 kBT
1a9nR_M308.pdb     -103.091346 kBT
1a9nR_M381.pdb     -86.541627 kBT
1a9nR_M207.pdb     -90.071652 kBT
1a9nR_M3.pdb     -96.584194 kBT
1a9nR_M408.pdb     -98.302459 kBT
1a9nR_M401.pdb     -86.079166 kBT
1a9nR_M356.pdb     -93.354173 kBT
1a9nR_M178.pdb     -90.079901 kBT
1a9nR_M159.pdb     -84.143064 kBT
1a9nR_M494.pdb     -89.650302 kBT
1a9nR_M454.pdb     -100.360985 kBT
1a9nR_M235.pdb     -84.575554 kBT
1a9nR_M101.pdb     -103.965941 kBT
1a9nR_M405.pdb     -103.471037 kBT
1a9nR_M433.pdb     -104.662528 kBT
1a9nR_M19.pdb     -93.270287 kBT
1a9nR_M203.pdb     -120.765832 kBT
1a9nR_M58.pdb     -85.148015 kBT
1a9nR_M344.pdb     -85.320289 kBT
1a9nR_M461.pdb     -74.168135 kBT
1a9nR_M63.pdb     -97.201786 kBT
1a9nR_M319.pdb     -93.981414 kBT
1a9nR_M22.pdb     -86.763570 kBT
1a9nR_M380.pdb     -83.876404 kBT
1a9nR_M462.pdb     -97.464739 kBT
1a9nR_M455.pdb     -87.797617 kBT
1a9nR_M175.pdb     -96.483935 kBT
1a9nR_M27.pdb     -105.243968 kBT
1a9nR_M364.pdb     -90.918724 kBT
1a9nR_M32.pdb     -101.665377 kBT
1a9nR_M181.pdb     -89.983676 kBT
1a9nR_M346.pdb     -108.042863 kBT
1a9nR_M229.pdb     -89.529119 kBT
1a9nR_M354.pdb     -99.358416 kBT
1a9nR_M378.pdb     -88.563790 kBT
1a9nR_M340.pdb     -78.291566 kBT
1a9nR_M429.pdb     -85.123353 kBT
1a9nR_M495.pdb     -93.827167 kBT
1a9nR_M369.pdb     -87.286842 kBT
1a9nR_M331.pdb     -88.293441 kBT
1a9nR_M209.pdb     -83.537642 kBT
1a9nR_M416.pdb     -93.683306 kBT
1a9nR_M412.pdb     -87.977728 kBT
1a9nR_M77.pdb     -82.462838 kBT
1a9nR_M100.pdb     -92.048779 kBT
1a9nR_M246.pdb     -82.802870 kBT
1a9nR_M283.pdb     -90.547249 kBT
1a9nR_M486.pdb     -91.879756 kBT
1a9nR_M165.pdb     -94.896933 kBT
1a9nR_M314.pdb     -93.728601 kBT
1a9nR_M472.pdb     -88.707496 kBT
1a9nR_M145.pdb     -80.918192 kBT
1a9nR_M111.pdb     -91.749760 kBT
1a9nR_M349.pdb     -94.188817 kBT
1a9nR_M86.pdb     -88.522852 kBT
1a9nR_M316.pdb     -89.177740 kBT
1a9nR_M396.pdb     -108.902538 kBT
1a9nR_M318.pdb     -93.802344 kBT
1a9nR.pdb     -97.984373 kBT
1a9nR_M286.pdb     -91.178972 kBT
1a9nR_M158.pdb     -90.875505 kBT
1a9nR_M219.pdb     -93.675605 kBT
1a9nR_M192.pdb     -107.747361 kBT
1a9nR_M281.pdb     -90.925782 kBT
1a9nR_M97.pdb     -97.005219 kBT
1a9nR_M224.pdb     -98.256009 kBT
1a9nR_M335.pdb     -86.584059 kBT
1a9nR_M83.pdb     -96.575534 kBT
1a9nR_M341.pdb     -106.075638 kBT
1a9nR_M193.pdb     -96.189055 kBT
1a9nR_M463.pdb     -81.177240 kBT
1a9nR_M39.pdb     -99.685045 kBT
1a9nR_M213.pdb     -114.768581 kBT
1a9nR_M156.pdb     -92.364441 kBT
1a9nR_M231.pdb     -96.552137 kBT
1a9nR_M211.pdb     -116.964312 kBT
1a9nR_M177.pdb     -110.732480 kBT
1a9nR_M279.pdb     -91.106436 kBT
1a9nR_M33.pdb     -90.024224 kBT
1a9nR_M370.pdb     -116.542485 kBT
1a9nR_M75.pdb     -108.832353 kBT
1a9nR_M324.pdb     -97.210383 kBT
1a9nR_M250.pdb     -97.747859 kBT
1a9nR_M321.pdb     -76.376233 kBT
1a9nR_M162.pdb     -87.013207 kBT
1a9nR_M260.pdb     -91.951553 kBT
1a9nR_M465.pdb     -103.931177 kBT
1a9nR_M23.pdb     -100.394063 kBT
1a9nR_M132.pdb     -87.933913 kBT
1a9nR_M254.pdb     -88.874776 kBT
1a9nR_M399.pdb     -110.970426 kBT
1a9nR_M107.pdb     -105.695695 kBT
1a9nR_M151.pdb     -94.606498 kBT
1a9nR_M189.pdb     -107.672451 kBT
1a9nR_M179.pdb     -92.223435 kBT
1a9nR_M484.pdb     -71.873405 kBT
1a9nR_M240.pdb     -101.076730 kBT
1a9nR_M124.pdb     -90.016195 kBT
1a9nR_M266.pdb     -85.947376 kBT
1a9nR_M236.pdb     -99.385364 kBT
1a9nR_M138.pdb     -109.985949 kBT
1a9nR_M24.pdb     -86.920599 kBT
1a9nR_M347.pdb     -84.961774 kBT
1a9nR_M470.pdb     -88.692262 kBT
1a9nR_M78.pdb     -103.525386 kBT
1a9nR_M221.pdb     -111.670962 kBT
1a9nR_M161.pdb     -82.622310 kBT
1a9nR_M438.pdb     -102.305194 kBT
1a9nR_M52.pdb     -89.660409 kBT
1a9nR_M253.pdb     -107.019855 kBT
1a9nR_M332.pdb     -90.196096 kBT
1a9nR_M398.pdb     -96.836927 kBT
1a9nR_M312.pdb     -105.550189 kBT
1a9nR_M171.pdb     -86.900023 kBT
1a9nR_M460.pdb     -101.052747 kBT
1a9nR_M371.pdb     -93.314953 kBT
1a9nR_M424.pdb     -105.811559 kBT
1a9nR_M403.pdb     -82.286040 kBT
1a9nR_M451.pdb     -98.585398 kBT
1a9nR_M264.pdb     -97.098584 kBT
1a9nR_M232.pdb     -91.786827 kBT
1a9nR_M140.pdb     -96.931968 kBT
1a9nR_M120.pdb     -85.305253 kBT
1a9nR_M94.pdb     -99.366158 kBT
1a9nR_M491.pdb     -81.010069 kBT
1a9nR_M85.pdb     -92.902709 kBT
1a9nR_M410.pdb     -84.900771 kBT
1a9nR_M342.pdb     -117.309020 kBT
1a9nR_M274.pdb     -88.074602 kBT
1a9nR_M41.pdb     -102.227722 kBT
1a9nR_M272.pdb     -81.495637 kBT
1a9nR_M352.pdb     -86.696062 kBT
1a9nR_M421.pdb     -99.168356 kBT
1a9nR_M53.pdb     -93.488096 kBT
1a9nR_M489.pdb     -104.553387 kBT
1a9nR_M217.pdb     -96.778099 kBT
1a9nR_M317.pdb     -101.851208 kBT
1a9nR_M216.pdb     -102.401851 kBT
1a9nR_M280.pdb     -95.776957 kBT
1a9nR_M362.pdb     -97.906918 kBT
1a9nR_M98.pdb     -78.095242 kBT
1a9nR_M89.pdb     -88.708311 kBT
1a9nR_M40.pdb     -84.574609 kBT
1a9nR_M17.pdb     -98.867656 kBT
1a9nR_M307.pdb     -87.707603 kBT
1a9nR_M187.pdb     -106.466757 kBT
1a9nR_M197.pdb     -104.580897 kBT
1a9nR_M379.pdb     -91.681076 kBT
1a9nR_M339.pdb     -99.865469 kBT
1a9nR_M292.pdb     -107.897944 kBT
1a9nR_M285.pdb     -81.695446 kBT
1a9nR_M15.pdb     -97.630336 kBT
1a9nR_M493.pdb     -96.795837 kBT
1a9nR_M166.pdb     -104.405174 kBT
1a9nR_M186.pdb     -109.221278 kBT
1a9nR_M69.pdb     -88.411162 kBT
1a9nR_M102.pdb     -97.913747 kBT
1a9nR_M42.pdb     -94.334908 kBT
1a9nR_M146.pdb     -101.319883 kBT
1a9nR_M112.pdb     -95.772896 kBT
1a9nR_M82.pdb     -87.627660 kBT
1a9nR_M487.pdb     -103.267318 kBT
1a9nR_M11.pdb     -100.366392 kBT
1a9nR_M105.pdb     -90.922677 kBT
1a9nR_M297.pdb     -98.294657 kBT
1a9nR_M468.pdb     -94.102257 kBT
1a9nR_M248.pdb     -108.924393 kBT
1a9nR_M374.pdb     -94.393075 kBT
1a9nR_M103.pdb     -87.193179 kBT
1a9nR_M372.pdb     -109.205266 kBT
1a9nR_M263.pdb     -92.001723 kBT
1a9nR_M125.pdb     -106.477299 kBT
1a9nR_M273.pdb     -90.431515 kBT
1a9nR_M309.pdb     -111.923075 kBT
1a9nR_M7.pdb     -100.631869 kBT
1a9nR_M184.pdb     -87.671026 kBT
1a9nR_M333.pdb     -86.905692 kBT
1a9nR_M337.pdb     -112.138156 kBT
1a9nR_M259.pdb     -105.717002 kBT
1a9nR_M395.pdb     -101.714130 kBT
1a9nR_M244.pdb     -64.534878 kBT
1a9nR_M137.pdb     -94.009355 kBT
1a9nR_M16.pdb     -97.348312 kBT
1a9nR_M160.pdb     -83.510593 kBT
1a9nR_M4.pdb     -102.406288 kBT
1a9nR_M243.pdb     -96.375838 kBT
1a9nR_M481.pdb     -99.168893 kBT
1a9nR_M488.pdb     -91.699019 kBT
1a9nR_M30.pdb     -88.771571 kBT
1a9nR_M31.pdb     -91.766711 kBT
1a9nR_M427.pdb     -118.751192 kBT
1a9nR_M129.pdb     -113.495705 kBT
1a9nR_M464.pdb     -107.695125 kBT
1a9nR_M258.pdb     -120.595841 kBT
1a9nR_M345.pdb     -108.984598 kBT
1a9nR_M373.pdb     -75.568998 kBT
1a9nR_M278.pdb     -86.941545 kBT
1a9nR_M163.pdb     -93.657513 kBT
1a9nR_M368.pdb     -102.545251 kBT
1a9nR_M45.pdb     -82.222886 kBT
1a9nR_M330.pdb     -104.601471 kBT
1a9nR_M435.pdb     -92.653073 kBT
1a9nR_M304.pdb     -77.427154 kBT
1a9nR_M430.pdb     -112.765357 kBT
1a9nR_M453.pdb     -98.375957 kBT
1a9nR_M475.pdb     -92.325243 kBT
1a9nR_M87.pdb     -99.278480 kBT
1a9nR_M241.pdb     -108.071097 kBT
1a9nR_M296.pdb     -85.798724 kBT
1a9nR_M439.pdb     -91.985676 kBT
1a9nR_M350.pdb     -99.850208 kBT
1a9nR_M88.pdb     -93.676117 kBT
1a9nR_M448.pdb     -117.952682 kBT
1a9nR_M238.pdb     -90.546713 kBT
1a9nR_M436.pdb     -78.841394 kBT
1a9nR_M242.pdb     -97.670992 kBT
1a9nR_M377.pdb     -104.928373 kBT
1a9nR_M428.pdb     -106.913440 kBT
1a9nR_M150.pdb     -87.298722 kBT
1a9nR_M473.pdb     -85.545150 kBT
1a9nR_M420.pdb     -78.436458 kBT
1a9nR_M419.pdb     -57.489415 kBT
1a9nR_M343.pdb     -84.639167 kBT
1a9nR_M190.pdb     -106.054227 kBT
1a9nR_M191.pdb     -93.594295 kBT
1a9nR_M195.pdb     -102.907028 kBT
1a9nR_M485.pdb     -107.038127 kBT
1a9nR_M443.pdb     -118.927990 kBT
1a9nR_M123.pdb     -90.490851 kBT
1a9nR_M452.pdb     -95.131123 kBT
1a9nR_M397.pdb     -101.609449 kBT
1a9nR_M327.pdb     -102.080539 kBT
1a9nR_M34.pdb     -94.510461 kBT
1a9nR_M202.pdb     -98.201908 kBT
1a9nR_M282.pdb     -99.612520 kBT
1a9nR_M60.pdb     -101.784948 kBT
1a9nR_M432.pdb     -113.242461 kBT
1a9nR_M48.pdb     -87.111976 kBT
1a9nR_M128.pdb     -100.131284 kBT
1a9nR_M28.pdb     -90.298502 kBT
1a9nR_M108.pdb     -85.018932 kBT
1a9nR_M135.pdb     -97.614030 kBT
1a9nR_M57.pdb     -91.176612 kBT
1a9nR_M357.pdb     -71.580249 kBT
1a9nR_M180.pdb     -109.527669 kBT
1a9nR_M131.pdb     -75.339966 kBT
1a9nR_M74.pdb     -87.866071 kBT
1a9nR_M93.pdb     -93.776939 kBT
1a9nR_M375.pdb     -92.270778 kBT
1a9nR_M255.pdb     -87.235571 kBT
1a9nR_M363.pdb     -102.277717 kBT
1a9nR_M20.pdb     -94.507894 kBT
1a9nR_M414.pdb     -111.424207 kBT
1a9nR_M49.pdb     -81.684095 kBT
1a9nR_M199.pdb     -100.604153 kBT
1a9nR_M329.pdb     -77.403196 kBT
1a9nR_M118.pdb     -80.187519 kBT
1a9nR_M169.pdb     -102.570482 kBT
1a9nR_M38.pdb     -87.306723 kBT
1a9nR_M95.pdb     -109.355008 kBT
1a9nR_M170.pdb     -99.448677 kBT
1a9nR_M1.pdb     -100.870395 kBT
1a9nR_M109.pdb     -78.510819 kBT
1a9nR_M36.pdb     -95.582126 kBT
1a9nR_M116.pdb     -97.229741 kBT
1a9nR_M6.pdb     -101.690895 kBT
1a9nR_M431.pdb     -85.852349 kBT
1a9nR_M497.pdb     -80.582501 kBT
1a9nR_M50.pdb     -89.208792 kBT
1a9nR_M2.pdb     -100.225077 kBT
1a9nR_M185.pdb     -103.478105 kBT
1a9nR_M392.pdb     -68.097532 kBT
1a9nR_M257.pdb     -115.015186 kBT
1a9nR_M328.pdb     -89.473532 kBT
1a9nR_M204.pdb     -84.285006 kBT
1a9nR_M402.pdb     -89.078890 kBT
1a9nR_M271.pdb     -108.323540 kBT
1a9nR_M144.pdb     -91.109312 kBT
1a9nR_M46.pdb     -93.927463 kBT
1a9nR_M51.pdb     -103.090329 kBT
1a9nR_M62.pdb     -90.249531 kBT
1a9nR_M251.pdb     -97.104636 kBT
1a9nR_M81.pdb     -111.177291 kBT
1a9nR_M300.pdb     -109.029094 kBT
1a9nR_M249.pdb     -95.758628 kBT
1a9nR_M479.pdb     -84.929570 kBT
1a9nR_M277.pdb     -113.289798 kBT
1a9nR_M267.pdb     -79.530972 kBT
1a9nR_M230.pdb     -94.920187 kBT
1a9nR_M400.pdb     -60.723578 kBT
1a9nR_M384.pdb     -84.657174 kBT
1a9nR_M201.pdb     -79.451312 kBT
1a9nR_M121.pdb     -100.574858 kBT
1a9nR_M310.pdb     -124.983377 kBT
1a9nR_M387.pdb     -96.712401 kBT
1a9nR_M212.pdb     -87.929098 kBT
1a9nR_M406.pdb     -67.893468 kBT
1a9nR_M9.pdb     -96.601988 kBT
1a9nR_M483.pdb     -109.560799 kBT
1a9nR_M268.pdb     -96.032085 kBT
1a9nR_M295.pdb     -95.056982 kBT
1a9nR_M261.pdb     -108.867023 kBT
1a9nR_M389.pdb     -64.441127 kBT
1a9nR_M206.pdb     -102.270913 kBT
1a9nR_M233.pdb     -105.481767 kBT
1a9nR_M8.pdb     -102.415755 kBT
1a9nR_M110.pdb     -103.009599 kBT
1a9nR_M245.pdb     -101.477692 kBT
1a9nR_M139.pdb     -99.663028 kBT
1a9nR_M130.pdb     -115.096097 kBT
1a9nR_M289.pdb     -96.631731 kBT
1a9nR_M425.pdb     -107.176526 kBT
1a9nR_M302.pdb     -92.643544 kBT
1a9nR_M490.pdb     -73.154124 kBT
