1kuqB_M289.pdb     -186.086850 kBT
1kuqB_M474.pdb     -173.452058 kBT
1kuqB_M152.pdb     -187.709740 kBT
1kuqB_M444.pdb     -193.853596 kBT
1kuqB_M131.pdb     -187.540323 kBT
1kuqB_M242.pdb     -195.640072 kBT
1kuqB_M496.pdb     -196.810604 kBT
1kuqB_M463.pdb     -188.648439 kBT
1kuqB_M56.pdb     -211.643742 kBT
1kuqB_M431.pdb     -162.443003 kBT
1kuqB_M225.pdb     -188.912562 kBT
1kuqB_M370.pdb     -202.594237 kBT
1kuqB_M70.pdb     -208.018702 kBT
1kuqB_M498.pdb     -180.729825 kBT
1kuqB_M316.pdb     -180.390122 kBT
1kuqB_M329.pdb     -167.391022 kBT
1kuqB_M216.pdb     -180.508622 kBT
1kuqB_M132.pdb     -183.562169 kBT
1kuqB_M278.pdb     -184.810239 kBT
1kuqB_M424.pdb     -192.552579 kBT
1kuqB_M396.pdb     -193.816218 kBT
1kuqB_M243.pdb     -203.126671 kBT
1kuqB_M103.pdb     -189.463846 kBT
1kuqB_M429.pdb     -180.675012 kBT
1kuqB_M438.pdb     -186.668319 kBT
1kuqB_M455.pdb     -197.503579 kBT
1kuqB_M325.pdb     -187.041844 kBT
1kuqB_M430.pdb     -195.725126 kBT
1kuqB_M76.pdb     -196.187238 kBT
1kuqB_M134.pdb     -190.826317 kBT
1kuqB_M157.pdb     -185.626468 kBT
1kuqB_M340.pdb     -193.291254 kBT
1kuqB_M169.pdb     -196.943840 kBT
1kuqB_M458.pdb     -194.517033 kBT
1kuqB_M116.pdb     -172.687713 kBT
1kuqB_M68.pdb     -196.717226 kBT
1kuqB_M394.pdb     -171.992665 kBT
1kuqB_M127.pdb     -189.945367 kBT
1kuqB_M93.pdb     -203.723390 kBT
1kuqB_M366.pdb     -192.715295 kBT
1kuqB_M405.pdb     -171.505981 kBT
1kuqB_M153.pdb     -192.840335 kBT
1kuqB_M454.pdb     -168.993414 kBT
1kuqB_M420.pdb     -187.298719 kBT
1kuqB_M393.pdb     -198.528125 kBT
1kuqB_M314.pdb     -195.899261 kBT
1kuqB_M80.pdb     -202.693836 kBT
1kuqB_M467.pdb     -186.499881 kBT
1kuqB_M185.pdb     -186.317675 kBT
1kuqB_M371.pdb     -188.929447 kBT
1kuqB_M229.pdb     -193.530649 kBT
1kuqB_M348.pdb     -181.367161 kBT
1kuqB_M311.pdb     -188.115705 kBT
1kuqB_M123.pdb     -213.847343 kBT
1kuqB_M416.pdb     -180.602398 kBT
1kuqB_M337.pdb     -180.862303 kBT
1kuqB_M465.pdb     -188.411734 kBT
1kuqB_M301.pdb     -170.647206 kBT
1kuqB_M361.pdb     -182.794033 kBT
1kuqB_M421.pdb     -194.244038 kBT
1kuqB_M428.pdb     -180.808660 kBT
1kuqB_M1.pdb     -225.044928 kBT
1kuqB_M164.pdb     -191.631352 kBT
1kuqB_M144.pdb     -192.809947 kBT
1kuqB_M251.pdb     -187.336804 kBT
1kuqB_M36.pdb     -204.588528 kBT
1kuqB_M404.pdb     -177.099501 kBT
1kuqB_M322.pdb     -196.361799 kBT
1kuqB_M31.pdb     -228.372393 kBT
1kuqB_M228.pdb     -201.317349 kBT
1kuqB_M150.pdb     -188.859637 kBT
1kuqB_M270.pdb     -169.183061 kBT
1kuqB_M255.pdb     -177.266081 kBT
1kuqB_M67.pdb     -205.069628 kBT
1kuqB_M472.pdb     -190.429207 kBT
1kuqB_M312.pdb     -166.092935 kBT
1kuqB_M257.pdb     -195.646092 kBT
1kuqB_M90.pdb     -205.663849 kBT
1kuqB_M450.pdb     -201.608183 kBT
1kuqB_M359.pdb     -198.038800 kBT
1kuqB_M106.pdb     -197.973782 kBT
1kuqB_M237.pdb     -189.106542 kBT
1kuqB_M151.pdb     -199.993358 kBT
1kuqB_M277.pdb     -178.741211 kBT
1kuqB_M77.pdb     -207.729533 kBT
1kuqB_M410.pdb     -185.168812 kBT
1kuqB_M119.pdb     -203.948861 kBT
1kuqB_M100.pdb     -201.733231 kBT
1kuqB_M439.pdb     -174.871542 kBT
1kuqB_M87.pdb     -185.616537 kBT
1kuqB_M159.pdb     -173.725324 kBT
1kuqB_M475.pdb     -181.498111 kBT
1kuqB_M211.pdb     -184.365670 kBT
1kuqB_M187.pdb     -204.719046 kBT
1kuqB_M148.pdb     -194.100197 kBT
1kuqB_M476.pdb     -187.292723 kBT
1kuqB_M299.pdb     -186.422489 kBT
1kuqB_M239.pdb     -191.126288 kBT
1kuqB_M33.pdb     -205.169803 kBT
1kuqB_M107.pdb     -203.996913 kBT
1kuqB_M266.pdb     -188.622829 kBT
1kuqB_M15.pdb     -226.633379 kBT
1kuqB_M143.pdb     -201.338216 kBT
1kuqB_M94.pdb     -212.579740 kBT
1kuqB_M224.pdb     -185.642697 kBT
1kuqB_M241.pdb     -199.208284 kBT
1kuqB_M261.pdb     -182.888566 kBT
1kuqB_M389.pdb     -167.824343 kBT
1kuqB_M247.pdb     -200.767165 kBT
1kuqB_M41.pdb     -210.149036 kBT
1kuqB_M473.pdb     -177.403499 kBT
1kuqB_M86.pdb     -200.073150 kBT
1kuqB_M445.pdb     -200.253718 kBT
1kuqB_M181.pdb     -188.630653 kBT
1kuqB_M24.pdb     -214.527713 kBT
1kuqB_M414.pdb     -203.673099 kBT
1kuqB_M331.pdb     -186.840057 kBT
1kuqB_M168.pdb     -209.908417 kBT
1kuqB_M343.pdb     -186.859978 kBT
1kuqB_M427.pdb     -181.847466 kBT
1kuqB_M115.pdb     -190.738150 kBT
1kuqB_M21.pdb     -216.430062 kBT
1kuqB_M95.pdb     -212.326532 kBT
1kuqB_M176.pdb     -186.669803 kBT
1kuqB_M355.pdb     -192.371975 kBT
1kuqB_M190.pdb     -185.958278 kBT
1kuqB_M300.pdb     -184.380735 kBT
1kuqB_M32.pdb     -207.325322 kBT
1kuqB_M7.pdb     -225.366774 kBT
1kuqB_M208.pdb     -187.921033 kBT
1kuqB_M124.pdb     -198.677352 kBT
1kuqB_M379.pdb     -189.925007 kBT
1kuqB_M284.pdb     -199.285404 kBT
1kuqB_M400.pdb     -182.995311 kBT
1kuqB_M57.pdb     -199.247524 kBT
1kuqB_M457.pdb     -189.720886 kBT
1kuqB_M397.pdb     -187.728895 kBT
1kuqB_M497.pdb     -175.814656 kBT
1kuqB_M117.pdb     -202.463087 kBT
1kuqB_M310.pdb     -189.825338 kBT
1kuqB_M138.pdb     -198.651656 kBT
1kuqB_M214.pdb     -179.269896 kBT
1kuqB_M376.pdb     -195.089474 kBT
1kuqB_M71.pdb     -203.613539 kBT
1kuqB_M411.pdb     -187.539513 kBT
1kuqB_M75.pdb     -205.148602 kBT
1kuqB_M58.pdb     -192.603043 kBT
1kuqB_M460.pdb     -167.364836 kBT
1kuqB_M297.pdb     -197.429559 kBT
1kuqB_M133.pdb     -196.463404 kBT
1kuqB_M479.pdb     -183.680526 kBT
1kuqB_M358.pdb     -185.496542 kBT
1kuqB_M443.pdb     -173.117536 kBT
1kuqB_M125.pdb     -179.653888 kBT
1kuqB_M452.pdb     -180.570446 kBT
1kuqB_M408.pdb     -191.838868 kBT
1kuqB_M217.pdb     -197.665035 kBT
1kuqB_M118.pdb     -202.212067 kBT
1kuqB_M499.pdb     -194.252641 kBT
1kuqB_M69.pdb     -206.942746 kBT
1kuqB_M274.pdb     -195.533049 kBT
1kuqB_M145.pdb     -193.769811 kBT
1kuqB_M192.pdb     -177.774286 kBT
1kuqB_M354.pdb     -180.642579 kBT
1kuqB_M62.pdb     -202.504231 kBT
1kuqB_M200.pdb     -187.531418 kBT
1kuqB_M42.pdb     -206.565479 kBT
1kuqB_M378.pdb     -196.669320 kBT
1kuqB_M413.pdb     -182.845947 kBT
1kuqB_M53.pdb     -206.353923 kBT
1kuqB_M336.pdb     -184.465428 kBT
1kuqB_M486.pdb     -189.838108 kBT
1kuqB_M182.pdb     -174.513553 kBT
1kuqB_M38.pdb     -220.708779 kBT
1kuqB_M293.pdb     -188.089668 kBT
1kuqB_M149.pdb     -186.831604 kBT
1kuqB_M345.pdb     -185.977629 kBT
1kuqB_M353.pdb     -191.832962 kBT
1kuqB_M333.pdb     -199.669199 kBT
1kuqB_M236.pdb     -195.175130 kBT
1kuqB_M22.pdb     -213.898269 kBT
1kuqB_M110.pdb     -203.503609 kBT
1kuqB_M315.pdb     -190.501852 kBT
1kuqB_M5.pdb     -227.339408 kBT
1kuqB_M105.pdb     -197.554532 kBT
1kuqB_M207.pdb     -181.989188 kBT
1kuqB_M382.pdb     -194.403214 kBT
1kuqB_M6.pdb     -227.031494 kBT
1kuqB_M29.pdb     -212.118462 kBT
1kuqB_M47.pdb     -212.967732 kBT
1kuqB_M81.pdb     -205.846915 kBT
1kuqB_M104.pdb     -205.692747 kBT
1kuqB_M85.pdb     -198.743862 kBT
1kuqB_M26.pdb     -216.120872 kBT
1kuqB_M204.pdb     -193.891891 kBT
1kuqB_M63.pdb     -209.221494 kBT
1kuqB_M175.pdb     -179.889476 kBT
1kuqB_M98.pdb     -192.465430 kBT
1kuqB_M283.pdb     -189.628451 kBT
1kuqB_M485.pdb     -186.955224 kBT
1kuqB_M188.pdb     -190.386712 kBT
1kuqB_M442.pdb     -198.298362 kBT
1kuqB_M234.pdb     -179.068691 kBT
1kuqB_M409.pdb     -198.762786 kBT
1kuqB_M422.pdb     -190.691953 kBT
1kuqB_M166.pdb     -183.342937 kBT
1kuqB_M199.pdb     -174.657981 kBT
1kuqB_M114.pdb     -209.246324 kBT
1kuqB_M173.pdb     -198.859961 kBT
1kuqB_M3.pdb     -226.010358 kBT
1kuqB_M385.pdb     -189.316984 kBT
1kuqB_M121.pdb     -187.055999 kBT
1kuqB_M275.pdb     -192.080492 kBT
1kuqB_M52.pdb     -195.994111 kBT
1kuqB_M73.pdb     -186.209943 kBT
1kuqB_M215.pdb     -200.242351 kBT
1kuqB_M456.pdb     -192.966580 kBT
1kuqB_M40.pdb     -209.624683 kBT
1kuqB_M395.pdb     -179.856499 kBT
1kuqB_M365.pdb     -191.195528 kBT
1kuqB_M37.pdb     -212.864628 kBT
1kuqB_M18.pdb     -232.577354 kBT
1kuqB_M313.pdb     -200.900345 kBT
1kuqB_M64.pdb     -219.684725 kBT
1kuqB_M142.pdb     -192.838058 kBT
1kuqB_M372.pdb     -195.929462 kBT
1kuqB_M218.pdb     -194.432571 kBT
1kuqB_M128.pdb     -190.998436 kBT
1kuqB_M264.pdb     -191.951529 kBT
1kuqB_M262.pdb     -203.792790 kBT
1kuqB_M357.pdb     -192.321110 kBT
1kuqB_M78.pdb     -194.928769 kBT
1kuqB_M19.pdb     -225.421704 kBT
1kuqB_M320.pdb     -178.088681 kBT
1kuqB_M226.pdb     -184.233362 kBT
1kuqB_M161.pdb     -184.638278 kBT
1kuqB_M318.pdb     -183.406704 kBT
1kuqB_M61.pdb     -214.678239 kBT
1kuqB_M72.pdb     -203.377418 kBT
1kuqB_M481.pdb     -189.433012 kBT
1kuqB_M462.pdb     -192.586756 kBT
1kuqB_M303.pdb     -198.447583 kBT
1kuqB_M440.pdb     -197.253093 kBT
1kuqB_M195.pdb     -194.465048 kBT
1kuqB_M111.pdb     -206.004331 kBT
1kuqB_M263.pdb     -176.998450 kBT
1kuqB_M184.pdb     -184.110662 kBT
1kuqB_M335.pdb     -179.257598 kBT
1kuqB_M419.pdb     -176.922918 kBT
1kuqB_M9.pdb     -228.975712 kBT
1kuqB_M406.pdb     -178.603328 kBT
1kuqB_M351.pdb     -185.820409 kBT
1kuqB_M130.pdb     -198.443399 kBT
1kuqB_M373.pdb     -188.537668 kBT
1kuqB_M328.pdb     -186.271300 kBT
1kuqB_M272.pdb     -177.868402 kBT
1kuqB_M92.pdb     -208.326244 kBT
1kuqB_M321.pdb     -177.624085 kBT
1kuqB_M258.pdb     -185.658617 kBT
1kuqB_M493.pdb     -216.419651 kBT
1kuqB_M11.pdb     -227.757596 kBT
1kuqB_M349.pdb     -203.915992 kBT
1kuqB_M146.pdb     -206.992782 kBT
1kuqB_M398.pdb     -172.669762 kBT
1kuqB_M290.pdb     -186.990913 kBT
1kuqB_M112.pdb     -193.989012 kBT
1kuqB_M101.pdb     -212.580386 kBT
1kuqB_M260.pdb     -175.737690 kBT
1kuqB_M51.pdb     -207.000442 kBT
1kuqB_M308.pdb     -184.792794 kBT
1kuqB_M160.pdb     -196.678841 kBT
1kuqB_M35.pdb     -193.453877 kBT
1kuqB_M96.pdb     -210.454323 kBT
1kuqB_M268.pdb     -194.322416 kBT
1kuqB_M222.pdb     -176.769123 kBT
1kuqB_M307.pdb     -159.312745 kBT
1kuqB_M139.pdb     -193.989046 kBT
1kuqB_M20.pdb     -222.862887 kBT
1kuqB_M25.pdb     -219.270227 kBT
1kuqB_M147.pdb     -205.249612 kBT
1kuqB_M256.pdb     -175.014205 kBT
1kuqB_M129.pdb     -198.173092 kBT
1kuqB_M206.pdb     -169.939721 kBT
1kuqB_M471.pdb     -184.144291 kBT
1kuqB_M356.pdb     -183.268776 kBT
1kuqB_M177.pdb     -182.777352 kBT
1kuqB_M341.pdb     -186.526564 kBT
1kuqB_M488.pdb     -185.278536 kBT
1kuqB_M386.pdb     -191.407023 kBT
1kuqB_M364.pdb     -203.739717 kBT
1kuqB_M477.pdb     -195.229955 kBT
1kuqB_M326.pdb     -211.659414 kBT
1kuqB_M267.pdb     -178.239026 kBT
1kuqB_M183.pdb     -173.905490 kBT
1kuqB_M305.pdb     -187.569175 kBT
1kuqB_M367.pdb     -197.098130 kBT
1kuqB_M89.pdb     -195.151757 kBT
1kuqB_M402.pdb     -191.633601 kBT
1kuqB_M97.pdb     -200.552452 kBT
1kuqB_M276.pdb     -196.207822 kBT
1kuqB_M368.pdb     -213.007680 kBT
1kuqB_M334.pdb     -194.141336 kBT
1kuqB_M155.pdb     -179.503113 kBT
1kuqB_M492.pdb     -165.269334 kBT
1kuqB_M309.pdb     -196.981793 kBT
1kuqB_M432.pdb     -212.721193 kBT
1kuqB_M363.pdb     -191.515567 kBT
1kuqB_M13.pdb     -229.264512 kBT
1kuqB_M484.pdb     -190.229081 kBT
1kuqB_M288.pdb     -184.541664 kBT
1kuqB_M287.pdb     -182.369027 kBT
1kuqB_M375.pdb     -188.290195 kBT
1kuqB_M464.pdb     -185.579880 kBT
1kuqB_M4.pdb     -227.089796 kBT
1kuqB_M470.pdb     -165.057658 kBT
1kuqB_M194.pdb     -187.185565 kBT
1kuqB_M201.pdb     -201.723078 kBT
1kuqB_M202.pdb     -200.794912 kBT
1kuqB_M16.pdb     -215.271610 kBT
1kuqB_M500.pdb     -190.002302 kBT
1kuqB_M231.pdb     -194.737318 kBT
1kuqB_M14.pdb     -216.874051 kBT
1kuqB_M360.pdb     -196.897643 kBT
1kuqB_M491.pdb     -185.260518 kBT
1kuqB_M330.pdb     -217.057163 kBT
1kuqB_M453.pdb     -175.420813 kBT
1kuqB_M286.pdb     -190.686268 kBT
1kuqB_M49.pdb     -216.920115 kBT
1kuqB_M483.pdb     -195.671063 kBT
1kuqB_M126.pdb     -186.851542 kBT
1kuqB_M165.pdb     -207.828887 kBT
1kuqB_M154.pdb     -192.803769 kBT
1kuqB_M50.pdb     -221.287487 kBT
1kuqB_M180.pdb     -192.355406 kBT
1kuqB_M433.pdb     -177.425710 kBT
1kuqB_M233.pdb     -192.939809 kBT
1kuqB_M74.pdb     -200.026384 kBT
1kuqB_M292.pdb     -169.669721 kBT
1kuqB_M253.pdb     -201.026147 kBT
1kuqB_M219.pdb     -193.283530 kBT
1kuqB_M108.pdb     -190.211964 kBT
1kuqB_M495.pdb     -187.498638 kBT
1kuqB_M346.pdb     -206.425315 kBT
1kuqB_M44.pdb     -212.278348 kBT
1kuqB_M170.pdb     -188.332051 kBT
1kuqB_M244.pdb     -201.810380 kBT
1kuqB_M223.pdb     -191.265452 kBT
1kuqB_M252.pdb     -187.124082 kBT
1kuqB_M269.pdb     -199.115594 kBT
1kuqB_M490.pdb     -182.552884 kBT
1kuqB_M390.pdb     -169.512196 kBT
1kuqB_M350.pdb     -180.275556 kBT
1kuqB_M423.pdb     -190.399254 kBT
1kuqB_M60.pdb     -211.228865 kBT
1kuqB_M59.pdb     -207.839173 kBT
1kuqB_M171.pdb     -173.375431 kBT
1kuqB_M352.pdb     -185.291846 kBT
1kuqB_M249.pdb     -189.691236 kBT
1kuqB_M122.pdb     -185.990615 kBT
1kuqB_M84.pdb     -194.134469 kBT
1kuqB_M407.pdb     -199.306968 kBT
1kuqB_M174.pdb     -199.725708 kBT
1kuqB_M179.pdb     -192.467607 kBT
1kuqB_M191.pdb     -184.173306 kBT
1kuqB_M294.pdb     -179.747425 kBT
1kuqB_M295.pdb     -184.671817 kBT
1kuqB_M17.pdb     -214.304828 kBT
1kuqB_M415.pdb     -184.420791 kBT
1kuqB_M238.pdb     -194.122624 kBT
1kuqB_M448.pdb     -202.541475 kBT
1kuqB_M246.pdb     -197.699460 kBT
1kuqB_M156.pdb     -181.984665 kBT
1kuqB_M265.pdb     -187.273469 kBT
1kuqB_M384.pdb     -186.584723 kBT
1kuqB_M109.pdb     -199.196561 kBT
1kuqB_M245.pdb     -193.290540 kBT
1kuqB_M10.pdb     -232.247431 kBT
1kuqB_M30.pdb     -214.727530 kBT
1kuqB_M55.pdb     -216.783840 kBT
1kuqB_M387.pdb     -185.991074 kBT
1kuqB_M196.pdb     -210.126959 kBT
1kuqB_M461.pdb     -222.163296 kBT
1kuqB_M178.pdb     -191.920159 kBT
1kuqB_M487.pdb     -188.319450 kBT
1kuqB_M374.pdb     -203.779957 kBT
1kuqB_M230.pdb     -199.028923 kBT
1kuqB_M347.pdb     -202.229268 kBT
1kuqB_M392.pdb     -185.712611 kBT
1kuqB_M296.pdb     -198.281311 kBT
1kuqB_M205.pdb     -199.763098 kBT
1kuqB_M447.pdb     -190.303462 kBT
1kuqB_M137.pdb     -202.649648 kBT
1kuqB_M327.pdb     -187.170124 kBT
1kuqB_M338.pdb     -194.248623 kBT
1kuqB_M441.pdb     -182.698204 kBT
1kuqB_M459.pdb     -176.045563 kBT
