437dA_M418.pdb     -120.928694 kBT
437dA_M121.pdb     -127.554815 kBT
437dA_M252.pdb     -139.223568 kBT
437dA_M342.pdb     -118.907620 kBT
437dA_M146.pdb     -131.144696 kBT
437dA_M55.pdb     -128.111142 kBT
437dA_M304.pdb     -132.528620 kBT
437dA_M134.pdb     -134.533008 kBT
437dA_M103.pdb     -135.039320 kBT
437dA_M80.pdb     -125.695514 kBT
437dA_M61.pdb     -134.645911 kBT
437dA_M470.pdb     -123.436037 kBT
437dA_M96.pdb     -126.614292 kBT
437dA_M425.pdb     -117.540909 kBT
437dA_M126.pdb     -127.607545 kBT
437dA_M70.pdb     -138.870618 kBT
437dA_M23.pdb     -154.806195 kBT
437dA_M400.pdb     -112.723770 kBT
437dA_M358.pdb     -125.680989 kBT
437dA_M101.pdb     -134.723680 kBT
437dA_M141.pdb     -119.271595 kBT
437dA_M27.pdb     -140.852414 kBT
437dA_M283.pdb     -119.402286 kBT
437dA_M43.pdb     -149.796103 kBT
437dA_M173.pdb     -132.914039 kBT
437dA_M435.pdb     -127.662489 kBT
437dA_M132.pdb     -127.773499 kBT
437dA_M433.pdb     -117.323634 kBT
437dA_M22.pdb     -155.810367 kBT
437dA_M487.pdb     -113.811129 kBT
437dA_M480.pdb     -120.442264 kBT
437dA_M115.pdb     -138.147527 kBT
437dA_M143.pdb     -136.401108 kBT
437dA_M380.pdb     -113.026169 kBT
437dA_M237.pdb     -127.667541 kBT
437dA_M30.pdb     -135.202935 kBT
437dA_M372.pdb     -127.961025 kBT
437dA_M320.pdb     -126.577573 kBT
437dA_M107.pdb     -123.524873 kBT
437dA_M311.pdb     -134.625377 kBT
437dA_M35.pdb     -144.129616 kBT
437dA_M5.pdb     -148.805255 kBT
437dA_M500.pdb     -123.482244 kBT
437dA_M200.pdb     -123.534386 kBT
437dA_M344.pdb     -128.055895 kBT
437dA_M184.pdb     -133.392771 kBT
437dA_M123.pdb     -126.196687 kBT
437dA_M414.pdb     -126.113301 kBT
437dA_M490.pdb     -107.015246 kBT
437dA_M465.pdb     -119.282479 kBT
437dA_M58.pdb     -143.497387 kBT
437dA_M456.pdb     -120.309686 kBT
437dA_M316.pdb     -131.265725 kBT
437dA_M77.pdb     -141.161297 kBT
437dA_M315.pdb     -120.549710 kBT
437dA_M113.pdb     -125.920692 kBT
437dA_M246.pdb     -134.869365 kBT
437dA_M247.pdb     -129.680627 kBT
437dA_M278.pdb     -130.216298 kBT
437dA_M202.pdb     -141.505319 kBT
437dA_M375.pdb     -102.052055 kBT
437dA_M148.pdb     -124.432948 kBT
437dA_M24.pdb     -145.991780 kBT
437dA_M459.pdb     -116.116693 kBT
437dA_M164.pdb     -128.703008 kBT
437dA_M405.pdb     -109.077490 kBT
437dA_M233.pdb     -125.676154 kBT
437dA_M176.pdb     -131.001126 kBT
437dA_M334.pdb     -114.225631 kBT
437dA.pdb     -171.418806 kBT
437dA_M17.pdb     -146.126646 kBT
437dA_M457.pdb     -123.262432 kBT
437dA_M190.pdb     -108.590449 kBT
437dA_M14.pdb     -143.144148 kBT
437dA_M326.pdb     -128.719716 kBT
437dA_M147.pdb     -129.113718 kBT
437dA_M403.pdb     -135.229009 kBT
437dA_M69.pdb     -134.538458 kBT
437dA_M135.pdb     -125.416840 kBT
437dA_M448.pdb     -124.400209 kBT
437dA_M205.pdb     -128.821959 kBT
437dA_M378.pdb     -134.584493 kBT
437dA_M155.pdb     -132.639141 kBT
437dA_M37.pdb     -146.747468 kBT
437dA_M482.pdb     -118.232115 kBT
437dA_M415.pdb     -100.893819 kBT
437dA_M267.pdb     -139.513255 kBT
437dA_M112.pdb     -125.374527 kBT
437dA_M329.pdb     -122.969799 kBT
437dA_M13.pdb     -134.280182 kBT
437dA_M57.pdb     -141.691360 kBT
437dA_M424.pdb     -118.519160 kBT
437dA_M371.pdb     -117.870938 kBT
437dA_M33.pdb     -139.122700 kBT
437dA_M404.pdb     -122.669383 kBT
437dA_M6.pdb     -142.092995 kBT
437dA_M16.pdb     -141.785539 kBT
437dA_M3.pdb     -147.627325 kBT
437dA_M362.pdb     -111.570936 kBT
437dA_M91.pdb     -135.522448 kBT
437dA_M193.pdb     -117.881374 kBT
437dA_M251.pdb     -132.138772 kBT
437dA_M399.pdb     -124.314423 kBT
437dA_M299.pdb     -115.167213 kBT
437dA_M497.pdb     -104.108079 kBT
437dA_M95.pdb     -127.776252 kBT
437dA_M373.pdb     -126.210806 kBT
437dA_M450.pdb     -116.262998 kBT
437dA_M336.pdb     -123.529177 kBT
437dA_M26.pdb     -144.719461 kBT
437dA_M221.pdb     -127.896681 kBT
437dA_M67.pdb     -118.876103 kBT
437dA_M239.pdb     -114.238445 kBT
437dA_M150.pdb     -122.869627 kBT
437dA_M264.pdb     -122.641093 kBT
437dA_M463.pdb     -132.505518 kBT
437dA_M472.pdb     -119.634543 kBT
437dA_M254.pdb     -118.306918 kBT
437dA_M460.pdb     -116.929317 kBT
437dA_M92.pdb     -126.302079 kBT
437dA_M356.pdb     -129.050321 kBT
437dA_M225.pdb     -129.213189 kBT
437dA_M84.pdb     -133.548796 kBT
437dA_M322.pdb     -117.670265 kBT
437dA_M253.pdb     -143.958886 kBT
437dA_M420.pdb     -129.781475 kBT
437dA_M274.pdb     -113.235853 kBT
437dA_M110.pdb     -140.065468 kBT
437dA_M124.pdb     -116.291505 kBT
437dA_M209.pdb     -144.441383 kBT
437dA_M99.pdb     -133.897654 kBT
437dA_M260.pdb     -118.444298 kBT
437dA_M186.pdb     -133.026720 kBT
437dA_M78.pdb     -126.515899 kBT
437dA_M163.pdb     -115.667446 kBT
437dA_M353.pdb     -121.133519 kBT
437dA_M453.pdb     -121.800588 kBT
437dA_M284.pdb     -129.631426 kBT
437dA_M379.pdb     -125.102448 kBT
437dA_M294.pdb     -134.084246 kBT
437dA_M98.pdb     -133.955273 kBT
437dA_M82.pdb     -137.750000 kBT
437dA_M421.pdb     -125.739127 kBT
437dA_M211.pdb     -133.383398 kBT
437dA_M262.pdb     -124.850520 kBT
437dA_M47.pdb     -141.596052 kBT
437dA_M423.pdb     -104.902274 kBT
437dA_M261.pdb     -111.955186 kBT
437dA_M319.pdb     -109.146254 kBT
437dA_M324.pdb     -114.130271 kBT
437dA_M491.pdb     -134.651802 kBT
437dA_M301.pdb     -116.409499 kBT
437dA_M220.pdb     -124.173606 kBT
437dA_M429.pdb     -122.677408 kBT
437dA_M8.pdb     -147.403808 kBT
437dA_M56.pdb     -129.587212 kBT
437dA_M59.pdb     -145.048821 kBT
437dA_M368.pdb     -143.350967 kBT
437dA_M75.pdb     -121.083905 kBT
437dA_M206.pdb     -134.616726 kBT
437dA_M427.pdb     -111.519584 kBT
437dA_M392.pdb     -117.450532 kBT
437dA_M79.pdb     -144.027955 kBT
437dA_M219.pdb     -118.064719 kBT
437dA_M445.pdb     -119.843319 kBT
437dA_M128.pdb     -127.425638 kBT
437dA_M451.pdb     -102.268071 kBT
437dA_M270.pdb     -138.456490 kBT
437dA_M346.pdb     -125.657983 kBT
437dA_M89.pdb     -127.137905 kBT
437dA_M63.pdb     -134.085954 kBT
437dA_M454.pdb     -120.262966 kBT
437dA_M235.pdb     -121.596442 kBT
437dA_M499.pdb     -104.459465 kBT
437dA_M201.pdb     -122.787840 kBT
437dA_M197.pdb     -124.991047 kBT
437dA_M363.pdb     -113.776059 kBT
437dA_M452.pdb     -114.135061 kBT
437dA_M157.pdb     -129.730976 kBT
437dA_M439.pdb     -108.522298 kBT
437dA_M266.pdb     -129.154529 kBT
437dA_M281.pdb     -108.685323 kBT
437dA_M269.pdb     -127.991775 kBT
437dA_M327.pdb     -120.955744 kBT
437dA_M162.pdb     -130.073124 kBT
437dA_M367.pdb     -115.766038 kBT
437dA_M381.pdb     -102.918093 kBT
437dA_M443.pdb     -124.718041 kBT
437dA_M68.pdb     -133.899067 kBT
437dA_M125.pdb     -131.117977 kBT
437dA_M20.pdb     -137.696723 kBT
437dA_M137.pdb     -114.777622 kBT
437dA_M488.pdb     -118.018499 kBT
437dA_M401.pdb     -115.560282 kBT
437dA_M390.pdb     -127.565326 kBT
437dA_M66.pdb     -133.138928 kBT
437dA_M340.pdb     -115.126867 kBT
437dA_M87.pdb     -118.453783 kBT
437dA_M161.pdb     -130.306666 kBT
437dA_M455.pdb     -120.152958 kBT
437dA_M116.pdb     -132.144748 kBT
437dA_M391.pdb     -117.181438 kBT
437dA_M485.pdb     -106.221999 kBT
437dA_M149.pdb     -117.898653 kBT
437dA_M442.pdb     -128.272702 kBT
437dA_M244.pdb     -134.408833 kBT
437dA_M492.pdb     -117.336118 kBT
437dA_M136.pdb     -124.642286 kBT
437dA_M204.pdb     -131.492985 kBT
437dA_M369.pdb     -122.827666 kBT
437dA_M328.pdb     -136.335087 kBT
437dA_M422.pdb     -122.886559 kBT
437dA_M345.pdb     -125.392597 kBT
437dA_M471.pdb     -115.401116 kBT
437dA_M242.pdb     -117.838271 kBT
437dA_M53.pdb     -140.593157 kBT
437dA_M83.pdb     -129.645711 kBT
437dA_M152.pdb     -122.719582 kBT
437dA_M50.pdb     -149.851995 kBT
437dA_M76.pdb     -132.863770 kBT
437dA_M409.pdb     -132.489867 kBT
437dA_M144.pdb     -131.942657 kBT
437dA_M250.pdb     -122.495204 kBT
437dA_M458.pdb     -116.625834 kBT
437dA_M464.pdb     -103.708709 kBT
437dA_M86.pdb     -128.745409 kBT
437dA_M198.pdb     -130.203255 kBT
437dA_M331.pdb     -117.452568 kBT
437dA_M191.pdb     -147.948388 kBT
437dA_M263.pdb     -126.626361 kBT
437dA_M361.pdb     -120.091090 kBT
437dA_M158.pdb     -127.288849 kBT
437dA_M1.pdb     -148.390230 kBT
437dA_M300.pdb     -131.278550 kBT
437dA_M382.pdb     -123.506097 kBT
437dA_M88.pdb     -147.988702 kBT
437dA_M11.pdb     -145.423270 kBT
437dA_M41.pdb     -152.458059 kBT
437dA_M228.pdb     -133.812806 kBT
437dA_M339.pdb     -100.700818 kBT
437dA_M100.pdb     -130.023609 kBT
437dA_M192.pdb     -116.612311 kBT
437dA_M295.pdb     -130.088251 kBT
437dA_M42.pdb     -145.052615 kBT
437dA_M199.pdb     -117.593367 kBT
437dA_M230.pdb     -122.987733 kBT
437dA_M249.pdb     -134.604166 kBT
437dA_M462.pdb     -115.572026 kBT
437dA_M119.pdb     -125.807201 kBT
437dA_M257.pdb     -116.058655 kBT
437dA_M177.pdb     -125.264746 kBT
437dA_M398.pdb     -106.824356 kBT
437dA_M286.pdb     -121.063191 kBT
437dA_M277.pdb     -122.936225 kBT
437dA_M317.pdb     -134.819126 kBT
437dA_M19.pdb     -147.657377 kBT
437dA_M484.pdb     -114.339869 kBT
437dA_M385.pdb     -144.799368 kBT
437dA_M111.pdb     -143.567193 kBT
437dA_M203.pdb     -141.492889 kBT
437dA_M347.pdb     -111.573211 kBT
437dA_M364.pdb     -95.008978 kBT
437dA_M94.pdb     -134.852987 kBT
437dA_M231.pdb     -122.639882 kBT
437dA_M258.pdb     -117.713769 kBT
437dA_M208.pdb     -130.692026 kBT
437dA_M467.pdb     -130.456422 kBT
437dA_M350.pdb     -118.420069 kBT
437dA_M323.pdb     -119.144416 kBT
437dA_M279.pdb     -124.842834 kBT
437dA_M475.pdb     -113.652188 kBT
437dA_M436.pdb     -125.439878 kBT
437dA_M305.pdb     -118.670295 kBT
437dA_M302.pdb     -121.602044 kBT
437dA_M236.pdb     -124.783390 kBT
437dA_M166.pdb     -126.215064 kBT
437dA_M493.pdb     -118.099570 kBT
437dA_M413.pdb     -118.955327 kBT
437dA_M168.pdb     -118.531607 kBT
437dA_M48.pdb     -133.859520 kBT
437dA_M438.pdb     -107.739871 kBT
437dA_M117.pdb     -138.994870 kBT
437dA_M489.pdb     -112.416523 kBT
437dA_M383.pdb     -117.504390 kBT
437dA_M341.pdb     -116.836373 kBT
437dA_M447.pdb     -123.294979 kBT
437dA_M216.pdb     -106.933048 kBT
437dA_M169.pdb     -137.811209 kBT
437dA_M175.pdb     -127.385345 kBT
437dA_M129.pdb     -135.266205 kBT
437dA_M31.pdb     -137.694087 kBT
437dA_M151.pdb     -122.959806 kBT
437dA_M46.pdb     -142.120792 kBT
437dA_M483.pdb     -116.549996 kBT
437dA_M159.pdb     -113.674523 kBT
437dA_M106.pdb     -140.210546 kBT
437dA_M180.pdb     -135.104250 kBT
437dA_M388.pdb     -122.469377 kBT
437dA_M349.pdb     -102.435033 kBT
437dA_M476.pdb     -124.431556 kBT
437dA_M187.pdb     -120.999495 kBT
437dA_M138.pdb     -137.499353 kBT
437dA_M243.pdb     -132.127976 kBT
437dA_M60.pdb     -132.621625 kBT
437dA_M289.pdb     -117.097560 kBT
437dA_M181.pdb     -129.316313 kBT
437dA_M140.pdb     -137.743941 kBT
437dA_M179.pdb     -137.278648 kBT
437dA_M298.pdb     -105.482673 kBT
437dA_M45.pdb     -139.370953 kBT
437dA_M12.pdb     -143.578643 kBT
437dA_M440.pdb     -116.137122 kBT
437dA_M370.pdb     -123.869075 kBT
437dA_M171.pdb     -120.374094 kBT
437dA_M212.pdb     -114.738132 kBT
437dA_M432.pdb     -113.391281 kBT
437dA_M314.pdb     -120.998505 kBT
437dA_M71.pdb     -133.230782 kBT
437dA_M397.pdb     -121.769172 kBT
437dA_M387.pdb     -132.859650 kBT
437dA_M335.pdb     -118.722640 kBT
437dA_M7.pdb     -153.045682 kBT
437dA_M366.pdb     -113.851544 kBT
437dA_M34.pdb     -143.671829 kBT
437dA_M296.pdb     -103.215316 kBT
437dA_M321.pdb     -104.395655 kBT
437dA_M153.pdb     -143.395093 kBT
437dA_M224.pdb     -129.696928 kBT
437dA_M122.pdb     -128.240992 kBT
437dA_M337.pdb     -108.471193 kBT
437dA_M406.pdb     -99.204559 kBT
437dA_M114.pdb     -130.303915 kBT
437dA_M352.pdb     -125.482862 kBT
437dA_M446.pdb     -122.269747 kBT
437dA_M312.pdb     -114.487300 kBT
437dA_M306.pdb     -124.016609 kBT
437dA_M229.pdb     -113.491850 kBT
437dA_M434.pdb     -97.688542 kBT
437dA_M238.pdb     -126.059395 kBT
437dA_M303.pdb     -113.124687 kBT
437dA_M310.pdb     -109.246780 kBT
437dA_M348.pdb     -118.791027 kBT
437dA_M386.pdb     -126.879802 kBT
437dA_M308.pdb     -130.811929 kBT
437dA_M139.pdb     -139.398637 kBT
437dA_M496.pdb     -123.111247 kBT
437dA_M461.pdb     -110.666031 kBT
437dA_M62.pdb     -132.568209 kBT
437dA_M473.pdb     -114.019326 kBT
437dA_M437.pdb     -125.050632 kBT
437dA_M118.pdb     -125.486844 kBT
437dA_M131.pdb     -121.954564 kBT
437dA_M407.pdb     -115.392299 kBT
437dA_M160.pdb     -141.702695 kBT
437dA_M156.pdb     -131.753333 kBT
437dA_M40.pdb     -141.776383 kBT
437dA_M174.pdb     -114.003304 kBT
437dA_M416.pdb     -123.477886 kBT
437dA_M25.pdb     -133.632997 kBT
437dA_M479.pdb     -113.608008 kBT
437dA_M394.pdb     -131.874637 kBT
437dA_M468.pdb     -123.721615 kBT
437dA_M410.pdb     -132.292586 kBT
437dA_M343.pdb     -116.648038 kBT
437dA_M232.pdb     -122.176340 kBT
437dA_M36.pdb     -149.006960 kBT
437dA_M28.pdb     -138.613251 kBT
437dA_M486.pdb     -119.890398 kBT
437dA_M338.pdb     -98.980353 kBT
437dA_M217.pdb     -110.279699 kBT
437dA_M2.pdb     -148.134002 kBT
437dA_M167.pdb     -120.788816 kBT
437dA_M325.pdb     -113.965359 kBT
437dA_M469.pdb     -118.174584 kBT
437dA_M105.pdb     -131.305831 kBT
437dA_M282.pdb     -122.582942 kBT
437dA_M408.pdb     -126.328772 kBT
437dA_M481.pdb     -120.098321 kBT
437dA_M102.pdb     -124.129573 kBT
437dA_M227.pdb     -124.453277 kBT
437dA_M290.pdb     -116.477548 kBT
437dA_M293.pdb     -137.187923 kBT
437dA_M426.pdb     -115.854438 kBT
437dA_M74.pdb     -120.439016 kBT
437dA_M64.pdb     -132.636476 kBT
437dA_M333.pdb     -132.617069 kBT
437dA_M359.pdb     -126.364180 kBT
437dA_M196.pdb     -117.131246 kBT
437dA_M309.pdb     -117.155942 kBT
437dA_M444.pdb     -123.900774 kBT
437dA_M49.pdb     -149.309401 kBT
437dA_M396.pdb     -125.367610 kBT
437dA_M360.pdb     -104.637025 kBT
437dA_M215.pdb     -138.220811 kBT
437dA_M275.pdb     -122.027290 kBT
437dA_M272.pdb     -126.277141 kBT
437dA_M185.pdb     -121.953862 kBT
437dA_M210.pdb     -114.317533 kBT
437dA_M255.pdb     -113.158307 kBT
437dA_M183.pdb     -113.031372 kBT
437dA_M419.pdb     -124.295062 kBT
437dA_M108.pdb     -139.394528 kBT
437dA_M271.pdb     -141.173169 kBT
437dA_M18.pdb     -145.225399 kBT
437dA_M214.pdb     -117.232760 kBT
437dA_M245.pdb     -136.138517 kBT
437dA_M72.pdb     -114.779579 kBT
437dA_M411.pdb     -130.479448 kBT
437dA_M280.pdb     -115.940213 kBT
437dA_M402.pdb     -101.865037 kBT
437dA_M477.pdb     -108.899834 kBT
437dA_M357.pdb     -125.548811 kBT
437dA_M395.pdb     -117.452983 kBT
437dA_M285.pdb     -123.407717 kBT
437dA_M248.pdb     -123.583484 kBT
437dA_M81.pdb     -122.329539 kBT
437dA_M195.pdb     -114.186448 kBT
437dA_M332.pdb     -134.052420 kBT
437dA_M241.pdb     -121.572011 kBT
437dA_M384.pdb     -118.133705 kBT
437dA_M170.pdb     -140.554669 kBT
437dA_M330.pdb     -122.118526 kBT
437dA_M376.pdb     -122.659579 kBT
437dA_M10.pdb     -147.105385 kBT
437dA_M430.pdb     -125.415851 kBT
437dA_M276.pdb     -107.642477 kBT
437dA_M268.pdb     -128.273931 kBT
437dA_M365.pdb     -113.452568 kBT
437dA_M222.pdb     -128.015625 kBT
437dA_M120.pdb     -131.335440 kBT
437dA_M54.pdb     -126.765929 kBT
437dA_M318.pdb     -124.701769 kBT
437dA_M189.pdb     -124.647889 kBT
437dA_M9.pdb     -143.149624 kBT
437dA_M29.pdb     -142.420367 kBT
437dA_M474.pdb     -121.962640 kBT
437dA_M90.pdb     -122.596578 kBT
437dA_M213.pdb     -126.860670 kBT
437dA_M178.pdb     -131.168028 kBT
437dA_M389.pdb     -130.963348 kBT
