6tnaA_M335.pdb     -219.854041 kBT
6tnaA_M110.pdb     -215.774824 kBT
6tnaA_M372.pdb     -203.739251 kBT
6tnaA_M343.pdb     -216.863303 kBT
6tnaA_M313.pdb     -206.940218 kBT
6tnaA_M257.pdb     -220.518389 kBT
6tnaA_M164.pdb     -222.721762 kBT
6tnaA_M153.pdb     -207.483928 kBT
6tnaA_M286.pdb     -191.242175 kBT
6tnaA_M309.pdb     -218.799997 kBT
6tnaA_M200.pdb     -201.023742 kBT
6tnaA_M5.pdb     -246.598754 kBT
6tnaA_M129.pdb     -209.817457 kBT
6tnaA_M383.pdb     -208.434954 kBT
6tnaA_M142.pdb     -204.085884 kBT
6tnaA_M109.pdb     -222.225410 kBT
6tnaA_M80.pdb     -207.023237 kBT
6tnaA_M232.pdb     -207.879191 kBT
6tnaA_M137.pdb     -213.368766 kBT
6tnaA_M52.pdb     -221.131724 kBT
6tnaA_M307.pdb     -215.383366 kBT
6tnaA_M167.pdb     -219.955336 kBT
6tnaA_M420.pdb     -202.608615 kBT
6tnaA_M297.pdb     -188.950977 kBT
6tnaA_M78.pdb     -203.799763 kBT
6tnaA_M351.pdb     -188.898208 kBT
6tnaA_M394.pdb     -199.960080 kBT
6tnaA_M471.pdb     -181.165952 kBT
6tnaA_M361.pdb     -193.432148 kBT
6tnaA_M409.pdb     -187.613814 kBT
6tnaA_M131.pdb     -206.613453 kBT
6tnaA_M256.pdb     -206.510032 kBT
6tnaA_M327.pdb     -198.499211 kBT
6tnaA_M192.pdb     -218.667076 kBT
6tnaA_M41.pdb     -233.804979 kBT
6tnaA_M367.pdb     -221.191955 kBT
6tnaA_M295.pdb     -201.643705 kBT
6tnaA_M28.pdb     -232.191212 kBT
6tnaA_M456.pdb     -201.552768 kBT
6tnaA_M165.pdb     -207.956101 kBT
6tnaA_M488.pdb     -194.283868 kBT
6tnaA_M389.pdb     -202.291476 kBT
6tnaA_M178.pdb     -205.848522 kBT
6tnaA_M219.pdb     -208.663342 kBT
6tnaA_M42.pdb     -227.609564 kBT
6tnaA_M306.pdb     -206.031187 kBT
6tnaA_M123.pdb     -217.702140 kBT
6tnaA_M4.pdb     -246.422844 kBT
6tnaA_M231.pdb     -205.235127 kBT
6tnaA_M102.pdb     -207.973360 kBT
6tnaA_M373.pdb     -193.099633 kBT
6tnaA_M177.pdb     -209.593167 kBT
6tnaA_M17.pdb     -244.594950 kBT
6tnaA_M332.pdb     -204.788831 kBT
6tnaA_M93.pdb     -213.117388 kBT
6tnaA_M426.pdb     -191.888982 kBT
6tnaA_M320.pdb     -197.609307 kBT
6tnaA_M40.pdb     -229.151544 kBT
6tnaA_M174.pdb     -197.019364 kBT
6tnaA_M475.pdb     -202.567384 kBT
6tnaA_M99.pdb     -219.785163 kBT
6tnaA_M401.pdb     -206.304195 kBT
6tnaA_M462.pdb     -182.025346 kBT
6tnaA_M489.pdb     -208.583472 kBT
6tnaA_M101.pdb     -233.192277 kBT
6tnaA_M33.pdb     -237.222071 kBT
6tnaA_M125.pdb     -197.417698 kBT
6tnaA_M63.pdb     -226.551597 kBT
6tnaA_M337.pdb     -198.929822 kBT
6tnaA_M476.pdb     -183.347278 kBT
6tnaA_M8.pdb     -244.587509 kBT
6tnaA_M406.pdb     -199.779355 kBT
6tnaA_M25.pdb     -237.171479 kBT
6tnaA_M439.pdb     -199.322674 kBT
6tnaA_M51.pdb     -229.653757 kBT
6tnaA_M299.pdb     -206.268824 kBT
6tnaA_M304.pdb     -226.374766 kBT
6tnaA_M325.pdb     -221.164825 kBT
6tnaA_M106.pdb     -212.710107 kBT
6tnaA_M485.pdb     -184.803230 kBT
6tnaA_M302.pdb     -192.043537 kBT
6tnaA_M390.pdb     -215.643129 kBT
6tnaA_M242.pdb     -218.049528 kBT
6tnaA_M166.pdb     -218.216827 kBT
6tnaA_M364.pdb     -207.968955 kBT
6tnaA_M264.pdb     -229.426933 kBT
6tnaA_M37.pdb     -222.287775 kBT
6tnaA_M360.pdb     -203.381505 kBT
6tnaA_M85.pdb     -217.123575 kBT
6tnaA_M500.pdb     -199.454261 kBT
6tnaA_M22.pdb     -235.980583 kBT
6tnaA_M117.pdb     -210.233202 kBT
6tnaA_M115.pdb     -207.391383 kBT
6tnaA_M103.pdb     -220.467195 kBT
6tnaA_M111.pdb     -209.000793 kBT
6tnaA_M464.pdb     -188.814701 kBT
6tnaA_M430.pdb     -199.712121 kBT
6tnaA_M134.pdb     -232.276962 kBT
6tnaA_M436.pdb     -203.697298 kBT
6tnaA_M319.pdb     -200.515306 kBT
6tnaA_M385.pdb     -191.142385 kBT
6tnaA_M355.pdb     -192.794737 kBT
6tnaA_M455.pdb     -195.485418 kBT
6tnaA_M356.pdb     -201.205993 kBT
6tnaA_M255.pdb     -202.834866 kBT
6tnaA_M469.pdb     -198.633586 kBT
6tnaA_M267.pdb     -213.508356 kBT
6tnaA_M482.pdb     -193.009888 kBT
6tnaA_M159.pdb     -215.557166 kBT
6tnaA_M446.pdb     -206.358998 kBT
6tnaA_M208.pdb     -221.988894 kBT
6tnaA_M241.pdb     -210.519675 kBT
6tnaA_M293.pdb     -211.540349 kBT
6tnaA_M259.pdb     -198.122291 kBT
6tnaA_M237.pdb     -219.812819 kBT
6tnaA_M53.pdb     -214.241012 kBT
6tnaA_M217.pdb     -211.189099 kBT
6tnaA_M144.pdb     -212.025554 kBT
6tnaA_M317.pdb     -196.177287 kBT
6tnaA_M251.pdb     -227.553490 kBT
6tnaA_M24.pdb     -227.999921 kBT
6tnaA_M452.pdb     -171.504677 kBT
6tnaA_M342.pdb     -203.537528 kBT
6tnaA_M13.pdb     -247.514182 kBT
6tnaA_M379.pdb     -194.869518 kBT
6tnaA_M492.pdb     -200.943741 kBT
6tnaA_M457.pdb     -160.380244 kBT
6tnaA_M386.pdb     -213.104214 kBT
6tnaA_M35.pdb     -232.193808 kBT
6tnaA_M440.pdb     -195.981891 kBT
6tnaA_M314.pdb     -190.703764 kBT
6tnaA_M140.pdb     -198.776470 kBT
6tnaA_M416.pdb     -193.240480 kBT
6tnaA_M139.pdb     -213.263953 kBT
6tnaA_M250.pdb     -196.977951 kBT
6tnaA_M230.pdb     -226.259953 kBT
6tnaA_M26.pdb     -233.508143 kBT
6tnaA_M239.pdb     -203.143207 kBT
6tnaA_M341.pdb     -181.786271 kBT
6tnaA_M116.pdb     -208.137693 kBT
6tnaA_M32.pdb     -224.434292 kBT
6tnaA_M281.pdb     -192.056079 kBT
6tnaA_M203.pdb     -228.567110 kBT
6tnaA_M23.pdb     -232.844740 kBT
6tnaA_M417.pdb     -191.477561 kBT
6tnaA_M62.pdb     -221.995081 kBT
6tnaA_M2.pdb     -253.181198 kBT
6tnaA_M45.pdb     -215.015918 kBT
6tnaA_M276.pdb     -225.455949 kBT
6tnaA_M428.pdb     -214.051880 kBT
6tnaA_M170.pdb     -211.307213 kBT
6tnaA_M36.pdb     -228.196975 kBT
6tnaA_M437.pdb     -208.841802 kBT
6tnaA_M186.pdb     -217.979306 kBT
6tnaA_M64.pdb     -220.153786 kBT
6tnaA_M363.pdb     -212.151075 kBT
6tnaA_M57.pdb     -209.924805 kBT
6tnaA_M120.pdb     -218.159234 kBT
6tnaA_M196.pdb     -218.489788 kBT
6tnaA_M121.pdb     -192.552946 kBT
6tnaA_M404.pdb     -177.749246 kBT
6tnaA_M19.pdb     -239.528295 kBT
6tnaA_M287.pdb     -203.814301 kBT
6tnaA_M195.pdb     -209.064726 kBT
6tnaA_M403.pdb     -198.903496 kBT
6tnaA_M308.pdb     -212.604623 kBT
6tnaA_M238.pdb     -208.737687 kBT
6tnaA_M441.pdb     -178.336498 kBT
6tnaA_M227.pdb     -192.770604 kBT
6tnaA_M263.pdb     -221.794231 kBT
6tnaA_M58.pdb     -238.437550 kBT
6tnaA_M3.pdb     -250.439933 kBT
6tnaA_M119.pdb     -227.139187 kBT
6tnaA_M16.pdb     -236.040278 kBT
6tnaA_M490.pdb     -185.563306 kBT
6tnaA_M272.pdb     -209.060780 kBT
6tnaA_M393.pdb     -232.428856 kBT
6tnaA_M279.pdb     -210.830426 kBT
6tnaA_M48.pdb     -223.798501 kBT
6tnaA_M163.pdb     -218.675796 kBT
6tnaA_M451.pdb     -204.352014 kBT
6tnaA_M362.pdb     -194.232979 kBT
6tnaA_M146.pdb     -192.392946 kBT
6tnaA_M21.pdb     -243.250904 kBT
6tnaA_M262.pdb     -206.639070 kBT
6tnaA_M234.pdb     -209.902546 kBT
6tnaA_M472.pdb     -202.525788 kBT
6tnaA_M169.pdb     -231.736722 kBT
6tnaA_M150.pdb     -211.434767 kBT
6tnaA_M315.pdb     -215.193119 kBT
6tnaA_M130.pdb     -212.808358 kBT
6tnaA_M222.pdb     -213.077707 kBT
6tnaA_M149.pdb     -212.957183 kBT
6tnaA_M348.pdb     -191.572297 kBT
6tnaA_M392.pdb     -188.479129 kBT
6tnaA_M105.pdb     -203.313299 kBT
6tnaA_M112.pdb     -197.019821 kBT
6tnaA_M254.pdb     -208.001162 kBT
6tnaA_M483.pdb     -205.732143 kBT
6tnaA_M460.pdb     -198.700405 kBT
6tnaA_M357.pdb     -215.421346 kBT
6tnaA_M282.pdb     -210.065457 kBT
6tnaA_M411.pdb     -191.521178 kBT
6tnaA_M480.pdb     -197.117094 kBT
6tnaA_M435.pdb     -178.211599 kBT
6tnaA_M191.pdb     -200.684469 kBT
6tnaA_M122.pdb     -211.696036 kBT
6tnaA_M244.pdb     -200.212943 kBT
6tnaA_M467.pdb     -216.450960 kBT
6tnaA_M221.pdb     -216.761742 kBT
6tnaA_M9.pdb     -246.430081 kBT
6tnaA_M381.pdb     -209.589104 kBT
6tnaA_M421.pdb     -197.584142 kBT
6tnaA_M448.pdb     -207.854229 kBT
6tnaA_M418.pdb     -214.031745 kBT
6tnaA_M432.pdb     -209.995915 kBT
6tnaA_M49.pdb     -226.590584 kBT
6tnaA_M218.pdb     -223.847506 kBT
6tnaA_M376.pdb     -186.090460 kBT
6tnaA_M128.pdb     -210.436019 kBT
6tnaA_M79.pdb     -226.103488 kBT
6tnaA_M199.pdb     -200.119519 kBT
6tnaA_M395.pdb     -188.328327 kBT
6tnaA_M447.pdb     -222.724739 kBT
6tnaA_M260.pdb     -205.145502 kBT
6tnaA_M346.pdb     -188.313300 kBT
6tnaA_M380.pdb     -210.171405 kBT
6tnaA_M424.pdb     -200.020956 kBT
6tnaA_M442.pdb     -176.003981 kBT
6tnaA_M491.pdb     -210.527639 kBT
6tnaA_M463.pdb     -204.026609 kBT
6tnaA_M133.pdb     -212.004341 kBT
6tnaA_M350.pdb     -204.801711 kBT
6tnaA_M180.pdb     -200.802115 kBT
6tnaA_M347.pdb     -189.889278 kBT
6tnaA_M152.pdb     -203.363258 kBT
6tnaA_M209.pdb     -196.872340 kBT
6tnaA_M470.pdb     -190.199743 kBT
6tnaA_M132.pdb     -208.606921 kBT
6tnaA_M498.pdb     -190.666645 kBT
6tnaA_M176.pdb     -211.916588 kBT
6tnaA_M438.pdb     -200.665800 kBT
6tnaA_M18.pdb     -240.393265 kBT
6tnaA_M104.pdb     -209.436053 kBT
6tnaA_M213.pdb     -206.123582 kBT
6tnaA_M70.pdb     -207.586762 kBT
6tnaA_M82.pdb     -212.142379 kBT
6tnaA_M66.pdb     -206.652886 kBT
6tnaA_M68.pdb     -228.008898 kBT
6tnaA_M398.pdb     -196.457690 kBT
6tnaA_M84.pdb     -223.558852 kBT
6tnaA_M396.pdb     -197.831966 kBT
6tnaA_M292.pdb     -221.005958 kBT
6tnaA_M95.pdb     -222.788580 kBT
6tnaA_M305.pdb     -202.534237 kBT
6tnaA_M290.pdb     -199.209670 kBT
6tnaA_M412.pdb     -200.941024 kBT
6tnaA_M157.pdb     -199.109483 kBT
6tnaA_M135.pdb     -216.588947 kBT
6tnaA_M344.pdb     -194.603488 kBT
6tnaA_M481.pdb     -216.727815 kBT
6tnaA_M303.pdb     -207.395100 kBT
6tnaA_M252.pdb     -191.494715 kBT
6tnaA_M204.pdb     -201.920388 kBT
6tnaA_M228.pdb     -198.685542 kBT
6tnaA_M285.pdb     -214.924681 kBT
6tnaA_M301.pdb     -216.995110 kBT
6tnaA_M83.pdb     -233.530010 kBT
6tnaA_M423.pdb     -197.226457 kBT
6tnaA_M179.pdb     -212.528581 kBT
6tnaA_M61.pdb     -221.421339 kBT
6tnaA_M155.pdb     -210.467465 kBT
6tnaA_M275.pdb     -222.539356 kBT
6tnaA_M269.pdb     -223.838148 kBT
6tnaA_M7.pdb     -244.469093 kBT
6tnaA_M175.pdb     -216.523404 kBT
6tnaA_M181.pdb     -216.743596 kBT
6tnaA_M408.pdb     -178.832251 kBT
6tnaA_M14.pdb     -241.262586 kBT
6tnaA_M331.pdb     -212.655050 kBT
6tnaA_M12.pdb     -239.024191 kBT
6tnaA_M29.pdb     -225.810741 kBT
6tnaA_M161.pdb     -212.879458 kBT
6tnaA_M124.pdb     -213.869459 kBT
6tnaA_M427.pdb     -204.502620 kBT
6tnaA_M145.pdb     -213.367175 kBT
6tnaA_M425.pdb     -205.374386 kBT
6tnaA_M229.pdb     -196.478083 kBT
6tnaA_M487.pdb     -232.201320 kBT
6tnaA_M413.pdb     -198.664076 kBT
6tnaA_M466.pdb     -187.855341 kBT
6tnaA_M50.pdb     -221.986065 kBT
6tnaA_M268.pdb     -197.535721 kBT
6tnaA_M202.pdb     -224.775415 kBT
6tnaA_M405.pdb     -183.835908 kBT
6tnaA_M194.pdb     -204.507385 kBT
6tnaA_M190.pdb     -203.301761 kBT
6tnaA_M182.pdb     -228.192765 kBT
6tnaA_M65.pdb     -217.391724 kBT
6tnaA_M459.pdb     -197.328505 kBT
6tnaA_M415.pdb     -182.099976 kBT
6tnaA_M96.pdb     -226.281729 kBT
6tnaA_M443.pdb     -199.245872 kBT
6tnaA_M154.pdb     -201.308383 kBT
6tnaA_M31.pdb     -231.103100 kBT
6tnaA_M273.pdb     -186.963175 kBT
6tnaA_M54.pdb     -214.156643 kBT
6tnaA_M300.pdb     -214.778747 kBT
6tnaA_M206.pdb     -223.536400 kBT
6tnaA_M349.pdb     -211.831335 kBT
6tnaA_M478.pdb     -212.675419 kBT
6tnaA_M465.pdb     -186.732685 kBT
6tnaA_M243.pdb     -218.446806 kBT
6tnaA_M46.pdb     -226.891089 kBT
6tnaA_M284.pdb     -193.355733 kBT
6tnaA_M215.pdb     -209.945282 kBT
6tnaA_M329.pdb     -219.624928 kBT
6tnaA_M107.pdb     -211.240973 kBT
6tnaA_M316.pdb     -215.603187 kBT
6tnaA_M330.pdb     -206.026426 kBT
6tnaA_M369.pdb     -206.937040 kBT
6tnaA_M377.pdb     -208.067470 kBT
6tnaA_M388.pdb     -194.822796 kBT
6tnaA_M148.pdb     -203.097329 kBT
6tnaA_M387.pdb     -192.623321 kBT
6tnaA_M378.pdb     -205.811528 kBT
6tnaA_M162.pdb     -215.422441 kBT
6tnaA_M44.pdb     -212.278400 kBT
6tnaA_M296.pdb     -200.347189 kBT
6tnaA_M399.pdb     -180.433844 kBT
6tnaA_M172.pdb     -227.547603 kBT
6tnaA_M226.pdb     -211.658704 kBT
6tnaA_M497.pdb     -207.505170 kBT
6tnaA_M493.pdb     -186.130482 kBT
6tnaA_M67.pdb     -237.204721 kBT
6tnaA_M298.pdb     -200.197238 kBT
6tnaA_M280.pdb     -198.549764 kBT
6tnaA_M397.pdb     -183.974381 kBT
6tnaA_M138.pdb     -210.871271 kBT
6tnaA_M118.pdb     -202.799867 kBT
6tnaA_M266.pdb     -211.449203 kBT
6tnaA_M233.pdb     -214.039780 kBT
6tnaA_M160.pdb     -212.133148 kBT
6tnaA_M214.pdb     -223.528707 kBT
6tnaA_M113.pdb     -216.836557 kBT
6tnaA_M370.pdb     -206.764723 kBT
6tnaA_M359.pdb     -198.552131 kBT
6tnaA_M81.pdb     -217.931028 kBT
6tnaA_M353.pdb     -199.053879 kBT
6tnaA_M358.pdb     -215.883371 kBT
6tnaA_M55.pdb     -225.603686 kBT
6tnaA_M326.pdb     -208.705255 kBT
6tnaA_M77.pdb     -230.292589 kBT
6tnaA_M247.pdb     -212.482325 kBT
6tnaA_M277.pdb     -199.821103 kBT
6tnaA_M43.pdb     -231.347688 kBT
6tnaA_M323.pdb     -194.555675 kBT
6tnaA_M94.pdb     -202.155206 kBT
6tnaA_M407.pdb     -205.098656 kBT
6tnaA_M368.pdb     -203.883303 kBT
6tnaA_M173.pdb     -191.235731 kBT
6tnaA_M47.pdb     -229.180668 kBT
6tnaA_M60.pdb     -214.628418 kBT
6tnaA_M69.pdb     -220.449004 kBT
6tnaA_M429.pdb     -209.277320 kBT
6tnaA_M90.pdb     -223.242695 kBT
6tnaA_M127.pdb     -219.802640 kBT
6tnaA_M468.pdb     -190.239603 kBT
6tnaA_M450.pdb     -214.682627 kBT
6tnaA_M431.pdb     -207.420284 kBT
6tnaA_M340.pdb     -211.670890 kBT
6tnaA_M253.pdb     -203.139192 kBT
6tnaA_M220.pdb     -193.148617 kBT
6tnaA_M474.pdb     -208.377639 kBT
6tnaA_M496.pdb     -176.960107 kBT
6tnaA_M410.pdb     -205.714898 kBT
6tnaA_M294.pdb     -210.182143 kBT
6tnaA_M318.pdb     -197.286875 kBT
6tnaA_M310.pdb     -199.343779 kBT
6tnaA_M1.pdb     -254.097760 kBT
6tnaA_M422.pdb     -195.499578 kBT
6tnaA_M486.pdb     -185.255077 kBT
6tnaA_M449.pdb     -208.706479 kBT
6tnaA_M338.pdb     -193.880130 kBT
6tnaA_M158.pdb     -206.511479 kBT
6tnaA_M240.pdb     -196.350112 kBT
6tnaA_M11.pdb     -246.889447 kBT
6tnaA_M312.pdb     -192.935423 kBT
6tnaA_M6.pdb     -252.757639 kBT
6tnaA_M339.pdb     -207.270851 kBT
6tnaA_M291.pdb     -203.587494 kBT
6tnaA_M402.pdb     -205.745274 kBT
6tnaA_M184.pdb     -206.319255 kBT
6tnaA_M249.pdb     -212.722662 kBT
6tnaA_M289.pdb     -203.793370 kBT
6tnaA_M71.pdb     -230.807817 kBT
6tnaA_M39.pdb     -223.030046 kBT
6tnaA_M100.pdb     -222.618296 kBT
6tnaA_M201.pdb     -224.847823 kBT
6tnaA_M193.pdb     -210.137140 kBT
6tnaA.pdb     -320.866916 kBT
6tnaA_M211.pdb     -204.332565 kBT
6tnaA_M374.pdb     -199.868756 kBT
6tnaA_M212.pdb     -194.198097 kBT
6tnaA_M185.pdb     -222.691644 kBT
6tnaA_M434.pdb     -201.358342 kBT
6tnaA_M30.pdb     -239.001176 kBT
6tnaA_M288.pdb     -211.778237 kBT
6tnaA_M151.pdb     -217.456439 kBT
6tnaA_M366.pdb     -204.564445 kBT
6tnaA_M283.pdb     -208.541175 kBT
6tnaA_M198.pdb     -207.959958 kBT
6tnaA_M236.pdb     -196.291832 kBT
6tnaA_M76.pdb     -221.650821 kBT
6tnaA_M88.pdb     -211.258173 kBT
6tnaA_M10.pdb     -246.386861 kBT
6tnaA_M371.pdb     -201.311965 kBT
6tnaA_M136.pdb     -213.042793 kBT
6tnaA_M205.pdb     -208.561531 kBT
