3f30X_M33.pdb     -420.023906 kBT
3f30X_M190.pdb     -373.078611 kBT
3f30X_M274.pdb     -380.873683 kBT
3f30X_M318.pdb     -388.238592 kBT
3f30X_M181.pdb     -398.061167 kBT
3f30X_M372.pdb     -380.441149 kBT
3f30X_M87.pdb     -411.133889 kBT
3f30X_M496.pdb     -368.910242 kBT
3f30X_M262.pdb     -380.354866 kBT
3f30X_M226.pdb     -378.458283 kBT
3f30X_M389.pdb     -402.916636 kBT
3f30X_M71.pdb     -385.728087 kBT
3f30X_M497.pdb     -376.249888 kBT
3f30X_M348.pdb     -390.257783 kBT
3f30X_M402.pdb     -373.299396 kBT
3f30X_M500.pdb     -384.270806 kBT
3f30X_M77.pdb     -399.189964 kBT
3f30X_M268.pdb     -387.816464 kBT
3f30X_M418.pdb     -368.651928 kBT
3f30X_M224.pdb     -394.368704 kBT
3f30X_M142.pdb     -382.857278 kBT
3f30X_M3.pdb     -447.315271 kBT
3f30X_M428.pdb     -396.904908 kBT
3f30X_M288.pdb     -393.878817 kBT
3f30X_M69.pdb     -404.092487 kBT
3f30X_M315.pdb     -372.021782 kBT
3f30X_M18.pdb     -440.672643 kBT
3f30X_M460.pdb     -379.983064 kBT
3f30X_M489.pdb     -371.731869 kBT
3f30X_M237.pdb     -356.242676 kBT
3f30X_M251.pdb     -382.625169 kBT
3f30X_M255.pdb     -375.327716 kBT
3f30X_M230.pdb     -375.316182 kBT
3f30X_M98.pdb     -410.906205 kBT
3f30X_M478.pdb     -365.849645 kBT
3f30X_M417.pdb     -382.609927 kBT
3f30X_M280.pdb     -350.026896 kBT
3f30X_M72.pdb     -405.325501 kBT
3f30X_M208.pdb     -383.373352 kBT
3f30X_M399.pdb     -369.717319 kBT
3f30X_M61.pdb     -413.150216 kBT
3f30X_M435.pdb     -362.438801 kBT
3f30X_M83.pdb     -386.345648 kBT
3f30X_M122.pdb     -395.677878 kBT
3f30X_M499.pdb     -381.914178 kBT
3f30X_M244.pdb     -383.501534 kBT
3f30X_M485.pdb     -383.756226 kBT
3f30X_M303.pdb     -381.694255 kBT
3f30X_M330.pdb     -403.527941 kBT
3f30X_M74.pdb     -406.298626 kBT
3f30X_M461.pdb     -393.205573 kBT
3f30X_M349.pdb     -370.558074 kBT
3f30X_M323.pdb     -387.700749 kBT
3f30X_M94.pdb     -396.412882 kBT
3f30X_M424.pdb     -404.299729 kBT
3f30X_M309.pdb     -369.214159 kBT
3f30X_M34.pdb     -406.347932 kBT
3f30X_M284.pdb     -360.769597 kBT
3f30X_M470.pdb     -351.140781 kBT
3f30X_M163.pdb     -381.281191 kBT
3f30X_M232.pdb     -399.485167 kBT
3f30X_M371.pdb     -364.001703 kBT
3f30X_M188.pdb     -383.118457 kBT
3f30X_M345.pdb     -401.744446 kBT
3f30X_M166.pdb     -354.584992 kBT
3f30X_M138.pdb     -398.886878 kBT
3f30X_M367.pdb     -347.556151 kBT
3f30X_M366.pdb     -385.828874 kBT
3f30X_M463.pdb     -367.118024 kBT
3f30X_M384.pdb     -365.081740 kBT
3f30X_M197.pdb     -371.465023 kBT
3f30X_M452.pdb     -370.054615 kBT
3f30X_M191.pdb     -375.387128 kBT
3f30X_M340.pdb     -352.335695 kBT
3f30X_M31.pdb     -412.924920 kBT
3f30X_M205.pdb     -398.270855 kBT
3f30X_M454.pdb     -367.961252 kBT
3f30X_M412.pdb     -356.169505 kBT
3f30X_M151.pdb     -376.214892 kBT
3f30X_M394.pdb     -376.613788 kBT
3f30X_M186.pdb     -359.515766 kBT
3f30X_M446.pdb     -394.727505 kBT
3f30X_M228.pdb     -396.665648 kBT
3f30X_M183.pdb     -395.463679 kBT
3f30X_M350.pdb     -390.568357 kBT
3f30X_M488.pdb     -370.557496 kBT
3f30X_M170.pdb     -374.546149 kBT
3f30X_M40.pdb     -416.395844 kBT
3f30X_M140.pdb     -388.029750 kBT
3f30X_M252.pdb     -387.494358 kBT
3f30X_M192.pdb     -388.871245 kBT
3f30X_M491.pdb     -377.161905 kBT
3f30X_M101.pdb     -405.817600 kBT
3f30X_M88.pdb     -380.134920 kBT
3f30X_M387.pdb     -380.699222 kBT
3f30X_M337.pdb     -385.342728 kBT
3f30X_M297.pdb     -365.227102 kBT
3f30X_M132.pdb     -385.577591 kBT
3f30X_M156.pdb     -385.126397 kBT
3f30X_M487.pdb     -351.652859 kBT
3f30X_M107.pdb     -408.226911 kBT
3f30X_M306.pdb     -377.575744 kBT
3f30X_M60.pdb     -403.907752 kBT
3f30X_M153.pdb     -394.859816 kBT
3f30X_M52.pdb     -416.284690 kBT
3f30X_M235.pdb     -388.511191 kBT
3f30X_M62.pdb     -389.950300 kBT
3f30X_M214.pdb     -422.137782 kBT
3f30X_M68.pdb     -402.084264 kBT
3f30X_M329.pdb     -385.783386 kBT
3f30X_M78.pdb     -381.835874 kBT
3f30X_M277.pdb     -361.127756 kBT
3f30X_M294.pdb     -376.134904 kBT
3f30X_M50.pdb     -420.496992 kBT
3f30X_M422.pdb     -360.124170 kBT
3f30X_M305.pdb     -400.689539 kBT
3f30X_M440.pdb     -382.808017 kBT
3f30X_M327.pdb     -389.405639 kBT
3f30X_M425.pdb     -363.841159 kBT
3f30X_M415.pdb     -367.225301 kBT
3f30X_M43.pdb     -405.016130 kBT
3f30X_M86.pdb     -377.087852 kBT
3f30X_M291.pdb     -384.340289 kBT
3f30X_M279.pdb     -363.111675 kBT
3f30X_M28.pdb     -404.883963 kBT
3f30X_M313.pdb     -399.692749 kBT
3f30X_M308.pdb     -365.242126 kBT
3f30X_M317.pdb     -382.540575 kBT
3f30X_M356.pdb     -377.914128 kBT
3f30X_M444.pdb     -389.421868 kBT
3f30X_M21.pdb     -430.128854 kBT
3f30X_M299.pdb     -365.077602 kBT
3f30X_M171.pdb     -376.342081 kBT
3f30X_M359.pdb     -377.553450 kBT
3f30X_M455.pdb     -366.037737 kBT
3f30X_M158.pdb     -369.602456 kBT
3f30X_M25.pdb     -444.602813 kBT
3f30X_M245.pdb     -370.144977 kBT
3f30X_M420.pdb     -376.697717 kBT
3f30X_M220.pdb     -403.249211 kBT
3f30X_M106.pdb     -390.237085 kBT
3f30X_M223.pdb     -387.475031 kBT
3f30X_M253.pdb     -403.543665 kBT
3f30X_M343.pdb     -370.435705 kBT
3f30X_M16.pdb     -451.071953 kBT
3f30X_M473.pdb     -389.907814 kBT
3f30X_M263.pdb     -367.043247 kBT
3f30X_M442.pdb     -399.349191 kBT
3f30X_M180.pdb     -381.229559 kBT
3f30X_M426.pdb     -383.416316 kBT
3f30X_M494.pdb     -385.964611 kBT
3f30X_M131.pdb     -380.994259 kBT
3f30X_M141.pdb     -375.295382 kBT
3f30X_M177.pdb     -395.579144 kBT
3f30X_M449.pdb     -398.659335 kBT
3f30X_M174.pdb     -368.030533 kBT
3f30X_M376.pdb     -399.948113 kBT
3f30X_M145.pdb     -355.547128 kBT
3f30X_M479.pdb     -368.059317 kBT
3f30X_M351.pdb     -354.243811 kBT
3f30X_M276.pdb     -374.976227 kBT
3f30X_M443.pdb     -356.526461 kBT
3f30X_M213.pdb     -378.516180 kBT
3f30X_M358.pdb     -370.368646 kBT
3f30X_M447.pdb     -359.846611 kBT
3f30X_M96.pdb     -384.877774 kBT
3f30X_M148.pdb     -364.053513 kBT
3f30X_M492.pdb     -379.237050 kBT
3f30X_M123.pdb     -370.616475 kBT
3f30X_M195.pdb     -358.952671 kBT
3f30X_M375.pdb     -382.778892 kBT
3f30X_M475.pdb     -387.398679 kBT
3f30X_M115.pdb     -377.402507 kBT
3f30X_M79.pdb     -397.668588 kBT
3f30X_M477.pdb     -406.619022 kBT
3f30X_M173.pdb     -369.187810 kBT
3f30X_M211.pdb     -392.803550 kBT
3f30X_M127.pdb     -386.473636 kBT
3f30X_M495.pdb     -391.164634 kBT
3f30X_M5.pdb     -459.263370 kBT
3f30X_M91.pdb     -405.197155 kBT
3f30X_M199.pdb     -369.236885 kBT
3f30X_M467.pdb     -371.252224 kBT
3f30X_M193.pdb     -385.148091 kBT
3f30X_M29.pdb     -433.389599 kBT
3f30X_M416.pdb     -385.991266 kBT
3f30X_M216.pdb     -394.905943 kBT
3f30X_M405.pdb     -390.469327 kBT
3f30X_M264.pdb     -390.957991 kBT
3f30X_M217.pdb     -382.866892 kBT
3f30X_M128.pdb     -393.061964 kBT
3f30X_M168.pdb     -374.819695 kBT
3f30X_M176.pdb     -388.065698 kBT
3f30X_M118.pdb     -379.536162 kBT
3f30X_M24.pdb     -436.797224 kBT
3f30X_M290.pdb     -391.411978 kBT
3f30X_M362.pdb     -383.631124 kBT
3f30X_M450.pdb     -390.246234 kBT
3f30X_M486.pdb     -391.755651 kBT
3f30X_M286.pdb     -396.391660 kBT
3f30X_M298.pdb     -382.674159 kBT
3f30X_M408.pdb     -378.772688 kBT
3f30X_M218.pdb     -386.582502 kBT
3f30X_M201.pdb     -364.310077 kBT
3f30X_M281.pdb     -402.676037 kBT
3f30X_M206.pdb     -356.475265 kBT
3f30X_M154.pdb     -388.253201 kBT
3f30X_M269.pdb     -374.311265 kBT
3f30X_M380.pdb     -378.051917 kBT
3f30X_M338.pdb     -380.055048 kBT
3f30X_M204.pdb     -387.905636 kBT
3f30X_M82.pdb     -399.744952 kBT
3f30X_M451.pdb     -363.872302 kBT
3f30X_M483.pdb     -361.995853 kBT
3f30X_M289.pdb     -380.427563 kBT
3f30X_M160.pdb     -390.568576 kBT
3f30X_M134.pdb     -379.244601 kBT
3f30X_M354.pdb     -380.828797 kBT
3f30X_M37.pdb     -421.521503 kBT
3f30X_M238.pdb     -383.539104 kBT
3f30X_M248.pdb     -358.747182 kBT
3f30X_M242.pdb     -382.685558 kBT
3f30X_M95.pdb     -403.195145 kBT
3f30X_M57.pdb     -391.888279 kBT
3f30X_M99.pdb     -371.921187 kBT
3f30X_M49.pdb     -399.140366 kBT
3f30X_M59.pdb     -393.587995 kBT
3f30X_M437.pdb     -397.734545 kBT
3f30X_M47.pdb     -408.719959 kBT
3f30X_M124.pdb     -375.053638 kBT
3f30X_M56.pdb     -401.447633 kBT
3f30X_M283.pdb     -386.612481 kBT
3f30X_M378.pdb     -369.112692 kBT
3f30X_M419.pdb     -361.712994 kBT
3f30X_M120.pdb     -381.405846 kBT
3f30X_M423.pdb     -366.536064 kBT
3f30X_M481.pdb     -362.533119 kBT
3f30X_M169.pdb     -390.111788 kBT
3f30X_M316.pdb     -382.019919 kBT
3f30X_M295.pdb     -373.961511 kBT
3f30X_M353.pdb     -384.730313 kBT
3f30X_M249.pdb     -367.348682 kBT
3f30X_M390.pdb     -362.534694 kBT
3f30X_M441.pdb     -395.424006 kBT
3f30X_M436.pdb     -359.325360 kBT
3f30X_M448.pdb     -371.793219 kBT
3f30X_M490.pdb     -357.475354 kBT
3f30X_M112.pdb     -385.044745 kBT
3f30X_M278.pdb     -394.533159 kBT
3f30X_M97.pdb     -397.868058 kBT
3f30X_M457.pdb     -374.044305 kBT
3f30X_M6.pdb     -460.386915 kBT
3f30X_M322.pdb     -361.922058 kBT
3f30X_M225.pdb     -388.615711 kBT
3f30X_M23.pdb     -445.203401 kBT
3f30X_M243.pdb     -366.859083 kBT
3f30X_M472.pdb     -362.295080 kBT
3f30X_M326.pdb     -389.384151 kBT
3f30X_M152.pdb     -400.214371 kBT
3f30X_M75.pdb     -395.633513 kBT
3f30X_M395.pdb     -363.308543 kBT
3f30X_M484.pdb     -392.536086 kBT
3f30X_M346.pdb     -381.206277 kBT
3f30X_M364.pdb     -402.044242 kBT
3f30X_M383.pdb     -368.054657 kBT
3f30X_M113.pdb     -396.905040 kBT
3f30X_M476.pdb     -353.259300 kBT
3f30X_M344.pdb     -378.482566 kBT
3f30X_M468.pdb     -355.340099 kBT
3f30X_M397.pdb     -394.104789 kBT
3f30X_M147.pdb     -389.839373 kBT
3f30X_M385.pdb     -389.648606 kBT
3f30X_M136.pdb     -407.604480 kBT
3f30X_M58.pdb     -413.099578 kBT
3f30X_M198.pdb     -393.405583 kBT
3f30X_M143.pdb     -374.795650 kBT
3f30X_M270.pdb     -373.793290 kBT
3f30X_M175.pdb     -383.802015 kBT
3f30X_M439.pdb     -386.169506 kBT
3f30X_M30.pdb     -420.722315 kBT
3f30X_M51.pdb     -417.438886 kBT
3f30X_M159.pdb     -372.286696 kBT
3f30X_M8.pdb     -461.093602 kBT
3f30X_M7.pdb     -460.354972 kBT
3f30X_M178.pdb     -375.175702 kBT
3f30X_M379.pdb     -367.780124 kBT
3f30X_M254.pdb     -394.625787 kBT
3f30X_M413.pdb     -378.803773 kBT
3f30X_M36.pdb     -404.202767 kBT
3f30X_M14.pdb     -434.665714 kBT
3f30X_M462.pdb     -381.928094 kBT
3f30X_M464.pdb     -392.164359 kBT
3f30X_M392.pdb     -385.718526 kBT
3f30X_M17.pdb     -453.975849 kBT
3f30X_M80.pdb     -389.474863 kBT
3f30X_M241.pdb     -375.322479 kBT
3f30X_M103.pdb     -391.996556 kBT
3f30X_M65.pdb     -396.534492 kBT
3f30X_M365.pdb     -374.851360 kBT
3f30X_M398.pdb     -369.282748 kBT
3f30X_M54.pdb     -401.102637 kBT
3f30X_M466.pdb     -365.999618 kBT
3f30X_M352.pdb     -384.268100 kBT
3f30X_M400.pdb     -361.927020 kBT
3f30X_M471.pdb     -385.546041 kBT
3f30X_M381.pdb     -378.665904 kBT
3f30X_M9.pdb     -456.477443 kBT
3f30X_M155.pdb     -401.264066 kBT
3f30X_M261.pdb     -371.613054 kBT
3f30X_M434.pdb     -381.887350 kBT
3f30X_M370.pdb     -372.124447 kBT
3f30X_M104.pdb     -380.577566 kBT
3f30X_M341.pdb     -384.422796 kBT
3f30X_M236.pdb     -359.067264 kBT
3f30X_M165.pdb     -393.858813 kBT
3f30X_M438.pdb     -369.658281 kBT
3f30X_M459.pdb     -390.302261 kBT
3f30X_M498.pdb     -391.276990 kBT
3f30X_M167.pdb     -383.494505 kBT
3f30X_M187.pdb     -376.928341 kBT
3f30X_M149.pdb     -395.420328 kBT
3f30X_M259.pdb     -380.757021 kBT
3f30X_M81.pdb     -382.410480 kBT
3f30X_M84.pdb     -390.158751 kBT
3f30X_M219.pdb     -367.281235 kBT
3f30X_M182.pdb     -377.285672 kBT
3f30X_M391.pdb     -373.156357 kBT
3f30X_M310.pdb     -374.946161 kBT
3f30X_M233.pdb     -385.814519 kBT
3f30X_M210.pdb     -385.790133 kBT
3f30X_M335.pdb     -367.724944 kBT
3f30X_M229.pdb     -382.654500 kBT
3f30X_M227.pdb     -365.548958 kBT
3f30X_M222.pdb     -383.678580 kBT
3f30X_M139.pdb     -357.783287 kBT
3f30X_M429.pdb     -361.909348 kBT
3f30X_M404.pdb     -373.360864 kBT
3f30X_M26.pdb     -400.221516 kBT
3f30X_M121.pdb     -368.431858 kBT
3f30X_M363.pdb     -361.999731 kBT
3f30X_M137.pdb     -377.416064 kBT
3f30X_M67.pdb     -396.426008 kBT
3f30X_M85.pdb     -400.431810 kBT
3f30X_M377.pdb     -389.550276 kBT
3f30X_M333.pdb     -356.714737 kBT
3f30X_M493.pdb     -374.504375 kBT
3f30X_M250.pdb     -391.140436 kBT
3f30X_M207.pdb     -384.442093 kBT
3f30X_M70.pdb     -387.638241 kBT
3f30X_M2.pdb     -456.922088 kBT
3f30X_M179.pdb     -379.390266 kBT
3f30X_M271.pdb     -396.509321 kBT
3f30X_M403.pdb     -388.062000 kBT
3f30X_M321.pdb     -360.548874 kBT
3f30X_M73.pdb     -403.985659 kBT
3f30X_M427.pdb     -381.711130 kBT
3f30X_M311.pdb     -365.613923 kBT
3f30X_M373.pdb     -347.785458 kBT
3f30X_M135.pdb     -387.832487 kBT
3f30X_M172.pdb     -363.766780 kBT
3f30X_M93.pdb     -380.458815 kBT
3f30X_M55.pdb     -402.326592 kBT
