1h4sT_M51.pdb     -232.422177 kBT
1h4sT_M3.pdb     -230.252207 kBT
1h4sT_M379.pdb     -215.683349 kBT
1h4sT_M427.pdb     -214.828495 kBT
1h4sT_M407.pdb     -220.018016 kBT
1h4sT_M343.pdb     -216.646472 kBT
1h4sT_M67.pdb     -222.969987 kBT
1h4sT_M335.pdb     -208.666740 kBT
1h4sT_M158.pdb     -217.556296 kBT
1h4sT_M181.pdb     -233.391014 kBT
1h4sT_M356.pdb     -227.728730 kBT
1h4sT_M346.pdb     -209.964099 kBT
1h4sT_M105.pdb     -228.132396 kBT
1h4sT_M9.pdb     -234.257894 kBT
1h4sT_M171.pdb     -235.797651 kBT
1h4sT_M210.pdb     -220.512961 kBT
1h4sT_M180.pdb     -208.561640 kBT
1h4sT_M220.pdb     -213.451304 kBT
1h4sT_M350.pdb     -228.464889 kBT
1h4sT_M455.pdb     -213.516732 kBT
1h4sT.pdb     -285.838238 kBT
1h4sT_M13.pdb     -234.688042 kBT
1h4sT_M102.pdb     -204.655228 kBT
1h4sT_M1.pdb     -228.443594 kBT
1h4sT_M7.pdb     -230.807484 kBT
1h4sT_M58.pdb     -218.282588 kBT
1h4sT_M303.pdb     -218.544470 kBT
1h4sT_M349.pdb     -199.445838 kBT
1h4sT_M80.pdb     -214.982163 kBT
1h4sT_M97.pdb     -230.033986 kBT
1h4sT_M252.pdb     -202.884051 kBT
1h4sT_M402.pdb     -204.874992 kBT
1h4sT_M254.pdb     -243.346675 kBT
1h4sT_M340.pdb     -229.004834 kBT
1h4sT_M295.pdb     -208.003969 kBT
1h4sT_M298.pdb     -215.141544 kBT
1h4sT_M219.pdb     -235.690009 kBT
1h4sT_M471.pdb     -206.297552 kBT
1h4sT_M85.pdb     -212.716508 kBT
1h4sT_M307.pdb     -217.022244 kBT
1h4sT_M103.pdb     -220.133259 kBT
1h4sT_M150.pdb     -211.215562 kBT
1h4sT_M140.pdb     -225.887491 kBT
1h4sT_M319.pdb     -204.871148 kBT
1h4sT_M362.pdb     -179.928880 kBT
1h4sT_M300.pdb     -242.230414 kBT
1h4sT_M410.pdb     -213.310072 kBT
1h4sT_M326.pdb     -212.838881 kBT
1h4sT_M57.pdb     -218.004493 kBT
1h4sT_M155.pdb     -232.579018 kBT
1h4sT_M203.pdb     -214.435725 kBT
1h4sT_M344.pdb     -211.445048 kBT
1h4sT_M175.pdb     -214.796737 kBT
1h4sT_M488.pdb     -208.415792 kBT
1h4sT_M56.pdb     -237.580726 kBT
1h4sT_M69.pdb     -230.852756 kBT
1h4sT_M462.pdb     -209.075816 kBT
1h4sT_M43.pdb     -219.950777 kBT
1h4sT_M72.pdb     -242.111400 kBT
1h4sT_M124.pdb     -229.293925 kBT
1h4sT_M118.pdb     -220.527587 kBT
1h4sT_M104.pdb     -198.470810 kBT
1h4sT_M419.pdb     -229.293552 kBT
1h4sT_M112.pdb     -218.832818 kBT
1h4sT_M275.pdb     -212.838514 kBT
1h4sT_M358.pdb     -219.215981 kBT
1h4sT_M176.pdb     -233.849256 kBT
1h4sT_M294.pdb     -217.377408 kBT
1h4sT_M126.pdb     -228.376322 kBT
1h4sT_M442.pdb     -223.036928 kBT
1h4sT_M247.pdb     -248.588783 kBT
1h4sT_M146.pdb     -233.306395 kBT
1h4sT_M454.pdb     -217.673108 kBT
1h4sT_M354.pdb     -204.626310 kBT
1h4sT_M399.pdb     -216.849868 kBT
1h4sT_M460.pdb     -250.403292 kBT
1h4sT_M310.pdb     -225.383182 kBT
1h4sT_M438.pdb     -224.889210 kBT
1h4sT_M281.pdb     -207.083802 kBT
1h4sT_M432.pdb     -217.190526 kBT
1h4sT_M288.pdb     -206.147064 kBT
1h4sT_M239.pdb     -206.022693 kBT
1h4sT_M249.pdb     -192.411697 kBT
1h4sT_M325.pdb     -232.584054 kBT
1h4sT_M197.pdb     -229.788315 kBT
1h4sT_M31.pdb     -238.685085 kBT
1h4sT_M206.pdb     -221.053613 kBT
1h4sT_M366.pdb     -220.150591 kBT
1h4sT_M323.pdb     -202.001825 kBT
1h4sT_M170.pdb     -242.157322 kBT
1h4sT_M147.pdb     -212.153588 kBT
1h4sT_M450.pdb     -228.064735 kBT
1h4sT_M193.pdb     -226.816015 kBT
1h4sT_M311.pdb     -191.926908 kBT
1h4sT_M339.pdb     -237.071222 kBT
1h4sT_M218.pdb     -213.161469 kBT
1h4sT_M182.pdb     -220.682182 kBT
1h4sT_M205.pdb     -240.339001 kBT
1h4sT_M49.pdb     -235.999065 kBT
1h4sT_M149.pdb     -230.029198 kBT
1h4sT_M400.pdb     -217.587790 kBT
1h4sT_M37.pdb     -229.258157 kBT
1h4sT_M152.pdb     -223.974635 kBT
1h4sT_M230.pdb     -210.767101 kBT
1h4sT_M79.pdb     -238.386423 kBT
1h4sT_M312.pdb     -232.111562 kBT
1h4sT_M266.pdb     -231.150134 kBT
1h4sT_M434.pdb     -217.925080 kBT
1h4sT_M77.pdb     -234.245212 kBT
1h4sT_M148.pdb     -214.552688 kBT
1h4sT_M449.pdb     -199.248916 kBT
1h4sT_M17.pdb     -233.281474 kBT
1h4sT_M316.pdb     -226.383492 kBT
1h4sT_M286.pdb     -197.405102 kBT
1h4sT_M86.pdb     -227.180959 kBT
1h4sT_M484.pdb     -225.125057 kBT
1h4sT_M62.pdb     -218.131661 kBT
1h4sT_M264.pdb     -222.992804 kBT
1h4sT_M11.pdb     -238.110888 kBT
1h4sT_M369.pdb     -218.654663 kBT
1h4sT_M491.pdb     -212.336617 kBT
1h4sT_M496.pdb     -211.833194 kBT
1h4sT_M48.pdb     -243.093434 kBT
1h4sT_M452.pdb     -210.913140 kBT
1h4sT_M73.pdb     -220.924930 kBT
1h4sT_M464.pdb     -207.923154 kBT
1h4sT_M260.pdb     -221.381657 kBT
1h4sT_M321.pdb     -228.606445 kBT
1h4sT_M82.pdb     -223.031354 kBT
1h4sT_M415.pdb     -205.799449 kBT
1h4sT_M500.pdb     -227.948511 kBT
1h4sT_M159.pdb     -218.504084 kBT
1h4sT_M68.pdb     -225.317967 kBT
1h4sT_M331.pdb     -208.415479 kBT
1h4sT_M301.pdb     -190.338278 kBT
1h4sT_M64.pdb     -227.845152 kBT
1h4sT_M168.pdb     -229.911593 kBT
1h4sT_M368.pdb     -212.311804 kBT
1h4sT_M492.pdb     -201.058830 kBT
1h4sT_M498.pdb     -206.905362 kBT
1h4sT_M446.pdb     -200.440542 kBT
1h4sT_M322.pdb     -195.286977 kBT
1h4sT_M378.pdb     -221.743641 kBT
1h4sT_M364.pdb     -209.245229 kBT
1h4sT_M46.pdb     -206.191142 kBT
1h4sT_M324.pdb     -207.946207 kBT
1h4sT_M174.pdb     -205.107399 kBT
1h4sT_M480.pdb     -222.660741 kBT
1h4sT_M373.pdb     -237.082928 kBT
1h4sT_M409.pdb     -223.338922 kBT
1h4sT_M237.pdb     -224.092120 kBT
1h4sT_M251.pdb     -202.352975 kBT
1h4sT_M95.pdb     -239.233898 kBT
1h4sT_M359.pdb     -221.035384 kBT
1h4sT_M144.pdb     -218.457197 kBT
1h4sT_M20.pdb     -229.042605 kBT
1h4sT_M202.pdb     -234.319894 kBT
1h4sT_M381.pdb     -224.956498 kBT
1h4sT_M108.pdb     -220.286343 kBT
1h4sT_M282.pdb     -233.023384 kBT
1h4sT_M27.pdb     -220.352914 kBT
1h4sT_M291.pdb     -217.344475 kBT
1h4sT_M23.pdb     -247.500343 kBT
1h4sT_M227.pdb     -227.648395 kBT
1h4sT_M458.pdb     -173.432837 kBT
1h4sT_M137.pdb     -222.212439 kBT
1h4sT_M337.pdb     -226.460582 kBT
1h4sT_M233.pdb     -211.549169 kBT
1h4sT_M39.pdb     -218.127371 kBT
1h4sT_M83.pdb     -210.599269 kBT
1h4sT_M308.pdb     -242.978407 kBT
1h4sT_M423.pdb     -218.852302 kBT
1h4sT_M269.pdb     -232.580976 kBT
1h4sT_M390.pdb     -200.562114 kBT
1h4sT_M90.pdb     -209.274081 kBT
1h4sT_M293.pdb     -222.806156 kBT
1h4sT_M371.pdb     -226.889580 kBT
1h4sT_M78.pdb     -209.134250 kBT
1h4sT_M235.pdb     -200.845746 kBT
1h4sT_M271.pdb     -229.456933 kBT
1h4sT_M93.pdb     -217.131383 kBT
1h4sT_M8.pdb     -221.846225 kBT
1h4sT_M383.pdb     -221.479673 kBT
1h4sT_M412.pdb     -207.559744 kBT
1h4sT_M226.pdb     -212.909674 kBT
1h4sT_M363.pdb     -230.148282 kBT
1h4sT_M184.pdb     -225.800960 kBT
1h4sT_M456.pdb     -246.528629 kBT
1h4sT_M114.pdb     -216.314010 kBT
1h4sT_M71.pdb     -242.641550 kBT
1h4sT_M292.pdb     -196.586343 kBT
1h4sT_M494.pdb     -217.562088 kBT
1h4sT_M76.pdb     -212.613047 kBT
1h4sT_M125.pdb     -220.942410 kBT
1h4sT_M273.pdb     -217.768165 kBT
1h4sT_M457.pdb     -227.122381 kBT
1h4sT_M283.pdb     -229.533605 kBT
1h4sT_M476.pdb     -195.765465 kBT
1h4sT_M225.pdb     -222.355311 kBT
1h4sT_M172.pdb     -220.979402 kBT
1h4sT_M443.pdb     -232.705767 kBT
1h4sT_M54.pdb     -230.305061 kBT
1h4sT_M212.pdb     -224.638002 kBT
1h4sT_M425.pdb     -210.086526 kBT
1h4sT_M106.pdb     -207.110649 kBT
1h4sT_M341.pdb     -193.812101 kBT
1h4sT_M270.pdb     -235.474042 kBT
1h4sT_M47.pdb     -232.368094 kBT
1h4sT_M59.pdb     -205.115216 kBT
1h4sT_M433.pdb     -201.427805 kBT
1h4sT_M372.pdb     -227.342757 kBT
1h4sT_M338.pdb     -219.249957 kBT
1h4sT_M94.pdb     -226.199746 kBT
1h4sT_M45.pdb     -231.279556 kBT
1h4sT_M489.pdb     -196.984578 kBT
1h4sT_M89.pdb     -234.585980 kBT
1h4sT_M52.pdb     -231.887708 kBT
1h4sT_M92.pdb     -247.783799 kBT
1h4sT_M243.pdb     -220.806057 kBT
1h4sT_M463.pdb     -195.700078 kBT
1h4sT_M88.pdb     -236.353848 kBT
1h4sT_M96.pdb     -235.204593 kBT
1h4sT_M142.pdb     -225.031626 kBT
1h4sT_M240.pdb     -231.202943 kBT
1h4sT_M195.pdb     -225.351560 kBT
1h4sT_M41.pdb     -225.872554 kBT
1h4sT_M130.pdb     -227.537841 kBT
1h4sT_M32.pdb     -201.224098 kBT
1h4sT_M169.pdb     -232.980520 kBT
1h4sT_M50.pdb     -206.154091 kBT
1h4sT_M207.pdb     -210.256795 kBT
1h4sT_M365.pdb     -214.026399 kBT
1h4sT_M428.pdb     -238.304305 kBT
1h4sT_M113.pdb     -209.759839 kBT
1h4sT_M70.pdb     -219.398674 kBT
1h4sT_M351.pdb     -226.746221 kBT
1h4sT_M221.pdb     -228.199622 kBT
1h4sT_M279.pdb     -216.636228 kBT
1h4sT_M24.pdb     -225.730932 kBT
1h4sT_M99.pdb     -234.939343 kBT
1h4sT_M40.pdb     -235.346609 kBT
1h4sT_M117.pdb     -199.579823 kBT
1h4sT_M120.pdb     -209.819053 kBT
1h4sT_M132.pdb     -216.216885 kBT
1h4sT_M244.pdb     -219.141346 kBT
1h4sT_M375.pdb     -227.140587 kBT
1h4sT_M290.pdb     -201.726237 kBT
1h4sT_M302.pdb     -219.725943 kBT
1h4sT_M199.pdb     -206.932993 kBT
1h4sT_M216.pdb     -229.854791 kBT
1h4sT_M123.pdb     -232.758459 kBT
1h4sT_M461.pdb     -199.787437 kBT
1h4sT_M191.pdb     -204.144814 kBT
1h4sT_M157.pdb     -202.104754 kBT
1h4sT_M241.pdb     -206.830133 kBT
1h4sT_M493.pdb     -210.785709 kBT
1h4sT_M98.pdb     -214.229592 kBT
1h4sT_M61.pdb     -225.972854 kBT
1h4sT_M404.pdb     -217.758913 kBT
1h4sT_M436.pdb     -220.852981 kBT
1h4sT_M42.pdb     -231.939179 kBT
1h4sT_M34.pdb     -223.377933 kBT
1h4sT_M33.pdb     -246.715775 kBT
1h4sT_M128.pdb     -221.940197 kBT
1h4sT_M18.pdb     -231.200084 kBT
1h4sT_M483.pdb     -213.875512 kBT
1h4sT_M465.pdb     -202.294149 kBT
1h4sT_M162.pdb     -222.182112 kBT
1h4sT_M352.pdb     -212.552821 kBT
1h4sT_M133.pdb     -223.657267 kBT
1h4sT_M448.pdb     -209.157687 kBT
1h4sT_M84.pdb     -212.541801 kBT
1h4sT_M248.pdb     -226.427959 kBT
1h4sT_M299.pdb     -176.780702 kBT
1h4sT_M190.pdb     -199.151431 kBT
1h4sT_M313.pdb     -223.257995 kBT
1h4sT_M135.pdb     -230.406480 kBT
1h4sT_M29.pdb     -223.012590 kBT
1h4sT_M382.pdb     -226.387173 kBT
1h4sT_M408.pdb     -224.847293 kBT
1h4sT_M255.pdb     -222.362244 kBT
1h4sT_M447.pdb     -203.405179 kBT
1h4sT_M418.pdb     -234.783711 kBT
1h4sT_M223.pdb     -205.498292 kBT
1h4sT_M361.pdb     -225.145461 kBT
1h4sT_M265.pdb     -229.027746 kBT
1h4sT_M466.pdb     -227.810465 kBT
1h4sT_M417.pdb     -221.403331 kBT
1h4sT_M297.pdb     -207.524852 kBT
1h4sT_M385.pdb     -216.975746 kBT
1h4sT_M238.pdb     -210.457999 kBT
1h4sT_M178.pdb     -221.450596 kBT
1h4sT_M305.pdb     -208.161597 kBT
1h4sT_M131.pdb     -232.604993 kBT
1h4sT_M413.pdb     -221.058172 kBT
1h4sT_M242.pdb     -230.529564 kBT
1h4sT_M345.pdb     -222.196062 kBT
1h4sT_M394.pdb     -209.546136 kBT
1h4sT_M357.pdb     -202.505196 kBT
1h4sT_M119.pdb     -217.192503 kBT
1h4sT_M136.pdb     -221.561059 kBT
1h4sT_M342.pdb     -212.576753 kBT
1h4sT_M231.pdb     -215.590626 kBT
1h4sT_M141.pdb     -225.844292 kBT
1h4sT_M445.pdb     -216.790788 kBT
1h4sT_M5.pdb     -222.348207 kBT
1h4sT_M274.pdb     -203.982133 kBT
1h4sT_M60.pdb     -226.617467 kBT
1h4sT_M398.pdb     -208.536862 kBT
1h4sT_M44.pdb     -230.672371 kBT
1h4sT_M22.pdb     -236.596471 kBT
1h4sT_M2.pdb     -227.191335 kBT
1h4sT_M332.pdb     -242.971122 kBT
1h4sT_M497.pdb     -221.947608 kBT
1h4sT_M186.pdb     -214.906393 kBT
1h4sT_M101.pdb     -225.297929 kBT
1h4sT_M259.pdb     -208.667222 kBT
1h4sT_M441.pdb     -211.145918 kBT
1h4sT_M35.pdb     -235.006704 kBT
1h4sT_M336.pdb     -201.828779 kBT
1h4sT_M296.pdb     -203.219076 kBT
1h4sT_M55.pdb     -237.106047 kBT
1h4sT_M376.pdb     -224.359408 kBT
1h4sT_M444.pdb     -218.581028 kBT
1h4sT_M374.pdb     -244.776728 kBT
1h4sT_M487.pdb     -212.629817 kBT
1h4sT_M479.pdb     -198.950563 kBT
1h4sT_M384.pdb     -215.994332 kBT
1h4sT_M318.pdb     -230.562247 kBT
1h4sT_M127.pdb     -217.018138 kBT
1h4sT_M115.pdb     -226.167197 kBT
1h4sT_M258.pdb     -235.186401 kBT
1h4sT_M28.pdb     -229.046749 kBT
1h4sT_M200.pdb     -224.891664 kBT
1h4sT_M474.pdb     -222.495791 kBT
1h4sT_M329.pdb     -218.018486 kBT
1h4sT_M389.pdb     -203.231338 kBT
1h4sT_M12.pdb     -226.064373 kBT
1h4sT_M215.pdb     -215.678499 kBT
1h4sT_M38.pdb     -220.406301 kBT
1h4sT_M420.pdb     -204.163964 kBT
1h4sT_M453.pdb     -226.072416 kBT
1h4sT_M145.pdb     -210.749513 kBT
1h4sT_M304.pdb     -241.749525 kBT
1h4sT_M482.pdb     -217.419827 kBT
1h4sT_M477.pdb     -222.574562 kBT
1h4sT_M490.pdb     -220.548802 kBT
1h4sT_M386.pdb     -217.036172 kBT
1h4sT_M263.pdb     -217.154394 kBT
1h4sT_M65.pdb     -211.213823 kBT
1h4sT_M347.pdb     -225.187082 kBT
1h4sT_M377.pdb     -195.312177 kBT
1h4sT_M253.pdb     -210.544556 kBT
1h4sT_M397.pdb     -208.978545 kBT
1h4sT_M250.pdb     -204.910370 kBT
1h4sT_M196.pdb     -218.921470 kBT
1h4sT_M309.pdb     -215.629656 kBT
1h4sT_M91.pdb     -216.588316 kBT
1h4sT_M287.pdb     -207.645865 kBT
1h4sT_M107.pdb     -232.567864 kBT
1h4sT_M478.pdb     -210.438678 kBT
1h4sT_M19.pdb     -228.336058 kBT
1h4sT_M437.pdb     -219.384589 kBT
1h4sT_M209.pdb     -230.220421 kBT
1h4sT_M36.pdb     -247.966187 kBT
1h4sT_M111.pdb     -225.226494 kBT
1h4sT_M395.pdb     -213.715929 kBT
1h4sT_M257.pdb     -209.364630 kBT
1h4sT_M440.pdb     -235.578992 kBT
1h4sT_M467.pdb     -206.217971 kBT
1h4sT_M314.pdb     -215.513735 kBT
1h4sT_M261.pdb     -199.491032 kBT
1h4sT_M475.pdb     -219.287853 kBT
1h4sT_M26.pdb     -232.509378 kBT
1h4sT_M406.pdb     -222.240965 kBT
1h4sT_M469.pdb     -215.683224 kBT
1h4sT_M388.pdb     -222.017945 kBT
1h4sT_M177.pdb     -231.544134 kBT
1h4sT_M401.pdb     -233.400751 kBT
1h4sT_M163.pdb     -240.207123 kBT
1h4sT_M217.pdb     -224.240699 kBT
1h4sT_M370.pdb     -209.256666 kBT
1h4sT_M134.pdb     -223.641780 kBT
1h4sT_M139.pdb     -230.723105 kBT
1h4sT_M75.pdb     -211.532857 kBT
1h4sT_M122.pdb     -239.590859 kBT
1h4sT_M348.pdb     -203.772133 kBT
1h4sT_M315.pdb     -198.721641 kBT
1h4sT_M160.pdb     -227.244015 kBT
1h4sT_M430.pdb     -219.092795 kBT
