2dlcY_M295.pdb     -218.019987 kBT
2dlcY_M81.pdb     -208.997470 kBT
2dlcY_M402.pdb     -180.504783 kBT
2dlcY_M149.pdb     -211.330375 kBT
2dlcY_M209.pdb     -202.966708 kBT
2dlcY_M90.pdb     -215.113156 kBT
2dlcY_M50.pdb     -227.991257 kBT
2dlcY_M282.pdb     -221.915877 kBT
2dlcY_M376.pdb     -194.545841 kBT
2dlcY_M430.pdb     -203.643254 kBT
2dlcY_M67.pdb     -208.222441 kBT
2dlcY_M367.pdb     -198.147783 kBT
2dlcY_M91.pdb     -205.378158 kBT
2dlcY_M355.pdb     -200.967520 kBT
2dlcY_M398.pdb     -184.671681 kBT
2dlcY_M373.pdb     -187.803655 kBT
2dlcY_M337.pdb     -193.096091 kBT
2dlcY_M63.pdb     -215.350750 kBT
2dlcY_M162.pdb     -218.355802 kBT
2dlcY_M255.pdb     -206.088581 kBT
2dlcY_M188.pdb     -220.010827 kBT
2dlcY_M138.pdb     -213.632259 kBT
2dlcY_M361.pdb     -197.546165 kBT
2dlcY_M348.pdb     -181.407842 kBT
2dlcY_M94.pdb     -220.487209 kBT
2dlcY_M273.pdb     -214.964383 kBT
2dlcY_M325.pdb     -186.855959 kBT
2dlcY_M31.pdb     -238.042700 kBT
2dlcY_M263.pdb     -204.868115 kBT
2dlcY_M246.pdb     -223.421619 kBT
2dlcY_M306.pdb     -201.227650 kBT
2dlcY_M428.pdb     -205.827148 kBT
2dlcY_M444.pdb     -174.410925 kBT
2dlcY.pdb     -299.122678 kBT
2dlcY_M26.pdb     -218.457198 kBT
2dlcY_M233.pdb     -228.348504 kBT
2dlcY_M37.pdb     -227.354378 kBT
2dlcY_M289.pdb     -202.405772 kBT
2dlcY_M442.pdb     -186.136534 kBT
2dlcY_M318.pdb     -201.701969 kBT
2dlcY_M64.pdb     -225.751845 kBT
2dlcY_M415.pdb     -206.618779 kBT
2dlcY_M101.pdb     -218.693246 kBT
2dlcY_M345.pdb     -202.812844 kBT
2dlcY_M410.pdb     -184.996865 kBT
2dlcY_M12.pdb     -238.084168 kBT
2dlcY_M315.pdb     -194.988601 kBT
2dlcY_M299.pdb     -225.611632 kBT
2dlcY_M180.pdb     -214.105891 kBT
2dlcY_M399.pdb     -212.710978 kBT
2dlcY_M185.pdb     -203.415581 kBT
2dlcY_M455.pdb     -194.878925 kBT
2dlcY_M115.pdb     -195.547392 kBT
2dlcY_M204.pdb     -204.558780 kBT
2dlcY_M323.pdb     -197.769499 kBT
2dlcY_M452.pdb     -187.337818 kBT
2dlcY_M234.pdb     -197.461136 kBT
2dlcY_M5.pdb     -238.161036 kBT
2dlcY_M302.pdb     -204.509699 kBT
2dlcY_M120.pdb     -216.944910 kBT
2dlcY_M196.pdb     -218.101297 kBT
2dlcY_M283.pdb     -214.387925 kBT
2dlcY_M394.pdb     -205.618371 kBT
2dlcY_M436.pdb     -186.260633 kBT
2dlcY_M445.pdb     -196.837604 kBT
2dlcY_M124.pdb     -217.438949 kBT
2dlcY_M242.pdb     -204.297376 kBT
2dlcY_M110.pdb     -229.369556 kBT
2dlcY_M409.pdb     -219.896492 kBT
2dlcY_M411.pdb     -191.246719 kBT
2dlcY_M375.pdb     -188.590450 kBT
2dlcY_M207.pdb     -207.226394 kBT
2dlcY_M269.pdb     -205.640250 kBT
2dlcY_M418.pdb     -165.436348 kBT
2dlcY_M491.pdb     -186.615925 kBT
2dlcY_M148.pdb     -226.959544 kBT
2dlcY_M483.pdb     -193.691945 kBT
2dlcY_M343.pdb     -197.368107 kBT
2dlcY_M146.pdb     -213.934864 kBT
2dlcY_M251.pdb     -195.859946 kBT
2dlcY_M157.pdb     -209.543087 kBT
2dlcY_M239.pdb     -180.828635 kBT
2dlcY_M65.pdb     -222.532273 kBT
2dlcY_M451.pdb     -200.724500 kBT
2dlcY_M257.pdb     -205.633528 kBT
2dlcY_M340.pdb     -196.301523 kBT
2dlcY_M427.pdb     -198.239562 kBT
2dlcY_M18.pdb     -233.241902 kBT
2dlcY_M414.pdb     -197.993503 kBT
2dlcY_M195.pdb     -184.798783 kBT
2dlcY_M237.pdb     -186.785821 kBT
2dlcY_M75.pdb     -207.001078 kBT
2dlcY_M125.pdb     -213.254266 kBT
2dlcY_M118.pdb     -214.520118 kBT
2dlcY_M212.pdb     -207.821243 kBT
2dlcY_M97.pdb     -213.139797 kBT
2dlcY_M417.pdb     -190.002371 kBT
2dlcY_M119.pdb     -215.511561 kBT
2dlcY_M131.pdb     -228.205765 kBT
2dlcY_M326.pdb     -198.601429 kBT
2dlcY_M259.pdb     -198.110923 kBT
2dlcY_M241.pdb     -214.018469 kBT
2dlcY_M420.pdb     -191.507393 kBT
2dlcY_M422.pdb     -192.357591 kBT
2dlcY_M473.pdb     -174.642558 kBT
2dlcY_M51.pdb     -235.554269 kBT
2dlcY_M482.pdb     -194.992203 kBT
2dlcY_M201.pdb     -218.878757 kBT
2dlcY_M261.pdb     -192.018014 kBT
2dlcY_M41.pdb     -216.181688 kBT
2dlcY_M52.pdb     -213.478877 kBT
2dlcY_M244.pdb     -209.690324 kBT
2dlcY_M165.pdb     -203.065975 kBT
2dlcY_M230.pdb     -227.536358 kBT
2dlcY_M1.pdb     -233.853858 kBT
2dlcY_M200.pdb     -212.535296 kBT
2dlcY_M17.pdb     -236.200031 kBT
2dlcY_M39.pdb     -221.390093 kBT
2dlcY_M111.pdb     -214.400296 kBT
2dlcY_M202.pdb     -217.955554 kBT
2dlcY_M500.pdb     -216.896059 kBT
2dlcY_M32.pdb     -244.017536 kBT
2dlcY_M70.pdb     -212.972052 kBT
2dlcY_M30.pdb     -222.509785 kBT
2dlcY_M92.pdb     -226.657258 kBT
2dlcY_M22.pdb     -233.146310 kBT
2dlcY_M334.pdb     -197.273600 kBT
2dlcY_M116.pdb     -199.341077 kBT
2dlcY_M354.pdb     -205.733458 kBT
2dlcY_M24.pdb     -239.896551 kBT
2dlcY_M358.pdb     -185.017928 kBT
2dlcY_M421.pdb     -168.754830 kBT
2dlcY_M453.pdb     -181.512653 kBT
2dlcY_M168.pdb     -223.431966 kBT
2dlcY_M210.pdb     -216.538172 kBT
2dlcY_M9.pdb     -235.880530 kBT
2dlcY_M43.pdb     -226.717357 kBT
2dlcY_M54.pdb     -219.426667 kBT
2dlcY_M403.pdb     -200.874063 kBT
2dlcY_M474.pdb     -184.724033 kBT
2dlcY_M46.pdb     -225.062129 kBT
2dlcY_M25.pdb     -235.402501 kBT
2dlcY_M454.pdb     -196.530352 kBT
2dlcY_M69.pdb     -236.577045 kBT
2dlcY_M187.pdb     -227.623419 kBT
2dlcY_M153.pdb     -207.397713 kBT
2dlcY_M220.pdb     -194.979478 kBT
2dlcY_M226.pdb     -219.456664 kBT
2dlcY_M280.pdb     -207.749218 kBT
2dlcY_M199.pdb     -192.561245 kBT
2dlcY_M247.pdb     -224.215945 kBT
2dlcY_M82.pdb     -211.582537 kBT
2dlcY_M123.pdb     -233.074514 kBT
2dlcY_M252.pdb     -202.307183 kBT
2dlcY_M264.pdb     -197.718974 kBT
2dlcY_M228.pdb     -206.670705 kBT
2dlcY_M260.pdb     -199.937448 kBT
2dlcY_M371.pdb     -197.779166 kBT
2dlcY_M387.pdb     -191.212144 kBT
2dlcY_M285.pdb     -231.034857 kBT
2dlcY_M40.pdb     -204.041101 kBT
2dlcY_M143.pdb     -206.059730 kBT
2dlcY_M49.pdb     -224.121327 kBT
2dlcY_M377.pdb     -190.811548 kBT
2dlcY_M450.pdb     -186.858434 kBT
2dlcY_M388.pdb     -180.686169 kBT
2dlcY_M28.pdb     -228.580369 kBT
2dlcY_M385.pdb     -199.823542 kBT
2dlcY_M378.pdb     -193.888091 kBT
2dlcY_M297.pdb     -210.545600 kBT
2dlcY_M494.pdb     -184.983636 kBT
2dlcY_M62.pdb     -223.476113 kBT
2dlcY_M2.pdb     -239.492057 kBT
2dlcY_M312.pdb     -211.187689 kBT
2dlcY_M462.pdb     -197.168317 kBT
2dlcY_M57.pdb     -206.827981 kBT
2dlcY_M55.pdb     -224.860405 kBT
2dlcY_M85.pdb     -205.151095 kBT
2dlcY_M433.pdb     -204.457999 kBT
2dlcY_M279.pdb     -180.987559 kBT
2dlcY_M147.pdb     -192.339964 kBT
2dlcY_M458.pdb     -187.221448 kBT
2dlcY_M478.pdb     -205.619208 kBT
2dlcY_M310.pdb     -203.204887 kBT
2dlcY_M432.pdb     -221.295977 kBT
2dlcY_M390.pdb     -195.784724 kBT
2dlcY_M287.pdb     -196.969839 kBT
2dlcY_M320.pdb     -182.791134 kBT
2dlcY_M298.pdb     -202.245430 kBT
2dlcY_M160.pdb     -210.942653 kBT
2dlcY_M336.pdb     -225.239785 kBT
2dlcY_M466.pdb     -198.640284 kBT
2dlcY_M391.pdb     -206.757582 kBT
2dlcY_M56.pdb     -211.883498 kBT
2dlcY_M48.pdb     -227.543396 kBT
2dlcY_M205.pdb     -188.662075 kBT
2dlcY_M27.pdb     -218.133768 kBT
2dlcY_M413.pdb     -166.002069 kBT
2dlcY_M291.pdb     -200.068418 kBT
2dlcY_M319.pdb     -221.122191 kBT
2dlcY_M61.pdb     -205.359973 kBT
2dlcY_M66.pdb     -218.768918 kBT
2dlcY_M224.pdb     -224.930229 kBT
2dlcY_M164.pdb     -203.185249 kBT
2dlcY_M171.pdb     -179.735264 kBT
2dlcY_M435.pdb     -193.797832 kBT
2dlcY_M166.pdb     -211.088229 kBT
2dlcY_M350.pdb     -210.964971 kBT
2dlcY_M448.pdb     -195.418953 kBT
2dlcY_M406.pdb     -192.693248 kBT
2dlcY_M322.pdb     -182.490202 kBT
2dlcY_M249.pdb     -202.987241 kBT
2dlcY_M407.pdb     -190.826052 kBT
2dlcY_M6.pdb     -235.798959 kBT
2dlcY_M272.pdb     -205.182928 kBT
2dlcY_M95.pdb     -221.967916 kBT
2dlcY_M281.pdb     -202.558763 kBT
2dlcY_M393.pdb     -201.157537 kBT
2dlcY_M493.pdb     -190.184550 kBT
2dlcY_M277.pdb     -214.771997 kBT
2dlcY_M338.pdb     -198.943295 kBT
2dlcY_M186.pdb     -203.012854 kBT
2dlcY_M468.pdb     -195.217194 kBT
2dlcY_M159.pdb     -213.737719 kBT
2dlcY_M476.pdb     -209.952000 kBT
2dlcY_M357.pdb     -197.059030 kBT
2dlcY_M33.pdb     -234.096289 kBT
2dlcY_M471.pdb     -188.538115 kBT
2dlcY_M328.pdb     -200.593232 kBT
2dlcY_M194.pdb     -220.283060 kBT
2dlcY_M60.pdb     -215.842403 kBT
2dlcY_M229.pdb     -222.687227 kBT
2dlcY_M104.pdb     -203.064462 kBT
2dlcY_M114.pdb     -203.285801 kBT
2dlcY_M68.pdb     -224.654401 kBT
2dlcY_M276.pdb     -211.827056 kBT
2dlcY_M73.pdb     -210.584592 kBT
2dlcY_M122.pdb     -208.093884 kBT
2dlcY_M266.pdb     -196.311592 kBT
2dlcY_M296.pdb     -212.831527 kBT
2dlcY_M311.pdb     -222.069644 kBT
2dlcY_M3.pdb     -232.391348 kBT
2dlcY_M265.pdb     -202.207742 kBT
2dlcY_M154.pdb     -211.019851 kBT
2dlcY_M80.pdb     -211.170245 kBT
2dlcY_M182.pdb     -222.597377 kBT
2dlcY_M365.pdb     -193.749505 kBT
2dlcY_M132.pdb     -210.066305 kBT
2dlcY_M271.pdb     -215.872017 kBT
2dlcY_M89.pdb     -206.528023 kBT
2dlcY_M465.pdb     -191.024099 kBT
2dlcY_M155.pdb     -232.303954 kBT
2dlcY_M105.pdb     -214.778480 kBT
2dlcY_M158.pdb     -198.742070 kBT
2dlcY_M211.pdb     -203.498695 kBT
2dlcY_M225.pdb     -204.322019 kBT
2dlcY_M470.pdb     -194.954871 kBT
2dlcY_M344.pdb     -208.588078 kBT
2dlcY_M176.pdb     -206.201291 kBT
2dlcY_M332.pdb     -181.125965 kBT
2dlcY_M142.pdb     -215.759832 kBT
2dlcY_M221.pdb     -196.649719 kBT
2dlcY_M134.pdb     -206.624517 kBT
2dlcY_M36.pdb     -230.658327 kBT
2dlcY_M144.pdb     -212.299821 kBT
2dlcY_M45.pdb     -238.049136 kBT
2dlcY_M333.pdb     -211.029905 kBT
2dlcY_M498.pdb     -187.977240 kBT
2dlcY_M193.pdb     -210.592393 kBT
2dlcY_M84.pdb     -224.177685 kBT
2dlcY_M313.pdb     -211.177203 kBT
2dlcY_M127.pdb     -226.742637 kBT
2dlcY_M192.pdb     -189.042378 kBT
2dlcY_M191.pdb     -206.189007 kBT
2dlcY_M488.pdb     -205.200342 kBT
2dlcY_M16.pdb     -236.740134 kBT
2dlcY_M219.pdb     -203.419832 kBT
2dlcY_M102.pdb     -222.599122 kBT
2dlcY_M404.pdb     -219.002666 kBT
2dlcY_M330.pdb     -204.341914 kBT
2dlcY_M490.pdb     -185.097795 kBT
2dlcY_M189.pdb     -205.235825 kBT
2dlcY_M370.pdb     -207.992409 kBT
2dlcY_M232.pdb     -195.999696 kBT
2dlcY_M141.pdb     -192.003599 kBT
2dlcY_M136.pdb     -200.128704 kBT
2dlcY_M128.pdb     -207.724110 kBT
2dlcY_M380.pdb     -196.194668 kBT
2dlcY_M4.pdb     -239.178982 kBT
2dlcY_M303.pdb     -214.305452 kBT
2dlcY_M463.pdb     -183.299102 kBT
2dlcY_M113.pdb     -210.311436 kBT
2dlcY_M346.pdb     -196.781080 kBT
2dlcY_M163.pdb     -198.328859 kBT
2dlcY_M317.pdb     -207.471668 kBT
2dlcY_M484.pdb     -179.415452 kBT
2dlcY_M161.pdb     -219.471581 kBT
2dlcY_M479.pdb     -199.987022 kBT
2dlcY_M10.pdb     -239.075911 kBT
2dlcY_M34.pdb     -234.927098 kBT
2dlcY_M472.pdb     -183.351501 kBT
2dlcY_M495.pdb     -192.014108 kBT
2dlcY_M203.pdb     -215.216244 kBT
2dlcY_M456.pdb     -195.726730 kBT
2dlcY_M21.pdb     -237.189290 kBT
2dlcY_M459.pdb     -188.600026 kBT
2dlcY_M240.pdb     -203.095357 kBT
2dlcY_M44.pdb     -227.367095 kBT
2dlcY_M175.pdb     -200.164250 kBT
2dlcY_M13.pdb     -228.664970 kBT
2dlcY_M356.pdb     -193.196413 kBT
2dlcY_M392.pdb     -184.408507 kBT
2dlcY_M366.pdb     -203.570277 kBT
2dlcY_M359.pdb     -197.440534 kBT
2dlcY_M74.pdb     -208.368583 kBT
2dlcY_M270.pdb     -200.924437 kBT
2dlcY_M369.pdb     -208.178915 kBT
2dlcY_M170.pdb     -213.272549 kBT
2dlcY_M47.pdb     -229.161923 kBT
2dlcY_M72.pdb     -226.921938 kBT
2dlcY_M262.pdb     -207.713747 kBT
2dlcY_M250.pdb     -203.306883 kBT
2dlcY_M238.pdb     -177.071471 kBT
2dlcY_M88.pdb     -212.212833 kBT
2dlcY_M284.pdb     -218.152707 kBT
2dlcY_M396.pdb     -191.047022 kBT
2dlcY_M58.pdb     -236.326865 kBT
2dlcY_M300.pdb     -210.646833 kBT
2dlcY_M419.pdb     -207.418311 kBT
2dlcY_M173.pdb     -206.344002 kBT
2dlcY_M305.pdb     -201.549815 kBT
2dlcY_M172.pdb     -187.787262 kBT
2dlcY_M236.pdb     -208.156370 kBT
2dlcY_M401.pdb     -199.673052 kBT
2dlcY_M480.pdb     -213.819267 kBT
2dlcY_M103.pdb     -200.472777 kBT
2dlcY_M368.pdb     -201.520061 kBT
2dlcY_M447.pdb     -194.321288 kBT
2dlcY_M475.pdb     -182.728972 kBT
2dlcY_M286.pdb     -221.151919 kBT
2dlcY_M400.pdb     -202.005057 kBT
2dlcY_M329.pdb     -184.868707 kBT
2dlcY_M308.pdb     -209.894994 kBT
2dlcY_M15.pdb     -235.585174 kBT
2dlcY_M489.pdb     -207.412326 kBT
2dlcY_M426.pdb     -199.218460 kBT
2dlcY_M151.pdb     -219.834814 kBT
2dlcY_M78.pdb     -214.619251 kBT
2dlcY_M108.pdb     -206.311737 kBT
2dlcY_M59.pdb     -217.977889 kBT
2dlcY_M467.pdb     -173.654364 kBT
2dlcY_M76.pdb     -207.555399 kBT
2dlcY_M19.pdb     -228.858516 kBT
2dlcY_M35.pdb     -246.093183 kBT
2dlcY_M258.pdb     -204.088766 kBT
2dlcY_M20.pdb     -234.239756 kBT
2dlcY_M469.pdb     -186.810368 kBT
2dlcY_M256.pdb     -220.213959 kBT
2dlcY_M183.pdb     -218.476695 kBT
2dlcY_M197.pdb     -226.864784 kBT
2dlcY_M268.pdb     -226.661627 kBT
2dlcY_M383.pdb     -188.666592 kBT
2dlcY_M267.pdb     -204.171368 kBT
2dlcY_M130.pdb     -227.446792 kBT
2dlcY_M304.pdb     -179.908853 kBT
2dlcY_M499.pdb     -179.455750 kBT
2dlcY_M352.pdb     -206.488487 kBT
2dlcY_M139.pdb     -199.357532 kBT
2dlcY_M93.pdb     -224.690711 kBT
2dlcY_M294.pdb     -208.196371 kBT
2dlcY_M324.pdb     -204.203062 kBT
2dlcY_M112.pdb     -209.800321 kBT
2dlcY_M235.pdb     -205.735483 kBT
2dlcY_M362.pdb     -203.851491 kBT
2dlcY_M316.pdb     -213.607078 kBT
2dlcY_M150.pdb     -215.489363 kBT
2dlcY_M23.pdb     -223.320012 kBT
2dlcY_M223.pdb     -198.128545 kBT
2dlcY_M457.pdb     -194.025584 kBT
2dlcY_M487.pdb     -191.644953 kBT
2dlcY_M274.pdb     -198.897589 kBT
2dlcY_M217.pdb     -198.962515 kBT
2dlcY_M416.pdb     -195.732702 kBT
2dlcY_M98.pdb     -213.672918 kBT
2dlcY_M152.pdb     -216.283896 kBT
2dlcY_M327.pdb     -191.428697 kBT
2dlcY_M100.pdb     -224.358602 kBT
2dlcY_M381.pdb     -219.307931 kBT
2dlcY_M331.pdb     -206.963042 kBT
2dlcY_M434.pdb     -209.178544 kBT
2dlcY_M438.pdb     -184.670715 kBT
2dlcY_M309.pdb     -195.643050 kBT
2dlcY_M496.pdb     -200.237171 kBT
2dlcY_M121.pdb     -216.176802 kBT
2dlcY_M178.pdb     -203.611050 kBT
2dlcY_M363.pdb     -204.070683 kBT
