1un6F_M336.pdb     -307.101016 kBT
1un6F_M37.pdb     -424.453025 kBT
1un6F_M291.pdb     -319.732601 kBT
1un6F_M481.pdb     -329.726467 kBT
1un6F_M486.pdb     -320.266507 kBT
1un6F_M415.pdb     -334.025896 kBT
1un6F_M215.pdb     -287.342754 kBT
1un6F_M150.pdb     -349.520862 kBT
1un6F_M472.pdb     -313.102236 kBT
1un6F_M323.pdb     -271.638355 kBT
1un6F_M166.pdb     -353.106966 kBT
1un6F_M35.pdb     -399.492894 kBT
1un6F_M103.pdb     -361.867511 kBT
1un6F_M164.pdb     -348.340633 kBT
1un6F_M52.pdb     -398.071409 kBT
1un6F_M318.pdb     -284.561189 kBT
1un6F_M251.pdb     -333.974557 kBT
1un6F_M100.pdb     -373.655731 kBT
1un6F_M494.pdb     -274.835370 kBT
1un6F_M449.pdb     -291.630535 kBT
1un6F_M493.pdb     -281.541102 kBT
1un6F_M43.pdb     -410.256481 kBT
1un6F_M56.pdb     -387.297670 kBT
1un6F_M86.pdb     -358.020892 kBT
1un6F_M115.pdb     -368.254695 kBT
1un6F_M180.pdb     -366.875437 kBT
1un6F_M194.pdb     -391.527713 kBT
1un6F_M112.pdb     -345.587540 kBT
1un6F_M268.pdb     -330.924296 kBT
1un6F_M109.pdb     -375.266681 kBT
1un6F_M272.pdb     -308.372000 kBT
1un6F_M407.pdb     -336.648247 kBT
1un6F_M6.pdb     -473.348409 kBT
1un6F_M364.pdb     -320.770621 kBT
1un6F_M434.pdb     -321.324785 kBT
1un6F_M94.pdb     -369.691710 kBT
1un6F_M367.pdb     -321.719395 kBT
1un6F_M457.pdb     -288.973015 kBT
1un6F_M332.pdb     -312.593161 kBT
1un6F_M248.pdb     -343.569840 kBT
1un6F_M134.pdb     -323.767562 kBT
1un6F_M392.pdb     -341.035942 kBT
1un6F_M223.pdb     -367.564594 kBT
1un6F_M414.pdb     -317.223820 kBT
1un6F_M30.pdb     -421.171566 kBT
1un6F_M219.pdb     -340.079368 kBT
1un6F_M105.pdb     -352.972267 kBT
1un6F_M236.pdb     -323.905128 kBT
1un6F_M250.pdb     -316.179229 kBT
1un6F_M74.pdb     -416.450782 kBT
1un6F_M427.pdb     -319.160330 kBT
1un6F_M95.pdb     -336.991327 kBT
1un6F_M68.pdb     -404.001818 kBT
1un6F_M327.pdb     -330.600351 kBT
1un6F_M242.pdb     -348.715419 kBT
1un6F_M390.pdb     -294.257673 kBT
1un6F_M76.pdb     -366.465889 kBT
1un6F_M203.pdb     -357.959118 kBT
1un6F_M253.pdb     -302.347476 kBT
1un6F_M459.pdb     -280.725924 kBT
1un6F_M182.pdb     -323.897197 kBT
1un6F_M357.pdb     -337.131958 kBT
1un6F_M469.pdb     -297.033880 kBT
1un6F_M252.pdb     -291.454842 kBT
1un6F_M289.pdb     -341.731000 kBT
1un6F_M436.pdb     -342.022180 kBT
1un6F_M349.pdb     -313.800104 kBT
1un6F_M309.pdb     -257.091898 kBT
1un6F_M294.pdb     -308.913363 kBT
1un6F_M106.pdb     -371.562757 kBT
1un6F_M498.pdb     -282.711828 kBT
1un6F_M429.pdb     -307.987365 kBT
1un6F_M391.pdb     -317.782165 kBT
1un6F_M170.pdb     -389.824471 kBT
1un6F_M269.pdb     -309.321414 kBT
1un6F_M249.pdb     -318.810519 kBT
1un6F_M116.pdb     -377.301256 kBT
1un6F_M497.pdb     -278.665836 kBT
1un6F_M79.pdb     -346.755322 kBT
1un6F_M348.pdb     -340.282407 kBT
1un6F_M183.pdb     -356.621117 kBT
1un6F_M136.pdb     -362.416865 kBT
1un6F_M284.pdb     -358.836857 kBT
1un6F_M53.pdb     -440.030815 kBT
1un6F_M330.pdb     -312.239133 kBT
1un6F_M173.pdb     -377.107555 kBT
1un6F_M303.pdb     -319.900518 kBT
1un6F_M382.pdb     -314.013853 kBT
1un6F_M426.pdb     -289.350068 kBT
1un6F_M84.pdb     -353.739543 kBT
1un6F_M342.pdb     -328.171079 kBT
1un6F_M23.pdb     -489.918620 kBT
1un6F_M435.pdb     -367.468769 kBT
1un6F_M90.pdb     -384.224377 kBT
1un6F_M135.pdb     -353.625662 kBT
1un6F_M340.pdb     -297.395622 kBT
1un6F_M108.pdb     -383.872041 kBT
1un6F_M372.pdb     -324.049049 kBT
1un6F_M345.pdb     -362.549036 kBT
1un6F_M101.pdb     -367.888457 kBT
1un6F_M67.pdb     -434.607178 kBT
1un6F_M354.pdb     -312.149238 kBT
1un6F_M46.pdb     -403.236116 kBT
1un6F_M119.pdb     -355.285519 kBT
1un6F_M238.pdb     -326.116414 kBT
1un6F_M347.pdb     -323.281252 kBT
1un6F_M63.pdb     -358.140235 kBT
1un6F_M475.pdb     -329.949936 kBT
1un6F_M54.pdb     -424.178022 kBT
1un6F_M315.pdb     -345.776853 kBT
1un6F_M197.pdb     -356.998865 kBT
1un6F_M199.pdb     -354.820981 kBT
1un6F_M205.pdb     -348.447912 kBT
1un6F_M274.pdb     -369.929412 kBT
1un6F_M196.pdb     -358.400487 kBT
1un6F_M346.pdb     -323.632527 kBT
1un6F_M217.pdb     -309.480988 kBT
1un6F_M465.pdb     -285.665105 kBT
1un6F_M350.pdb     -309.280899 kBT
1un6F_M77.pdb     -364.687289 kBT
1un6F_M107.pdb     -385.752242 kBT
1un6F_M479.pdb     -297.681802 kBT
1un6F_M181.pdb     -356.293283 kBT
1un6F_M283.pdb     -349.230696 kBT
1un6F_M499.pdb     -264.510934 kBT
1un6F_M137.pdb     -419.295687 kBT
1un6F_M404.pdb     -326.105921 kBT
1un6F_M8.pdb     -464.384725 kBT
1un6F_M231.pdb     -321.818453 kBT
1un6F_M406.pdb     -290.702950 kBT
1un6F_M446.pdb     -329.281053 kBT
1un6F_M99.pdb     -379.433440 kBT
1un6F_M439.pdb     -281.689797 kBT
1un6F_M445.pdb     -298.640254 kBT
1un6F_M39.pdb     -420.656086 kBT
1un6F_M461.pdb     -325.808817 kBT
1un6F_M256.pdb     -351.278251 kBT
1un6F_M413.pdb     -327.902679 kBT
1un6F_M477.pdb     -338.457364 kBT
1un6F_M440.pdb     -300.421337 kBT
1un6F_M373.pdb     -274.969301 kBT
1un6F_M220.pdb     -316.974915 kBT
1un6F_M385.pdb     -324.960497 kBT
1un6F_M478.pdb     -312.662047 kBT
1un6F_M57.pdb     -417.101985 kBT
1un6F_M282.pdb     -312.313496 kBT
1un6F_M128.pdb     -294.430148 kBT
1un6F_M466.pdb     -356.462578 kBT
1un6F_M273.pdb     -374.705408 kBT
1un6F_M484.pdb     -321.905982 kBT
1un6F_M398.pdb     -276.621328 kBT
1un6F_M386.pdb     -349.531642 kBT
1un6F_M240.pdb     -321.949523 kBT
1un6F_M59.pdb     -404.956734 kBT
1un6F_M297.pdb     -341.633390 kBT
1un6F_M58.pdb     -380.735384 kBT
1un6F_M145.pdb     -357.350625 kBT
1un6F_M177.pdb     -310.752153 kBT
1un6F_M93.pdb     -399.488176 kBT
1un6F_M49.pdb     -408.779227 kBT
1un6F_M126.pdb     -368.049218 kBT
1un6F_M430.pdb     -298.630379 kBT
1un6F_M44.pdb     -426.446062 kBT
1un6F_M376.pdb     -299.977337 kBT
1un6F_M476.pdb     -287.714506 kBT
1un6F_M72.pdb     -344.790485 kBT
1un6F_M288.pdb     -334.471236 kBT
1un6F_M211.pdb     -343.785853 kBT
1un6F_M225.pdb     -376.933220 kBT
1un6F_M19.pdb     -471.121087 kBT
1un6F_M319.pdb     -319.991348 kBT
1un6F_M455.pdb     -290.982943 kBT
1un6F_M204.pdb     -336.343486 kBT
1un6F_M189.pdb     -379.502525 kBT
1un6F_M213.pdb     -357.285141 kBT
1un6F_M452.pdb     -288.568626 kBT
1un6F_M400.pdb     -291.568882 kBT
1un6F_M394.pdb     -296.135416 kBT
1un6F_M167.pdb     -365.645056 kBT
1un6F_M161.pdb     -391.047242 kBT
1un6F_M290.pdb     -370.658440 kBT
1un6F_M480.pdb     -331.512082 kBT
1un6F_M201.pdb     -375.774998 kBT
1un6F_M399.pdb     -312.434166 kBT
1un6F_M264.pdb     -327.882524 kBT
1un6F_M285.pdb     -346.930817 kBT
1un6F_M66.pdb     -395.953966 kBT
1un6F_M491.pdb     -262.143412 kBT
1un6F_M244.pdb     -339.292400 kBT
1un6F_M184.pdb     -354.822179 kBT
1un6F_M228.pdb     -334.535652 kBT
1un6F_M89.pdb     -369.211184 kBT
1un6F_M123.pdb     -364.569318 kBT
1un6F_M85.pdb     -407.424243 kBT
1un6F_M235.pdb     -335.162229 kBT
1un6F_M16.pdb     -471.477397 kBT
1un6F_M208.pdb     -302.173412 kBT
1un6F_M339.pdb     -334.638730 kBT
1un6F_M153.pdb     -351.458065 kBT
1un6F_M335.pdb     -320.412616 kBT
1un6F_M232.pdb     -338.299398 kBT
1un6F_M142.pdb     -364.966388 kBT
1un6F_M117.pdb     -363.558459 kBT
1un6F_M171.pdb     -359.640454 kBT
1un6F_M358.pdb     -349.184339 kBT
1un6F_M444.pdb     -286.647095 kBT
1un6F_M261.pdb     -333.206173 kBT
1un6F_M447.pdb     -300.632351 kBT
1un6F_M179.pdb     -329.483456 kBT
1un6F_M11.pdb     -481.083641 kBT
1un6F_M396.pdb     -327.169831 kBT
1un6F_M73.pdb     -374.017183 kBT
1un6F_M154.pdb     -315.252592 kBT
1un6F_M328.pdb     -310.607353 kBT
1un6F_M218.pdb     -347.988606 kBT
1un6F_M324.pdb     -302.542666 kBT
1un6F_M312.pdb     -286.716200 kBT
1un6F_M206.pdb     -318.394949 kBT
1un6F_M133.pdb     -339.983300 kBT
1un6F_M371.pdb     -294.603379 kBT
1un6F_M362.pdb     -282.602391 kBT
1un6F_M29.pdb     -416.891747 kBT
1un6F_M485.pdb     -344.682688 kBT
1un6F_M70.pdb     -401.659939 kBT
1un6F_M308.pdb     -315.672394 kBT
1un6F_M212.pdb     -339.556159 kBT
1un6F_M276.pdb     -296.524104 kBT
1un6F_M329.pdb     -343.346465 kBT
1un6F_M114.pdb     -358.680453 kBT
1un6F_M192.pdb     -359.317724 kBT
1un6F_M471.pdb     -304.408046 kBT
1un6F_M82.pdb     -382.476041 kBT
1un6F_M1.pdb     -451.650463 kBT
1un6F_M490.pdb     -287.852730 kBT
1un6F_M188.pdb     -377.570637 kBT
1un6F_M383.pdb     -348.907195 kBT
1un6F_M15.pdb     -449.998460 kBT
1un6F_M162.pdb     -341.417869 kBT
1un6F_M411.pdb     -326.385768 kBT
1un6F_M467.pdb     -288.128678 kBT
1un6F_M131.pdb     -374.934008 kBT
1un6F_M473.pdb     -273.442813 kBT
1un6F_M326.pdb     -344.083063 kBT
1un6F_M425.pdb     -331.576467 kBT
1un6F_M187.pdb     -311.966988 kBT
1un6F_M423.pdb     -300.366805 kBT
1un6F_M421.pdb     -286.355504 kBT
1un6F_M92.pdb     -391.551041 kBT
1un6F_M239.pdb     -327.591568 kBT
1un6F_M130.pdb     -335.123049 kBT
1un6F_M419.pdb     -299.961744 kBT
1un6F_M14.pdb     -467.609859 kBT
1un6F_M60.pdb     -388.380855 kBT
1un6F_M321.pdb     -378.564781 kBT
1un6F_M292.pdb     -289.880595 kBT
1un6F_M409.pdb     -359.068981 kBT
1un6F_M96.pdb     -387.165578 kBT
1un6F_M155.pdb     -332.624820 kBT
1un6F_M378.pdb     -325.990871 kBT
1un6F_M190.pdb     -321.269326 kBT
1un6F_M460.pdb     -352.982591 kBT
1un6F_M432.pdb     -280.343157 kBT
1un6F_M165.pdb     -364.314435 kBT
1un6F_M306.pdb     -323.879006 kBT
1un6F_M301.pdb     -326.933723 kBT
1un6F_M344.pdb     -305.533186 kBT
1un6F_M149.pdb     -318.799957 kBT
1un6F_M351.pdb     -336.503946 kBT
1un6F_M178.pdb     -362.317347 kBT
1un6F_M241.pdb     -312.886158 kBT
1un6F_M174.pdb     -363.708295 kBT
1un6F_M267.pdb     -323.873669 kBT
1un6F_M207.pdb     -330.510703 kBT
1un6F_M492.pdb     -298.734651 kBT
1un6F_M355.pdb     -293.731223 kBT
1un6F_M337.pdb     -319.560021 kBT
1un6F_M143.pdb     -327.124569 kBT
1un6F_M454.pdb     -302.233697 kBT
1un6F_M496.pdb     -251.224357 kBT
1un6F_M195.pdb     -363.882807 kBT
1un6F_M168.pdb     -322.747378 kBT
1un6F_M374.pdb     -318.764772 kBT
1un6F_M124.pdb     -398.947407 kBT
1un6F_M352.pdb     -307.108979 kBT
1un6F_M360.pdb     -320.155115 kBT
1un6F_M279.pdb     -297.832773 kBT
1un6F_M451.pdb     -300.864665 kBT
1un6F_M417.pdb     -308.739582 kBT
1un6F_M151.pdb     -346.804944 kBT
1un6F_M437.pdb     -328.505884 kBT
1un6F_M359.pdb     -325.701907 kBT
1un6F_M266.pdb     -349.656298 kBT
1un6F_M280.pdb     -332.985993 kBT
1un6F_M270.pdb     -307.375592 kBT
1un6F_M366.pdb     -308.525974 kBT
1un6F_M55.pdb     -402.881006 kBT
1un6F_M5.pdb     -475.217458 kBT
1un6F_M433.pdb     -269.145806 kBT
1un6F_M163.pdb     -318.867268 kBT
1un6F_M245.pdb     -252.971406 kBT
1un6F_M24.pdb     -439.149338 kBT
1un6F_M111.pdb     -337.729794 kBT
1un6F_M317.pdb     -342.542329 kBT
1un6F_M456.pdb     -357.496344 kBT
1un6F_M255.pdb     -302.016202 kBT
1un6F_M32.pdb     -456.012047 kBT
1un6F_M470.pdb     -287.323852 kBT
1un6F_M254.pdb     -328.165335 kBT
1un6F_M431.pdb     -305.433589 kBT
1un6F_M296.pdb     -337.316403 kBT
1un6F_M379.pdb     -337.765477 kBT
1un6F_M438.pdb     -321.602851 kBT
1un6F_M202.pdb     -357.909790 kBT
1un6F_M370.pdb     -303.658297 kBT
1un6F_M17.pdb     -441.388334 kBT
1un6F_M48.pdb     -417.814175 kBT
1un6F_M246.pdb     -331.353322 kBT
1un6F_M260.pdb     -401.472537 kBT
1un6F_M156.pdb     -350.753989 kBT
1un6F_M26.pdb     -433.676636 kBT
1un6F_M393.pdb     -326.539592 kBT
1un6F_M91.pdb     -390.874513 kBT
1un6F_M132.pdb     -310.745043 kBT
1un6F_M61.pdb     -385.740844 kBT
1un6F_M233.pdb     -350.361659 kBT
1un6F_M500.pdb     -270.896697 kBT
1un6F_M305.pdb     -338.598420 kBT
1un6F_M152.pdb     -379.590787 kBT
1un6F_M50.pdb     -400.120995 kBT
1un6F_M334.pdb     -342.265743 kBT
1un6F_M300.pdb     -297.234769 kBT
1un6F_M27.pdb     -438.342059 kBT
1un6F_M463.pdb     -273.982350 kBT
1un6F_M97.pdb     -385.675523 kBT
1un6F_M453.pdb     -287.338284 kBT
1un6F_M169.pdb     -351.536428 kBT
1un6F_M4.pdb     -461.695101 kBT
1un6F_M104.pdb     -361.710275 kBT
1un6F.pdb     -461.192428 kBT
1un6F_M175.pdb     -327.483070 kBT
1un6F_M144.pdb     -390.288561 kBT
1un6F_M122.pdb     -325.263601 kBT
1un6F_M333.pdb     -312.958061 kBT
1un6F_M12.pdb     -467.504831 kBT
1un6F_M263.pdb     -351.510819 kBT
1un6F_M21.pdb     -431.632403 kBT
1un6F_M483.pdb     -288.155842 kBT
1un6F_M464.pdb     -242.876012 kBT
1un6F_M462.pdb     -289.366204 kBT
1un6F_M442.pdb     -290.813418 kBT
1un6F_M146.pdb     -331.225350 kBT
1un6F_M320.pdb     -281.870016 kBT
1un6F_M275.pdb     -333.459317 kBT
1un6F_M81.pdb     -354.159233 kBT
1un6F_M262.pdb     -284.174538 kBT
1un6F_M18.pdb     -438.161477 kBT
1un6F_M293.pdb     -320.024352 kBT
1un6F_M38.pdb     -428.230941 kBT
1un6F_M356.pdb     -327.398502 kBT
1un6F_M13.pdb     -461.419154 kBT
1un6F_M221.pdb     -323.566676 kBT
1un6F_M299.pdb     -333.559512 kBT
1un6F_M450.pdb     -313.391615 kBT
1un6F_M310.pdb     -349.528350 kBT
1un6F_M125.pdb     -350.782240 kBT
1un6F_M75.pdb     -371.748232 kBT
1un6F_M237.pdb     -280.477632 kBT
1un6F_M298.pdb     -346.822627 kBT
1un6F_M110.pdb     -396.655593 kBT
1un6F_M185.pdb     -346.151658 kBT
1un6F_M2.pdb     -464.442357 kBT
1un6F_M148.pdb     -376.806725 kBT
1un6F_M31.pdb     -411.268433 kBT
1un6F_M45.pdb     -349.737229 kBT
1un6F_M191.pdb     -320.595033 kBT
1un6F_M120.pdb     -363.227313 kBT
1un6F_M20.pdb     -461.282002 kBT
1un6F_M395.pdb     -367.470124 kBT
1un6F_M295.pdb     -361.790974 kBT
1un6F_M495.pdb     -298.086898 kBT
1un6F_M216.pdb     -353.165331 kBT
1un6F_M230.pdb     -301.685095 kBT
1un6F_M227.pdb     -336.906736 kBT
1un6F_M214.pdb     -337.203055 kBT
1un6F_M389.pdb     -287.018315 kBT
1un6F_M147.pdb     -338.459758 kBT
1un6F_M62.pdb     -441.073471 kBT
1un6F_M247.pdb     -301.317015 kBT
1un6F_M381.pdb     -355.465833 kBT
1un6F_M343.pdb     -340.318866 kBT
1un6F_M129.pdb     -377.628818 kBT
1un6F_M341.pdb     -317.540565 kBT
1un6F_M51.pdb     -385.020673 kBT
1un6F_M3.pdb     -459.746824 kBT
1un6F_M139.pdb     -345.401214 kBT
1un6F_M365.pdb     -326.500756 kBT
1un6F_M316.pdb     -340.914171 kBT
1un6F_M36.pdb     -429.382752 kBT
