1y26X_M193.pdb     -423.273563 kBT
1y26X_M107.pdb     -514.409814 kBT
1y26X_M367.pdb     -472.199172 kBT
1y26X_M479.pdb     -462.470315 kBT
1y26X_M465.pdb     -394.069450 kBT
1y26X_M127.pdb     -501.696742 kBT
1y26X_M28.pdb     -560.138079 kBT
1y26X_M73.pdb     -499.294837 kBT
1y26X_M351.pdb     -465.510878 kBT
1y26X_M121.pdb     -474.773780 kBT
1y26X_M136.pdb     -480.848638 kBT
1y26X_M89.pdb     -540.148364 kBT
1y26X_M385.pdb     -399.784138 kBT
1y26X_M44.pdb     -608.929089 kBT
1y26X_M11.pdb     -632.029249 kBT
1y26X_M90.pdb     -523.858085 kBT
1y26X_M254.pdb     -491.005173 kBT
1y26X_M441.pdb     -415.003555 kBT
1y26X_M480.pdb     -443.396828 kBT
1y26X_M30.pdb     -582.441357 kBT
1y26X_M318.pdb     -462.691214 kBT
1y26X_M276.pdb     -482.646596 kBT
1y26X_M61.pdb     -559.694163 kBT
1y26X_M398.pdb     -445.137973 kBT
1y26X_M77.pdb     -543.853877 kBT
1y26X_M315.pdb     -432.279756 kBT
1y26X_M23.pdb     -615.064438 kBT
1y26X_M334.pdb     -422.425424 kBT
1y26X_M422.pdb     -441.753620 kBT
1y26X_M157.pdb     -496.571103 kBT
1y26X_M188.pdb     -450.558163 kBT
1y26X_M122.pdb     -537.059030 kBT
1y26X_M60.pdb     -590.053286 kBT
1y26X_M6.pdb     -646.616943 kBT
1y26X_M256.pdb     -436.376497 kBT
1y26X_M261.pdb     -448.201026 kBT
1y26X_M57.pdb     -574.388458 kBT
1y26X_M383.pdb     -463.579239 kBT
1y26X_M269.pdb     -433.818693 kBT
1y26X_M201.pdb     -443.200328 kBT
1y26X_M370.pdb     -477.014233 kBT
1y26X_M373.pdb     -432.640805 kBT
1y26X_M195.pdb     -466.084397 kBT
1y26X_M63.pdb     -568.461000 kBT
1y26X_M41.pdb     -562.178360 kBT
1y26X_M287.pdb     -476.190561 kBT
1y26X_M454.pdb     -467.871583 kBT
1y26X_M452.pdb     -419.205344 kBT
1y26X_M305.pdb     -444.875093 kBT
1y26X_M150.pdb     -466.307884 kBT
1y26X_M474.pdb     -426.439590 kBT
1y26X_M324.pdb     -454.164068 kBT
1y26X_M20.pdb     -587.271941 kBT
1y26X_M477.pdb     -445.809012 kBT
1y26X_M371.pdb     -411.204660 kBT
1y26X_M199.pdb     -510.144461 kBT
1y26X_M162.pdb     -515.164036 kBT
1y26X_M151.pdb     -489.923081 kBT
1y26X_M232.pdb     -445.844750 kBT
1y26X_M460.pdb     -420.183385 kBT
1y26X_M54.pdb     -568.865823 kBT
1y26X_M166.pdb     -508.474839 kBT
1y26X_M395.pdb     -470.144493 kBT
1y26X_M97.pdb     -504.439319 kBT
1y26X_M419.pdb     -449.195076 kBT
1y26X_M493.pdb     -433.265904 kBT
1y26X_M273.pdb     -448.604913 kBT
1y26X_M491.pdb     -406.039803 kBT
1y26X_M198.pdb     -475.373519 kBT
1y26X_M218.pdb     -486.133792 kBT
1y26X_M393.pdb     -407.790714 kBT
1y26X_M215.pdb     -484.286408 kBT
1y26X_M446.pdb     -425.849709 kBT
1y26X_M436.pdb     -408.344911 kBT
1y26X_M168.pdb     -503.804152 kBT
1y26X_M366.pdb     -398.667040 kBT
1y26X_M249.pdb     -495.836869 kBT
1y26X_M12.pdb     -627.192285 kBT
1y26X_M377.pdb     -433.841021 kBT
1y26X_M118.pdb     -513.707453 kBT
1y26X_M400.pdb     -461.924311 kBT
1y26X_M376.pdb     -454.167570 kBT
1y26X_M18.pdb     -626.353725 kBT
1y26X_M420.pdb     -397.715085 kBT
1y26X_M285.pdb     -453.909124 kBT
1y26X_M403.pdb     -436.169609 kBT
1y26X_M265.pdb     -488.637861 kBT
1y26X_M447.pdb     -413.836997 kBT
1y26X_M464.pdb     -449.485268 kBT
1y26X_M224.pdb     -484.807146 kBT
1y26X_M347.pdb     -459.023728 kBT
1y26X_M144.pdb     -486.233021 kBT
1y26X_M375.pdb     -433.634254 kBT
1y26X_M192.pdb     -481.821662 kBT
1y26X_M64.pdb     -522.280326 kBT
1y26X_M35.pdb     -566.988565 kBT
1y26X_M468.pdb     -444.808926 kBT
1y26X_M246.pdb     -471.670833 kBT
1y26X_M88.pdb     -524.334289 kBT
1y26X_M47.pdb     -552.878113 kBT
1y26X_M109.pdb     -549.534033 kBT
1y26X_M171.pdb     -450.891272 kBT
1y26X_M418.pdb     -460.619529 kBT
1y26X_M99.pdb     -498.237541 kBT
1y26X_M147.pdb     -516.880479 kBT
1y26X_M302.pdb     -457.389968 kBT
1y26X_M275.pdb     -374.657444 kBT
1y26X_M213.pdb     -511.957704 kBT
1y26X_M217.pdb     -474.732660 kBT
1y26X_M5.pdb     -629.029508 kBT
1y26X_M101.pdb     -528.846001 kBT
1y26X_M36.pdb     -598.474370 kBT
1y26X_M58.pdb     -549.815427 kBT
1y26X_M177.pdb     -483.355012 kBT
1y26X_M143.pdb     -499.915473 kBT
1y26X_M325.pdb     -456.207414 kBT
1y26X_M368.pdb     -472.545944 kBT
1y26X_M50.pdb     -529.466732 kBT
1y26X_M132.pdb     -544.768095 kBT
1y26X_M134.pdb     -516.712193 kBT
1y26X_M46.pdb     -587.495225 kBT
1y26X_M322.pdb     -452.407116 kBT
1y26X_M425.pdb     -450.540390 kBT
1y26X_M133.pdb     -495.127498 kBT
1y26X_M461.pdb     -438.406275 kBT
1y26X_M292.pdb     -449.379192 kBT
1y26X_M387.pdb     -436.643469 kBT
1y26X_M164.pdb     -405.456684 kBT
1y26X_M120.pdb     -483.146048 kBT
1y26X_M1.pdb     -655.433230 kBT
1y26X_M416.pdb     -438.485190 kBT
1y26X_M496.pdb     -436.576729 kBT
1y26X_M356.pdb     -429.943711 kBT
1y26X_M264.pdb     -449.102658 kBT
1y26X_M15.pdb     -642.797700 kBT
1y26X_M207.pdb     -476.557081 kBT
1y26X_M173.pdb     -492.897944 kBT
1y26X_M448.pdb     -458.489342 kBT
1y26X_M226.pdb     -430.113811 kBT
1y26X_M311.pdb     -490.167985 kBT
1y26X_M352.pdb     -447.060433 kBT
1y26X_M286.pdb     -497.314345 kBT
1y26X_M282.pdb     -466.132474 kBT
1y26X_M382.pdb     -431.747941 kBT
1y26X_M83.pdb     -541.262805 kBT
1y26X_M140.pdb     -494.645494 kBT
1y26X_M323.pdb     -408.555061 kBT
1y26X_M412.pdb     -477.975731 kBT
1y26X_M174.pdb     -475.666435 kBT
1y26X_M125.pdb     -459.832899 kBT
1y26X_M245.pdb     -490.261097 kBT
1y26X_M228.pdb     -448.607072 kBT
1y26X_M272.pdb     -462.545965 kBT
1y26X_M437.pdb     -425.451618 kBT
1y26X_M317.pdb     -470.418156 kBT
1y26X_M428.pdb     -414.934369 kBT
1y26X_M357.pdb     -442.305063 kBT
1y26X_M244.pdb     -450.163790 kBT
1y26X_M180.pdb     -497.384328 kBT
1y26X_M235.pdb     -459.412986 kBT
1y26X_M116.pdb     -502.021587 kBT
1y26X_M84.pdb     -534.503388 kBT
1y26X_M350.pdb     -452.791316 kBT
1y26X_M453.pdb     -463.200891 kBT
1y26X_M355.pdb     -436.461020 kBT
1y26X_M320.pdb     -469.816323 kBT
1y26X_M483.pdb     -464.117916 kBT
1y26X_M331.pdb     -470.394868 kBT
1y26X_M137.pdb     -501.616014 kBT
1y26X_M178.pdb     -493.982519 kBT
1y26X_M429.pdb     -462.423607 kBT
1y26X_M417.pdb     -464.895452 kBT
1y26X_M294.pdb     -414.411351 kBT
1y26X_M432.pdb     -395.696223 kBT
1y26X_M212.pdb     -499.378261 kBT
1y26X_M239.pdb     -456.246364 kBT
1y26X_M424.pdb     -394.825601 kBT
1y26X_M316.pdb     -461.877040 kBT
1y26X_M379.pdb     -453.650082 kBT
1y26X_M234.pdb     -465.181383 kBT
1y26X_M402.pdb     -454.280355 kBT
1y26X_M397.pdb     -463.550261 kBT
1y26X_M455.pdb     -450.740061 kBT
1y26X_M43.pdb     -553.486083 kBT
1y26X_M37.pdb     -572.484764 kBT
1y26X_M78.pdb     -546.772125 kBT
1y26X_M433.pdb     -413.091471 kBT
1y26X_M478.pdb     -426.756289 kBT
1y26X_M17.pdb     -617.918171 kBT
1y26X_M55.pdb     -572.328484 kBT
1y26X_M7.pdb     -651.905493 kBT
1y26X_M335.pdb     -454.890886 kBT
1y26X_M378.pdb     -459.407102 kBT
1y26X_M56.pdb     -549.284339 kBT
1y26X_M487.pdb     -393.818280 kBT
1y26X_M175.pdb     -443.979646 kBT
1y26X_M408.pdb     -403.472258 kBT
1y26X_M93.pdb     -552.194560 kBT
1y26X_M42.pdb     -584.506621 kBT
1y26X_M59.pdb     -509.206600 kBT
1y26X_M238.pdb     -465.399118 kBT
1y26X_M210.pdb     -472.438288 kBT
1y26X_M279.pdb     -436.379849 kBT
1y26X_M154.pdb     -509.097748 kBT
1y26X_M330.pdb     -467.483634 kBT
1y26X_M242.pdb     -457.220492 kBT
1y26X_M160.pdb     -459.927717 kBT
1y26X_M404.pdb     -481.789318 kBT
1y26X_M413.pdb     -453.293422 kBT
1y26X_M271.pdb     -476.829254 kBT
1y26X_M129.pdb     -481.821982 kBT
1y26X_M257.pdb     -472.994477 kBT
1y26X_M159.pdb     -454.921888 kBT
1y26X_M329.pdb     -440.205879 kBT
1y26X_M303.pdb     -461.216595 kBT
1y26X_M472.pdb     -434.840122 kBT
1y26X_M353.pdb     -414.181709 kBT
1y26X_M185.pdb     -500.562142 kBT
1y26X_M148.pdb     -485.823638 kBT
1y26X_M176.pdb     -499.756346 kBT
1y26X_M111.pdb     -521.790312 kBT
1y26X_M431.pdb     -412.578717 kBT
1y26X_M392.pdb     -443.769216 kBT
1y26X_M196.pdb     -459.158445 kBT
1y26X_M262.pdb     -456.902430 kBT
1y26X_M115.pdb     -526.170899 kBT
1y26X_M211.pdb     -484.302482 kBT
1y26X_M98.pdb     -544.504796 kBT
1y26X_M344.pdb     -455.589776 kBT
1y26X_M492.pdb     -423.796683 kBT
1y26X_M440.pdb     -425.938775 kBT
1y26X_M476.pdb     -428.623993 kBT
1y26X_M197.pdb     -499.911479 kBT
1y26X_M38.pdb     -580.062685 kBT
1y26X_M363.pdb     -425.289820 kBT
1y26X_M475.pdb     -457.036255 kBT
1y26X_M342.pdb     -407.601244 kBT
1y26X_M260.pdb     -459.611314 kBT
1y26X_M346.pdb     -443.435321 kBT
1y26X_M498.pdb     -423.924748 kBT
1y26X_M31.pdb     -584.362236 kBT
1y26X_M435.pdb     -436.774845 kBT
1y26X_M445.pdb     -440.023413 kBT
1y26X_M374.pdb     -453.355186 kBT
1y26X_M327.pdb     -461.202724 kBT
1y26X_M149.pdb     -504.063885 kBT
1y26X_M304.pdb     -417.143977 kBT
1y26X_M221.pdb     -467.935096 kBT
1y26X_M414.pdb     -444.075611 kBT
1y26X_M72.pdb     -525.781208 kBT
1y26X_M415.pdb     -437.206912 kBT
1y26X_M22.pdb     -579.389289 kBT
1y26X_M336.pdb     -463.992096 kBT
1y26X_M263.pdb     -467.235477 kBT
1y26X_M348.pdb     -437.129729 kBT
1y26X_M9.pdb     -623.191596 kBT
1y26X_M16.pdb     -627.726542 kBT
1y26X_M252.pdb     -489.400322 kBT
1y26X_M466.pdb     -431.006806 kBT
1y26X_M354.pdb     -452.210214 kBT
1y26X_M389.pdb     -471.563366 kBT
1y26X_M297.pdb     -474.010353 kBT
1y26X_M341.pdb     -460.275908 kBT
1y26X_M490.pdb     -394.225036 kBT
1y26X_M401.pdb     -439.766617 kBT
1y26X_M328.pdb     -431.955492 kBT
1y26X_M494.pdb     -472.457546 kBT
1y26X_M21.pdb     -620.705193 kBT
1y26X_M430.pdb     -413.101451 kBT
1y26X_M488.pdb     -461.995834 kBT
1y26X_M94.pdb     -537.158300 kBT
1y26X_M191.pdb     -481.850173 kBT
1y26X_M48.pdb     -534.787132 kBT
1y26X_M231.pdb     -443.794334 kBT
1y26X_M223.pdb     -469.993938 kBT
1y26X_M128.pdb     -459.767387 kBT
1y26X_M167.pdb     -476.787095 kBT
1y26X_M394.pdb     -439.278506 kBT
1y26X_M484.pdb     -448.907407 kBT
1y26X_M70.pdb     -552.927753 kBT
1y26X_M266.pdb     -457.223918 kBT
1y26X_M229.pdb     -464.255940 kBT
1y26X_M293.pdb     -481.296705 kBT
1y26X_M459.pdb     -431.686066 kBT
1y26X_M62.pdb     -544.819592 kBT
1y26X_M255.pdb     -482.714853 kBT
1y26X_M391.pdb     -441.191628 kBT
1y26X_M338.pdb     -438.138608 kBT
1y26X_M104.pdb     -527.556914 kBT
1y26X_M295.pdb     -471.964802 kBT
1y26X_M113.pdb     -536.240399 kBT
1y26X_M450.pdb     -437.154400 kBT
1y26X_M290.pdb     -463.973834 kBT
1y26X_M74.pdb     -529.421383 kBT
1y26X_M208.pdb     -488.758914 kBT
1y26X_M386.pdb     -485.468114 kBT
1y26X_M189.pdb     -459.382372 kBT
1y26X_M298.pdb     -481.551629 kBT
1y26X_M81.pdb     -571.977627 kBT
1y26X_M117.pdb     -492.889944 kBT
1y26X_M142.pdb     -488.767249 kBT
1y26X_M106.pdb     -477.397459 kBT
1y26X_M71.pdb     -544.219395 kBT
1y26X_M169.pdb     -478.855871 kBT
1y26X_M216.pdb     -511.409917 kBT
1y26X_M248.pdb     -479.103959 kBT
1y26X_M79.pdb     -515.100298 kBT
1y26X_M158.pdb     -482.837551 kBT
1y26X_M390.pdb     -455.910955 kBT
1y26X_M33.pdb     -589.454800 kBT
1y26X_M268.pdb     -452.998373 kBT
1y26X_M384.pdb     -457.011310 kBT
1y26X_M332.pdb     -414.063278 kBT
1y26X_M82.pdb     -587.099932 kBT
1y26X_M288.pdb     -458.950896 kBT
1y26X_M485.pdb     -500.569710 kBT
1y26X_M161.pdb     -510.956306 kBT
1y26X_M247.pdb     -498.054906 kBT
1y26X_M183.pdb     -493.037928 kBT
1y26X_M80.pdb     -526.116004 kBT
1y26X_M270.pdb     -451.027263 kBT
1y26X_M280.pdb     -496.538324 kBT
1y26X_M108.pdb     -521.485035 kBT
1y26X_M299.pdb     -446.734696 kBT
1y26X_M230.pdb     -472.496836 kBT
1y26X_M250.pdb     -441.259455 kBT
1y26X_M308.pdb     -478.271561 kBT
1y26X_M184.pdb     -499.011800 kBT
1y26X_M155.pdb     -499.790672 kBT
1y26X_M103.pdb     -485.449701 kBT
1y26X_M458.pdb     -460.228249 kBT
1y26X_M236.pdb     -500.328316 kBT
1y26X_M102.pdb     -493.941004 kBT
1y26X_M202.pdb     -481.720153 kBT
1y26X_M152.pdb     -479.291518 kBT
1y26X_M2.pdb     -639.831905 kBT
1y26X_M145.pdb     -462.347480 kBT
