1mjiD_M86.pdb     -245.162616 kBT
1mjiD_M211.pdb     -237.648777 kBT
1mjiD_M487.pdb     -214.907615 kBT
1mjiD_M157.pdb     -222.456340 kBT
1mjiD_M213.pdb     -209.148148 kBT
1mjiD_M289.pdb     -230.368560 kBT
1mjiD_M94.pdb     -204.585466 kBT
1mjiD_M64.pdb     -240.755022 kBT
1mjiD_M237.pdb     -191.270723 kBT
1mjiD_M434.pdb     -226.826339 kBT
1mjiD_M344.pdb     -195.889253 kBT
1mjiD_M221.pdb     -218.782348 kBT
1mjiD_M261.pdb     -192.261541 kBT
1mjiD_M477.pdb     -191.991639 kBT
1mjiD_M204.pdb     -225.177811 kBT
1mjiD_M68.pdb     -244.780100 kBT
1mjiD_M464.pdb     -189.063684 kBT
1mjiD_M328.pdb     -218.349760 kBT
1mjiD_M240.pdb     -226.362850 kBT
1mjiD_M450.pdb     -235.155088 kBT
1mjiD_M384.pdb     -194.959885 kBT
1mjiD_M254.pdb     -166.497523 kBT
1mjiD_M162.pdb     -164.492447 kBT
1mjiD_M323.pdb     -236.963946 kBT
1mjiD_M136.pdb     -197.904056 kBT
1mjiD_M224.pdb     -194.050967 kBT
1mjiD_M38.pdb     -228.621279 kBT
1mjiD_M45.pdb     -231.913974 kBT
1mjiD_M255.pdb     -200.534283 kBT
1mjiD_M271.pdb     -197.342839 kBT
1mjiD_M123.pdb     -227.202866 kBT
1mjiD_M62.pdb     -254.197604 kBT
1mjiD_M7.pdb     -263.024992 kBT
1mjiD_M460.pdb     -202.871385 kBT
1mjiD_M32.pdb     -244.106775 kBT
1mjiD_M160.pdb     -227.461492 kBT
1mjiD_M2.pdb     -262.367545 kBT
1mjiD_M498.pdb     -181.295209 kBT
1mjiD_M65.pdb     -231.025956 kBT
1mjiD_M397.pdb     -226.917192 kBT
1mjiD_M432.pdb     -207.443919 kBT
1mjiD_M188.pdb     -204.241644 kBT
1mjiD_M360.pdb     -175.981740 kBT
1mjiD_M181.pdb     -178.134305 kBT
1mjiD_M295.pdb     -178.307984 kBT
1mjiD_M333.pdb     -251.236773 kBT
1mjiD_M274.pdb     -215.271408 kBT
1mjiD_M267.pdb     -210.829606 kBT
1mjiD_M236.pdb     -200.658813 kBT
1mjiD_M471.pdb     -208.117852 kBT
1mjiD_M80.pdb     -235.421903 kBT
1mjiD_M399.pdb     -176.559827 kBT
1mjiD_M353.pdb     -202.394927 kBT
1mjiD_M482.pdb     -201.211277 kBT
1mjiD_M409.pdb     -180.272168 kBT
1mjiD_M264.pdb     -236.213905 kBT
1mjiD_M42.pdb     -269.551683 kBT
1mjiD_M4.pdb     -261.263412 kBT
1mjiD_M392.pdb     -164.846270 kBT
1mjiD_M117.pdb     -191.623082 kBT
1mjiD_M290.pdb     -205.313452 kBT
1mjiD_M317.pdb     -193.257688 kBT
1mjiD_M152.pdb     -210.687353 kBT
1mjiD_M134.pdb     -240.215199 kBT
1mjiD_M452.pdb     -207.102813 kBT
1mjiD_M500.pdb     -193.865284 kBT
1mjiD_M469.pdb     -216.591569 kBT
1mjiD_M231.pdb     -203.536062 kBT
1mjiD_M159.pdb     -209.118435 kBT
1mjiD_M447.pdb     -205.187452 kBT
1mjiD_M310.pdb     -236.981468 kBT
1mjiD_M492.pdb     -230.182953 kBT
1mjiD_M298.pdb     -169.091804 kBT
1mjiD_M78.pdb     -243.163979 kBT
1mjiD_M113.pdb     -222.186828 kBT
1mjiD_M377.pdb     -198.196187 kBT
1mjiD_M332.pdb     -186.228735 kBT
1mjiD_M250.pdb     -188.110056 kBT
1mjiD_M305.pdb     -209.724290 kBT
1mjiD_M100.pdb     -210.531277 kBT
1mjiD_M186.pdb     -192.491680 kBT
1mjiD_M379.pdb     -222.045031 kBT
1mjiD_M219.pdb     -230.822606 kBT
1mjiD_M476.pdb     -178.731750 kBT
1mjiD_M37.pdb     -273.373869 kBT
1mjiD_M158.pdb     -221.665191 kBT
1mjiD_M491.pdb     -203.128532 kBT
1mjiD_M175.pdb     -240.240079 kBT
1mjiD_M70.pdb     -264.475098 kBT
1mjiD_M216.pdb     -198.895804 kBT
1mjiD_M341.pdb     -206.708530 kBT
1mjiD_M426.pdb     -189.346115 kBT
1mjiD_M327.pdb     -222.757557 kBT
1mjiD_M51.pdb     -254.738880 kBT
1mjiD_M233.pdb     -222.485970 kBT
1mjiD_M427.pdb     -201.483940 kBT
1mjiD_M199.pdb     -212.706905 kBT
1mjiD_M435.pdb     -199.581569 kBT
1mjiD_M98.pdb     -231.779911 kBT
1mjiD_M494.pdb     -216.730705 kBT
1mjiD_M187.pdb     -209.814322 kBT
1mjiD_M5.pdb     -266.722834 kBT
1mjiD_M293.pdb     -214.323480 kBT
1mjiD_M241.pdb     -175.914433 kBT
1mjiD_M198.pdb     -200.816605 kBT
1mjiD_M53.pdb     -227.776211 kBT
1mjiD_M47.pdb     -251.885444 kBT
1mjiD_M325.pdb     -207.764349 kBT
1mjiD_M59.pdb     -222.041860 kBT
1mjiD_M354.pdb     -194.362895 kBT
1mjiD_M340.pdb     -228.694852 kBT
1mjiD_M330.pdb     -191.940371 kBT
1mjiD_M194.pdb     -228.096049 kBT
1mjiD_M299.pdb     -201.915792 kBT
1mjiD_M386.pdb     -220.955514 kBT
1mjiD_M294.pdb     -214.823216 kBT
1mjiD_M454.pdb     -208.573183 kBT
1mjiD_M33.pdb     -217.626084 kBT
1mjiD_M170.pdb     -192.636852 kBT
1mjiD_M301.pdb     -224.142271 kBT
1mjiD_M195.pdb     -214.754471 kBT
1mjiD_M411.pdb     -204.129974 kBT
1mjiD_M314.pdb     -175.266291 kBT
1mjiD_M405.pdb     -170.413958 kBT
1mjiD_M55.pdb     -233.018605 kBT
1mjiD_M173.pdb     -244.621226 kBT
1mjiD_M375.pdb     -185.623334 kBT
1mjiD_M287.pdb     -208.346812 kBT
1mjiD_M137.pdb     -246.607546 kBT
1mjiD_M150.pdb     -217.954364 kBT
1mjiD_M292.pdb     -201.783322 kBT
1mjiD_M358.pdb     -215.529190 kBT
1mjiD_M321.pdb     -201.071305 kBT
1mjiD_M49.pdb     -245.831684 kBT
1mjiD_M324.pdb     -212.352446 kBT
1mjiD_M385.pdb     -211.290227 kBT
1mjiD_M346.pdb     -193.425207 kBT
1mjiD_M133.pdb     -233.628253 kBT
1mjiD_M139.pdb     -215.337752 kBT
1mjiD_M265.pdb     -200.750461 kBT
1mjiD_M282.pdb     -195.263529 kBT
1mjiD_M67.pdb     -234.176258 kBT
1mjiD_M87.pdb     -245.541332 kBT
1mjiD_M480.pdb     -204.735811 kBT
1mjiD_M234.pdb     -190.162133 kBT
1mjiD_M185.pdb     -178.328284 kBT
1mjiD_M167.pdb     -211.901999 kBT
1mjiD_M154.pdb     -192.738590 kBT
1mjiD_M322.pdb     -188.971754 kBT
1mjiD_M205.pdb     -218.038727 kBT
1mjiD_M351.pdb     -197.245686 kBT
1mjiD_M180.pdb     -230.421927 kBT
1mjiD_M61.pdb     -228.410443 kBT
1mjiD_M302.pdb     -162.335862 kBT
1mjiD_M105.pdb     -210.264032 kBT
1mjiD_M202.pdb     -211.801213 kBT
1mjiD_M69.pdb     -239.436792 kBT
1mjiD_M268.pdb     -246.709861 kBT
1mjiD_M433.pdb     -204.687555 kBT
1mjiD_M246.pdb     -227.053585 kBT
1mjiD_M97.pdb     -212.222272 kBT
1mjiD_M21.pdb     -248.857400 kBT
1mjiD_M253.pdb     -189.717377 kBT
1mjiD_M77.pdb     -238.362193 kBT
1mjiD_M420.pdb     -201.252917 kBT
1mjiD_M209.pdb     -244.202135 kBT
1mjiD_M257.pdb     -194.767449 kBT
1mjiD_M466.pdb     -210.793831 kBT
1mjiD_M252.pdb     -195.299636 kBT
1mjiD_M370.pdb     -176.166074 kBT
1mjiD_M14.pdb     -246.314742 kBT
1mjiD_M296.pdb     -193.444640 kBT
1mjiD_M345.pdb     -206.899647 kBT
1mjiD_M112.pdb     -207.727967 kBT
1mjiD_M445.pdb     -209.567682 kBT
1mjiD_M368.pdb     -203.224445 kBT
1mjiD_M1.pdb     -269.998843 kBT
1mjiD_M455.pdb     -193.503851 kBT
1mjiD_M101.pdb     -242.425578 kBT
1mjiD_M347.pdb     -183.351205 kBT
1mjiD_M57.pdb     -226.373066 kBT
1mjiD_M6.pdb     -270.719292 kBT
1mjiD_M319.pdb     -205.575968 kBT
1mjiD_M363.pdb     -213.514374 kBT
1mjiD_M402.pdb     -211.119936 kBT
1mjiD_M251.pdb     -174.834326 kBT
1mjiD_M272.pdb     -230.731863 kBT
1mjiD_M263.pdb     -184.844421 kBT
1mjiD_M66.pdb     -210.330194 kBT
1mjiD_M479.pdb     -210.096220 kBT
1mjiD_M438.pdb     -175.198779 kBT
1mjiD_M93.pdb     -226.233624 kBT
1mjiD_M418.pdb     -190.010849 kBT
1mjiD_M79.pdb     -227.623367 kBT
1mjiD_M320.pdb     -186.152625 kBT
1mjiD_M60.pdb     -230.640262 kBT
1mjiD.pdb     -265.900537 kBT
1mjiD_M262.pdb     -210.614169 kBT
1mjiD_M380.pdb     -194.046280 kBT
1mjiD_M142.pdb     -217.720467 kBT
1mjiD_M148.pdb     -210.440101 kBT
1mjiD_M456.pdb     -173.232163 kBT
1mjiD_M462.pdb     -233.596373 kBT
1mjiD_M428.pdb     -191.839519 kBT
1mjiD_M334.pdb     -206.487324 kBT
1mjiD_M395.pdb     -196.324020 kBT
1mjiD_M116.pdb     -215.574679 kBT
1mjiD_M191.pdb     -249.635689 kBT
1mjiD_M371.pdb     -181.600839 kBT
1mjiD_M291.pdb     -185.174262 kBT
1mjiD_M227.pdb     -250.632149 kBT
1mjiD_M102.pdb     -249.986560 kBT
1mjiD_M276.pdb     -186.111232 kBT
1mjiD_M288.pdb     -223.306630 kBT
1mjiD_M48.pdb     -259.307747 kBT
1mjiD_M357.pdb     -199.868887 kBT
1mjiD_M350.pdb     -194.120135 kBT
1mjiD_M410.pdb     -204.862205 kBT
1mjiD_M81.pdb     -229.758613 kBT
1mjiD_M488.pdb     -159.076254 kBT
1mjiD_M389.pdb     -196.369098 kBT
1mjiD_M459.pdb     -218.360541 kBT
1mjiD_M215.pdb     -220.489997 kBT
1mjiD_M115.pdb     -212.752882 kBT
1mjiD_M307.pdb     -198.682600 kBT
1mjiD_M111.pdb     -220.714417 kBT
1mjiD_M119.pdb     -233.052786 kBT
1mjiD_M383.pdb     -238.857286 kBT
1mjiD_M423.pdb     -220.132884 kBT
1mjiD_M431.pdb     -204.995123 kBT
1mjiD_M203.pdb     -212.982199 kBT
1mjiD_M326.pdb     -210.812210 kBT
1mjiD_M126.pdb     -228.445231 kBT
1mjiD_M130.pdb     -221.233805 kBT
1mjiD_M463.pdb     -236.991991 kBT
1mjiD_M339.pdb     -214.705055 kBT
1mjiD_M169.pdb     -199.910634 kBT
1mjiD_M490.pdb     -209.588764 kBT
1mjiD_M277.pdb     -214.792558 kBT
1mjiD_M247.pdb     -207.314655 kBT
1mjiD_M26.pdb     -264.356673 kBT
1mjiD_M497.pdb     -199.600181 kBT
1mjiD_M132.pdb     -224.066479 kBT
1mjiD_M304.pdb     -196.321988 kBT
1mjiD_M275.pdb     -182.353656 kBT
1mjiD_M90.pdb     -222.846322 kBT
1mjiD_M406.pdb     -231.838716 kBT
1mjiD_M178.pdb     -208.000652 kBT
1mjiD_M197.pdb     -218.798071 kBT
1mjiD_M378.pdb     -180.415895 kBT
