2pxvB_M65.pdb     -321.008932 kBT
2pxvB_M201.pdb     -315.934404 kBT
2pxvB_M270.pdb     -275.410809 kBT
2pxvB_M461.pdb     -259.307856 kBT
2pxvB_M131.pdb     -355.521466 kBT
2pxvB_M48.pdb     -356.126976 kBT
2pxvB_M26.pdb     -423.325490 kBT
2pxvB_M206.pdb     -335.272815 kBT
2pxvB_M187.pdb     -276.449006 kBT
2pxvB_M15.pdb     -436.209894 kBT
2pxvB_M25.pdb     -414.542858 kBT
2pxvB_M195.pdb     -328.860007 kBT
2pxvB_M11.pdb     -452.376247 kBT
2pxvB_M80.pdb     -321.647984 kBT
2pxvB_M101.pdb     -351.750484 kBT
2pxvB_M482.pdb     -262.996364 kBT
2pxvB_M297.pdb     -254.540784 kBT
2pxvB_M123.pdb     -310.602767 kBT
2pxvB_M45.pdb     -367.551102 kBT
2pxvB_M403.pdb     -259.611900 kBT
2pxvB_M443.pdb     -284.994249 kBT
2pxvB_M473.pdb     -280.427897 kBT
2pxvB_M382.pdb     -282.303268 kBT
2pxvB_M74.pdb     -307.456457 kBT
2pxvB_M114.pdb     -318.833889 kBT
2pxvB_M380.pdb     -322.544092 kBT
2pxvB_M226.pdb     -302.908180 kBT
2pxvB_M147.pdb     -311.124442 kBT
2pxvB_M253.pdb     -331.312007 kBT
2pxvB_M450.pdb     -302.502110 kBT
2pxvB_M75.pdb     -333.941637 kBT
2pxvB_M91.pdb     -332.004092 kBT
2pxvB_M8.pdb     -468.454047 kBT
2pxvB_M273.pdb     -294.100692 kBT
2pxvB_M28.pdb     -406.794739 kBT
2pxvB_M420.pdb     -269.310425 kBT
2pxvB_M228.pdb     -303.450812 kBT
2pxvB_M295.pdb     -242.437482 kBT
2pxvB_M216.pdb     -286.716558 kBT
2pxvB_M426.pdb     -280.956874 kBT
2pxvB_M37.pdb     -361.129605 kBT
2pxvB_M205.pdb     -301.771131 kBT
2pxvB_M44.pdb     -369.879901 kBT
2pxvB_M128.pdb     -316.382108 kBT
2pxvB_M237.pdb     -301.706568 kBT
2pxvB_M363.pdb     -269.567023 kBT
2pxvB_M445.pdb     -299.167480 kBT
2pxvB_M122.pdb     -338.010752 kBT
2pxvB_M386.pdb     -266.011421 kBT
2pxvB_M121.pdb     -330.476813 kBT
2pxvB_M294.pdb     -294.810039 kBT
2pxvB_M278.pdb     -298.950069 kBT
2pxvB_M411.pdb     -265.771676 kBT
2pxvB_M40.pdb     -349.534902 kBT
2pxvB_M119.pdb     -348.035744 kBT
2pxvB_M192.pdb     -333.556246 kBT
2pxvB_M98.pdb     -297.884650 kBT
2pxvB_M264.pdb     -310.375174 kBT
2pxvB_M99.pdb     -314.919035 kBT
2pxvB_M356.pdb     -276.545707 kBT
2pxvB_M125.pdb     -313.210027 kBT
2pxvB_M154.pdb     -314.562958 kBT
2pxvB_M209.pdb     -297.313046 kBT
2pxvB_M57.pdb     -371.222747 kBT
2pxvB_M327.pdb     -306.462355 kBT
2pxvB_M60.pdb     -369.055213 kBT
2pxvB_M197.pdb     -276.455150 kBT
2pxvB_M52.pdb     -372.709044 kBT
2pxvB_M311.pdb     -312.687866 kBT
2pxvB_M12.pdb     -451.983553 kBT
2pxvB_M453.pdb     -265.166320 kBT
2pxvB_M393.pdb     -270.146538 kBT
2pxvB_M3.pdb     -471.176238 kBT
2pxvB_M293.pdb     -301.363084 kBT
2pxvB_M401.pdb     -271.645470 kBT
2pxvB_M213.pdb     -314.865941 kBT
2pxvB_M143.pdb     -342.761072 kBT
2pxvB_M204.pdb     -317.451247 kBT
2pxvB_M468.pdb     -256.829894 kBT
2pxvB_M190.pdb     -300.278717 kBT
2pxvB_M440.pdb     -289.903467 kBT
2pxvB_M200.pdb     -322.047524 kBT
2pxvB_M170.pdb     -342.630526 kBT
2pxvB_M36.pdb     -390.427555 kBT
2pxvB_M109.pdb     -358.912223 kBT
2pxvB_M400.pdb     -297.007383 kBT
2pxvB_M377.pdb     -281.182727 kBT
2pxvB_M218.pdb     -316.051546 kBT
2pxvB_M207.pdb     -307.674065 kBT
2pxvB_M298.pdb     -286.967970 kBT
2pxvB_M385.pdb     -285.743140 kBT
2pxvB_M89.pdb     -360.273610 kBT
2pxvB_M372.pdb     -279.911267 kBT
2pxvB_M13.pdb     -466.146315 kBT
2pxvB_M266.pdb     -310.633790 kBT
2pxvB_M394.pdb     -280.691200 kBT
2pxvB_M227.pdb     -330.523311 kBT
2pxvB_M422.pdb     -282.369742 kBT
2pxvB_M58.pdb     -355.965064 kBT
2pxvB_M303.pdb     -288.892124 kBT
2pxvB_M76.pdb     -309.264682 kBT
2pxvB_M134.pdb     -338.141228 kBT
2pxvB_M239.pdb     -291.659372 kBT
2pxvB_M418.pdb     -269.946650 kBT
2pxvB_M455.pdb     -270.474289 kBT
2pxvB_M399.pdb     -273.592196 kBT
2pxvB_M383.pdb     -269.682402 kBT
2pxvB_M156.pdb     -290.835213 kBT
2pxvB_M421.pdb     -260.200741 kBT
2pxvB_M79.pdb     -367.398242 kBT
2pxvB_M300.pdb     -287.342488 kBT
2pxvB_M329.pdb     -323.449017 kBT
2pxvB_M64.pdb     -350.272092 kBT
2pxvB_M467.pdb     -288.237781 kBT
2pxvB_M320.pdb     -273.085195 kBT
2pxvB_M267.pdb     -280.914194 kBT
2pxvB_M208.pdb     -305.028650 kBT
2pxvB_M94.pdb     -352.856480 kBT
2pxvB_M456.pdb     -291.150156 kBT
2pxvB_M232.pdb     -315.229245 kBT
2pxvB_M441.pdb     -262.446345 kBT
2pxvB_M241.pdb     -300.380921 kBT
2pxvB_M483.pdb     -246.764855 kBT
2pxvB_M103.pdb     -357.010141 kBT
2pxvB_M259.pdb     -255.873161 kBT
2pxvB_M412.pdb     -279.266619 kBT
2pxvB_M152.pdb     -322.395940 kBT
2pxvB_M341.pdb     -272.928076 kBT
2pxvB_M49.pdb     -348.275013 kBT
2pxvB_M222.pdb     -317.934304 kBT
2pxvB_M427.pdb     -240.507387 kBT
2pxvB_M214.pdb     -272.110265 kBT
2pxvB_M250.pdb     -310.911802 kBT
2pxvB_M439.pdb     -274.852459 kBT
2pxvB_M169.pdb     -292.604812 kBT
2pxvB_M408.pdb     -291.886839 kBT
2pxvB_M275.pdb     -266.389696 kBT
2pxvB_M35.pdb     -367.440921 kBT
2pxvB_M84.pdb     -347.758333 kBT
2pxvB_M71.pdb     -331.488059 kBT
2pxvB_M384.pdb     -294.275676 kBT
2pxvB_M244.pdb     -300.736970 kBT
2pxvB_M368.pdb     -304.229805 kBT
2pxvB_M56.pdb     -373.460206 kBT
2pxvB_M43.pdb     -379.451773 kBT
2pxvB_M365.pdb     -316.996605 kBT
2pxvB_M107.pdb     -315.691466 kBT
2pxvB_M31.pdb     -414.293802 kBT
2pxvB_M392.pdb     -321.704981 kBT
2pxvB_M113.pdb     -330.849296 kBT
2pxvB_M277.pdb     -270.841076 kBT
2pxvB_M138.pdb     -335.977990 kBT
2pxvB_M140.pdb     -311.228534 kBT
2pxvB_M288.pdb     -293.545081 kBT
2pxvB_M289.pdb     -278.543301 kBT
2pxvB_M166.pdb     -317.099547 kBT
2pxvB_M81.pdb     -338.747245 kBT
2pxvB_M157.pdb     -305.336888 kBT
2pxvB_M59.pdb     -375.122244 kBT
2pxvB_M161.pdb     -303.352257 kBT
2pxvB_M500.pdb     -274.655366 kBT
2pxvB_M433.pdb     -279.220392 kBT
2pxvB_M407.pdb     -282.634095 kBT
2pxvB_M340.pdb     -305.558400 kBT
2pxvB_M446.pdb     -280.121416 kBT
2pxvB_M354.pdb     -303.043536 kBT
2pxvB_M436.pdb     -311.554840 kBT
2pxvB_M247.pdb     -277.747668 kBT
2pxvB_M317.pdb     -276.023957 kBT
2pxvB_M172.pdb     -318.982039 kBT
2pxvB_M67.pdb     -355.245129 kBT
2pxvB_M370.pdb     -283.312423 kBT
2pxvB_M484.pdb     -225.453274 kBT
2pxvB_M97.pdb     -324.141737 kBT
2pxvB_M189.pdb     -324.308807 kBT
2pxvB_M160.pdb     -286.076207 kBT
2pxvB_M352.pdb     -273.875563 kBT
2pxvB_M158.pdb     -319.092060 kBT
2pxvB_M447.pdb     -226.354892 kBT
2pxvB_M141.pdb     -341.378171 kBT
2pxvB_M310.pdb     -295.499906 kBT
2pxvB_M16.pdb     -446.984145 kBT
2pxvB_M112.pdb     -364.369504 kBT
2pxvB_M38.pdb     -405.020693 kBT
2pxvB_M111.pdb     -313.404777 kBT
2pxvB_M92.pdb     -309.765957 kBT
2pxvB_M387.pdb     -288.155435 kBT
2pxvB_M489.pdb     -256.224640 kBT
2pxvB_M2.pdb     -469.328251 kBT
2pxvB_M283.pdb     -309.920280 kBT
2pxvB_M323.pdb     -319.974080 kBT
2pxvB_M104.pdb     -330.030508 kBT
2pxvB_M319.pdb     -295.185711 kBT
2pxvB_M30.pdb     -366.760816 kBT
2pxvB_M69.pdb     -341.060653 kBT
2pxvB_M249.pdb     -259.493228 kBT
2pxvB_M124.pdb     -331.315594 kBT
2pxvB_M460.pdb     -266.719741 kBT
2pxvB_M215.pdb     -328.828336 kBT
2pxvB_M142.pdb     -302.151559 kBT
2pxvB_M302.pdb     -290.140300 kBT
2pxvB_M78.pdb     -340.763102 kBT
2pxvB_M308.pdb     -298.843541 kBT
2pxvB_M236.pdb     -290.217635 kBT
2pxvB_M90.pdb     -346.258439 kBT
2pxvB_M442.pdb     -318.404496 kBT
2pxvB_M299.pdb     -248.650065 kBT
2pxvB_M260.pdb     -301.951092 kBT
2pxvB_M348.pdb     -280.061380 kBT
2pxvB_M252.pdb     -275.235261 kBT
2pxvB_M85.pdb     -366.252151 kBT
2pxvB_M162.pdb     -322.003785 kBT
2pxvB_M171.pdb     -306.766621 kBT
2pxvB_M495.pdb     -280.838040 kBT
2pxvB_M296.pdb     -273.989524 kBT
2pxvB_M167.pdb     -331.079417 kBT
2pxvB_M276.pdb     -278.632240 kBT
2pxvB_M334.pdb     -245.666085 kBT
2pxvB_M46.pdb     -395.827473 kBT
2pxvB_M353.pdb     -269.430378 kBT
2pxvB_M180.pdb     -285.771023 kBT
2pxvB_M130.pdb     -345.719658 kBT
2pxvB_M175.pdb     -325.875057 kBT
2pxvB_M331.pdb     -246.398649 kBT
2pxvB_M497.pdb     -268.236429 kBT
2pxvB_M61.pdb     -320.499447 kBT
2pxvB_M262.pdb     -292.809003 kBT
2pxvB_M17.pdb     -421.100325 kBT
2pxvB_M318.pdb     -276.306025 kBT
2pxvB_M358.pdb     -276.248585 kBT
2pxvB_M419.pdb     -294.477961 kBT
2pxvB_M414.pdb     -218.765061 kBT
2pxvB_M471.pdb     -275.960242 kBT
2pxvB_M198.pdb     -344.617043 kBT
2pxvB_M435.pdb     -289.680059 kBT
2pxvB_M475.pdb     -295.411681 kBT
2pxvB_M127.pdb     -356.679782 kBT
2pxvB_M184.pdb     -334.387444 kBT
2pxvB_M312.pdb     -291.015078 kBT
2pxvB_M179.pdb     -339.407678 kBT
2pxvB_M181.pdb     -318.399772 kBT
2pxvB_M254.pdb     -348.518678 kBT
2pxvB_M163.pdb     -316.011500 kBT
2pxvB_M68.pdb     -356.428382 kBT
2pxvB_M34.pdb     -391.389676 kBT
2pxvB_M133.pdb     -284.051418 kBT
2pxvB_M242.pdb     -296.036780 kBT
2pxvB_M452.pdb     -270.432535 kBT
2pxvB_M196.pdb     -314.476352 kBT
2pxvB_M498.pdb     -281.548897 kBT
2pxvB_M472.pdb     -257.411860 kBT
2pxvB_M20.pdb     -426.140654 kBT
2pxvB_M66.pdb     -372.657438 kBT
2pxvB_M117.pdb     -351.476714 kBT
2pxvB_M349.pdb     -293.915062 kBT
2pxvB_M159.pdb     -280.986093 kBT
2pxvB_M314.pdb     -297.472739 kBT
2pxvB_M151.pdb     -333.532478 kBT
2pxvB_M492.pdb     -255.928093 kBT
2pxvB_M93.pdb     -318.565007 kBT
2pxvB_M115.pdb     -347.615905 kBT
2pxvB_M313.pdb     -277.913534 kBT
2pxvB_M168.pdb     -279.085937 kBT
2pxvB_M410.pdb     -290.406467 kBT
2pxvB_M347.pdb     -267.869066 kBT
2pxvB_M268.pdb     -311.918494 kBT
2pxvB_M391.pdb     -242.472400 kBT
2pxvB_M360.pdb     -287.893930 kBT
2pxvB_M409.pdb     -256.339991 kBT
2pxvB_M7.pdb     -455.387227 kBT
2pxvB_M88.pdb     -347.733054 kBT
2pxvB_M339.pdb     -269.814774 kBT
2pxvB_M374.pdb     -265.680355 kBT
2pxvB_M434.pdb     -254.990034 kBT
2pxvB_M6.pdb     -464.317672 kBT
2pxvB_M423.pdb     -327.752386 kBT
2pxvB_M255.pdb     -294.223470 kBT
2pxvB_M251.pdb     -307.069998 kBT
2pxvB_M240.pdb     -288.449417 kBT
2pxvB_M137.pdb     -345.059602 kBT
2pxvB_M153.pdb     -303.982186 kBT
2pxvB_M246.pdb     -354.610013 kBT
2pxvB_M454.pdb     -268.420519 kBT
2pxvB_M389.pdb     -291.065572 kBT
2pxvB_M346.pdb     -299.006428 kBT
2pxvB_M139.pdb     -314.323901 kBT
2pxvB_M39.pdb     -421.312204 kBT
2pxvB_M182.pdb     -326.903529 kBT
2pxvB_M47.pdb     -413.677776 kBT
2pxvB_M413.pdb     -294.341412 kBT
2pxvB_M463.pdb     -283.815936 kBT
2pxvB_M188.pdb     -335.952957 kBT
2pxvB_M87.pdb     -382.471157 kBT
2pxvB_M305.pdb     -306.938032 kBT
2pxvB_M95.pdb     -284.102079 kBT
2pxvB_M458.pdb     -276.896566 kBT
2pxvB_M164.pdb     -319.400260 kBT
2pxvB_M449.pdb     -277.145604 kBT
2pxvB_M18.pdb     -429.514592 kBT
2pxvB_M29.pdb     -340.351481 kBT
2pxvB_M459.pdb     -255.949972 kBT
2pxvB_M444.pdb     -257.180484 kBT
2pxvB_M176.pdb     -288.699574 kBT
2pxvB_M279.pdb     -309.043915 kBT
2pxvB_M416.pdb     -284.223197 kBT
2pxvB_M50.pdb     -371.080451 kBT
2pxvB_M429.pdb     -284.993513 kBT
2pxvB_M342.pdb     -337.696607 kBT
2pxvB_M330.pdb     -305.843245 kBT
2pxvB_M212.pdb     -280.366987 kBT
2pxvB_M263.pdb     -293.084694 kBT
2pxvB_M24.pdb     -442.859536 kBT
2pxvB_M177.pdb     -313.489607 kBT
2pxvB_M248.pdb     -316.209211 kBT
2pxvB_M373.pdb     -296.888473 kBT
2pxvB_M309.pdb     -278.730410 kBT
2pxvB_M345.pdb     -264.060449 kBT
2pxvB_M257.pdb     -278.543961 kBT
2pxvB_M371.pdb     -259.452481 kBT
2pxvB_M41.pdb     -372.619972 kBT
2pxvB_M357.pdb     -293.693995 kBT
2pxvB_M494.pdb     -247.790375 kBT
2pxvB_M332.pdb     -305.843081 kBT
2pxvB_M431.pdb     -243.313044 kBT
2pxvB_M149.pdb     -312.169031 kBT
2pxvB_M322.pdb     -337.356095 kBT
2pxvB_M144.pdb     -290.529802 kBT
2pxvB_M404.pdb     -296.414335 kBT
2pxvB_M54.pdb     -374.704361 kBT
2pxvB_M485.pdb     -250.760242 kBT
2pxvB_M406.pdb     -303.552810 kBT
2pxvB_M361.pdb     -292.577368 kBT
2pxvB_M304.pdb     -283.197068 kBT
2pxvB_M344.pdb     -285.513718 kBT
2pxvB_M488.pdb     -277.412848 kBT
2pxvB_M338.pdb     -314.877158 kBT
2pxvB_M199.pdb     -319.382577 kBT
2pxvB_M194.pdb     -310.271491 kBT
2pxvB_M55.pdb     -348.976734 kBT
2pxvB_M486.pdb     -266.127158 kBT
2pxvB_M106.pdb     -333.596504 kBT
2pxvB_M477.pdb     -263.175530 kBT
2pxvB_M466.pdb     -221.305417 kBT
2pxvB_M366.pdb     -311.021544 kBT
2pxvB_M469.pdb     -280.652605 kBT
2pxvB_M146.pdb     -300.621889 kBT
2pxvB_M290.pdb     -267.003985 kBT
2pxvB_M83.pdb     -344.366751 kBT
2pxvB_M110.pdb     -344.392809 kBT
2pxvB_M316.pdb     -295.013421 kBT
2pxvB_M173.pdb     -316.382342 kBT
2pxvB_M229.pdb     -301.061778 kBT
2pxvB_M417.pdb     -277.584880 kBT
2pxvB_M350.pdb     -296.117419 kBT
2pxvB_M21.pdb     -421.462022 kBT
2pxvB_M42.pdb     -358.118543 kBT
2pxvB_M223.pdb     -332.319059 kBT
2pxvB_M315.pdb     -291.707171 kBT
2pxvB_M186.pdb     -326.046894 kBT
2pxvB_M457.pdb     -276.813578 kBT
2pxvB_M286.pdb     -274.833317 kBT
2pxvB_M145.pdb     -302.416910 kBT
2pxvB_M470.pdb     -276.614362 kBT
2pxvB_M211.pdb     -280.376827 kBT
2pxvB_M203.pdb     -340.415405 kBT
2pxvB_M438.pdb     -257.339374 kBT
2pxvB_M480.pdb     -263.672309 kBT
2pxvB_M274.pdb     -297.556716 kBT
2pxvB_M4.pdb     -454.855013 kBT
2pxvB_M120.pdb     -318.847843 kBT
2pxvB_M306.pdb     -271.532483 kBT
2pxvB_M432.pdb     -294.506768 kBT
2pxvB_M32.pdb     -359.797072 kBT
2pxvB_M333.pdb     -273.587584 kBT
2pxvB_M405.pdb     -309.531492 kBT
2pxvB_M108.pdb     -325.413974 kBT
2pxvB_M243.pdb     -294.190797 kBT
2pxvB_M465.pdb     -267.045616 kBT
2pxvB_M210.pdb     -300.979809 kBT
2pxvB_M77.pdb     -336.673982 kBT
2pxvB_M337.pdb     -254.513874 kBT
2pxvB_M395.pdb     -271.460442 kBT
2pxvB_M437.pdb     -273.253984 kBT
2pxvB_M402.pdb     -282.044248 kBT
2pxvB_M23.pdb     -416.652339 kBT
2pxvB_M281.pdb     -275.055758 kBT
2pxvB_M425.pdb     -307.039269 kBT
2pxvB_M359.pdb     -269.143830 kBT
2pxvB_M271.pdb     -307.373686 kBT
2pxvB_M379.pdb     -316.173875 kBT
2pxvB_M238.pdb     -311.703168 kBT
2pxvB_M335.pdb     -319.615614 kBT
2pxvB_M451.pdb     -261.787688 kBT
2pxvB_M479.pdb     -314.385351 kBT
2pxvB_M390.pdb     -307.505331 kBT
2pxvB_M378.pdb     -266.295488 kBT
2pxvB_M326.pdb     -278.934728 kBT
2pxvB_M490.pdb     -260.813521 kBT
2pxvB_M63.pdb     -365.209952 kBT
2pxvB_M233.pdb     -293.860243 kBT
2pxvB_M235.pdb     -261.333750 kBT
2pxvB_M355.pdb     -309.775614 kBT
2pxvB_M343.pdb     -281.695641 kBT
2pxvB_M375.pdb     -296.403070 kBT
2pxvB_M51.pdb     -368.891881 kBT
2pxvB_M381.pdb     -269.819773 kBT
2pxvB_M33.pdb     -422.721231 kBT
2pxvB_M376.pdb     -309.867511 kBT
2pxvB_M129.pdb     -352.691824 kBT
2pxvB_M219.pdb     -329.340269 kBT
2pxvB_M261.pdb     -338.199554 kBT
2pxvB_M328.pdb     -274.981303 kBT
2pxvB_M1.pdb     -462.104972 kBT
2pxvB_M428.pdb     -280.514074 kBT
2pxvB_M292.pdb     -255.107659 kBT
2pxvB_M132.pdb     -357.784539 kBT
2pxvB_M256.pdb     -315.004336 kBT
2pxvB_M258.pdb     -300.945561 kBT
2pxvB_M474.pdb     -277.740026 kBT
2pxvB_M462.pdb     -294.437160 kBT
2pxvB_M53.pdb     -354.727991 kBT
2pxvB_M148.pdb     -327.908872 kBT
2pxvB_M100.pdb     -324.637601 kBT
2pxvB_M388.pdb     -265.250750 kBT
2pxvB_M220.pdb     -296.672737 kBT
2pxvB_M155.pdb     -291.624051 kBT
2pxvB_M496.pdb     -247.359892 kBT
2pxvB_M282.pdb     -276.232073 kBT
2pxvB_M397.pdb     -293.510588 kBT
2pxvB_M225.pdb     -273.254074 kBT
2pxvB_M396.pdb     -254.171066 kBT
2pxvB_M62.pdb     -349.839130 kBT
2pxvB_M178.pdb     -308.814818 kBT
2pxvB_M183.pdb     -318.087063 kBT
2pxvB_M86.pdb     -326.092659 kBT
2pxvB_M325.pdb     -278.026502 kBT
2pxvB_M487.pdb     -290.692153 kBT
2pxvB_M22.pdb     -415.706486 kBT
2pxvB_M73.pdb     -387.109506 kBT
2pxvB_M230.pdb     -329.447198 kBT
2pxvB_M301.pdb     -286.841715 kBT
2pxvB_M367.pdb     -294.637890 kBT
2pxvB_M321.pdb     -284.301899 kBT
2pxvB_M464.pdb     -284.665197 kBT
2pxvB_M265.pdb     -315.540290 kBT
2pxvB_M105.pdb     -399.475838 kBT
2pxvB_M191.pdb     -299.940962 kBT
2pxvB_M150.pdb     -331.550659 kBT
2pxvB_M398.pdb     -296.530610 kBT
2pxvB_M72.pdb     -391.387875 kBT
2pxvB_M291.pdb     -309.243061 kBT
2pxvB.pdb     -474.739337 kBT
2pxvB_M102.pdb     -331.334491 kBT
2pxvB_M430.pdb     -332.080785 kBT
2pxvB_M19.pdb     -421.970084 kBT
2pxvB_M14.pdb     -455.666178 kBT
