2ozbF_M241.pdb     -193.731645 kBT
2ozbF_M245.pdb     -215.906153 kBT
2ozbF_M217.pdb     -211.161885 kBT
2ozbF_M23.pdb     -267.670322 kBT
2ozbF_M349.pdb     -214.408559 kBT
2ozbF_M488.pdb     -221.681128 kBT
2ozbF_M2.pdb     -277.411398 kBT
2ozbF_M80.pdb     -224.358970 kBT
2ozbF_M382.pdb     -203.049462 kBT
2ozbF_M22.pdb     -239.105700 kBT
2ozbF_M438.pdb     -186.111591 kBT
2ozbF_M158.pdb     -200.289732 kBT
2ozbF_M298.pdb     -225.320470 kBT
2ozbF_M360.pdb     -224.405119 kBT
2ozbF_M112.pdb     -233.782042 kBT
2ozbF_M402.pdb     -188.576499 kBT
2ozbF_M204.pdb     -202.300249 kBT
2ozbF_M455.pdb     -222.821189 kBT
2ozbF_M54.pdb     -257.748283 kBT
2ozbF_M35.pdb     -235.959739 kBT
2ozbF_M362.pdb     -221.249708 kBT
2ozbF_M367.pdb     -225.242042 kBT
2ozbF_M300.pdb     -210.978639 kBT
2ozbF_M295.pdb     -230.651646 kBT
2ozbF_M39.pdb     -240.483909 kBT
2ozbF_M366.pdb     -158.123568 kBT
2ozbF_M172.pdb     -224.904477 kBT
2ozbF_M340.pdb     -223.892472 kBT
2ozbF_M5.pdb     -279.207684 kBT
2ozbF_M461.pdb     -228.059435 kBT
2ozbF_M83.pdb     -253.645098 kBT
2ozbF_M361.pdb     -162.611022 kBT
2ozbF_M59.pdb     -248.278661 kBT
2ozbF_M410.pdb     -230.971774 kBT
2ozbF_M431.pdb     -199.236531 kBT
2ozbF_M427.pdb     -195.298714 kBT
2ozbF_M91.pdb     -249.168026 kBT
2ozbF_M270.pdb     -230.009426 kBT
2ozbF_M33.pdb     -240.749052 kBT
2ozbF_M440.pdb     -191.910255 kBT
2ozbF_M446.pdb     -208.881466 kBT
2ozbF_M106.pdb     -220.494490 kBT
2ozbF_M65.pdb     -236.526205 kBT
2ozbF_M403.pdb     -232.886441 kBT
2ozbF_M490.pdb     -205.752623 kBT
2ozbF_M16.pdb     -266.995486 kBT
2ozbF_M320.pdb     -191.191946 kBT
2ozbF_M201.pdb     -189.281122 kBT
2ozbF_M82.pdb     -254.758594 kBT
2ozbF_M463.pdb     -203.274227 kBT
2ozbF_M86.pdb     -231.552739 kBT
2ozbF_M252.pdb     -228.748075 kBT
2ozbF_M329.pdb     -189.726270 kBT
2ozbF_M249.pdb     -205.921506 kBT
2ozbF_M144.pdb     -237.396943 kBT
2ozbF_M441.pdb     -213.425538 kBT
2ozbF_M301.pdb     -192.549780 kBT
2ozbF_M94.pdb     -216.805591 kBT
2ozbF_M335.pdb     -184.313896 kBT
2ozbF_M157.pdb     -216.943068 kBT
2ozbF_M152.pdb     -226.361897 kBT
2ozbF_M492.pdb     -219.003890 kBT
2ozbF_M145.pdb     -209.660322 kBT
2ozbF_M60.pdb     -237.243429 kBT
2ozbF_M136.pdb     -224.301136 kBT
2ozbF_M196.pdb     -214.780997 kBT
2ozbF_M175.pdb     -186.097111 kBT
2ozbF_M436.pdb     -221.861198 kBT
2ozbF_M71.pdb     -235.292405 kBT
2ozbF_M299.pdb     -203.287709 kBT
2ozbF_M315.pdb     -182.706413 kBT
2ozbF_M404.pdb     -189.904529 kBT
2ozbF_M308.pdb     -181.414176 kBT
2ozbF_M478.pdb     -184.720313 kBT
2ozbF_M468.pdb     -186.933706 kBT
2ozbF_M110.pdb     -240.915627 kBT
2ozbF_M62.pdb     -218.405424 kBT
2ozbF_M269.pdb     -200.795846 kBT
2ozbF_M285.pdb     -184.915335 kBT
2ozbF_M8.pdb     -274.441892 kBT
2ozbF_M50.pdb     -234.891347 kBT
2ozbF_M418.pdb     -181.875774 kBT
2ozbF_M40.pdb     -265.249226 kBT
2ozbF_M243.pdb     -214.183977 kBT
2ozbF_M18.pdb     -266.998640 kBT
2ozbF_M180.pdb     -236.274524 kBT
2ozbF_M286.pdb     -197.319188 kBT
2ozbF_M51.pdb     -249.305362 kBT
2ozbF_M155.pdb     -200.535518 kBT
2ozbF_M77.pdb     -218.447362 kBT
2ozbF_M161.pdb     -226.199362 kBT
2ozbF_M105.pdb     -241.265363 kBT
2ozbF_M294.pdb     -166.246614 kBT
2ozbF_M460.pdb     -194.225733 kBT
2ozbF_M475.pdb     -219.787012 kBT
2ozbF_M339.pdb     -213.385317 kBT
2ozbF_M211.pdb     -224.390907 kBT
2ozbF_M163.pdb     -196.588230 kBT
2ozbF_M376.pdb     -252.859959 kBT
2ozbF_M232.pdb     -196.632072 kBT
2ozbF_M150.pdb     -216.219974 kBT
2ozbF_M179.pdb     -248.885382 kBT
2ozbF_M447.pdb     -211.477597 kBT
2ozbF_M484.pdb     -193.559956 kBT
2ozbF_M401.pdb     -241.997682 kBT
2ozbF_M491.pdb     -227.546325 kBT
2ozbF_M435.pdb     -188.631621 kBT
2ozbF_M338.pdb     -204.897473 kBT
2ozbF_M186.pdb     -185.389446 kBT
2ozbF_M89.pdb     -214.704889 kBT
2ozbF_M282.pdb     -178.531862 kBT
2ozbF_M183.pdb     -222.743045 kBT
2ozbF_M139.pdb     -231.285468 kBT
2ozbF_M236.pdb     -208.867528 kBT
2ozbF_M154.pdb     -165.286599 kBT
2ozbF_M384.pdb     -180.665850 kBT
2ozbF_M45.pdb     -255.816797 kBT
2ozbF_M392.pdb     -222.160461 kBT
2ozbF_M385.pdb     -178.725363 kBT
2ozbF_M4.pdb     -280.849665 kBT
2ozbF_M375.pdb     -220.663388 kBT
2ozbF_M341.pdb     -206.766994 kBT
2ozbF_M281.pdb     -209.349746 kBT
2ozbF_M496.pdb     -191.704725 kBT
2ozbF_M118.pdb     -220.524818 kBT
2ozbF_M224.pdb     -211.146310 kBT
2ozbF_M127.pdb     -252.703251 kBT
2ozbF_M374.pdb     -221.346516 kBT
2ozbF_M419.pdb     -236.272852 kBT
2ozbF_M278.pdb     -216.294160 kBT
2ozbF_M379.pdb     -205.412090 kBT
2ozbF_M414.pdb     -190.527518 kBT
2ozbF_M212.pdb     -172.159099 kBT
2ozbF_M76.pdb     -213.822430 kBT
2ozbF_M250.pdb     -206.653207 kBT
2ozbF_M17.pdb     -264.303166 kBT
2ozbF_M365.pdb     -162.981118 kBT
2ozbF_M260.pdb     -207.286723 kBT
2ozbF_M124.pdb     -218.398099 kBT
2ozbF_M465.pdb     -180.635434 kBT
2ozbF_M88.pdb     -258.499945 kBT
2ozbF_M156.pdb     -217.891850 kBT
2ozbF_M489.pdb     -216.668522 kBT
2ozbF_M70.pdb     -242.538788 kBT
2ozbF_M474.pdb     -193.081989 kBT
2ozbF_M25.pdb     -246.340172 kBT
2ozbF_M221.pdb     -202.544946 kBT
2ozbF_M120.pdb     -247.454044 kBT
2ozbF_M274.pdb     -233.151992 kBT
2ozbF_M225.pdb     -165.833332 kBT
2ozbF_M316.pdb     -179.300265 kBT
2ozbF_M430.pdb     -228.705466 kBT
2ozbF_M258.pdb     -206.902495 kBT
2ozbF_M432.pdb     -180.323113 kBT
2ozbF_M119.pdb     -221.714955 kBT
