1zl3B_M485.pdb     -165.791567 kBT
1zl3B_M422.pdb     -155.436038 kBT
1zl3B_M419.pdb     -180.434499 kBT
1zl3B_M277.pdb     -175.902633 kBT
1zl3B_M263.pdb     -171.830183 kBT
1zl3B_M290.pdb     -173.857340 kBT
1zl3B_M328.pdb     -151.220131 kBT
1zl3B_M453.pdb     -143.637713 kBT
1zl3B_M301.pdb     -139.032848 kBT
1zl3B_M42.pdb     -215.957504 kBT
1zl3B_M354.pdb     -155.005056 kBT
1zl3B_M45.pdb     -245.566558 kBT
1zl3B_M270.pdb     -176.875699 kBT
1zl3B_M109.pdb     -196.408033 kBT
1zl3B_M450.pdb     -197.673095 kBT
1zl3B_M218.pdb     -175.634834 kBT
1zl3B_M108.pdb     -199.744885 kBT
1zl3B_M403.pdb     -172.943008 kBT
1zl3B_M87.pdb     -204.397616 kBT
1zl3B_M221.pdb     -184.821596 kBT
1zl3B_M243.pdb     -180.004218 kBT
1zl3B_M185.pdb     -177.531745 kBT
1zl3B_M282.pdb     -161.160451 kBT
1zl3B_M380.pdb     -169.963059 kBT
1zl3B_M150.pdb     -157.440418 kBT
1zl3B_M487.pdb     -153.991965 kBT
1zl3B_M121.pdb     -219.731989 kBT
1zl3B_M207.pdb     -184.775457 kBT
1zl3B_M78.pdb     -213.095145 kBT
1zl3B_M151.pdb     -196.439410 kBT
1zl3B_M351.pdb     -152.282948 kBT
1zl3B_M381.pdb     -165.297055 kBT
1zl3B_M33.pdb     -221.474913 kBT
1zl3B_M464.pdb     -119.386206 kBT
1zl3B_M225.pdb     -205.788119 kBT
1zl3B_M452.pdb     -150.525728 kBT
1zl3B_M488.pdb     -140.987510 kBT
1zl3B_M188.pdb     -175.531103 kBT
1zl3B_M197.pdb     -181.348102 kBT
1zl3B_M111.pdb     -185.601177 kBT
1zl3B_M291.pdb     -163.675714 kBT
1zl3B_M477.pdb     -146.671199 kBT
1zl3B_M169.pdb     -187.077110 kBT
1zl3B_M366.pdb     -164.553099 kBT
1zl3B_M57.pdb     -211.367073 kBT
1zl3B_M272.pdb     -183.330924 kBT
1zl3B_M259.pdb     -174.496827 kBT
1zl3B_M115.pdb     -187.596110 kBT
1zl3B_M77.pdb     -198.086438 kBT
1zl3B_M95.pdb     -206.258407 kBT
1zl3B_M101.pdb     -178.661179 kBT
1zl3B_M338.pdb     -166.027724 kBT
1zl3B_M32.pdb     -238.083600 kBT
1zl3B_M86.pdb     -218.794365 kBT
1zl3B_M36.pdb     -241.490048 kBT
1zl3B_M424.pdb     -137.897580 kBT
1zl3B_M400.pdb     -163.507408 kBT
1zl3B_M441.pdb     -156.434163 kBT
1zl3B_M333.pdb     -166.722100 kBT
1zl3B_M413.pdb     -152.448421 kBT
1zl3B_M490.pdb     -122.495911 kBT
1zl3B_M276.pdb     -152.480934 kBT
1zl3B_M15.pdb     -259.858240 kBT
1zl3B_M127.pdb     -192.165098 kBT
1zl3B_M228.pdb     -178.090247 kBT
1zl3B_M187.pdb     -173.843085 kBT
1zl3B_M136.pdb     -170.762686 kBT
1zl3B_M292.pdb     -162.066492 kBT
1zl3B_M311.pdb     -193.378077 kBT
1zl3B_M1.pdb     -259.123071 kBT
1zl3B_M198.pdb     -180.009053 kBT
1zl3B_M493.pdb     -183.911177 kBT
1zl3B_M195.pdb     -167.439093 kBT
1zl3B_M465.pdb     -170.722500 kBT
1zl3B_M184.pdb     -210.348491 kBT
1zl3B_M129.pdb     -206.363842 kBT
1zl3B_M305.pdb     -171.999584 kBT
1zl3B_M426.pdb     -131.328038 kBT
1zl3B_M232.pdb     -156.514826 kBT
1zl3B_M283.pdb     -182.358587 kBT
1zl3B_M264.pdb     -159.912923 kBT
1zl3B_M30.pdb     -249.539987 kBT
1zl3B_M431.pdb     -166.913561 kBT
1zl3B_M175.pdb     -165.378727 kBT
1zl3B_M247.pdb     -197.578420 kBT
1zl3B_M98.pdb     -192.520088 kBT
1zl3B_M192.pdb     -177.883339 kBT
1zl3B_M491.pdb     -147.985868 kBT
1zl3B_M417.pdb     -170.077590 kBT
1zl3B_M234.pdb     -176.139468 kBT
1zl3B_M44.pdb     -235.974515 kBT
1zl3B_M293.pdb     -168.344276 kBT
1zl3B_M26.pdb     -241.291123 kBT
1zl3B_M126.pdb     -211.049318 kBT
1zl3B_M432.pdb     -172.850088 kBT
1zl3B_M364.pdb     -122.522774 kBT
1zl3B_M372.pdb     -189.433906 kBT
1zl3B_M332.pdb     -171.434947 kBT
1zl3B_M9.pdb     -268.684098 kBT
1zl3B_M88.pdb     -200.238466 kBT
1zl3B_M399.pdb     -157.501526 kBT
1zl3B_M252.pdb     -179.818841 kBT
1zl3B_M244.pdb     -163.490625 kBT
1zl3B_M454.pdb     -161.923179 kBT
1zl3B_M268.pdb     -161.025315 kBT
1zl3B_M196.pdb     -206.991558 kBT
1zl3B_M43.pdb     -231.067132 kBT
1zl3B_M41.pdb     -228.152559 kBT
1zl3B_M50.pdb     -233.473597 kBT
1zl3B_M146.pdb     -224.744690 kBT
1zl3B_M256.pdb     -151.835536 kBT
1zl3B_M436.pdb     -143.391544 kBT
1zl3B_M53.pdb     -231.604069 kBT
1zl3B_M75.pdb     -219.971871 kBT
1zl3B_M297.pdb     -191.466256 kBT
1zl3B_M226.pdb     -187.596044 kBT
1zl3B_M359.pdb     -110.808295 kBT
1zl3B_M213.pdb     -185.483028 kBT
1zl3B_M59.pdb     -214.043440 kBT
1zl3B_M307.pdb     -155.605893 kBT
1zl3B_M300.pdb     -159.020849 kBT
1zl3B_M31.pdb     -247.264344 kBT
1zl3B_M166.pdb     -203.487551 kBT
1zl3B_M467.pdb     -155.976122 kBT
1zl3B_M8.pdb     -263.299316 kBT
1zl3B_M500.pdb     -151.222488 kBT
1zl3B_M119.pdb     -207.646385 kBT
1zl3B_M406.pdb     -157.467295 kBT
1zl3B_M421.pdb     -155.763781 kBT
1zl3B_M131.pdb     -181.433755 kBT
1zl3B_M122.pdb     -201.225898 kBT
1zl3B_M387.pdb     -150.503793 kBT
1zl3B_M367.pdb     -157.909730 kBT
1zl3B_M321.pdb     -167.315892 kBT
1zl3B_M475.pdb     -160.439499 kBT
1zl3B_M470.pdb     -154.986462 kBT
1zl3B_M202.pdb     -190.761711 kBT
1zl3B_M206.pdb     -161.184683 kBT
1zl3B_M91.pdb     -203.020908 kBT
1zl3B_M459.pdb     -141.851187 kBT
1zl3B_M316.pdb     -152.261457 kBT
1zl3B_M358.pdb     -153.002423 kBT
1zl3B_M238.pdb     -171.861552 kBT
1zl3B_M134.pdb     -198.455462 kBT
1zl3B_M156.pdb     -154.694179 kBT
1zl3B_M495.pdb     -158.802615 kBT
1zl3B_M193.pdb     -196.894503 kBT
1zl3B_M284.pdb     -178.791417 kBT
1zl3B_M414.pdb     -171.638538 kBT
1zl3B_M132.pdb     -188.706239 kBT
1zl3B_M212.pdb     -181.706505 kBT
1zl3B_M153.pdb     -200.877858 kBT
1zl3B_M265.pdb     -176.643358 kBT
1zl3B_M280.pdb     -173.059849 kBT
1zl3B_M210.pdb     -202.039061 kBT
1zl3B_M140.pdb     -173.421490 kBT
1zl3B_M296.pdb     -179.788800 kBT
1zl3B_M35.pdb     -234.353177 kBT
1zl3B.pdb     -262.188717 kBT
1zl3B_M458.pdb     -168.385157 kBT
1zl3B_M408.pdb     -158.027260 kBT
1zl3B_M317.pdb     -165.947397 kBT
1zl3B_M28.pdb     -266.292676 kBT
1zl3B_M287.pdb     -170.622904 kBT
1zl3B_M224.pdb     -178.082179 kBT
1zl3B_M439.pdb     -171.391722 kBT
1zl3B_M340.pdb     -195.306464 kBT
1zl3B_M494.pdb     -136.569592 kBT
1zl3B_M154.pdb     -205.483976 kBT
1zl3B_M375.pdb     -153.697690 kBT
1zl3B_M220.pdb     -173.729406 kBT
1zl3B_M281.pdb     -173.436913 kBT
1zl3B_M203.pdb     -175.645570 kBT
1zl3B_M314.pdb     -179.364131 kBT
1zl3B_M373.pdb     -152.285675 kBT
1zl3B_M66.pdb     -213.859804 kBT
1zl3B_M434.pdb     -128.639174 kBT
1zl3B_M215.pdb     -178.076888 kBT
1zl3B_M133.pdb     -196.939947 kBT
1zl3B_M177.pdb     -182.882160 kBT
1zl3B_M318.pdb     -156.060336 kBT
1zl3B_M456.pdb     -150.986238 kBT
1zl3B_M334.pdb     -147.227552 kBT
1zl3B_M325.pdb     -185.998694 kBT
1zl3B_M323.pdb     -137.190169 kBT
1zl3B_M473.pdb     -155.734219 kBT
1zl3B_M451.pdb     -152.119236 kBT
1zl3B_M383.pdb     -171.939453 kBT
1zl3B_M469.pdb     -143.919822 kBT
1zl3B_M374.pdb     -174.606653 kBT
1zl3B_M310.pdb     -167.544138 kBT
1zl3B_M463.pdb     -167.706607 kBT
1zl3B_M478.pdb     -149.335746 kBT
1zl3B_M130.pdb     -180.692146 kBT
1zl3B_M12.pdb     -254.510906 kBT
1zl3B_M114.pdb     -192.648878 kBT
1zl3B_M27.pdb     -242.211080 kBT
1zl3B_M18.pdb     -235.634212 kBT
1zl3B_M401.pdb     -190.373561 kBT
1zl3B_M239.pdb     -194.031277 kBT
1zl3B_M219.pdb     -170.001879 kBT
1zl3B_M51.pdb     -219.288122 kBT
1zl3B_M254.pdb     -170.891738 kBT
1zl3B_M404.pdb     -174.786645 kBT
1zl3B_M163.pdb     -194.997425 kBT
1zl3B_M349.pdb     -140.605091 kBT
1zl3B_M63.pdb     -240.187662 kBT
1zl3B_M235.pdb     -182.470641 kBT
1zl3B_M61.pdb     -212.650866 kBT
1zl3B_M40.pdb     -233.583843 kBT
1zl3B_M180.pdb     -186.887733 kBT
1zl3B_M201.pdb     -202.759380 kBT
1zl3B_M371.pdb     -183.637813 kBT
1zl3B_M257.pdb     -169.890258 kBT
1zl3B_M248.pdb     -184.964887 kBT
1zl3B_M384.pdb     -157.313539 kBT
1zl3B_M205.pdb     -185.875625 kBT
1zl3B_M319.pdb     -195.252633 kBT
1zl3B_M489.pdb     -142.780197 kBT
1zl3B_M498.pdb     -167.108540 kBT
1zl3B_M460.pdb     -161.084400 kBT
1zl3B_M395.pdb     -129.316182 kBT
1zl3B_M461.pdb     -139.645110 kBT
1zl3B_M48.pdb     -231.332667 kBT
