2bs1S_M159.pdb     -146.717423 kBT
2bs1S_M313.pdb     -165.788890 kBT
2bs1S_M328.pdb     -123.900728 kBT
2bs1S_M31.pdb     -176.217184 kBT
2bs1S_M142.pdb     -142.026718 kBT
2bs1S_M198.pdb     -148.876632 kBT
2bs1S_M140.pdb     -128.968953 kBT
2bs1S_M342.pdb     -138.708100 kBT
2bs1S_M402.pdb     -122.531833 kBT
2bs1S_M165.pdb     -150.869625 kBT
2bs1S_M196.pdb     -124.209568 kBT
2bs1S_M400.pdb     -140.982430 kBT
2bs1S_M366.pdb     -122.941379 kBT
2bs1S_M394.pdb     -144.561123 kBT
2bs1S_M468.pdb     -132.523622 kBT
2bs1S_M136.pdb     -124.671745 kBT
2bs1S_M233.pdb     -116.308404 kBT
2bs1S_M168.pdb     -128.996010 kBT
2bs1S_M398.pdb     -119.425188 kBT
2bs1S_M459.pdb     -121.386767 kBT
2bs1S_M301.pdb     -124.923303 kBT
2bs1S_M324.pdb     -107.936603 kBT
2bs1S_M386.pdb     -128.192368 kBT
2bs1S_M130.pdb     -122.807679 kBT
2bs1S_M312.pdb     -122.631770 kBT
2bs1S_M82.pdb     -131.494739 kBT
2bs1S_M280.pdb     -119.703050 kBT
2bs1S_M297.pdb     -114.367280 kBT
2bs1S_M243.pdb     -102.503072 kBT
2bs1S_M175.pdb     -159.261738 kBT
2bs1S_M67.pdb     -155.672548 kBT
2bs1S_M332.pdb     -131.544121 kBT
2bs1S_M490.pdb     -128.809529 kBT
2bs1S_M230.pdb     -153.012300 kBT
2bs1S_M113.pdb     -151.098031 kBT
2bs1S_M281.pdb     -131.630640 kBT
2bs1S_M65.pdb     -182.908134 kBT
2bs1S_M59.pdb     -169.561340 kBT
2bs1S_M19.pdb     -159.555520 kBT
2bs1S_M64.pdb     -172.554723 kBT
2bs1S_M47.pdb     -160.386677 kBT
2bs1S_M20.pdb     -178.395146 kBT
2bs1S_M303.pdb     -127.579592 kBT
2bs1S_M101.pdb     -140.125499 kBT
2bs1S_M37.pdb     -186.150854 kBT
2bs1S_M52.pdb     -198.136366 kBT
2bs1S_M430.pdb     -122.369269 kBT
2bs1S_M49.pdb     -164.097789 kBT
2bs1S_M36.pdb     -169.728616 kBT
2bs1S_M472.pdb     -103.024872 kBT
2bs1S_M166.pdb     -154.040776 kBT
2bs1S_M354.pdb     -122.164156 kBT
2bs1S_M310.pdb     -146.657032 kBT
2bs1S_M40.pdb     -157.522272 kBT
2bs1S_M413.pdb     -134.002579 kBT
2bs1S_M256.pdb     -136.606290 kBT
2bs1S_M260.pdb     -125.167406 kBT
2bs1S_M424.pdb     -125.498243 kBT
2bs1S_M431.pdb     -131.210560 kBT
2bs1S_M30.pdb     -169.907182 kBT
2bs1S_M3.pdb     -181.967055 kBT
2bs1S_M16.pdb     -172.200658 kBT
2bs1S_M189.pdb     -123.733923 kBT
2bs1S_M446.pdb     -130.897699 kBT
2bs1S_M404.pdb     -89.526051 kBT
2bs1S_M148.pdb     -159.388410 kBT
2bs1S_M387.pdb     -103.942498 kBT
2bs1S_M157.pdb     -164.170664 kBT
2bs1S_M211.pdb     -126.069434 kBT
2bs1S_M232.pdb     -111.296911 kBT
2bs1S_M347.pdb     -150.798410 kBT
2bs1S_M473.pdb     -114.512667 kBT
2bs1S_M399.pdb     -98.354130 kBT
2bs1S_M287.pdb     -126.451058 kBT
2bs1S_M383.pdb     -135.796276 kBT
2bs1S_M368.pdb     -157.053116 kBT
2bs1S_M205.pdb     -128.736884 kBT
2bs1S_M408.pdb     -128.160174 kBT
2bs1S_M141.pdb     -128.051390 kBT
2bs1S_M466.pdb     -119.419116 kBT
2bs1S_M121.pdb     -148.044469 kBT
2bs1S_M225.pdb     -110.858253 kBT
2bs1S_M118.pdb     -162.752159 kBT
2bs1S_M390.pdb     -127.844152 kBT
2bs1S_M132.pdb     -150.261472 kBT
2bs1S_M278.pdb     -126.668057 kBT
2bs1S_M218.pdb     -122.173150 kBT
2bs1S_M250.pdb     -158.831418 kBT
2bs1S_M104.pdb     -139.417234 kBT
2bs1S_M420.pdb     -154.439771 kBT
2bs1S_M378.pdb     -113.480467 kBT
2bs1S_M152.pdb     -146.059454 kBT
2bs1S_M273.pdb     -136.714377 kBT
2bs1S_M405.pdb     -127.211213 kBT
2bs1S_M266.pdb     -115.136618 kBT
2bs1S_M206.pdb     -114.171974 kBT
2bs1S_M375.pdb     -116.410465 kBT
2bs1S_M70.pdb     -158.834018 kBT
2bs1S_M200.pdb     -126.603837 kBT
2bs1S_M444.pdb     -149.183969 kBT
2bs1S_M76.pdb     -152.601108 kBT
2bs1S_M451.pdb     -124.398468 kBT
2bs1S_M128.pdb     -137.347444 kBT
2bs1S_M322.pdb     -88.782595 kBT
2bs1S_M465.pdb     -149.444565 kBT
2bs1S_M45.pdb     -164.637374 kBT
2bs1S_M5.pdb     -175.232309 kBT
2bs1S_M330.pdb     -131.704258 kBT
2bs1S_M429.pdb     -130.250615 kBT
2bs1S_M411.pdb     -95.988835 kBT
2bs1S_M172.pdb     -133.282306 kBT
2bs1S_M311.pdb     -140.377708 kBT
2bs1S_M499.pdb     -95.352939 kBT
2bs1S.pdb     -175.501424 kBT
2bs1S_M115.pdb     -140.128183 kBT
2bs1S_M116.pdb     -158.005828 kBT
2bs1S_M224.pdb     -129.738960 kBT
2bs1S_M355.pdb     -113.430333 kBT
2bs1S_M263.pdb     -95.908814 kBT
2bs1S_M428.pdb     -141.113842 kBT
2bs1S_M191.pdb     -112.867803 kBT
2bs1S_M415.pdb     -115.754352 kBT
2bs1S_M360.pdb     -153.601737 kBT
2bs1S_M477.pdb     -113.856751 kBT
2bs1S_M305.pdb     -115.791998 kBT
2bs1S_M318.pdb     -113.805350 kBT
2bs1S_M42.pdb     -165.763841 kBT
2bs1S_M462.pdb     -126.430635 kBT
2bs1S_M105.pdb     -157.063121 kBT
2bs1S_M345.pdb     -115.289824 kBT
2bs1S_M184.pdb     -147.384464 kBT
2bs1S_M21.pdb     -174.246408 kBT
2bs1S_M333.pdb     -120.777714 kBT
2bs1S_M275.pdb     -121.056348 kBT
2bs1S_M78.pdb     -170.483182 kBT
2bs1S_M341.pdb     -126.519920 kBT
2bs1S_M244.pdb     -116.207757 kBT
2bs1S_M489.pdb     -103.084049 kBT
2bs1S_M478.pdb     -147.117830 kBT
2bs1S_M139.pdb     -120.222706 kBT
2bs1S_M367.pdb     -138.173283 kBT
2bs1S_M1.pdb     -174.864995 kBT
2bs1S_M458.pdb     -138.191757 kBT
2bs1S_M432.pdb     -123.449722 kBT
2bs1S_M98.pdb     -128.072761 kBT
2bs1S_M124.pdb     -143.998818 kBT
2bs1S_M389.pdb     -142.198745 kBT
2bs1S_M467.pdb     -130.983727 kBT
2bs1S_M381.pdb     -108.530674 kBT
2bs1S_M215.pdb     -136.651105 kBT
2bs1S_M183.pdb     -134.505967 kBT
2bs1S_M80.pdb     -142.795768 kBT
2bs1S_M164.pdb     -119.609838 kBT
2bs1S_M28.pdb     -177.442254 kBT
2bs1S_M146.pdb     -145.682689 kBT
2bs1S_M370.pdb     -123.374625 kBT
2bs1S_M423.pdb     -127.173968 kBT
2bs1S_M106.pdb     -146.501874 kBT
2bs1S_M291.pdb     -129.438612 kBT
2bs1S_M87.pdb     -193.478737 kBT
2bs1S_M351.pdb     -133.962986 kBT
2bs1S_M103.pdb     -148.149855 kBT
2bs1S_M497.pdb     -110.515595 kBT
2bs1S_M339.pdb     -136.375510 kBT
2bs1S_M207.pdb     -130.599705 kBT
2bs1S_M177.pdb     -117.508861 kBT
2bs1S_M235.pdb     -118.188116 kBT
2bs1S_M382.pdb     -112.773813 kBT
2bs1S_M409.pdb     -147.033559 kBT
2bs1S_M154.pdb     -124.206593 kBT
2bs1S_M471.pdb     -142.197760 kBT
2bs1S_M245.pdb     -142.371624 kBT
2bs1S_M108.pdb     -146.255042 kBT
2bs1S_M144.pdb     -109.172603 kBT
2bs1S_M176.pdb     -122.496500 kBT
2bs1S_M349.pdb     -150.436892 kBT
2bs1S_M56.pdb     -173.396241 kBT
2bs1S_M77.pdb     -135.018838 kBT
2bs1S_M395.pdb     -135.585449 kBT
2bs1S_M270.pdb     -110.580860 kBT
2bs1S_M494.pdb     -136.044018 kBT
2bs1S_M252.pdb     -113.766633 kBT
2bs1S_M187.pdb     -131.775672 kBT
2bs1S_M358.pdb     -130.587098 kBT
2bs1S_M48.pdb     -175.684229 kBT
2bs1S_M72.pdb     -163.483079 kBT
2bs1S_M264.pdb     -139.181727 kBT
2bs1S_M111.pdb     -151.286798 kBT
2bs1S_M23.pdb     -185.384678 kBT
2bs1S_M153.pdb     -136.891013 kBT
2bs1S_M96.pdb     -131.771266 kBT
2bs1S_M371.pdb     -119.145097 kBT
2bs1S_M227.pdb     -142.639168 kBT
2bs1S_M353.pdb     -123.651753 kBT
2bs1S_M83.pdb     -151.811560 kBT
2bs1S_M453.pdb     -119.323262 kBT
2bs1S_M174.pdb     -133.634727 kBT
2bs1S_M325.pdb     -129.206292 kBT
2bs1S_M460.pdb     -133.863928 kBT
2bs1S_M24.pdb     -185.591572 kBT
2bs1S_M74.pdb     -172.572761 kBT
2bs1S_M195.pdb     -110.312272 kBT
2bs1S_M417.pdb     -121.797174 kBT
2bs1S_M161.pdb     -154.035664 kBT
2bs1S_M356.pdb     -147.141983 kBT
2bs1S_M92.pdb     -134.295471 kBT
2bs1S_M485.pdb     -133.696860 kBT
2bs1S_M156.pdb     -114.982287 kBT
2bs1S_M492.pdb     -125.856784 kBT
2bs1S_M261.pdb     -127.025242 kBT
2bs1S_M90.pdb     -193.388077 kBT
2bs1S_M474.pdb     -124.998015 kBT
2bs1S_M107.pdb     -150.609268 kBT
2bs1S_M194.pdb     -139.884876 kBT
2bs1S_M416.pdb     -113.441949 kBT
2bs1S_M234.pdb     -138.283829 kBT
2bs1S_M257.pdb     -112.517508 kBT
2bs1S_M134.pdb     -112.439836 kBT
2bs1S_M226.pdb     -151.251395 kBT
2bs1S_M68.pdb     -149.757617 kBT
2bs1S_M122.pdb     -153.951280 kBT
2bs1S_M251.pdb     -120.119661 kBT
2bs1S_M236.pdb     -138.771398 kBT
2bs1S_M27.pdb     -160.655171 kBT
2bs1S_M158.pdb     -153.819586 kBT
2bs1S_M403.pdb     -137.622565 kBT
2bs1S_M340.pdb     -120.536541 kBT
2bs1S_M276.pdb     -131.723759 kBT
2bs1S_M441.pdb     -121.861215 kBT
2bs1S_M57.pdb     -146.058581 kBT
2bs1S_M486.pdb     -126.958565 kBT
2bs1S_M334.pdb     -128.117469 kBT
2bs1S_M449.pdb     -130.607807 kBT
2bs1S_M292.pdb     -123.062243 kBT
2bs1S_M385.pdb     -113.084663 kBT
2bs1S_M89.pdb     -142.251627 kBT
2bs1S_M199.pdb     -136.218047 kBT
2bs1S_M29.pdb     -193.728175 kBT
2bs1S_M348.pdb     -128.376436 kBT
2bs1S_M393.pdb     -99.936943 kBT
2bs1S_M283.pdb     -148.057165 kBT
2bs1S_M179.pdb     -143.916320 kBT
2bs1S_M237.pdb     -125.972137 kBT
2bs1S_M279.pdb     -133.439761 kBT
2bs1S_M419.pdb     -139.864451 kBT
2bs1S_M79.pdb     -162.156469 kBT
2bs1S_M18.pdb     -175.024174 kBT
2bs1S_M434.pdb     -94.515340 kBT
2bs1S_M315.pdb     -116.374151 kBT
2bs1S_M97.pdb     -162.108999 kBT
2bs1S_M58.pdb     -190.460514 kBT
2bs1S_M231.pdb     -154.037595 kBT
2bs1S_M464.pdb     -124.517774 kBT
2bs1S_M137.pdb     -142.556103 kBT
2bs1S_M4.pdb     -184.624407 kBT
2bs1S_M493.pdb     -88.866650 kBT
2bs1S_M131.pdb     -122.712251 kBT
2bs1S_M435.pdb     -158.579532 kBT
2bs1S_M376.pdb     -177.011553 kBT
2bs1S_M374.pdb     -137.544143 kBT
2bs1S_M22.pdb     -182.162971 kBT
2bs1S_M309.pdb     -128.745760 kBT
2bs1S_M81.pdb     -138.494578 kBT
2bs1S_M269.pdb     -131.109169 kBT
2bs1S_M352.pdb     -110.370110 kBT
2bs1S_M203.pdb     -124.071563 kBT
2bs1S_M487.pdb     -149.919742 kBT
2bs1S_M155.pdb     -137.438710 kBT
2bs1S_M469.pdb     -114.204546 kBT
2bs1S_M457.pdb     -114.118391 kBT
2bs1S_M308.pdb     -121.851219 kBT
2bs1S_M86.pdb     -136.180543 kBT
2bs1S_M41.pdb     -183.185589 kBT
2bs1S_M171.pdb     -146.927224 kBT
2bs1S_M286.pdb     -144.900631 kBT
2bs1S_M13.pdb     -163.233575 kBT
2bs1S_M50.pdb     -169.552295 kBT
2bs1S_M344.pdb     -145.618375 kBT
2bs1S_M91.pdb     -126.929732 kBT
2bs1S_M418.pdb     -143.578217 kBT
2bs1S_M267.pdb     -107.789566 kBT
2bs1S_M228.pdb     -135.679280 kBT
2bs1S_M38.pdb     -162.493159 kBT
2bs1S_M455.pdb     -137.725308 kBT
2bs1S_M361.pdb     -111.322012 kBT
2bs1S_M314.pdb     -155.634424 kBT
2bs1S_M447.pdb     -136.045811 kBT
2bs1S_M479.pdb     -120.051287 kBT
2bs1S_M54.pdb     -182.164340 kBT
2bs1S_M439.pdb     -111.476064 kBT
2bs1S_M247.pdb     -128.350166 kBT
2bs1S_M39.pdb     -202.620965 kBT
2bs1S_M53.pdb     -146.618925 kBT
2bs1S_M425.pdb     -111.303023 kBT
2bs1S_M210.pdb     -125.253835 kBT
2bs1S_M488.pdb     -124.091119 kBT
2bs1S_M364.pdb     -127.660504 kBT
2bs1S_M443.pdb     -144.681934 kBT
2bs1S_M129.pdb     -102.843889 kBT
2bs1S_M335.pdb     -132.198353 kBT
2bs1S_M307.pdb     -125.182754 kBT
2bs1S_M133.pdb     -155.820546 kBT
2bs1S_M182.pdb     -102.793634 kBT
2bs1S_M208.pdb     -103.233238 kBT
2bs1S_M498.pdb     -110.601195 kBT
2bs1S_M62.pdb     -177.731543 kBT
2bs1S_M217.pdb     -117.448915 kBT
2bs1S_M99.pdb     -134.463122 kBT
2bs1S_M300.pdb     -143.868030 kBT
2bs1S_M337.pdb     -133.027796 kBT
2bs1S_M456.pdb     -115.234143 kBT
2bs1S_M380.pdb     -98.915159 kBT
2bs1S_M482.pdb     -122.940970 kBT
2bs1S_M401.pdb     -107.685098 kBT
2bs1S_M299.pdb     -152.329498 kBT
