2qusB_M208.pdb     -405.506450 kBT
2qusB_M489.pdb     -356.758203 kBT
2qusB_M452.pdb     -423.120713 kBT
2qusB_M274.pdb     -406.398207 kBT
2qusB_M149.pdb     -470.165259 kBT
2qusB_M438.pdb     -432.931956 kBT
2qusB_M448.pdb     -428.841112 kBT
2qusB_M129.pdb     -505.095165 kBT
2qusB_M76.pdb     -480.348791 kBT
2qusB_M241.pdb     -447.510951 kBT
2qusB_M148.pdb     -461.468431 kBT
2qusB_M63.pdb     -496.732066 kBT
2qusB_M410.pdb     -391.858998 kBT
2qusB_M411.pdb     -375.640694 kBT
2qusB_M91.pdb     -426.975340 kBT
2qusB_M383.pdb     -409.226046 kBT
2qusB_M270.pdb     -434.478786 kBT
2qusB_M333.pdb     -407.867688 kBT
2qusB_M335.pdb     -417.915709 kBT
2qusB.pdb     -615.008343 kBT
2qusB_M471.pdb     -382.927234 kBT
2qusB_M73.pdb     -540.264926 kBT
2qusB_M475.pdb     -377.111135 kBT
2qusB_M453.pdb     -406.211072 kBT
2qusB_M495.pdb     -395.561237 kBT
2qusB_M10.pdb     -566.981262 kBT
2qusB_M373.pdb     -421.278073 kBT
2qusB_M163.pdb     -411.657722 kBT
2qusB_M352.pdb     -409.720572 kBT
2qusB_M481.pdb     -385.956077 kBT
2qusB_M432.pdb     -370.720814 kBT
2qusB_M472.pdb     -401.701623 kBT
2qusB_M236.pdb     -425.383610 kBT
2qusB_M119.pdb     -440.498097 kBT
2qusB_M177.pdb     -470.169510 kBT
2qusB_M320.pdb     -373.874976 kBT
2qusB_M295.pdb     -395.978228 kBT
2qusB_M456.pdb     -390.921675 kBT
2qusB_M24.pdb     -548.653402 kBT
2qusB_M316.pdb     -438.806456 kBT
2qusB_M28.pdb     -547.492494 kBT
2qusB_M322.pdb     -463.172067 kBT
2qusB_M399.pdb     -372.426641 kBT
2qusB_M305.pdb     -428.468137 kBT
2qusB_M386.pdb     -404.559307 kBT
2qusB_M113.pdb     -465.696616 kBT
2qusB_M470.pdb     -456.585815 kBT
2qusB_M109.pdb     -502.048755 kBT
2qusB_M311.pdb     -398.571943 kBT
2qusB_M490.pdb     -391.917086 kBT
2qusB_M252.pdb     -413.822639 kBT
2qusB_M86.pdb     -462.035825 kBT
2qusB_M20.pdb     -588.359086 kBT
2qusB_M389.pdb     -436.202096 kBT
2qusB_M6.pdb     -614.288428 kBT
2qusB_M212.pdb     -443.939621 kBT
2qusB_M348.pdb     -421.778659 kBT
2qusB_M401.pdb     -369.585279 kBT
2qusB_M214.pdb     -424.365970 kBT
2qusB_M375.pdb     -410.299199 kBT
2qusB_M128.pdb     -463.417145 kBT
2qusB_M27.pdb     -555.407044 kBT
2qusB_M16.pdb     -562.531593 kBT
2qusB_M83.pdb     -478.602885 kBT
2qusB_M22.pdb     -539.072468 kBT
2qusB_M468.pdb     -371.484384 kBT
2qusB_M477.pdb     -397.236119 kBT
2qusB_M376.pdb     -447.105030 kBT
2qusB_M221.pdb     -381.457216 kBT
2qusB_M160.pdb     -474.375573 kBT
2qusB_M47.pdb     -491.025528 kBT
2qusB_M11.pdb     -567.735624 kBT
2qusB_M189.pdb     -403.741884 kBT
2qusB_M306.pdb     -439.834949 kBT
2qusB_M422.pdb     -374.923949 kBT
2qusB_M353.pdb     -428.725339 kBT
2qusB_M282.pdb     -430.420347 kBT
2qusB_M331.pdb     -355.065739 kBT
2qusB_M194.pdb     -416.795883 kBT
2qusB_M226.pdb     -444.550082 kBT
2qusB_M9.pdb     -576.777387 kBT
2qusB_M467.pdb     -387.603025 kBT
2qusB_M184.pdb     -421.788216 kBT
2qusB_M379.pdb     -425.264027 kBT
2qusB_M56.pdb     -510.614283 kBT
2qusB_M365.pdb     -425.787454 kBT
2qusB_M178.pdb     -428.867873 kBT
2qusB_M249.pdb     -385.939881 kBT
2qusB_M190.pdb     -426.201436 kBT
2qusB_M347.pdb     -401.101076 kBT
2qusB_M479.pdb     -387.572501 kBT
2qusB_M356.pdb     -417.121245 kBT
2qusB_M81.pdb     -484.951709 kBT
2qusB_M238.pdb     -449.685276 kBT
2qusB_M142.pdb     -454.525752 kBT
2qusB_M446.pdb     -421.649301 kBT
2qusB_M351.pdb     -419.866244 kBT
2qusB_M125.pdb     -430.481631 kBT
2qusB_M442.pdb     -382.801364 kBT
2qusB_M143.pdb     -485.399695 kBT
2qusB_M385.pdb     -362.750999 kBT
2qusB_M500.pdb     -381.391954 kBT
2qusB_M35.pdb     -495.787999 kBT
2qusB_M39.pdb     -516.645846 kBT
2qusB_M454.pdb     -393.804819 kBT
2qusB_M18.pdb     -586.799037 kBT
2qusB_M425.pdb     -392.252306 kBT
2qusB_M43.pdb     -516.607047 kBT
2qusB_M279.pdb     -403.106917 kBT
2qusB_M284.pdb     -402.942457 kBT
2qusB_M154.pdb     -412.337686 kBT
2qusB_M181.pdb     -459.495648 kBT
2qusB_M460.pdb     -385.640739 kBT
2qusB_M192.pdb     -433.740242 kBT
2qusB_M413.pdb     -425.585553 kBT
2qusB_M77.pdb     -494.336357 kBT
2qusB_M444.pdb     -362.202473 kBT
2qusB_M114.pdb     -455.599138 kBT
2qusB_M394.pdb     -377.524274 kBT
2qusB_M260.pdb     -433.740897 kBT
2qusB_M465.pdb     -394.208639 kBT
2qusB_M57.pdb     -476.068144 kBT
2qusB_M485.pdb     -437.201951 kBT
2qusB_M204.pdb     -440.596552 kBT
2qusB_M496.pdb     -408.472602 kBT
2qusB_M436.pdb     -381.352558 kBT
2qusB_M197.pdb     -452.222946 kBT
2qusB_M23.pdb     -570.559165 kBT
2qusB_M130.pdb     -454.608390 kBT
2qusB_M222.pdb     -428.471053 kBT
2qusB_M380.pdb     -455.892807 kBT
2qusB_M264.pdb     -459.513117 kBT
2qusB_M296.pdb     -393.396888 kBT
2qusB_M433.pdb     -371.266619 kBT
2qusB_M168.pdb     -485.401369 kBT
2qusB_M493.pdb     -395.547507 kBT
2qusB_M437.pdb     -399.131728 kBT
2qusB_M443.pdb     -407.154169 kBT
2qusB_M307.pdb     -417.943653 kBT
2qusB_M147.pdb     -465.622745 kBT
2qusB_M46.pdb     -534.775319 kBT
2qusB_M361.pdb     -395.702542 kBT
2qusB_M302.pdb     -459.068754 kBT
2qusB_M48.pdb     -523.945592 kBT
2qusB_M287.pdb     -432.287058 kBT
2qusB_M301.pdb     -448.843979 kBT
2qusB_M5.pdb     -594.446512 kBT
2qusB_M196.pdb     -411.102473 kBT
2qusB_M426.pdb     -414.789818 kBT
2qusB_M474.pdb     -389.505965 kBT
2qusB_M256.pdb     -447.439806 kBT
2qusB_M281.pdb     -405.216579 kBT
2qusB_M161.pdb     -449.603133 kBT
2qusB_M116.pdb     -467.913252 kBT
2qusB_M26.pdb     -526.553810 kBT
2qusB_M349.pdb     -415.969956 kBT
2qusB_M257.pdb     -431.425764 kBT
2qusB_M1.pdb     -599.645247 kBT
2qusB_M41.pdb     -521.862480 kBT
2qusB_M58.pdb     -522.584351 kBT
2qusB_M100.pdb     -485.149739 kBT
2qusB_M21.pdb     -575.380881 kBT
2qusB_M396.pdb     -408.459769 kBT
2qusB_M297.pdb     -385.339897 kBT
2qusB_M117.pdb     -454.569759 kBT
2qusB_M29.pdb     -508.807700 kBT
2qusB_M224.pdb     -439.125429 kBT
2qusB_M480.pdb     -419.283895 kBT
2qusB_M265.pdb     -410.422743 kBT
2qusB_M187.pdb     -445.356842 kBT
2qusB_M152.pdb     -446.474197 kBT
2qusB_M174.pdb     -413.127816 kBT
2qusB_M259.pdb     -404.271792 kBT
2qusB_M310.pdb     -428.024845 kBT
2qusB_M95.pdb     -494.832575 kBT
2qusB_M328.pdb     -426.508597 kBT
2qusB_M198.pdb     -407.469499 kBT
2qusB_M378.pdb     -378.573145 kBT
2qusB_M182.pdb     -416.070539 kBT
2qusB_M101.pdb     -447.137804 kBT
2qusB_M403.pdb     -435.595303 kBT
2qusB_M423.pdb     -421.512740 kBT
2qusB_M158.pdb     -480.402501 kBT
2qusB_M434.pdb     -366.346620 kBT
2qusB_M366.pdb     -391.045811 kBT
2qusB_M404.pdb     -413.549600 kBT
2qusB_M121.pdb     -464.465597 kBT
2qusB_M339.pdb     -388.588308 kBT
2qusB_M271.pdb     -437.296012 kBT
2qusB_M105.pdb     -467.090187 kBT
2qusB_M299.pdb     -414.769455 kBT
2qusB_M99.pdb     -474.871625 kBT
2qusB_M220.pdb     -462.377646 kBT
2qusB_M134.pdb     -470.304857 kBT
2qusB_M217.pdb     -425.034453 kBT
2qusB_M412.pdb     -399.024939 kBT
2qusB_M59.pdb     -519.280941 kBT
2qusB_M144.pdb     -450.806310 kBT
2qusB_M110.pdb     -451.532289 kBT
2qusB_M267.pdb     -402.955543 kBT
2qusB_M451.pdb     -384.810505 kBT
2qusB_M400.pdb     -402.372552 kBT
2qusB_M173.pdb     -440.372019 kBT
2qusB_M32.pdb     -515.496194 kBT
2qusB_M164.pdb     -443.926956 kBT
2qusB_M45.pdb     -485.374942 kBT
2qusB_M486.pdb     -361.340021 kBT
2qusB_M49.pdb     -486.179413 kBT
2qusB_M108.pdb     -433.336768 kBT
2qusB_M112.pdb     -477.269385 kBT
2qusB_M388.pdb     -381.404952 kBT
2qusB_M12.pdb     -594.660565 kBT
2qusB_M185.pdb     -437.323799 kBT
2qusB_M363.pdb     -386.503678 kBT
2qusB_M494.pdb     -338.929935 kBT
2qusB_M498.pdb     -373.566021 kBT
2qusB_M228.pdb     -386.320077 kBT
2qusB_M71.pdb     -469.443614 kBT
2qusB_M418.pdb     -430.463906 kBT
2qusB_M315.pdb     -417.407311 kBT
2qusB_M330.pdb     -436.468868 kBT
2qusB_M484.pdb     -430.707194 kBT
2qusB_M372.pdb     -406.079233 kBT
2qusB_M487.pdb     -413.271265 kBT
2qusB_M359.pdb     -424.475593 kBT
2qusB_M115.pdb     -435.541107 kBT
2qusB_M122.pdb     -445.528415 kBT
2qusB_M406.pdb     -384.476993 kBT
2qusB_M44.pdb     -523.584088 kBT
2qusB_M80.pdb     -489.721340 kBT
2qusB_M3.pdb     -600.984134 kBT
2qusB_M457.pdb     -390.901136 kBT
2qusB_M268.pdb     -452.968996 kBT
2qusB_M371.pdb     -388.984724 kBT
2qusB_M263.pdb     -436.755339 kBT
2qusB_M317.pdb     -421.247089 kBT
2qusB_M111.pdb     -453.806962 kBT
2qusB_M7.pdb     -615.862847 kBT
2qusB_M384.pdb     -438.451120 kBT
2qusB_M223.pdb     -423.916457 kBT
2qusB_M68.pdb     -457.802380 kBT
2qusB_M355.pdb     -416.753274 kBT
2qusB_M360.pdb     -395.316163 kBT
2qusB_M289.pdb     -416.518596 kBT
2qusB_M343.pdb     -400.190255 kBT
2qusB_M166.pdb     -468.036991 kBT
2qusB_M377.pdb     -435.850955 kBT
2qusB_M216.pdb     -379.151236 kBT
2qusB_M90.pdb     -495.621503 kBT
2qusB_M292.pdb     -409.932861 kBT
2qusB_M193.pdb     -471.900623 kBT
2qusB_M67.pdb     -462.088195 kBT
2qusB_M87.pdb     -482.937054 kBT
2qusB_M459.pdb     -401.883637 kBT
2qusB_M277.pdb     -420.768461 kBT
2qusB_M483.pdb     -426.379967 kBT
2qusB_M461.pdb     -430.630802 kBT
2qusB_M329.pdb     -429.779638 kBT
2qusB_M319.pdb     -400.817095 kBT
2qusB_M417.pdb     -417.190746 kBT
2qusB_M278.pdb     -410.936893 kBT
2qusB_M478.pdb     -437.120765 kBT
2qusB_M283.pdb     -403.647496 kBT
2qusB_M75.pdb     -459.110663 kBT
2qusB_M55.pdb     -520.716954 kBT
2qusB_M450.pdb     -377.231464 kBT
2qusB_M231.pdb     -444.334267 kBT
2qusB_M405.pdb     -446.741328 kBT
2qusB_M82.pdb     -519.072929 kBT
2qusB_M354.pdb     -417.099185 kBT
2qusB_M266.pdb     -430.708207 kBT
2qusB_M462.pdb     -405.592574 kBT
2qusB_M209.pdb     -423.023515 kBT
2qusB_M300.pdb     -405.317304 kBT
2qusB_M172.pdb     -431.323197 kBT
2qusB_M246.pdb     -416.888387 kBT
2qusB_M447.pdb     -355.422198 kBT
2qusB_M245.pdb     -374.406384 kBT
2qusB_M342.pdb     -397.452508 kBT
2qusB_M449.pdb     -381.429894 kBT
2qusB_M60.pdb     -476.295547 kBT
2qusB_M78.pdb     -464.985606 kBT
2qusB_M146.pdb     -447.034895 kBT
2qusB_M132.pdb     -447.315178 kBT
2qusB_M325.pdb     -470.729864 kBT
2qusB_M382.pdb     -402.679943 kBT
2qusB_M230.pdb     -411.731163 kBT
2qusB_M321.pdb     -374.348719 kBT
2qusB_M455.pdb     -415.488715 kBT
2qusB_M346.pdb     -403.985566 kBT
2qusB_M62.pdb     -483.372025 kBT
2qusB_M240.pdb     -399.680277 kBT
2qusB_M155.pdb     -439.341658 kBT
2qusB_M435.pdb     -413.922023 kBT
2qusB_M54.pdb     -522.718920 kBT
2qusB_M276.pdb     -411.105520 kBT
2qusB_M107.pdb     -477.194062 kBT
2qusB_M92.pdb     -421.705139 kBT
2qusB_M392.pdb     -426.656961 kBT
2qusB_M120.pdb     -481.901539 kBT
2qusB_M188.pdb     -397.079805 kBT
2qusB_M205.pdb     -428.838255 kBT
2qusB_M124.pdb     -493.100876 kBT
2qusB_M186.pdb     -441.732599 kBT
2qusB_M202.pdb     -445.525908 kBT
2qusB_M429.pdb     -405.214739 kBT
2qusB_M183.pdb     -453.629894 kBT
2qusB_M334.pdb     -402.635843 kBT
2qusB_M458.pdb     -418.302431 kBT
2qusB_M337.pdb     -354.077230 kBT
2qusB_M464.pdb     -426.564688 kBT
2qusB_M17.pdb     -586.690438 kBT
2qusB_M74.pdb     -484.921968 kBT
2qusB_M262.pdb     -460.563604 kBT
2qusB_M272.pdb     -403.917198 kBT
2qusB_M19.pdb     -565.280388 kBT
2qusB_M141.pdb     -422.078590 kBT
2qusB_M225.pdb     -423.171337 kBT
2qusB_M38.pdb     -530.918213 kBT
2qusB_M61.pdb     -484.583760 kBT
2qusB_M79.pdb     -477.752154 kBT
2qusB_M309.pdb     -411.895013 kBT
2qusB_M318.pdb     -426.619164 kBT
2qusB_M232.pdb     -418.160155 kBT
2qusB_M312.pdb     -392.728175 kBT
2qusB_M357.pdb     -406.378205 kBT
2qusB_M440.pdb     -357.369872 kBT
2qusB_M441.pdb     -415.635268 kBT
2qusB_M254.pdb     -446.531516 kBT
2qusB_M497.pdb     -365.004046 kBT
2qusB_M156.pdb     -505.521322 kBT
2qusB_M133.pdb     -426.317421 kBT
2qusB_M273.pdb     -426.116712 kBT
2qusB_M96.pdb     -452.595964 kBT
2qusB_M64.pdb     -527.041606 kBT
2qusB_M215.pdb     -437.655433 kBT
2qusB_M210.pdb     -443.528479 kBT
2qusB_M31.pdb     -546.431088 kBT
2qusB_M233.pdb     -399.316395 kBT
2qusB_M137.pdb     -446.342316 kBT
2qusB_M427.pdb     -386.888544 kBT
2qusB_M293.pdb     -425.108611 kBT
2qusB_M97.pdb     -479.390579 kBT
2qusB_M167.pdb     -471.615953 kBT
2qusB_M72.pdb     -502.026638 kBT
2qusB_M244.pdb     -439.712353 kBT
2qusB_M52.pdb     -489.251097 kBT
2qusB_M407.pdb     -395.001696 kBT
2qusB_M69.pdb     -489.807244 kBT
2qusB_M341.pdb     -404.521446 kBT
2qusB_M140.pdb     -453.576416 kBT
2qusB_M118.pdb     -497.702157 kBT
2qusB_M381.pdb     -414.735995 kBT
2qusB_M253.pdb     -460.645752 kBT
2qusB_M51.pdb     -509.912331 kBT
2qusB_M36.pdb     -542.256785 kBT
2qusB_M367.pdb     -408.560241 kBT
2qusB_M135.pdb     -435.738867 kBT
2qusB_M255.pdb     -407.856514 kBT
2qusB_M350.pdb     -413.757961 kBT
2qusB_M294.pdb     -420.685018 kBT
2qusB_M153.pdb     -454.052302 kBT
2qusB_M285.pdb     -398.401444 kBT
2qusB_M439.pdb     -395.148162 kBT
2qusB_M53.pdb     -528.567068 kBT
2qusB_M123.pdb     -465.543849 kBT
2qusB_M235.pdb     -461.508095 kBT
2qusB_M50.pdb     -549.277614 kBT
2qusB_M94.pdb     -454.338789 kBT
2qusB_M176.pdb     -421.856958 kBT
2qusB_M419.pdb     -401.948231 kBT
2qusB_M206.pdb     -406.451240 kBT
2qusB_M138.pdb     -407.832726 kBT
2qusB_M393.pdb     -389.686123 kBT
2qusB_M291.pdb     -432.235003 kBT
2qusB_M290.pdb     -470.937317 kBT
2qusB_M34.pdb     -548.047942 kBT
2qusB_M248.pdb     -460.821395 kBT
2qusB_M397.pdb     -411.700963 kBT
2qusB_M258.pdb     -414.169890 kBT
2qusB_M251.pdb     -392.812717 kBT
2qusB_M93.pdb     -466.583342 kBT
2qusB_M327.pdb     -447.298148 kBT
2qusB_M30.pdb     -508.859266 kBT
2qusB_M171.pdb     -436.282270 kBT
2qusB_M201.pdb     -442.545209 kBT
2qusB_M126.pdb     -485.179477 kBT
2qusB_M13.pdb     -573.182441 kBT
2qusB_M336.pdb     -430.855754 kBT
2qusB_M151.pdb     -438.189608 kBT
2qusB_M239.pdb     -443.690490 kBT
2qusB_M420.pdb     -383.592195 kBT
2qusB_M431.pdb     -440.158245 kBT
2qusB_M25.pdb     -535.128004 kBT
2qusB_M136.pdb     -480.824879 kBT
2qusB_M368.pdb     -432.197718 kBT
2qusB_M227.pdb     -440.904461 kBT
2qusB_M237.pdb     -375.320525 kBT
2qusB_M131.pdb     -472.640314 kBT
2qusB_M269.pdb     -390.505633 kBT
2qusB_M395.pdb     -384.489005 kBT
2qusB_M213.pdb     -454.944837 kBT
2qusB_M391.pdb     -369.446817 kBT
2qusB_M445.pdb     -356.325029 kBT
2qusB_M70.pdb     -494.932254 kBT
2qusB_M323.pdb     -444.450699 kBT
2qusB_M179.pdb     -387.662880 kBT
2qusB_M2.pdb     -608.047413 kBT
2qusB_M247.pdb     -448.986705 kBT
2qusB_M362.pdb     -406.034391 kBT
2qusB_M416.pdb     -392.977091 kBT
2qusB_M175.pdb     -470.019940 kBT
2qusB_M409.pdb     -414.543312 kBT
2qusB_M482.pdb     -394.435715 kBT
