1zhoH_M39.pdb     -299.845522 kBT
1zhoH_M479.pdb     -233.687857 kBT
1zhoH_M238.pdb     -273.870828 kBT
1zhoH_M106.pdb     -275.254746 kBT
1zhoH_M177.pdb     -300.902529 kBT
1zhoH_M336.pdb     -239.401970 kBT
1zhoH_M378.pdb     -278.178544 kBT
1zhoH_M448.pdb     -285.740949 kBT
1zhoH_M184.pdb     -292.629763 kBT
1zhoH_M217.pdb     -253.418739 kBT
1zhoH_M388.pdb     -255.152241 kBT
1zhoH_M96.pdb     -268.147871 kBT
1zhoH_M173.pdb     -284.767154 kBT
1zhoH_M183.pdb     -262.522477 kBT
1zhoH_M500.pdb     -232.373941 kBT
1zhoH_M275.pdb     -268.186803 kBT
1zhoH_M126.pdb     -296.871991 kBT
1zhoH_M463.pdb     -321.014174 kBT
1zhoH_M222.pdb     -262.693955 kBT
1zhoH_M53.pdb     -311.349694 kBT
1zhoH_M178.pdb     -278.475931 kBT
1zhoH_M260.pdb     -261.918801 kBT
1zhoH_M495.pdb     -266.163110 kBT
1zhoH_M85.pdb     -288.560911 kBT
1zhoH_M156.pdb     -281.778463 kBT
1zhoH_M281.pdb     -245.872685 kBT
1zhoH_M210.pdb     -272.864399 kBT
1zhoH_M316.pdb     -275.861722 kBT
1zhoH_M391.pdb     -278.385073 kBT
1zhoH_M258.pdb     -282.578198 kBT
1zhoH_M350.pdb     -255.541683 kBT
1zhoH_M438.pdb     -231.966450 kBT
1zhoH_M264.pdb     -254.333650 kBT
1zhoH_M80.pdb     -303.509102 kBT
1zhoH_M443.pdb     -261.712269 kBT
1zhoH_M20.pdb     -348.014072 kBT
1zhoH_M168.pdb     -296.536370 kBT
1zhoH_M189.pdb     -262.777079 kBT
1zhoH_M271.pdb     -242.792366 kBT
1zhoH_M155.pdb     -284.559776 kBT
1zhoH_M135.pdb     -293.009355 kBT
1zhoH_M474.pdb     -211.652610 kBT
1zhoH_M382.pdb     -241.137665 kBT
1zhoH_M235.pdb     -258.330284 kBT
1zhoH_M372.pdb     -248.640684 kBT
1zhoH_M234.pdb     -298.909873 kBT
1zhoH_M188.pdb     -287.389270 kBT
1zhoH_M386.pdb     -262.914767 kBT
1zhoH_M220.pdb     -263.306880 kBT
1zhoH_M400.pdb     -217.937881 kBT
1zhoH_M100.pdb     -276.509030 kBT
1zhoH_M2.pdb     -359.329353 kBT
1zhoH_M394.pdb     -252.275657 kBT
1zhoH_M129.pdb     -303.790108 kBT
1zhoH_M348.pdb     -238.658243 kBT
1zhoH_M33.pdb     -292.747839 kBT
1zhoH_M287.pdb     -266.488204 kBT
1zhoH_M8.pdb     -343.299285 kBT
1zhoH_M153.pdb     -294.146390 kBT
1zhoH_M417.pdb     -241.927856 kBT
1zhoH_M259.pdb     -248.506882 kBT
1zhoH_M406.pdb     -291.315405 kBT
1zhoH_M86.pdb     -288.020052 kBT
1zhoH_M18.pdb     -315.687401 kBT
1zhoH_M186.pdb     -277.099471 kBT
1zhoH_M244.pdb     -293.495063 kBT
1zhoH_M306.pdb     -287.743526 kBT
1zhoH_M432.pdb     -286.614004 kBT
1zhoH_M10.pdb     -325.868197 kBT
1zhoH_M301.pdb     -230.207592 kBT
1zhoH_M145.pdb     -308.897332 kBT
1zhoH_M435.pdb     -242.282336 kBT
1zhoH_M465.pdb     -227.758652 kBT
1zhoH_M48.pdb     -346.446052 kBT
1zhoH_M434.pdb     -242.184093 kBT
1zhoH_M36.pdb     -331.076577 kBT
1zhoH_M342.pdb     -248.097695 kBT
1zhoH_M295.pdb     -274.374244 kBT
1zhoH_M322.pdb     -233.597593 kBT
1zhoH_M159.pdb     -292.118929 kBT
1zhoH_M375.pdb     -245.212535 kBT
1zhoH_M335.pdb     -267.403531 kBT
1zhoH_M499.pdb     -250.299518 kBT
1zhoH_M165.pdb     -288.742628 kBT
1zhoH_M73.pdb     -303.921979 kBT
1zhoH_M373.pdb     -274.036404 kBT
1zhoH_M179.pdb     -302.324164 kBT
1zhoH_M409.pdb     -262.777327 kBT
1zhoH_M43.pdb     -295.657808 kBT
1zhoH_M32.pdb     -327.281589 kBT
1zhoH_M451.pdb     -289.737736 kBT
1zhoH_M311.pdb     -304.440577 kBT
1zhoH_M14.pdb     -336.603598 kBT
1zhoH_M28.pdb     -288.120945 kBT
1zhoH_M231.pdb     -283.867058 kBT
1zhoH.pdb     -344.755738 kBT
1zhoH_M313.pdb     -270.455119 kBT
1zhoH_M66.pdb     -303.856619 kBT
1zhoH_M337.pdb     -272.721341 kBT
1zhoH_M254.pdb     -272.624673 kBT
1zhoH_M349.pdb     -244.067208 kBT
1zhoH_M122.pdb     -283.270008 kBT
1zhoH_M213.pdb     -274.668817 kBT
1zhoH_M71.pdb     -303.557674 kBT
1zhoH_M25.pdb     -338.288448 kBT
1zhoH_M298.pdb     -257.749341 kBT
1zhoH_M284.pdb     -251.580503 kBT
1zhoH_M256.pdb     -251.683927 kBT
1zhoH_M163.pdb     -301.970173 kBT
1zhoH_M397.pdb     -283.141308 kBT
1zhoH_M437.pdb     -236.818120 kBT
1zhoH_M387.pdb     -259.166782 kBT
1zhoH_M458.pdb     -272.933595 kBT
1zhoH_M55.pdb     -319.707052 kBT
1zhoH_M377.pdb     -245.024892 kBT
1zhoH_M42.pdb     -282.264767 kBT
1zhoH_M472.pdb     -243.257289 kBT
1zhoH_M158.pdb     -280.207026 kBT
1zhoH_M202.pdb     -249.773052 kBT
1zhoH_M331.pdb     -270.043807 kBT
1zhoH_M324.pdb     -301.364330 kBT
1zhoH_M82.pdb     -295.807893 kBT
1zhoH_M147.pdb     -278.591740 kBT
1zhoH_M452.pdb     -261.476379 kBT
1zhoH_M328.pdb     -285.746002 kBT
1zhoH_M128.pdb     -305.005809 kBT
1zhoH_M62.pdb     -286.817810 kBT
1zhoH_M395.pdb     -269.586191 kBT
1zhoH_M265.pdb     -253.778709 kBT
1zhoH_M421.pdb     -256.585947 kBT
1zhoH_M357.pdb     -276.676174 kBT
1zhoH_M5.pdb     -353.462113 kBT
1zhoH_M9.pdb     -355.229196 kBT
1zhoH_M407.pdb     -254.782328 kBT
1zhoH_M1.pdb     -354.976930 kBT
1zhoH_M392.pdb     -270.041455 kBT
1zhoH_M152.pdb     -322.880926 kBT
1zhoH_M161.pdb     -291.121479 kBT
1zhoH_M228.pdb     -296.577999 kBT
1zhoH_M269.pdb     -285.436666 kBT
1zhoH_M166.pdb     -280.137877 kBT
1zhoH_M118.pdb     -320.770503 kBT
1zhoH_M120.pdb     -308.930593 kBT
1zhoH_M473.pdb     -242.823334 kBT
1zhoH_M141.pdb     -272.896697 kBT
1zhoH_M58.pdb     -311.692284 kBT
1zhoH_M315.pdb     -235.035124 kBT
1zhoH_M19.pdb     -328.387522 kBT
1zhoH_M283.pdb     -271.075800 kBT
1zhoH_M404.pdb     -269.434869 kBT
1zhoH_M285.pdb     -291.017722 kBT
1zhoH_M318.pdb     -258.643596 kBT
1zhoH_M192.pdb     -315.421917 kBT
1zhoH_M68.pdb     -309.683616 kBT
1zhoH_M425.pdb     -255.760698 kBT
1zhoH_M385.pdb     -237.217580 kBT
1zhoH_M243.pdb     -254.908895 kBT
1zhoH_M30.pdb     -300.733565 kBT
1zhoH_M176.pdb     -264.945087 kBT
1zhoH_M446.pdb     -252.434067 kBT
1zhoH_M414.pdb     -283.729945 kBT
1zhoH_M456.pdb     -264.039479 kBT
1zhoH_M105.pdb     -299.631454 kBT
1zhoH_M280.pdb     -291.734729 kBT
1zhoH_M37.pdb     -322.985960 kBT
1zhoH_M164.pdb     -265.175859 kBT
1zhoH_M497.pdb     -260.589100 kBT
1zhoH_M453.pdb     -253.888464 kBT
1zhoH_M429.pdb     -262.340272 kBT
1zhoH_M262.pdb     -246.282367 kBT
1zhoH_M225.pdb     -275.804897 kBT
1zhoH_M360.pdb     -266.608477 kBT
1zhoH_M84.pdb     -304.650931 kBT
1zhoH_M246.pdb     -316.868292 kBT
1zhoH_M436.pdb     -259.252787 kBT
1zhoH_M13.pdb     -347.607597 kBT
1zhoH_M114.pdb     -291.404879 kBT
1zhoH_M219.pdb     -262.070636 kBT
1zhoH_M190.pdb     -283.195446 kBT
1zhoH_M125.pdb     -294.723815 kBT
1zhoH_M45.pdb     -328.175309 kBT
1zhoH_M132.pdb     -305.568287 kBT
1zhoH_M399.pdb     -265.810154 kBT
1zhoH_M466.pdb     -253.438591 kBT
1zhoH_M270.pdb     -278.569225 kBT
1zhoH_M492.pdb     -252.521390 kBT
1zhoH_M180.pdb     -282.349723 kBT
1zhoH_M44.pdb     -319.702232 kBT
1zhoH_M441.pdb     -256.595184 kBT
1zhoH_M223.pdb     -301.452751 kBT
1zhoH_M16.pdb     -362.527789 kBT
1zhoH_M206.pdb     -290.773208 kBT
1zhoH_M368.pdb     -279.991454 kBT
1zhoH_M411.pdb     -216.032100 kBT
1zhoH_M330.pdb     -278.977961 kBT
1zhoH_M408.pdb     -280.742710 kBT
1zhoH_M302.pdb     -256.780372 kBT
1zhoH_M255.pdb     -231.060874 kBT
1zhoH_M494.pdb     -281.933504 kBT
1zhoH_M266.pdb     -264.492648 kBT
1zhoH_M486.pdb     -237.784863 kBT
1zhoH_M170.pdb     -268.427639 kBT
1zhoH_M26.pdb     -329.062228 kBT
1zhoH_M134.pdb     -287.751951 kBT
1zhoH_M21.pdb     -309.588374 kBT
1zhoH_M70.pdb     -300.429292 kBT
1zhoH_M491.pdb     -237.476712 kBT
1zhoH_M444.pdb     -239.247284 kBT
1zhoH_M358.pdb     -272.226965 kBT
1zhoH_M340.pdb     -287.560929 kBT
1zhoH_M150.pdb     -275.786448 kBT
1zhoH_M51.pdb     -300.808575 kBT
1zhoH_M241.pdb     -307.692879 kBT
1zhoH_M83.pdb     -310.418539 kBT
1zhoH_M380.pdb     -241.295072 kBT
1zhoH_M205.pdb     -280.602980 kBT
1zhoH_M123.pdb     -281.963401 kBT
1zhoH_M127.pdb     -299.455851 kBT
1zhoH_M359.pdb     -265.931855 kBT
1zhoH_M450.pdb     -207.577831 kBT
1zhoH_M61.pdb     -274.990054 kBT
1zhoH_M136.pdb     -281.631989 kBT
1zhoH_M416.pdb     -259.100050 kBT
1zhoH_M6.pdb     -341.495338 kBT
1zhoH_M59.pdb     -297.916481 kBT
1zhoH_M462.pdb     -281.987968 kBT
1zhoH_M312.pdb     -235.355887 kBT
1zhoH_M23.pdb     -312.899587 kBT
1zhoH_M148.pdb     -301.865775 kBT
1zhoH_M325.pdb     -241.240909 kBT
1zhoH_M11.pdb     -351.786597 kBT
1zhoH_M396.pdb     -240.001231 kBT
1zhoH_M113.pdb     -293.992772 kBT
1zhoH_M293.pdb     -241.049183 kBT
1zhoH_M263.pdb     -237.196694 kBT
1zhoH_M232.pdb     -278.024023 kBT
1zhoH_M289.pdb     -284.517291 kBT
1zhoH_M415.pdb     -261.545159 kBT
1zhoH_M250.pdb     -281.239862 kBT
1zhoH_M139.pdb     -298.081487 kBT
1zhoH_M277.pdb     -263.622183 kBT
1zhoH_M273.pdb     -295.841281 kBT
1zhoH_M251.pdb     -290.889376 kBT
1zhoH_M140.pdb     -285.113182 kBT
1zhoH_M455.pdb     -244.220595 kBT
1zhoH_M427.pdb     -247.044194 kBT
1zhoH_M490.pdb     -223.720493 kBT
1zhoH_M15.pdb     -335.927949 kBT
1zhoH_M38.pdb     -330.743506 kBT
1zhoH_M468.pdb     -239.366560 kBT
1zhoH_M384.pdb     -265.835952 kBT
1zhoH_M292.pdb     -281.434054 kBT
1zhoH_M308.pdb     -247.557831 kBT
1zhoH_M418.pdb     -250.817305 kBT
1zhoH_M430.pdb     -252.829889 kBT
1zhoH_M160.pdb     -307.443432 kBT
1zhoH_M364.pdb     -266.319747 kBT
1zhoH_M185.pdb     -238.236067 kBT
1zhoH_M339.pdb     -250.941808 kBT
1zhoH_M374.pdb     -233.817510 kBT
1zhoH_M426.pdb     -271.293858 kBT
1zhoH_M307.pdb     -263.848884 kBT
1zhoH_M78.pdb     -309.776203 kBT
1zhoH_M488.pdb     -248.405450 kBT
1zhoH_M366.pdb     -274.070636 kBT
1zhoH_M101.pdb     -296.356989 kBT
1zhoH_M149.pdb     -300.635812 kBT
1zhoH_M230.pdb     -266.156304 kBT
1zhoH_M423.pdb     -252.138547 kBT
1zhoH_M89.pdb     -300.238626 kBT
1zhoH_M439.pdb     -210.309244 kBT
1zhoH_M276.pdb     -277.293306 kBT
1zhoH_M309.pdb     -276.720330 kBT
1zhoH_M363.pdb     -276.871733 kBT
1zhoH_M389.pdb     -243.165194 kBT
1zhoH_M383.pdb     -256.740267 kBT
1zhoH_M268.pdb     -261.771231 kBT
1zhoH_M229.pdb     -286.470738 kBT
1zhoH_M115.pdb     -289.221377 kBT
1zhoH_M242.pdb     -245.884979 kBT
1zhoH_M279.pdb     -249.478793 kBT
1zhoH_M261.pdb     -247.298013 kBT
1zhoH_M133.pdb     -295.495424 kBT
1zhoH_M471.pdb     -266.549228 kBT
1zhoH_M303.pdb     -268.867680 kBT
1zhoH_M393.pdb     -280.053866 kBT
1zhoH_M480.pdb     -241.043617 kBT
1zhoH_M57.pdb     -308.388204 kBT
1zhoH_M467.pdb     -229.088495 kBT
1zhoH_M191.pdb     -271.984004 kBT
1zhoH_M249.pdb     -266.763007 kBT
1zhoH_M274.pdb     -272.221992 kBT
1zhoH_M208.pdb     -276.269869 kBT
1zhoH_M17.pdb     -306.747518 kBT
1zhoH_M197.pdb     -283.439361 kBT
1zhoH_M46.pdb     -330.007214 kBT
1zhoH_M63.pdb     -307.574822 kBT
1zhoH_M485.pdb     -264.127834 kBT
1zhoH_M370.pdb     -244.711040 kBT
1zhoH_M326.pdb     -250.040209 kBT
1zhoH_M362.pdb     -266.861166 kBT
1zhoH_M92.pdb     -263.289622 kBT
1zhoH_M354.pdb     -278.578085 kBT
1zhoH_M224.pdb     -272.185620 kBT
1zhoH_M131.pdb     -283.371440 kBT
1zhoH_M138.pdb     -301.929026 kBT
1zhoH_M181.pdb     -237.414876 kBT
1zhoH_M248.pdb     -245.103158 kBT
1zhoH_M98.pdb     -301.984605 kBT
1zhoH_M236.pdb     -276.032725 kBT
1zhoH_M487.pdb     -262.069478 kBT
1zhoH_M90.pdb     -290.481596 kBT
1zhoH_M35.pdb     -332.535079 kBT
1zhoH_M352.pdb     -296.530776 kBT
1zhoH_M209.pdb     -284.029075 kBT
1zhoH_M34.pdb     -325.170612 kBT
1zhoH_M305.pdb     -263.062491 kBT
1zhoH_M154.pdb     -273.670892 kBT
1zhoH_M201.pdb     -279.209703 kBT
1zhoH_M103.pdb     -266.451527 kBT
1zhoH_M7.pdb     -369.888889 kBT
1zhoH_M194.pdb     -295.219205 kBT
1zhoH_M267.pdb     -228.927178 kBT
1zhoH_M310.pdb     -221.727677 kBT
1zhoH_M332.pdb     -273.956865 kBT
1zhoH_M102.pdb     -280.956075 kBT
1zhoH_M117.pdb     -311.992949 kBT
1zhoH_M76.pdb     -280.601375 kBT
1zhoH_M413.pdb     -253.291304 kBT
1zhoH_M428.pdb     -239.797440 kBT
1zhoH_M371.pdb     -241.222197 kBT
1zhoH_M482.pdb     -249.206112 kBT
1zhoH_M203.pdb     -256.082144 kBT
1zhoH_M75.pdb     -307.836624 kBT
1zhoH_M27.pdb     -337.901275 kBT
1zhoH_M198.pdb     -277.589175 kBT
1zhoH_M212.pdb     -275.069279 kBT
1zhoH_M69.pdb     -323.794769 kBT
1zhoH_M355.pdb     -284.122387 kBT
1zhoH_M47.pdb     -311.682582 kBT
1zhoH_M110.pdb     -322.823978 kBT
1zhoH_M93.pdb     -283.106899 kBT
1zhoH_M323.pdb     -269.532004 kBT
1zhoH_M304.pdb     -269.654921 kBT
1zhoH_M175.pdb     -259.982577 kBT
1zhoH_M67.pdb     -283.727955 kBT
1zhoH_M94.pdb     -268.237712 kBT
1zhoH_M424.pdb     -233.639332 kBT
1zhoH_M286.pdb     -272.493642 kBT
1zhoH_M345.pdb     -300.452975 kBT
1zhoH_M60.pdb     -253.179110 kBT
1zhoH_M247.pdb     -301.712484 kBT
1zhoH_M64.pdb     -305.324080 kBT
1zhoH_M410.pdb     -292.758256 kBT
1zhoH_M379.pdb     -245.144456 kBT
1zhoH_M49.pdb     -286.256108 kBT
1zhoH_M496.pdb     -222.520661 kBT
1zhoH_M457.pdb     -299.698909 kBT
1zhoH_M343.pdb     -268.409213 kBT
1zhoH_M172.pdb     -286.364089 kBT
1zhoH_M483.pdb     -236.202272 kBT
1zhoH_M143.pdb     -286.724719 kBT
1zhoH_M290.pdb     -268.681505 kBT
1zhoH_M112.pdb     -298.348054 kBT
1zhoH_M124.pdb     -249.284143 kBT
1zhoH_M72.pdb     -269.409370 kBT
1zhoH_M469.pdb     -266.135867 kBT
1zhoH_M484.pdb     -258.925892 kBT
1zhoH_M477.pdb     -234.642680 kBT
1zhoH_M137.pdb     -285.949461 kBT
1zhoH_M108.pdb     -279.853081 kBT
1zhoH_M314.pdb     -271.810454 kBT
1zhoH_M12.pdb     -339.644820 kBT
1zhoH_M4.pdb     -351.175148 kBT
1zhoH_M171.pdb     -285.377954 kBT
1zhoH_M146.pdb     -278.600026 kBT
1zhoH_M319.pdb     -228.521306 kBT
1zhoH_M257.pdb     -276.585054 kBT
1zhoH_M215.pdb     -278.664790 kBT
1zhoH_M151.pdb     -290.828965 kBT
1zhoH_M461.pdb     -263.321005 kBT
1zhoH_M233.pdb     -280.711563 kBT
1zhoH_M356.pdb     -303.756124 kBT
1zhoH_M74.pdb     -315.107549 kBT
1zhoH_M454.pdb     -253.109481 kBT
1zhoH_M297.pdb     -232.821229 kBT
1zhoH_M99.pdb     -280.948841 kBT
1zhoH_M320.pdb     -261.504891 kBT
1zhoH_M447.pdb     -288.485149 kBT
1zhoH_M207.pdb     -291.194503 kBT
1zhoH_M381.pdb     -269.079001 kBT
1zhoH_M130.pdb     -343.030793 kBT
1zhoH_M52.pdb     -309.405810 kBT
1zhoH_M54.pdb     -300.262948 kBT
1zhoH_M104.pdb     -304.425181 kBT
1zhoH_M24.pdb     -320.462092 kBT
1zhoH_M329.pdb     -279.147043 kBT
1zhoH_M288.pdb     -287.290157 kBT
1zhoH_M239.pdb     -271.577472 kBT
1zhoH_M422.pdb     -274.667532 kBT
1zhoH_M253.pdb     -254.973522 kBT
1zhoH_M182.pdb     -296.509397 kBT
1zhoH_M77.pdb     -295.762069 kBT
1zhoH_M282.pdb     -249.524260 kBT
1zhoH_M344.pdb     -258.737146 kBT
1zhoH_M300.pdb     -273.123566 kBT
1zhoH_M493.pdb     -277.828301 kBT
1zhoH_M174.pdb     -290.252632 kBT
1zhoH_M214.pdb     -296.138702 kBT
1zhoH_M31.pdb     -317.939211 kBT
1zhoH_M449.pdb     -257.352250 kBT
1zhoH_M107.pdb     -275.567563 kBT
1zhoH_M204.pdb     -283.274768 kBT
1zhoH_M405.pdb     -261.243512 kBT
1zhoH_M338.pdb     -234.514502 kBT
1zhoH_M440.pdb     -255.887099 kBT
1zhoH_M327.pdb     -241.299828 kBT
1zhoH_M237.pdb     -268.164356 kBT
1zhoH_M97.pdb     -329.711383 kBT
1zhoH_M498.pdb     -239.394424 kBT
1zhoH_M420.pdb     -255.850570 kBT
1zhoH_M296.pdb     -280.796323 kBT
1zhoH_M218.pdb     -309.460066 kBT
1zhoH_M22.pdb     -331.426209 kBT
1zhoH_M226.pdb     -279.428819 kBT
1zhoH_M433.pdb     -265.998455 kBT
1zhoH_M227.pdb     -263.885539 kBT
1zhoH_M167.pdb     -276.191975 kBT
1zhoH_M402.pdb     -257.558480 kBT
1zhoH_M478.pdb     -281.827147 kBT
1zhoH_M317.pdb     -279.979865 kBT
1zhoH_M196.pdb     -273.936231 kBT
1zhoH_M403.pdb     -215.321244 kBT
1zhoH_M291.pdb     -298.239894 kBT
1zhoH_M40.pdb     -311.631441 kBT
1zhoH_M341.pdb     -281.358924 kBT
1zhoH_M489.pdb     -270.610520 kBT
