2anrB_M23.pdb     -201.677582 kBT
2anrB_M20.pdb     -211.619114 kBT
2anrB_M158.pdb     -159.753020 kBT
2anrB_M453.pdb     -128.230072 kBT
2anrB_M245.pdb     -176.145673 kBT
2anrB_M442.pdb     -118.052196 kBT
2anrB_M126.pdb     -185.473350 kBT
2anrB_M169.pdb     -171.069001 kBT
2anrB_M119.pdb     -136.785802 kBT
2anrB_M456.pdb     -139.348827 kBT
2anrB_M181.pdb     -160.052642 kBT
2anrB_M88.pdb     -179.347374 kBT
2anrB_M404.pdb     -174.308582 kBT
2anrB_M7.pdb     -217.866297 kBT
2anrB_M467.pdb     -131.872135 kBT
2anrB_M273.pdb     -159.032352 kBT
2anrB_M195.pdb     -149.616617 kBT
2anrB_M391.pdb     -140.035929 kBT
2anrB_M46.pdb     -179.787207 kBT
2anrB_M30.pdb     -203.436034 kBT
2anrB_M427.pdb     -159.637070 kBT
2anrB_M215.pdb     -142.968910 kBT
2anrB_M320.pdb     -157.258334 kBT
2anrB_M213.pdb     -128.128836 kBT
2anrB_M236.pdb     -164.919100 kBT
2anrB_M168.pdb     -162.495824 kBT
2anrB_M34.pdb     -181.364045 kBT
2anrB_M143.pdb     -169.822480 kBT
2anrB_M407.pdb     -163.744143 kBT
2anrB_M80.pdb     -150.784506 kBT
2anrB_M351.pdb     -168.005352 kBT
2anrB_M48.pdb     -167.267673 kBT
2anrB_M95.pdb     -192.615677 kBT
2anrB_M191.pdb     -139.135435 kBT
2anrB_M280.pdb     -171.651436 kBT
2anrB_M421.pdb     -115.397108 kBT
2anrB_M290.pdb     -155.846703 kBT
2anrB_M153.pdb     -162.860055 kBT
2anrB_M291.pdb     -151.605628 kBT
2anrB_M247.pdb     -142.361638 kBT
2anrB_M303.pdb     -137.744304 kBT
2anrB_M193.pdb     -139.379417 kBT
2anrB_M447.pdb     -161.522299 kBT
2anrB_M109.pdb     -140.144203 kBT
2anrB_M364.pdb     -148.443609 kBT
2anrB_M205.pdb     -181.734928 kBT
2anrB_M134.pdb     -156.458903 kBT
2anrB_M400.pdb     -148.243806 kBT
2anrB_M264.pdb     -163.348418 kBT
2anrB_M118.pdb     -168.085924 kBT
2anrB_M103.pdb     -177.891396 kBT
2anrB_M465.pdb     -143.562972 kBT
2anrB_M237.pdb     -143.133665 kBT
2anrB_M377.pdb     -126.482436 kBT
2anrB_M332.pdb     -167.207553 kBT
2anrB_M240.pdb     -156.971014 kBT
2anrB_M398.pdb     -159.923949 kBT
2anrB_M378.pdb     -135.039591 kBT
2anrB_M69.pdb     -172.651050 kBT
2anrB_M154.pdb     -151.068669 kBT
2anrB_M437.pdb     -144.597438 kBT
2anrB_M176.pdb     -164.948620 kBT
2anrB_M399.pdb     -110.447441 kBT
2anrB_M443.pdb     -108.910996 kBT
2anrB_M352.pdb     -131.709003 kBT
2anrB_M130.pdb     -147.130350 kBT
2anrB_M210.pdb     -149.633424 kBT
2anrB_M375.pdb     -133.561983 kBT
2anrB_M490.pdb     -157.555985 kBT
2anrB_M315.pdb     -146.328864 kBT
2anrB_M40.pdb     -208.953419 kBT
2anrB_M50.pdb     -168.704459 kBT
2anrB_M457.pdb     -123.669607 kBT
2anrB_M86.pdb     -174.480401 kBT
2anrB_M472.pdb     -83.484947 kBT
2anrB_M89.pdb     -186.769794 kBT
2anrB_M243.pdb     -145.233341 kBT
2anrB_M147.pdb     -140.185919 kBT
2anrB_M87.pdb     -164.919271 kBT
2anrB_M135.pdb     -163.501264 kBT
2anrB_M242.pdb     -141.361635 kBT
2anrB_M389.pdb     -121.068064 kBT
2anrB_M38.pdb     -194.301912 kBT
2anrB_M385.pdb     -127.969279 kBT
2anrB_M336.pdb     -150.958043 kBT
2anrB_M381.pdb     -152.813329 kBT
2anrB_M428.pdb     -121.579568 kBT
2anrB_M43.pdb     -189.094937 kBT
2anrB_M416.pdb     -127.829806 kBT
2anrB_M325.pdb     -169.958865 kBT
2anrB_M331.pdb     -167.583391 kBT
2anrB_M284.pdb     -126.004922 kBT
2anrB_M285.pdb     -152.029722 kBT
2anrB_M57.pdb     -183.297044 kBT
2anrB_M390.pdb     -106.121606 kBT
2anrB_M292.pdb     -162.847012 kBT
2anrB_M31.pdb     -208.256745 kBT
2anrB_M319.pdb     -152.141346 kBT
2anrB_M259.pdb     -160.009612 kBT
2anrB_M413.pdb     -119.232523 kBT
2anrB_M156.pdb     -157.588605 kBT
2anrB_M149.pdb     -163.689373 kBT
2anrB_M107.pdb     -156.066446 kBT
2anrB_M468.pdb     -146.075378 kBT
2anrB_M63.pdb     -182.660869 kBT
2anrB_M270.pdb     -157.116856 kBT
2anrB_M461.pdb     -150.631438 kBT
2anrB_M160.pdb     -155.637928 kBT
2anrB_M454.pdb     -133.185149 kBT
2anrB_M33.pdb     -173.180272 kBT
2anrB_M252.pdb     -160.722657 kBT
2anrB_M365.pdb     -150.614547 kBT
2anrB_M463.pdb     -136.560287 kBT
2anrB_M227.pdb     -154.775099 kBT
2anrB_M148.pdb     -155.276923 kBT
2anrB_M417.pdb     -124.096341 kBT
2anrB_M61.pdb     -173.502010 kBT
2anrB_M166.pdb     -162.033353 kBT
2anrB_M424.pdb     -143.939661 kBT
2anrB_M339.pdb     -141.635814 kBT
2anrB_M448.pdb     -157.807647 kBT
2anrB_M499.pdb     -104.106139 kBT
2anrB_M10.pdb     -233.230223 kBT
2anrB_M159.pdb     -182.774374 kBT
2anrB_M11.pdb     -227.705191 kBT
2anrB_M41.pdb     -197.206643 kBT
2anrB_M186.pdb     -166.873857 kBT
2anrB_M471.pdb     -158.628694 kBT
2anrB_M487.pdb     -92.563427 kBT
2anrB_M53.pdb     -185.502456 kBT
2anrB_M222.pdb     -157.455034 kBT
2anrB_M175.pdb     -154.826335 kBT
2anrB_M256.pdb     -150.213694 kBT
2anrB_M481.pdb     -142.968785 kBT
2anrB_M371.pdb     -116.830483 kBT
2anrB_M488.pdb     -142.507647 kBT
2anrB_M104.pdb     -172.961014 kBT
2anrB_M105.pdb     -150.921829 kBT
2anrB_M194.pdb     -175.896776 kBT
2anrB_M52.pdb     -183.206894 kBT
2anrB_M138.pdb     -180.387163 kBT
2anrB_M254.pdb     -137.256545 kBT
2anrB_M474.pdb     -131.967371 kBT
2anrB_M384.pdb     -155.354935 kBT
2anrB_M476.pdb     -117.215286 kBT
2anrB_M367.pdb     -126.037154 kBT
2anrB_M281.pdb     -176.722375 kBT
2anrB_M489.pdb     -128.740392 kBT
2anrB_M333.pdb     -148.229332 kBT
2anrB_M8.pdb     -210.532679 kBT
2anrB_M196.pdb     -150.217793 kBT
2anrB_M356.pdb     -121.060856 kBT
2anrB_M439.pdb     -136.480911 kBT
2anrB_M114.pdb     -166.166846 kBT
2anrB_M221.pdb     -176.241505 kBT
2anrB_M201.pdb     -146.610980 kBT
2anrB_M380.pdb     -147.632944 kBT
2anrB_M110.pdb     -192.137437 kBT
2anrB_M37.pdb     -204.085788 kBT
