2qwyC_M466.pdb     -303.153552 kBT
2qwyC_M299.pdb     -326.739352 kBT
2qwyC_M245.pdb     -311.161529 kBT
2qwyC_M247.pdb     -338.278434 kBT
2qwyC_M407.pdb     -324.264997 kBT
2qwyC_M67.pdb     -356.231425 kBT
2qwyC_M343.pdb     -375.033444 kBT
2qwyC_M155.pdb     -349.820746 kBT
2qwyC_M418.pdb     -305.977363 kBT
2qwyC_M1.pdb     -425.991917 kBT
2qwyC_M387.pdb     -306.326890 kBT
2qwyC_M110.pdb     -339.809053 kBT
2qwyC_M230.pdb     -313.698150 kBT
2qwyC_M189.pdb     -301.906027 kBT
2qwyC_M244.pdb     -337.644718 kBT
2qwyC_M283.pdb     -326.336630 kBT
2qwyC_M88.pdb     -362.455363 kBT
2qwyC_M161.pdb     -347.307672 kBT
2qwyC_M498.pdb     -310.474767 kBT
2qwyC_M306.pdb     -312.765227 kBT
2qwyC_M147.pdb     -363.605431 kBT
2qwyC_M158.pdb     -368.539399 kBT
2qwyC_M24.pdb     -381.318640 kBT
2qwyC_M254.pdb     -343.675026 kBT
2qwyC_M108.pdb     -324.648795 kBT
2qwyC_M112.pdb     -346.280486 kBT
2qwyC_M305.pdb     -298.434929 kBT
2qwyC_M103.pdb     -389.048255 kBT
2qwyC_M408.pdb     -309.996299 kBT
2qwyC_M111.pdb     -338.508265 kBT
2qwyC_M495.pdb     -320.356121 kBT
2qwyC_M148.pdb     -338.598908 kBT
2qwyC_M126.pdb     -380.440848 kBT
2qwyC_M378.pdb     -318.750641 kBT
2qwyC_M4.pdb     -422.844778 kBT
2qwyC_M46.pdb     -379.298262 kBT
2qwyC_M475.pdb     -295.687823 kBT
2qwyC_M380.pdb     -323.033100 kBT
2qwyC_M347.pdb     -343.123261 kBT
2qwyC_M382.pdb     -328.008830 kBT
2qwyC_M251.pdb     -357.594492 kBT
2qwyC_M485.pdb     -343.217780 kBT
2qwyC_M280.pdb     -316.502440 kBT
2qwyC_M392.pdb     -299.888774 kBT
2qwyC_M235.pdb     -321.620439 kBT
2qwyC_M318.pdb     -319.202378 kBT
2qwyC_M427.pdb     -341.091760 kBT
2qwyC_M156.pdb     -354.424582 kBT
2qwyC_M220.pdb     -349.384361 kBT
2qwyC_M232.pdb     -361.911149 kBT
2qwyC_M252.pdb     -337.316960 kBT
2qwyC_M52.pdb     -389.406954 kBT
2qwyC_M370.pdb     -332.767661 kBT
2qwyC_M411.pdb     -343.710981 kBT
2qwyC_M54.pdb     -395.812858 kBT
2qwyC_M449.pdb     -334.576469 kBT
2qwyC_M381.pdb     -347.135152 kBT
2qwyC_M225.pdb     -344.768279 kBT
2qwyC_M452.pdb     -337.852199 kBT
2qwyC_M489.pdb     -359.140793 kBT
2qwyC_M296.pdb     -336.899402 kBT
2qwyC_M159.pdb     -355.103485 kBT
2qwyC_M43.pdb     -403.332833 kBT
2qwyC_M386.pdb     -306.782436 kBT
2qwyC_M246.pdb     -323.259448 kBT
2qwyC_M467.pdb     -303.551587 kBT
2qwyC_M260.pdb     -338.802983 kBT
2qwyC_M13.pdb     -422.323163 kBT
2qwyC_M351.pdb     -341.390322 kBT
2qwyC_M131.pdb     -333.676667 kBT
2qwyC_M496.pdb     -341.266175 kBT
2qwyC_M135.pdb     -342.959244 kBT
2qwyC_M44.pdb     -407.229413 kBT
2qwyC_M337.pdb     -321.386559 kBT
2qwyC_M316.pdb     -318.281267 kBT
2qwyC_M270.pdb     -329.062251 kBT
2qwyC_M292.pdb     -332.218424 kBT
2qwyC_M82.pdb     -330.756154 kBT
2qwyC_M175.pdb     -308.325497 kBT
2qwyC_M187.pdb     -333.590134 kBT
2qwyC_M100.pdb     -336.419152 kBT
2qwyC_M66.pdb     -339.962587 kBT
2qwyC_M201.pdb     -362.060269 kBT
2qwyC_M419.pdb     -342.067116 kBT
2qwyC_M102.pdb     -374.187785 kBT
2qwyC_M482.pdb     -318.638010 kBT
2qwyC_M345.pdb     -281.612897 kBT
2qwyC_M469.pdb     -350.208163 kBT
2qwyC_M26.pdb     -408.295125 kBT
2qwyC_M365.pdb     -320.516720 kBT
2qwyC_M127.pdb     -389.458686 kBT
2qwyC_M480.pdb     -295.777806 kBT
2qwyC_M180.pdb     -339.765344 kBT
2qwyC_M157.pdb     -322.371009 kBT
2qwyC_M471.pdb     -289.239988 kBT
2qwyC_M31.pdb     -399.882660 kBT
2qwyC_M459.pdb     -322.659495 kBT
2qwyC_M383.pdb     -304.675108 kBT
2qwyC_M258.pdb     -341.099292 kBT
2qwyC_M106.pdb     -379.171783 kBT
2qwyC_M374.pdb     -332.063872 kBT
2qwyC_M56.pdb     -385.943460 kBT
2qwyC_M216.pdb     -328.257588 kBT
2qwyC_M300.pdb     -354.732501 kBT
2qwyC_M344.pdb     -353.133982 kBT
2qwyC_M65.pdb     -361.024204 kBT
2qwyC_M320.pdb     -317.988768 kBT
2qwyC_M218.pdb     -337.928204 kBT
2qwyC_M34.pdb     -370.104285 kBT
2qwyC_M249.pdb     -317.649020 kBT
2qwyC_M451.pdb     -302.277344 kBT
2qwyC_M63.pdb     -391.298732 kBT
2qwyC_M327.pdb     -360.198750 kBT
2qwyC_M474.pdb     -315.215229 kBT
2qwyC_M304.pdb     -340.324284 kBT
2qwyC_M68.pdb     -366.756278 kBT
2qwyC_M444.pdb     -352.312260 kBT
2qwyC_M284.pdb     -342.925948 kBT
2qwyC_M206.pdb     -357.792771 kBT
2qwyC_M274.pdb     -357.209078 kBT
2qwyC_M394.pdb     -335.733249 kBT
2qwyC_M47.pdb     -360.256261 kBT
2qwyC_M488.pdb     -341.206929 kBT
2qwyC_M166.pdb     -352.593703 kBT
2qwyC_M393.pdb     -322.550777 kBT
2qwyC_M83.pdb     -350.146784 kBT
2qwyC_M119.pdb     -396.942524 kBT
2qwyC_M9.pdb     -419.352648 kBT
2qwyC_M20.pdb     -429.528816 kBT
2qwyC_M441.pdb     -321.605160 kBT
2qwyC_M200.pdb     -341.628289 kBT
2qwyC_M483.pdb     -308.783800 kBT
2qwyC_M432.pdb     -283.328285 kBT
2qwyC_M319.pdb     -345.332288 kBT
2qwyC_M125.pdb     -376.368622 kBT
2qwyC_M172.pdb     -356.225035 kBT
2qwyC_M303.pdb     -311.092678 kBT
2qwyC_M333.pdb     -334.584603 kBT
2qwyC_M149.pdb     -340.576048 kBT
2qwyC_M138.pdb     -322.414743 kBT
2qwyC_M128.pdb     -348.527953 kBT
2qwyC_M256.pdb     -333.746138 kBT
2qwyC_M350.pdb     -336.798192 kBT
2qwyC_M236.pdb     -343.286787 kBT
2qwyC_M413.pdb     -309.347978 kBT
2qwyC_M193.pdb     -346.173354 kBT
2qwyC_M457.pdb     -329.572160 kBT
2qwyC_M81.pdb     -377.112664 kBT
2qwyC_M293.pdb     -325.850867 kBT
2qwyC_M433.pdb     -329.271889 kBT
2qwyC_M53.pdb     -370.769366 kBT
2qwyC_M151.pdb     -377.456022 kBT
2qwyC_M213.pdb     -366.118472 kBT
2qwyC_M176.pdb     -354.389726 kBT
2qwyC_M17.pdb     -424.885515 kBT
2qwyC_M281.pdb     -338.948985 kBT
2qwyC_M162.pdb     -322.204208 kBT
2qwyC_M375.pdb     -320.149199 kBT
2qwyC_M420.pdb     -350.975078 kBT
2qwyC_M59.pdb     -377.509080 kBT
2qwyC_M385.pdb     -329.927016 kBT
2qwyC_M169.pdb     -360.597250 kBT
2qwyC_M89.pdb     -351.556223 kBT
2qwyC_M275.pdb     -323.628735 kBT
2qwyC_M136.pdb     -349.865946 kBT
2qwyC_M261.pdb     -356.201296 kBT
2qwyC_M390.pdb     -316.526256 kBT
2qwyC_M10.pdb     -413.179687 kBT
2qwyC_M25.pdb     -398.299304 kBT
2qwyC_M363.pdb     -360.242124 kBT
2qwyC_M271.pdb     -315.264026 kBT
2qwyC_M282.pdb     -285.423854 kBT
2qwyC_M21.pdb     -410.574182 kBT
2qwyC_M165.pdb     -315.856718 kBT
2qwyC_M40.pdb     -420.011267 kBT
2qwyC_M239.pdb     -352.449545 kBT
2qwyC_M248.pdb     -361.244513 kBT
2qwyC_M263.pdb     -334.915698 kBT
2qwyC_M101.pdb     -354.282986 kBT
2qwyC_M184.pdb     -369.146525 kBT
2qwyC_M259.pdb     -332.032094 kBT
2qwyC_M28.pdb     -427.697846 kBT
2qwyC_M364.pdb     -340.316453 kBT
2qwyC_M450.pdb     -309.145696 kBT
2qwyC_M314.pdb     -335.123894 kBT
2qwyC_M479.pdb     -308.689408 kBT
2qwyC_M153.pdb     -355.878258 kBT
2qwyC_M476.pdb     -321.976402 kBT
2qwyC_M352.pdb     -330.447416 kBT
2qwyC_M30.pdb     -397.444144 kBT
2qwyC_M234.pdb     -322.232190 kBT
2qwyC_M49.pdb     -386.918073 kBT
2qwyC_M120.pdb     -361.565877 kBT
2qwyC_M35.pdb     -391.017040 kBT
2qwyC_M317.pdb     -321.664681 kBT
2qwyC_M211.pdb     -349.154889 kBT
2qwyC_M360.pdb     -301.374226 kBT
2qwyC_M104.pdb     -364.301917 kBT
2qwyC_M27.pdb     -380.732626 kBT
2qwyC_M428.pdb     -309.421311 kBT
2qwyC_M177.pdb     -331.856733 kBT
2qwyC_M402.pdb     -318.007090 kBT
2qwyC_M6.pdb     -417.035312 kBT
2qwyC_M132.pdb     -358.121489 kBT
2qwyC_M196.pdb     -311.525259 kBT
2qwyC_M330.pdb     -332.751650 kBT
2qwyC_M301.pdb     -345.387071 kBT
2qwyC_M37.pdb     -368.856307 kBT
2qwyC_M429.pdb     -287.439619 kBT
2qwyC_M309.pdb     -335.317869 kBT
2qwyC_M205.pdb     -356.428460 kBT
2qwyC_M97.pdb     -364.971534 kBT
2qwyC_M431.pdb     -300.992037 kBT
2qwyC_M424.pdb     -310.542903 kBT
2qwyC_M98.pdb     -394.119175 kBT
2qwyC_M181.pdb     -321.456181 kBT
2qwyC_M323.pdb     -303.712834 kBT
2qwyC_M440.pdb     -344.583900 kBT
2qwyC_M92.pdb     -355.864435 kBT
2qwyC_M12.pdb     -422.645523 kBT
2qwyC_M340.pdb     -305.396400 kBT
2qwyC_M497.pdb     -338.140622 kBT
2qwyC_M2.pdb     -427.950708 kBT
2qwyC_M96.pdb     -372.056335 kBT
2qwyC_M401.pdb     -329.399628 kBT
2qwyC_M191.pdb     -353.368414 kBT
2qwyC_M339.pdb     -352.228307 kBT
2qwyC_M185.pdb     -316.982217 kBT
2qwyC_M307.pdb     -344.837500 kBT
2qwyC_M359.pdb     -322.629766 kBT
2qwyC_M358.pdb     -316.335983 kBT
2qwyC_M472.pdb     -302.616770 kBT
2qwyC_M72.pdb     -359.135228 kBT
2qwyC_M361.pdb     -318.339175 kBT
2qwyC_M470.pdb     -334.776265 kBT
2qwyC_M436.pdb     -298.274878 kBT
2qwyC_M421.pdb     -328.068358 kBT
2qwyC_M398.pdb     -347.729808 kBT
2qwyC_M326.pdb     -324.261810 kBT
2qwyC_M145.pdb     -374.301604 kBT
2qwyC_M231.pdb     -361.184759 kBT
2qwyC_M221.pdb     -310.139258 kBT
2qwyC_M164.pdb     -322.267327 kBT
2qwyC_M179.pdb     -315.054833 kBT
2qwyC_M94.pdb     -377.031323 kBT
2qwyC_M376.pdb     -320.359753 kBT
2qwyC_M473.pdb     -338.891414 kBT
2qwyC_M455.pdb     -328.348271 kBT
2qwyC_M114.pdb     -364.812351 kBT
2qwyC_M405.pdb     -325.393181 kBT
2qwyC_M447.pdb     -312.601389 kBT
2qwyC_M289.pdb     -357.903276 kBT
2qwyC_M354.pdb     -294.606560 kBT
2qwyC_M115.pdb     -344.156879 kBT
2qwyC_M137.pdb     -360.155070 kBT
2qwyC_M388.pdb     -325.427253 kBT
2qwyC_M18.pdb     -417.978719 kBT
2qwyC_M328.pdb     -309.828058 kBT
2qwyC_M80.pdb     -348.918146 kBT
2qwyC_M477.pdb     -297.305962 kBT
2qwyC_M286.pdb     -302.659967 kBT
2qwyC_M448.pdb     -308.616970 kBT
2qwyC_M228.pdb     -337.593442 kBT
2qwyC_M269.pdb     -362.808065 kBT
2qwyC.pdb     -433.395251 kBT
2qwyC_M313.pdb     -297.886410 kBT
2qwyC_M74.pdb     -344.920098 kBT
2qwyC_M143.pdb     -334.906275 kBT
2qwyC_M87.pdb     -369.641932 kBT
2qwyC_M253.pdb     -310.490982 kBT
2qwyC_M353.pdb     -357.401560 kBT
2qwyC_M499.pdb     -303.662532 kBT
2qwyC_M48.pdb     -380.834248 kBT
2qwyC_M342.pdb     -342.810089 kBT
2qwyC_M400.pdb     -316.741940 kBT
2qwyC_M142.pdb     -339.401433 kBT
2qwyC_M122.pdb     -343.236755 kBT
2qwyC_M113.pdb     -339.304126 kBT
2qwyC_M384.pdb     -307.981454 kBT
2qwyC_M266.pdb     -385.813282 kBT
2qwyC_M116.pdb     -350.941465 kBT
2qwyC_M397.pdb     -344.577816 kBT
2qwyC_M435.pdb     -311.497204 kBT
2qwyC_M308.pdb     -334.239812 kBT
2qwyC_M78.pdb     -350.545140 kBT
2qwyC_M109.pdb     -367.232085 kBT
2qwyC_M212.pdb     -324.115606 kBT
2qwyC_M329.pdb     -316.552689 kBT
2qwyC_M32.pdb     -390.229157 kBT
2qwyC_M69.pdb     -361.450064 kBT
2qwyC_M240.pdb     -339.246080 kBT
2qwyC_M481.pdb     -341.100232 kBT
2qwyC_M463.pdb     -322.900799 kBT
2qwyC_M3.pdb     -421.386342 kBT
2qwyC_M332.pdb     -312.418249 kBT
2qwyC_M51.pdb     -383.113408 kBT
2qwyC_M465.pdb     -306.382629 kBT
2qwyC_M267.pdb     -339.663829 kBT
2qwyC_M348.pdb     -337.788997 kBT
2qwyC_M204.pdb     -361.843153 kBT
2qwyC_M42.pdb     -352.508970 kBT
2qwyC_M243.pdb     -330.449347 kBT
2qwyC_M461.pdb     -343.036168 kBT
2qwyC_M139.pdb     -325.037202 kBT
2qwyC_M152.pdb     -361.779270 kBT
2qwyC_M486.pdb     -319.946715 kBT
2qwyC_M373.pdb     -370.090437 kBT
2qwyC_M262.pdb     -345.270267 kBT
2qwyC_M192.pdb     -369.331363 kBT
2qwyC_M195.pdb     -352.291672 kBT
2qwyC_M268.pdb     -353.691970 kBT
2qwyC_M50.pdb     -418.991414 kBT
2qwyC_M8.pdb     -429.193028 kBT
2qwyC_M224.pdb     -306.884647 kBT
2qwyC_M144.pdb     -354.126507 kBT
2qwyC_M255.pdb     -333.292462 kBT
2qwyC_M484.pdb     -324.394796 kBT
2qwyC_M257.pdb     -336.046747 kBT
2qwyC_M265.pdb     -326.509186 kBT
2qwyC_M492.pdb     -323.873084 kBT
2qwyC_M99.pdb     -363.430296 kBT
2qwyC_M173.pdb     -342.659354 kBT
2qwyC_M167.pdb     -359.769578 kBT
2qwyC_M311.pdb     -331.516200 kBT
2qwyC_M71.pdb     -361.685450 kBT
2qwyC_M410.pdb     -325.527805 kBT
2qwyC_M438.pdb     -338.379106 kBT
2qwyC_M290.pdb     -299.764308 kBT
2qwyC_M210.pdb     -323.678646 kBT
2qwyC_M203.pdb     -334.941803 kBT
2qwyC_M464.pdb     -285.120292 kBT
2qwyC_M38.pdb     -410.166981 kBT
2qwyC_M272.pdb     -317.692810 kBT
2qwyC_M395.pdb     -334.823926 kBT
2qwyC_M209.pdb     -328.522486 kBT
2qwyC_M229.pdb     -328.975058 kBT
2qwyC_M487.pdb     -271.298691 kBT
2qwyC_M396.pdb     -387.512045 kBT
2qwyC_M250.pdb     -330.365448 kBT
2qwyC_M199.pdb     -355.202856 kBT
2qwyC_M217.pdb     -350.775087 kBT
2qwyC_M346.pdb     -315.423703 kBT
2qwyC_M434.pdb     -358.161358 kBT
2qwyC_M406.pdb     -307.009556 kBT
2qwyC_M454.pdb     -385.331132 kBT
2qwyC_M341.pdb     -296.877719 kBT
2qwyC_M84.pdb     -391.219586 kBT
2qwyC_M242.pdb     -266.699725 kBT
2qwyC_M182.pdb     -338.295661 kBT
2qwyC_M287.pdb     -327.769112 kBT
2qwyC_M15.pdb     -420.244959 kBT
2qwyC_M105.pdb     -343.928940 kBT
2qwyC_M227.pdb     -337.755712 kBT
2qwyC_M423.pdb     -304.930967 kBT
2qwyC_M366.pdb     -318.733649 kBT
2qwyC_M334.pdb     -352.113946 kBT
2qwyC_M215.pdb     -318.872483 kBT
2qwyC_M415.pdb     -337.675097 kBT
2qwyC_M285.pdb     -306.590641 kBT
2qwyC_M208.pdb     -343.848807 kBT
2qwyC_M276.pdb     -301.792221 kBT
2qwyC_M371.pdb     -339.385691 kBT
2qwyC_M91.pdb     -386.580169 kBT
2qwyC_M490.pdb     -327.084806 kBT
2qwyC_M118.pdb     -355.475973 kBT
2qwyC_M367.pdb     -340.117082 kBT
2qwyC_M194.pdb     -358.641227 kBT
2qwyC_M322.pdb     -329.578225 kBT
2qwyC_M29.pdb     -358.843282 kBT
2qwyC_M23.pdb     -395.340631 kBT
2qwyC_M468.pdb     -316.331333 kBT
2qwyC_M130.pdb     -325.269211 kBT
2qwyC_M223.pdb     -366.761867 kBT
2qwyC_M362.pdb     -292.787355 kBT
2qwyC_M64.pdb     -357.485582 kBT
2qwyC_M491.pdb     -323.416551 kBT
2qwyC_M291.pdb     -314.544376 kBT
2qwyC_M335.pdb     -352.692162 kBT
2qwyC_M154.pdb     -357.372532 kBT
2qwyC_M478.pdb     -299.229973 kBT
2qwyC_M197.pdb     -343.603497 kBT
2qwyC_M324.pdb     -301.586703 kBT
2qwyC_M439.pdb     -292.573551 kBT
2qwyC_M277.pdb     -301.106092 kBT
2qwyC_M368.pdb     -352.629161 kBT
2qwyC_M58.pdb     -377.433174 kBT
2qwyC_M16.pdb     -430.900312 kBT
2qwyC_M36.pdb     -393.214763 kBT
2qwyC_M310.pdb     -338.177095 kBT
2qwyC_M190.pdb     -320.728487 kBT
2qwyC_M107.pdb     -356.132011 kBT
2qwyC_M55.pdb     -353.757044 kBT
2qwyC_M129.pdb     -372.323520 kBT
2qwyC_M412.pdb     -341.359602 kBT
2qwyC_M61.pdb     -387.199444 kBT
2qwyC_M168.pdb     -344.567093 kBT
2qwyC_M279.pdb     -317.424676 kBT
2qwyC_M460.pdb     -329.408119 kBT
2qwyC_M202.pdb     -349.260354 kBT
2qwyC_M399.pdb     -308.462195 kBT
2qwyC_M356.pdb     -329.454591 kBT
2qwyC_M150.pdb     -327.622517 kBT
2qwyC_M336.pdb     -344.357090 kBT
2qwyC_M357.pdb     -305.497635 kBT
2qwyC_M222.pdb     -336.006159 kBT
2qwyC_M95.pdb     -352.086402 kBT
2qwyC_M62.pdb     -381.258413 kBT
2qwyC_M60.pdb     -380.566093 kBT
2qwyC_M11.pdb     -404.859284 kBT
2qwyC_M188.pdb     -349.717605 kBT
2qwyC_M33.pdb     -413.064969 kBT
2qwyC_M186.pdb     -339.768152 kBT
2qwyC_M297.pdb     -308.753917 kBT
2qwyC_M331.pdb     -337.795322 kBT
2qwyC_M298.pdb     -344.413874 kBT
2qwyC_M462.pdb     -279.869941 kBT
2qwyC_M117.pdb     -358.281951 kBT
2qwyC_M123.pdb     -380.683970 kBT
2qwyC_M214.pdb     -330.310212 kBT
2qwyC_M278.pdb     -335.201440 kBT
2qwyC_M389.pdb     -349.088550 kBT
2qwyC_M338.pdb     -351.865975 kBT
2qwyC_M7.pdb     -425.809791 kBT
2qwyC_M294.pdb     -352.647351 kBT
2qwyC_M171.pdb     -359.288076 kBT
2qwyC_M160.pdb     -320.164624 kBT
2qwyC_M321.pdb     -330.716352 kBT
2qwyC_M355.pdb     -262.558710 kBT
2qwyC_M233.pdb     -337.676649 kBT
