2il9M_M389.pdb     -440.879182 kBT
2il9M_M238.pdb     -505.443423 kBT
2il9M_M39.pdb     -597.589938 kBT
2il9M_M216.pdb     -491.117728 kBT
2il9M_M349.pdb     -476.159926 kBT
2il9M_M35.pdb     -563.274832 kBT
2il9M_M31.pdb     -603.528659 kBT
2il9M_M157.pdb     -501.421785 kBT
2il9M_M491.pdb     -425.461083 kBT
2il9M_M301.pdb     -447.566055 kBT
2il9M_M94.pdb     -484.055848 kBT
2il9M_M410.pdb     -413.422501 kBT
2il9M_M87.pdb     -519.904343 kBT
2il9M_M303.pdb     -511.212716 kBT
2il9M_M373.pdb     -483.591421 kBT
2il9M_M149.pdb     -533.350170 kBT
2il9M_M347.pdb     -491.655875 kBT
2il9M_M203.pdb     -549.655320 kBT
2il9M_M259.pdb     -533.294190 kBT
2il9M_M76.pdb     -544.437283 kBT
2il9M_M453.pdb     -443.629350 kBT
2il9M_M37.pdb     -598.562156 kBT
2il9M_M102.pdb     -578.021552 kBT
2il9M_M49.pdb     -582.615732 kBT
2il9M_M367.pdb     -455.536394 kBT
2il9M_M198.pdb     -463.155473 kBT
2il9M_M207.pdb     -483.546058 kBT
2il9M_M116.pdb     -520.491939 kBT
2il9M_M232.pdb     -501.477114 kBT
2il9M_M315.pdb     -539.176454 kBT
2il9M_M64.pdb     -522.092129 kBT
2il9M_M340.pdb     -417.231399 kBT
2il9M_M153.pdb     -475.248711 kBT
2il9M_M333.pdb     -478.482393 kBT
2il9M_M15.pdb     -662.655711 kBT
2il9M_M169.pdb     -515.867614 kBT
2il9M_M229.pdb     -486.310033 kBT
2il9M_M193.pdb     -561.866911 kBT
2il9M_M28.pdb     -584.641023 kBT
2il9M_M55.pdb     -536.916986 kBT
2il9M_M396.pdb     -434.762267 kBT
2il9M_M127.pdb     -488.127186 kBT
2il9M_M132.pdb     -512.973965 kBT
2il9M_M29.pdb     -608.764586 kBT
2il9M_M325.pdb     -495.920972 kBT
2il9M_M309.pdb     -528.999222 kBT
2il9M_M105.pdb     -565.226924 kBT
2il9M_M442.pdb     -439.150630 kBT
2il9M_M468.pdb     -384.042356 kBT
2il9M_M282.pdb     -438.789542 kBT
2il9M_M469.pdb     -480.784474 kBT
2il9M_M10.pdb     -682.569105 kBT
2il9M_M226.pdb     -431.636585 kBT
2il9M_M277.pdb     -515.366178 kBT
2il9M_M279.pdb     -448.409940 kBT
2il9M_M110.pdb     -513.315601 kBT
2il9M_M266.pdb     -446.194125 kBT
2il9M_M173.pdb     -489.512536 kBT
2il9M_M223.pdb     -507.805557 kBT
2il9M_M206.pdb     -498.002589 kBT
2il9M_M175.pdb     -477.781274 kBT
2il9M_M455.pdb     -484.084043 kBT
2il9M_M74.pdb     -530.880817 kBT
2il9M_M148.pdb     -445.466964 kBT
2il9M_M114.pdb     -541.020684 kBT
2il9M_M162.pdb     -543.197371 kBT
2il9M_M286.pdb     -514.973581 kBT
2il9M_M481.pdb     -399.471065 kBT
2il9M_M139.pdb     -526.007811 kBT
2il9M_M327.pdb     -482.583877 kBT
2il9M_M165.pdb     -514.895647 kBT
2il9M_M234.pdb     -468.860979 kBT
2il9M_M151.pdb     -506.285820 kBT
2il9M_M371.pdb     -433.535231 kBT
2il9M_M106.pdb     -513.071726 kBT
2il9M_M321.pdb     -432.666503 kBT
2il9M_M8.pdb     -699.357122 kBT
2il9M_M397.pdb     -512.038906 kBT
2il9M_M233.pdb     -496.917454 kBT
2il9M_M459.pdb     -456.889108 kBT
2il9M_M190.pdb     -455.186660 kBT
2il9M_M134.pdb     -487.672146 kBT
2il9M_M287.pdb     -483.798965 kBT
2il9M_M439.pdb     -455.562417 kBT
2il9M_M218.pdb     -499.908462 kBT
2il9M_M395.pdb     -455.250570 kBT
2il9M_M462.pdb     -515.832488 kBT
2il9M_M323.pdb     -477.216816 kBT
2il9M_M464.pdb     -445.264743 kBT
2il9M_M263.pdb     -484.360259 kBT
2il9M_M228.pdb     -465.279771 kBT
2il9M_M60.pdb     -590.106130 kBT
2il9M_M428.pdb     -475.353950 kBT
2il9M_M341.pdb     -416.771510 kBT
2il9M_M220.pdb     -489.935774 kBT
2il9M_M187.pdb     -480.988084 kBT
2il9M_M252.pdb     -475.560909 kBT
2il9M_M81.pdb     -585.206107 kBT
2il9M_M71.pdb     -553.002296 kBT
2il9M_M433.pdb     -453.797068 kBT
2il9M_M403.pdb     -496.985137 kBT
2il9M_M441.pdb     -456.554765 kBT
2il9M_M158.pdb     -517.821830 kBT
2il9M_M257.pdb     -433.549268 kBT
2il9M_M311.pdb     -465.404612 kBT
2il9M_M61.pdb     -564.968439 kBT
2il9M_M401.pdb     -400.374871 kBT
2il9M_M304.pdb     -433.767319 kBT
2il9M_M36.pdb     -629.121640 kBT
2il9M_M451.pdb     -503.942311 kBT
2il9M_M368.pdb     -449.813434 kBT
2il9M_M429.pdb     -420.995582 kBT
2il9M_M328.pdb     -455.701299 kBT
2il9M_M6.pdb     -701.876043 kBT
2il9M_M382.pdb     -493.604377 kBT
2il9M_M268.pdb     -493.508674 kBT
2il9M_M364.pdb     -469.488175 kBT
2il9M_M498.pdb     -415.898989 kBT
2il9M_M13.pdb     -675.277065 kBT
2il9M_M217.pdb     -444.770325 kBT
2il9M_M176.pdb     -492.097271 kBT
2il9M_M359.pdb     -443.892120 kBT
2il9M_M377.pdb     -497.441021 kBT
2il9M_M138.pdb     -524.521392 kBT
2il9M_M172.pdb     -527.273397 kBT
2il9M_M83.pdb     -558.477733 kBT
2il9M_M130.pdb     -562.699486 kBT
2il9M_M357.pdb     -477.702381 kBT
2il9M_M380.pdb     -473.493812 kBT
2il9M_M185.pdb     -470.640104 kBT
2il9M_M142.pdb     -482.936827 kBT
2il9M_M79.pdb     -512.759508 kBT
2il9M_M434.pdb     -456.330377 kBT
2il9M_M385.pdb     -490.833020 kBT
2il9M_M30.pdb     -613.970526 kBT
2il9M_M293.pdb     -446.964088 kBT
2il9M_M183.pdb     -487.929178 kBT
2il9M_M227.pdb     -464.710421 kBT
2il9M_M313.pdb     -457.592825 kBT
2il9M_M80.pdb     -537.838515 kBT
2il9M_M419.pdb     -463.192206 kBT
2il9M_M42.pdb     -588.272776 kBT
2il9M_M125.pdb     -499.594912 kBT
2il9M_M52.pdb     -533.206363 kBT
2il9M_M212.pdb     -497.778765 kBT
2il9M_M101.pdb     -555.446673 kBT
2il9M_M289.pdb     -563.303137 kBT
2il9M_M320.pdb     -431.441804 kBT
2il9M_M467.pdb     -442.435266 kBT
2il9M_M250.pdb     -475.982090 kBT
2il9M_M496.pdb     -439.786148 kBT
2il9M_M140.pdb     -495.703313 kBT
2il9M_M63.pdb     -568.038857 kBT
2il9M_M26.pdb     -589.830991 kBT
2il9M_M388.pdb     -497.903207 kBT
2il9M_M445.pdb     -416.855296 kBT
2il9M_M9.pdb     -709.988934 kBT
2il9M_M260.pdb     -505.833735 kBT
2il9M_M363.pdb     -457.573866 kBT
2il9M_M495.pdb     -406.012087 kBT
2il9M_M69.pdb     -570.839146 kBT
2il9M_M413.pdb     -487.860528 kBT
2il9M_M159.pdb     -509.249327 kBT
2il9M_M45.pdb     -579.991891 kBT
2il9M_M499.pdb     -419.598979 kBT
2il9M_M211.pdb     -502.109881 kBT
2il9M_M230.pdb     -537.664827 kBT
2il9M_M155.pdb     -438.644884 kBT
2il9M_M124.pdb     -509.919936 kBT
2il9M_M440.pdb     -475.646183 kBT
2il9M_M290.pdb     -505.693850 kBT
2il9M_M386.pdb     -428.657422 kBT
2il9M_M246.pdb     -460.720726 kBT
2il9M_M85.pdb     -529.074370 kBT
2il9M_M170.pdb     -477.306800 kBT
2il9M_M171.pdb     -467.376288 kBT
2il9M_M262.pdb     -525.365775 kBT
2il9M_M129.pdb     -513.993833 kBT
2il9M_M415.pdb     -393.139350 kBT
2il9M_M374.pdb     -462.474961 kBT
2il9M_M465.pdb     -457.090459 kBT
2il9M_M46.pdb     -584.584851 kBT
2il9M_M446.pdb     -451.355556 kBT
2il9M_M123.pdb     -504.678768 kBT
2il9M_M342.pdb     -448.440258 kBT
2il9M_M300.pdb     -464.321307 kBT
2il9M_M25.pdb     -603.941941 kBT
2il9M_M99.pdb     -549.403276 kBT
2il9M_M66.pdb     -542.744391 kBT
2il9M_M479.pdb     -468.305433 kBT
2il9M_M420.pdb     -467.239382 kBT
2il9M_M32.pdb     -612.294267 kBT
2il9M_M195.pdb     -532.463793 kBT
2il9M_M330.pdb     -466.688476 kBT
2il9M_M272.pdb     -438.918422 kBT
2il9M_M344.pdb     -469.352445 kBT
2il9M_M457.pdb     -449.935144 kBT
2il9M_M214.pdb     -481.511831 kBT
2il9M_M180.pdb     -479.778164 kBT
2il9M_M59.pdb     -530.790258 kBT
2il9M_M70.pdb     -528.996400 kBT
2il9M_M294.pdb     -493.037495 kBT
2il9M_M490.pdb     -450.158516 kBT
2il9M_M197.pdb     -525.972602 kBT
2il9M_M65.pdb     -591.507167 kBT
2il9M_M474.pdb     -462.991044 kBT
2il9M_M432.pdb     -412.897752 kBT
2il9M_M243.pdb     -501.514740 kBT
2il9M_M288.pdb     -470.604272 kBT
2il9M_M73.pdb     -518.034790 kBT
2il9M_M485.pdb     -484.611102 kBT
2il9M_M404.pdb     -432.426575 kBT
2il9M_M393.pdb     -464.401767 kBT
2il9M_M118.pdb     -535.782265 kBT
2il9M_M484.pdb     -426.197203 kBT
2il9M_M119.pdb     -483.805829 kBT
2il9M_M135.pdb     -552.890428 kBT
2il9M_M213.pdb     -482.962697 kBT
2il9M_M48.pdb     -590.649664 kBT
2il9M_M247.pdb     -452.453061 kBT
2il9M_M98.pdb     -490.488938 kBT
2il9M_M177.pdb     -534.324858 kBT
2il9M_M444.pdb     -469.174174 kBT
2il9M_M90.pdb     -527.980157 kBT
2il9M_M160.pdb     -491.091632 kBT
2il9M_M365.pdb     -488.069757 kBT
2il9M_M196.pdb     -449.375164 kBT
2il9M_M215.pdb     -521.443312 kBT
2il9M_M7.pdb     -698.978495 kBT
2il9M_M224.pdb     -507.898930 kBT
2il9M_M292.pdb     -460.260796 kBT
2il9M_M470.pdb     -454.794852 kBT
2il9M_M416.pdb     -468.083611 kBT
2il9M_M424.pdb     -439.118841 kBT
2il9M_M103.pdb     -574.285513 kBT
2il9M_M436.pdb     -463.084910 kBT
2il9M_M381.pdb     -421.113936 kBT
2il9M_M280.pdb     -505.756348 kBT
2il9M_M258.pdb     -434.004767 kBT
2il9M_M261.pdb     -459.049876 kBT
2il9M_M353.pdb     -525.879577 kBT
2il9M_M384.pdb     -472.984958 kBT
2il9M_M254.pdb     -491.942552 kBT
2il9M_M314.pdb     -458.803976 kBT
2il9M_M275.pdb     -476.741335 kBT
2il9M_M329.pdb     -480.223156 kBT
2il9M_M241.pdb     -475.443908 kBT
2il9M_M126.pdb     -569.148000 kBT
2il9M_M58.pdb     -574.918769 kBT
2il9M_M390.pdb     -504.241441 kBT
2il9M_M487.pdb     -495.300303 kBT
2il9M_M62.pdb     -586.005837 kBT
2il9M_M51.pdb     -569.484365 kBT
2il9M_M161.pdb     -502.653189 kBT
2il9M_M425.pdb     -492.043433 kBT
2il9M_M478.pdb     -456.800668 kBT
2il9M_M122.pdb     -557.441512 kBT
2il9M_M168.pdb     -496.821528 kBT
2il9M_M417.pdb     -440.347300 kBT
2il9M_M200.pdb     -517.549292 kBT
2il9M_M460.pdb     -469.724475 kBT
2il9M_M209.pdb     -469.226420 kBT
2il9M_M131.pdb     -475.971311 kBT
2il9M_M447.pdb     -428.987116 kBT
2il9M_M95.pdb     -558.219229 kBT
2il9M_M391.pdb     -472.931982 kBT
2il9M_M256.pdb     -431.910124 kBT
2il9M_M88.pdb     -508.173988 kBT
2il9M_M137.pdb     -536.706454 kBT
2il9M_M317.pdb     -453.964934 kBT
2il9M_M210.pdb     -478.265426 kBT
2il9M_M22.pdb     -625.022288 kBT
2il9M_M322.pdb     -497.744927 kBT
2il9M_M156.pdb     -522.981741 kBT
2il9M_M104.pdb     -531.835887 kBT
2il9M_M299.pdb     -515.105629 kBT
2il9M_M146.pdb     -526.408183 kBT
2il9M_M192.pdb     -533.066977 kBT
2il9M_M115.pdb     -502.460419 kBT
2il9M_M335.pdb     -454.743953 kBT
2il9M_M449.pdb     -474.505406 kBT
2il9M_M77.pdb     -573.514688 kBT
2il9M_M427.pdb     -480.442706 kBT
2il9M_M454.pdb     -490.822950 kBT
2il9M_M358.pdb     -496.115577 kBT
2il9M_M147.pdb     -497.387975 kBT
2il9M_M452.pdb     -460.237306 kBT
2il9M_M121.pdb     -578.251594 kBT
2il9M_M345.pdb     -480.802918 kBT
2il9M_M269.pdb     -448.973102 kBT
2il9M_M16.pdb     -655.451208 kBT
2il9M_M5.pdb     -702.264910 kBT
2il9M_M326.pdb     -493.208296 kBT
2il9M_M265.pdb     -425.758690 kBT
2il9M_M376.pdb     -439.142398 kBT
2il9M_M144.pdb     -484.294064 kBT
2il9M_M255.pdb     -521.431388 kBT
2il9M_M17.pdb     -676.292869 kBT
2il9M_M150.pdb     -528.768616 kBT
2il9M_M423.pdb     -464.600982 kBT
2il9M_M201.pdb     -507.696882 kBT
2il9M_M1.pdb     -702.812023 kBT
2il9M_M348.pdb     -467.594565 kBT
2il9M_M112.pdb     -474.478810 kBT
2il9M_M199.pdb     -507.205170 kBT
2il9M_M494.pdb     -466.761362 kBT
2il9M_M96.pdb     -528.061488 kBT
2il9M_M12.pdb     -688.670507 kBT
2il9M_M21.pdb     -623.116949 kBT
2il9M_M18.pdb     -651.720497 kBT
2il9M_M100.pdb     -589.877038 kBT
2il9M_M24.pdb     -660.092378 kBT
2il9M_M20.pdb     -661.150492 kBT
2il9M_M324.pdb     -472.054789 kBT
2il9M_M473.pdb     -421.462097 kBT
2il9M_M466.pdb     -465.039709 kBT
2il9M_M276.pdb     -420.348428 kBT
2il9M_M194.pdb     -465.027247 kBT
2il9M_M274.pdb     -484.576420 kBT
2il9M_M14.pdb     -681.417505 kBT
2il9M_M47.pdb     -607.804872 kBT
2il9M_M406.pdb     -435.956524 kBT
2il9M_M152.pdb     -520.051579 kBT
2il9M_M167.pdb     -475.502352 kBT
2il9M_M302.pdb     -545.085596 kBT
2il9M_M107.pdb     -544.875842 kBT
2il9M_M92.pdb     -538.653025 kBT
2il9M_M188.pdb     -544.151432 kBT
2il9M_M245.pdb     -520.389942 kBT
2il9M_M295.pdb     -482.699394 kBT
2il9M_M456.pdb     -466.112287 kBT
2il9M_M430.pdb     -428.183667 kBT
2il9M_M343.pdb     -426.570296 kBT
2il9M_M23.pdb     -656.874858 kBT
2il9M_M244.pdb     -484.896151 kBT
2il9M_M398.pdb     -451.245023 kBT
2il9M_M97.pdb     -511.205069 kBT
2il9M_M350.pdb     -478.501684 kBT
2il9M_M476.pdb     -433.886839 kBT
2il9M_M318.pdb     -475.322239 kBT
2il9M_M405.pdb     -459.159640 kBT
2il9M_M493.pdb     -442.856337 kBT
2il9M_M366.pdb     -433.309315 kBT
2il9M_M346.pdb     -479.514131 kBT
2il9M_M273.pdb     -491.717121 kBT
2il9M_M75.pdb     -579.947375 kBT
2il9M_M338.pdb     -428.969216 kBT
2il9M_M472.pdb     -426.359308 kBT
2il9M_M3.pdb     -717.144435 kBT
2il9M_M361.pdb     -498.626002 kBT
2il9M_M375.pdb     -492.680306 kBT
2il9M_M463.pdb     -427.281602 kBT
2il9M_M89.pdb     -543.098896 kBT
2il9M_M418.pdb     -463.784761 kBT
2il9M_M91.pdb     -576.748531 kBT
2il9M_M477.pdb     -442.217137 kBT
2il9M_M53.pdb     -566.355770 kBT
2il9M_M334.pdb     -460.080712 kBT
2il9M_M50.pdb     -616.501038 kBT
2il9M_M181.pdb     -501.450364 kBT
2il9M_M354.pdb     -509.653918 kBT
2il9M_M331.pdb     -473.853611 kBT
2il9M_M394.pdb     -458.684516 kBT
2il9M_M38.pdb     -618.454501 kBT
2il9M_M178.pdb     -481.491906 kBT
2il9M_M109.pdb     -505.516325 kBT
2il9M_M483.pdb     -452.517635 kBT
2il9M_M471.pdb     -465.478590 kBT
2il9M_M67.pdb     -567.688044 kBT
2il9M_M336.pdb     -470.988874 kBT
2il9M_M113.pdb     -552.958318 kBT
2il9M_M285.pdb     -487.095097 kBT
2il9M_M387.pdb     -435.067915 kBT
2il9M_M179.pdb     -480.318586 kBT
2il9M_M33.pdb     -634.696295 kBT
2il9M_M174.pdb     -480.995148 kBT
2il9M_M68.pdb     -555.217655 kBT
2il9M_M339.pdb     -468.742771 kBT
2il9M_M117.pdb     -530.849636 kBT
2il9M_M186.pdb     -487.105666 kBT
2il9M_M422.pdb     -444.062366 kBT
2il9M_M236.pdb     -475.698726 kBT
2il9M_M450.pdb     -445.542028 kBT
2il9M_M306.pdb     -452.352162 kBT
2il9M_M411.pdb     -410.195074 kBT
2il9M_M378.pdb     -442.511532 kBT
2il9M_M356.pdb     -471.231257 kBT
2il9M_M412.pdb     -486.412030 kBT
2il9M_M458.pdb     -438.618733 kBT
2il9M_M431.pdb     -449.379661 kBT
2il9M_M402.pdb     -390.952682 kBT
2il9M_M316.pdb     -526.816399 kBT
2il9M_M163.pdb     -480.251300 kBT
2il9M_M352.pdb     -447.132386 kBT
2il9M_M166.pdb     -470.367940 kBT
2il9M_M443.pdb     -455.427994 kBT
2il9M_M307.pdb     -497.123887 kBT
2il9M_M284.pdb     -475.726336 kBT
2il9M_M270.pdb     -499.594513 kBT
2il9M_M43.pdb     -626.293114 kBT
2il9M_M409.pdb     -451.262290 kBT
2il9M_M184.pdb     -461.253896 kBT
2il9M_M111.pdb     -586.561644 kBT
2il9M_M182.pdb     -494.104060 kBT
2il9M_M204.pdb     -525.000609 kBT
2il9M_M239.pdb     -472.657000 kBT
2il9M.pdb     -833.486443 kBT
2il9M_M312.pdb     -438.597922 kBT
2il9M_M305.pdb     -464.406229 kBT
2il9M_M308.pdb     -462.987505 kBT
2il9M_M372.pdb     -450.359591 kBT
2il9M_M141.pdb     -531.508395 kBT
2il9M_M400.pdb     -462.947010 kBT
2il9M_M369.pdb     -434.542093 kBT
2il9M_M438.pdb     -412.157438 kBT
2il9M_M133.pdb     -502.553060 kBT
2il9M_M219.pdb     -470.784522 kBT
2il9M_M231.pdb     -464.405326 kBT
2il9M_M240.pdb     -473.207625 kBT
2il9M_M11.pdb     -656.992956 kBT
2il9M_M154.pdb     -518.414937 kBT
2il9M_M319.pdb     -516.822916 kBT
2il9M_M72.pdb     -567.194268 kBT
2il9M_M78.pdb     -588.741576 kBT
2il9M_M41.pdb     -578.404728 kBT
