3gcaA_M473.pdb     -281.711274 kBT
3gcaA_M156.pdb     -319.841801 kBT
3gcaA_M86.pdb     -314.187977 kBT
3gcaA_M402.pdb     -289.013059 kBT
3gcaA_M489.pdb     -276.824898 kBT
3gcaA_M280.pdb     -308.357627 kBT
3gcaA_M495.pdb     -310.841524 kBT
3gcaA_M359.pdb     -305.446788 kBT
3gcaA_M413.pdb     -276.823166 kBT
3gcaA_M106.pdb     -320.535081 kBT
3gcaA_M210.pdb     -288.351024 kBT
3gcaA_M165.pdb     -372.559321 kBT
3gcaA_M207.pdb     -255.102242 kBT
3gcaA_M484.pdb     -283.196756 kBT
3gcaA_M50.pdb     -307.125183 kBT
3gcaA_M107.pdb     -287.032421 kBT
3gcaA_M333.pdb     -291.669003 kBT
3gcaA_M471.pdb     -306.461468 kBT
3gcaA_M260.pdb     -297.103028 kBT
3gcaA_M89.pdb     -332.506638 kBT
3gcaA_M477.pdb     -280.711573 kBT
3gcaA_M456.pdb     -269.992159 kBT
3gcaA_M347.pdb     -293.688158 kBT
3gcaA_M285.pdb     -294.836739 kBT
3gcaA_M150.pdb     -329.273857 kBT
3gcaA_M430.pdb     -294.066660 kBT
3gcaA_M397.pdb     -265.222560 kBT
3gcaA_M47.pdb     -343.236930 kBT
3gcaA_M324.pdb     -257.604817 kBT
3gcaA_M499.pdb     -243.105276 kBT
3gcaA_M214.pdb     -314.499873 kBT
3gcaA_M218.pdb     -289.244302 kBT
3gcaA_M315.pdb     -283.580410 kBT
3gcaA_M126.pdb     -334.776993 kBT
3gcaA_M55.pdb     -302.974845 kBT
3gcaA_M452.pdb     -303.493458 kBT
3gcaA_M441.pdb     -262.177255 kBT
3gcaA_M190.pdb     -338.073323 kBT
3gcaA_M163.pdb     -333.533689 kBT
3gcaA_M247.pdb     -301.060742 kBT
3gcaA_M334.pdb     -233.945700 kBT
3gcaA_M356.pdb     -286.901402 kBT
3gcaA_M88.pdb     -342.085230 kBT
3gcaA_M128.pdb     -309.658542 kBT
3gcaA_M216.pdb     -295.872645 kBT
3gcaA_M263.pdb     -288.278888 kBT
3gcaA_M381.pdb     -280.494338 kBT
3gcaA_M191.pdb     -295.301110 kBT
3gcaA_M490.pdb     -262.906762 kBT
3gcaA_M176.pdb     -348.100065 kBT
3gcaA_M160.pdb     -320.902943 kBT
3gcaA_M229.pdb     -311.599449 kBT
3gcaA_M59.pdb     -325.574143 kBT
3gcaA_M87.pdb     -333.037094 kBT
3gcaA_M485.pdb     -254.679653 kBT
3gcaA_M277.pdb     -288.342260 kBT
3gcaA_M201.pdb     -324.023825 kBT
3gcaA_M153.pdb     -302.562874 kBT
3gcaA_M29.pdb     -318.787548 kBT
3gcaA_M251.pdb     -287.061205 kBT
3gcaA_M45.pdb     -333.925967 kBT
3gcaA_M97.pdb     -318.426323 kBT
3gcaA_M278.pdb     -319.574506 kBT
3gcaA_M230.pdb     -299.643557 kBT
3gcaA_M70.pdb     -324.644606 kBT
3gcaA_M40.pdb     -327.343186 kBT
3gcaA_M346.pdb     -297.726726 kBT
3gcaA_M389.pdb     -260.838811 kBT
3gcaA_M189.pdb     -294.220007 kBT
3gcaA_M386.pdb     -256.698739 kBT
3gcaA_M114.pdb     -302.867235 kBT
3gcaA_M145.pdb     -326.434646 kBT
3gcaA_M378.pdb     -298.633620 kBT
3gcaA_M238.pdb     -275.805571 kBT
3gcaA_M314.pdb     -323.718677 kBT
3gcaA_M37.pdb     -344.008456 kBT
3gcaA_M180.pdb     -322.035840 kBT
3gcaA_M182.pdb     -298.735407 kBT
3gcaA_M449.pdb     -279.014460 kBT
3gcaA_M466.pdb     -256.237917 kBT
3gcaA_M167.pdb     -298.228801 kBT
3gcaA_M79.pdb     -345.295846 kBT
3gcaA_M130.pdb     -318.553491 kBT
3gcaA_M113.pdb     -324.644528 kBT
3gcaA_M500.pdb     -281.431983 kBT
3gcaA_M51.pdb     -336.452032 kBT
3gcaA_M311.pdb     -296.964615 kBT
3gcaA_M44.pdb     -329.479305 kBT
3gcaA_M293.pdb     -303.260458 kBT
3gcaA_M6.pdb     -370.934789 kBT
3gcaA_M295.pdb     -294.839647 kBT
3gcaA_M488.pdb     -258.215560 kBT
3gcaA_M418.pdb     -280.484057 kBT
3gcaA_M281.pdb     -290.725769 kBT
3gcaA_M446.pdb     -273.858828 kBT
3gcaA_M294.pdb     -293.349719 kBT
3gcaA_M274.pdb     -303.845099 kBT
3gcaA_M135.pdb     -278.320897 kBT
3gcaA_M458.pdb     -257.965688 kBT
3gcaA_M457.pdb     -236.886537 kBT
3gcaA_M395.pdb     -275.164016 kBT
3gcaA_M472.pdb     -263.429540 kBT
3gcaA_M120.pdb     -295.849978 kBT
3gcaA_M127.pdb     -317.837997 kBT
3gcaA_M54.pdb     -317.264087 kBT
3gcaA_M108.pdb     -300.448438 kBT
3gcaA_M117.pdb     -315.756746 kBT
3gcaA_M119.pdb     -311.611023 kBT
3gcaA_M123.pdb     -334.039497 kBT
3gcaA_M170.pdb     -321.134406 kBT
3gcaA_M338.pdb     -283.658879 kBT
3gcaA_M246.pdb     -274.933834 kBT
3gcaA_M365.pdb     -306.728478 kBT
3gcaA_M437.pdb     -273.693678 kBT
3gcaA_M330.pdb     -289.717224 kBT
3gcaA_M432.pdb     -256.949048 kBT
3gcaA_M25.pdb     -354.690462 kBT
3gcaA_M328.pdb     -301.980725 kBT
3gcaA_M332.pdb     -280.373188 kBT
3gcaA_M470.pdb     -267.649187 kBT
3gcaA_M454.pdb     -291.592875 kBT
3gcaA_M404.pdb     -277.866410 kBT
3gcaA_M151.pdb     -314.904405 kBT
3gcaA_M308.pdb     -319.198162 kBT
3gcaA_M420.pdb     -306.635293 kBT
3gcaA_M181.pdb     -308.499615 kBT
3gcaA_M425.pdb     -328.026223 kBT
3gcaA_M453.pdb     -259.650501 kBT
3gcaA_M467.pdb     -288.403313 kBT
3gcaA_M185.pdb     -340.597078 kBT
3gcaA_M221.pdb     -304.118748 kBT
3gcaA_M137.pdb     -324.133005 kBT
3gcaA_M41.pdb     -351.334865 kBT
3gcaA_M223.pdb     -317.998858 kBT
3gcaA_M177.pdb     -267.098406 kBT
3gcaA_M162.pdb     -349.086681 kBT
3gcaA_M77.pdb     -324.288082 kBT
3gcaA_M105.pdb     -304.870286 kBT
3gcaA_M48.pdb     -342.519051 kBT
3gcaA_M341.pdb     -289.177694 kBT
3gcaA_M213.pdb     -301.648942 kBT
3gcaA_M82.pdb     -324.790703 kBT
3gcaA_M369.pdb     -294.841687 kBT
3gcaA_M8.pdb     -373.831991 kBT
3gcaA_M445.pdb     -304.593074 kBT
3gcaA_M250.pdb     -290.864649 kBT
3gcaA_M377.pdb     -312.102628 kBT
3gcaA_M408.pdb     -243.736973 kBT
3gcaA_M132.pdb     -318.449741 kBT
3gcaA_M30.pdb     -336.798686 kBT
3gcaA_M292.pdb     -325.097808 kBT
3gcaA_M172.pdb     -308.297196 kBT
3gcaA_M245.pdb     -276.068517 kBT
3gcaA_M487.pdb     -267.381813 kBT
3gcaA_M231.pdb     -278.530102 kBT
3gcaA_M297.pdb     -253.467376 kBT
3gcaA_M384.pdb     -328.323392 kBT
3gcaA_M360.pdb     -296.308285 kBT
3gcaA_M476.pdb     -324.595853 kBT
3gcaA_M62.pdb     -339.705890 kBT
3gcaA_M58.pdb     -331.655458 kBT
3gcaA_M379.pdb     -288.666554 kBT
3gcaA_M298.pdb     -251.648677 kBT
3gcaA_M192.pdb     -293.986698 kBT
3gcaA_M364.pdb     -291.638300 kBT
3gcaA_M370.pdb     -261.884916 kBT
3gcaA_M289.pdb     -294.547071 kBT
3gcaA_M483.pdb     -279.787994 kBT
3gcaA_M349.pdb     -278.091120 kBT
3gcaA_M391.pdb     -316.868302 kBT
3gcaA_M80.pdb     -326.882185 kBT
3gcaA_M24.pdb     -382.494033 kBT
3gcaA_M175.pdb     -299.933569 kBT
3gcaA_M22.pdb     -358.380614 kBT
3gcaA_M252.pdb     -286.421912 kBT
3gcaA_M155.pdb     -335.943999 kBT
3gcaA_M61.pdb     -320.045965 kBT
3gcaA_M284.pdb     -273.986234 kBT
3gcaA_M56.pdb     -345.837317 kBT
3gcaA_M468.pdb     -292.462312 kBT
3gcaA_M401.pdb     -296.055249 kBT
3gcaA_M438.pdb     -295.437994 kBT
3gcaA_M355.pdb     -264.073183 kBT
3gcaA_M336.pdb     -266.508938 kBT
3gcaA_M357.pdb     -312.560648 kBT
3gcaA_M71.pdb     -314.999652 kBT
3gcaA_M159.pdb     -238.291130 kBT
3gcaA_M266.pdb     -280.789508 kBT
3gcaA_M7.pdb     -388.038586 kBT
3gcaA_M241.pdb     -315.765440 kBT
3gcaA_M68.pdb     -315.065899 kBT
3gcaA_M411.pdb     -287.838118 kBT
3gcaA_M388.pdb     -282.579060 kBT
3gcaA_M317.pdb     -273.110896 kBT
3gcaA_M290.pdb     -294.903120 kBT
3gcaA_M433.pdb     -256.539495 kBT
3gcaA_M486.pdb     -258.500453 kBT
3gcaA_M407.pdb     -272.986732 kBT
3gcaA_M262.pdb     -279.677617 kBT
3gcaA_M429.pdb     -283.372982 kBT
3gcaA_M492.pdb     -277.355475 kBT
3gcaA_M225.pdb     -287.545402 kBT
3gcaA_M350.pdb     -340.474529 kBT
3gcaA_M224.pdb     -340.446935 kBT
3gcaA_M475.pdb     -260.110228 kBT
3gcaA_M63.pdb     -320.411697 kBT
3gcaA_M96.pdb     -321.707270 kBT
3gcaA_M275.pdb     -295.839660 kBT
3gcaA_M255.pdb     -289.145753 kBT
3gcaA_M164.pdb     -318.009863 kBT
3gcaA_M115.pdb     -298.420761 kBT
3gcaA_M326.pdb     -326.182385 kBT
3gcaA_M375.pdb     -238.681248 kBT
3gcaA_M23.pdb     -356.634104 kBT
3gcaA_M416.pdb     -279.995920 kBT
3gcaA_M10.pdb     -377.015145 kBT
3gcaA_M18.pdb     -341.274072 kBT
3gcaA_M219.pdb     -299.271589 kBT
3gcaA_M272.pdb     -283.018331 kBT
3gcaA_M385.pdb     -263.397040 kBT
3gcaA_M36.pdb     -354.942640 kBT
3gcaA_M419.pdb     -278.145457 kBT
3gcaA_M304.pdb     -266.228173 kBT
3gcaA_M16.pdb     -370.278446 kBT
3gcaA_M422.pdb     -274.609084 kBT
3gcaA_M212.pdb     -266.228548 kBT
3gcaA_M168.pdb     -275.398159 kBT
3gcaA_M21.pdb     -383.757139 kBT
3gcaA_M239.pdb     -332.498553 kBT
3gcaA_M208.pdb     -295.683805 kBT
3gcaA_M306.pdb     -271.403152 kBT
3gcaA_M149.pdb     -334.504077 kBT
3gcaA_M236.pdb     -297.806054 kBT
3gcaA_M15.pdb     -373.467168 kBT
3gcaA_M65.pdb     -304.926438 kBT
3gcaA_M183.pdb     -288.850689 kBT
3gcaA_M303.pdb     -295.763353 kBT
3gcaA_M254.pdb     -286.532215 kBT
3gcaA_M52.pdb     -321.499251 kBT
3gcaA_M158.pdb     -291.597945 kBT
3gcaA_M157.pdb     -317.816105 kBT
3gcaA_M202.pdb     -295.687187 kBT
3gcaA_M309.pdb     -316.074546 kBT
3gcaA_M450.pdb     -282.399198 kBT
3gcaA_M43.pdb     -357.450698 kBT
3gcaA_M91.pdb     -329.822731 kBT
3gcaA_M405.pdb     -291.886067 kBT
3gcaA_M103.pdb     -338.888667 kBT
3gcaA_M282.pdb     -310.062613 kBT
3gcaA_M371.pdb     -265.833110 kBT
3gcaA_M139.pdb     -304.743667 kBT
3gcaA_M265.pdb     -261.317731 kBT
3gcaA_M494.pdb     -276.052345 kBT
3gcaA_M187.pdb     -315.670286 kBT
3gcaA_M198.pdb     -238.054102 kBT
3gcaA_M249.pdb     -297.509910 kBT
3gcaA_M35.pdb     -300.652630 kBT
3gcaA_M335.pdb     -297.374560 kBT
3gcaA_M269.pdb     -270.185546 kBT
3gcaA_M459.pdb     -316.914516 kBT
3gcaA_M200.pdb     -283.374086 kBT
3gcaA_M342.pdb     -276.050222 kBT
3gcaA_M270.pdb     -320.467462 kBT
3gcaA_M26.pdb     -381.172663 kBT
3gcaA_M258.pdb     -295.018322 kBT
3gcaA_M204.pdb     -278.743842 kBT
3gcaA_M393.pdb     -304.091593 kBT
3gcaA_M146.pdb     -322.898972 kBT
3gcaA_M409.pdb     -296.378951 kBT
3gcaA_M398.pdb     -305.528213 kBT
3gcaA_M1.pdb     -376.631015 kBT
3gcaA_M286.pdb     -279.836315 kBT
3gcaA_M424.pdb     -267.787088 kBT
3gcaA_M13.pdb     -355.905712 kBT
3gcaA_M122.pdb     -306.444862 kBT
3gcaA_M481.pdb     -323.252945 kBT
3gcaA_M288.pdb     -288.459398 kBT
3gcaA_M74.pdb     -342.035441 kBT
3gcaA_M461.pdb     -279.645766 kBT
3gcaA_M233.pdb     -301.163111 kBT
3gcaA_M226.pdb     -290.288127 kBT
3gcaA_M138.pdb     -304.675928 kBT
3gcaA_M436.pdb     -288.548202 kBT
3gcaA_M125.pdb     -313.450573 kBT
3gcaA_M343.pdb     -250.587795 kBT
3gcaA_M34.pdb     -310.312182 kBT
3gcaA_M240.pdb     -277.200490 kBT
3gcaA_M215.pdb     -272.181101 kBT
3gcaA_M209.pdb     -310.891780 kBT
3gcaA_M312.pdb     -289.577097 kBT
3gcaA_M383.pdb     -301.704863 kBT
3gcaA_M396.pdb     -270.003518 kBT
3gcaA_M148.pdb     -297.162896 kBT
3gcaA_M203.pdb     -289.964546 kBT
3gcaA_M447.pdb     -266.103853 kBT
3gcaA_M53.pdb     -333.351677 kBT
3gcaA_M431.pdb     -275.145820 kBT
3gcaA_M374.pdb     -292.894925 kBT
3gcaA_M390.pdb     -266.973207 kBT
3gcaA_M497.pdb     -292.930811 kBT
3gcaA_M273.pdb     -317.423356 kBT
3gcaA_M387.pdb     -264.826689 kBT
3gcaA_M131.pdb     -288.111789 kBT
3gcaA_M32.pdb     -366.858716 kBT
3gcaA_M121.pdb     -316.588342 kBT
3gcaA_M98.pdb     -328.018144 kBT
3gcaA_M261.pdb     -287.150192 kBT
3gcaA_M493.pdb     -314.261976 kBT
3gcaA_M464.pdb     -291.553928 kBT
3gcaA_M49.pdb     -340.198323 kBT
3gcaA_M482.pdb     -258.728517 kBT
3gcaA_M174.pdb     -250.629344 kBT
3gcaA_M42.pdb     -356.527071 kBT
3gcaA_M206.pdb     -283.212445 kBT
3gcaA_M205.pdb     -297.366574 kBT
3gcaA_M28.pdb     -343.095174 kBT
3gcaA_M227.pdb     -316.462153 kBT
3gcaA_M95.pdb     -292.111473 kBT
3gcaA_M474.pdb     -276.786103 kBT
3gcaA_M11.pdb     -373.638989 kBT
3gcaA_M423.pdb     -336.491277 kBT
3gcaA_M166.pdb     -304.670345 kBT
3gcaA_M20.pdb     -368.028275 kBT
3gcaA_M2.pdb     -374.625209 kBT
3gcaA_M69.pdb     -335.317548 kBT
3gcaA_M141.pdb     -303.077542 kBT
3gcaA_M259.pdb     -295.918645 kBT
3gcaA_M496.pdb     -305.743307 kBT
3gcaA_M353.pdb     -275.205010 kBT
3gcaA_M465.pdb     -315.571460 kBT
3gcaA_M67.pdb     -367.687635 kBT
3gcaA_M469.pdb     -255.997725 kBT
3gcaA_M92.pdb     -315.684633 kBT
3gcaA_M267.pdb     -315.016449 kBT
3gcaA_M443.pdb     -256.543344 kBT
3gcaA_M410.pdb     -270.238916 kBT
3gcaA_M435.pdb     -284.718878 kBT
3gcaA_M348.pdb     -286.806069 kBT
3gcaA_M76.pdb     -328.364067 kBT
3gcaA_M102.pdb     -331.278500 kBT
3gcaA_M129.pdb     -319.102466 kBT
3gcaA_M271.pdb     -299.758737 kBT
3gcaA_M372.pdb     -293.869419 kBT
3gcaA_M178.pdb     -311.293038 kBT
3gcaA_M116.pdb     -325.635581 kBT
3gcaA_M380.pdb     -256.503899 kBT
3gcaA_M276.pdb     -302.681906 kBT
3gcaA_M4.pdb     -370.249071 kBT
3gcaA_M9.pdb     -379.068166 kBT
3gcaA_M256.pdb     -310.279466 kBT
3gcaA_M296.pdb     -303.486788 kBT
3gcaA_M491.pdb     -263.815674 kBT
3gcaA_M64.pdb     -337.833446 kBT
3gcaA_M394.pdb     -307.905896 kBT
3gcaA_M248.pdb     -282.907143 kBT
3gcaA_M451.pdb     -282.370764 kBT
3gcaA_M134.pdb     -278.623347 kBT
3gcaA_M197.pdb     -305.803713 kBT
3gcaA_M39.pdb     -358.073807 kBT
3gcaA_M434.pdb     -300.897952 kBT
3gcaA_M60.pdb     -354.762971 kBT
3gcaA_M279.pdb     -284.565523 kBT
3gcaA_M72.pdb     -324.648692 kBT
3gcaA_M147.pdb     -295.657088 kBT
3gcaA_M118.pdb     -292.121311 kBT
3gcaA_M406.pdb     -286.269243 kBT
3gcaA_M234.pdb     -295.170267 kBT
3gcaA_M33.pdb     -331.707279 kBT
3gcaA_M323.pdb     -312.014587 kBT
3gcaA_M242.pdb     -281.263138 kBT
3gcaA_M442.pdb     -291.921790 kBT
3gcaA_M344.pdb     -286.067402 kBT
3gcaA_M161.pdb     -315.044428 kBT
3gcaA_M382.pdb     -298.729281 kBT
3gcaA_M220.pdb     -303.538100 kBT
3gcaA_M195.pdb     -325.267748 kBT
3gcaA_M480.pdb     -251.943535 kBT
3gcaA_M358.pdb     -314.956325 kBT
3gcaA_M257.pdb     -264.729787 kBT
3gcaA_M439.pdb     -258.817587 kBT
3gcaA_M331.pdb     -273.798061 kBT
3gcaA_M316.pdb     -295.315739 kBT
3gcaA_M414.pdb     -256.013894 kBT
3gcaA_M327.pdb     -258.084452 kBT
3gcaA_M319.pdb     -325.202560 kBT
3gcaA_M27.pdb     -356.575756 kBT
3gcaA_M368.pdb     -303.495336 kBT
3gcaA_M186.pdb     -308.141265 kBT
3gcaA_M110.pdb     -348.651634 kBT
3gcaA_M361.pdb     -280.171049 kBT
3gcaA_M237.pdb     -300.277601 kBT
3gcaA_M31.pdb     -349.993272 kBT
3gcaA_M196.pdb     -294.350241 kBT
3gcaA_M101.pdb     -342.151130 kBT
3gcaA_M228.pdb     -267.294075 kBT
3gcaA_M171.pdb     -297.095778 kBT
3gcaA_M253.pdb     -291.156199 kBT
3gcaA_M329.pdb     -295.064888 kBT
3gcaA_M305.pdb     -299.498622 kBT
3gcaA_M211.pdb     -325.458937 kBT
3gcaA_M142.pdb     -284.449835 kBT
3gcaA_M302.pdb     -269.668916 kBT
3gcaA_M85.pdb     -341.223291 kBT
3gcaA_M478.pdb     -278.362324 kBT
3gcaA_M188.pdb     -298.542498 kBT
3gcaA_M310.pdb     -248.981748 kBT
3gcaA_M112.pdb     -309.719264 kBT
3gcaA_M143.pdb     -274.728669 kBT
3gcaA_M376.pdb     -278.256165 kBT
3gcaA_M140.pdb     -309.311983 kBT
3gcaA_M299.pdb     -268.156903 kBT
