2bh2D_M43.pdb     -182.265921 kBT
2bh2D_M439.pdb     -206.033670 kBT
2bh2D_M340.pdb     -135.532566 kBT
2bh2D_M315.pdb     -168.927335 kBT
2bh2D_M278.pdb     -178.856727 kBT
2bh2D_M56.pdb     -207.533076 kBT
2bh2D_M422.pdb     -130.153207 kBT
2bh2D_M222.pdb     -175.160419 kBT
2bh2D_M337.pdb     -134.248285 kBT
2bh2D_M7.pdb     -218.133449 kBT
2bh2D_M202.pdb     -186.079142 kBT
2bh2D_M94.pdb     -178.936436 kBT
2bh2D_M51.pdb     -195.437503 kBT
2bh2D_M219.pdb     -159.484770 kBT
2bh2D_M78.pdb     -173.805944 kBT
2bh2D_M106.pdb     -160.610215 kBT
2bh2D_M55.pdb     -171.163568 kBT
2bh2D_M277.pdb     -164.159182 kBT
2bh2D_M228.pdb     -169.999039 kBT
2bh2D_M321.pdb     -155.601206 kBT
2bh2D_M462.pdb     -127.650032 kBT
2bh2D_M235.pdb     -210.387687 kBT
2bh2D_M295.pdb     -148.479768 kBT
2bh2D_M442.pdb     -155.586587 kBT
2bh2D_M98.pdb     -155.957066 kBT
2bh2D_M308.pdb     -170.737029 kBT
2bh2D_M6.pdb     -211.363860 kBT
2bh2D_M290.pdb     -82.296654 kBT
2bh2D_M378.pdb     -221.328115 kBT
2bh2D_M320.pdb     -131.735723 kBT
2bh2D_M351.pdb     -149.713453 kBT
2bh2D_M332.pdb     -120.992243 kBT
2bh2D_M41.pdb     -206.329810 kBT
2bh2D_M246.pdb     -178.772756 kBT
2bh2D_M267.pdb     -165.589069 kBT
2bh2D_M176.pdb     -171.555746 kBT
2bh2D_M183.pdb     -140.373790 kBT
2bh2D_M361.pdb     -167.151417 kBT
2bh2D_M353.pdb     -118.676771 kBT
2bh2D_M152.pdb     -193.434938 kBT
2bh2D_M100.pdb     -182.690053 kBT
2bh2D_M313.pdb     -174.268539 kBT
2bh2D_M27.pdb     -190.107806 kBT
2bh2D_M130.pdb     -161.046129 kBT
2bh2D_M124.pdb     -156.496340 kBT
2bh2D_M399.pdb     -177.276746 kBT
2bh2D_M270.pdb     -152.783220 kBT
2bh2D_M226.pdb     -178.451478 kBT
2bh2D_M455.pdb     -141.666058 kBT
2bh2D_M326.pdb     -175.424150 kBT
2bh2D_M90.pdb     -205.153691 kBT
2bh2D_M384.pdb     -166.434995 kBT
2bh2D_M30.pdb     -200.380769 kBT
2bh2D_M387.pdb     -175.914385 kBT
2bh2D_M241.pdb     -162.223676 kBT
2bh2D_M31.pdb     -216.569246 kBT
2bh2D_M349.pdb     -132.993385 kBT
2bh2D_M15.pdb     -230.796899 kBT
2bh2D_M281.pdb     -105.744663 kBT
2bh2D_M263.pdb     -137.908202 kBT
2bh2D_M454.pdb     -144.356142 kBT
2bh2D_M158.pdb     -200.816708 kBT
2bh2D_M198.pdb     -173.759123 kBT
2bh2D_M242.pdb     -165.907615 kBT
2bh2D_M438.pdb     -114.351201 kBT
2bh2D_M167.pdb     -152.669335 kBT
2bh2D_M109.pdb     -196.252345 kBT
2bh2D_M178.pdb     -196.523599 kBT
2bh2D_M21.pdb     -205.249884 kBT
2bh2D_M421.pdb     -147.576045 kBT
2bh2D_M45.pdb     -188.465318 kBT
2bh2D_M382.pdb     -141.553617 kBT
2bh2D_M2.pdb     -213.490416 kBT
2bh2D_M449.pdb     -168.005019 kBT
2bh2D_M434.pdb     -129.249195 kBT
2bh2D_M288.pdb     -129.429210 kBT
2bh2D_M37.pdb     -198.368351 kBT
2bh2D_M189.pdb     -169.966084 kBT
2bh2D_M318.pdb     -86.842310 kBT
2bh2D_M187.pdb     -166.063970 kBT
2bh2D_M258.pdb     -143.904195 kBT
2bh2D_M104.pdb     -212.041430 kBT
2bh2D_M418.pdb     -171.208944 kBT
2bh2D_M172.pdb     -149.893258 kBT
2bh2D_M286.pdb     -119.459603 kBT
2bh2D_M485.pdb     -128.966936 kBT
2bh2D_M4.pdb     -215.141738 kBT
2bh2D_M33.pdb     -190.065204 kBT
2bh2D_M405.pdb     -148.926326 kBT
2bh2D_M255.pdb     -194.159412 kBT
2bh2D_M244.pdb     -209.481394 kBT
2bh2D_M200.pdb     -193.435913 kBT
2bh2D_M171.pdb     -156.816622 kBT
2bh2D_M276.pdb     -176.977830 kBT
2bh2D_M309.pdb     -142.970580 kBT
2bh2D_M426.pdb     -167.112498 kBT
2bh2D_M174.pdb     -164.718547 kBT
2bh2D_M328.pdb     -168.930649 kBT
2bh2D_M57.pdb     -176.751066 kBT
2bh2D_M394.pdb     -116.245419 kBT
2bh2D_M9.pdb     -212.581673 kBT
2bh2D.pdb     -210.226942 kBT
2bh2D_M225.pdb     -149.905351 kBT
2bh2D_M180.pdb     -192.897632 kBT
2bh2D_M46.pdb     -191.924793 kBT
2bh2D_M8.pdb     -209.517217 kBT
2bh2D_M397.pdb     -136.121831 kBT
2bh2D_M122.pdb     -196.591593 kBT
2bh2D_M445.pdb     -193.977222 kBT
2bh2D_M450.pdb     -184.533463 kBT
2bh2D_M428.pdb     -139.989555 kBT
2bh2D_M206.pdb     -156.909504 kBT
2bh2D_M411.pdb     -166.977311 kBT
2bh2D_M325.pdb     -162.536280 kBT
2bh2D_M374.pdb     -129.360003 kBT
2bh2D_M91.pdb     -169.876594 kBT
2bh2D_M381.pdb     -117.618381 kBT
2bh2D_M261.pdb     -177.412050 kBT
2bh2D_M195.pdb     -200.876016 kBT
2bh2D_M357.pdb     -161.185068 kBT
2bh2D_M298.pdb     -169.199927 kBT
2bh2D_M209.pdb     -180.927283 kBT
2bh2D_M99.pdb     -180.473758 kBT
2bh2D_M71.pdb     -223.720504 kBT
2bh2D_M304.pdb     -141.835968 kBT
2bh2D_M306.pdb     -205.091296 kBT
2bh2D_M118.pdb     -162.144802 kBT
2bh2D_M182.pdb     -177.949835 kBT
2bh2D_M410.pdb     -149.393833 kBT
2bh2D_M240.pdb     -153.245974 kBT
2bh2D_M150.pdb     -194.603696 kBT
2bh2D_M406.pdb     -169.472157 kBT
2bh2D_M497.pdb     -148.006945 kBT
2bh2D_M184.pdb     -182.058417 kBT
2bh2D_M356.pdb     -168.097644 kBT
2bh2D_M343.pdb     -170.909119 kBT
2bh2D_M59.pdb     -179.445296 kBT
2bh2D_M233.pdb     -150.605316 kBT
2bh2D_M456.pdb     -164.494826 kBT
2bh2D_M1.pdb     -227.309673 kBT
2bh2D_M467.pdb     -148.064549 kBT
2bh2D_M338.pdb     -159.751872 kBT
2bh2D_M128.pdb     -176.572906 kBT
2bh2D_M495.pdb     -163.326487 kBT
2bh2D_M494.pdb     -125.344579 kBT
2bh2D_M458.pdb     -170.128160 kBT
2bh2D_M161.pdb     -180.096926 kBT
2bh2D_M330.pdb     -162.398028 kBT
2bh2D_M392.pdb     -110.366208 kBT
2bh2D_M213.pdb     -181.316833 kBT
2bh2D_M35.pdb     -196.058087 kBT
2bh2D_M355.pdb     -178.094508 kBT
2bh2D_M84.pdb     -194.406988 kBT
2bh2D_M444.pdb     -148.556928 kBT
2bh2D_M138.pdb     -150.686768 kBT
2bh2D_M136.pdb     -164.071680 kBT
2bh2D_M292.pdb     -140.344200 kBT
2bh2D_M441.pdb     -156.083456 kBT
2bh2D_M390.pdb     -151.111994 kBT
2bh2D_M423.pdb     -167.718669 kBT
2bh2D_M275.pdb     -124.416487 kBT
2bh2D_M20.pdb     -203.913052 kBT
2bh2D_M481.pdb     -155.065879 kBT
2bh2D_M362.pdb     -148.101141 kBT
2bh2D_M393.pdb     -150.972425 kBT
2bh2D_M259.pdb     -188.721683 kBT
2bh2D_M29.pdb     -218.192209 kBT
2bh2D_M164.pdb     -183.077324 kBT
2bh2D_M48.pdb     -164.346630 kBT
2bh2D_M245.pdb     -124.574981 kBT
2bh2D_M36.pdb     -184.507849 kBT
2bh2D_M432.pdb     -155.395453 kBT
2bh2D_M24.pdb     -191.697383 kBT
2bh2D_M254.pdb     -154.683778 kBT
2bh2D_M499.pdb     -162.339672 kBT
2bh2D_M329.pdb     -151.816165 kBT
2bh2D_M402.pdb     -135.812218 kBT
2bh2D_M175.pdb     -151.209124 kBT
2bh2D_M375.pdb     -132.511251 kBT
2bh2D_M74.pdb     -224.055592 kBT
2bh2D_M44.pdb     -199.064194 kBT
2bh2D_M119.pdb     -178.930778 kBT
2bh2D_M425.pdb     -161.071079 kBT
2bh2D_M317.pdb     -204.461444 kBT
2bh2D_M148.pdb     -145.147018 kBT
2bh2D_M201.pdb     -180.924010 kBT
2bh2D_M92.pdb     -186.634819 kBT
2bh2D_M223.pdb     -152.431981 kBT
2bh2D_M237.pdb     -184.445127 kBT
2bh2D_M463.pdb     -116.976476 kBT
2bh2D_M372.pdb     -175.784965 kBT
2bh2D_M452.pdb     -201.660719 kBT
2bh2D_M341.pdb     -185.524835 kBT
2bh2D_M165.pdb     -154.532341 kBT
2bh2D_M379.pdb     -112.972806 kBT
2bh2D_M185.pdb     -186.862900 kBT
2bh2D_M131.pdb     -179.701129 kBT
2bh2D_M430.pdb     -142.789611 kBT
2bh2D_M359.pdb     -128.899587 kBT
2bh2D_M257.pdb     -154.056153 kBT
2bh2D_M447.pdb     -163.309088 kBT
2bh2D_M157.pdb     -189.323790 kBT
2bh2D_M419.pdb     -108.884144 kBT
2bh2D_M319.pdb     -150.482309 kBT
2bh2D_M23.pdb     -196.025215 kBT
2bh2D_M66.pdb     -191.014656 kBT
2bh2D_M354.pdb     -151.282201 kBT
2bh2D_M28.pdb     -198.547403 kBT
2bh2D_M260.pdb     -144.376510 kBT
2bh2D_M391.pdb     -180.032951 kBT
2bh2D_M13.pdb     -222.678413 kBT
2bh2D_M360.pdb     -153.294804 kBT
2bh2D_M339.pdb     -158.867615 kBT
2bh2D_M227.pdb     -146.864976 kBT
2bh2D_M433.pdb     -148.114900 kBT
2bh2D_M420.pdb     -177.899151 kBT
2bh2D_M205.pdb     -133.728688 kBT
2bh2D_M464.pdb     -140.501720 kBT
2bh2D_M63.pdb     -199.440880 kBT
2bh2D_M169.pdb     -147.544532 kBT
2bh2D_M133.pdb     -224.307118 kBT
2bh2D_M50.pdb     -192.551018 kBT
2bh2D_M491.pdb     -153.801067 kBT
2bh2D_M487.pdb     -160.863846 kBT
2bh2D_M377.pdb     -194.176700 kBT
2bh2D_M52.pdb     -205.759350 kBT
2bh2D_M446.pdb     -186.335169 kBT
2bh2D_M62.pdb     -159.594777 kBT
2bh2D_M243.pdb     -178.389676 kBT
2bh2D_M80.pdb     -186.993414 kBT
2bh2D_M54.pdb     -213.266085 kBT
2bh2D_M316.pdb     -179.038398 kBT
2bh2D_M310.pdb     -139.097264 kBT
2bh2D_M477.pdb     -120.601379 kBT
2bh2D_M96.pdb     -166.403135 kBT
2bh2D_M415.pdb     -138.031743 kBT
2bh2D_M401.pdb     -127.471961 kBT
2bh2D_M232.pdb     -163.525675 kBT
2bh2D_M335.pdb     -143.292032 kBT
2bh2D_M121.pdb     -180.932448 kBT
2bh2D_M448.pdb     -151.376000 kBT
2bh2D_M123.pdb     -186.231858 kBT
2bh2D_M289.pdb     -181.414540 kBT
2bh2D_M134.pdb     -181.031739 kBT
2bh2D_M231.pdb     -183.861053 kBT
2bh2D_M376.pdb     -145.155097 kBT
2bh2D_M5.pdb     -226.369474 kBT
2bh2D_M346.pdb     -139.105822 kBT
2bh2D_M147.pdb     -212.778903 kBT
2bh2D_M81.pdb     -136.879862 kBT
2bh2D_M296.pdb     -170.343846 kBT
2bh2D_M93.pdb     -135.722605 kBT
2bh2D_M429.pdb     -174.747487 kBT
2bh2D_M160.pdb     -170.638030 kBT
2bh2D_M272.pdb     -158.500038 kBT
2bh2D_M85.pdb     -190.508512 kBT
2bh2D_M299.pdb     -152.126387 kBT
2bh2D_M32.pdb     -215.857696 kBT
2bh2D_M155.pdb     -183.114667 kBT
2bh2D_M151.pdb     -176.396894 kBT
2bh2D_M67.pdb     -197.464870 kBT
2bh2D_M114.pdb     -183.396448 kBT
2bh2D_M307.pdb     -158.409761 kBT
2bh2D_M192.pdb     -170.683112 kBT
2bh2D_M389.pdb     -123.835980 kBT
2bh2D_M89.pdb     -200.525268 kBT
2bh2D_M156.pdb     -170.823659 kBT
2bh2D_M115.pdb     -158.749588 kBT
2bh2D_M498.pdb     -150.613287 kBT
2bh2D_M49.pdb     -191.435144 kBT
2bh2D_M322.pdb     -161.232994 kBT
2bh2D_M166.pdb     -153.062520 kBT
2bh2D_M69.pdb     -187.783138 kBT
2bh2D_M77.pdb     -189.902085 kBT
2bh2D_M413.pdb     -149.681818 kBT
2bh2D_M162.pdb     -194.186318 kBT
2bh2D_M417.pdb     -175.245253 kBT
2bh2D_M373.pdb     -165.345800 kBT
2bh2D_M348.pdb     -179.032050 kBT
2bh2D_M369.pdb     -149.546377 kBT
2bh2D_M101.pdb     -157.439308 kBT
2bh2D_M181.pdb     -178.073379 kBT
2bh2D_M197.pdb     -183.798175 kBT
2bh2D_M16.pdb     -219.649016 kBT
2bh2D_M416.pdb     -152.681398 kBT
2bh2D_M303.pdb     -129.045448 kBT
2bh2D_M483.pdb     -158.149361 kBT
2bh2D_M451.pdb     -141.188415 kBT
2bh2D_M212.pdb     -186.258198 kBT
2bh2D_M86.pdb     -208.645471 kBT
2bh2D_M224.pdb     -166.334390 kBT
2bh2D_M431.pdb     -157.334867 kBT
2bh2D_M371.pdb     -164.857906 kBT
2bh2D_M154.pdb     -174.199786 kBT
2bh2D_M312.pdb     -182.182891 kBT
2bh2D_M443.pdb     -137.739694 kBT
2bh2D_M424.pdb     -132.110301 kBT
2bh2D_M58.pdb     -210.242061 kBT
2bh2D_M108.pdb     -203.786830 kBT
2bh2D_M461.pdb     -155.824060 kBT
2bh2D_M107.pdb     -192.791988 kBT
2bh2D_M173.pdb     -171.224538 kBT
2bh2D_M268.pdb     -136.949161 kBT
2bh2D_M293.pdb     -143.346285 kBT
2bh2D_M125.pdb     -160.390708 kBT
2bh2D_M324.pdb     -139.133507 kBT
2bh2D_M149.pdb     -152.403704 kBT
2bh2D_M250.pdb     -179.303533 kBT
2bh2D_M25.pdb     -209.360647 kBT
2bh2D_M204.pdb     -171.325404 kBT
2bh2D_M479.pdb     -177.438081 kBT
2bh2D_M474.pdb     -130.367174 kBT
2bh2D_M403.pdb     -122.988330 kBT
2bh2D_M97.pdb     -169.910425 kBT
2bh2D_M217.pdb     -135.557900 kBT
2bh2D_M271.pdb     -136.298247 kBT
2bh2D_M249.pdb     -153.122387 kBT
2bh2D_M18.pdb     -203.474106 kBT
2bh2D_M34.pdb     -183.794115 kBT
2bh2D_M383.pdb     -162.805074 kBT
2bh2D_M453.pdb     -163.177076 kBT
2bh2D_M294.pdb     -112.303489 kBT
2bh2D_M120.pdb     -179.755153 kBT
2bh2D_M327.pdb     -163.320932 kBT
2bh2D_M210.pdb     -210.493977 kBT
2bh2D_M311.pdb     -179.656628 kBT
2bh2D_M60.pdb     -149.889689 kBT
2bh2D_M291.pdb     -170.031262 kBT
2bh2D_M17.pdb     -225.245584 kBT
2bh2D_M492.pdb     -128.178065 kBT
2bh2D_M145.pdb     -185.112528 kBT
2bh2D_M22.pdb     -195.058942 kBT
2bh2D_M459.pdb     -166.595333 kBT
2bh2D_M199.pdb     -154.327852 kBT
2bh2D_M266.pdb     -173.289927 kBT
2bh2D_M248.pdb     -164.099685 kBT
2bh2D_M336.pdb     -134.547452 kBT
2bh2D_M111.pdb     -156.199321 kBT
2bh2D_M282.pdb     -168.192211 kBT
2bh2D_M247.pdb     -173.843837 kBT
2bh2D_M409.pdb     -127.772581 kBT
2bh2D_M140.pdb     -152.123690 kBT
2bh2D_M470.pdb     -158.066377 kBT
2bh2D_M127.pdb     -203.106860 kBT
2bh2D_M208.pdb     -168.528969 kBT
2bh2D_M350.pdb     -197.035608 kBT
2bh2D_M460.pdb     -156.523043 kBT
2bh2D_M129.pdb     -181.315955 kBT
2bh2D_M396.pdb     -114.453465 kBT
2bh2D_M252.pdb     -147.410575 kBT
2bh2D_M83.pdb     -178.809969 kBT
2bh2D_M65.pdb     -218.238176 kBT
2bh2D_M435.pdb     -170.202489 kBT
2bh2D_M153.pdb     -202.444296 kBT
2bh2D_M478.pdb     -151.420139 kBT
2bh2D_M144.pdb     -166.628948 kBT
2bh2D_M14.pdb     -197.964519 kBT
2bh2D_M179.pdb     -147.327146 kBT
2bh2D_M126.pdb     -186.624106 kBT
2bh2D_M475.pdb     -141.977329 kBT
2bh2D_M87.pdb     -213.337352 kBT
2bh2D_M279.pdb     -162.378847 kBT
2bh2D_M344.pdb     -150.402401 kBT
2bh2D_M490.pdb     -119.183329 kBT
2bh2D_M468.pdb     -158.516950 kBT
2bh2D_M388.pdb     -169.942675 kBT
2bh2D_M207.pdb     -178.395340 kBT
2bh2D_M367.pdb     -134.903099 kBT
2bh2D_M480.pdb     -165.535322 kBT
2bh2D_M72.pdb     -191.210206 kBT
2bh2D_M476.pdb     -174.043487 kBT
2bh2D_M331.pdb     -155.264832 kBT
2bh2D_M38.pdb     -171.611300 kBT
2bh2D_M11.pdb     -234.005999 kBT
2bh2D_M190.pdb     -153.781098 kBT
2bh2D_M414.pdb     -143.020126 kBT
2bh2D_M238.pdb     -168.945958 kBT
2bh2D_M117.pdb     -173.212171 kBT
2bh2D_M408.pdb     -169.891787 kBT
2bh2D_M103.pdb     -187.108025 kBT
2bh2D_M188.pdb     -179.518838 kBT
2bh2D_M482.pdb     -157.513153 kBT
2bh2D_M186.pdb     -189.291420 kBT
2bh2D_M112.pdb     -180.603282 kBT
2bh2D_M427.pdb     -170.660854 kBT
2bh2D_M496.pdb     -117.709225 kBT
2bh2D_M253.pdb     -166.148217 kBT
2bh2D_M284.pdb     -132.373234 kBT
2bh2D_M407.pdb     -112.980049 kBT
2bh2D_M342.pdb     -169.616541 kBT
2bh2D_M39.pdb     -221.312099 kBT
2bh2D_M216.pdb     -187.364636 kBT
2bh2D_M218.pdb     -201.421892 kBT
2bh2D_M75.pdb     -184.843683 kBT
2bh2D_M53.pdb     -189.280507 kBT
2bh2D_M314.pdb     -133.888888 kBT
2bh2D_M465.pdb     -138.740556 kBT
2bh2D_M471.pdb     -117.123338 kBT
2bh2D_M493.pdb     -178.402298 kBT
2bh2D_M368.pdb     -146.798969 kBT
2bh2D_M113.pdb     -157.985145 kBT
2bh2D_M398.pdb     -177.067211 kBT
2bh2D_M40.pdb     -230.923925 kBT
2bh2D_M489.pdb     -133.938041 kBT
2bh2D_M251.pdb     -166.574161 kBT
2bh2D_M256.pdb     -144.381806 kBT
2bh2D_M229.pdb     -170.451310 kBT
2bh2D_M3.pdb     -225.118193 kBT
2bh2D_M437.pdb     -150.227436 kBT
2bh2D_M469.pdb     -103.226907 kBT
2bh2D_M220.pdb     -202.803011 kBT
2bh2D_M143.pdb     -170.369919 kBT
2bh2D_M47.pdb     -192.279834 kBT
2bh2D_M363.pdb     -144.411722 kBT
2bh2D_M440.pdb     -133.585496 kBT
2bh2D_M76.pdb     -205.263634 kBT
2bh2D_M110.pdb     -182.347822 kBT
2bh2D_M380.pdb     -167.969752 kBT
2bh2D_M473.pdb     -129.509961 kBT
2bh2D_M280.pdb     -168.122340 kBT
2bh2D_M221.pdb     -154.087867 kBT
2bh2D_M142.pdb     -145.940743 kBT
2bh2D_M168.pdb     -193.596434 kBT
2bh2D_M323.pdb     -153.266881 kBT
2bh2D_M170.pdb     -172.163963 kBT
2bh2D_M26.pdb     -212.023227 kBT
