1xokA_M269.pdb     -158.831326 kBT
1xokA_M453.pdb     -177.465829 kBT
1xokA_M10.pdb     -200.358110 kBT
1xokA_M298.pdb     -170.523797 kBT
1xokA_M440.pdb     -165.032263 kBT
1xokA_M156.pdb     -156.432536 kBT
1xokA_M190.pdb     -158.956516 kBT
1xokA_M37.pdb     -184.482887 kBT
1xokA_M233.pdb     -166.750753 kBT
1xokA_M1.pdb     -191.744759 kBT
1xokA_M432.pdb     -194.380604 kBT
1xokA_M347.pdb     -183.588901 kBT
1xokA_M151.pdb     -181.711323 kBT
1xokA_M43.pdb     -173.511687 kBT
1xokA_M494.pdb     -152.774979 kBT
1xokA_M324.pdb     -153.152088 kBT
1xokA_M272.pdb     -185.052385 kBT
1xokA_M397.pdb     -143.435089 kBT
1xokA_M378.pdb     -141.966333 kBT
1xokA_M373.pdb     -163.807769 kBT
1xokA_M361.pdb     -155.569983 kBT
1xokA_M154.pdb     -145.215293 kBT
1xokA_M14.pdb     -189.803957 kBT
1xokA_M77.pdb     -186.598338 kBT
1xokA_M279.pdb     -162.992983 kBT
1xokA_M288.pdb     -152.330161 kBT
1xokA_M20.pdb     -186.386063 kBT
1xokA_M197.pdb     -184.426246 kBT
1xokA_M271.pdb     -193.133067 kBT
1xokA_M45.pdb     -204.529717 kBT
1xokA_M470.pdb     -186.789624 kBT
1xokA_M336.pdb     -162.540829 kBT
1xokA_M247.pdb     -168.607323 kBT
1xokA_M342.pdb     -153.000494 kBT
1xokA_M137.pdb     -171.024660 kBT
1xokA_M83.pdb     -170.842536 kBT
1xokA_M386.pdb     -177.422031 kBT
1xokA_M371.pdb     -147.244848 kBT
1xokA_M431.pdb     -152.457086 kBT
1xokA_M370.pdb     -150.346141 kBT
1xokA_M66.pdb     -198.062656 kBT
1xokA_M24.pdb     -174.732762 kBT
1xokA_M310.pdb     -147.681020 kBT
1xokA_M149.pdb     -192.769388 kBT
1xokA_M498.pdb     -140.201394 kBT
1xokA_M401.pdb     -174.767192 kBT
1xokA_M263.pdb     -177.507298 kBT
1xokA_M103.pdb     -187.900090 kBT
1xokA_M481.pdb     -185.192967 kBT
1xokA_M278.pdb     -136.456032 kBT
1xokA_M91.pdb     -179.824614 kBT
1xokA_M362.pdb     -168.530189 kBT
1xokA_M436.pdb     -190.391042 kBT
1xokA_M235.pdb     -200.945776 kBT
1xokA_M331.pdb     -155.514559 kBT
1xokA_M38.pdb     -180.217809 kBT
1xokA_M48.pdb     -156.214718 kBT
1xokA_M232.pdb     -160.694244 kBT
1xokA_M166.pdb     -155.618265 kBT
1xokA_M287.pdb     -139.521119 kBT
1xokA_M260.pdb     -154.171633 kBT
1xokA_M307.pdb     -167.171610 kBT
1xokA_M430.pdb     -134.812406 kBT
1xokA_M368.pdb     -170.888060 kBT
1xokA_M394.pdb     -141.595721 kBT
1xokA_M32.pdb     -184.498254 kBT
1xokA_M39.pdb     -188.204680 kBT
1xokA_M228.pdb     -191.358087 kBT
1xokA_M459.pdb     -182.297969 kBT
1xokA_M323.pdb     -173.801146 kBT
1xokA_M241.pdb     -166.112079 kBT
1xokA_M203.pdb     -182.472434 kBT
1xokA_M89.pdb     -170.235574 kBT
1xokA_M350.pdb     -116.744475 kBT
1xokA_M105.pdb     -169.920765 kBT
1xokA_M363.pdb     -195.305202 kBT
1xokA_M290.pdb     -161.044809 kBT
1xokA_M485.pdb     -159.621282 kBT
1xokA_M8.pdb     -207.275967 kBT
1xokA_M479.pdb     -196.585811 kBT
1xokA_M454.pdb     -160.128946 kBT
1xokA_M106.pdb     -204.447817 kBT
1xokA_M455.pdb     -172.061636 kBT
1xokA_M487.pdb     -157.711997 kBT
1xokA_M86.pdb     -183.611637 kBT
1xokA_M164.pdb     -189.121955 kBT
1xokA_M111.pdb     -183.950267 kBT
1xokA_M245.pdb     -152.706440 kBT
1xokA_M53.pdb     -181.613778 kBT
1xokA_M181.pdb     -200.525971 kBT
1xokA_M353.pdb     -139.942427 kBT
1xokA_M90.pdb     -191.071394 kBT
1xokA_M496.pdb     -171.932622 kBT
1xokA_M69.pdb     -184.271396 kBT
1xokA_M499.pdb     -161.415742 kBT
1xokA_M490.pdb     -151.608001 kBT
1xokA_M414.pdb     -143.088148 kBT
1xokA_M273.pdb     -160.432477 kBT
1xokA_M126.pdb     -171.396978 kBT
1xokA_M178.pdb     -202.535867 kBT
1xokA_M169.pdb     -194.806314 kBT
1xokA_M380.pdb     -158.713342 kBT
1xokA_M352.pdb     -182.826720 kBT
1xokA_M374.pdb     -156.785118 kBT
1xokA_M281.pdb     -170.287797 kBT
1xokA_M415.pdb     -160.445370 kBT
1xokA_M100.pdb     -170.598406 kBT
1xokA_M387.pdb     -194.811287 kBT
1xokA_M80.pdb     -166.711453 kBT
1xokA_M110.pdb     -191.064333 kBT
1xokA_M141.pdb     -203.888221 kBT
1xokA_M42.pdb     -192.054834 kBT
1xokA_M500.pdb     -154.512905 kBT
1xokA_M50.pdb     -177.825207 kBT
1xokA_M377.pdb     -163.441889 kBT
1xokA_M306.pdb     -178.843376 kBT
1xokA_M168.pdb     -148.829152 kBT
1xokA_M59.pdb     -201.944060 kBT
1xokA_M335.pdb     -152.545532 kBT
1xokA_M435.pdb     -144.497205 kBT
1xokA_M117.pdb     -179.088580 kBT
1xokA_M408.pdb     -159.282203 kBT
1xokA_M136.pdb     -159.509065 kBT
1xokA_M409.pdb     -161.789900 kBT
1xokA_M75.pdb     -153.639788 kBT
1xokA_M157.pdb     -200.752267 kBT
1xokA_M359.pdb     -170.676950 kBT
1xokA_M428.pdb     -178.796384 kBT
1xokA_M404.pdb     -139.007619 kBT
1xokA_M469.pdb     -154.108871 kBT
1xokA_M325.pdb     -149.622963 kBT
1xokA_M390.pdb     -172.276798 kBT
1xokA_M160.pdb     -185.131249 kBT
1xokA_M367.pdb     -169.788677 kBT
1xokA_M112.pdb     -195.797814 kBT
1xokA_M227.pdb     -178.790808 kBT
1xokA_M115.pdb     -184.491002 kBT
1xokA_M326.pdb     -166.135691 kBT
1xokA_M114.pdb     -191.873679 kBT
1xokA_M215.pdb     -158.069547 kBT
1xokA_M224.pdb     -181.644258 kBT
1xokA_M286.pdb     -177.453622 kBT
1xokA_M199.pdb     -190.666880 kBT
1xokA_M33.pdb     -172.852193 kBT
1xokA_M388.pdb     -164.811597 kBT
1xokA_M125.pdb     -160.888953 kBT
1xokA_M270.pdb     -196.723296 kBT
1xokA_M267.pdb     -176.790366 kBT
1xokA_M366.pdb     -193.011619 kBT
1xokA_M242.pdb     -171.095294 kBT
1xokA_M376.pdb     -194.350332 kBT
1xokA_M85.pdb     -159.715004 kBT
1xokA_M437.pdb     -181.022436 kBT
1xokA_M364.pdb     -174.143327 kBT
1xokA_M195.pdb     -178.474170 kBT
1xokA_M150.pdb     -163.354904 kBT
1xokA_M3.pdb     -204.598671 kBT
1xokA_M276.pdb     -178.276955 kBT
1xokA_M205.pdb     -176.373708 kBT
1xokA_M62.pdb     -162.760370 kBT
1xokA_M92.pdb     -159.212758 kBT
1xokA_M357.pdb     -168.038698 kBT
1xokA_M264.pdb     -166.647946 kBT
1xokA_M7.pdb     -202.565518 kBT
1xokA_M268.pdb     -203.245988 kBT
1xokA_M138.pdb     -192.404158 kBT
1xokA_M461.pdb     -173.045241 kBT
1xokA_M406.pdb     -160.181035 kBT
1xokA_M144.pdb     -155.185070 kBT
1xokA_M147.pdb     -194.787142 kBT
1xokA_M439.pdb     -156.951651 kBT
1xokA_M355.pdb     -176.821931 kBT
1xokA_M426.pdb     -169.611173 kBT
1xokA_M122.pdb     -165.409901 kBT
1xokA_M417.pdb     -166.626034 kBT
1xokA_M343.pdb     -153.449541 kBT
1xokA_M244.pdb     -173.414011 kBT
1xokA_M12.pdb     -209.454824 kBT
1xokA_M46.pdb     -183.671811 kBT
1xokA_M330.pdb     -170.446560 kBT
1xokA_M34.pdb     -187.296969 kBT
1xokA_M297.pdb     -179.932243 kBT
1xokA_M314.pdb     -157.281905 kBT
1xokA_M30.pdb     -179.087279 kBT
1xokA_M54.pdb     -185.311270 kBT
1xokA_M393.pdb     -187.884927 kBT
1xokA_M74.pdb     -184.816469 kBT
1xokA_M239.pdb     -177.626360 kBT
1xokA_M213.pdb     -171.766684 kBT
1xokA_M35.pdb     -181.821925 kBT
1xokA_M464.pdb     -145.840750 kBT
1xokA_M391.pdb     -157.481034 kBT
1xokA_M338.pdb     -181.854539 kBT
1xokA_M79.pdb     -169.082619 kBT
1xokA_M467.pdb     -182.953591 kBT
1xokA_M81.pdb     -159.005175 kBT
1xokA_M420.pdb     -173.977595 kBT
1xokA_M484.pdb     -177.395160 kBT
1xokA_M186.pdb     -167.270891 kBT
1xokA_M116.pdb     -220.403180 kBT
1xokA_M294.pdb     -152.076301 kBT
1xokA_M4.pdb     -204.176247 kBT
1xokA_M427.pdb     -176.925014 kBT
1xokA_M176.pdb     -171.357547 kBT
1xokA_M155.pdb     -182.391898 kBT
1xokA_M492.pdb     -181.541249 kBT
1xokA_M68.pdb     -181.184001 kBT
1xokA_M402.pdb     -186.344669 kBT
1xokA_M382.pdb     -162.557062 kBT
1xokA_M22.pdb     -161.663470 kBT
1xokA_M429.pdb     -151.981139 kBT
1xokA_M133.pdb     -187.997322 kBT
1xokA_M26.pdb     -198.040983 kBT
1xokA_M230.pdb     -168.829071 kBT
1xokA_M399.pdb     -107.527104 kBT
1xokA_M211.pdb     -166.269151 kBT
1xokA_M369.pdb     -162.547563 kBT
1xokA_M2.pdb     -207.860522 kBT
1xokA_M198.pdb     -162.164112 kBT
1xokA_M275.pdb     -181.327971 kBT
1xokA_M341.pdb     -171.715227 kBT
1xokA_M304.pdb     -147.480480 kBT
1xokA_M21.pdb     -209.573810 kBT
1xokA_M47.pdb     -188.490383 kBT
1xokA_M266.pdb     -174.166429 kBT
1xokA_M119.pdb     -160.787129 kBT
1xokA_M171.pdb     -203.162331 kBT
1xokA_M315.pdb     -171.047341 kBT
1xokA_M284.pdb     -160.301693 kBT
1xokA_M52.pdb     -153.527873 kBT
1xokA_M143.pdb     -169.413796 kBT
1xokA_M395.pdb     -141.685744 kBT
1xokA_M445.pdb     -165.890852 kBT
1xokA_M334.pdb     -160.281062 kBT
1xokA_M282.pdb     -185.641296 kBT
1xokA_M312.pdb     -149.504074 kBT
1xokA_M249.pdb     -173.696538 kBT
1xokA_M135.pdb     -189.601521 kBT
1xokA_M220.pdb     -146.648449 kBT
1xokA_M283.pdb     -167.886331 kBT
1xokA_M18.pdb     -182.915696 kBT
1xokA_M449.pdb     -160.978143 kBT
1xokA_M65.pdb     -220.883159 kBT
1xokA_M223.pdb     -163.586119 kBT
1xokA_M120.pdb     -182.325718 kBT
1xokA_M134.pdb     -211.145010 kBT
1xokA_M365.pdb     -197.161998 kBT
1xokA_M221.pdb     -154.653547 kBT
1xokA_M127.pdb     -160.106030 kBT
1xokA_M123.pdb     -174.367684 kBT
1xokA_M240.pdb     -137.979941 kBT
1xokA_M305.pdb     -187.426792 kBT
1xokA_M159.pdb     -165.859641 kBT
1xokA_M99.pdb     -177.111699 kBT
1xokA_M491.pdb     -135.027639 kBT
1xokA_M441.pdb     -180.743065 kBT
1xokA_M104.pdb     -173.584207 kBT
1xokA_M248.pdb     -162.678090 kBT
1xokA.pdb     -197.032358 kBT
1xokA_M185.pdb     -175.847542 kBT
1xokA_M204.pdb     -178.696291 kBT
1xokA_M348.pdb     -152.929045 kBT
1xokA_M192.pdb     -190.175255 kBT
1xokA_M256.pdb     -156.679917 kBT
1xokA_M187.pdb     -169.914700 kBT
1xokA_M124.pdb     -197.343666 kBT
1xokA_M183.pdb     -197.821300 kBT
1xokA_M113.pdb     -163.900224 kBT
1xokA_M475.pdb     -169.208848 kBT
1xokA_M468.pdb     -149.051018 kBT
1xokA_M497.pdb     -178.840820 kBT
1xokA_M101.pdb     -163.362227 kBT
1xokA_M191.pdb     -152.391169 kBT
1xokA_M64.pdb     -208.260195 kBT
1xokA_M458.pdb     -166.271102 kBT
1xokA_M216.pdb     -179.401016 kBT
1xokA_M146.pdb     -198.546065 kBT
1xokA_M102.pdb     -162.298709 kBT
1xokA_M254.pdb     -154.602362 kBT
1xokA_M277.pdb     -177.508827 kBT
1xokA_M229.pdb     -188.270942 kBT
1xokA_M450.pdb     -149.528568 kBT
1xokA_M438.pdb     -215.988651 kBT
1xokA_M132.pdb     -200.478726 kBT
1xokA_M389.pdb     -190.043874 kBT
1xokA_M29.pdb     -181.676476 kBT
1xokA_M293.pdb     -164.351165 kBT
1xokA_M446.pdb     -147.486106 kBT
1xokA_M407.pdb     -191.306304 kBT
1xokA_M486.pdb     -159.223227 kBT
1xokA_M97.pdb     -186.828756 kBT
1xokA_M457.pdb     -175.679009 kBT
1xokA_M405.pdb     -167.584613 kBT
1xokA_M118.pdb     -192.607168 kBT
1xokA_M16.pdb     -197.618529 kBT
1xokA_M313.pdb     -175.003644 kBT
1xokA_M108.pdb     -164.550199 kBT
1xokA_M474.pdb     -157.143143 kBT
1xokA_M466.pdb     -151.152246 kBT
1xokA_M300.pdb     -162.951992 kBT
1xokA_M477.pdb     -154.167284 kBT
1xokA_M173.pdb     -170.656072 kBT
1xokA_M258.pdb     -172.761492 kBT
1xokA_M480.pdb     -155.743885 kBT
1xokA_M162.pdb     -170.279308 kBT
1xokA_M236.pdb     -173.939823 kBT
1xokA_M107.pdb     -155.556660 kBT
1xokA_M396.pdb     -183.871917 kBT
1xokA_M384.pdb     -183.234521 kBT
1xokA_M238.pdb     -166.788734 kBT
1xokA_M163.pdb     -179.782771 kBT
1xokA_M410.pdb     -169.903774 kBT
1xokA_M383.pdb     -134.675086 kBT
1xokA_M265.pdb     -192.847359 kBT
1xokA_M327.pdb     -178.841993 kBT
1xokA_M296.pdb     -161.617016 kBT
1xokA_M70.pdb     -167.641201 kBT
1xokA_M356.pdb     -177.422277 kBT
1xokA_M13.pdb     -189.051841 kBT
1xokA_M317.pdb     -163.998575 kBT
1xokA_M443.pdb     -174.037404 kBT
1xokA_M98.pdb     -178.083040 kBT
1xokA_M425.pdb     -176.085106 kBT
1xokA_M488.pdb     -155.621816 kBT
1xokA_M392.pdb     -172.015271 kBT
1xokA_M202.pdb     -203.281214 kBT
1xokA_M130.pdb     -169.103722 kBT
1xokA_M482.pdb     -149.796937 kBT
1xokA_M320.pdb     -171.589341 kBT
1xokA_M76.pdb     -185.079785 kBT
1xokA_M344.pdb     -171.090733 kBT
1xokA_M167.pdb     -160.557500 kBT
1xokA_M262.pdb     -180.173501 kBT
1xokA_M495.pdb     -166.844065 kBT
1xokA_M170.pdb     -149.682404 kBT
1xokA_M234.pdb     -172.671619 kBT
1xokA_M95.pdb     -163.574458 kBT
1xokA_M140.pdb     -179.055915 kBT
1xokA_M209.pdb     -177.253185 kBT
1xokA_M212.pdb     -175.811705 kBT
1xokA_M88.pdb     -196.981685 kBT
1xokA_M206.pdb     -135.751744 kBT
1xokA_M291.pdb     -159.393213 kBT
1xokA_M148.pdb     -195.626748 kBT
1xokA_M19.pdb     -175.623440 kBT
1xokA_M214.pdb     -164.364222 kBT
1xokA_M210.pdb     -178.088196 kBT
1xokA_M261.pdb     -177.958635 kBT
1xokA_M177.pdb     -205.760135 kBT
1xokA_M416.pdb     -165.609057 kBT
1xokA_M447.pdb     -167.881906 kBT
1xokA_M473.pdb     -171.258826 kBT
1xokA_M200.pdb     -192.312515 kBT
1xokA_M153.pdb     -166.482850 kBT
1xokA_M292.pdb     -174.078416 kBT
1xokA_M17.pdb     -203.548733 kBT
1xokA_M252.pdb     -178.088788 kBT
1xokA_M253.pdb     -176.177797 kBT
1xokA_M194.pdb     -174.142124 kBT
1xokA_M465.pdb     -121.585324 kBT
1xokA_M175.pdb     -203.132622 kBT
1xokA_M109.pdb     -167.665093 kBT
1xokA_M60.pdb     -160.348092 kBT
1xokA_M308.pdb     -144.206961 kBT
1xokA_M219.pdb     -200.375418 kBT
1xokA_M309.pdb     -145.137958 kBT
1xokA_M333.pdb     -159.224743 kBT
1xokA_M460.pdb     -159.575536 kBT
1xokA_M413.pdb     -151.282101 kBT
1xokA_M403.pdb     -152.922584 kBT
1xokA_M63.pdb     -170.750440 kBT
1xokA_M58.pdb     -167.716744 kBT
1xokA_M94.pdb     -167.325846 kBT
1xokA_M67.pdb     -161.859210 kBT
1xokA_M71.pdb     -205.468817 kBT
1xokA_M182.pdb     -173.677487 kBT
1xokA_M15.pdb     -203.051603 kBT
1xokA_M274.pdb     -192.797873 kBT
1xokA_M322.pdb     -156.356418 kBT
1xokA_M174.pdb     -185.460002 kBT
1xokA_M27.pdb     -201.803281 kBT
1xokA_M145.pdb     -166.338480 kBT
1xokA_M295.pdb     -133.536320 kBT
1xokA_M9.pdb     -193.893780 kBT
1xokA_M301.pdb     -174.845908 kBT
1xokA_M489.pdb     -155.095307 kBT
1xokA_M207.pdb     -177.596748 kBT
1xokA_M57.pdb     -182.579716 kBT
1xokA_M379.pdb     -175.183058 kBT
1xokA_M444.pdb     -187.127588 kBT
1xokA_M419.pdb     -151.037791 kBT
1xokA_M152.pdb     -199.045114 kBT
1xokA_M452.pdb     -138.266876 kBT
1xokA_M218.pdb     -188.535390 kBT
1xokA_M311.pdb     -150.651379 kBT
1xokA_M400.pdb     -137.040913 kBT
1xokA_M73.pdb     -164.188093 kBT
1xokA_M289.pdb     -163.343866 kBT
1xokA_M463.pdb     -175.999889 kBT
1xokA_M424.pdb     -170.588751 kBT
1xokA_M381.pdb     -149.368937 kBT
1xokA_M36.pdb     -191.711692 kBT
1xokA_M472.pdb     -174.180145 kBT
1xokA_M345.pdb     -182.102818 kBT
1xokA_M72.pdb     -165.217445 kBT
1xokA_M61.pdb     -202.307838 kBT
1xokA_M358.pdb     -157.423131 kBT
1xokA_M82.pdb     -181.147987 kBT
1xokA_M316.pdb     -161.446666 kBT
1xokA_M196.pdb     -176.886118 kBT
1xokA_M131.pdb     -201.199962 kBT
1xokA_M423.pdb     -178.612542 kBT
1xokA_M251.pdb     -178.517234 kBT
1xokA_M25.pdb     -199.681577 kBT
1xokA_M346.pdb     -164.739886 kBT
1xokA_M332.pdb     -192.393990 kBT
1xokA_M56.pdb     -186.078199 kBT
1xokA_M451.pdb     -179.121298 kBT
1xokA_M340.pdb     -156.567424 kBT
1xokA_M201.pdb     -151.422518 kBT
1xokA_M139.pdb     -173.856158 kBT
1xokA_M250.pdb     -186.211139 kBT
1xokA_M285.pdb     -152.266362 kBT
1xokA_M189.pdb     -155.614465 kBT
1xokA_M493.pdb     -143.902029 kBT
1xokA_M208.pdb     -180.883477 kBT
1xokA_M360.pdb     -173.856603 kBT
1xokA_M255.pdb     -192.299251 kBT
1xokA_M41.pdb     -197.424021 kBT
