437dA_M418.pdb     -204.281646 kBT
437dA_M115.pdb     -256.086804 kBT
437dA_M143.pdb     -238.330654 kBT
437dA_M380.pdb     -194.335121 kBT
437dA_M237.pdb     -232.922237 kBT
437dA_M30.pdb     -274.584738 kBT
437dA_M372.pdb     -208.188551 kBT
437dA_M320.pdb     -210.035217 kBT
437dA_M107.pdb     -208.558857 kBT
437dA_M311.pdb     -218.869729 kBT
437dA_M35.pdb     -276.196117 kBT
437dA_M5.pdb     -301.642366 kBT
437dA_M500.pdb     -174.280185 kBT
437dA_M200.pdb     -228.820318 kBT
437dA_M344.pdb     -229.354698 kBT
437dA_M184.pdb     -242.928955 kBT
437dA_M123.pdb     -239.268646 kBT
437dA_M414.pdb     -230.112612 kBT
437dA_M490.pdb     -170.916010 kBT
437dA_M465.pdb     -192.125846 kBT
437dA_M58.pdb     -269.969187 kBT
437dA_M456.pdb     -206.358427 kBT
437dA_M316.pdb     -230.543468 kBT
437dA_M77.pdb     -268.513154 kBT
437dA_M315.pdb     -224.200673 kBT
437dA_M113.pdb     -215.278173 kBT
437dA_M246.pdb     -254.321999 kBT
437dA_M247.pdb     -247.203651 kBT
437dA_M278.pdb     -219.275723 kBT
437dA_M202.pdb     -237.766118 kBT
437dA_M375.pdb     -212.039091 kBT
437dA_M148.pdb     -216.885833 kBT
437dA_M24.pdb     -273.228833 kBT
437dA_M459.pdb     -209.180930 kBT
437dA_M164.pdb     -219.744964 kBT
437dA_M405.pdb     -192.408484 kBT
437dA_M233.pdb     -216.905546 kBT
437dA_M176.pdb     -241.769158 kBT
437dA_M334.pdb     -209.030201 kBT
437dA.pdb     -337.204732 kBT
437dA_M17.pdb     -279.738409 kBT
437dA_M457.pdb     -219.492330 kBT
437dA_M190.pdb     -204.630485 kBT
437dA_M14.pdb     -287.746601 kBT
437dA_M326.pdb     -216.420122 kBT
437dA_M147.pdb     -220.486030 kBT
437dA_M403.pdb     -244.323837 kBT
437dA_M69.pdb     -259.114682 kBT
437dA_M135.pdb     -242.843412 kBT
437dA_M448.pdb     -211.337757 kBT
437dA_M205.pdb     -224.036045 kBT
437dA_M378.pdb     -220.315151 kBT
437dA_M155.pdb     -245.085308 kBT
437dA_M37.pdb     -274.195633 kBT
437dA_M482.pdb     -206.830770 kBT
437dA_M415.pdb     -188.993598 kBT
437dA_M267.pdb     -224.815758 kBT
437dA_M112.pdb     -221.101241 kBT
437dA_M329.pdb     -225.497766 kBT
437dA_M13.pdb     -273.655915 kBT
437dA_M57.pdb     -250.050977 kBT
437dA_M424.pdb     -195.421937 kBT
437dA_M371.pdb     -188.144062 kBT
437dA_M33.pdb     -258.956616 kBT
437dA_M404.pdb     -196.928113 kBT
437dA_M6.pdb     -290.536588 kBT
437dA_M16.pdb     -273.817663 kBT
437dA_M3.pdb     -291.802211 kBT
437dA_M362.pdb     -203.271971 kBT
437dA_M91.pdb     -230.226018 kBT
437dA_M193.pdb     -234.083102 kBT
437dA_M251.pdb     -222.904253 kBT
437dA_M399.pdb     -213.638356 kBT
437dA_M299.pdb     -192.191358 kBT
437dA_M497.pdb     -208.608330 kBT
437dA_M95.pdb     -222.541782 kBT
437dA_M373.pdb     -202.435548 kBT
437dA_M450.pdb     -195.291874 kBT
437dA_M336.pdb     -223.101683 kBT
437dA_M26.pdb     -290.638799 kBT
437dA_M221.pdb     -235.915151 kBT
437dA_M67.pdb     -247.775342 kBT
437dA_M239.pdb     -200.320190 kBT
437dA_M150.pdb     -235.108377 kBT
437dA_M264.pdb     -233.933236 kBT
437dA_M463.pdb     -189.838447 kBT
437dA_M472.pdb     -226.936463 kBT
437dA_M254.pdb     -209.940482 kBT
437dA_M460.pdb     -195.534188 kBT
437dA_M92.pdb     -238.658673 kBT
437dA_M356.pdb     -243.728516 kBT
437dA_M225.pdb     -247.351714 kBT
437dA_M84.pdb     -253.801324 kBT
437dA_M322.pdb     -234.720203 kBT
437dA_M253.pdb     -267.730531 kBT
437dA_M420.pdb     -251.537888 kBT
437dA_M274.pdb     -189.001515 kBT
437dA_M110.pdb     -249.895807 kBT
437dA_M124.pdb     -218.175102 kBT
437dA_M209.pdb     -269.922924 kBT
437dA_M99.pdb     -257.799771 kBT
437dA_M260.pdb     -197.746478 kBT
437dA_M186.pdb     -225.720991 kBT
437dA_M78.pdb     -248.048322 kBT
437dA_M163.pdb     -198.199491 kBT
437dA_M353.pdb     -192.097135 kBT
437dA_M453.pdb     -216.629914 kBT
437dA_M284.pdb     -235.426455 kBT
437dA_M379.pdb     -222.646138 kBT
437dA_M294.pdb     -235.035420 kBT
437dA_M98.pdb     -268.706850 kBT
437dA_M82.pdb     -277.278301 kBT
437dA_M421.pdb     -209.950855 kBT
437dA_M211.pdb     -230.747535 kBT
437dA_M262.pdb     -206.963426 kBT
437dA_M47.pdb     -269.234812 kBT
437dA_M423.pdb     -180.172246 kBT
437dA_M261.pdb     -180.854334 kBT
437dA_M319.pdb     -180.539462 kBT
437dA_M324.pdb     -198.660162 kBT
437dA_M491.pdb     -250.022045 kBT
437dA_M301.pdb     -214.452205 kBT
437dA_M220.pdb     -244.357063 kBT
437dA_M429.pdb     -210.697860 kBT
437dA_M8.pdb     -297.505267 kBT
437dA_M56.pdb     -262.771980 kBT
437dA_M59.pdb     -257.344721 kBT
437dA_M368.pdb     -236.294147 kBT
437dA_M75.pdb     -206.818692 kBT
437dA_M206.pdb     -229.931199 kBT
437dA_M427.pdb     -159.599275 kBT
437dA_M392.pdb     -195.990740 kBT
437dA_M79.pdb     -254.028631 kBT
437dA_M219.pdb     -225.852304 kBT
437dA_M445.pdb     -204.999919 kBT
437dA_M128.pdb     -240.597937 kBT
437dA_M451.pdb     -192.751245 kBT
437dA_M270.pdb     -245.037714 kBT
437dA_M346.pdb     -220.133736 kBT
437dA_M89.pdb     -241.281848 kBT
437dA_M63.pdb     -237.415907 kBT
437dA_M454.pdb     -218.251573 kBT
437dA_M235.pdb     -229.911297 kBT
437dA_M499.pdb     -189.033809 kBT
437dA_M201.pdb     -233.895464 kBT
437dA_M197.pdb     -232.421405 kBT
437dA_M363.pdb     -194.473168 kBT
437dA_M452.pdb     -191.544963 kBT
437dA_M157.pdb     -245.147493 kBT
437dA_M439.pdb     -201.570661 kBT
437dA_M266.pdb     -224.085934 kBT
437dA_M281.pdb     -190.888043 kBT
437dA_M269.pdb     -217.346332 kBT
437dA_M327.pdb     -237.950634 kBT
437dA_M162.pdb     -252.294295 kBT
437dA_M367.pdb     -200.859170 kBT
437dA_M381.pdb     -173.555006 kBT
437dA_M443.pdb     -211.821957 kBT
437dA_M68.pdb     -244.817729 kBT
437dA_M125.pdb     -259.735598 kBT
437dA_M20.pdb     -277.011919 kBT
437dA_M137.pdb     -232.583800 kBT
437dA_M488.pdb     -206.932701 kBT
437dA_M401.pdb     -189.274435 kBT
437dA_M390.pdb     -205.890805 kBT
437dA_M66.pdb     -261.607592 kBT
437dA_M340.pdb     -212.734699 kBT
437dA_M87.pdb     -224.232710 kBT
437dA_M161.pdb     -207.633595 kBT
437dA_M455.pdb     -233.718312 kBT
437dA_M116.pdb     -242.028285 kBT
437dA_M391.pdb     -201.034511 kBT
437dA_M485.pdb     -204.042106 kBT
437dA_M149.pdb     -228.361880 kBT
437dA_M442.pdb     -236.502522 kBT
437dA_M244.pdb     -239.020577 kBT
437dA_M492.pdb     -209.492657 kBT
437dA_M136.pdb     -241.372333 kBT
437dA_M204.pdb     -214.073608 kBT
437dA_M369.pdb     -212.097882 kBT
437dA_M328.pdb     -232.697160 kBT
437dA_M422.pdb     -186.238674 kBT
437dA_M345.pdb     -219.513948 kBT
437dA_M471.pdb     -203.372443 kBT
437dA_M242.pdb     -215.351371 kBT
437dA_M53.pdb     -282.203640 kBT
437dA_M83.pdb     -221.539086 kBT
437dA_M152.pdb     -232.702208 kBT
437dA_M50.pdb     -288.185987 kBT
437dA_M76.pdb     -230.879745 kBT
437dA_M409.pdb     -240.582562 kBT
437dA_M144.pdb     -255.755366 kBT
437dA_M250.pdb     -235.149365 kBT
437dA_M458.pdb     -229.522760 kBT
437dA_M464.pdb     -167.504577 kBT
437dA_M86.pdb     -221.669500 kBT
437dA_M198.pdb     -222.233144 kBT
437dA_M331.pdb     -205.797899 kBT
437dA_M191.pdb     -240.549885 kBT
437dA_M263.pdb     -231.129639 kBT
437dA_M361.pdb     -211.104810 kBT
437dA_M158.pdb     -205.668626 kBT
437dA_M1.pdb     -303.063052 kBT
437dA_M300.pdb     -209.565561 kBT
437dA_M382.pdb     -203.808053 kBT
437dA_M88.pdb     -273.779257 kBT
437dA_M11.pdb     -289.740184 kBT
437dA_M41.pdb     -288.827180 kBT
437dA_M228.pdb     -235.011245 kBT
437dA_M339.pdb     -187.380448 kBT
437dA_M100.pdb     -255.509508 kBT
437dA_M192.pdb     -206.649950 kBT
437dA_M295.pdb     -246.386336 kBT
437dA_M42.pdb     -276.366040 kBT
437dA_M199.pdb     -230.708982 kBT
437dA_M230.pdb     -230.849344 kBT
437dA_M249.pdb     -227.374363 kBT
437dA_M462.pdb     -186.871699 kBT
437dA_M119.pdb     -246.718336 kBT
437dA_M257.pdb     -202.583756 kBT
437dA_M177.pdb     -222.754078 kBT
437dA_M398.pdb     -166.463220 kBT
437dA_M286.pdb     -219.626093 kBT
437dA_M277.pdb     -227.323851 kBT
437dA_M317.pdb     -200.467578 kBT
437dA_M19.pdb     -270.445957 kBT
437dA_M484.pdb     -177.087276 kBT
437dA_M385.pdb     -227.236286 kBT
437dA_M111.pdb     -256.378803 kBT
437dA_M203.pdb     -245.289740 kBT
437dA_M347.pdb     -214.014269 kBT
437dA_M364.pdb     -170.611406 kBT
437dA_M94.pdb     -248.052812 kBT
437dA_M231.pdb     -218.163101 kBT
437dA_M258.pdb     -204.175959 kBT
437dA_M208.pdb     -230.706076 kBT
437dA_M467.pdb     -216.796675 kBT
437dA_M350.pdb     -199.046068 kBT
437dA_M323.pdb     -213.889452 kBT
437dA_M279.pdb     -234.677556 kBT
437dA_M475.pdb     -211.209302 kBT
437dA_M436.pdb     -226.693378 kBT
437dA_M305.pdb     -194.062884 kBT
437dA_M302.pdb     -225.497040 kBT
437dA_M236.pdb     -211.015952 kBT
437dA_M166.pdb     -218.858857 kBT
437dA_M493.pdb     -235.097956 kBT
437dA_M413.pdb     -206.302665 kBT
437dA_M168.pdb     -226.424655 kBT
437dA_M48.pdb     -238.256926 kBT
437dA_M438.pdb     -180.918384 kBT
437dA_M117.pdb     -234.299658 kBT
437dA_M489.pdb     -199.382262 kBT
437dA_M383.pdb     -199.804464 kBT
437dA_M341.pdb     -223.202670 kBT
437dA_M447.pdb     -215.042235 kBT
437dA_M216.pdb     -199.609876 kBT
437dA_M169.pdb     -245.072549 kBT
437dA_M175.pdb     -224.016027 kBT
437dA_M129.pdb     -235.947665 kBT
437dA_M31.pdb     -264.788153 kBT
437dA_M151.pdb     -232.195374 kBT
437dA_M46.pdb     -272.262568 kBT
437dA_M483.pdb     -204.642485 kBT
437dA_M159.pdb     -210.704336 kBT
437dA_M106.pdb     -248.053912 kBT
437dA_M180.pdb     -230.939781 kBT
437dA_M388.pdb     -193.809701 kBT
437dA_M349.pdb     -167.364636 kBT
437dA_M476.pdb     -230.327773 kBT
437dA_M187.pdb     -228.192797 kBT
437dA_M138.pdb     -241.513350 kBT
437dA_M243.pdb     -222.090329 kBT
437dA_M60.pdb     -263.570053 kBT
437dA_M289.pdb     -184.029917 kBT
437dA_M181.pdb     -232.057800 kBT
437dA_M140.pdb     -247.353957 kBT
437dA_M179.pdb     -247.657889 kBT
437dA_M298.pdb     -192.456347 kBT
437dA_M45.pdb     -268.933126 kBT
437dA_M12.pdb     -292.945902 kBT
437dA_M440.pdb     -213.778238 kBT
437dA_M370.pdb     -224.058415 kBT
437dA_M171.pdb     -229.447297 kBT
437dA_M212.pdb     -199.538663 kBT
437dA_M432.pdb     -181.190484 kBT
437dA_M314.pdb     -203.633115 kBT
437dA_M71.pdb     -228.952814 kBT
437dA_M397.pdb     -208.517715 kBT
437dA_M387.pdb     -217.515728 kBT
437dA_M335.pdb     -215.472472 kBT
437dA_M7.pdb     -295.188962 kBT
437dA_M366.pdb     -195.999950 kBT
437dA_M34.pdb     -262.407751 kBT
437dA_M296.pdb     -210.662979 kBT
437dA_M321.pdb     -188.746753 kBT
437dA_M153.pdb     -255.403065 kBT
437dA_M224.pdb     -216.934704 kBT
437dA_M122.pdb     -222.659739 kBT
437dA_M337.pdb     -187.611682 kBT
437dA_M406.pdb     -155.901170 kBT
437dA_M114.pdb     -243.191763 kBT
437dA_M352.pdb     -228.023734 kBT
437dA_M446.pdb     -223.463256 kBT
437dA_M312.pdb     -205.863970 kBT
437dA_M306.pdb     -202.512821 kBT
437dA_M229.pdb     -199.668757 kBT
437dA_M434.pdb     -193.449054 kBT
437dA_M238.pdb     -225.119088 kBT
437dA_M303.pdb     -203.311381 kBT
437dA_M310.pdb     -187.343875 kBT
437dA_M348.pdb     -224.896243 kBT
437dA_M386.pdb     -214.121143 kBT
437dA_M308.pdb     -237.997788 kBT
437dA_M139.pdb     -263.587270 kBT
437dA_M496.pdb     -194.185300 kBT
437dA_M461.pdb     -192.568079 kBT
437dA_M62.pdb     -248.800223 kBT
437dA_M473.pdb     -197.907262 kBT
437dA_M437.pdb     -217.563297 kBT
437dA_M118.pdb     -225.110010 kBT
437dA_M131.pdb     -237.788348 kBT
437dA_M407.pdb     -207.457720 kBT
437dA_M160.pdb     -264.853966 kBT
437dA_M156.pdb     -229.963431 kBT
437dA_M40.pdb     -267.807189 kBT
437dA_M174.pdb     -200.590472 kBT
437dA_M416.pdb     -230.957109 kBT
437dA_M25.pdb     -267.128678 kBT
437dA_M479.pdb     -209.944229 kBT
437dA_M394.pdb     -205.942213 kBT
437dA_M468.pdb     -201.283935 kBT
437dA_M410.pdb     -248.612546 kBT
437dA_M343.pdb     -197.902646 kBT
437dA_M232.pdb     -204.512594 kBT
437dA_M36.pdb     -288.717562 kBT
437dA_M28.pdb     -256.765697 kBT
437dA_M486.pdb     -199.304821 kBT
437dA_M338.pdb     -155.698157 kBT
437dA_M217.pdb     -203.336799 kBT
437dA_M2.pdb     -293.610155 kBT
437dA_M167.pdb     -243.242223 kBT
437dA_M325.pdb     -216.272273 kBT
437dA_M469.pdb     -195.910717 kBT
437dA_M105.pdb     -262.863341 kBT
437dA_M282.pdb     -218.844916 kBT
437dA_M408.pdb     -224.755471 kBT
437dA_M481.pdb     -208.419822 kBT
437dA_M102.pdb     -248.638152 kBT
437dA_M227.pdb     -212.678512 kBT
437dA_M290.pdb     -201.738472 kBT
437dA_M293.pdb     -244.829344 kBT
437dA_M426.pdb     -200.290412 kBT
437dA_M74.pdb     -234.134468 kBT
437dA_M64.pdb     -246.814127 kBT
437dA_M333.pdb     -210.643006 kBT
437dA_M359.pdb     -237.666454 kBT
437dA_M196.pdb     -206.880866 kBT
437dA_M309.pdb     -187.655231 kBT
437dA_M444.pdb     -209.942704 kBT
437dA_M49.pdb     -267.950728 kBT
437dA_M396.pdb     -233.001187 kBT
437dA_M360.pdb     -185.796500 kBT
437dA_M215.pdb     -235.325435 kBT
437dA_M275.pdb     -238.432804 kBT
437dA_M272.pdb     -225.152042 kBT
437dA_M185.pdb     -232.409888 kBT
437dA_M210.pdb     -217.244507 kBT
437dA_M255.pdb     -202.957151 kBT
437dA_M183.pdb     -210.897124 kBT
437dA_M419.pdb     -226.229337 kBT
437dA_M108.pdb     -271.619614 kBT
437dA_M271.pdb     -251.450793 kBT
437dA_M18.pdb     -250.142194 kBT
437dA_M214.pdb     -216.297401 kBT
437dA_M245.pdb     -258.366381 kBT
437dA_M72.pdb     -225.771126 kBT
437dA_M411.pdb     -214.318044 kBT
437dA_M280.pdb     -205.194630 kBT
437dA_M402.pdb     -163.124813 kBT
437dA_M477.pdb     -196.521791 kBT
437dA_M357.pdb     -222.567212 kBT
437dA_M395.pdb     -199.914873 kBT
437dA_M285.pdb     -221.838331 kBT
437dA_M248.pdb     -232.503178 kBT
437dA_M81.pdb     -231.514613 kBT
437dA_M195.pdb     -221.970189 kBT
437dA_M332.pdb     -233.894295 kBT
437dA_M241.pdb     -237.383467 kBT
437dA_M384.pdb     -178.606586 kBT
437dA_M170.pdb     -260.009911 kBT
437dA_M330.pdb     -218.673914 kBT
437dA_M376.pdb     -210.691595 kBT
437dA_M10.pdb     -287.326337 kBT
437dA_M430.pdb     -204.098070 kBT
437dA_M276.pdb     -193.832686 kBT
437dA_M268.pdb     -228.896499 kBT
437dA_M365.pdb     -212.128165 kBT
437dA_M222.pdb     -215.425532 kBT
437dA_M120.pdb     -245.539270 kBT
437dA_M54.pdb     -260.550504 kBT
437dA_M318.pdb     -222.151461 kBT
437dA_M189.pdb     -226.517044 kBT
437dA_M9.pdb     -272.138310 kBT
437dA_M29.pdb     -271.542204 kBT
437dA_M474.pdb     -233.429490 kBT
437dA_M90.pdb     -237.605305 kBT
437dA_M213.pdb     -214.934716 kBT
437dA_M178.pdb     -218.422162 kBT
437dA_M389.pdb     -233.026608 kBT
