1serT_M203.pdb     -239.073055 kBT
1serT_M441.pdb     -187.733592 kBT
1serT_M499.pdb     -159.875781 kBT
1serT_M4.pdb     -318.936953 kBT
1serT_M263.pdb     -230.328772 kBT
1serT_M83.pdb     -242.772664 kBT
1serT_M257.pdb     -220.771916 kBT
1serT_M29.pdb     -282.776930 kBT
1serT_M66.pdb     -261.798706 kBT
1serT_M39.pdb     -288.553177 kBT
1serT_M218.pdb     -218.278240 kBT
1serT_M461.pdb     -229.421867 kBT
1serT_M425.pdb     -222.692787 kBT
1serT_M290.pdb     -203.081911 kBT
1serT_M389.pdb     -173.412451 kBT
1serT_M124.pdb     -290.662639 kBT
1serT_M148.pdb     -217.694945 kBT
1serT_M219.pdb     -224.152347 kBT
1serT_M297.pdb     -206.034332 kBT
1serT_M318.pdb     -181.474482 kBT
1serT_M200.pdb     -206.956688 kBT
1serT_M34.pdb     -266.095910 kBT
1serT_M459.pdb     -180.129479 kBT
1serT_M182.pdb     -198.249619 kBT
1serT_M454.pdb     -212.834390 kBT
1serT_M497.pdb     -174.824577 kBT
1serT_M187.pdb     -193.666198 kBT
1serT_M105.pdb     -228.271495 kBT
1serT_M343.pdb     -204.801124 kBT
1serT_M87.pdb     -288.420967 kBT
1serT_M176.pdb     -208.551100 kBT
1serT_M254.pdb     -248.031229 kBT
1serT_M332.pdb     -209.292192 kBT
1serT_M278.pdb     -212.125931 kBT
1serT_M65.pdb     -293.369007 kBT
1serT_M159.pdb     -226.891762 kBT
1serT_M500.pdb     -177.421165 kBT
1serT_M95.pdb     -267.660194 kBT
1serT_M384.pdb     -220.428996 kBT
1serT_M341.pdb     -203.690242 kBT
1serT_M298.pdb     -219.098523 kBT
1serT_M116.pdb     -251.977243 kBT
1serT_M210.pdb     -224.479939 kBT
1serT_M271.pdb     -248.731961 kBT
1serT_M220.pdb     -223.880202 kBT
1serT_M422.pdb     -188.047649 kBT
1serT_M43.pdb     -269.759914 kBT
1serT_M104.pdb     -225.351901 kBT
1serT_M198.pdb     -205.092778 kBT
1serT_M320.pdb     -267.090558 kBT
1serT_M473.pdb     -243.971404 kBT
1serT_M403.pdb     -176.404682 kBT
1serT_M351.pdb     -184.219903 kBT
1serT_M103.pdb     -226.079245 kBT
1serT_M311.pdb     -175.176576 kBT
1serT_M475.pdb     -212.824409 kBT
1serT_M141.pdb     -239.612888 kBT
1serT_M32.pdb     -286.941590 kBT
1serT_M346.pdb     -187.260444 kBT
1serT_M212.pdb     -202.228898 kBT
1serT_M291.pdb     -200.601030 kBT
1serT_M364.pdb     -189.080197 kBT
1serT_M352.pdb     -168.599681 kBT
1serT_M381.pdb     -202.088161 kBT
1serT_M495.pdb     -175.163802 kBT
1serT_M424.pdb     -191.077960 kBT
1serT_M173.pdb     -218.689094 kBT
1serT_M330.pdb     -172.637689 kBT
1serT_M135.pdb     -232.685781 kBT
1serT_M145.pdb     -265.959112 kBT
1serT_M317.pdb     -235.871776 kBT
1serT_M340.pdb     -243.898641 kBT
1serT_M15.pdb     -283.411227 kBT
1serT_M1.pdb     -300.539670 kBT
1serT_M167.pdb     -222.951494 kBT
1serT_M306.pdb     -160.782217 kBT
1serT_M215.pdb     -232.444307 kBT
1serT_M23.pdb     -285.646688 kBT
1serT_M408.pdb     -220.517052 kBT
1serT_M301.pdb     -236.763885 kBT
1serT_M308.pdb     -220.585428 kBT
1serT_M240.pdb     -202.480020 kBT
1serT_M450.pdb     -218.931479 kBT
1serT_M36.pdb     -273.540037 kBT
1serT_M484.pdb     -237.752860 kBT
1serT_M47.pdb     -284.253829 kBT
1serT_M494.pdb     -190.385305 kBT
1serT.pdb     -594.240047 kBT
1serT_M80.pdb     -243.774275 kBT
1serT_M288.pdb     -224.353212 kBT
1serT_M227.pdb     -190.653056 kBT
1serT_M112.pdb     -257.258056 kBT
1serT_M344.pdb     -202.646749 kBT
1serT_M266.pdb     -215.258668 kBT
1serT_M382.pdb     -175.397353 kBT
1serT_M496.pdb     -157.245292 kBT
1serT_M12.pdb     -318.233184 kBT
1serT_M439.pdb     -198.279809 kBT
1serT_M283.pdb     -232.230219 kBT
1serT_M134.pdb     -250.827373 kBT
1serT_M323.pdb     -192.140284 kBT
1serT_M310.pdb     -188.086124 kBT
1serT_M74.pdb     -241.885540 kBT
1serT_M138.pdb     -237.919569 kBT
1serT_M162.pdb     -258.241712 kBT
1serT_M94.pdb     -270.610821 kBT
1serT_M393.pdb     -187.263810 kBT
1serT_M356.pdb     -224.617056 kBT
1serT_M6.pdb     -298.451103 kBT
1serT_M347.pdb     -169.098485 kBT
1serT_M45.pdb     -233.872383 kBT
1serT_M68.pdb     -241.183016 kBT
1serT_M81.pdb     -244.280957 kBT
1serT_M60.pdb     -273.610545 kBT
1serT_M412.pdb     -179.224318 kBT
1serT_M292.pdb     -211.046323 kBT
1serT_M11.pdb     -308.389431 kBT
1serT_M129.pdb     -240.986096 kBT
1serT_M345.pdb     -162.714450 kBT
1serT_M307.pdb     -180.973799 kBT
1serT_M431.pdb     -177.469723 kBT
1serT_M171.pdb     -225.436222 kBT
1serT_M437.pdb     -168.481813 kBT
1serT_M64.pdb     -267.715928 kBT
1serT_M63.pdb     -284.226000 kBT
1serT_M470.pdb     -222.324772 kBT
1serT_M486.pdb     -186.944288 kBT
1serT_M423.pdb     -206.951394 kBT
1serT_M472.pdb     -190.992781 kBT
1serT_M359.pdb     -169.859538 kBT
1serT_M73.pdb     -270.385487 kBT
1serT_M492.pdb     -152.755808 kBT
1serT_M468.pdb     -209.965300 kBT
1serT_M221.pdb     -248.573743 kBT
1serT_M48.pdb     -287.646303 kBT
1serT_M453.pdb     -172.717892 kBT
1serT_M41.pdb     -281.340335 kBT
1serT_M109.pdb     -225.282965 kBT
1serT_M241.pdb     -236.080411 kBT
1serT_M233.pdb     -237.712427 kBT
1serT_M483.pdb     -237.029825 kBT
1serT_M414.pdb     -188.066798 kBT
1serT_M357.pdb     -186.680650 kBT
1serT_M150.pdb     -256.893247 kBT
1serT_M19.pdb     -289.794501 kBT
1serT_M107.pdb     -250.184020 kBT
1serT_M183.pdb     -200.904111 kBT
1serT_M119.pdb     -236.793862 kBT
1serT_M21.pdb     -287.723758 kBT
1serT_M476.pdb     -233.548677 kBT
1serT_M201.pdb     -232.013424 kBT
1serT_M435.pdb     -249.210319 kBT
1serT_M487.pdb     -188.432081 kBT
1serT_M284.pdb     -266.578156 kBT
1serT_M335.pdb     -230.874439 kBT
1serT_M410.pdb     -171.049279 kBT
1serT_M368.pdb     -181.838060 kBT
1serT_M404.pdb     -192.378107 kBT
1serT_M388.pdb     -199.506651 kBT
1serT_M488.pdb     -219.241461 kBT
1serT_M216.pdb     -196.408847 kBT
1serT_M30.pdb     -258.461922 kBT
1serT_M390.pdb     -231.141589 kBT
1serT_M158.pdb     -233.294696 kBT
1serT_M275.pdb     -226.146784 kBT
1serT_M417.pdb     -153.127624 kBT
1serT_M383.pdb     -191.849697 kBT
1serT_M360.pdb     -193.823376 kBT
1serT_M287.pdb     -182.703640 kBT
1serT_M477.pdb     -200.598112 kBT
1serT_M179.pdb     -205.389309 kBT
1serT_M130.pdb     -223.619710 kBT
1serT_M160.pdb     -233.054599 kBT
1serT_M197.pdb     -214.794670 kBT
1serT_M196.pdb     -222.420866 kBT
1serT_M253.pdb     -201.122006 kBT
1serT_M498.pdb     -206.944150 kBT
1serT_M44.pdb     -291.899063 kBT
1serT_M350.pdb     -210.339987 kBT
1serT_M3.pdb     -321.638639 kBT
1serT_M7.pdb     -296.157651 kBT
1serT_M300.pdb     -215.884752 kBT
1serT_M377.pdb     -225.477730 kBT
1serT_M331.pdb     -208.559669 kBT
1serT_M166.pdb     -237.971171 kBT
1serT_M165.pdb     -253.246561 kBT
1serT_M436.pdb     -184.788053 kBT
1serT_M277.pdb     -232.130033 kBT
1serT_M265.pdb     -184.880654 kBT
1serT_M229.pdb     -226.466672 kBT
1serT_M252.pdb     -214.888576 kBT
1serT_M178.pdb     -242.957583 kBT
1serT_M31.pdb     -257.945928 kBT
1serT_M28.pdb     -289.589763 kBT
1serT_M181.pdb     -234.489576 kBT
1serT_M353.pdb     -218.021623 kBT
1serT_M269.pdb     -204.991835 kBT
1serT_M421.pdb     -160.421450 kBT
1serT_M282.pdb     -245.888540 kBT
1serT_M456.pdb     -160.955428 kBT
1serT_M59.pdb     -265.815389 kBT
1serT_M77.pdb     -263.203730 kBT
1serT_M264.pdb     -227.085602 kBT
1serT_M369.pdb     -250.731480 kBT
1serT_M133.pdb     -204.126050 kBT
1serT_M324.pdb     -169.324321 kBT
1serT_M433.pdb     -203.845120 kBT
1serT_M429.pdb     -194.505513 kBT
1serT_M108.pdb     -230.651004 kBT
1serT_M334.pdb     -253.046498 kBT
1serT_M5.pdb     -307.921678 kBT
1serT_M416.pdb     -226.681690 kBT
1serT_M296.pdb     -211.675086 kBT
1serT_M222.pdb     -237.446485 kBT
1serT_M270.pdb     -215.083244 kBT
1serT_M155.pdb     -237.655992 kBT
1serT_M157.pdb     -242.935699 kBT
1serT_M248.pdb     -179.147884 kBT
1serT_M147.pdb     -243.273315 kBT
1serT_M98.pdb     -266.475437 kBT
1serT_M474.pdb     -189.303378 kBT
1serT_M225.pdb     -215.421743 kBT
1serT_M195.pdb     -215.887081 kBT
1serT_M479.pdb     -175.440538 kBT
1serT_M256.pdb     -204.263096 kBT
1serT_M100.pdb     -257.852293 kBT
1serT_M402.pdb     -170.552122 kBT
1serT_M440.pdb     -245.920294 kBT
1serT_M235.pdb     -194.476034 kBT
1serT_M149.pdb     -277.264502 kBT
1serT_M391.pdb     -215.556309 kBT
1serT_M61.pdb     -235.258381 kBT
1serT_M97.pdb     -212.802871 kBT
1serT_M49.pdb     -271.289136 kBT
1serT_M192.pdb     -204.638289 kBT
1serT_M14.pdb     -298.860859 kBT
1serT_M142.pdb     -187.692812 kBT
1serT_M326.pdb     -239.055933 kBT
1serT_M490.pdb     -181.612414 kBT
1serT_M72.pdb     -226.749801 kBT
1serT_M69.pdb     -254.880831 kBT
1serT_M415.pdb     -214.720645 kBT
1serT_M190.pdb     -202.828762 kBT
1serT_M304.pdb     -222.813070 kBT
1serT_M455.pdb     -181.913117 kBT
1serT_M428.pdb     -229.131323 kBT
1serT_M481.pdb     -210.047811 kBT
1serT_M319.pdb     -210.863896 kBT
1serT_M152.pdb     -229.708934 kBT
1serT_M322.pdb     -184.502405 kBT
1serT_M443.pdb     -214.851904 kBT
1serT_M163.pdb     -229.355670 kBT
1serT_M99.pdb     -238.355031 kBT
1serT_M146.pdb     -174.123910 kBT
1serT_M126.pdb     -204.058627 kBT
1serT_M186.pdb     -242.656902 kBT
1serT_M120.pdb     -238.528504 kBT
1serT_M272.pdb     -223.950701 kBT
1serT_M199.pdb     -249.877673 kBT
1serT_M35.pdb     -263.299718 kBT
1serT_M137.pdb     -211.448585 kBT
1serT_M169.pdb     -237.308848 kBT
1serT_M285.pdb     -194.155671 kBT
1serT_M128.pdb     -190.098606 kBT
1serT_M361.pdb     -208.241847 kBT
1serT_M295.pdb     -236.937805 kBT
1serT_M67.pdb     -227.821473 kBT
1serT_M101.pdb     -237.250997 kBT
1serT_M386.pdb     -204.477974 kBT
1serT_M82.pdb     -239.192311 kBT
1serT_M249.pdb     -224.142842 kBT
1serT_M259.pdb     -239.516728 kBT
1serT_M90.pdb     -256.246480 kBT
1serT_M427.pdb     -198.660273 kBT
1serT_M13.pdb     -305.365174 kBT
1serT_M379.pdb     -188.993059 kBT
1serT_M448.pdb     -198.140646 kBT
1serT_M302.pdb     -204.053734 kBT
1serT_M89.pdb     -248.327618 kBT
1serT_M299.pdb     -225.232939 kBT
1serT_M467.pdb     -145.066271 kBT
1serT_M131.pdb     -261.228166 kBT
1serT_M164.pdb     -271.724468 kBT
1serT_M217.pdb     -226.180865 kBT
1serT_M57.pdb     -269.171471 kBT
1serT_M114.pdb     -248.513711 kBT
1serT_M236.pdb     -240.060828 kBT
1serT_M193.pdb     -258.332285 kBT
1serT_M274.pdb     -215.788158 kBT
1serT_M280.pdb     -190.372471 kBT
1serT_M309.pdb     -244.721303 kBT
1serT_M180.pdb     -213.628726 kBT
1serT_M53.pdb     -262.959738 kBT
1serT_M92.pdb     -238.998208 kBT
1serT_M407.pdb     -198.077368 kBT
1serT_M189.pdb     -232.242714 kBT
1serT_M247.pdb     -216.900381 kBT
1serT_M8.pdb     -303.845165 kBT
1serT_M140.pdb     -231.783420 kBT
1serT_M151.pdb     -242.313939 kBT
1serT_M315.pdb     -216.326783 kBT
1serT_M46.pdb     -245.382600 kBT
1serT_M208.pdb     -215.638202 kBT
1serT_M339.pdb     -213.990052 kBT
1serT_M262.pdb     -219.031239 kBT
1serT_M234.pdb     -232.615397 kBT
1serT_M238.pdb     -180.696231 kBT
1serT_M471.pdb     -205.721518 kBT
1serT_M286.pdb     -236.931792 kBT
1serT_M143.pdb     -256.072805 kBT
1serT_M444.pdb     -182.881894 kBT
1serT_M226.pdb     -206.709395 kBT
1serT_M374.pdb     -203.697077 kBT
1serT_M406.pdb     -202.709767 kBT
1serT_M370.pdb     -173.179750 kBT
1serT_M452.pdb     -194.322557 kBT
1serT_M400.pdb     -200.350628 kBT
1serT_M71.pdb     -276.681479 kBT
1serT_M223.pdb     -239.335122 kBT
1serT_M348.pdb     -206.845519 kBT
1serT_M230.pdb     -208.616990 kBT
1serT_M276.pdb     -205.621186 kBT
1serT_M202.pdb     -220.147909 kBT
1serT_M372.pdb     -191.153094 kBT
1serT_M378.pdb     -208.084413 kBT
1serT_M281.pdb     -167.042199 kBT
1serT_M243.pdb     -196.648026 kBT
1serT_M294.pdb     -226.794344 kBT
1serT_M79.pdb     -225.711596 kBT
1serT_M122.pdb     -220.539498 kBT
1serT_M33.pdb     -271.047902 kBT
1serT_M213.pdb     -191.161633 kBT
1serT_M58.pdb     -240.843650 kBT
1serT_M447.pdb     -201.713878 kBT
1serT_M451.pdb     -150.629594 kBT
1serT_M313.pdb     -211.914610 kBT
1serT_M267.pdb     -241.503811 kBT
1serT_M76.pdb     -269.450015 kBT
1serT_M273.pdb     -248.613416 kBT
1serT_M401.pdb     -252.200793 kBT
1serT_M375.pdb     -199.745183 kBT
1serT_M411.pdb     -209.095450 kBT
1serT_M446.pdb     -209.829565 kBT
1serT_M231.pdb     -188.863735 kBT
1serT_M426.pdb     -189.942827 kBT
1serT_M462.pdb     -186.272671 kBT
1serT_M188.pdb     -281.938496 kBT
1serT_M184.pdb     -225.986091 kBT
1serT_M385.pdb     -182.417058 kBT
1serT_M255.pdb     -224.515480 kBT
1serT_M397.pdb     -199.828606 kBT
1serT_M373.pdb     -197.985728 kBT
1serT_M337.pdb     -245.328421 kBT
1serT_M250.pdb     -233.122958 kBT
1serT_M398.pdb     -182.926644 kBT
1serT_M172.pdb     -256.643943 kBT
1serT_M27.pdb     -245.910214 kBT
1serT_M177.pdb     -208.954602 kBT
1serT_M207.pdb     -239.605660 kBT
1serT_M260.pdb     -216.338053 kBT
1serT_M136.pdb     -235.971770 kBT
1serT_M363.pdb     -217.709797 kBT
1serT_M174.pdb     -239.560423 kBT
1serT_M55.pdb     -239.523487 kBT
1serT_M244.pdb     -211.459139 kBT
1serT_M399.pdb     -181.368128 kBT
