1fg0A_M208.pdb     -1756.334965 kBT
1fg0A_M331.pdb     -1763.633110 kBT
1fg0A_M358.pdb     -1810.448380 kBT
1fg0A_M46.pdb     -2002.171103 kBT
1fg0A_M407.pdb     -1828.636721 kBT
1fg0A_M103.pdb     -1886.240604 kBT
1fg0A_M159.pdb     -1904.099560 kBT
1fg0A_M204.pdb     -1854.118264 kBT
1fg0A_M347.pdb     -1728.009447 kBT
1fg0A_M395.pdb     -1800.745404 kBT
1fg0A_M70.pdb     -1957.575293 kBT
1fg0A_M196.pdb     -1776.932115 kBT
1fg0A_M38.pdb     -2111.635957 kBT
1fg0A_M149.pdb     -1875.792568 kBT
1fg0A_M26.pdb     -2129.096551 kBT
1fg0A_M55.pdb     -2048.212149 kBT
1fg0A_M300.pdb     -1728.899731 kBT
1fg0A_M414.pdb     -1807.440476 kBT
1fg0A_M365.pdb     -1661.482572 kBT
1fg0A_M246.pdb     -1770.395958 kBT
1fg0A_M391.pdb     -1690.382743 kBT
1fg0A_M128.pdb     -1835.277121 kBT
1fg0A_M74.pdb     -1922.101483 kBT
1fg0A_M96.pdb     -1885.374050 kBT
1fg0A_M22.pdb     -2220.266461 kBT
1fg0A_M2.pdb     -2239.867339 kBT
1fg0A_M221.pdb     -1665.760026 kBT
1fg0A_M53.pdb     -1990.181528 kBT
1fg0A_M172.pdb     -1789.233804 kBT
1fg0A_M24.pdb     -2218.971043 kBT
1fg0A_M437.pdb     -1749.356183 kBT
1fg0A_M429.pdb     -1666.244047 kBT
1fg0A_M462.pdb     -1735.396172 kBT
1fg0A_M182.pdb     -1960.282978 kBT
1fg0A_M19.pdb     -2179.561698 kBT
1fg0A_M71.pdb     -1870.574375 kBT
1fg0A_M248.pdb     -1748.110458 kBT
1fg0A_M325.pdb     -1729.400163 kBT
1fg0A_M362.pdb     -1691.402166 kBT
1fg0A_M299.pdb     -1727.897369 kBT
1fg0A_M84.pdb     -1909.127283 kBT
1fg0A_M287.pdb     -1812.169370 kBT
1fg0A_M47.pdb     -1973.510823 kBT
1fg0A_M489.pdb     -1726.153884 kBT
1fg0A_M237.pdb     -1784.509775 kBT
1fg0A_M125.pdb     -1919.704816 kBT
1fg0A_M336.pdb     -1701.990117 kBT
1fg0A_M402.pdb     -1821.967821 kBT
1fg0A_M480.pdb     -1681.838269 kBT
1fg0A_M266.pdb     -1795.314197 kBT
1fg0A_M180.pdb     -1770.346941 kBT
1fg0A_M382.pdb     -1783.801124 kBT
1fg0A_M370.pdb     -1681.561394 kBT
1fg0A_M272.pdb     -1755.483838 kBT
1fg0A_M102.pdb     -1922.411849 kBT
1fg0A_M458.pdb     -1731.941284 kBT
1fg0A_M37.pdb     -2146.626817 kBT
1fg0A_M322.pdb     -1809.371096 kBT
1fg0A_M160.pdb     -1798.988947 kBT
1fg0A_M42.pdb     -2042.821761 kBT
1fg0A_M482.pdb     -1678.605023 kBT
1fg0A_M29.pdb     -2107.552363 kBT
1fg0A_M440.pdb     -1685.391115 kBT
1fg0A_M223.pdb     -1848.650812 kBT
1fg0A_M9.pdb     -2274.466421 kBT
1fg0A_M16.pdb     -2219.713429 kBT
1fg0A_M173.pdb     -1790.641138 kBT
1fg0A_M333.pdb     -1741.570710 kBT
1fg0A_M473.pdb     -1674.138720 kBT
1fg0A_M305.pdb     -1663.042652 kBT
1fg0A_M5.pdb     -2250.745385 kBT
1fg0A_M36.pdb     -2068.037261 kBT
1fg0A_M321.pdb     -1787.516860 kBT
1fg0A_M195.pdb     -1797.182738 kBT
1fg0A_M467.pdb     -1705.800604 kBT
1fg0A_M122.pdb     -1891.324494 kBT
1fg0A_M439.pdb     -1650.440781 kBT
1fg0A_M67.pdb     -2016.933771 kBT
1fg0A_M27.pdb     -2126.030727 kBT
1fg0A_M453.pdb     -1712.063338 kBT
1fg0A_M323.pdb     -1751.344037 kBT
1fg0A_M45.pdb     -2113.467790 kBT
1fg0A_M85.pdb     -1873.816411 kBT
1fg0A_M186.pdb     -1778.506168 kBT
1fg0A_M134.pdb     -1879.686977 kBT
1fg0A_M316.pdb     -1815.001255 kBT
1fg0A_M291.pdb     -1767.034227 kBT
1fg0A_M81.pdb     -1972.432335 kBT
1fg0A_M111.pdb     -1927.576297 kBT
1fg0A_M403.pdb     -1707.101136 kBT
1fg0A_M150.pdb     -1876.087427 kBT
1fg0A_M318.pdb     -1726.736839 kBT
1fg0A_M488.pdb     -1663.387819 kBT
1fg0A_M457.pdb     -1684.214130 kBT
1fg0A_M308.pdb     -1797.989537 kBT
1fg0A_M101.pdb     -1990.567093 kBT
1fg0A_M17.pdb     -2244.122793 kBT
1fg0A_M406.pdb     -1667.370712 kBT
1fg0A_M339.pdb     -1721.067142 kBT
1fg0A_M39.pdb     -2130.948238 kBT
1fg0A_M201.pdb     -1790.121156 kBT
1fg0A_M293.pdb     -1786.029340 kBT
1fg0A_M212.pdb     -1713.484833 kBT
1fg0A_M178.pdb     -1867.477490 kBT
1fg0A_M307.pdb     -1799.063829 kBT
1fg0A_M256.pdb     -1813.491464 kBT
1fg0A_M43.pdb     -2079.714954 kBT
1fg0A_M25.pdb     -2155.466268 kBT
1fg0A_M315.pdb     -1668.044390 kBT
1fg0A_M332.pdb     -1753.723726 kBT
1fg0A_M319.pdb     -1744.102557 kBT
1fg0A_M303.pdb     -1848.460965 kBT
1fg0A_M477.pdb     -1710.402166 kBT
1fg0A_M153.pdb     -1749.453123 kBT
1fg0A_M11.pdb     -2257.660550 kBT
1fg0A_M385.pdb     -1736.100946 kBT
1fg0A_M335.pdb     -1755.272936 kBT
1fg0A_M114.pdb     -1874.697344 kBT
1fg0A_M418.pdb     -1690.184751 kBT
1fg0A_M470.pdb     -1757.368406 kBT
1fg0A_M32.pdb     -2140.390344 kBT
1fg0A_M214.pdb     -1888.785664 kBT
1fg0A_M289.pdb     -1837.485879 kBT
1fg0A_M465.pdb     -1648.167686 kBT
1fg0A_M151.pdb     -1888.335468 kBT
1fg0A_M60.pdb     -2022.542827 kBT
1fg0A_M464.pdb     -1631.072104 kBT
1fg0A_M116.pdb     -1848.297455 kBT
1fg0A_M105.pdb     -1883.236790 kBT
1fg0A_M88.pdb     -2010.737859 kBT
1fg0A_M313.pdb     -1682.245295 kBT
1fg0A_M185.pdb     -1800.557483 kBT
1fg0A_M383.pdb     -1717.874683 kBT
1fg0A_M205.pdb     -1646.513561 kBT
1fg0A_M207.pdb     -1775.485784 kBT
1fg0A_M310.pdb     -1696.745677 kBT
1fg0A_M417.pdb     -1692.243714 kBT
1fg0A_M136.pdb     -1853.132528 kBT
1fg0A_M176.pdb     -1888.129151 kBT
1fg0A_M356.pdb     -1722.833338 kBT
1fg0A_M58.pdb     -1927.429448 kBT
1fg0A_M243.pdb     -1774.374531 kBT
1fg0A_M296.pdb     -1712.479666 kBT
1fg0A_M234.pdb     -1793.827582 kBT
1fg0A_M77.pdb     -1883.134200 kBT
1fg0A_M251.pdb     -1753.816789 kBT
1fg0A_M141.pdb     -1822.861493 kBT
1fg0A_M147.pdb     -1810.429789 kBT
1fg0A_M329.pdb     -1688.139459 kBT
1fg0A_M206.pdb     -1825.180673 kBT
1fg0A_M419.pdb     -1818.706900 kBT
1fg0A_M278.pdb     -1722.423165 kBT
1fg0A_M369.pdb     -1714.025332 kBT
1fg0A_M21.pdb     -2176.774310 kBT
1fg0A_M263.pdb     -1795.535160 kBT
1fg0A_M106.pdb     -1908.624978 kBT
1fg0A_M274.pdb     -1870.806279 kBT
1fg0A_M267.pdb     -1773.744891 kBT
1fg0A_M222.pdb     -1836.104592 kBT
1fg0A_M371.pdb     -1715.476858 kBT
1fg0A_M127.pdb     -1868.547365 kBT
1fg0A_M35.pdb     -2105.575978 kBT
1fg0A_M399.pdb     -1838.034852 kBT
1fg0A_M86.pdb     -1955.856409 kBT
1fg0A_M454.pdb     -1740.431305 kBT
1fg0A_M330.pdb     -1751.459747 kBT
1fg0A_M378.pdb     -1793.422296 kBT
1fg0A_M306.pdb     -1727.562933 kBT
1fg0A_M494.pdb     -1615.213990 kBT
1fg0A_M18.pdb     -2241.903604 kBT
1fg0A_M479.pdb     -1796.547655 kBT
1fg0A_M474.pdb     -1618.882394 kBT
1fg0A_M481.pdb     -1713.533966 kBT
1fg0A_M264.pdb     -1769.503362 kBT
1fg0A_M6.pdb     -2264.690928 kBT
1fg0A_M179.pdb     -1823.486663 kBT
1fg0A_M466.pdb     -1617.111165 kBT
1fg0A_M346.pdb     -1698.603065 kBT
1fg0A_M23.pdb     -2146.845300 kBT
1fg0A_M121.pdb     -1818.259057 kBT
1fg0A_M40.pdb     -2077.223768 kBT
1fg0A_M478.pdb     -1748.779919 kBT
1fg0A_M229.pdb     -1852.814708 kBT
1fg0A_M379.pdb     -1706.557285 kBT
1fg0A_M110.pdb     -1934.864538 kBT
1fg0A_M456.pdb     -1762.249474 kBT
1fg0A_M79.pdb     -2018.776928 kBT
1fg0A_M290.pdb     -1748.493173 kBT
1fg0A_M132.pdb     -1814.509582 kBT
1fg0A_M416.pdb     -1629.130379 kBT
1fg0A_M218.pdb     -1774.469011 kBT
1fg0A_M118.pdb     -1911.884415 kBT
1fg0A_M30.pdb     -2097.834334 kBT
1fg0A_M93.pdb     -1958.833360 kBT
1fg0A_M135.pdb     -1870.837964 kBT
1fg0A_M271.pdb     -1798.201294 kBT
1fg0A_M312.pdb     -1733.301883 kBT
1fg0A_M317.pdb     -1749.462219 kBT
1fg0A_M148.pdb     -1819.573488 kBT
1fg0A_M225.pdb     -1903.952871 kBT
1fg0A_M72.pdb     -2036.362100 kBT
1fg0A_M90.pdb     -1956.951936 kBT
1fg0A_M130.pdb     -1813.095833 kBT
1fg0A_M411.pdb     -1744.002263 kBT
1fg0A_M232.pdb     -1751.658764 kBT
1fg0A_M345.pdb     -1769.772734 kBT
1fg0A_M334.pdb     -1745.254459 kBT
1fg0A_M166.pdb     -1703.727488 kBT
1fg0A_M78.pdb     -1867.977768 kBT
1fg0A_M490.pdb     -1778.735195 kBT
1fg0A_M387.pdb     -1731.962943 kBT
1fg0A_M286.pdb     -1723.478990 kBT
1fg0A_M155.pdb     -1862.192217 kBT
1fg0A_M384.pdb     -1739.852999 kBT
1fg0A_M376.pdb     -1727.065984 kBT
1fg0A_M344.pdb     -1670.076579 kBT
1fg0A_M449.pdb     -1760.908354 kBT
1fg0A_M62.pdb     -2038.187856 kBT
1fg0A_M374.pdb     -1766.836713 kBT
1fg0A_M273.pdb     -1770.452465 kBT
1fg0A_M327.pdb     -1817.316387 kBT
1fg0A_M177.pdb     -1845.103165 kBT
1fg0A_M91.pdb     -1889.073611 kBT
1fg0A_M314.pdb     -1758.847145 kBT
1fg0A_M202.pdb     -1824.768063 kBT
1fg0A_M161.pdb     -1803.400052 kBT
1fg0A_M451.pdb     -1788.023414 kBT
1fg0A_M171.pdb     -1758.316685 kBT
1fg0A_M301.pdb     -1724.100089 kBT
1fg0A_M68.pdb     -1990.771837 kBT
1fg0A_M119.pdb     -1887.951246 kBT
1fg0A_M238.pdb     -1774.204411 kBT
1fg0A_M123.pdb     -1860.931082 kBT
1fg0A_M20.pdb     -2172.979794 kBT
1fg0A_M200.pdb     -1869.909884 kBT
1fg0A_M295.pdb     -1759.124796 kBT
1fg0A_M404.pdb     -1754.008986 kBT
1fg0A_M76.pdb     -1914.019666 kBT
1fg0A_M447.pdb     -1704.105709 kBT
1fg0A_M231.pdb     -1662.177672 kBT
1fg0A_M211.pdb     -1767.577095 kBT
1fg0A_M297.pdb     -1735.225122 kBT
1fg0A_M97.pdb     -1919.700059 kBT
1fg0A_M95.pdb     -1932.854798 kBT
1fg0A_M133.pdb     -1869.270391 kBT
1fg0A_M388.pdb     -1720.389567 kBT
1fg0A_M353.pdb     -1812.816952 kBT
1fg0A_M392.pdb     -1756.738494 kBT
1fg0A_M342.pdb     -1661.074705 kBT
1fg0A_M140.pdb     -1902.256764 kBT
1fg0A_M28.pdb     -2065.788403 kBT
1fg0A_M421.pdb     -1776.226733 kBT
1fg0A_M158.pdb     -1761.707401 kBT
1fg0A_M493.pdb     -1727.291241 kBT
