1rlgD_M374.pdb     -143.037374 kBT
1rlgD_M463.pdb     -140.687083 kBT
1rlgD_M318.pdb     -133.073661 kBT
1rlgD_M341.pdb     -125.319584 kBT
1rlgD_M294.pdb     -128.021614 kBT
1rlgD_M54.pdb     -105.734939 kBT
1rlgD_M418.pdb     -107.711639 kBT
1rlgD_M339.pdb     -119.319838 kBT
1rlgD_M329.pdb     -90.621919 kBT
1rlgD_M237.pdb     -138.546418 kBT
1rlgD_M326.pdb     -121.740240 kBT
1rlgD_M215.pdb     -127.332731 kBT
1rlgD_M316.pdb     -137.863280 kBT
1rlgD_M410.pdb     -106.454460 kBT
1rlgD_M448.pdb     -101.859112 kBT
1rlgD_M325.pdb     -135.885898 kBT
1rlgD_M80.pdb     -136.745127 kBT
1rlgD_M487.pdb     -81.146851 kBT
1rlgD_M127.pdb     -137.650443 kBT
1rlgD_M118.pdb     -136.673134 kBT
1rlgD_M334.pdb     -96.806192 kBT
1rlgD_M266.pdb     -111.864656 kBT
1rlgD_M26.pdb     -149.242567 kBT
1rlgD_M498.pdb     -94.796322 kBT
1rlgD_M267.pdb     -104.158755 kBT
1rlgD_M283.pdb     -111.544213 kBT
1rlgD_M450.pdb     -135.328960 kBT
1rlgD_M245.pdb     -117.963852 kBT
1rlgD_M343.pdb     -101.481169 kBT
1rlgD_M280.pdb     -120.946521 kBT
1rlgD_M170.pdb     -123.529814 kBT
1rlgD_M29.pdb     -162.923600 kBT
1rlgD_M102.pdb     -150.997818 kBT
1rlgD_M357.pdb     -92.046856 kBT
1rlgD_M265.pdb     -131.943375 kBT
1rlgD_M437.pdb     -115.518068 kBT
1rlgD_M198.pdb     -109.395540 kBT
1rlgD_M392.pdb     -97.848228 kBT
1rlgD_M371.pdb     -114.250021 kBT
1rlgD_M462.pdb     -90.677162 kBT
1rlgD_M408.pdb     -100.919211 kBT
1rlgD_M476.pdb     -128.466747 kBT
1rlgD_M452.pdb     -126.552251 kBT
1rlgD_M4.pdb     -193.815573 kBT
1rlgD_M411.pdb     -148.364031 kBT
1rlgD_M109.pdb     -119.967151 kBT
1rlgD_M234.pdb     -117.956512 kBT
1rlgD_M431.pdb     -122.268319 kBT
1rlgD_M421.pdb     -148.112067 kBT
1rlgD_M100.pdb     -130.975626 kBT
1rlgD_M46.pdb     -163.848320 kBT
1rlgD_M10.pdb     -204.912307 kBT
1rlgD_M166.pdb     -123.476437 kBT
1rlgD_M332.pdb     -94.728347 kBT
1rlgD_M86.pdb     -149.529726 kBT
1rlgD_M5.pdb     -208.632463 kBT
1rlgD_M369.pdb     -129.322229 kBT
1rlgD_M180.pdb     -154.363325 kBT
1rlgD_M99.pdb     -107.885005 kBT
1rlgD_M394.pdb     -118.377485 kBT
1rlgD_M155.pdb     -127.644093 kBT
1rlgD_M262.pdb     -124.916303 kBT
1rlgD_M464.pdb     -106.196502 kBT
1rlgD_M406.pdb     -144.305865 kBT
1rlgD_M337.pdb     -132.857227 kBT
1rlgD_M226.pdb     -110.150133 kBT
1rlgD_M483.pdb     -98.721743 kBT
1rlgD_M97.pdb     -158.558169 kBT
1rlgD_M230.pdb     -104.586082 kBT
1rlgD_M373.pdb     -126.699328 kBT
1rlgD_M475.pdb     -103.233624 kBT
1rlgD_M72.pdb     -143.480937 kBT
1rlgD_M453.pdb     -88.404243 kBT
1rlgD_M377.pdb     -123.185986 kBT
1rlgD_M24.pdb     -190.270454 kBT
1rlgD_M228.pdb     -139.833799 kBT
1rlgD_M438.pdb     -129.080500 kBT
1rlgD_M144.pdb     -138.162299 kBT
1rlgD_M422.pdb     -127.871916 kBT
1rlgD_M191.pdb     -150.358947 kBT
1rlgD_M137.pdb     -123.620267 kBT
1rlgD_M409.pdb     -129.323265 kBT
1rlgD_M90.pdb     -118.934383 kBT
1rlgD_M133.pdb     -109.917362 kBT
1rlgD_M305.pdb     -143.892780 kBT
1rlgD_M398.pdb     -112.226302 kBT
1rlgD_M370.pdb     -72.577399 kBT
1rlgD_M212.pdb     -103.753243 kBT
1rlgD_M477.pdb     -104.696968 kBT
1rlgD_M177.pdb     -159.333196 kBT
1rlgD_M244.pdb     -104.141353 kBT
1rlgD_M91.pdb     -99.841839 kBT
1rlgD_M61.pdb     -139.843416 kBT
1rlgD_M430.pdb     -73.579336 kBT
1rlgD_M13.pdb     -204.605737 kBT
1rlgD_M243.pdb     -117.461917 kBT
1rlgD_M313.pdb     -151.201668 kBT
1rlgD_M288.pdb     -106.689963 kBT
1rlgD_M443.pdb     -150.998637 kBT
1rlgD_M351.pdb     -162.204234 kBT
1rlgD_M79.pdb     -160.667478 kBT
1rlgD_M308.pdb     -94.062100 kBT
1rlgD_M456.pdb     -107.160921 kBT
1rlgD_M113.pdb     -138.786490 kBT
1rlgD_M400.pdb     -131.967252 kBT
1rlgD_M389.pdb     -135.379310 kBT
1rlgD_M287.pdb     -115.056660 kBT
1rlgD_M110.pdb     -118.411963 kBT
1rlgD_M492.pdb     -116.507766 kBT
1rlgD_M236.pdb     -162.281103 kBT
1rlgD_M167.pdb     -112.498145 kBT
1rlgD_M358.pdb     -78.544823 kBT
1rlgD_M271.pdb     -110.556499 kBT
1rlgD_M210.pdb     -124.811757 kBT
1rlgD_M76.pdb     -145.677520 kBT
1rlgD_M50.pdb     -151.818523 kBT
1rlgD_M44.pdb     -155.258165 kBT
1rlgD_M123.pdb     -128.319951 kBT
1rlgD_M31.pdb     -140.572302 kBT
1rlgD_M293.pdb     -99.254439 kBT
1rlgD_M303.pdb     -138.584264 kBT
1rlgD_M140.pdb     -123.661399 kBT
1rlgD_M367.pdb     -136.667172 kBT
1rlgD_M393.pdb     -120.401769 kBT
1rlgD_M15.pdb     -185.245011 kBT
1rlgD_M387.pdb     -109.022866 kBT
1rlgD_M12.pdb     -193.113195 kBT
1rlgD_M38.pdb     -170.023469 kBT
1rlgD_M346.pdb     -102.041816 kBT
1rlgD_M489.pdb     -159.157914 kBT
1rlgD_M209.pdb     -114.295221 kBT
1rlgD_M500.pdb     -117.558182 kBT
1rlgD_M322.pdb     -108.245813 kBT
1rlgD_M87.pdb     -142.654396 kBT
1rlgD_M259.pdb     -143.020067 kBT
1rlgD_M104.pdb     -127.312583 kBT
1rlgD_M84.pdb     -131.302242 kBT
1rlgD_M149.pdb     -146.940904 kBT
1rlgD_M356.pdb     -121.915095 kBT
1rlgD_M117.pdb     -144.078395 kBT
1rlgD_M208.pdb     -151.893522 kBT
1rlgD_M115.pdb     -119.635197 kBT
1rlgD_M312.pdb     -99.750847 kBT
1rlgD_M364.pdb     -94.071618 kBT
1rlgD_M107.pdb     -134.760953 kBT
1rlgD_M224.pdb     -120.957041 kBT
1rlgD_M57.pdb     -110.021033 kBT
1rlgD_M141.pdb     -108.628965 kBT
1rlgD_M479.pdb     -157.931905 kBT
1rlgD_M158.pdb     -132.009649 kBT
1rlgD_M63.pdb     -160.107157 kBT
1rlgD_M274.pdb     -103.669815 kBT
1rlgD_M92.pdb     -97.557641 kBT
1rlgD_M188.pdb     -131.137395 kBT
1rlgD_M419.pdb     -119.311871 kBT
1rlgD_M261.pdb     -149.968902 kBT
1rlgD_M263.pdb     -116.700077 kBT
1rlgD_M473.pdb     -120.120892 kBT
1rlgD_M314.pdb     -99.326956 kBT
1rlgD_M249.pdb     -94.222660 kBT
1rlgD_M135.pdb     -116.759033 kBT
1rlgD_M317.pdb     -127.684293 kBT
1rlgD_M11.pdb     -208.727672 kBT
1rlgD_M428.pdb     -75.790471 kBT
1rlgD_M27.pdb     -153.128265 kBT
1rlgD_M164.pdb     -124.259654 kBT
1rlgD_M328.pdb     -106.763938 kBT
1rlgD_M77.pdb     -131.419206 kBT
1rlgD_M345.pdb     -108.059977 kBT
1rlgD_M169.pdb     -120.917762 kBT
1rlgD_M81.pdb     -116.661826 kBT
1rlgD_M130.pdb     -133.277828 kBT
1rlgD_M474.pdb     -148.570774 kBT
1rlgD_M41.pdb     -148.217750 kBT
1rlgD_M457.pdb     -129.321389 kBT
1rlgD_M147.pdb     -124.105856 kBT
1rlgD_M18.pdb     -186.207256 kBT
1rlgD_M264.pdb     -132.945352 kBT
1rlgD_M258.pdb     -126.544800 kBT
1rlgD_M490.pdb     -163.971552 kBT
1rlgD_M442.pdb     -109.936224 kBT
1rlgD_M461.pdb     -109.426581 kBT
1rlgD_M253.pdb     -118.193008 kBT
1rlgD_M368.pdb     -89.038406 kBT
1rlgD_M66.pdb     -162.852964 kBT
1rlgD_M378.pdb     -87.917615 kBT
1rlgD_M381.pdb     -143.211760 kBT
1rlgD_M451.pdb     -151.643776 kBT
1rlgD_M214.pdb     -142.331062 kBT
1rlgD_M300.pdb     -124.289337 kBT
1rlgD_M366.pdb     -144.016193 kBT
1rlgD_M242.pdb     -113.782411 kBT
1rlgD_M447.pdb     -139.707653 kBT
1rlgD_M143.pdb     -138.780812 kBT
1rlgD_M432.pdb     -116.131860 kBT
1rlgD_M213.pdb     -114.828962 kBT
1rlgD_M497.pdb     -118.662953 kBT
1rlgD_M125.pdb     -132.505318 kBT
1rlgD_M376.pdb     -117.948200 kBT
1rlgD_M156.pdb     -131.113532 kBT
1rlgD_M278.pdb     -137.341710 kBT
1rlgD_M47.pdb     -150.791965 kBT
1rlgD_M455.pdb     -89.318105 kBT
1rlgD_M384.pdb     -85.799526 kBT
1rlgD_M1.pdb     -202.380282 kBT
1rlgD_M390.pdb     -112.125167 kBT
1rlgD_M142.pdb     -132.096705 kBT
1rlgD_M405.pdb     -145.197046 kBT
1rlgD_M291.pdb     -136.770409 kBT
1rlgD_M412.pdb     -131.392133 kBT
1rlgD_M465.pdb     -142.860346 kBT
1rlgD_M354.pdb     -100.609789 kBT
1rlgD_M6.pdb     -212.845602 kBT
1rlgD_M196.pdb     -134.587457 kBT
1rlgD_M491.pdb     -84.889244 kBT
1rlgD_M222.pdb     -121.401374 kBT
1rlgD_M52.pdb     -171.821990 kBT
1rlgD_M391.pdb     -122.054251 kBT
1rlgD_M197.pdb     -138.905710 kBT
1rlgD_M193.pdb     -139.351386 kBT
1rlgD_M295.pdb     -95.199503 kBT
1rlgD_M150.pdb     -116.538177 kBT
1rlgD_M385.pdb     -114.878736 kBT
1rlgD_M64.pdb     -119.071421 kBT
1rlgD_M486.pdb     -88.562289 kBT
1rlgD_M352.pdb     -149.714747 kBT
1rlgD_M281.pdb     -112.652017 kBT
1rlgD_M101.pdb     -132.446169 kBT
1rlgD_M424.pdb     -120.225143 kBT
1rlgD_M449.pdb     -112.973393 kBT
1rlgD_M468.pdb     -140.234696 kBT
1rlgD_M146.pdb     -116.812452 kBT
1rlgD_M298.pdb     -115.418014 kBT
1rlgD_M388.pdb     -119.503613 kBT
1rlgD_M186.pdb     -116.316411 kBT
1rlgD_M413.pdb     -114.360197 kBT
1rlgD_M415.pdb     -136.867235 kBT
1rlgD_M28.pdb     -161.420144 kBT
1rlgD_M348.pdb     -114.343267 kBT
1rlgD_M285.pdb     -126.225878 kBT
1rlgD_M201.pdb     -146.812051 kBT
1rlgD_M70.pdb     -137.866505 kBT
1rlgD_M429.pdb     -136.286721 kBT
1rlgD_M441.pdb     -104.846768 kBT
1rlgD_M480.pdb     -130.613961 kBT
1rlgD_M239.pdb     -112.332941 kBT
1rlgD_M174.pdb     -108.910051 kBT
1rlgD_M350.pdb     -137.843549 kBT
1rlgD_M56.pdb     -164.382919 kBT
1rlgD_M260.pdb     -112.981773 kBT
1rlgD_M399.pdb     -90.712759 kBT
1rlgD_M302.pdb     -122.604683 kBT
1rlgD_M297.pdb     -147.960931 kBT
1rlgD_M218.pdb     -104.812932 kBT
1rlgD_M349.pdb     -103.398072 kBT
1rlgD_M30.pdb     -159.110446 kBT
1rlgD_M251.pdb     -129.482915 kBT
1rlgD_M82.pdb     -109.017309 kBT
1rlgD_M116.pdb     -117.583167 kBT
1rlgD_M192.pdb     -104.072808 kBT
1rlgD_M470.pdb     -122.859703 kBT
1rlgD_M16.pdb     -179.300231 kBT
1rlgD_M436.pdb     -105.973432 kBT
1rlgD_M9.pdb     -192.532000 kBT
1rlgD_M175.pdb     -110.306167 kBT
1rlgD_M315.pdb     -162.673848 kBT
1rlgD_M423.pdb     -88.228022 kBT
1rlgD_M252.pdb     -126.375568 kBT
1rlgD_M183.pdb     -141.780157 kBT
1rlgD_M319.pdb     -102.860495 kBT
1rlgD_M279.pdb     -98.908459 kBT
1rlgD_M241.pdb     -107.127046 kBT
1rlgD_M386.pdb     -83.075476 kBT
1rlgD_M469.pdb     -108.298236 kBT
1rlgD_M310.pdb     -129.549088 kBT
1rlgD_M95.pdb     -125.201508 kBT
1rlgD_M403.pdb     -100.159562 kBT
1rlgD_M160.pdb     -135.571029 kBT
1rlgD_M404.pdb     -100.473200 kBT
1rlgD_M2.pdb     -204.796166 kBT
1rlgD_M359.pdb     -107.682455 kBT
1rlgD_M216.pdb     -112.359577 kBT
1rlgD_M165.pdb     -111.253939 kBT
1rlgD_M446.pdb     -84.814976 kBT
1rlgD_M493.pdb     -138.258573 kBT
1rlgD_M311.pdb     -87.472990 kBT
1rlgD_M238.pdb     -138.826212 kBT
1rlgD_M277.pdb     -110.954475 kBT
1rlgD_M342.pdb     -128.557315 kBT
1rlgD_M103.pdb     -123.425568 kBT
1rlgD_M48.pdb     -146.874762 kBT
1rlgD_M128.pdb     -136.425853 kBT
1rlgD_M220.pdb     -117.167261 kBT
1rlgD_M120.pdb     -152.657903 kBT
1rlgD_M286.pdb     -115.581386 kBT
1rlgD_M321.pdb     -106.097627 kBT
1rlgD_M217.pdb     -119.826025 kBT
1rlgD_M129.pdb     -125.247383 kBT
1rlgD_M353.pdb     -142.269347 kBT
1rlgD_M119.pdb     -112.204666 kBT
1rlgD_M88.pdb     -130.521301 kBT
1rlgD_M335.pdb     -68.880318 kBT
1rlgD_M40.pdb     -137.765151 kBT
1rlgD_M331.pdb     -131.101583 kBT
1rlgD_M19.pdb     -152.159761 kBT
1rlgD_M363.pdb     -129.219783 kBT
1rlgD_M323.pdb     -157.029298 kBT
1rlgD_M199.pdb     -105.433545 kBT
1rlgD_M360.pdb     -113.989309 kBT
1rlgD_M171.pdb     -109.167484 kBT
1rlgD_M362.pdb     -92.345441 kBT
1rlgD_M94.pdb     -120.542049 kBT
1rlgD_M78.pdb     -108.743581 kBT
1rlgD_M163.pdb     -135.641467 kBT
1rlgD_M111.pdb     -129.685015 kBT
1rlgD_M269.pdb     -135.091785 kBT
1rlgD_M205.pdb     -125.891317 kBT
1rlgD_M45.pdb     -122.755014 kBT
1rlgD_M132.pdb     -119.409468 kBT
1rlgD_M333.pdb     -143.917959 kBT
1rlgD_M35.pdb     -150.267497 kBT
1rlgD_M344.pdb     -113.161344 kBT
1rlgD_M248.pdb     -134.975542 kBT
1rlgD_M247.pdb     -113.379393 kBT
1rlgD_M460.pdb     -121.286803 kBT
1rlgD_M114.pdb     -127.972802 kBT
1rlgD_M207.pdb     -99.411600 kBT
1rlgD_M426.pdb     -107.017440 kBT
1rlgD_M372.pdb     -110.928301 kBT
1rlgD_M55.pdb     -130.539343 kBT
1rlgD_M139.pdb     -129.990905 kBT
1rlgD_M471.pdb     -114.329735 kBT
1rlgD_M154.pdb     -140.005136 kBT
1rlgD_M189.pdb     -133.610102 kBT
1rlgD_M254.pdb     -142.029115 kBT
1rlgD_M229.pdb     -135.042107 kBT
1rlgD_M83.pdb     -130.386981 kBT
1rlgD_M488.pdb     -80.896649 kBT
1rlgD_M256.pdb     -112.724176 kBT
1rlgD_M69.pdb     -157.016142 kBT
1rlgD_M272.pdb     -88.579360 kBT
1rlgD_M168.pdb     -162.214581 kBT
1rlgD_M60.pdb     -131.361305 kBT
1rlgD_M59.pdb     -152.460552 kBT
1rlgD_M380.pdb     -123.019883 kBT
1rlgD_M58.pdb     -159.257162 kBT
1rlgD_M176.pdb     -116.566113 kBT
1rlgD_M435.pdb     -146.903305 kBT
1rlgD_M42.pdb     -144.881510 kBT
1rlgD_M138.pdb     -98.375331 kBT
1rlgD_M309.pdb     -146.217169 kBT
1rlgD_M250.pdb     -107.101286 kBT
1rlgD_M89.pdb     -134.849910 kBT
1rlgD_M17.pdb     -175.360022 kBT
1rlgD_M233.pdb     -92.471732 kBT
1rlgD_M307.pdb     -96.264091 kBT
1rlgD_M227.pdb     -104.024934 kBT
1rlgD_M172.pdb     -130.826752 kBT
1rlgD_M268.pdb     -103.076268 kBT
1rlgD_M458.pdb     -126.434267 kBT
1rlgD_M402.pdb     -93.352322 kBT
1rlgD_M355.pdb     -99.817470 kBT
1rlgD_M445.pdb     -116.836166 kBT
1rlgD_M284.pdb     -97.459642 kBT
1rlgD_M53.pdb     -167.953381 kBT
1rlgD_M71.pdb     -139.091072 kBT
1rlgD_M324.pdb     -153.413590 kBT
1rlgD_M39.pdb     -150.954604 kBT
1rlgD_M282.pdb     -96.932444 kBT
1rlgD_M124.pdb     -101.391549 kBT
1rlgD_M434.pdb     -112.402308 kBT
1rlgD_M93.pdb     -141.643344 kBT
1rlgD_M454.pdb     -124.314286 kBT
1rlgD_M194.pdb     -114.792030 kBT
1rlgD_M65.pdb     -138.338398 kBT
1rlgD_M336.pdb     -134.635600 kBT
1rlgD_M225.pdb     -107.445071 kBT
1rlgD_M145.pdb     -140.930622 kBT
1rlgD_M301.pdb     -152.849943 kBT
1rlgD_M417.pdb     -117.252053 kBT
1rlgD_M108.pdb     -135.057728 kBT
1rlgD_M51.pdb     -117.677756 kBT
1rlgD_M361.pdb     -140.136193 kBT
1rlgD_M299.pdb     -105.473295 kBT
1rlgD_M7.pdb     -201.560095 kBT
1rlgD_M85.pdb     -171.615304 kBT
1rlgD_M459.pdb     -103.766891 kBT
1rlgD_M296.pdb     -119.978056 kBT
1rlgD_M159.pdb     -128.077725 kBT
1rlgD_M401.pdb     -127.305051 kBT
1rlgD_M499.pdb     -88.523960 kBT
1rlgD_M444.pdb     -115.731239 kBT
1rlgD_M330.pdb     -133.403381 kBT
1rlgD_M395.pdb     -105.639870 kBT
1rlgD_M8.pdb     -192.059871 kBT
1rlgD_M20.pdb     -183.308575 kBT
1rlgD_M289.pdb     -118.502529 kBT
