2drbB_M335.pdb     -215.022958 kBT
2drbB_M461.pdb     -196.553273 kBT
2drbB_M486.pdb     -230.234007 kBT
2drbB_M346.pdb     -258.582660 kBT
2drbB_M403.pdb     -190.461435 kBT
2drbB_M215.pdb     -207.553718 kBT
2drbB_M206.pdb     -250.801965 kBT
2drbB_M251.pdb     -250.888254 kBT
2drbB_M111.pdb     -283.356736 kBT
2drbB_M427.pdb     -275.487764 kBT
2drbB_M163.pdb     -295.756432 kBT
2drbB_M44.pdb     -288.929047 kBT
2drbB_M362.pdb     -254.418854 kBT
2drbB_M81.pdb     -295.112253 kBT
2drbB_M185.pdb     -262.179192 kBT
2drbB_M282.pdb     -234.831976 kBT
2drbB_M16.pdb     -321.301468 kBT
2drbB_M469.pdb     -240.944625 kBT
2drbB_M162.pdb     -274.191541 kBT
2drbB_M190.pdb     -239.075716 kBT
2drbB_M408.pdb     -220.717708 kBT
2drbB_M458.pdb     -197.407280 kBT
2drbB_M236.pdb     -258.233542 kBT
2drbB_M313.pdb     -194.351669 kBT
2drbB_M204.pdb     -275.328971 kBT
2drbB_M63.pdb     -296.608502 kBT
2drbB_M406.pdb     -235.546389 kBT
2drbB_M255.pdb     -247.630264 kBT
2drbB_M73.pdb     -254.879171 kBT
2drbB_M345.pdb     -206.549512 kBT
2drbB_M307.pdb     -189.490507 kBT
2drbB_M200.pdb     -200.905705 kBT
2drbB_M361.pdb     -245.650947 kBT
2drbB_M479.pdb     -209.996315 kBT
2drbB_M478.pdb     -258.052748 kBT
2drbB_M401.pdb     -210.326140 kBT
2drbB_M383.pdb     -239.550718 kBT
2drbB_M123.pdb     -271.762313 kBT
2drbB_M132.pdb     -263.957198 kBT
2drbB_M210.pdb     -231.069989 kBT
2drbB_M323.pdb     -267.102852 kBT
2drbB_M46.pdb     -296.555329 kBT
2drbB_M128.pdb     -268.017003 kBT
2drbB_M295.pdb     -233.001835 kBT
2drbB_M70.pdb     -288.061209 kBT
2drbB_M245.pdb     -272.081536 kBT
2drbB_M366.pdb     -239.942032 kBT
2drbB_M219.pdb     -258.691818 kBT
2drbB_M135.pdb     -272.236483 kBT
2drbB_M331.pdb     -211.122256 kBT
2drbB_M314.pdb     -250.021861 kBT
2drbB_M136.pdb     -285.136325 kBT
2drbB_M324.pdb     -248.355421 kBT
2drbB_M497.pdb     -214.837867 kBT
2drbB_M65.pdb     -267.492212 kBT
2drbB.pdb     -353.975391 kBT
2drbB_M166.pdb     -281.700369 kBT
2drbB_M26.pdb     -319.370721 kBT
2drbB_M60.pdb     -283.748388 kBT
2drbB_M212.pdb     -235.879850 kBT
2drbB_M267.pdb     -237.015410 kBT
2drbB_M17.pdb     -335.236510 kBT
2drbB_M338.pdb     -258.332642 kBT
2drbB_M27.pdb     -307.926496 kBT
2drbB_M82.pdb     -304.445551 kBT
2drbB_M59.pdb     -300.025642 kBT
2drbB_M246.pdb     -248.636558 kBT
2drbB_M257.pdb     -219.416656 kBT
2drbB_M122.pdb     -311.629765 kBT
2drbB_M228.pdb     -219.583407 kBT
2drbB_M276.pdb     -246.173219 kBT
2drbB_M421.pdb     -228.216005 kBT
2drbB_M270.pdb     -203.192705 kBT
2drbB_M115.pdb     -274.630185 kBT
2drbB_M342.pdb     -253.941772 kBT
2drbB_M172.pdb     -258.961949 kBT
2drbB_M217.pdb     -231.014823 kBT
2drbB_M263.pdb     -249.111698 kBT
2drbB_M279.pdb     -209.438478 kBT
2drbB_M109.pdb     -295.794966 kBT
2drbB_M197.pdb     -261.383434 kBT
2drbB_M177.pdb     -258.151061 kBT
2drbB_M179.pdb     -281.161635 kBT
2drbB_M39.pdb     -315.453893 kBT
2drbB_M470.pdb     -266.275997 kBT
2drbB_M189.pdb     -224.472298 kBT
2drbB_M348.pdb     -252.883306 kBT
2drbB_M244.pdb     -257.141340 kBT
2drbB_M411.pdb     -211.487720 kBT
2drbB_M188.pdb     -249.771218 kBT
2drbB_M199.pdb     -260.128038 kBT
2drbB_M363.pdb     -187.705480 kBT
2drbB_M218.pdb     -277.579541 kBT
2drbB_M397.pdb     -242.540583 kBT
2drbB_M13.pdb     -339.722610 kBT
2drbB_M92.pdb     -248.311385 kBT
2drbB_M353.pdb     -228.225467 kBT
2drbB_M465.pdb     -231.329851 kBT
2drbB_M237.pdb     -228.871997 kBT
2drbB_M49.pdb     -303.214782 kBT
2drbB_M339.pdb     -245.858042 kBT
2drbB_M399.pdb     -236.153890 kBT
2drbB_M100.pdb     -243.875873 kBT
2drbB_M262.pdb     -263.955515 kBT
2drbB_M120.pdb     -242.125338 kBT
2drbB_M247.pdb     -261.805074 kBT
2drbB_M205.pdb     -274.443525 kBT
2drbB_M108.pdb     -263.229340 kBT
2drbB_M194.pdb     -278.794332 kBT
2drbB_M89.pdb     -302.740780 kBT
2drbB_M498.pdb     -227.538238 kBT
2drbB_M91.pdb     -280.148124 kBT
2drbB_M182.pdb     -254.231021 kBT
2drbB_M284.pdb     -239.128064 kBT
2drbB_M252.pdb     -283.832934 kBT
2drbB_M84.pdb     -289.953772 kBT
2drbB_M321.pdb     -226.167875 kBT
2drbB_M358.pdb     -210.582690 kBT
2drbB_M372.pdb     -215.025172 kBT
2drbB_M159.pdb     -282.511918 kBT
2drbB_M167.pdb     -322.509630 kBT
2drbB_M462.pdb     -232.293829 kBT
2drbB_M413.pdb     -202.414241 kBT
2drbB_M53.pdb     -290.962642 kBT
2drbB_M281.pdb     -246.100167 kBT
2drbB_M79.pdb     -294.953080 kBT
2drbB_M290.pdb     -268.504160 kBT
2drbB_M52.pdb     -294.396121 kBT
2drbB_M493.pdb     -204.764821 kBT
2drbB_M226.pdb     -239.024261 kBT
2drbB_M488.pdb     -204.843371 kBT
2drbB_M420.pdb     -255.180316 kBT
2drbB_M2.pdb     -346.142287 kBT
2drbB_M173.pdb     -287.996141 kBT
2drbB_M480.pdb     -261.192186 kBT
2drbB_M414.pdb     -247.305579 kBT
2drbB_M483.pdb     -202.246341 kBT
2drbB_M340.pdb     -211.499212 kBT
2drbB_M90.pdb     -246.551564 kBT
2drbB_M85.pdb     -265.384708 kBT
2drbB_M464.pdb     -237.968568 kBT
2drbB_M208.pdb     -267.793106 kBT
2drbB_M446.pdb     -174.676618 kBT
2drbB_M487.pdb     -220.894937 kBT
2drbB_M61.pdb     -303.511176 kBT
2drbB_M68.pdb     -267.677378 kBT
2drbB_M471.pdb     -215.023089 kBT
2drbB_M174.pdb     -268.904304 kBT
2drbB_M475.pdb     -239.695571 kBT
2drbB_M45.pdb     -307.596716 kBT
2drbB_M104.pdb     -288.332507 kBT
2drbB_M5.pdb     -346.842724 kBT
2drbB_M43.pdb     -308.567081 kBT
2drbB_M298.pdb     -268.023817 kBT
2drbB_M360.pdb     -233.349888 kBT
2drbB_M42.pdb     -310.449881 kBT
2drbB_M183.pdb     -295.383436 kBT
2drbB_M118.pdb     -262.829823 kBT
2drbB_M449.pdb     -255.882729 kBT
2drbB_M441.pdb     -186.582979 kBT
2drbB_M302.pdb     -239.095942 kBT
2drbB_M116.pdb     -282.756822 kBT
2drbB_M239.pdb     -272.235356 kBT
2drbB_M227.pdb     -246.728633 kBT
2drbB_M308.pdb     -229.247685 kBT
2drbB_M289.pdb     -241.352225 kBT
2drbB_M333.pdb     -237.216714 kBT
2drbB_M499.pdb     -219.796544 kBT
2drbB_M24.pdb     -295.950182 kBT
2drbB_M300.pdb     -242.820767 kBT
2drbB_M131.pdb     -271.914491 kBT
2drbB_M448.pdb     -211.383280 kBT
2drbB_M231.pdb     -258.379357 kBT
2drbB_M429.pdb     -183.194260 kBT
2drbB_M175.pdb     -281.399270 kBT
2drbB_M161.pdb     -233.327744 kBT
2drbB_M240.pdb     -257.843681 kBT
2drbB_M56.pdb     -301.707118 kBT
2drbB_M273.pdb     -265.623465 kBT
2drbB_M341.pdb     -254.752058 kBT
2drbB_M25.pdb     -328.493108 kBT
2drbB_M425.pdb     -202.516390 kBT
2drbB_M264.pdb     -246.740273 kBT
2drbB_M371.pdb     -202.036858 kBT
2drbB_M202.pdb     -249.651985 kBT
2drbB_M454.pdb     -257.327546 kBT
2drbB_M481.pdb     -232.415608 kBT
2drbB_M147.pdb     -270.959836 kBT
2drbB_M459.pdb     -249.297680 kBT
2drbB_M443.pdb     -231.070035 kBT
2drbB_M431.pdb     -196.561378 kBT
2drbB_M492.pdb     -168.975920 kBT
2drbB_M15.pdb     -331.659200 kBT
2drbB_M349.pdb     -247.764000 kBT
2drbB_M180.pdb     -261.628310 kBT
2drbB_M256.pdb     -245.256178 kBT
2drbB_M379.pdb     -213.333294 kBT
2drbB_M412.pdb     -235.127022 kBT
2drbB_M495.pdb     -167.083834 kBT
2drbB_M139.pdb     -259.566556 kBT
2drbB_M243.pdb     -214.319681 kBT
2drbB_M477.pdb     -222.472746 kBT
2drbB_M317.pdb     -234.932430 kBT
2drbB_M155.pdb     -249.941446 kBT
2drbB_M121.pdb     -272.363120 kBT
2drbB_M356.pdb     -210.559697 kBT
2drbB_M430.pdb     -248.381112 kBT
2drbB_M220.pdb     -273.411572 kBT
2drbB_M385.pdb     -213.078352 kBT
2drbB_M327.pdb     -239.554928 kBT
2drbB_M447.pdb     -209.682866 kBT
2drbB_M34.pdb     -321.381369 kBT
2drbB_M143.pdb     -281.953198 kBT
2drbB_M432.pdb     -203.359104 kBT
2drbB_M225.pdb     -245.168724 kBT
2drbB_M303.pdb     -257.145056 kBT
2drbB_M222.pdb     -240.321810 kBT
2drbB_M57.pdb     -297.371947 kBT
2drbB_M41.pdb     -328.191560 kBT
2drbB_M117.pdb     -266.786177 kBT
2drbB_M235.pdb     -252.173901 kBT
2drbB_M241.pdb     -259.307653 kBT
2drbB_M232.pdb     -223.786608 kBT
2drbB_M416.pdb     -233.308073 kBT
2drbB_M233.pdb     -266.754728 kBT
2drbB_M224.pdb     -243.468320 kBT
2drbB_M402.pdb     -164.784430 kBT
2drbB_M332.pdb     -202.485186 kBT
2drbB_M357.pdb     -208.745064 kBT
2drbB_M105.pdb     -281.924951 kBT
2drbB_M229.pdb     -212.864277 kBT
2drbB_M378.pdb     -203.643029 kBT
2drbB_M21.pdb     -347.374141 kBT
2drbB_M192.pdb     -262.432280 kBT
2drbB_M265.pdb     -219.787618 kBT
2drbB_M216.pdb     -267.798161 kBT
2drbB_M11.pdb     -350.074588 kBT
2drbB_M310.pdb     -224.397851 kBT
2drbB_M476.pdb     -237.433349 kBT
2drbB_M299.pdb     -218.176587 kBT
2drbB_M221.pdb     -238.974646 kBT
2drbB_M376.pdb     -254.248287 kBT
2drbB_M439.pdb     -233.579799 kBT
2drbB_M146.pdb     -260.952065 kBT
2drbB_M213.pdb     -252.503937 kBT
2drbB_M364.pdb     -238.513189 kBT
2drbB_M269.pdb     -239.204351 kBT
2drbB_M130.pdb     -289.524439 kBT
2drbB_M280.pdb     -220.159514 kBT
2drbB_M315.pdb     -221.599044 kBT
2drbB_M71.pdb     -303.019089 kBT
2drbB_M40.pdb     -319.695797 kBT
2drbB_M160.pdb     -237.125049 kBT
2drbB_M103.pdb     -293.866089 kBT
2drbB_M171.pdb     -249.420122 kBT
2drbB_M374.pdb     -254.255819 kBT
2drbB_M149.pdb     -278.090741 kBT
2drbB_M54.pdb     -289.033740 kBT
2drbB_M444.pdb     -240.303719 kBT
2drbB_M23.pdb     -304.697968 kBT
2drbB_M440.pdb     -226.611533 kBT
2drbB_M107.pdb     -266.399203 kBT
2drbB_M409.pdb     -200.422546 kBT
2drbB_M304.pdb     -258.262957 kBT
2drbB_M473.pdb     -202.490294 kBT
2drbB_M436.pdb     -231.872606 kBT
2drbB_M191.pdb     -252.022867 kBT
2drbB_M152.pdb     -234.721551 kBT
2drbB_M422.pdb     -234.604646 kBT
2drbB_M287.pdb     -261.619911 kBT
2drbB_M343.pdb     -220.195392 kBT
2drbB_M381.pdb     -248.425423 kBT
2drbB_M249.pdb     -287.811787 kBT
2drbB_M455.pdb     -270.093593 kBT
2drbB_M291.pdb     -256.215171 kBT
2drbB_M452.pdb     -238.646261 kBT
2drbB_M318.pdb     -252.571130 kBT
2drbB_M407.pdb     -219.057146 kBT
2drbB_M184.pdb     -280.446752 kBT
2drbB_M491.pdb     -208.618606 kBT
2drbB_M466.pdb     -202.714435 kBT
2drbB_M268.pdb     -256.428370 kBT
2drbB_M274.pdb     -230.458737 kBT
2drbB_M50.pdb     -294.124257 kBT
2drbB_M285.pdb     -253.670522 kBT
2drbB_M297.pdb     -246.075344 kBT
2drbB_M126.pdb     -243.950602 kBT
2drbB_M286.pdb     -191.028846 kBT
2drbB_M31.pdb     -320.224749 kBT
2drbB_M405.pdb     -259.618086 kBT
2drbB_M86.pdb     -302.331018 kBT
2drbB_M150.pdb     -268.087856 kBT
2drbB_M344.pdb     -218.468553 kBT
2drbB_M309.pdb     -238.670829 kBT
2drbB_M278.pdb     -253.270352 kBT
2drbB_M500.pdb     -195.032350 kBT
2drbB_M35.pdb     -321.004941 kBT
2drbB_M370.pdb     -240.767257 kBT
2drbB_M165.pdb     -304.460459 kBT
2drbB_M242.pdb     -260.499115 kBT
2drbB_M330.pdb     -210.495402 kBT
2drbB_M69.pdb     -291.045748 kBT
2drbB_M484.pdb     -223.038934 kBT
2drbB_M250.pdb     -268.361414 kBT
2drbB_M195.pdb     -257.391682 kBT
2drbB_M62.pdb     -294.535398 kBT
2drbB_M8.pdb     -351.469174 kBT
2drbB_M336.pdb     -238.466971 kBT
2drbB_M450.pdb     -251.128825 kBT
2drbB_M223.pdb     -255.864616 kBT
2drbB_M392.pdb     -230.997042 kBT
2drbB_M390.pdb     -189.964831 kBT
2drbB_M51.pdb     -312.674522 kBT
2drbB_M272.pdb     -268.143433 kBT
2drbB_M12.pdb     -332.108191 kBT
2drbB_M148.pdb     -251.843419 kBT
2drbB_M254.pdb     -220.897001 kBT
2drbB_M428.pdb     -192.854505 kBT
2drbB_M38.pdb     -328.258463 kBT
2drbB_M66.pdb     -298.252922 kBT
2drbB_M292.pdb     -280.344354 kBT
2drbB_M467.pdb     -201.887691 kBT
2drbB_M283.pdb     -230.787127 kBT
2drbB_M337.pdb     -259.401145 kBT
2drbB_M102.pdb     -283.902429 kBT
2drbB_M418.pdb     -229.434792 kBT
2drbB_M435.pdb     -233.129031 kBT
2drbB_M3.pdb     -348.199787 kBT
2drbB_M4.pdb     -351.681048 kBT
2drbB_M99.pdb     -279.648327 kBT
2drbB_M391.pdb     -201.046457 kBT
2drbB_M158.pdb     -289.461157 kBT
2drbB_M198.pdb     -258.748534 kBT
2drbB_M386.pdb     -222.723783 kBT
2drbB_M144.pdb     -259.024015 kBT
2drbB_M145.pdb     -219.235987 kBT
2drbB_M211.pdb     -250.478422 kBT
2drbB_M87.pdb     -286.914676 kBT
2drbB_M433.pdb     -207.027815 kBT
2drbB_M133.pdb     -257.545960 kBT
2drbB_M75.pdb     -288.621600 kBT
2drbB_M106.pdb     -264.497779 kBT
2drbB_M485.pdb     -218.234228 kBT
2drbB_M28.pdb     -315.318422 kBT
2drbB_M186.pdb     -256.553884 kBT
2drbB_M415.pdb     -197.243778 kBT
2drbB_M494.pdb     -223.456085 kBT
2drbB_M248.pdb     -234.297359 kBT
2drbB_M400.pdb     -280.289473 kBT
2drbB_M58.pdb     -307.849802 kBT
2drbB_M209.pdb     -265.108210 kBT
2drbB_M164.pdb     -237.901019 kBT
2drbB_M98.pdb     -265.645848 kBT
2drbB_M142.pdb     -239.930850 kBT
2drbB_M29.pdb     -329.735801 kBT
2drbB_M259.pdb     -229.590096 kBT
2drbB_M369.pdb     -245.520051 kBT
2drbB_M55.pdb     -342.492315 kBT
2drbB_M377.pdb     -251.088021 kBT
2drbB_M112.pdb     -262.537299 kBT
2drbB_M78.pdb     -269.129843 kBT
2drbB_M389.pdb     -238.712054 kBT
2drbB_M350.pdb     -253.209193 kBT
2drbB_M119.pdb     -275.287848 kBT
2drbB_M37.pdb     -330.750728 kBT
2drbB_M293.pdb     -251.284144 kBT
2drbB_M328.pdb     -249.994865 kBT
2drbB_M367.pdb     -216.317774 kBT
2drbB_M137.pdb     -289.162016 kBT
2drbB_M382.pdb     -195.297502 kBT
2drbB_M395.pdb     -220.712258 kBT
2drbB_M451.pdb     -227.185149 kBT
2drbB_M277.pdb     -245.407701 kBT
2drbB_M67.pdb     -283.471366 kBT
2drbB_M322.pdb     -217.424362 kBT
2drbB_M288.pdb     -255.456990 kBT
2drbB_M7.pdb     -362.559860 kBT
2drbB_M275.pdb     -237.591109 kBT
2drbB_M168.pdb     -252.083465 kBT
2drbB_M468.pdb     -223.610742 kBT
2drbB_M18.pdb     -344.649440 kBT
2drbB_M193.pdb     -258.995437 kBT
2drbB_M365.pdb     -251.472939 kBT
2drbB_M30.pdb     -313.643082 kBT
2drbB_M359.pdb     -211.653715 kBT
2drbB_M320.pdb     -248.320084 kBT
2drbB_M1.pdb     -349.185082 kBT
2drbB_M151.pdb     -262.586678 kBT
2drbB_M95.pdb     -261.081826 kBT
2drbB_M438.pdb     -220.508330 kBT
2drbB_M64.pdb     -311.265416 kBT
2drbB_M138.pdb     -289.459851 kBT
2drbB_M373.pdb     -229.330510 kBT
2drbB_M20.pdb     -339.504585 kBT
2drbB_M326.pdb     -251.110129 kBT
2drbB_M32.pdb     -313.160222 kBT
2drbB_M453.pdb     -213.216875 kBT
2drbB_M398.pdb     -224.360321 kBT
2drbB_M355.pdb     -271.374956 kBT
2drbB_M354.pdb     -235.628493 kBT
2drbB_M134.pdb     -279.152764 kBT
2drbB_M305.pdb     -234.800560 kBT
2drbB_M394.pdb     -216.505709 kBT
2drbB_M187.pdb     -216.520417 kBT
2drbB_M94.pdb     -277.659631 kBT
2drbB_M419.pdb     -235.253509 kBT
2drbB_M113.pdb     -310.471359 kBT
2drbB_M47.pdb     -295.067054 kBT
2drbB_M10.pdb     -349.669036 kBT
2drbB_M22.pdb     -318.378348 kBT
2drbB_M253.pdb     -207.742773 kBT
2drbB_M258.pdb     -177.627941 kBT
2drbB_M347.pdb     -210.132587 kBT
2drbB_M437.pdb     -189.919957 kBT
2drbB_M380.pdb     -221.325286 kBT
2drbB_M388.pdb     -246.161247 kBT
2drbB_M434.pdb     -230.590486 kBT
2drbB_M201.pdb     -274.705537 kBT
2drbB_M316.pdb     -241.777282 kBT
2drbB_M129.pdb     -271.633333 kBT
2drbB_M489.pdb     -226.972921 kBT
2drbB_M384.pdb     -222.789513 kBT
2drbB_M266.pdb     -262.116660 kBT
2drbB_M203.pdb     -226.734804 kBT
2drbB_M271.pdb     -266.556550 kBT
2drbB_M334.pdb     -211.703271 kBT
2drbB_M472.pdb     -176.608110 kBT
2drbB_M456.pdb     -232.512345 kBT
2drbB_M404.pdb     -250.873449 kBT
2drbB_M19.pdb     -331.205145 kBT
2drbB_M72.pdb     -286.999093 kBT
2drbB_M6.pdb     -353.538432 kBT
2drbB_M351.pdb     -214.150000 kBT
2drbB_M101.pdb     -275.979496 kBT
2drbB_M36.pdb     -329.662788 kBT
2drbB_M207.pdb     -253.377860 kBT
2drbB_M234.pdb     -252.796086 kBT
2drbB_M176.pdb     -261.498486 kBT
2drbB_M424.pdb     -233.576962 kBT
2drbB_M141.pdb     -251.459591 kBT
2drbB_M48.pdb     -309.986670 kBT
2drbB_M74.pdb     -298.213384 kBT
2drbB_M127.pdb     -266.497601 kBT
2drbB_M325.pdb     -233.892149 kBT
2drbB_M33.pdb     -323.391078 kBT
2drbB_M410.pdb     -198.073120 kBT
2drbB_M110.pdb     -305.360846 kBT
2drbB_M178.pdb     -271.503736 kBT
2drbB_M154.pdb     -219.699103 kBT
2drbB_M170.pdb     -242.436311 kBT
