3f1hA_M395.pdb     -17321.278414 kBT
3f1hA_M127.pdb     -18680.745560 kBT
3f1hA_M365.pdb     -17345.415446 kBT
3f1hA_M83.pdb     -19624.200984 kBT
3f1hA_M194.pdb     -18107.021381 kBT
3f1hA_M399.pdb     -17484.634069 kBT
3f1hA_M350.pdb     -17443.044182 kBT
3f1hA_M334.pdb     -17266.685274 kBT
3f1hA_M262.pdb     -17938.306795 kBT
3f1hA_M361.pdb     -17663.471043 kBT
3f1hA_M182.pdb     -18319.004990 kBT
3f1hA_M443.pdb     -17242.103044 kBT
3f1hA_M323.pdb     -17500.045842 kBT
3f1hA_M398.pdb     -17634.889770 kBT
3f1hA_M215.pdb     -18396.660111 kBT
3f1hA_M463.pdb     -17348.902987 kBT
3f1hA_M442.pdb     -17062.768271 kBT
3f1hA_M113.pdb     -18794.650398 kBT
3f1hA_M480.pdb     -17191.145776 kBT
3f1hA_M479.pdb     -17291.292161 kBT
3f1hA_M378.pdb     -17437.948476 kBT
3f1hA_M446.pdb     -17326.711849 kBT
3f1hA_M397.pdb     -17211.737719 kBT
3f1hA_M211.pdb     -17959.203001 kBT
3f1hA_M109.pdb     -19292.821964 kBT
3f1hA_M227.pdb     -18176.064326 kBT
3f1hA_M425.pdb     -17106.713261 kBT
3f1hA_M24.pdb     -21073.500832 kBT
3f1hA_M112.pdb     -18911.056807 kBT
3f1hA_M80.pdb     -19316.513930 kBT
3f1hA_M497.pdb     -17285.296331 kBT
3f1hA_M288.pdb     -17848.360417 kBT
3f1hA_M345.pdb     -17843.071718 kBT
3f1hA_M474.pdb     -17256.332650 kBT
3f1hA_M452.pdb     -17295.251206 kBT
3f1hA_M275.pdb     -18115.897392 kBT
3f1hA_M360.pdb     -17398.933655 kBT
3f1hA_M376.pdb     -17416.545403 kBT
3f1hA_M232.pdb     -18194.897782 kBT
3f1hA_M263.pdb     -17768.923536 kBT
3f1hA_M116.pdb     -18998.460634 kBT
3f1hA_M324.pdb     -17595.829376 kBT
3f1hA_M393.pdb     -17250.831464 kBT
3f1hA_M246.pdb     -17822.331580 kBT
3f1hA_M67.pdb     -19731.706288 kBT
3f1hA_M293.pdb     -17704.819441 kBT
3f1hA_M424.pdb     -17300.133231 kBT
3f1hA_M269.pdb     -17904.509677 kBT
3f1hA_M73.pdb     -19377.423515 kBT
3f1hA_M147.pdb     -18631.235231 kBT
3f1hA_M201.pdb     -18338.271429 kBT
3f1hA_M368.pdb     -17534.016954 kBT
3f1hA_M223.pdb     -18058.962392 kBT
3f1hA_M440.pdb     -17469.004423 kBT
3f1hA_M18.pdb     -21391.111150 kBT
3f1hA_M426.pdb     -17426.877544 kBT
3f1hA_M381.pdb     -17330.074072 kBT
3f1hA_M370.pdb     -17680.850640 kBT
3f1hA_M290.pdb     -17818.011926 kBT
3f1hA_M434.pdb     -17270.112810 kBT
3f1hA_M238.pdb     -18153.637483 kBT
3f1hA_M93.pdb     -19415.447626 kBT
3f1hA_M130.pdb     -18618.005991 kBT
3f1hA_M356.pdb     -17343.977733 kBT
3f1hA_M411.pdb     -17453.063948 kBT
3f1hA_M1.pdb     -21712.031676 kBT
3f1hA_M19.pdb     -21465.485469 kBT
3f1hA_M140.pdb     -18545.762013 kBT
3f1hA_M228.pdb     -18083.928925 kBT
3f1hA_M23.pdb     -21161.276820 kBT
3f1hA_M495.pdb     -17344.252372 kBT
3f1hA_M233.pdb     -18175.885891 kBT
3f1hA_M467.pdb     -17108.366717 kBT
3f1hA_M266.pdb     -17452.795981 kBT
3f1hA_M99.pdb     -19060.116724 kBT
3f1hA_M457.pdb     -17277.265196 kBT
3f1hA_M429.pdb     -17094.119717 kBT
3f1hA_M469.pdb     -17186.702776 kBT
3f1hA_M92.pdb     -19211.793940 kBT
3f1hA_M422.pdb     -17400.631000 kBT
3f1hA_M108.pdb     -19026.328117 kBT
3f1hA_M154.pdb     -18078.338648 kBT
3f1hA_M107.pdb     -19102.127405 kBT
3f1hA_M448.pdb     -17503.337865 kBT
3f1hA_M349.pdb     -17551.514202 kBT
3f1hA_M386.pdb     -17420.730713 kBT
3f1hA_M499.pdb     -17037.266990 kBT
3f1hA_M402.pdb     -17406.594192 kBT
3f1hA_M413.pdb     -17245.928814 kBT
3f1hA_M135.pdb     -18819.853175 kBT
3f1hA_M240.pdb     -17623.942717 kBT
3f1hA_M168.pdb     -18444.247804 kBT
3f1hA_M251.pdb     -17935.679401 kBT
3f1hA_M43.pdb     -20414.501188 kBT
3f1hA_M163.pdb     -18276.983267 kBT
3f1hA_M231.pdb     -17963.116317 kBT
3f1hA_M491.pdb     -17193.991809 kBT
3f1hA_M9.pdb     -21743.549732 kBT
3f1hA_M32.pdb     -20714.783589 kBT
3f1hA_M103.pdb     -19153.061792 kBT
3f1hA_M254.pdb     -18031.692872 kBT
3f1hA_M47.pdb     -20214.199194 kBT
3f1hA_M328.pdb     -17412.602698 kBT
3f1hA_M219.pdb     -18028.503159 kBT
3f1hA_M138.pdb     -18831.254423 kBT
3f1hA_M418.pdb     -17196.762303 kBT
3f1hA_M167.pdb     -18482.476676 kBT
3f1hA_M414.pdb     -17610.689524 kBT
3f1hA_M208.pdb     -18256.418436 kBT
3f1hA_M436.pdb     -17490.919808 kBT
3f1hA_M319.pdb     -17853.107448 kBT
3f1hA_M242.pdb     -17868.428561 kBT
3f1hA_M30.pdb     -20694.198709 kBT
3f1hA_M187.pdb     -18482.088209 kBT
3f1hA_M36.pdb     -20666.305150 kBT
3f1hA_M34.pdb     -20830.561533 kBT
3f1hA_M315.pdb     -17766.643991 kBT
3f1hA_M237.pdb     -17901.448678 kBT
3f1hA_M235.pdb     -17977.139229 kBT
3f1hA_M384.pdb     -17392.579366 kBT
3f1hA_M331.pdb     -17329.170704 kBT
3f1hA_M224.pdb     -18233.803617 kBT
3f1hA_M364.pdb     -17394.071940 kBT
3f1hA_M31.pdb     -20658.380311 kBT
3f1hA_M39.pdb     -20463.087192 kBT
3f1hA_M89.pdb     -19147.797246 kBT
3f1hA_M433.pdb     -17239.262394 kBT
3f1hA_M97.pdb     -19148.893807 kBT
3f1hA_M447.pdb     -17334.776437 kBT
3f1hA_M493.pdb     -17323.200677 kBT
3f1hA_M105.pdb     -18923.077975 kBT
3f1hA_M383.pdb     -17178.850212 kBT
3f1hA_M144.pdb     -18381.539233 kBT
3f1hA_M35.pdb     -20736.657604 kBT
3f1hA_M388.pdb     -17399.475536 kBT
3f1hA_M366.pdb     -17632.887427 kBT
3f1hA_M327.pdb     -17394.848762 kBT
3f1hA_M88.pdb     -19362.317716 kBT
3f1hA_M374.pdb     -17348.179255 kBT
3f1hA_M445.pdb     -17337.021244 kBT
3f1hA_M401.pdb     -17631.156271 kBT
3f1hA_M75.pdb     -19430.946491 kBT
3f1hA_M184.pdb     -18373.006229 kBT
3f1hA_M428.pdb     -17537.561988 kBT
3f1hA_M98.pdb     -19223.447752 kBT
3f1hA_M29.pdb     -20857.655056 kBT
3f1hA_M141.pdb     -18602.219737 kBT
3f1hA_M131.pdb     -18693.930820 kBT
3f1hA_M188.pdb     -18258.517323 kBT
3f1hA_M165.pdb     -18174.580252 kBT
3f1hA_M137.pdb     -18536.444468 kBT
3f1hA_M265.pdb     -17997.525325 kBT
3f1hA_M74.pdb     -19675.849210 kBT
3f1hA_M451.pdb     -17451.569843 kBT
3f1hA_M60.pdb     -19641.585011 kBT
3f1hA_M400.pdb     -17273.398917 kBT
3f1hA_M357.pdb     -17341.164573 kBT
3f1hA_M16.pdb     -21493.345449 kBT
3f1hA_M146.pdb     -18735.778506 kBT
3f1hA_M177.pdb     -18452.099574 kBT
3f1hA_M176.pdb     -18328.621140 kBT
3f1hA_M339.pdb     -17597.205817 kBT
3f1hA_M317.pdb     -17775.809039 kBT
3f1hA_M277.pdb     -17754.347887 kBT
3f1hA_M305.pdb     -17735.288701 kBT
3f1hA_M272.pdb     -18035.273676 kBT
3f1hA_M44.pdb     -20317.794631 kBT
3f1hA_M189.pdb     -18285.288293 kBT
3f1hA_M320.pdb     -17594.647517 kBT
3f1hA_M68.pdb     -19953.792334 kBT
3f1hA_M276.pdb     -17627.552087 kBT
3f1hA_M218.pdb     -18077.627531 kBT
3f1hA_M255.pdb     -17986.638274 kBT
3f1hA_M214.pdb     -18239.695266 kBT
3f1hA_M87.pdb     -19236.961772 kBT
3f1hA_M56.pdb     -20041.868132 kBT
3f1hA_M410.pdb     -17323.481486 kBT
3f1hA_M217.pdb     -18108.824522 kBT
3f1hA_M382.pdb     -17411.874224 kBT
3f1hA_M415.pdb     -17308.115638 kBT
3f1hA_M85.pdb     -19317.909201 kBT
3f1hA_M96.pdb     -19315.050171 kBT
3f1hA_M337.pdb     -17279.537054 kBT
3f1hA_M209.pdb     -18286.899752 kBT
3f1hA_M314.pdb     -17796.684259 kBT
3f1hA_M321.pdb     -17602.526115 kBT
3f1hA_M59.pdb     -19846.437135 kBT
3f1hA_M363.pdb     -17577.544323 kBT
3f1hA_M373.pdb     -17407.753810 kBT
3f1hA_M316.pdb     -17420.134319 kBT
3f1hA_M225.pdb     -18055.180100 kBT
3f1hA_M256.pdb     -17538.022611 kBT
3f1hA_M4.pdb     -21694.634203 kBT
3f1hA_M483.pdb     -17201.965073 kBT
3f1hA_M14.pdb     -21631.223835 kBT
3f1hA_M462.pdb     -17143.954985 kBT
3f1hA_M12.pdb     -21665.350871 kBT
3f1hA_M33.pdb     -20814.555000 kBT
3f1hA_M454.pdb     -17179.013368 kBT
3f1hA_M318.pdb     -17416.057920 kBT
3f1hA_M444.pdb     -17173.549523 kBT
3f1hA_M435.pdb     -17164.988546 kBT
3f1hA_M335.pdb     -17325.376833 kBT
3f1hA_M115.pdb     -18955.320113 kBT
3f1hA_M464.pdb     -17238.024608 kBT
3f1hA_M380.pdb     -17400.276478 kBT
3f1hA_M490.pdb     -17290.635663 kBT
3f1hA_M253.pdb     -17951.929397 kBT
3f1hA_M296.pdb     -17750.851869 kBT
3f1hA_M466.pdb     -17068.510515 kBT
3f1hA_M421.pdb     -17444.474819 kBT
3f1hA_M169.pdb     -18306.940029 kBT
3f1hA_M264.pdb     -17833.599637 kBT
3f1hA_M171.pdb     -18475.872169 kBT
3f1hA_M485.pdb     -17092.190619 kBT
3f1hA_M207.pdb     -18041.888959 kBT
3f1hA_M53.pdb     -20076.162104 kBT
3f1hA_M28.pdb     -21024.475821 kBT
3f1hA_M274.pdb     -17640.282292 kBT
3f1hA_M199.pdb     -18151.803042 kBT
3f1hA_M162.pdb     -18566.635359 kBT
3f1hA_M119.pdb     -18738.045438 kBT
3f1hA_M132.pdb     -18743.909371 kBT
3f1hA_M226.pdb     -17868.344434 kBT
3f1hA_M106.pdb     -19273.770899 kBT
3f1hA_M344.pdb     -17597.611802 kBT
3f1hA_M438.pdb     -17294.547116 kBT
3f1hA_M117.pdb     -18797.842084 kBT
3f1hA_M46.pdb     -20028.936697 kBT
3f1hA_M205.pdb     -18047.627213 kBT
3f1hA_M407.pdb     -17312.307311 kBT
3f1hA_M423.pdb     -17344.645734 kBT
3f1hA_M22.pdb     -21182.480540 kBT
3f1hA_M278.pdb     -17871.862878 kBT
3f1hA_M17.pdb     -21460.988036 kBT
3f1hA_M186.pdb     -18278.217152 kBT
3f1hA_M123.pdb     -18545.594590 kBT
3f1hA_M134.pdb     -18456.325510 kBT
3f1hA_M204.pdb     -18104.142172 kBT
3f1hA_M417.pdb     -17485.129086 kBT
3f1hA_M212.pdb     -17890.596948 kBT
3f1hA_M475.pdb     -17443.246239 kBT
3f1hA_M69.pdb     -19797.139428 kBT
3f1hA_M453.pdb     -17498.066479 kBT
3f1hA_M354.pdb     -17546.325991 kBT
3f1hA_M461.pdb     -17369.195840 kBT
3f1hA_M498.pdb     -17247.170849 kBT
3f1hA_M391.pdb     -17547.648930 kBT
3f1hA_M362.pdb     -17622.892382 kBT
3f1hA_M101.pdb     -19033.258246 kBT
3f1hA_M470.pdb     -17282.176372 kBT
3f1hA_M125.pdb     -18636.650383 kBT
3f1hA_M437.pdb     -17418.528241 kBT
3f1hA_M258.pdb     -17945.461723 kBT
3f1hA_M216.pdb     -18160.954662 kBT
3f1hA_M124.pdb     -18828.071388 kBT
3f1hA_M86.pdb     -19438.027337 kBT
3f1hA_M252.pdb     -17990.792835 kBT
3f1hA_M11.pdb     -21629.196649 kBT
3f1hA_M389.pdb     -17456.582862 kBT
3f1hA_M230.pdb     -17804.337938 kBT
3f1hA_M58.pdb     -19972.250274 kBT
3f1hA_M150.pdb     -18152.991048 kBT
3f1hA_M325.pdb     -17440.539023 kBT
3f1hA_M51.pdb     -20385.124645 kBT
3f1hA_M427.pdb     -17398.944611 kBT
3f1hA_M301.pdb     -17582.853640 kBT
3f1hA_M111.pdb     -19049.351958 kBT
3f1hA_M261.pdb     -17836.075396 kBT
3f1hA_M477.pdb     -17074.874979 kBT
3f1hA_M245.pdb     -17907.063683 kBT
3f1hA_M285.pdb     -17739.297250 kBT
3f1hA_M295.pdb     -17985.987901 kBT
3f1hA_M372.pdb     -17478.844586 kBT
3f1hA_M20.pdb     -21172.965529 kBT
3f1hA_M279.pdb     -17880.823523 kBT
3f1hA_M456.pdb     -17276.505270 kBT
3f1hA_M3.pdb     -21735.984853 kBT
3f1hA_M198.pdb     -18237.732180 kBT
3f1hA_M91.pdb     -19327.136622 kBT
3f1hA_M486.pdb     -17444.525251 kBT
3f1hA_M173.pdb     -18357.539336 kBT
3f1hA_M385.pdb     -17387.339231 kBT
3f1hA_M84.pdb     -19147.900851 kBT
3f1hA_M322.pdb     -17582.483955 kBT
3f1hA_M420.pdb     -17390.523379 kBT
3f1hA_M114.pdb     -19082.065418 kBT
3f1hA_M175.pdb     -18230.794694 kBT
3f1hA_M450.pdb     -17334.846623 kBT
3f1hA_M26.pdb     -21122.091595 kBT
3f1hA_M347.pdb     -17752.067352 kBT
3f1hA_M178.pdb     -18328.789721 kBT
3f1hA_M159.pdb     -18559.974742 kBT
3f1hA_M2.pdb     -21691.839279 kBT
3f1hA_M241.pdb     -17805.322669 kBT
3f1hA_M220.pdb     -18092.891742 kBT
3f1hA_M37.pdb     -20606.507259 kBT
3f1hA_M55.pdb     -19885.817192 kBT
3f1hA_M191.pdb     -18094.477839 kBT
3f1hA_M121.pdb     -18974.343768 kBT
3f1hA_M416.pdb     -17402.319614 kBT
3f1hA_M430.pdb     -17360.067734 kBT
3f1hA_M143.pdb     -18899.323473 kBT
3f1hA_M260.pdb     -17796.954714 kBT
3f1hA_M142.pdb     -18758.122361 kBT
3f1hA_M412.pdb     -17427.420444 kBT
3f1hA_M289.pdb     -17864.320996 kBT
3f1hA_M120.pdb     -18962.454673 kBT
3f1hA_M81.pdb     -19335.624292 kBT
3f1hA_M52.pdb     -20165.402513 kBT
3f1hA_M48.pdb     -20253.072688 kBT
3f1hA_M203.pdb     -18094.942574 kBT
3f1hA_M27.pdb     -20955.528352 kBT
3f1hA_M185.pdb     -18461.803090 kBT
3f1hA_M72.pdb     -19466.302646 kBT
3f1hA_M155.pdb     -18321.355480 kBT
3f1hA_M64.pdb     -19622.035063 kBT
3f1hA_M455.pdb     -17270.939289 kBT
3f1hA_M472.pdb     -17174.303095 kBT
3f1hA_M280.pdb     -17713.043016 kBT
3f1hA_M307.pdb     -17665.367981 kBT
3f1hA_M76.pdb     -19649.608457 kBT
3f1hA_M151.pdb     -18380.163655 kBT
3f1hA_M94.pdb     -18902.884378 kBT
3f1hA_M21.pdb     -21379.226085 kBT
3f1hA_M100.pdb     -19092.237026 kBT
3f1hA_M79.pdb     -19336.146634 kBT
3f1hA_M197.pdb     -18267.516317 kBT
3f1hA_M133.pdb     -18778.051440 kBT
3f1hA_M309.pdb     -17843.589618 kBT
3f1hA_M342.pdb     -17456.294299 kBT
3f1hA_M270.pdb     -17923.912603 kBT
3f1hA_M341.pdb     -17588.598419 kBT
3f1hA_M294.pdb     -17707.210394 kBT
3f1hA_M484.pdb     -17062.685111 kBT
3f1hA_M166.pdb     -18346.420804 kBT
3f1hA_M496.pdb     -17460.615311 kBT
3f1hA_M110.pdb     -19148.755910 kBT
3f1hA_M247.pdb     -17970.709741 kBT
3f1hA_M40.pdb     -20809.280188 kBT
3f1hA_M25.pdb     -20899.384461 kBT
3f1hA_M136.pdb     -18766.649719 kBT
3f1hA_M489.pdb     -17486.192972 kBT
3f1hA_M213.pdb     -18305.485057 kBT
3f1hA_M192.pdb     -18110.382910 kBT
3f1hA_M330.pdb     -17189.193219 kBT
3f1hA_M61.pdb     -19856.558855 kBT
3f1hA_M379.pdb     -17355.026515 kBT
3f1hA_M494.pdb     -17123.272202 kBT
3f1hA_M244.pdb     -17726.433689 kBT
3f1hA_M234.pdb     -17843.419892 kBT
3f1hA_M172.pdb     -18582.487164 kBT
3f1hA_M128.pdb     -18942.464354 kBT
3f1hA_M282.pdb     -17679.970584 kBT
3f1hA_M170.pdb     -18294.462379 kBT
3f1hA_M65.pdb     -19655.415962 kBT
3f1hA_M292.pdb     -17713.399462 kBT
3f1hA_M196.pdb     -18075.317045 kBT
3f1hA_M303.pdb     -17573.578108 kBT
3f1hA_M405.pdb     -17374.608827 kBT
3f1hA_M468.pdb     -17517.447743 kBT
3f1hA_M458.pdb     -17496.354182 kBT
3f1hA_M340.pdb     -17601.172789 kBT
3f1hA_M210.pdb     -18168.468813 kBT
3f1hA_M287.pdb     -17814.124357 kBT
3f1hA_M118.pdb     -18867.071228 kBT
3f1hA_M239.pdb     -17931.221787 kBT
3f1hA_M62.pdb     -19772.759197 kBT
3f1hA_M284.pdb     -17749.875565 kBT
3f1hA_M129.pdb     -18930.603539 kBT
3f1hA_M7.pdb     -21817.730697 kBT
3f1hA_M394.pdb     -17505.129961 kBT
3f1hA_M15.pdb     -21488.003389 kBT
3f1hA_M297.pdb     -17704.909068 kBT
3f1hA_M102.pdb     -19065.231113 kBT
3f1hA_M476.pdb     -17273.259447 kBT
3f1hA_M351.pdb     -17712.699005 kBT
3f1hA_M5.pdb     -21712.484517 kBT
3f1hA_M390.pdb     -17358.962981 kBT
3f1hA_M54.pdb     -20062.388396 kBT
3f1hA_M250.pdb     -17783.796377 kBT
3f1hA_M8.pdb     -21642.573993 kBT
3f1hA_M359.pdb     -17464.589951 kBT
3f1hA_M409.pdb     -17571.159665 kBT
3f1hA_M49.pdb     -20184.128983 kBT
3f1hA_M66.pdb     -19835.230410 kBT
3f1hA_M181.pdb     -18209.949113 kBT
3f1hA_M343.pdb     -17574.202660 kBT
3f1hA_M338.pdb     -17544.221754 kBT
3f1hA_M471.pdb     -17146.693629 kBT
3f1hA_M153.pdb     -18630.289873 kBT
3f1hA_M478.pdb     -17436.533952 kBT
3f1hA_M459.pdb     -17188.286604 kBT
3f1hA_M248.pdb     -17748.874323 kBT
3f1hA_M326.pdb     -17848.866698 kBT
3f1hA_M160.pdb     -18254.406327 kBT
3f1hA.pdb     -21943.157314 kBT
3f1hA_M286.pdb     -17867.197273 kBT
3f1hA_M355.pdb     -17626.248775 kBT
3f1hA_M346.pdb     -17410.517497 kBT
3f1hA_M90.pdb     -19261.673519 kBT
3f1hA_M431.pdb     -17510.945446 kBT
3f1hA_M78.pdb     -19663.225090 kBT
3f1hA_M180.pdb     -18413.873967 kBT
3f1hA_M387.pdb     -17423.178099 kBT
3f1hA_M57.pdb     -20148.770480 kBT
3f1hA_M348.pdb     -17749.017624 kBT
3f1hA_M268.pdb     -17962.952862 kBT
3f1hA_M41.pdb     -20405.087993 kBT
3f1hA_M77.pdb     -19745.526940 kBT
3f1hA_M367.pdb     -17520.989072 kBT
3f1hA_M273.pdb     -17493.861853 kBT
3f1hA_M306.pdb     -17788.603085 kBT
3f1hA_M304.pdb     -17800.103453 kBT
3f1hA_M408.pdb     -17146.697619 kBT
3f1hA_M404.pdb     -17097.904617 kBT
3f1hA_M482.pdb     -17261.187379 kBT
3f1hA_M152.pdb     -18447.548218 kBT
3f1hA_M200.pdb     -18114.738842 kBT
3f1hA_M336.pdb     -17285.815474 kBT
3f1hA_M271.pdb     -17929.690310 kBT
3f1hA_M126.pdb     -18505.382083 kBT
3f1hA_M481.pdb     -17128.253809 kBT
3f1hA_M333.pdb     -17702.523698 kBT
3f1hA_M439.pdb     -17428.689756 kBT
3f1hA_M13.pdb     -21637.439717 kBT
3f1hA_M465.pdb     -17281.084437 kBT
3f1hA_M193.pdb     -17965.262839 kBT
3f1hA_M148.pdb     -18601.363897 kBT
3f1hA_M488.pdb     -17328.938502 kBT
3f1hA_M473.pdb     -17148.891111 kBT
3f1hA_M352.pdb     -17708.437760 kBT
3f1hA_M406.pdb     -17332.094645 kBT
3f1hA_M329.pdb     -17706.901431 kBT
3f1hA_M236.pdb     -18004.756774 kBT
3f1hA_M311.pdb     -17744.930708 kBT
3f1hA_M243.pdb     -17981.174958 kBT
3f1hA_M161.pdb     -18399.443305 kBT
3f1hA_M358.pdb     -17570.460092 kBT
3f1hA_M369.pdb     -17524.598952 kBT
3f1hA_M419.pdb     -17454.079412 kBT
3f1hA_M332.pdb     -17728.920283 kBT
3f1hA_M104.pdb     -18732.096789 kBT
3f1hA_M249.pdb     -18155.888064 kBT
