1jbrD_M190.pdb     -229.702854 kBT
1jbrD_M89.pdb     -224.505757 kBT
1jbrD_M92.pdb     -212.123685 kBT
1jbrD_M294.pdb     -172.549385 kBT
1jbrD_M8.pdb     -318.964829 kBT
1jbrD_M200.pdb     -191.193734 kBT
1jbrD_M196.pdb     -202.463078 kBT
1jbrD_M357.pdb     -217.204685 kBT
1jbrD_M306.pdb     -211.259816 kBT
1jbrD_M296.pdb     -197.047436 kBT
1jbrD_M185.pdb     -173.543867 kBT
1jbrD_M82.pdb     -240.761449 kBT
1jbrD_M392.pdb     -169.813774 kBT
1jbrD_M349.pdb     -194.572763 kBT
1jbrD_M453.pdb     -182.431813 kBT
1jbrD_M362.pdb     -214.020790 kBT
1jbrD_M163.pdb     -208.645173 kBT
1jbrD_M63.pdb     -261.668774 kBT
1jbrD_M15.pdb     -280.188672 kBT
1jbrD_M408.pdb     -201.191011 kBT
1jbrD_M150.pdb     -224.090795 kBT
1jbrD_M137.pdb     -224.288944 kBT
1jbrD_M291.pdb     -185.219690 kBT
1jbrD_M409.pdb     -184.712046 kBT
1jbrD_M73.pdb     -222.249817 kBT
1jbrD_M97.pdb     -195.038798 kBT
1jbrD_M341.pdb     -219.495796 kBT
1jbrD_M126.pdb     -225.622403 kBT
1jbrD_M313.pdb     -201.817282 kBT
1jbrD_M390.pdb     -190.426575 kBT
1jbrD_M396.pdb     -189.611184 kBT
1jbrD_M447.pdb     -186.698604 kBT
1jbrD_M48.pdb     -297.204150 kBT
1jbrD_M266.pdb     -197.396096 kBT
1jbrD_M307.pdb     -195.950666 kBT
1jbrD_M18.pdb     -286.130506 kBT
1jbrD_M177.pdb     -238.353238 kBT
1jbrD_M197.pdb     -225.225178 kBT
1jbrD_M156.pdb     -179.094662 kBT
1jbrD_M219.pdb     -225.070188 kBT
1jbrD_M346.pdb     -200.632980 kBT
1jbrD_M417.pdb     -212.250601 kBT
1jbrD_M269.pdb     -213.847480 kBT
1jbrD_M380.pdb     -225.703342 kBT
1jbrD_M315.pdb     -188.701059 kBT
1jbrD_M290.pdb     -199.043675 kBT
1jbrD_M319.pdb     -211.728884 kBT
1jbrD_M184.pdb     -198.100138 kBT
1jbrD_M161.pdb     -225.420823 kBT
1jbrD_M410.pdb     -139.107563 kBT
1jbrD_M182.pdb     -171.772631 kBT
1jbrD_M298.pdb     -187.994684 kBT
1jbrD_M471.pdb     -182.852567 kBT
1jbrD_M431.pdb     -193.332744 kBT
1jbrD_M142.pdb     -204.736856 kBT
1jbrD_M117.pdb     -234.472071 kBT
1jbrD_M279.pdb     -192.802915 kBT
1jbrD_M34.pdb     -282.368140 kBT
1jbrD_M418.pdb     -170.334063 kBT
1jbrD_M46.pdb     -259.993101 kBT
1jbrD_M328.pdb     -217.645723 kBT
1jbrD_M66.pdb     -213.777241 kBT
1jbrD_M56.pdb     -272.345802 kBT
1jbrD_M430.pdb     -185.945147 kBT
1jbrD_M268.pdb     -170.595632 kBT
1jbrD_M305.pdb     -194.200638 kBT
1jbrD_M454.pdb     -192.496860 kBT
1jbrD_M78.pdb     -224.472191 kBT
1jbrD_M432.pdb     -182.990127 kBT
1jbrD_M158.pdb     -185.795657 kBT
1jbrD_M60.pdb     -254.346762 kBT
1jbrD_M475.pdb     -186.063863 kBT
1jbrD_M262.pdb     -196.210438 kBT
1jbrD_M314.pdb     -188.959954 kBT
1jbrD_M93.pdb     -235.221370 kBT
1jbrD_M213.pdb     -212.131552 kBT
1jbrD_M293.pdb     -184.483347 kBT
1jbrD_M444.pdb     -197.544175 kBT
1jbrD_M176.pdb     -193.387115 kBT
1jbrD_M70.pdb     -252.082233 kBT
1jbrD_M35.pdb     -273.171680 kBT
1jbrD_M477.pdb     -155.668347 kBT
1jbrD_M125.pdb     -213.766110 kBT
1jbrD_M242.pdb     -218.232724 kBT
1jbrD_M327.pdb     -216.507532 kBT
1jbrD_M474.pdb     -204.661455 kBT
1jbrD_M333.pdb     -169.978246 kBT
1jbrD_M385.pdb     -197.163240 kBT
1jbrD_M442.pdb     -173.595729 kBT
1jbrD_M274.pdb     -183.961888 kBT
1jbrD_M226.pdb     -210.376044 kBT
1jbrD_M95.pdb     -244.558434 kBT
1jbrD_M201.pdb     -216.962509 kBT
1jbrD_M178.pdb     -206.998340 kBT
1jbrD_M140.pdb     -230.503158 kBT
1jbrD_M84.pdb     -213.791916 kBT
1jbrD_M52.pdb     -245.273227 kBT
1jbrD_M258.pdb     -193.097225 kBT
1jbrD_M463.pdb     -175.230885 kBT
1jbrD_M441.pdb     -206.038033 kBT
1jbrD_M355.pdb     -196.363101 kBT
1jbrD_M115.pdb     -219.020072 kBT
1jbrD_M326.pdb     -185.929706 kBT
1jbrD_M94.pdb     -234.566947 kBT
1jbrD_M309.pdb     -213.331737 kBT
1jbrD_M365.pdb     -218.269265 kBT
1jbrD_M210.pdb     -175.266860 kBT
1jbrD_M358.pdb     -184.407287 kBT
1jbrD_M12.pdb     -297.913412 kBT
1jbrD_M347.pdb     -219.263321 kBT
1jbrD_M67.pdb     -223.930255 kBT
1jbrD_M179.pdb     -219.039822 kBT
1jbrD_M251.pdb     -203.504788 kBT
1jbrD_M302.pdb     -224.809640 kBT
1jbrD_M273.pdb     -198.922141 kBT
1jbrD_M487.pdb     -209.750219 kBT
1jbrD_M381.pdb     -211.521522 kBT
1jbrD_M164.pdb     -205.749149 kBT
1jbrD_M427.pdb     -201.517234 kBT
1jbrD_M236.pdb     -142.992497 kBT
1jbrD_M62.pdb     -228.711756 kBT
1jbrD_M426.pdb     -172.200700 kBT
1jbrD_M496.pdb     -191.008202 kBT
1jbrD_M353.pdb     -230.318578 kBT
1jbrD_M461.pdb     -181.247012 kBT
1jbrD_M383.pdb     -193.013303 kBT
1jbrD_M118.pdb     -229.546404 kBT
1jbrD_M261.pdb     -225.707222 kBT
1jbrD_M476.pdb     -169.431022 kBT
1jbrD_M212.pdb     -215.949655 kBT
1jbrD_M404.pdb     -175.067994 kBT
1jbrD_M406.pdb     -198.358074 kBT
1jbrD_M255.pdb     -200.300717 kBT
1jbrD_M228.pdb     -196.812775 kBT
1jbrD_M480.pdb     -185.573356 kBT
1jbrD_M114.pdb     -223.687900 kBT
1jbrD_M490.pdb     -182.919332 kBT
1jbrD_M334.pdb     -186.775607 kBT
1jbrD_M276.pdb     -156.406461 kBT
1jbrD_M55.pdb     -259.735508 kBT
1jbrD_M32.pdb     -254.018436 kBT
1jbrD_M277.pdb     -214.629401 kBT
1jbrD_M493.pdb     -172.512691 kBT
1jbrD_M450.pdb     -183.128889 kBT
1jbrD_M231.pdb     -208.255927 kBT
1jbrD_M335.pdb     -199.638265 kBT
1jbrD_M297.pdb     -194.169668 kBT
1jbrD_M71.pdb     -217.805204 kBT
1jbrD_M344.pdb     -203.274998 kBT
1jbrD_M221.pdb     -207.560789 kBT
1jbrD_M172.pdb     -178.070090 kBT
1jbrD_M416.pdb     -182.757614 kBT
1jbrD_M98.pdb     -189.678141 kBT
1jbrD_M195.pdb     -190.238086 kBT
1jbrD_M491.pdb     -211.164821 kBT
1jbrD_M16.pdb     -285.195129 kBT
1jbrD_M40.pdb     -260.562592 kBT
1jbrD_M468.pdb     -183.968985 kBT
1jbrD_M361.pdb     -200.475590 kBT
1jbrD_M88.pdb     -231.641269 kBT
1jbrD_M124.pdb     -246.747034 kBT
1jbrD_M391.pdb     -198.476079 kBT
1jbrD.pdb     -309.274506 kBT
1jbrD_M191.pdb     -257.342677 kBT
1jbrD_M440.pdb     -153.455111 kBT
1jbrD_M303.pdb     -199.068178 kBT
1jbrD_M260.pdb     -199.539876 kBT
1jbrD_M4.pdb     -315.846662 kBT
1jbrD_M438.pdb     -226.357814 kBT
1jbrD_M123.pdb     -203.380537 kBT
1jbrD_M489.pdb     -153.950275 kBT
1jbrD_M369.pdb     -174.832884 kBT
1jbrD_M232.pdb     -230.987434 kBT
1jbrD_M109.pdb     -219.238662 kBT
1jbrD_M295.pdb     -209.676461 kBT
1jbrD_M486.pdb     -182.888193 kBT
1jbrD_M186.pdb     -191.762506 kBT
1jbrD_M354.pdb     -187.376336 kBT
1jbrD_M343.pdb     -184.325354 kBT
1jbrD_M24.pdb     -303.199555 kBT
1jbrD_M425.pdb     -197.919095 kBT
1jbrD_M338.pdb     -194.882304 kBT
1jbrD_M337.pdb     -200.914275 kBT
1jbrD_M25.pdb     -280.755272 kBT
1jbrD_M421.pdb     -154.345885 kBT
1jbrD_M215.pdb     -199.526166 kBT
1jbrD_M187.pdb     -240.284423 kBT
1jbrD_M39.pdb     -245.517152 kBT
1jbrD_M10.pdb     -311.670732 kBT
1jbrD_M41.pdb     -302.664338 kBT
1jbrD_M434.pdb     -175.265434 kBT
1jbrD_M33.pdb     -279.622566 kBT
1jbrD_M282.pdb     -189.418191 kBT
1jbrD_M6.pdb     -312.775837 kBT
1jbrD_M14.pdb     -291.936252 kBT
1jbrD_M27.pdb     -287.461130 kBT
1jbrD_M209.pdb     -196.582682 kBT
1jbrD_M81.pdb     -215.926618 kBT
1jbrD_M325.pdb     -234.965105 kBT
1jbrD_M127.pdb     -211.945769 kBT
1jbrD_M230.pdb     -200.506708 kBT
1jbrD_M289.pdb     -172.914981 kBT
1jbrD_M45.pdb     -259.193896 kBT
1jbrD_M53.pdb     -268.903657 kBT
1jbrD_M423.pdb     -166.531588 kBT
1jbrD_M77.pdb     -258.320539 kBT
1jbrD_M366.pdb     -192.929417 kBT
1jbrD_M452.pdb     -189.308778 kBT
1jbrD_M38.pdb     -252.831317 kBT
1jbrD_M245.pdb     -180.848152 kBT
1jbrD_M143.pdb     -221.935021 kBT
1jbrD_M37.pdb     -236.226761 kBT
1jbrD_M263.pdb     -225.801406 kBT
1jbrD_M148.pdb     -196.005277 kBT
1jbrD_M397.pdb     -208.621676 kBT
1jbrD_M352.pdb     -159.922810 kBT
1jbrD_M278.pdb     -213.861258 kBT
1jbrD_M375.pdb     -197.036174 kBT
1jbrD_M90.pdb     -249.360819 kBT
1jbrD_M301.pdb     -199.389394 kBT
1jbrD_M218.pdb     -195.981921 kBT
1jbrD_M287.pdb     -191.862025 kBT
1jbrD_M495.pdb     -168.604691 kBT
1jbrD_M497.pdb     -131.562678 kBT
1jbrD_M336.pdb     -203.766324 kBT
1jbrD_M87.pdb     -235.963218 kBT
1jbrD_M321.pdb     -209.072757 kBT
1jbrD_M57.pdb     -236.202824 kBT
1jbrD_M323.pdb     -200.237392 kBT
1jbrD_M259.pdb     -194.570586 kBT
1jbrD_M20.pdb     -276.674648 kBT
1jbrD_M462.pdb     -209.979506 kBT
1jbrD_M1.pdb     -302.019313 kBT
1jbrD_M30.pdb     -280.193012 kBT
1jbrD_M436.pdb     -209.915688 kBT
1jbrD_M51.pdb     -269.327670 kBT
1jbrD_M351.pdb     -173.418401 kBT
1jbrD_M498.pdb     -186.864549 kBT
1jbrD_M19.pdb     -296.702348 kBT
1jbrD_M401.pdb     -219.178066 kBT
1jbrD_M108.pdb     -210.213942 kBT
1jbrD_M435.pdb     -182.162177 kBT
1jbrD_M340.pdb     -198.735122 kBT
1jbrD_M61.pdb     -256.997764 kBT
1jbrD_M134.pdb     -223.493202 kBT
1jbrD_M130.pdb     -217.085018 kBT
1jbrD_M135.pdb     -228.214973 kBT
1jbrD_M388.pdb     -138.520976 kBT
1jbrD_M473.pdb     -206.720083 kBT
1jbrD_M75.pdb     -232.371326 kBT
1jbrD_M131.pdb     -200.792949 kBT
1jbrD_M50.pdb     -237.949586 kBT
1jbrD_M382.pdb     -167.353701 kBT
1jbrD_M248.pdb     -204.857750 kBT
1jbrD_M85.pdb     -227.347687 kBT
1jbrD_M370.pdb     -196.174409 kBT
1jbrD_M224.pdb     -190.061265 kBT
1jbrD_M283.pdb     -212.858334 kBT
1jbrD_M415.pdb     -180.772264 kBT
1jbrD_M286.pdb     -208.976663 kBT
1jbrD_M384.pdb     -144.379572 kBT
1jbrD_M106.pdb     -228.828988 kBT
1jbrD_M141.pdb     -205.846712 kBT
1jbrD_M448.pdb     -217.096665 kBT
1jbrD_M145.pdb     -216.100555 kBT
1jbrD_M469.pdb     -177.211414 kBT
1jbrD_M113.pdb     -220.212997 kBT
1jbrD_M152.pdb     -190.962958 kBT
1jbrD_M183.pdb     -212.930810 kBT
1jbrD_M225.pdb     -228.628814 kBT
1jbrD_M451.pdb     -137.009411 kBT
1jbrD_M86.pdb     -223.031339 kBT
1jbrD_M31.pdb     -265.282274 kBT
1jbrD_M403.pdb     -211.932156 kBT
1jbrD_M386.pdb     -177.424452 kBT
1jbrD_M44.pdb     -281.954404 kBT
1jbrD_M292.pdb     -171.026539 kBT
1jbrD_M102.pdb     -238.802258 kBT
1jbrD_M345.pdb     -211.371689 kBT
1jbrD_M7.pdb     -319.316017 kBT
1jbrD_M484.pdb     -211.026700 kBT
1jbrD_M240.pdb     -207.436019 kBT
1jbrD_M428.pdb     -135.967626 kBT
1jbrD_M159.pdb     -212.503273 kBT
1jbrD_M74.pdb     -273.621384 kBT
1jbrD_M376.pdb     -156.153108 kBT
1jbrD_M29.pdb     -277.660530 kBT
1jbrD_M96.pdb     -223.798220 kBT
1jbrD_M222.pdb     -218.150805 kBT
1jbrD_M11.pdb     -303.560115 kBT
1jbrD_M407.pdb     -210.776031 kBT
1jbrD_M275.pdb     -181.057904 kBT
1jbrD_M437.pdb     -174.859536 kBT
1jbrD_M111.pdb     -220.102309 kBT
1jbrD_M446.pdb     -158.258340 kBT
1jbrD_M284.pdb     -182.546857 kBT
1jbrD_M65.pdb     -243.581770 kBT
1jbrD_M413.pdb     -192.529588 kBT
1jbrD_M411.pdb     -207.202226 kBT
1jbrD_M429.pdb     -197.718554 kBT
1jbrD_M368.pdb     -187.656024 kBT
1jbrD_M367.pdb     -192.765921 kBT
1jbrD_M103.pdb     -255.130022 kBT
1jbrD_M379.pdb     -177.187068 kBT
1jbrD_M399.pdb     -181.533226 kBT
1jbrD_M249.pdb     -227.612319 kBT
1jbrD_M214.pdb     -190.306269 kBT
1jbrD_M356.pdb     -163.838089 kBT
1jbrD_M76.pdb     -231.323368 kBT
1jbrD_M394.pdb     -224.307001 kBT
1jbrD_M69.pdb     -225.823406 kBT
1jbrD_M151.pdb     -209.626473 kBT
1jbrD_M424.pdb     -156.908658 kBT
1jbrD_M500.pdb     -161.802478 kBT
1jbrD_M272.pdb     -188.508916 kBT
1jbrD_M439.pdb     -150.439896 kBT
1jbrD_M175.pdb     -199.014085 kBT
1jbrD_M49.pdb     -259.277986 kBT
1jbrD_M342.pdb     -178.723469 kBT
1jbrD_M372.pdb     -223.024236 kBT
1jbrD_M54.pdb     -252.598741 kBT
1jbrD_M257.pdb     -233.938162 kBT
1jbrD_M205.pdb     -222.789461 kBT
1jbrD_M160.pdb     -196.736789 kBT
1jbrD_M457.pdb     -191.399542 kBT
