2quxR_M199.pdb     -135.966697 kBT
2quxR_M247.pdb     -137.505908 kBT
2quxR_M269.pdb     -100.435196 kBT
2quxR_M93.pdb     -167.186751 kBT
2quxR_M309.pdb     -170.457105 kBT
2quxR_M370.pdb     -101.545383 kBT
2quxR_M316.pdb     -116.812389 kBT
2quxR_M393.pdb     -109.020889 kBT
2quxR_M322.pdb     -133.365193 kBT
2quxR_M253.pdb     -147.458033 kBT
2quxR_M351.pdb     -123.104960 kBT
2quxR_M312.pdb     -152.634449 kBT
2quxR_M402.pdb     -104.554522 kBT
2quxR_M105.pdb     -165.594390 kBT
2quxR_M96.pdb     -186.089557 kBT
2quxR_M356.pdb     -164.016932 kBT
2quxR_M445.pdb     -80.921073 kBT
2quxR_M135.pdb     -175.573893 kBT
2quxR_M444.pdb     -79.479837 kBT
2quxR_M90.pdb     -194.248702 kBT
2quxR_M375.pdb     -142.017633 kBT
2quxR_M221.pdb     -119.084386 kBT
2quxR_M205.pdb     -165.028405 kBT
2quxR_M249.pdb     -140.015711 kBT
2quxR_M431.pdb     -87.108373 kBT
2quxR_M390.pdb     -140.125189 kBT
2quxR_M341.pdb     -106.147929 kBT
2quxR_M377.pdb     -126.927782 kBT
2quxR_M56.pdb     -205.055346 kBT
2quxR_M299.pdb     -140.430142 kBT
2quxR_M439.pdb     -97.920184 kBT
2quxR.pdb     -215.787694 kBT
2quxR_M499.pdb     -119.490783 kBT
2quxR_M469.pdb     -99.766452 kBT
2quxR_M440.pdb     -98.690820 kBT
2quxR_M325.pdb     -119.678680 kBT
2quxR_M491.pdb     -99.295777 kBT
2quxR_M337.pdb     -150.526209 kBT
2quxR_M153.pdb     -160.717078 kBT
2quxR_M239.pdb     -175.296931 kBT
2quxR_M411.pdb     -132.069299 kBT
2quxR_M28.pdb     -203.040865 kBT
2quxR_M31.pdb     -189.307228 kBT
2quxR_M13.pdb     -208.390300 kBT
2quxR_M154.pdb     -153.109424 kBT
2quxR_M48.pdb     -175.755697 kBT
2quxR_M67.pdb     -180.257059 kBT
2quxR_M413.pdb     -113.849694 kBT
2quxR_M293.pdb     -156.535997 kBT
2quxR_M454.pdb     -111.753625 kBT
2quxR_M297.pdb     -160.180524 kBT
2quxR_M193.pdb     -149.969611 kBT
2quxR_M488.pdb     -116.208981 kBT
2quxR_M266.pdb     -103.410568 kBT
2quxR_M212.pdb     -158.707895 kBT
2quxR_M474.pdb     -138.277750 kBT
2quxR_M320.pdb     -119.768904 kBT
2quxR_M290.pdb     -115.293199 kBT
2quxR_M146.pdb     -175.356551 kBT
2quxR_M54.pdb     -200.941931 kBT
2quxR_M415.pdb     -132.849398 kBT
2quxR_M172.pdb     -160.934058 kBT
2quxR_M281.pdb     -143.360041 kBT
2quxR_M181.pdb     -164.353224 kBT
2quxR_M260.pdb     -174.488738 kBT
2quxR_M425.pdb     -165.426291 kBT
2quxR_M263.pdb     -142.400444 kBT
2quxR_M357.pdb     -132.448017 kBT
2quxR_M259.pdb     -142.251348 kBT
2quxR_M434.pdb     -132.326320 kBT
2quxR_M495.pdb     -114.425355 kBT
2quxR_M39.pdb     -212.352472 kBT
2quxR_M52.pdb     -198.926102 kBT
2quxR_M433.pdb     -129.002733 kBT
2quxR_M267.pdb     -166.992315 kBT
2quxR_M397.pdb     -85.423496 kBT
2quxR_M420.pdb     -138.019577 kBT
2quxR_M305.pdb     -153.084966 kBT
2quxR_M332.pdb     -163.282318 kBT
2quxR_M345.pdb     -121.238588 kBT
2quxR_M374.pdb     -154.310845 kBT
2quxR_M447.pdb     -133.739414 kBT
2quxR_M133.pdb     -176.147932 kBT
2quxR_M353.pdb     -134.876771 kBT
2quxR_M204.pdb     -121.908573 kBT
2quxR_M231.pdb     -156.161279 kBT
2quxR_M167.pdb     -168.223154 kBT
2quxR_M170.pdb     -152.172947 kBT
2quxR_M358.pdb     -138.161179 kBT
2quxR_M71.pdb     -191.549199 kBT
2quxR_M22.pdb     -219.383029 kBT
2quxR_M216.pdb     -153.297524 kBT
2quxR_M1.pdb     -223.236054 kBT
2quxR_M361.pdb     -105.462250 kBT
2quxR_M30.pdb     -214.771304 kBT
2quxR_M354.pdb     -136.594526 kBT
2quxR_M134.pdb     -173.326325 kBT
2quxR_M35.pdb     -204.190408 kBT
2quxR_M424.pdb     -139.916502 kBT
2quxR_M229.pdb     -150.124274 kBT
2quxR_M326.pdb     -112.003702 kBT
2quxR_M446.pdb     -120.144428 kBT
2quxR_M500.pdb     -85.470295 kBT
2quxR_M421.pdb     -124.877680 kBT
2quxR_M37.pdb     -214.580878 kBT
2quxR_M125.pdb     -155.217977 kBT
2quxR_M207.pdb     -128.048688 kBT
2quxR_M61.pdb     -172.890384 kBT
2quxR_M49.pdb     -211.238524 kBT
2quxR_M400.pdb     -109.518028 kBT
2quxR_M330.pdb     -129.603353 kBT
2quxR_M209.pdb     -154.922087 kBT
2quxR_M298.pdb     -91.484025 kBT
2quxR_M336.pdb     -139.500800 kBT
2quxR_M329.pdb     -130.639817 kBT
2quxR_M398.pdb     -117.500538 kBT
2quxR_M442.pdb     -133.745816 kBT
2quxR_M156.pdb     -193.357590 kBT
2quxR_M367.pdb     -131.693329 kBT
2quxR_M289.pdb     -101.873950 kBT
2quxR_M307.pdb     -121.193023 kBT
2quxR_M254.pdb     -142.219128 kBT
2quxR_M107.pdb     -159.833570 kBT
2quxR_M127.pdb     -174.485831 kBT
2quxR_M340.pdb     -116.919564 kBT
2quxR_M180.pdb     -183.601153 kBT
2quxR_M485.pdb     -147.775307 kBT
2quxR_M379.pdb     -94.650336 kBT
2quxR_M252.pdb     -156.602485 kBT
2quxR_M217.pdb     -107.105764 kBT
2quxR_M240.pdb     -149.812522 kBT
2quxR_M112.pdb     -165.174607 kBT
2quxR_M366.pdb     -73.110861 kBT
2quxR_M385.pdb     -110.100427 kBT
2quxR_M365.pdb     -101.083475 kBT
2quxR_M223.pdb     -148.839467 kBT
2quxR_M331.pdb     -124.354933 kBT
2quxR_M273.pdb     -133.899846 kBT
2quxR_M83.pdb     -180.500350 kBT
2quxR_M184.pdb     -141.496515 kBT
2quxR_M118.pdb     -125.490011 kBT
2quxR_M386.pdb     -144.387091 kBT
2quxR_M481.pdb     -96.806888 kBT
2quxR_M75.pdb     -183.709577 kBT
2quxR_M178.pdb     -152.437398 kBT
2quxR_M140.pdb     -144.882845 kBT
2quxR_M55.pdb     -193.517489 kBT
2quxR_M327.pdb     -101.781964 kBT
2quxR_M237.pdb     -131.599879 kBT
2quxR_M477.pdb     -172.411619 kBT
2quxR_M103.pdb     -185.191653 kBT
2quxR_M319.pdb     -167.686364 kBT
2quxR_M294.pdb     -157.336708 kBT
2quxR_M422.pdb     -151.522997 kBT
2quxR_M383.pdb     -142.666511 kBT
2quxR_M142.pdb     -147.592455 kBT
2quxR_M465.pdb     -133.288947 kBT
2quxR_M116.pdb     -172.418870 kBT
2quxR_M2.pdb     -218.568515 kBT
2quxR_M344.pdb     -143.454425 kBT
2quxR_M387.pdb     -165.451263 kBT
2quxR_M426.pdb     -129.761330 kBT
2quxR_M381.pdb     -95.033429 kBT
2quxR_M190.pdb     -190.383715 kBT
2quxR_M74.pdb     -158.247206 kBT
2quxR_M282.pdb     -122.993073 kBT
2quxR_M16.pdb     -210.496106 kBT
2quxR_M418.pdb     -112.356096 kBT
2quxR_M10.pdb     -226.375694 kBT
2quxR_M382.pdb     -156.246810 kBT
2quxR_M364.pdb     -132.315770 kBT
2quxR_M311.pdb     -123.890677 kBT
2quxR_M32.pdb     -214.438286 kBT
2quxR_M476.pdb     -154.594647 kBT
2quxR_M58.pdb     -167.095234 kBT
2quxR_M348.pdb     -136.594562 kBT
2quxR_M85.pdb     -186.861753 kBT
2quxR_M232.pdb     -136.021262 kBT
2quxR_M194.pdb     -137.244180 kBT
2quxR_M124.pdb     -178.997168 kBT
2quxR_M144.pdb     -179.078518 kBT
2quxR_M187.pdb     -143.179149 kBT
2quxR_M497.pdb     -104.620981 kBT
2quxR_M41.pdb     -198.300880 kBT
2quxR_M438.pdb     -124.008809 kBT
2quxR_M412.pdb     -143.317296 kBT
2quxR_M432.pdb     -151.964199 kBT
2quxR_M63.pdb     -223.857815 kBT
2quxR_M302.pdb     -122.743692 kBT
2quxR_M347.pdb     -170.663446 kBT
2quxR_M214.pdb     -154.233882 kBT
2quxR_M4.pdb     -209.299974 kBT
2quxR_M264.pdb     -114.233599 kBT
2quxR_M97.pdb     -177.813542 kBT
2quxR_M77.pdb     -192.944111 kBT
2quxR_M173.pdb     -191.495829 kBT
2quxR_M183.pdb     -171.633969 kBT
2quxR_M493.pdb     -113.917264 kBT
2quxR_M186.pdb     -163.267486 kBT
2quxR_M313.pdb     -142.819771 kBT
2quxR_M69.pdb     -183.753669 kBT
2quxR_M482.pdb     -126.483153 kBT
2quxR_M126.pdb     -138.821220 kBT
2quxR_M462.pdb     -83.148560 kBT
2quxR_M478.pdb     -120.310571 kBT
2quxR_M271.pdb     -144.838180 kBT
2quxR_M394.pdb     -139.692196 kBT
2quxR_M98.pdb     -193.856909 kBT
2quxR_M233.pdb     -114.369439 kBT
2quxR_M130.pdb     -146.852765 kBT
2quxR_M120.pdb     -151.784767 kBT
2quxR_M88.pdb     -193.598390 kBT
2quxR_M26.pdb     -221.695505 kBT
2quxR_M53.pdb     -211.858699 kBT
2quxR_M5.pdb     -227.479971 kBT
2quxR_M414.pdb     -94.985647 kBT
2quxR_M219.pdb     -140.299202 kBT
2quxR_M198.pdb     -115.514304 kBT
2quxR_M12.pdb     -214.309675 kBT
2quxR_M389.pdb     -160.023151 kBT
2quxR_M106.pdb     -180.888335 kBT
2quxR_M137.pdb     -140.446198 kBT
2quxR_M23.pdb     -219.757756 kBT
2quxR_M15.pdb     -228.447262 kBT
2quxR_M29.pdb     -214.549216 kBT
2quxR_M376.pdb     -126.466221 kBT
2quxR_M45.pdb     -214.466077 kBT
2quxR_M405.pdb     -157.097678 kBT
2quxR_M494.pdb     -129.704813 kBT
2quxR_M203.pdb     -133.664292 kBT
2quxR_M201.pdb     -139.822443 kBT
2quxR_M284.pdb     -113.400408 kBT
2quxR_M324.pdb     -121.146726 kBT
2quxR_M262.pdb     -88.271616 kBT
2quxR_M384.pdb     -119.049434 kBT
2quxR_M471.pdb     -94.021041 kBT
2quxR_M388.pdb     -99.474226 kBT
2quxR_M268.pdb     -123.653982 kBT
2quxR_M9.pdb     -211.996864 kBT
2quxR_M38.pdb     -201.557744 kBT
2quxR_M429.pdb     -116.406142 kBT
2quxR_M163.pdb     -153.247130 kBT
2quxR_M243.pdb     -130.850685 kBT
2quxR_M272.pdb     -171.641557 kBT
2quxR_M196.pdb     -152.546947 kBT
2quxR_M451.pdb     -130.237245 kBT
2quxR_M33.pdb     -216.491848 kBT
2quxR_M115.pdb     -200.204769 kBT
2quxR_M113.pdb     -174.733696 kBT
2quxR_M132.pdb     -138.715000 kBT
2quxR_M359.pdb     -170.400588 kBT
2quxR_M166.pdb     -180.776264 kBT
2quxR_M270.pdb     -148.453933 kBT
2quxR_M463.pdb     -155.602441 kBT
2quxR_M123.pdb     -169.774294 kBT
2quxR_M235.pdb     -117.443438 kBT
2quxR_M122.pdb     -165.696394 kBT
2quxR_M175.pdb     -167.412019 kBT
2quxR_M114.pdb     -207.051292 kBT
2quxR_M86.pdb     -167.411866 kBT
2quxR_M399.pdb     -120.186946 kBT
2quxR_M174.pdb     -164.852462 kBT
2quxR_M453.pdb     -147.283030 kBT
2quxR_M34.pdb     -210.062889 kBT
2quxR_M274.pdb     -115.164136 kBT
2quxR_M191.pdb     -159.455416 kBT
2quxR_M141.pdb     -157.779320 kBT
2quxR_M148.pdb     -159.726762 kBT
2quxR_M234.pdb     -133.206969 kBT
2quxR_M151.pdb     -164.828668 kBT
2quxR_M257.pdb     -182.883362 kBT
2quxR_M27.pdb     -219.202142 kBT
2quxR_M82.pdb     -165.330103 kBT
2quxR_M456.pdb     -120.446499 kBT
2quxR_M346.pdb     -142.746288 kBT
2quxR_M228.pdb     -165.768939 kBT
2quxR_M138.pdb     -155.260922 kBT
2quxR_M11.pdb     -215.493689 kBT
2quxR_M333.pdb     -101.059844 kBT
2quxR_M303.pdb     -133.306398 kBT
2quxR_M129.pdb     -169.492533 kBT
2quxR_M275.pdb     -138.392749 kBT
2quxR_M466.pdb     -189.030060 kBT
2quxR_M449.pdb     -130.624786 kBT
2quxR_M470.pdb     -137.120195 kBT
2quxR_M436.pdb     -162.445009 kBT
2quxR_M60.pdb     -198.673057 kBT
2quxR_M47.pdb     -211.450959 kBT
2quxR_M80.pdb     -173.267148 kBT
2quxR_M280.pdb     -157.642157 kBT
2quxR_M147.pdb     -186.035556 kBT
2quxR_M218.pdb     -175.227424 kBT
2quxR_M448.pdb     -124.887798 kBT
2quxR_M360.pdb     -96.940710 kBT
2quxR_M62.pdb     -172.870624 kBT
2quxR_M315.pdb     -169.385134 kBT
2quxR_M276.pdb     -126.015896 kBT
2quxR_M91.pdb     -165.623667 kBT
2quxR_M441.pdb     -95.198050 kBT
2quxR_M227.pdb     -150.586761 kBT
2quxR_M452.pdb     -143.515070 kBT
2quxR_M461.pdb     -103.665680 kBT
2quxR_M128.pdb     -171.535593 kBT
2quxR_M84.pdb     -182.574955 kBT
2quxR_M265.pdb     -144.895974 kBT
2quxR_M349.pdb     -84.377688 kBT
2quxR_M171.pdb     -128.399405 kBT
2quxR_M164.pdb     -181.220661 kBT
2quxR_M419.pdb     -152.471356 kBT
2quxR_M409.pdb     -128.641376 kBT
2quxR_M321.pdb     -172.763980 kBT
2quxR_M42.pdb     -199.755925 kBT
2quxR_M195.pdb     -156.245237 kBT
2quxR_M496.pdb     -133.247220 kBT
2quxR_M139.pdb     -181.146758 kBT
2quxR_M423.pdb     -160.748878 kBT
2quxR_M72.pdb     -189.558069 kBT
2quxR_M352.pdb     -166.525218 kBT
2quxR_M242.pdb     -165.526223 kBT
2quxR_M238.pdb     -147.625321 kBT
2quxR_M150.pdb     -155.884623 kBT
2quxR_M292.pdb     -171.783861 kBT
2quxR_M300.pdb     -102.297582 kBT
2quxR_M373.pdb     -104.457296 kBT
2quxR_M334.pdb     -125.241712 kBT
2quxR_M450.pdb     -146.332385 kBT
2quxR_M403.pdb     -133.327952 kBT
2quxR_M428.pdb     -145.857112 kBT
2quxR_M111.pdb     -191.621736 kBT
2quxR_M338.pdb     -106.717525 kBT
2quxR_M287.pdb     -159.893727 kBT
2quxR_M208.pdb     -137.807385 kBT
2quxR_M25.pdb     -226.171067 kBT
2quxR_M211.pdb     -142.807964 kBT
2quxR_M40.pdb     -187.811831 kBT
2quxR_M192.pdb     -142.803549 kBT
2quxR_M310.pdb     -156.809949 kBT
2quxR_M256.pdb     -143.907566 kBT
2quxR_M335.pdb     -137.206427 kBT
2quxR_M490.pdb     -125.547291 kBT
2quxR_M304.pdb     -189.595166 kBT
2quxR_M380.pdb     -171.906531 kBT
2quxR_M176.pdb     -148.430850 kBT
2quxR_M401.pdb     -136.517646 kBT
2quxR_M188.pdb     -180.415054 kBT
2quxR_M372.pdb     -149.921710 kBT
2quxR_M286.pdb     -154.136879 kBT
2quxR_M255.pdb     -157.729086 kBT
2quxR_M222.pdb     -79.036717 kBT
2quxR_M417.pdb     -123.512499 kBT
2quxR_M78.pdb     -182.624338 kBT
2quxR_M20.pdb     -216.239322 kBT
2quxR_M277.pdb     -168.586465 kBT
2quxR_M306.pdb     -115.288308 kBT
2quxR_M483.pdb     -103.167055 kBT
2quxR_M182.pdb     -149.120488 kBT
2quxR_M368.pdb     -108.551679 kBT
2quxR_M19.pdb     -200.772528 kBT
2quxR_M458.pdb     -113.975668 kBT
2quxR_M464.pdb     -125.356749 kBT
2quxR_M189.pdb     -140.491415 kBT
2quxR_M51.pdb     -191.204229 kBT
2quxR_M317.pdb     -97.613585 kBT
2quxR_M210.pdb     -154.038185 kBT
2quxR_M392.pdb     -112.866805 kBT
2quxR_M443.pdb     -102.379919 kBT
2quxR_M283.pdb     -121.633162 kBT
2quxR_M159.pdb     -150.551150 kBT
2quxR_M455.pdb     -133.742298 kBT
2quxR_M136.pdb     -180.844666 kBT
2quxR_M308.pdb     -129.904326 kBT
2quxR_M362.pdb     -128.930285 kBT
2quxR_M21.pdb     -210.492048 kBT
2quxR_M102.pdb     -169.268753 kBT
2quxR_M152.pdb     -142.393948 kBT
2quxR_M94.pdb     -183.527334 kBT
2quxR_M46.pdb     -205.423311 kBT
2quxR_M468.pdb     -109.787891 kBT
2quxR_M101.pdb     -176.518458 kBT
2quxR_M14.pdb     -226.669787 kBT
2quxR_M8.pdb     -222.103888 kBT
2quxR_M342.pdb     -156.079492 kBT
2quxR_M220.pdb     -167.444102 kBT
2quxR_M79.pdb     -171.823590 kBT
2quxR_M288.pdb     -98.037091 kBT
2quxR_M7.pdb     -222.406316 kBT
2quxR_M492.pdb     -112.043875 kBT
2quxR_M395.pdb     -114.582840 kBT
