2nufD_M209.pdb     -218.690699 kBT
2nufD_M297.pdb     -178.418276 kBT
2nufD_M231.pdb     -194.277118 kBT
2nufD_M31.pdb     -308.440468 kBT
2nufD_M285.pdb     -152.882570 kBT
2nufD_M292.pdb     -205.981255 kBT
2nufD_M224.pdb     -183.954814 kBT
2nufD_M328.pdb     -207.622090 kBT
2nufD_M405.pdb     -200.190648 kBT
2nufD_M18.pdb     -314.734795 kBT
2nufD_M6.pdb     -329.449387 kBT
2nufD_M208.pdb     -181.162265 kBT
2nufD_M164.pdb     -209.575233 kBT
2nufD_M268.pdb     -249.748478 kBT
2nufD_M293.pdb     -183.103676 kBT
2nufD_M232.pdb     -185.945131 kBT
2nufD_M474.pdb     -154.884427 kBT
2nufD_M267.pdb     -212.268143 kBT
2nufD_M354.pdb     -175.590843 kBT
2nufD_M418.pdb     -219.365036 kBT
2nufD_M158.pdb     -219.919129 kBT
2nufD_M235.pdb     -244.562524 kBT
2nufD_M178.pdb     -197.622138 kBT
2nufD_M107.pdb     -221.526189 kBT
2nufD_M45.pdb     -288.407326 kBT
2nufD_M12.pdb     -331.997745 kBT
2nufD_M179.pdb     -228.568909 kBT
2nufD_M203.pdb     -210.838059 kBT
2nufD_M458.pdb     -183.882292 kBT
2nufD_M315.pdb     -205.547452 kBT
2nufD_M249.pdb     -215.432159 kBT
2nufD_M443.pdb     -232.691649 kBT
2nufD_M216.pdb     -202.917618 kBT
2nufD_M347.pdb     -191.000647 kBT
2nufD_M317.pdb     -201.099533 kBT
2nufD_M129.pdb     -226.883836 kBT
2nufD_M80.pdb     -225.091309 kBT
2nufD_M314.pdb     -195.483742 kBT
2nufD_M331.pdb     -223.057414 kBT
2nufD_M465.pdb     -201.601142 kBT
2nufD_M89.pdb     -267.185123 kBT
2nufD_M309.pdb     -210.646613 kBT
2nufD_M38.pdb     -301.078086 kBT
2nufD_M172.pdb     -221.866925 kBT
2nufD_M392.pdb     -208.017664 kBT
2nufD_M134.pdb     -249.108636 kBT
2nufD_M413.pdb     -183.999317 kBT
2nufD_M217.pdb     -219.545513 kBT
2nufD_M319.pdb     -212.913043 kBT
2nufD_M326.pdb     -199.039264 kBT
2nufD_M145.pdb     -229.464957 kBT
2nufD_M384.pdb     -183.136751 kBT
2nufD_M481.pdb     -205.629230 kBT
2nufD_M345.pdb     -220.821669 kBT
2nufD_M477.pdb     -181.707084 kBT
2nufD_M182.pdb     -195.009144 kBT
2nufD_M419.pdb     -206.641234 kBT
2nufD_M379.pdb     -197.076267 kBT
2nufD_M192.pdb     -205.945687 kBT
2nufD_M415.pdb     -203.461840 kBT
2nufD_M468.pdb     -220.343207 kBT
2nufD_M201.pdb     -214.469882 kBT
2nufD_M296.pdb     -201.281778 kBT
2nufD_M55.pdb     -252.647225 kBT
2nufD_M90.pdb     -245.507658 kBT
2nufD_M391.pdb     -183.126561 kBT
2nufD_M219.pdb     -184.160907 kBT
2nufD_M383.pdb     -166.017263 kBT
2nufD_M139.pdb     -236.919507 kBT
2nufD_M252.pdb     -204.585416 kBT
2nufD_M437.pdb     -158.328938 kBT
2nufD_M16.pdb     -325.915539 kBT
2nufD_M215.pdb     -213.283502 kBT
2nufD_M191.pdb     -241.682814 kBT
2nufD_M463.pdb     -190.760436 kBT
2nufD_M207.pdb     -238.898483 kBT
2nufD_M358.pdb     -191.554960 kBT
2nufD_M241.pdb     -202.202103 kBT
2nufD_M218.pdb     -218.132070 kBT
2nufD_M225.pdb     -213.280175 kBT
2nufD_M34.pdb     -295.096275 kBT
2nufD_M237.pdb     -193.327675 kBT
2nufD_M467.pdb     -181.851843 kBT
2nufD_M457.pdb     -189.483153 kBT
2nufD_M49.pdb     -266.479825 kBT
2nufD_M454.pdb     -162.349501 kBT
2nufD_M255.pdb     -210.824386 kBT
2nufD_M183.pdb     -196.157664 kBT
2nufD_M227.pdb     -188.120542 kBT
2nufD_M342.pdb     -221.486197 kBT
2nufD_M251.pdb     -220.921593 kBT
2nufD_M189.pdb     -208.779809 kBT
2nufD_M318.pdb     -159.182446 kBT
2nufD_M410.pdb     -207.764569 kBT
2nufD_M278.pdb     -213.506539 kBT
2nufD_M36.pdb     -295.048120 kBT
2nufD_M303.pdb     -193.135665 kBT
2nufD_M438.pdb     -177.977030 kBT
2nufD_M193.pdb     -217.267637 kBT
2nufD_M491.pdb     -171.081426 kBT
2nufD_M281.pdb     -217.066702 kBT
2nufD_M140.pdb     -231.480280 kBT
2nufD_M368.pdb     -200.428370 kBT
2nufD_M286.pdb     -203.355511 kBT
2nufD_M499.pdb     -171.620710 kBT
2nufD_M466.pdb     -187.191207 kBT
2nufD_M435.pdb     -180.388062 kBT
2nufD_M277.pdb     -209.543866 kBT
2nufD_M353.pdb     -204.116510 kBT
2nufD_M124.pdb     -227.985092 kBT
2nufD_M73.pdb     -272.771059 kBT
2nufD_M337.pdb     -211.431244 kBT
2nufD_M338.pdb     -181.698913 kBT
2nufD_M389.pdb     -201.920577 kBT
2nufD_M37.pdb     -297.840835 kBT
2nufD_M430.pdb     -195.518650 kBT
2nufD_M62.pdb     -268.538930 kBT
2nufD_M441.pdb     -210.943498 kBT
2nufD_M109.pdb     -226.258170 kBT
2nufD_M283.pdb     -200.144141 kBT
2nufD_M304.pdb     -239.323709 kBT
2nufD_M266.pdb     -212.533296 kBT
2nufD_M166.pdb     -225.532864 kBT
2nufD_M85.pdb     -224.762778 kBT
2nufD_M58.pdb     -264.163368 kBT
2nufD_M452.pdb     -198.276292 kBT
2nufD_M406.pdb     -174.196627 kBT
2nufD_M130.pdb     -239.562040 kBT
2nufD_M15.pdb     -330.339881 kBT
2nufD_M462.pdb     -206.952734 kBT
2nufD_M498.pdb     -194.111717 kBT
2nufD_M403.pdb     -218.016223 kBT
2nufD_M260.pdb     -187.154522 kBT
2nufD_M307.pdb     -176.436919 kBT
2nufD_M393.pdb     -186.734489 kBT
2nufD_M149.pdb     -246.271957 kBT
2nufD_M113.pdb     -245.190943 kBT
2nufD_M310.pdb     -216.558724 kBT
2nufD_M3.pdb     -330.322316 kBT
2nufD_M122.pdb     -227.676791 kBT
2nufD_M439.pdb     -201.723496 kBT
2nufD_M470.pdb     -175.321594 kBT
2nufD_M488.pdb     -167.151217 kBT
2nufD_M375.pdb     -142.779586 kBT
2nufD_M446.pdb     -219.729449 kBT
2nufD_M240.pdb     -208.321290 kBT
2nufD_M432.pdb     -201.003113 kBT
2nufD_M364.pdb     -191.819366 kBT
2nufD_M475.pdb     -169.539896 kBT
2nufD_M495.pdb     -203.307028 kBT
2nufD_M1.pdb     -325.222230 kBT
2nufD_M126.pdb     -242.076353 kBT
2nufD_M327.pdb     -202.555642 kBT
2nufD_M300.pdb     -208.838736 kBT
2nufD_M199.pdb     -231.407633 kBT
2nufD_M305.pdb     -184.353129 kBT
2nufD_M120.pdb     -242.286713 kBT
2nufD_M176.pdb     -228.396084 kBT
2nufD_M324.pdb     -205.392954 kBT
2nufD_M424.pdb     -171.577479 kBT
2nufD_M221.pdb     -184.478570 kBT
2nufD_M46.pdb     -284.773525 kBT
2nufD_M404.pdb     -183.636411 kBT
2nufD_M429.pdb     -216.771488 kBT
2nufD_M275.pdb     -185.173629 kBT
2nufD_M385.pdb     -216.682599 kBT
2nufD_M148.pdb     -234.096220 kBT
2nufD_M102.pdb     -215.489746 kBT
2nufD_M270.pdb     -210.642551 kBT
2nufD_M360.pdb     -213.937671 kBT
2nufD_M168.pdb     -234.994747 kBT
2nufD_M212.pdb     -229.543396 kBT
2nufD_M136.pdb     -220.816161 kBT
2nufD_M280.pdb     -214.555432 kBT
2nufD_M346.pdb     -176.763290 kBT
2nufD_M308.pdb     -209.310348 kBT
2nufD_M47.pdb     -249.591410 kBT
2nufD_M7.pdb     -335.686630 kBT
2nufD_M83.pdb     -258.745574 kBT
2nufD_M420.pdb     -205.629834 kBT
2nufD_M228.pdb     -213.621183 kBT
2nufD_M344.pdb     -202.587548 kBT
2nufD_M276.pdb     -189.827851 kBT
2nufD_M10.pdb     -323.251187 kBT
2nufD_M350.pdb     -196.232084 kBT
2nufD_M339.pdb     -199.746037 kBT
2nufD_M229.pdb     -206.774679 kBT
2nufD_M93.pdb     -243.610598 kBT
2nufD_M349.pdb     -174.323355 kBT
2nufD_M423.pdb     -194.012068 kBT
2nufD_M244.pdb     -230.186549 kBT
2nufD_M61.pdb     -245.691087 kBT
2nufD.pdb     -340.827059 kBT
2nufD_M390.pdb     -206.975734 kBT
2nufD_M128.pdb     -217.349247 kBT
2nufD_M312.pdb     -223.534958 kBT
2nufD_M473.pdb     -188.276787 kBT
2nufD_M352.pdb     -197.449418 kBT
2nufD_M32.pdb     -273.403186 kBT
2nufD_M376.pdb     -204.115973 kBT
2nufD_M210.pdb     -216.155820 kBT
2nufD_M84.pdb     -246.838957 kBT
2nufD_M44.pdb     -269.575336 kBT
2nufD_M440.pdb     -177.142353 kBT
2nufD_M53.pdb     -272.244958 kBT
2nufD_M329.pdb     -185.050989 kBT
2nufD_M162.pdb     -228.219475 kBT
2nufD_M290.pdb     -244.807678 kBT
2nufD_M114.pdb     -221.080816 kBT
2nufD_M472.pdb     -200.773549 kBT
2nufD_M42.pdb     -269.450176 kBT
2nufD_M213.pdb     -211.588784 kBT
2nufD_M274.pdb     -194.950369 kBT
2nufD_M351.pdb     -176.443424 kBT
2nufD_M69.pdb     -278.060703 kBT
2nufD_M160.pdb     -236.188738 kBT
2nufD_M142.pdb     -233.313961 kBT
2nufD_M356.pdb     -229.772879 kBT
2nufD_M271.pdb     -220.153515 kBT
2nufD_M453.pdb     -192.487208 kBT
2nufD_M316.pdb     -176.028054 kBT
2nufD_M397.pdb     -194.433054 kBT
2nufD_M111.pdb     -219.608737 kBT
2nufD_M369.pdb     -188.527437 kBT
2nufD_M104.pdb     -252.484351 kBT
2nufD_M144.pdb     -244.450451 kBT
2nufD_M486.pdb     -186.605565 kBT
2nufD_M169.pdb     -206.545369 kBT
2nufD_M14.pdb     -306.838546 kBT
2nufD_M75.pdb     -240.385003 kBT
2nufD_M60.pdb     -261.385757 kBT
2nufD_M187.pdb     -231.371835 kBT
2nufD_M362.pdb     -161.499656 kBT
2nufD_M433.pdb     -163.204180 kBT
2nufD_M381.pdb     -203.181954 kBT
2nufD_M64.pdb     -261.043955 kBT
2nufD_M287.pdb     -199.555159 kBT
2nufD_M117.pdb     -229.709620 kBT
2nufD_M484.pdb     -186.998199 kBT
2nufD_M321.pdb     -197.856203 kBT
2nufD_M155.pdb     -211.898364 kBT
2nufD_M30.pdb     -284.753228 kBT
2nufD_M226.pdb     -199.291988 kBT
2nufD_M123.pdb     -266.831662 kBT
2nufD_M449.pdb     -197.793379 kBT
2nufD_M238.pdb     -201.253469 kBT
2nufD_M269.pdb     -200.803845 kBT
2nufD_M482.pdb     -204.151207 kBT
2nufD_M2.pdb     -329.601657 kBT
2nufD_M101.pdb     -234.220341 kBT
2nufD_M156.pdb     -224.941996 kBT
2nufD_M279.pdb     -169.430386 kBT
2nufD_M242.pdb     -222.537360 kBT
2nufD_M188.pdb     -220.098362 kBT
2nufD_M196.pdb     -212.039703 kBT
2nufD_M272.pdb     -205.504654 kBT
2nufD_M330.pdb     -212.111122 kBT
2nufD_M313.pdb     -222.681029 kBT
2nufD_M335.pdb     -202.752632 kBT
2nufD_M422.pdb     -201.557815 kBT
2nufD_M340.pdb     -184.764824 kBT
2nufD_M5.pdb     -323.056056 kBT
2nufD_M137.pdb     -227.597766 kBT
2nufD_M247.pdb     -193.313246 kBT
2nufD_M195.pdb     -244.691081 kBT
2nufD_M222.pdb     -232.026704 kBT
2nufD_M258.pdb     -225.204611 kBT
2nufD_M494.pdb     -192.318559 kBT
2nufD_M95.pdb     -236.029397 kBT
2nufD_M48.pdb     -266.271285 kBT
2nufD_M299.pdb     -218.798643 kBT
2nufD_M254.pdb     -203.547317 kBT
2nufD_M348.pdb     -201.740371 kBT
2nufD_M88.pdb     -256.191710 kBT
2nufD_M322.pdb     -195.398361 kBT
2nufD_M56.pdb     -264.254248 kBT
2nufD_M320.pdb     -207.630638 kBT
2nufD_M97.pdb     -260.090675 kBT
2nufD_M377.pdb     -199.912239 kBT
2nufD_M151.pdb     -201.936500 kBT
2nufD_M471.pdb     -183.111453 kBT
2nufD_M256.pdb     -196.572987 kBT
2nufD_M50.pdb     -267.089174 kBT
2nufD_M399.pdb     -187.284837 kBT
2nufD_M202.pdb     -207.773730 kBT
2nufD_M63.pdb     -248.680626 kBT
2nufD_M427.pdb     -176.364022 kBT
2nufD_M431.pdb     -174.713696 kBT
2nufD_M35.pdb     -268.465470 kBT
2nufD_M154.pdb     -236.693584 kBT
2nufD_M81.pdb     -241.905277 kBT
2nufD_M119.pdb     -247.429502 kBT
2nufD_M74.pdb     -253.205072 kBT
2nufD_M386.pdb     -143.900759 kBT
2nufD_M434.pdb     -203.003852 kBT
2nufD_M265.pdb     -193.209155 kBT
2nufD_M460.pdb     -173.418474 kBT
2nufD_M374.pdb     -202.672036 kBT
2nufD_M39.pdb     -268.675347 kBT
2nufD_M288.pdb     -187.794053 kBT
2nufD_M492.pdb     -199.373126 kBT
2nufD_M408.pdb     -203.558587 kBT
2nufD_M402.pdb     -192.163566 kBT
2nufD_M444.pdb     -210.104521 kBT
2nufD_M250.pdb     -192.062498 kBT
2nufD_M416.pdb     -210.612337 kBT
2nufD_M206.pdb     -162.082491 kBT
2nufD_M197.pdb     -199.178525 kBT
2nufD_M22.pdb     -322.735514 kBT
2nufD_M96.pdb     -245.298467 kBT
2nufD_M105.pdb     -245.845888 kBT
2nufD_M9.pdb     -322.232175 kBT
2nufD_M146.pdb     -223.984336 kBT
2nufD_M13.pdb     -311.522573 kBT
2nufD_M92.pdb     -240.016081 kBT
2nufD_M445.pdb     -163.861648 kBT
2nufD_M70.pdb     -285.583536 kBT
2nufD_M248.pdb     -203.442899 kBT
2nufD_M41.pdb     -268.014310 kBT
2nufD_M442.pdb     -198.439656 kBT
2nufD_M185.pdb     -197.799614 kBT
2nufD_M33.pdb     -294.025175 kBT
2nufD_M100.pdb     -224.798526 kBT
2nufD_M246.pdb     -189.968251 kBT
2nufD_M382.pdb     -206.392618 kBT
2nufD_M388.pdb     -206.623891 kBT
2nufD_M398.pdb     -204.988650 kBT
2nufD_M135.pdb     -260.895852 kBT
2nufD_M175.pdb     -235.024344 kBT
2nufD_M132.pdb     -205.123147 kBT
2nufD_M138.pdb     -233.970954 kBT
2nufD_M487.pdb     -201.559364 kBT
2nufD_M133.pdb     -204.253936 kBT
2nufD_M116.pdb     -177.993738 kBT
2nufD_M29.pdb     -299.518653 kBT
2nufD_M65.pdb     -261.795007 kBT
2nufD_M483.pdb     -183.489304 kBT
2nufD_M284.pdb     -204.460980 kBT
2nufD_M334.pdb     -207.516360 kBT
2nufD_M273.pdb     -211.414519 kBT
2nufD_M57.pdb     -288.416256 kBT
2nufD_M361.pdb     -210.014511 kBT
2nufD_M161.pdb     -213.577435 kBT
2nufD_M77.pdb     -222.001602 kBT
2nufD_M91.pdb     -248.115858 kBT
2nufD_M396.pdb     -200.686639 kBT
2nufD_M456.pdb     -210.809793 kBT
2nufD_M25.pdb     -305.124809 kBT
2nufD_M480.pdb     -178.073729 kBT
2nufD_M23.pdb     -307.557257 kBT
2nufD_M409.pdb     -180.926925 kBT
2nufD_M28.pdb     -283.348172 kBT
2nufD_M78.pdb     -240.318709 kBT
2nufD_M490.pdb     -165.010789 kBT
2nufD_M121.pdb     -189.722364 kBT
2nufD_M71.pdb     -255.227346 kBT
2nufD_M19.pdb     -293.002352 kBT
2nufD_M181.pdb     -207.089230 kBT
2nufD_M186.pdb     -213.118313 kBT
2nufD_M76.pdb     -234.430539 kBT
2nufD_M143.pdb     -251.909546 kBT
2nufD_M332.pdb     -198.449021 kBT
2nufD_M400.pdb     -155.111666 kBT
2nufD_M66.pdb     -279.166998 kBT
2nufD_M371.pdb     -210.200672 kBT
2nufD_M447.pdb     -183.650982 kBT
2nufD_M343.pdb     -185.977744 kBT
2nufD_M485.pdb     -179.589994 kBT
2nufD_M459.pdb     -254.746715 kBT
2nufD_M451.pdb     -167.200740 kBT
2nufD_M497.pdb     -176.634387 kBT
2nufD_M184.pdb     -203.051892 kBT
2nufD_M500.pdb     -218.212199 kBT
2nufD_M26.pdb     -305.183252 kBT
2nufD_M27.pdb     -283.530259 kBT
2nufD_M355.pdb     -208.440493 kBT
2nufD_M68.pdb     -243.343711 kBT
2nufD_M205.pdb     -212.194230 kBT
2nufD_M171.pdb     -228.354355 kBT
2nufD_M363.pdb     -212.278076 kBT
2nufD_M163.pdb     -223.261305 kBT
2nufD_M153.pdb     -220.625041 kBT
2nufD_M436.pdb     -174.105526 kBT
2nufD_M131.pdb     -241.978620 kBT
2nufD_M177.pdb     -203.818965 kBT
2nufD_M21.pdb     -305.164559 kBT
2nufD_M394.pdb     -216.510649 kBT
2nufD_M323.pdb     -207.927517 kBT
2nufD_M220.pdb     -231.646198 kBT
2nufD_M147.pdb     -223.082911 kBT
2nufD_M72.pdb     -238.560759 kBT
