3eogA_M64.pdb     -2616.936368 kBT
3eogA_M436.pdb     -2136.416500 kBT
3eogA_M251.pdb     -2291.181927 kBT
3eogA_M55.pdb     -2603.007533 kBT
3eogA_M333.pdb     -2261.396382 kBT
3eogA_M257.pdb     -2237.150496 kBT
3eogA_M10.pdb     -2948.082818 kBT
3eogA_M383.pdb     -2274.961687 kBT
3eogA_M190.pdb     -2415.727029 kBT
3eogA_M238.pdb     -2321.011080 kBT
3eogA_M234.pdb     -2279.746380 kBT
3eogA_M476.pdb     -2198.948666 kBT
3eogA_M130.pdb     -2413.670565 kBT
3eogA_M143.pdb     -2471.209851 kBT
3eogA_M309.pdb     -2333.373901 kBT
3eogA_M117.pdb     -2514.890473 kBT
3eogA_M105.pdb     -2482.594352 kBT
3eogA_M152.pdb     -2459.480849 kBT
3eogA_M175.pdb     -2342.994832 kBT
3eogA_M387.pdb     -2231.830245 kBT
3eogA_M334.pdb     -2307.444187 kBT
3eogA_M401.pdb     -2244.379451 kBT
3eogA_M85.pdb     -2540.476863 kBT
3eogA_M315.pdb     -2286.410444 kBT
3eogA_M402.pdb     -2223.111728 kBT
3eogA_M177.pdb     -2423.338980 kBT
3eogA_M346.pdb     -2336.507386 kBT
3eogA_M495.pdb     -2167.314072 kBT
3eogA_M395.pdb     -2217.860188 kBT
3eogA_M133.pdb     -2458.913133 kBT
3eogA_M33.pdb     -2761.816234 kBT
3eogA_M224.pdb     -2355.989880 kBT
3eogA_M316.pdb     -2339.459513 kBT
3eogA_M73.pdb     -2598.575332 kBT
3eogA_M244.pdb     -2293.142654 kBT
3eogA_M155.pdb     -2417.979350 kBT
3eogA_M239.pdb     -2300.000294 kBT
3eogA_M353.pdb     -2238.427664 kBT
3eogA_M409.pdb     -2226.492512 kBT
3eogA_M354.pdb     -2289.657378 kBT
3eogA_M488.pdb     -2211.476358 kBT
3eogA_M221.pdb     -2308.305673 kBT
3eogA_M57.pdb     -2608.341023 kBT
3eogA_M86.pdb     -2606.138526 kBT
3eogA_M317.pdb     -2412.210658 kBT
3eogA_M23.pdb     -2887.624538 kBT
3eogA_M266.pdb     -2409.887982 kBT
3eogA_M90.pdb     -2596.444758 kBT
3eogA_M1.pdb     -2989.650505 kBT
3eogA_M314.pdb     -2181.898608 kBT
3eogA_M408.pdb     -2380.409439 kBT
3eogA_M63.pdb     -2648.045489 kBT
3eogA_M140.pdb     -2492.892445 kBT
3eogA_M188.pdb     -2333.276630 kBT
3eogA_M485.pdb     -2291.908076 kBT
3eogA_M454.pdb     -2217.477497 kBT
3eogA_M414.pdb     -2287.951880 kBT
3eogA_M178.pdb     -2499.645246 kBT
3eogA_M302.pdb     -2270.011347 kBT
3eogA_M343.pdb     -2300.113794 kBT
3eogA_M18.pdb     -2877.711920 kBT
3eogA_M482.pdb     -2131.261589 kBT
3eogA_M348.pdb     -2376.580454 kBT
3eogA_M205.pdb     -2398.702503 kBT
3eogA_M351.pdb     -2220.282859 kBT
3eogA_M435.pdb     -2318.788952 kBT
3eogA_M16.pdb     -2876.672658 kBT
3eogA_M31.pdb     -2741.753540 kBT
3eogA_M419.pdb     -2359.335173 kBT
3eogA_M93.pdb     -2550.580525 kBT
3eogA_M299.pdb     -2315.450632 kBT
3eogA_M127.pdb     -2516.448951 kBT
3eogA_M166.pdb     -2472.735869 kBT
3eogA_M129.pdb     -2540.533022 kBT
3eogA_M156.pdb     -2443.004584 kBT
3eogA_M67.pdb     -2525.338954 kBT
3eogA_M418.pdb     -2224.367049 kBT
3eogA_M290.pdb     -2330.448854 kBT
3eogA_M28.pdb     -2884.894551 kBT
3eogA_M331.pdb     -2204.150132 kBT
3eogA_M311.pdb     -2290.355646 kBT
3eogA_M4.pdb     -2956.841221 kBT
3eogA_M281.pdb     -2234.056540 kBT
3eogA_M94.pdb     -2566.857463 kBT
3eogA_M128.pdb     -2490.699355 kBT
3eogA_M169.pdb     -2405.809551 kBT
3eogA_M445.pdb     -2288.479330 kBT
3eogA_M203.pdb     -2411.182379 kBT
3eogA_M15.pdb     -2939.309784 kBT
3eogA_M444.pdb     -2235.158068 kBT
3eogA_M134.pdb     -2393.426818 kBT
3eogA_M275.pdb     -2348.975440 kBT
3eogA_M25.pdb     -2836.421349 kBT
3eogA_M213.pdb     -2382.542049 kBT
3eogA_M327.pdb     -2348.686065 kBT
3eogA_M492.pdb     -2155.899382 kBT
3eogA_M370.pdb     -2283.047215 kBT
3eogA_M283.pdb     -2326.567051 kBT
3eogA_M146.pdb     -2541.400773 kBT
3eogA_M360.pdb     -2343.150976 kBT
3eogA_M14.pdb     -2926.665802 kBT
3eogA_M29.pdb     -2767.539155 kBT
3eogA_M180.pdb     -2365.023275 kBT
3eogA_M80.pdb     -2517.008021 kBT
3eogA_M256.pdb     -2288.576428 kBT
3eogA_M498.pdb     -2307.193232 kBT
3eogA_M322.pdb     -2234.043520 kBT
3eogA_M368.pdb     -2300.819050 kBT
3eogA_M126.pdb     -2456.637259 kBT
3eogA_M192.pdb     -2421.912378 kBT
3eogA_M161.pdb     -2427.358322 kBT
3eogA_M278.pdb     -2395.871082 kBT
3eogA_M96.pdb     -2518.892836 kBT
3eogA_M229.pdb     -2341.636029 kBT
3eogA_M243.pdb     -2343.635593 kBT
3eogA_M248.pdb     -2442.348518 kBT
3eogA_M300.pdb     -2232.286842 kBT
3eogA_M119.pdb     -2499.161550 kBT
3eogA_M65.pdb     -2705.058708 kBT
3eogA_M187.pdb     -2372.193837 kBT
3eogA_M442.pdb     -2296.764984 kBT
3eogA_M462.pdb     -2267.739273 kBT
3eogA_M412.pdb     -2368.411449 kBT
3eogA_M154.pdb     -2465.169894 kBT
3eogA_M313.pdb     -2327.375369 kBT
3eogA_M45.pdb     -2685.872141 kBT
3eogA_M212.pdb     -2360.781991 kBT
3eogA_M392.pdb     -2141.739911 kBT
3eogA_M189.pdb     -2402.526045 kBT
3eogA_M258.pdb     -2392.359307 kBT
3eogA_M405.pdb     -2216.469633 kBT
3eogA_M367.pdb     -2303.153931 kBT
3eogA_M91.pdb     -2518.808271 kBT
3eogA_M121.pdb     -2529.003406 kBT
3eogA_M411.pdb     -2273.411403 kBT
3eogA_M122.pdb     -2402.054974 kBT
3eogA_M164.pdb     -2387.609051 kBT
3eogA_M432.pdb     -2221.215301 kBT
3eogA_M151.pdb     -2391.625893 kBT
3eogA_M365.pdb     -2244.969179 kBT
3eogA_M225.pdb     -2305.616065 kBT
3eogA_M206.pdb     -2286.401910 kBT
3eogA_M102.pdb     -2485.723372 kBT
3eogA_M101.pdb     -2547.920728 kBT
3eogA_M339.pdb     -2300.838402 kBT
3eogA_M145.pdb     -2455.055187 kBT
3eogA_M293.pdb     -2315.483029 kBT
3eogA_M71.pdb     -2578.074009 kBT
3eogA_M246.pdb     -2277.634679 kBT
3eogA_M393.pdb     -2303.015856 kBT
3eogA_M378.pdb     -2297.539404 kBT
3eogA_M447.pdb     -2278.436967 kBT
3eogA_M489.pdb     -2209.849688 kBT
3eogA_M294.pdb     -2314.794197 kBT
3eogA_M349.pdb     -2271.546845 kBT
3eogA_M196.pdb     -2374.222108 kBT
3eogA_M265.pdb     -2387.625908 kBT
3eogA_M69.pdb     -2643.994575 kBT
3eogA_M364.pdb     -2394.140584 kBT
3eogA_M347.pdb     -2261.653860 kBT
3eogA_M481.pdb     -2186.134765 kBT
3eogA_M439.pdb     -2127.496970 kBT
3eogA_M301.pdb     -2277.440050 kBT
3eogA_M358.pdb     -2270.400426 kBT
3eogA_M3.pdb     -2991.690250 kBT
3eogA_M254.pdb     -2450.522412 kBT
3eogA_M306.pdb     -2265.547744 kBT
3eogA_M250.pdb     -2271.928989 kBT
3eogA_M461.pdb     -2260.408013 kBT
3eogA_M76.pdb     -2691.187104 kBT
3eogA.pdb     -3002.000857 kBT
3eogA_M215.pdb     -2374.638933 kBT
3eogA_M40.pdb     -2780.594027 kBT
3eogA_M496.pdb     -2211.202911 kBT
3eogA_M56.pdb     -2706.374026 kBT
3eogA_M280.pdb     -2276.846474 kBT
3eogA_M82.pdb     -2535.672501 kBT
3eogA_M410.pdb     -2280.929088 kBT
3eogA_M159.pdb     -2482.155240 kBT
3eogA_M473.pdb     -2194.999654 kBT
3eogA_M11.pdb     -2949.282155 kBT
3eogA_M388.pdb     -2289.837390 kBT
3eogA_M103.pdb     -2536.570185 kBT
3eogA_M362.pdb     -2361.878536 kBT
3eogA_M453.pdb     -2243.988149 kBT
3eogA_M17.pdb     -2883.014621 kBT
3eogA_M330.pdb     -2241.145872 kBT
3eogA_M325.pdb     -2238.552165 kBT
3eogA_M326.pdb     -2165.218114 kBT
3eogA_M421.pdb     -2258.099213 kBT
3eogA_M37.pdb     -2690.513049 kBT
3eogA_M464.pdb     -2193.181436 kBT
3eogA_M446.pdb     -2257.756964 kBT
3eogA_M497.pdb     -2251.668436 kBT
3eogA_M284.pdb     -2313.548890 kBT
3eogA_M7.pdb     -2960.754944 kBT
3eogA_M107.pdb     -2533.556409 kBT
3eogA_M437.pdb     -2261.925217 kBT
3eogA_M262.pdb     -2294.468330 kBT
3eogA_M423.pdb     -2234.201768 kBT
3eogA_M167.pdb     -2451.290263 kBT
3eogA_M287.pdb     -2410.207524 kBT
3eogA_M279.pdb     -2331.091409 kBT
3eogA_M235.pdb     -2393.712737 kBT
3eogA_M226.pdb     -2263.118158 kBT
3eogA_M272.pdb     -2326.917849 kBT
3eogA_M260.pdb     -2355.163220 kBT
3eogA_M21.pdb     -2852.853028 kBT
3eogA_M6.pdb     -2932.059002 kBT
3eogA_M120.pdb     -2466.772278 kBT
3eogA_M124.pdb     -2521.145536 kBT
3eogA_M20.pdb     -2831.610951 kBT
3eogA_M61.pdb     -2555.319388 kBT
3eogA_M312.pdb     -2127.197569 kBT
3eogA_M463.pdb     -2198.384367 kBT
3eogA_M396.pdb     -2227.138798 kBT
3eogA_M200.pdb     -2352.173810 kBT
3eogA_M460.pdb     -2234.731749 kBT
3eogA_M249.pdb     -2370.155153 kBT
3eogA_M451.pdb     -2194.584516 kBT
3eogA_M36.pdb     -2711.126560 kBT
3eogA_M305.pdb     -2277.101553 kBT
3eogA_M357.pdb     -2280.874902 kBT
3eogA_M241.pdb     -2313.127272 kBT
3eogA_M318.pdb     -2330.972147 kBT
3eogA_M181.pdb     -2388.503399 kBT
3eogA_M115.pdb     -2513.194974 kBT
3eogA_M397.pdb     -2292.414003 kBT
3eogA_M286.pdb     -2268.401272 kBT
3eogA_M148.pdb     -2509.069213 kBT
3eogA_M276.pdb     -2383.763080 kBT
3eogA_M72.pdb     -2690.454176 kBT
3eogA_M109.pdb     -2554.287079 kBT
3eogA_M75.pdb     -2560.169607 kBT
3eogA_M267.pdb     -2238.296479 kBT
3eogA_M415.pdb     -2160.409246 kBT
3eogA_M99.pdb     -2548.634863 kBT
3eogA_M162.pdb     -2471.924369 kBT
3eogA_M113.pdb     -2569.937695 kBT
3eogA_M484.pdb     -2172.932861 kBT
3eogA_M84.pdb     -2617.707118 kBT
3eogA_M70.pdb     -2510.255435 kBT
3eogA_M158.pdb     -2513.763418 kBT
3eogA_M195.pdb     -2346.697139 kBT
3eogA_M68.pdb     -2564.589164 kBT
3eogA_M407.pdb     -2184.619545 kBT
3eogA_M303.pdb     -2293.523227 kBT
3eogA_M58.pdb     -2612.066155 kBT
3eogA_M459.pdb     -2260.947915 kBT
3eogA_M111.pdb     -2452.833321 kBT
3eogA_M304.pdb     -2304.426587 kBT
3eogA_M261.pdb     -2271.719224 kBT
3eogA_M499.pdb     -2219.960479 kBT
3eogA_M470.pdb     -2171.879382 kBT
3eogA_M390.pdb     -2242.266172 kBT
3eogA_M399.pdb     -2289.236436 kBT
3eogA_M19.pdb     -2872.082347 kBT
3eogA_M480.pdb     -2301.916956 kBT
3eogA_M350.pdb     -2282.472572 kBT
3eogA_M34.pdb     -2746.044895 kBT
3eogA_M174.pdb     -2367.492077 kBT
3eogA_M201.pdb     -2398.551888 kBT
3eogA_M26.pdb     -2891.551995 kBT
3eogA_M223.pdb     -2368.145336 kBT
3eogA_M22.pdb     -2876.487212 kBT
3eogA_M431.pdb     -2239.294781 kBT
3eogA_M233.pdb     -2350.628666 kBT
3eogA_M359.pdb     -2299.620780 kBT
3eogA_M8.pdb     -2945.412334 kBT
3eogA_M394.pdb     -2278.273268 kBT
3eogA_M38.pdb     -2748.911357 kBT
3eogA_M110.pdb     -2481.969454 kBT
3eogA_M62.pdb     -2596.723945 kBT
3eogA_M13.pdb     -2957.628446 kBT
3eogA_M199.pdb     -2350.839838 kBT
3eogA_M228.pdb     -2284.708918 kBT
3eogA_M384.pdb     -2340.011425 kBT
3eogA_M176.pdb     -2389.236858 kBT
3eogA_M106.pdb     -2538.100924 kBT
3eogA_M427.pdb     -2242.489724 kBT
3eogA_M83.pdb     -2524.257197 kBT
3eogA_M438.pdb     -2324.677479 kBT
3eogA_M142.pdb     -2449.855489 kBT
3eogA_M51.pdb     -2725.246988 kBT
3eogA_M308.pdb     -2297.511204 kBT
3eogA_M379.pdb     -2262.841705 kBT
3eogA_M27.pdb     -2729.710224 kBT
3eogA_M491.pdb     -2168.141696 kBT
3eogA_M232.pdb     -2386.611911 kBT
3eogA_M455.pdb     -2221.895810 kBT
3eogA_M118.pdb     -2466.226304 kBT
3eogA_M373.pdb     -2292.352579 kBT
3eogA_M153.pdb     -2581.847194 kBT
3eogA_M263.pdb     -2352.426455 kBT
3eogA_M465.pdb     -2222.250997 kBT
3eogA_M35.pdb     -2823.960511 kBT
3eogA_M292.pdb     -2266.450108 kBT
3eogA_M182.pdb     -2357.741018 kBT
3eogA_M490.pdb     -2292.514771 kBT
3eogA_M420.pdb     -2229.669694 kBT
3eogA_M386.pdb     -2394.188201 kBT
3eogA_M296.pdb     -2292.209611 kBT
3eogA_M426.pdb     -2167.349816 kBT
3eogA_M112.pdb     -2472.833460 kBT
3eogA_M416.pdb     -2240.850897 kBT
3eogA_M144.pdb     -2399.811241 kBT
3eogA_M9.pdb     -2992.485352 kBT
3eogA_M429.pdb     -2351.819986 kBT
3eogA_M389.pdb     -2310.804264 kBT
3eogA_M149.pdb     -2455.551733 kBT
3eogA_M483.pdb     -2249.863880 kBT
3eogA_M230.pdb     -2391.983595 kBT
3eogA_M487.pdb     -2279.281890 kBT
3eogA_M468.pdb     -2261.007168 kBT
3eogA_M87.pdb     -2570.984882 kBT
3eogA_M377.pdb     -2253.457973 kBT
3eogA_M371.pdb     -2246.397431 kBT
3eogA_M277.pdb     -2257.046856 kBT
3eogA_M24.pdb     -2802.198432 kBT
3eogA_M391.pdb     -2381.959006 kBT
3eogA_M95.pdb     -2658.696920 kBT
3eogA_M404.pdb     -2322.240035 kBT
3eogA_M59.pdb     -2739.070768 kBT
3eogA_M417.pdb     -2267.505279 kBT
3eogA_M335.pdb     -2213.274464 kBT
3eogA_M376.pdb     -2184.949677 kBT
3eogA_M381.pdb     -2166.487692 kBT
3eogA_M139.pdb     -2484.412273 kBT
3eogA_M398.pdb     -2219.958873 kBT
3eogA_M382.pdb     -2258.213446 kBT
3eogA_M456.pdb     -2229.324931 kBT
3eogA_M191.pdb     -2382.258295 kBT
3eogA_M194.pdb     -2373.367156 kBT
3eogA_M141.pdb     -2428.876347 kBT
3eogA_M400.pdb     -2255.112023 kBT
3eogA_M310.pdb     -2235.911912 kBT
3eogA_M222.pdb     -2347.445218 kBT
3eogA_M165.pdb     -2468.890892 kBT
3eogA_M469.pdb     -2173.745115 kBT
3eogA_M329.pdb     -2322.445776 kBT
3eogA_M385.pdb     -2256.194841 kBT
3eogA_M5.pdb     -2997.843944 kBT
3eogA_M288.pdb     -2296.903236 kBT
3eogA_M89.pdb     -2508.510972 kBT
3eogA_M173.pdb     -2365.147002 kBT
3eogA_M53.pdb     -2690.902830 kBT
3eogA_M471.pdb     -2274.865006 kBT
3eogA_M342.pdb     -2374.564261 kBT
3eogA_M479.pdb     -2197.147421 kBT
3eogA_M450.pdb     -2178.673450 kBT
3eogA_M413.pdb     -2170.187331 kBT
3eogA_M477.pdb     -2259.943008 kBT
3eogA_M273.pdb     -2391.303074 kBT
3eogA_M372.pdb     -2259.998587 kBT
3eogA_M52.pdb     -2704.435633 kBT
3eogA_M474.pdb     -2290.959752 kBT
3eogA_M98.pdb     -2557.659581 kBT
3eogA_M135.pdb     -2498.527225 kBT
3eogA_M422.pdb     -2228.402607 kBT
3eogA_M291.pdb     -2264.025431 kBT
3eogA_M46.pdb     -2644.821204 kBT
3eogA_M79.pdb     -2573.974140 kBT
3eogA_M430.pdb     -2256.777864 kBT
3eogA_M66.pdb     -2567.771065 kBT
3eogA_M217.pdb     -2368.562258 kBT
3eogA_M321.pdb     -2232.111143 kBT
3eogA_M77.pdb     -2579.627959 kBT
3eogA_M247.pdb     -2388.690726 kBT
3eogA_M150.pdb     -2465.867509 kBT
3eogA_M202.pdb     -2435.264502 kBT
3eogA_M336.pdb     -2263.588725 kBT
3eogA_M341.pdb     -2315.848588 kBT
3eogA_M472.pdb     -2195.470995 kBT
3eogA_M345.pdb     -2210.551443 kBT
3eogA_M214.pdb     -2438.576979 kBT
3eogA_M227.pdb     -2400.820962 kBT
3eogA_M236.pdb     -2317.438165 kBT
3eogA_M198.pdb     -2293.399886 kBT
3eogA_M104.pdb     -2599.234347 kBT
3eogA_M475.pdb     -2204.279428 kBT
3eogA_M42.pdb     -2713.580883 kBT
3eogA_M356.pdb     -2252.966901 kBT
3eogA_M2.pdb     -2978.875500 kBT
3eogA_M328.pdb     -2179.084857 kBT
3eogA_M285.pdb     -2386.390552 kBT
3eogA_M494.pdb     -2318.251586 kBT
3eogA_M39.pdb     -2817.361671 kBT
3eogA_M500.pdb     -2148.195222 kBT
3eogA_M259.pdb     -2324.755480 kBT
3eogA_M179.pdb     -2430.964231 kBT
3eogA_M186.pdb     -2430.688249 kBT
3eogA_M458.pdb     -2268.512969 kBT
3eogA_M170.pdb     -2363.753156 kBT
3eogA_M355.pdb     -2246.379594 kBT
3eogA_M125.pdb     -2488.353084 kBT
3eogA_M116.pdb     -2454.828804 kBT
3eogA_M486.pdb     -2134.744070 kBT
3eogA_M114.pdb     -2640.631560 kBT
3eogA_M375.pdb     -2206.238252 kBT
3eogA_M30.pdb     -2770.523659 kBT
3eogA_M41.pdb     -2780.526240 kBT
3eogA_M231.pdb     -2390.809410 kBT
3eogA_M242.pdb     -2356.984780 kBT
3eogA_M240.pdb     -2334.177405 kBT
3eogA_M218.pdb     -2361.787643 kBT
3eogA_M183.pdb     -2401.569773 kBT
3eogA_M209.pdb     -2398.221190 kBT
3eogA_M344.pdb     -2301.798050 kBT
3eogA_M352.pdb     -2399.405373 kBT
3eogA_M340.pdb     -2219.073322 kBT
3eogA_M282.pdb     -2337.545776 kBT
3eogA_M448.pdb     -2194.884545 kBT
3eogA_M274.pdb     -2324.794647 kBT
3eogA_M220.pdb     -2442.739787 kBT
3eogA_M137.pdb     -2434.492447 kBT
3eogA_M157.pdb     -2410.120661 kBT
3eogA_M271.pdb     -2354.817985 kBT
3eogA_M32.pdb     -2853.451281 kBT
3eogA_M323.pdb     -2293.240148 kBT
3eogA_M81.pdb     -2637.556370 kBT
3eogA_M443.pdb     -2190.186848 kBT
3eogA_M493.pdb     -2229.519819 kBT
3eogA_M47.pdb     -2683.010668 kBT
3eogA_M269.pdb     -2347.344882 kBT
3eogA_M185.pdb     -2382.941485 kBT
